stat, rank, value, (percentage) 
minecraft.picked_up.diamond_pickaxe: #21, 10(0%)
minecraft.used.diamond_axe: #21, 4060(0%)
minecraft.custom.fall_one_cm: #21, 659483(0%)
minecraft.mined.spruce_slab: #21, 69(0%)
minecraft.picked_up.firework_rocket: #21, 406(0%)
minecraft.used.andesite: #21, 168(0%)
minecraft.used.granite: #21, 44(0%)
minecraft.used.jungle_boat: #21, 1(0%)
minecraft.crafted.stone_brick_stairs: #21, 200(0%)
minecraft.picked_up.stone_brick_stairs: #21, 75(0%)
minecraft.used.cooked_beef: #21, 62(0%)
minecraft.picked_up.diamond_boots: #21, 3(0%)
minecraft.picked_up.elytra: #21, 4(0%)
minecraft.mined.cobblestone_wall: #21, 10(0%)
minecraft.custom.inspect_dispenser: #21, 52(0%)
minecraft.crafted.bucket: #21, 8(0%)
minecraft.picked_up.birch_log: #21, 145(0%)
minecraft.picked_up.diamond_shovel: #21, 3(0%)
minecraft.mined.birch_log: #21, 122(0%)
minecraft.used.diamond_shovel: #21, 8874(0%)
minecraft.picked_up.oak_trapdoor: #21, 7(0%)
minecraft.used.minecart: #21, 6(0%)
minecraft.dropped.dirt: #21, 144(0%)
minecraft.used.dispenser: #21, 5(0%)
minecraft.mined.oak_trapdoor: #21, 4(0%)
minecraft.mined.quartz_block: #21, 9(0%)
minecraft.crafted.jungle_planks: #21, 88(0%)
minecraft.mined.hopper: #21, 12(0%)
minecraft.picked_up.book: #21, 12(0%)
minecraft.picked_up.grass_block: #21, 444(0%)
minecraft.mined.dark_oak_trapdoor: #21, 2(0%)
minecraft.picked_up.hopper: #21, 11(0%)
minecraft.dropped.redstone: #21, 8(0%)
minecraft.used.sand: #21, 225(0%)
minecraft.picked_up.paper: #21, 22(0%)
minecraft.mined.bone_block: #21, 4(0%)
minecraft.used.quartz_block: #21, 9(0%)
minecraft.crafted.quartz_block: #21, 54(0%)
minecraft.picked_up.dark_oak_stairs: #21, 4(0%)
minecraft.used.spruce_planks: #21, 27(0%)
minecraft.crafted.enchanted_book: #21, 2(0%)
minecraft.picked_up.quartz_block: #21, 9(0%)
minecraft.used.grass_block: #21, 94(0%)
minecraft.dropped.stone: #21, 138(0%)
minecraft.picked_up.dark_oak_slab: #21, 3(0%)
minecraft.picked_up.pumpkin: #21, 8(0%)
minecraft.mined.dark_oak_slab: #21, 2(0%)
minecraft.picked_up.glowstone_dust: #21, 5(0%)
minecraft.picked_up.quartz_slab: #21, 3(0%)
minecraft.used.observer: #21, 3(0%)
minecraft.mined.quartz_slab: #21, 2(0%)
minecraft.used.rail: #21, 10(0%)
minecraft.crafted.iron_trapdoor: #21, 2(0%)
minecraft.crafted.dropper: #21, 1(0%)
minecraft.crafted.comparator: #21, 1(0%)
minecraft.mined.slime_block: #21, 1(0%)
minecraft.used.dark_oak_stairs: #21, 2(0%)
minecraft.picked_up.slime_block: #21, 1(0%)
minecraft.crafted.repeater: #21, 1(0%)
minecraft.used.slime_block: #21, 1(0%)
minecraft.used.quartz_slab: #21, 3(0%)
minecraft.crafted.cyan_dye: #21, 2(0%)
minecraft.custom.interact_with_crafting_table: #22, 708(1%)
minecraft.custom.walk_one_cm: #22, 17758385(1%)
minecraft.custom.jump: #22, 40447(0%)
minecraft.killed_by.creeper: #22, 1(1%)
minecraft.crafted.iron_chestplate: #22, 2(1%)
minecraft.crafted.diamond_helmet: #22, 1(1%)
minecraft.crafted.iron_boots: #22, 2(1%)
minecraft.picked_up.oak_planks: #22, 147(1%)
minecraft.picked_up.torch: #22, 914(1%)
minecraft.crafted.diamond_boots: #22, 1(1%)
minecraft.mined.wheat: #22, 337(1%)
minecraft.mined.oak_planks: #22, 94(1%)
minecraft.custom.drop: #22, 648(0%)
minecraft.picked_up.oak_fence: #22, 29(0%)
minecraft.custom.deaths: #22, 11(0%)
minecraft.custom.sleep_in_bed: #22, 124(0%)
minecraft.picked_up.iron_pickaxe: #22, 1(0%)
minecraft.crafted.iron_shovel: #22, 2(0%)
minecraft.used.spruce_slab: #22, 231(0%)
minecraft.picked_up.egg: #22, 55(0%)
minecraft.dropped.diamond: #22, 32(0%)
minecraft.dropped.golden_boots: #22, 1(0%)
minecraft.dropped.cobblestone: #22, 1086(0%)
minecraft.killed.pig: #22, 2(0%)
minecraft.mined.oak_fence: #22, 14(0%)
minecraft.mined.gravel: #22, 1812(0%)
minecraft.picked_up.gravel: #22, 1841(0%)
minecraft.picked_up.armor_stand: #22, 3(0%)
minecraft.picked_up.cobblestone_wall: #22, 10(0%)
minecraft.dropped.granite: #22, 113(0%)
minecraft.dropped.andesite: #22, 85(0%)
minecraft.picked_up.glass_pane: #22, 7(0%)
minecraft.mined.glass_pane: #22, 4(0%)
minecraft.picked_up.flint: #22, 30(0%)
minecraft.crafted.shears: #22, 4(0%)
minecraft.mined.farmland: #22, 6(0%)
minecraft.crafted.writable_book: #22, 1(0%)
minecraft.used.armor_stand: #22, 4(0%)
minecraft.used.kelp: #22, 34(0%)
minecraft.crafted.lever: #22, 5(0%)
minecraft.picked_up.white_banner: #22, 2(0%)
minecraft.dropped.oak_sapling: #22, 2(0%)
minecraft.picked_up.jungle_sapling: #22, 1(0%)
minecraft.dropped.string: #22, 2(0%)
minecraft.mined.sticky_piston: #22, 1(0%)
minecraft.mined.white_stained_glass: #22, 3(0%)
minecraft.mined.observer: #22, 1(0%)
minecraft.picked_up.white_stained_glass: #22, 3(0%)
minecraft.dropped.gunpowder: #22, 1(0%)
minecraft.dropped.bone_meal: #22, 1(0%)
minecraft.crafted.light_blue_dye: #22, 2(0%)
minecraft.used.iron_trapdoor: #22, 2(0%)
minecraft.picked_up.observer: #22, 1(0%)
minecraft.crafted.redstone_torch: #22, 6(0%)
minecraft.dropped.iron_ingot: #22, 1(0%)
minecraft.crafted.light_gray_dye: #22, 2(0%)
minecraft.crafted.gray_dye: #22, 2(0%)
minecraft.mined.acacia_log: #22, 3(0%)
minecraft.picked_up.acacia_log: #22, 3(0%)
minecraft.used.white_stained_glass: #22, 3(0%)
minecraft.custom.horse_one_cm: #22, 670(0%)
minecraft.custom.play_one_minute: #23, 21603541(1%)
minecraft.broken.iron_axe: #23, 1(1%)
minecraft.crafted.iron_axe: #23, 2(1%)
minecraft.custom.open_shulker_box: #23, 3277(0%)
minecraft.picked_up.wheat_seeds: #23, 923(1%)
minecraft.crafted.iron_leggings: #23, 2(1%)
minecraft.used.oak_boat: #23, 15(1%)
minecraft.picked_up.iron_sword: #23, 1(0%)
minecraft.picked_up.oak_boat: #23, 9(0%)
minecraft.picked_up.dirt: #23, 2907(0%)
minecraft.mined.dandelion: #23, 10(0%)
minecraft.mined.dirt: #23, 1848(0%)
minecraft.crafted.flint_and_steel: #23, 1(0%)
minecraft.picked_up.water_bucket: #23, 2(0%)
minecraft.used.dirt: #23, 1107(0%)
minecraft.picked_up.spruce_planks: #23, 53(0%)
minecraft.used.shears: #23, 303(0%)
minecraft.killed.squid: #23, 4(0%)
minecraft.mined.grass_block: #23, 604(0%)
minecraft.dropped.diorite: #23, 75(0%)
minecraft.used.gravel: #23, 47(0%)
minecraft.picked_up.dandelion: #23, 10(0%)
minecraft.dropped.player_head: #23, 2(0%)
minecraft.used.oak_fence: #23, 9(0%)
minecraft.crafted.dark_oak_planks: #23, 124(0%)
minecraft.mined.vine: #23, 13(0%)
minecraft.used.lever: #23, 4(0%)
minecraft.mined.birch_leaves: #23, 7(0%)
minecraft.mined.seagrass: #23, 5(0%)
minecraft.used.magma_block: #23, 2(0%)
minecraft.mined.carrots: #23, 5(0%)
minecraft.dropped.wheat_seeds: #23, 8(0%)
minecraft.used.sticky_piston: #23, 2(0%)
minecraft.picked_up.sticky_piston: #23, 1(0%)
minecraft.used.redstone: #23, 9(0%)
minecraft.mined.grass_path: #23, 1(0%)
minecraft.dropped.flint: #23, 1(0%)
minecraft.crafted.sticky_piston: #23, 1(0%)
minecraft.custom.animals_bred: #23, 1(0%)
minecraft.mined.redstone_wire: #23, 1(0%)
minecraft.crafted.iron_helmet: #24, 2(0%)
minecraft.mined.spruce_leaves: #24, 97(0%)
minecraft.broken.shears: #24, 1(0%)
minecraft.crafted.oak_fence: #24, 9(0%)
minecraft.used.glass_pane: #24, 2(0%)
minecraft.custom.inspect_dropper: #24, 2(0%)
minecraft.used.dark_oak_log: #24, 6(0%)
minecraft.crafted.piston: #24, 1(0%)
minecraft.picked_up.iron_ingot: #24, 44(0%)
minecraft.picked_up.white_concrete: #24, 4(0%)
minecraft.used.white_concrete: #24, 4(0%)
minecraft.mined.white_concrete: #24, 4(0%)
minecraft.used.spruce_log: #25, 7(0%)
minecraft.crafted.diamond_sword: #26, 1(1%)
minecraft.used.bone_meal: #26, 286(0%)
minecraft.killed.cow: #27, 1(0%)
minecraft.picked_up.bone_meal: #28, 3(0%)
minecraft.custom.leave_game: #31, 209(1%)
minecraft.custom.fly_one_cm: #35, 6137308(0%)
