stat, rank, value, (percentage) 
minecraft.dropped.light_gray_terracotta: #7, 36(1%)
minecraft.crafted.arrow: #7, 20(1%)
minecraft.crafted.light_blue_glazed_terracotta: #7, 8(1%)
minecraft.crafted.prismarine_brick_slab: #7, 70(1%)
minecraft.used.green_glazed_terracotta: #7, 4(1%)
minecraft.used.prismarine_brick_slab: #7, 46(0%)
minecraft.mined.melon_stem: #7, 1(0%)
minecraft.crafted.pink_terracotta: #7, 8(0%)
minecraft.crafted.purple_terracotta: #7, 8(0%)
minecraft.used.baked_potato: #8, 768(4%)
minecraft.used.light_blue_glazed_terracotta: #7, 4(0%)
minecraft.crafted.gray_terracotta: #7, 8(0%)
minecraft.used.coal_ore: #8, 1196(4%)
minecraft.mined.dark_prismarine: #8, 286(5%)
minecraft.killed.salmon: #8, 21(5%)
minecraft.picked_up.chainmail_leggings: #8, 6(4%)
minecraft.picked_up.beetroot: #8, 73(5%)
minecraft.crafted.lapis_block: #8, 392(3%)
minecraft.dropped.spruce_boat: #8, 8(4%)
minecraft.picked_up.snow_block: #8, 376(4%)
minecraft.crafted.oak_pressure_plate: #8, 22(4%)
minecraft.picked_up.phantom_membrane: #8, 131(3%)
minecraft.crafted.charcoal: #8, 79(3%)
minecraft.picked_up.gray_wool: #8, 83(2%)
minecraft.picked_up.sponge: #8, 53(4%)
minecraft.crafted.sponge: #8, 344(3%)
minecraft.mined.azure_bluet: #8, 31(2%)
minecraft.killed.elder_guardian: #8, 2(4%)
minecraft.crafted.birch_boat: #8, 4(2%)
minecraft.picked_up.nether_brick_slab: #8, 85(2%)
minecraft.crafted.beacon: #8, 6(2%)
minecraft.killed.rabbit: #8, 3(2%)
minecraft.dropped.terracotta: #8, 65(2%)
minecraft.mined.orange_glazed_terracotta: #8, 6(3%)
minecraft.crafted.cooked_salmon: #8, 50(2%)
minecraft.killed.wither: #8, 6(1%)
minecraft.killed.vex: #8, 9(2%)
minecraft.dropped.beetroot_seeds: #8, 7(1%)
minecraft.used.wither_skeleton_skull: #8, 18(1%)
minecraft.picked_up.orange_terracotta: #8, 1031(1%)
minecraft.mined.orange_terracotta: #8, 1021(1%)
minecraft.used.cobweb: #8, 88(1%)
minecraft.picked_up.purple_wool: #8, 71(1%)
minecraft.mined.spawner: #8, 2(1%)
minecraft.used.rotten_flesh: #8, 5(1%)
minecraft.picked_up.light_blue_wool: #8, 78(1%)
minecraft.dropped.dark_oak_sapling: #8, 3(2%)
minecraft.dropped.pufferfish: #8, 16(1%)
minecraft.used.wooden_shovel: #8, 14(1%)
minecraft.picked_up.music_disc_cat: #8, 1(1%)
minecraft.used.red_glazed_terracotta: #8, 10(1%)
minecraft.picked_up.yellow_glazed_terracotta: #8, 15(1%)
minecraft.mined.prismarine_brick_slab: #8, 8(0%)
minecraft.picked_up.orange_glazed_terracotta: #8, 11(0%)
minecraft.mined.acacia_stairs: #8, 2(0%)
minecraft.picked_up.acacia_stairs: #8, 2(0%)
minecraft.picked_up.red_glazed_terracotta: #8, 7(0%)
minecraft.crafted.magenta_terracotta: #8, 8(0%)
minecraft.used.dead_brain_coral_block: #8, 1(0%)
minecraft.mined.red_sand: #8, 37(0%)
minecraft.picked_up.magma_cream: #9, 44(5%)
minecraft.crafted.wooden_axe: #9, 2(6%)
minecraft.crafted.diamond_pickaxe: #9, 18(3%)
minecraft.picked_up.chainmail_chestplate: #9, 4(4%)
minecraft.used.beetroot_seeds: #9, 61(4%)
minecraft.mined.cobblestone_slab: #9, 209(3%)
minecraft.used.trident: #9, 853(3%)
minecraft.crafted.item_frame: #9, 203(3%)
minecraft.used.bread: #9, 54(3%)
minecraft.used.egg: #9, 573(2%)
minecraft.picked_up.wet_sponge: #9, 388(3%)
minecraft.mined.cobweb: #9, 306(2%)
minecraft.mined.redstone_ore: #9, 2254(2%)
minecraft.used.sponge: #9, 380(3%)
minecraft.picked_up.mutton: #9, 100(2%)
minecraft.killed.cod: #9, 33(2%)
minecraft.mined.wet_sponge: #9, 378(3%)
minecraft.picked_up.cooked_salmon: #9, 34(3%)
minecraft.dropped.potato: #9, 323(2%)
minecraft.killed.phantom: #9, 86(2%)
minecraft.picked_up.rabbit: #9, 3(3%)
minecraft.picked_up.rabbit_hide: #9, 3(2%)
minecraft.picked_up.terracotta: #9, 3136(1%)
minecraft.mined.terracotta: #9, 3054(1%)
minecraft.dropped.poisonous_potato: #9, 6(1%)
minecraft.mined.allium: #9, 14(2%)
minecraft.picked_up.arrow: #10, 2804(4%)
minecraft.picked_up.lime_wool: #9, 85(1%)
minecraft.used.wooden_sword: #9, 6(2%)
minecraft.used.beef: #9, 1(2%)
minecraft.crafted.light_weighted_pressure_plate: #9, 2(2%)
minecraft.used.light_weighted_pressure_plate: #9, 2(2%)
minecraft.crafted.cooked_chicken: #9, 61(1%)
minecraft.picked_up.white_wool: #10, 579(4%)
minecraft.crafted.pumpkin_pie: #9, 34(1%)
minecraft.used.nether_wart: #9, 338(1%)
minecraft.used.salmon: #9, 1(1%)
minecraft.crafted.glistering_melon_slice: #9, 3(1%)
minecraft.dropped.dark_oak_leaves: #9, 4(1%)
minecraft.dropped.jungle_leaves: #9, 8(1%)
minecraft.picked_up.prismarine_brick_slab: #9, 16(0%)
minecraft.dropped.orange_tulip: #9, 2(1%)
minecraft.mined.acacia_planks: #9, 3(0%)
minecraft.crafted.light_gray_terracotta: #9, 8(0%)
minecraft.killed.turtle: #9, 1(0%)
minecraft.picked_up.red_nether_bricks: #9, 1(0%)
minecraft.crafted.brown_terracotta: #9, 8(0%)
minecraft.killed.evoker: #9, 2(0%)
minecraft.picked_up.beetroot_seeds: #10, 156(4%)
minecraft.used.wooden_hoe: #10, 54(5%)
minecraft.mined.lapis_ore: #10, 443(3%)
minecraft.picked_up.stone_axe: #10, 2(4%)
minecraft.crafted.iron_bars: #10, 896(3%)
minecraft.crafted.spruce_boat: #10, 10(3%)
minecraft.picked_up.carrot: #10, 4024(2%)
minecraft.picked_up.lapis_ore: #10, 174(3%)
minecraft.mined.sponge: #10, 12(3%)
minecraft.used.bookshelf: #10, 135(2%)
minecraft.dropped.golden_apple: #10, 1(3%)
minecraft.picked_up.peony: #10, 41(2%)
minecraft.mined.red_carpet: #10, 38(2%)
minecraft.used.light_blue_stained_glass: #10, 645(1%)
minecraft.used.iron_hoe: #10, 147(2%)
minecraft.used.conduit: #10, 2(2%)
minecraft.used.purple_shulker_box: #10, 26(1%)
minecraft.crafted.cooked_cod: #10, 90(1%)
minecraft.mined.purple_shulker_box: #10, 25(1%)
minecraft.used.brown_shulker_box: #10, 44(1%)
minecraft.picked_up.brown_shulker_box: #10, 44(1%)
minecraft.used.cod: #10, 6(1%)
minecraft.picked_up.brown_wool: #10, 67(1%)
minecraft.dropped.glass_pane: #10, 4(1%)
minecraft.used.light_gray_terracotta: #10, 64(1%)
minecraft.mined.brown_shulker_box: #10, 44(1%)
minecraft.mined.conduit: #10, 1(1%)
minecraft.picked_up.turtle_helmet: #10, 1(1%)
minecraft.mined.green_stained_glass: #10, 4(1%)
minecraft.crafted.filled_map: #10, 16(1%)
minecraft.dropped.jungle_trapdoor: #10, 1(1%)
minecraft.picked_up.blue_wool: #10, 69(0%)
minecraft.mined.oak_wood: #10, 4(0%)
minecraft.picked_up.sunflower: #10, 24(0%)
minecraft.killed.zombie_pigman: #10, 25(0%)
minecraft.used.melon_seeds: #10, 4(0%)
minecraft.crafted.sea_lantern: #10, 136(0%)
minecraft.killed.cave_spider: #10, 11(0%)
minecraft.crafted.orange_terracotta: #10, 8(0%)
minecraft.used.green_stained_glass: #10, 4(0%)
minecraft.mined.dead_brain_coral_block: #10, 1(0%)
minecraft.used.magenta_stained_glass: #10, 3(0%)
minecraft.mined.red_nether_bricks: #10, 1(0%)
minecraft.crafted.yellow_terracotta: #10, 8(0%)
minecraft.used.melon: #10, 2(0%)
minecraft.picked_up.red_sand: #10, 35(0%)
minecraft.crafted.light_blue_terracotta: #10, 8(0%)
minecraft.used.red_nether_bricks: #10, 1(0%)
minecraft.killed.magma_cube: #11, 107(4%)
minecraft.picked_up.lapis_lazuli: #11, 3488(3%)
minecraft.used.item_frame: #11, 267(3%)
minecraft.crafted.stone_brick_slab: #11, 2446(2%)
minecraft.crafted.player_head: #11, 186(3%)
minecraft.used.bow: #11, 1628(2%)
minecraft.picked_up.bookshelf: #11, 43(3%)
