stat, rank, value, (percentage) 
minecraft.used.written_book: #1, 21172(49%)
minecraft.crafted.smooth_sandstone_slab: #3, 420(7%)
minecraft.used.stripped_dark_oak_log: #4, 332(9%)
minecraft.dropped.rose_bush: #4, 64(11%)
minecraft.picked_up.black_wool: #4, 425(8%)
minecraft.mined.birch_pressure_plate: #4, 14(9%)
minecraft.used.spruce_pressure_plate: #4, 37(8%)
minecraft.crafted.white_glazed_terracotta: #3, 64(6%)
minecraft.used.cut_sandstone_slab: #3, 49(7%)
minecraft.used.nether_wart_block: #3, 124(4%)
minecraft.mined.smooth_sandstone_stairs: #3, 18(4%)
minecraft.dropped.egg: #4, 555(6%)
minecraft.used.brain_coral: #4, 26(11%)
minecraft.mined.dead_fire_coral_fan: #3, 23(5%)
minecraft.picked_up.light_blue_wool: #4, 559(8%)
minecraft.picked_up.smooth_sandstone_stairs: #3, 16(4%)
minecraft.used.smooth_sandstone_stairs: #3, 170(3%)
minecraft.mined.light_gray_glazed_terracotta: #4, 51(15%)
minecraft.crafted.smooth_sandstone_stairs: #3, 184(3%)
minecraft.crafted.ender_pearl: #3, 2(5%)
minecraft.picked_up.birch_pressure_plate: #4, 14(7%)
minecraft.used.tube_coral: #4, 23(8%)
minecraft.picked_up.nether_brick_stairs: #4, 206(8%)
minecraft.used.dead_brain_coral_fan: #4, 32(16%)
minecraft.used.blue_glazed_terracotta: #3, 28(3%)
minecraft.used.cyan_banner: #4, 11(10%)
minecraft.used.fletching_table: #3, 1(3%)
minecraft.mined.spruce_pressure_plate: #4, 12(7%)
minecraft.crafted.chiseled_sandstone: #4, 67(10%)
minecraft.used.pink_wool: #4, 106(7%)
minecraft.crafted.acacia_stairs: #4, 168(10%)
minecraft.picked_up.blue_glazed_terracotta: #3, 12(1%)
minecraft.picked_up.smooth_sandstone_slab: #4, 50(7%)
minecraft.dropped.redstone: #5, 899(9%)
minecraft.used.light_blue_wool: #5, 460(12%)
minecraft.mined.smooth_sandstone_slab: #4, 45(7%)
minecraft.dropped.wooden_hoe: #4, 2(12%)
minecraft.mined.white_glazed_terracotta: #4, 27(12%)
minecraft.used.horn_coral: #4, 21(7%)
minecraft.used.sandstone: #5, 5302(9%)
minecraft.killed.parrot: #4, 2(12%)
minecraft.picked_up.lantern: #5, 340(10%)
minecraft.picked_up.blue_wool: #4, 1010(4%)
minecraft.dropped.birch_boat: #5, 9(11%)
minecraft.used.white_wool: #5, 560(8%)
minecraft.killed.salmon: #5, 43(9%)
minecraft.crafted.diamond_chestplate: #5, 6(8%)
minecraft.used.nether_brick_stairs: #4, 312(6%)
minecraft.crafted.golden_leggings: #4, 4(5%)
minecraft.picked_up.acacia_trapdoor: #4, 72(4%)
minecraft.used.bubble_coral_fan: #4, 43(5%)
minecraft.crafted.smoker: #4, 38(4%)
minecraft.used.fire_coral: #4, 15(5%)
minecraft.mined.acacia_trapdoor: #4, 52(4%)
minecraft.used.acacia_stairs: #4, 73(6%)
minecraft.crafted.stone_pickaxe: #5, 20(6%)
minecraft.mined.nether_wart_block: #4, 8(7%)
minecraft.picked_up.white_wool: #5, 780(5%)
minecraft.mined.brown_wool: #4, 28(5%)
minecraft.used.brain_coral_fan: #4, 32(4%)
minecraft.dropped.emerald_block: #4, 28(10%)
minecraft.used.yellow_wool: #4, 328(3%)
minecraft.dropped.jack_o_lantern: #4, 2(6%)
minecraft.dropped.golden_leggings: #5, 18(7%)
minecraft.crafted.orange_wool: #4, 16(5%)
minecraft.dropped.nether_brick_stairs: #4, 19(5%)
minecraft.crafted.cut_sandstone_slab: #4, 66(8%)
minecraft.mined.cut_sandstone_slab: #4, 6(6%)
minecraft.killed.horse: #5, 12(9%)
minecraft.crafted.cake: #4, 26(2%)
minecraft.picked_up.cut_sandstone_slab: #4, 6(5%)
minecraft.crafted.light_gray_glazed_terracotta: #4, 64(8%)
minecraft.crafted.purple_bed: #4, 2(5%)
minecraft.crafted.arrow: #4, 60(3%)
minecraft.used.end_stone_bricks: #5, 366(7%)
minecraft.killed.cat: #4, 1(5%)
minecraft.mined.black_stained_glass_pane: #4, 45(2%)
minecraft.crafted.spruce_pressure_plate: #5, 31(7%)
minecraft.mined.fletching_table: #4, 1(5%)
minecraft.picked_up.fletching_table: #4, 1(5%)
minecraft.mined.campfire: #5, 53(8%)
minecraft.mined.dark_oak_wall_sign: #5, 11(8%)
minecraft.dropped.purple_wool: #4, 2(3%)
minecraft.dropped.andesite_stairs: #4, 4(3%)
minecraft.used.string: #5, 762(5%)
minecraft.mined.black_bed: #4, 6(2%)
minecraft.picked_up.white_glazed_terracotta: #4, 27(1%)
minecraft.picked_up.campfire: #5, 47(7%)
minecraft.broken.stone_pickaxe: #5, 5(6%)
minecraft.picked_up.sea_pickle: #5, 761(6%)
minecraft.crafted.diamond_shovel: #5, 15(5%)
minecraft.mined.dead_brain_coral: #4, 1(1%)
minecraft.mined.cyan_glazed_terracotta: #4, 1(1%)
minecraft.used.lapis_block: #5, 179(7%)
minecraft.crafted.fletching_table: #4, 1(0%)
minecraft.crafted.oak_slab: #6, 2232(8%)
minecraft.used.chiseled_quartz_block: #5, 204(6%)
minecraft.used.light_gray_terracotta: #5, 437(5%)
minecraft.crafted.chiseled_quartz_block: #5, 160(5%)
minecraft.broken.wooden_pickaxe: #5, 1(12%)
minecraft.crafted.golden_boots: #5, 6(6%)
minecraft.picked_up.andesite_stairs: #5, 17(7%)
minecraft.used.carrot_on_a_stick: #5, 384(6%)
minecraft.used.light_gray_glazed_terracotta: #5, 51(9%)
minecraft.mined.yellow_wool: #6, 171(10%)
minecraft.crafted.golden_chestplate: #5, 4(5%)
minecraft.mined.polished_andesite_slab: #5, 120(6%)
minecraft.crafted.wheat: #5, 1161(6%)
minecraft.mined.blue_carpet: #5, 44(4%)
minecraft.crafted.light_blue_glazed_terracotta: #5, 64(7%)
minecraft.picked_up.light_gray_bed: #5, 7(6%)
minecraft.mined.spruce_stairs: #6, 515(6%)
minecraft.used.tube_coral_fan: #5, 32(3%)
minecraft.picked_up.nether_wart_block: #5, 8(6%)
minecraft.mined.light_gray_bed: #5, 7(7%)
minecraft.used.cooked_chicken: #6, 700(6%)
minecraft.picked_up.dead_fire_coral_fan: #5, 34(6%)
minecraft.mined.yellow_glazed_terracotta: #5, 14(5%)
minecraft.used.light_gray_bed: #5, 7(5%)
minecraft.used.fire_coral_fan: #5, 32(4%)
minecraft.mined.cartography_table: #5, 3(5%)
minecraft.picked_up.cartography_table: #5, 3(5%)
minecraft.crafted.purple_wool: #5, 22(4%)
minecraft.picked_up.blue_shulker_box: #6, 198(7%)
minecraft.used.lantern: #6, 600(7%)
minecraft.mined.blue_shulker_box: #6, 193(7%)
minecraft.crafted.nether_wart_block: #5, 123(3%)
minecraft.picked_up.leather_boots: #6, 31(6%)
minecraft.used.blue_shulker_box: #6, 192(7%)
minecraft.used.dark_oak_fence: #6, 854(6%)
minecraft.used.cartography_table: #5, 3(3%)
minecraft.crafted.cyan_bed: #5, 3(3%)
minecraft.picked_up.black_stained_glass_pane: #5, 46(2%)
minecraft.mined.stripped_dark_oak_log: #6, 380(7%)
minecraft.crafted.diamond_axe: #6, 9(5%)
minecraft.picked_up.stripped_dark_oak_log: #6, 381(7%)
minecraft.used.spruce_trapdoor: #6, 1352(5%)
minecraft.picked_up.pink_wool: #5, 106(1%)
minecraft.picked_up.orange_glazed_terracotta: #5, 54(2%)
minecraft.used.yellow_glazed_terracotta: #5, 14(2%)
minecraft.dropped.heavy_weighted_pressure_plate: #5, 4(3%)
minecraft.crafted.coal_block: #6, 1441(5%)
minecraft.crafted.blue_bed: #5, 2(2%)
minecraft.picked_up.black_bed: #5, 6(2%)
minecraft.dropped.redstone_block: #6, 126(7%)
minecraft.crafted.sandstone_stairs: #6, 729(7%)
minecraft.picked_up.black_concrete: #6, 3826(5%)
minecraft.crafted.spruce_trapdoor: #6, 1178(5%)
minecraft.picked_up.brain_coral_fan: #5, 32(1%)
minecraft.mined.cyan_stained_glass_pane: #6, 24(10%)
minecraft.used.vine: #6, 157(6%)
minecraft.crafted.leather_helmet: #6, 12(7%)
minecraft.mined.sandstone_wall: #5, 2(1%)
minecraft.crafted.chainmail_boots: #5, 1(1%)
minecraft.used.cyan_glazed_terracotta: #5, 1(0%)
minecraft.picked_up.cyan_glazed_terracotta: #5, 1(0%)
minecraft.mined.cut_sandstone: #6, 155(5%)
minecraft.used.stone_pickaxe: #6, 660(4%)
minecraft.mined.purple_stained_glass_pane: #6, 16(6%)
minecraft.crafted.birch_pressure_plate: #6, 25(5%)
minecraft.crafted.lapis_block: #6, 403(3%)
minecraft.picked_up.cyan_banner: #6, 5(6%)
minecraft.picked_up.allium: #6, 71(5%)
minecraft.picked_up.spruce_planks: #7, 2277(6%)
minecraft.crafted.acacia_wood: #6, 252(5%)
minecraft.used.acacia_wood: #6, 241(4%)
minecraft.broken.shield: #6, 1(7%)
minecraft.dropped.dark_oak_slab: #6, 60(4%)
minecraft.crafted.light_gray_terracotta: #6, 104(6%)
minecraft.crafted.crossbow: #6, 8(5%)
minecraft.picked_up.heavy_weighted_pressure_plate: #6, 9(3%)
minecraft.used.smithing_table: #6, 56(5%)
minecraft.mined.attached_pumpkin_stem: #6, 2(4%)
minecraft.picked_up.cyan_stained_glass_pane: #6, 22(4%)
minecraft.picked_up.polished_andesite_slab: #6, 117(4%)
minecraft.crafted.composter: #6, 25(2%)
minecraft.dropped.lapis_block: #6, 23(5%)
minecraft.used.wooden_pickaxe: #7, 60(6%)
minecraft.mined.oak_planks: #7, 921(6%)
minecraft.crafted.jungle_stairs: #6, 80(3%)
minecraft.mined.smithing_table: #6, 10(4%)
minecraft.mined.light_gray_wool: #6, 32(2%)
minecraft.mined.chiseled_quartz_block: #7, 80(8%)
minecraft.mined.oak_wood: #6, 18(2%)
minecraft.crafted.cracked_stone_bricks: #6, 384(2%)
minecraft.mined.lapis_block: #6, 10(2%)
minecraft.picked_up.oak_wood: #6, 18(2%)
minecraft.mined.red_nether_bricks: #6, 24(2%)
minecraft.crafted.black_stained_glass_pane: #6, 96(1%)
minecraft.used.black_stained_glass_pane: #6, 89(1%)
minecraft.picked_up.tube_coral: #6, 8(1%)
minecraft.used.black_bed: #6, 7(2%)
minecraft.used.red_mushroom_block: #6, 63(1%)
minecraft.picked_up.white_dye: #6, 85(1%)
minecraft.mined.barrel: #7, 70(5%)
minecraft.used.acacia_trapdoor: #6, 70(1%)
minecraft.dropped.cooked_cod: #6, 177(1%)
minecraft.picked_up.bubble_coral_fan: #6, 32(1%)
minecraft.used.blue_carpet: #6, 188(1%)
minecraft.mined.wheat: #7, 2651(5%)
minecraft.picked_up.fire_coral_fan: #6, 32(1%)
minecraft.picked_up.barrel: #7, 95(5%)
minecraft.picked_up.sandstone_wall: #6, 2(1%)
minecraft.picked_up.chiseled_quartz_block: #7, 80(7%)
minecraft.used.sandstone_wall: #6, 22(1%)
minecraft.mined.acacia_stairs: #6, 3(1%)
minecraft.picked_up.acacia_stairs: #6, 3(1%)
minecraft.picked_up.oak_slab: #7, 440(4%)
minecraft.used.light_blue_glazed_terracotta: #6, 7(0%)
minecraft.used.totem_of_undying: #7, 9(6%)
minecraft.mined.oak_stairs: #7, 178(5%)
minecraft.used.mossy_stone_bricks: #7, 252(5%)
minecraft.picked_up.chainmail_boots: #7, 7(5%)
minecraft.picked_up.cut_sandstone: #7, 140(5%)
minecraft.used.salmon_bucket: #7, 4(5%)
minecraft.crafted.dark_oak_fence: #7, 573(4%)
minecraft.mined.dropper: #7, 106(4%)
minecraft.mined.black_concrete: #7, 3838(3%)
minecraft.dropped.bow: #7, 122(3%)
minecraft.crafted.black_concrete_powder: #7, 5576(4%)
minecraft.crafted.smooth_stone: #7, 1445(3%)
minecraft.used.black_concrete_powder: #7, 4743(4%)
minecraft.crafted.jungle_slab: #7, 324(4%)
minecraft.picked_up.redstone: #7, 13047(3%)
minecraft.picked_up.spruce_pressure_plate: #7, 15(4%)
minecraft.used.lime_stained_glass: #7, 638(4%)
minecraft.dropped.cake: #7, 4(5%)
minecraft.dropped.feather: #7, 290(3%)
minecraft.picked_up.blue_carpet: #7, 42(3%)
minecraft.mined.dark_oak_sign: #7, 2(6%)
minecraft.crafted.knowledge_book: #7, 1(7%)
minecraft.dropped.black_shulker_box: #7, 1(6%)
minecraft.crafted.mossy_stone_bricks: #7, 281(3%)
minecraft.crafted.polished_andesite_slab: #7, 384(4%)
minecraft.custom.damage_blocked_by_shield: #7, 3040(2%)
minecraft.crafted.nether_brick_stairs: #7, 208(4%)
minecraft.mined.dark_oak_trapdoor: #8, 143(7%)
minecraft.dropped.green_dye: #7, 1210(3%)
minecraft.used.polished_andesite_slab: #7, 336(3%)
minecraft.used.andesite_stairs: #7, 25(3%)
minecraft.crafted.iron_boots: #8, 18(5%)
minecraft.crafted.light_blue_bed: #7, 2(3%)
minecraft.dropped.spruce_pressure_plate: #7, 2(3%)
minecraft.picked_up.turtle_helmet: #7, 3(2%)
minecraft.used.spruce_wood: #7, 129(2%)
minecraft.picked_up.smithing_table: #7, 10(4%)
minecraft.crafted.heavy_weighted_pressure_plate: #7, 11(2%)
minecraft.used.jungle_stairs: #7, 66(2%)
minecraft.used.green_concrete: #7, 193(2%)
minecraft.mined.acacia_slab: #7, 13(2%)
minecraft.mined.cyan_banner: #7, 1(3%)
minecraft.crafted.wooden_shovel: #7, 9(1%)
minecraft.picked_up.dark_oak_sapling: #7, 172(1%)
minecraft.crafted.smithing_table: #7, 49(2%)
minecraft.used.blue_bed: #7, 6(2%)
minecraft.mined.lantern: #8, 93(6%)
minecraft.picked_up.acacia_slab: #7, 11(2%)
minecraft.picked_up.red_nether_bricks: #7, 24(2%)
minecraft.crafted.oak_stairs: #8, 528(5%)
minecraft.picked_up.light_gray_glazed_terracotta: #7, 51(2%)
minecraft.dropped.porkchop: #7, 4(2%)
minecraft.mined.dark_oak_leaves: #8, 786(5%)
minecraft.used.dark_oak_sapling: #7, 96(1%)
minecraft.custom.pig_one_cm: #7, 3752(1%)
minecraft.used.brown_mushroom_block: #7, 64(1%)
minecraft.dropped.acacia_trapdoor: #7, 2(1%)
minecraft.used.oak_wood: #7, 41(1%)
minecraft.crafted.acacia_trapdoor: #7, 48(1%)
minecraft.mined.dark_oak_wood: #7, 8(1%)
minecraft.crafted.light_blue_terracotta: #7, 256(1%)
minecraft.picked_up.purple_dye: #7, 2(1%)
minecraft.used.dark_oak_wood: #7, 38(0%)
minecraft.crafted.jungle_pressure_plate: #7, 1(1%)
minecraft.used.jungle_pressure_plate: #7, 1(1%)
minecraft.used.red_nether_bricks: #7, 24(0%)
minecraft.used.melon_slice: #7, 1(0%)
minecraft.mined.spruce_slab: #8, 693(4%)
minecraft.crafted.iron_axe: #8, 11(4%)
minecraft.used.cooked_beef: #8, 789(4%)
minecraft.mined.sandstone: #8, 8373(3%)
minecraft.dropped.oak_sapling: #8, 158(4%)
minecraft.picked_up.lapis_lazuli: #8, 4127(3%)
minecraft.picked_up.dark_oak_sign: #8, 17(5%)
minecraft.used.gravel: #8, 1595(3%)
minecraft.used.black_concrete: #8, 3683(3%)
minecraft.used.sandstone_stairs: #8, 346(4%)
minecraft.crafted.stone_shovel: #8, 16(3%)
minecraft.crafted.redstone_block: #8, 1356(3%)
minecraft.crafted.black_shulker_box: #8, 7(5%)
minecraft.picked_up.red_dye: #8, 120(4%)
minecraft.mined.redstone_ore: #8, 3045(3%)
minecraft.used.lava_bucket: #8, 72(3%)
minecraft.crafted.stone: #8, 4631(3%)
minecraft.picked_up.emerald_block: #8, 67(3%)
minecraft.crafted.dark_oak_slab: #8, 1214(3%)
minecraft.crafted.green_dye: #8, 1914(3%)
minecraft.picked_up.end_stone_bricks: #8, 227(3%)
minecraft.picked_up.charcoal: #8, 14(3%)
minecraft.crafted.clock: #8, 3(4%)
minecraft.picked_up.dropper: #8, 106(3%)
minecraft.picked_up.light_gray_wool: #8, 179(2%)
minecraft.dropped.red_dye: #8, 26(4%)
minecraft.mined.blue_stained_glass_pane: #8, 14(4%)
minecraft.used.apple: #8, 30(2%)
minecraft.crafted.name_tag: #8, 18(3%)
minecraft.picked_up.white_terracotta: #8, 1775(2%)
minecraft.mined.white_terracotta: #8, 1776(2%)
minecraft.crafted.cooked_cod: #8, 180(3%)
minecraft.used.cyan_stained_glass_pane: #8, 58(3%)
minecraft.picked_up.carved_pumpkin: #8, 218(2%)
minecraft.used.red_banner: #8, 26(2%)
minecraft.crafted.red_wool: #8, 176(2%)
minecraft.mined.yellow_stained_glass_pane: #8, 12(3%)
minecraft.picked_up.jungle_slab: #8, 36(2%)
minecraft.dropped.bowl: #8, 7(2%)
minecraft.mined.orange_stained_glass_pane: #8, 14(3%)
minecraft.crafted.bone_block: #8, 1142(2%)
minecraft.crafted.dark_oak_boat: #8, 4(2%)
minecraft.mined.pumpkin_stem: #8, 10(3%)
minecraft.crafted.magma_cream: #8, 7(3%)
minecraft.picked_up.acacia_sapling: #8, 178(1%)
minecraft.picked_up.wheat_seeds: #9, 7162(4%)
minecraft.mined.stonecutter: #8, 13(2%)
minecraft.crafted.light_weighted_pressure_plate: #8, 3(2%)
minecraft.used.acacia_slab: #8, 29(2%)
minecraft.used.light_weighted_pressure_plate: #8, 3(2%)
minecraft.mined.red_concrete_powder: #8, 8(2%)
minecraft.crafted.light_blue_wool: #8, 16(2%)
minecraft.used.oak_stairs: #9, 487(5%)
minecraft.crafted.light_gray_bed: #8, 1(3%)
minecraft.used.wooden_sword: #8, 7(2%)
minecraft.picked_up.pumpkin_pie: #8, 18(2%)
minecraft.used.spruce_fence_gate: #8, 67(1%)
minecraft.mined.tripwire_hook: #9, 17(6%)
minecraft.custom.interact_with_stonecutter: #8, 15(1%)
minecraft.used.purple_bed: #8, 5(2%)
minecraft.picked_up.iron_leggings: #9, 14(5%)
minecraft.crafted.oak_wood: #8, 54(1%)
minecraft.dropped.black_concrete: #8, 23(1%)
minecraft.picked_up.bowl: #8, 5(1%)
minecraft.crafted.acacia_slab: #8, 24(1%)
minecraft.used.jungle_slab: #8, 45(1%)
minecraft.crafted.blue_carpet: #8, 183(1%)
minecraft.mined.dark_oak_sapling: #8, 4(1%)
minecraft.crafted.cooked_porkchop: #8, 21(1%)
minecraft.used.acacia_sapling: #8, 46(1%)
minecraft.crafted.bowl: #8, 8(1%)
minecraft.picked_up.dark_oak_wood: #8, 8(1%)
minecraft.picked_up.wooden_sword: #8, 2(1%)
minecraft.crafted.blue_terracotta: #8, 64(0%)
minecraft.crafted.nether_brick_fence: #8, 6(1%)
minecraft.crafted.black_bed: #8, 1(0%)
minecraft.picked_up.spruce_stairs: #9, 537(4%)
minecraft.used.jungle_trapdoor: #8, 12(0%)
minecraft.mined.horn_coral: #8, 1(0%)
minecraft.picked_up.dark_oak_trapdoor: #9, 147(5%)
minecraft.mined.spruce_trapdoor: #9, 317(4%)
minecraft.picked_up.coal: #9, 13824(4%)
minecraft.mined.oak_slab: #9, 278(4%)
minecraft.picked_up.coal_block: #9, 194(4%)
minecraft.used.wheat_seeds: #9, 2741(4%)
minecraft.mined.dead_bush: #9, 54(4%)
minecraft.dropped.golden_helmet: #9, 13(5%)
minecraft.picked_up.sandstone: #9, 8246(3%)
minecraft.dropped.leather_helmet: #9, 8(3%)
minecraft.picked_up.vine: #9, 587(3%)
minecraft.mined.vine: #9, 603(3%)
minecraft.used.splash_potion: #9, 15(4%)
minecraft.used.dark_oak_slab: #9, 1125(3%)
minecraft.dropped.white_carpet: #9, 22(4%)
minecraft.picked_up.cooked_beef: #9, 441(2%)
minecraft.used.composter: #9, 28(3%)
minecraft.picked_up.yellow_dye: #9, 80(4%)
minecraft.used.green_concrete_powder: #9, 925(3%)
minecraft.crafted.green_concrete_powder: #9, 952(3%)
minecraft.mined.spruce_fence_gate: #9, 24(3%)
minecraft.picked_up.green_concrete: #9, 353(3%)
minecraft.killed.wandering_trader: #9, 3(3%)
minecraft.killed.trader_llama: #9, 6(3%)
minecraft.dropped.chainmail_helmet: #9, 2(3%)
minecraft.picked_up.rose_bush: #9, 210(2%)
minecraft.used.cut_sandstone: #9, 183(2%)
minecraft.picked_up.stone_shovel: #9, 2(2%)
minecraft.crafted.smooth_sandstone: #9, 1216(2%)
minecraft.custom.damage_dealt: #10, 814930(4%)
minecraft.mined.green_concrete: #9, 268(2%)
minecraft.picked_up.purple_shulker_box: #9, 37(2%)
minecraft.picked_up.brown_carpet: #9, 34(2%)
minecraft.used.purple_shulker_box: #9, 36(2%)
minecraft.mined.red_banner: #9, 6(3%)
minecraft.mined.lime_stained_glass_pane: #9, 12(2%)
minecraft.picked_up.glowstone_dust: #9, 337(1%)
minecraft.mined.purple_shulker_box: #9, 36(2%)
minecraft.mined.light_blue_stained_glass_pane: #9, 12(2%)
