stat, rank, value, (percentage) 
minecraft.picked_up.melon_slice: #2, 12560(22%)
minecraft.crafted.light_gray_concrete_powder: #2, 18528(20%)
minecraft.dropped.diamond_hoe: #1, 15(68%)
minecraft.dropped.cake: #1, 19(23%)
minecraft.dropped.cyan_carpet: #1, 21(34%)
minecraft.crafted.sticky_piston: #2, 1553(16%)
minecraft.picked_up.wet_sponge: #2, 2757(21%)
minecraft.dropped.wooden_pickaxe: #2, 15(28%)
minecraft.custom.sprint_one_cm: #2, 237146798(9%)
minecraft.picked_up.sponge: #1, 281(20%)
minecraft.picked_up.acacia_planks: #2, 315(22%)
minecraft.picked_up.pufferfish: #2, 373(15%)
minecraft.picked_up.green_concrete_powder: #2, 956(24%)
minecraft.crafted.cyan_dye: #2, 6412(17%)
minecraft.used.smooth_sandstone: #2, 14502(23%)
minecraft.dropped.acacia_boat: #1, 6(38%)
minecraft.picked_up.gray_concrete: #2, 16264(18%)
minecraft.crafted.lime_shulker_box: #2, 65(26%)
minecraft.used.sticky_piston: #2, 2114(15%)
minecraft.mined.snow_block: #2, 1950(20%)
minecraft.dropped.observer: #1, 60(24%)
minecraft.picked_up.observer: #2, 1742(16%)
minecraft.mined.lime_concrete_powder: #1, 41(26%)
minecraft.dropped.redstone: #2, 1614(15%)
minecraft.dropped.iron_ore: #2, 3014(17%)
minecraft.crafted.sponge: #2, 2487(22%)
minecraft.dropped.acacia_fence_gate: #1, 17(85%)
minecraft.dropped.clock: #1, 4(36%)
minecraft.used.light_gray_concrete_powder: #2, 17276(19%)
minecraft.dropped.lime_wool: #1, 124(25%)
minecraft.used.jungle_boat: #2, 44(16%)
minecraft.used.gravel: #2, 7683(15%)
minecraft.killed.polar_bear: #1, 5(62%)
minecraft.mined.end_stone_bricks: #2, 1275(18%)
minecraft.used.note_block: #2, 535(17%)
minecraft.dropped.bucket: #2, 94(16%)
minecraft.killed.slime: #1, 1825(12%)
minecraft.picked_up.lava_bucket: #2, 43(19%)
minecraft.mined.iron_block: #2, 5793(15%)
minecraft.dropped.bell: #1, 9(82%)
minecraft.used.light_gray_concrete: #2, 7850(17%)
minecraft.used.iron_block: #2, 10161(15%)
