stat, rank, value, (percentage) 
minecraft.crafted.bookshelf: #22, 1(0%)
minecraft.dropped.torch: #22, 1(0%)
minecraft.crafted.piston: #22, 1(0%)
minecraft.used.white_carpet: #22, 1(0%)
minecraft.crafted.gold_ingot: #22, 9(0%)
minecraft.used.dark_oak_stairs: #22, 1(0%)
minecraft.dropped.kelp: #22, 4(0%)
minecraft.custom.sneak_time: #23, 229983(0%)
minecraft.crafted.stick: #23, 1708(0%)
minecraft.used.furnace: #23, 32(0%)
minecraft.picked_up.cobblestone: #23, 5433(0%)
minecraft.crafted.coal_block: #23, 88(0%)
minecraft.custom.sleep_in_bed: #23, 79(0%)
minecraft.used.white_bed: #23, 8(0%)
minecraft.picked_up.white_bed: #23, 7(0%)
minecraft.custom.damage_dealt: #23, 37885(0%)
minecraft.custom.swim_one_cm: #23, 531596(0%)
minecraft.mined.gold_ore: #23, 67(0%)
minecraft.used.diamond_axe: #23, 2385(0%)
minecraft.picked_up.gold_ore: #23, 67(0%)
minecraft.picked_up.spruce_stairs: #23, 26(0%)
minecraft.mined.diamond_ore: #23, 54(0%)
minecraft.picked_up.player_head: #23, 29(0%)
minecraft.picked_up.oak_planks: #23, 47(0%)
minecraft.dropped.cobblestone: #23, 686(0%)
minecraft.custom.climb_one_cm: #23, 96530(0%)
minecraft.mined.stone: #23, 7097(0%)
minecraft.used.iron_bars: #23, 43(0%)
minecraft.mined.andesite: #23, 435(0%)
minecraft.picked_up.andesite: #23, 382(0%)
minecraft.used.spruce_boat: #23, 2(0%)
minecraft.mined.diorite: #23, 312(0%)
minecraft.crafted.shears: #23, 3(0%)
minecraft.used.wooden_pickaxe: #23, 1(0%)
minecraft.picked_up.bow: #23, 4(0%)
minecraft.custom.inspect_dispenser: #23, 18(0%)
minecraft.picked_up.birch_sign: #23, 1(0%)
minecraft.picked_up.diorite: #23, 236(0%)
minecraft.dropped.written_book: #23, 1(0%)
minecraft.dropped.dirt: #23, 81(0%)
minecraft.picked_up.spruce_boat: #23, 1(0%)
minecraft.picked_up.coal_block: #23, 3(0%)
minecraft.used.firework_rocket: #23, 8(0%)
minecraft.crafted.coal: #23, 45(0%)
minecraft.picked_up.stone_bricks: #23, 73(0%)
minecraft.crafted.item_frame: #23, 3(0%)
minecraft.used.bookshelf: #23, 3(0%)
minecraft.mined.iron_bars: #23, 3(0%)
minecraft.used.item_frame: #23, 3(0%)
minecraft.used.oak_stairs: #23, 2(0%)
minecraft.crafted.lapis_lazuli: #23, 9(0%)
minecraft.picked_up.iron_bars: #23, 3(0%)
minecraft.picked_up.white_carpet: #23, 1(0%)
minecraft.picked_up.paper: #23, 6(0%)
minecraft.custom.inspect_dropper: #23, 3(0%)
minecraft.picked_up.cooked_beef: #23, 2(0%)
minecraft.crafted.redstone: #23, 18(0%)
minecraft.dropped.gravel: #23, 2(0%)
minecraft.used.grass_block: #23, 13(0%)
minecraft.used.iron_block: #23, 2(0%)
minecraft.mined.iron_block: #23, 1(0%)
minecraft.picked_up.iron_block: #23, 1(0%)
minecraft.crafted.paper: #23, 3(0%)
minecraft.custom.walk_one_cm: #24, 6267451(0%)
minecraft.crafted.iron_chestplate: #24, 1(0%)
minecraft.picked_up.diamond: #24, 133(0%)
minecraft.used.bucket: #24, 202(0%)
minecraft.used.water_bucket: #24, 184(0%)
minecraft.picked_up.coal: #24, 956(0%)
minecraft.custom.interact_with_crafting_table: #24, 153(0%)
minecraft.mined.iron_ore: #24, 256(0%)
minecraft.mined.coal_ore: #24, 449(0%)
minecraft.picked_up.iron_ore: #24, 248(0%)
minecraft.custom.boat_one_cm: #24, 1187093(0%)
minecraft.picked_up.lapis_lazuli: #24, 248(0%)
minecraft.used.crafting_table: #24, 15(0%)
minecraft.mined.crafting_table: #24, 13(0%)
minecraft.used.anvil: #24, 3(0%)
minecraft.picked_up.crafting_table: #24, 13(0%)
minecraft.crafted.crafting_table: #24, 4(0%)
minecraft.picked_up.oak_sign: #24, 12(0%)
minecraft.used.oak_sign: #24, 19(0%)
minecraft.mined.granite: #24, 315(0%)
minecraft.picked_up.rotten_flesh: #24, 89(0%)
minecraft.crafted.furnace: #24, 9(0%)
minecraft.used.diamond_pickaxe: #24, 11069(0%)
minecraft.mined.oak_sign: #24, 1(0%)
minecraft.mined.lapis_ore: #24, 16(0%)
minecraft.crafted.iron_bars: #24, 32(0%)
minecraft.mined.oak_wall_sign: #24, 3(0%)
minecraft.crafted.anvil: #24, 1(0%)
minecraft.picked_up.granite: #24, 208(0%)
minecraft.picked_up.oak_boat: #24, 2(0%)
minecraft.used.gravel: #24, 37(0%)
minecraft.picked_up.bone: #24, 41(0%)
minecraft.mined.wall_torch: #24, 11(0%)
minecraft.picked_up.written_book: #24, 1(0%)
minecraft.custom.drop: #24, 66(0%)
minecraft.used.granite: #24, 6(0%)
minecraft.crafted.dark_oak_planks: #24, 76(0%)
minecraft.used.bow: #24, 26(0%)
minecraft.used.diamond_shovel: #24, 1708(0%)
minecraft.custom.mob_kills: #24, 562(0%)
