stat, rank, value, (percentage) 
minecraft.picked_up.lead: #4, 273(12%)
minecraft.dropped.magma_block: #3, 161(11%)
minecraft.used.pink_shulker_box: #3, 292(11%)
minecraft.dropped.orange_concrete: #3, 148(23%)
minecraft.custom.tune_noteblock: #3, 460057(7%)
minecraft.dropped.leather_boots: #3, 33(7%)
minecraft.dropped.stone_axe: #3, 13(11%)
minecraft.crafted.magenta_bed: #2, 6(10%)
minecraft.mined.pink_shulker_box: #3, 292(11%)
minecraft.picked_up.gray_carpet: #3, 729(8%)
minecraft.crafted.fishing_rod: #4, 31(13%)
minecraft.dropped.dark_prismarine: #3, 63(18%)
minecraft.dropped.black_carpet: #3, 42(13%)
minecraft.dropped.bowl: #3, 33(10%)
minecraft.used.prismarine_wall: #2, 64(14%)
minecraft.used.allium: #3, 18(13%)
minecraft.crafted.orange_carpet: #3, 123(13%)
minecraft.mined.cocoa: #3, 386(6%)
minecraft.mined.dark_oak_planks: #4, 1090(11%)
minecraft.crafted.wooden_hoe: #3, 5(10%)
minecraft.used.spruce_slab: #4, 6016(9%)
minecraft.picked_up.pink_stained_glass_pane: #3, 16(13%)
minecraft.mined.potted_birch_sapling: #3, 2(22%)
minecraft.custom.fish_caught: #3, 5111(7%)
minecraft.mined.birch_stairs: #3, 470(7%)
minecraft.dropped.firework_star: #2, 5(7%)
minecraft.dropped.cobweb: #3, 25(17%)
minecraft.mined.black_concrete_powder: #3, 246(7%)
minecraft.crafted.snow_block: #4, 3429(12%)
minecraft.picked_up.cod: #4, 9637(9%)
minecraft.crafted.spruce_slab: #4, 5262(8%)
minecraft.broken.stone_hoe: #3, 3(11%)
minecraft.crafted.oak_trapdoor: #4, 892(9%)
minecraft.picked_up.brown_shulker_box: #4, 637(12%)
minecraft.used.brown_shulker_box: #4, 635(11%)
minecraft.picked_up.orange_concrete: #4, 1334(13%)
minecraft.picked_up.composter: #4, 60(12%)
minecraft.mined.light_gray_bed: #3, 13(12%)
minecraft.dropped.magenta_concrete: #3, 1(33%)
minecraft.mined.light_blue_wall_banner: #3, 10(14%)
minecraft.crafted.light_gray_terracotta: #3, 192(11%)
minecraft.crafted.pink_bed: #3, 5(11%)
minecraft.dropped.lapis_block: #3, 64(14%)
minecraft.used.damaged_anvil: #4, 23(11%)
minecraft.crafted.white_terracotta: #3, 448(7%)
minecraft.used.cookie: #3, 60(7%)
minecraft.dropped.item_frame: #3, 55(6%)
minecraft.crafted.iron_boots: #4, 25(7%)
minecraft.mined.rail: #4, 3462(8%)
minecraft.crafted.diamond_boots: #4, 13(8%)
minecraft.crafted.orange_terracotta: #3, 544(9%)
minecraft.used.wooden_sword: #3, 28(8%)
minecraft.mined.green_terracotta: #3, 462(4%)
minecraft.mined.damaged_anvil: #4, 24(10%)
minecraft.used.spruce_boat: #4, 124(7%)
minecraft.crafted.writable_book: #4, 61(8%)
minecraft.mined.spruce_wall_sign: #4, 23(9%)
minecraft.dropped.lava_bucket: #4, 7(13%)
minecraft.picked_up.damaged_anvil: #4, 24(10%)
minecraft.used.ice: #4, 4794(8%)
minecraft.used.acacia_wood: #3, 301(5%)
minecraft.used.salmon: #3, 7(8%)
minecraft.crafted.magenta_shulker_box: #4, 11(11%)
minecraft.used.orange_carpet: #4, 122(12%)
minecraft.mined.magma_block: #4, 1756(7%)
minecraft.used.spruce_button: #4, 104(9%)
minecraft.used.emerald_block: #4, 334(9%)
minecraft.used.splash_potion: #4, 37(9%)
minecraft.custom.player_kills: #4, 6(9%)
minecraft.dropped.lily_pad: #4, 53(15%)
minecraft.dropped.hopper: #4, 77(11%)
minecraft.crafted.ender_chest: #4, 35(8%)
minecraft.picked_up.cooked_porkchop: #3, 82(3%)
minecraft.picked_up.stripped_dark_oak_log: #4, 465(9%)
minecraft.crafted.light_blue_wool: #4, 112(12%)
minecraft.mined.yellow_concrete_powder: #3, 113(4%)
minecraft.mined.acacia_wood: #4, 150(12%)
minecraft.picked_up.white_concrete_powder: #4, 13694(7%)
minecraft.killed.sheep: #4, 119(6%)
minecraft.dropped.oak_fence: #4, 78(7%)
minecraft.picked_up.acacia_wood: #4, 151(12%)
minecraft.crafted.diamond_axe: #4, 10(5%)
minecraft.dropped.cracked_stone_bricks: #3, 53(4%)
minecraft.picked_up.brown_concrete: #4, 516(12%)
minecraft.picked_up.iron_door: #4, 55(7%)
minecraft.dropped.cyan_terracotta: #4, 755(10%)
minecraft.dropped.black_terracotta: #3, 96(4%)
minecraft.crafted.carrot_on_a_stick: #3, 1(8%)
minecraft.picked_up.magma_block: #4, 1462(6%)
minecraft.dropped.prismarine_stairs: #3, 4(10%)
minecraft.dropped.black_concrete: #4, 219(10%)
minecraft.picked_up.activator_rail: #4, 35(8%)
minecraft.dropped.sweet_berries: #3, 176(2%)
minecraft.picked_up.egg: #5, 1640(8%)
minecraft.custom.open_enderchest: #5, 7221(7%)
minecraft.dropped.smooth_sandstone_stairs: #3, 3(8%)
minecraft.mined.prismarine_wall: #3, 4(7%)
minecraft.mined.magenta_banner: #3, 1(6%)
minecraft.picked_up.purple_banner: #4, 8(10%)
minecraft.dropped.spruce_button: #4, 17(8%)
minecraft.used.oak_stairs: #5, 861(9%)
minecraft.picked_up.firework_star: #3, 5(4%)
minecraft.mined.dark_oak_fence: #5, 442(10%)
minecraft.picked_up.birch_stairs: #4, 448(6%)
minecraft.used.iron_door: #4, 65(5%)
minecraft.picked_up.prismarine_wall: #3, 1(2%)
minecraft.picked_up.light_gray_bed: #4, 13(12%)
minecraft.picked_up.wooden_hoe: #4, 3(13%)
minecraft.crafted.prismarine: #4, 1519(10%)
minecraft.mined.pink_wool: #4, 38(9%)
minecraft.crafted.pink_stained_glass: #4, 464(10%)
minecraft.dropped.jungle_slab: #4, 12(11%)
minecraft.used.stone_brick_slab: #5, 8199(9%)
minecraft.dropped.pink_stained_glass: #3, 2(0%)
minecraft.picked_up.prismarine_crystals: #5, 10156(9%)
minecraft.used.light_gray_bed: #4, 15(11%)
minecraft.mined.red_concrete_powder: #4, 34(8%)
minecraft.mined.oak_stairs: #5, 343(9%)
minecraft.mined.magenta_stained_glass: #5, 87(14%)
minecraft.picked_up.dark_oak_planks: #5, 1255(8%)
minecraft.mined.potted_spruce_sapling: #4, 2(14%)
minecraft.used.glass: #5, 8697(8%)
minecraft.picked_up.ender_chest: #5, 1165(8%)
minecraft.killed_by.cave_spider: #4, 1(17%)
minecraft.mined.ender_chest: #5, 1157(8%)
minecraft.mined.heavy_weighted_pressure_plate: #4, 11(7%)
minecraft.picked_up.note_block: #5, 127(9%)
minecraft.dropped.pink_shulker_box: #4, 3(9%)
minecraft.killed.chicken: #5, 231(7%)
minecraft.crafted.white_bed: #5, 34(8%)
minecraft.used.spruce_log: #5, 2863(7%)
minecraft.used.ender_chest: #5, 1193(8%)
minecraft.used.oak_trapdoor: #5, 821(8%)
minecraft.dropped.pumpkin: #4, 261(4%)
minecraft.dropped.allium: #4, 32(9%)
minecraft.picked_up.enchanted_book: #5, 80(7%)
minecraft.mined.note_block: #5, 102(10%)
minecraft.crafted.acacia_wood: #4, 294(5%)
minecraft.picked_up.prismarine_shard: #5, 25731(8%)
minecraft.used.mycelium: #4, 378(6%)
minecraft.picked_up.green_terracotta: #4, 449(4%)
minecraft.used.pink_tulip: #4, 7(8%)
minecraft.picked_up.spruce_boat: #5, 109(6%)
minecraft.mined.black_carpet: #5, 94(9%)
minecraft.mined.acacia_log: #5, 4924(7%)
minecraft.used.snow_block: #5, 1824(9%)
minecraft.mined.powered_rail: #5, 768(8%)
minecraft.crafted.clay: #4, 87(5%)
minecraft.used.green_terracotta: #4, 1934(4%)
minecraft.picked_up.iron_sword: #5, 16(7%)
minecraft.mined.purple_concrete_powder: #4, 7(9%)
minecraft.picked_up.lapis_block: #5, 213(8%)
minecraft.killed.pig: #5, 47(6%)
minecraft.crafted.shield: #4, 22(3%)
minecraft.dropped.oak_fence_gate: #4, 4(7%)
minecraft.picked_up.heavy_weighted_pressure_plate: #4, 12(4%)
minecraft.crafted.emerald_block: #4, 901(3%)
minecraft.crafted.enchanted_book: #5, 291(7%)
minecraft.crafted.written_book: #5, 31(13%)
minecraft.dropped.blue_ice: #4, 18(6%)
minecraft.custom.interact_with_loom: #5, 45(7%)
minecraft.used.stripped_dark_oak_log: #5, 320(9%)
minecraft.dropped.painting: #4, 4(6%)
minecraft.killed.polar_bear: #4, 1(12%)
minecraft.crafted.iron_helmet: #5, 23(6%)
minecraft.used.cyan_concrete_powder: #5, 494(10%)
minecraft.dropped.blaze_rod: #4, 64(5%)
minecraft.dropped.iron_axe: #4, 34(3%)
minecraft.picked_up.cooked_cod: #4, 2225(2%)
minecraft.mined.cyan_concrete: #5, 452(10%)
minecraft.dropped.cooked_cod: #4, 618(3%)
minecraft.picked_up.acacia_log: #5, 4529(7%)
minecraft.used.orange_concrete_powder: #5, 680(9%)
minecraft.dropped.shulker_box: #4, 28(2%)
minecraft.mined.spruce_slab: #5, 1006(5%)
minecraft.picked_up.mossy_stone_bricks: #5, 135(7%)
minecraft.crafted.purple_wool: #4, 24(4%)
minecraft.crafted.stone_axe: #5, 13(6%)
minecraft.picked_up.light_blue_stained_glass_pane: #5, 74(10%)
minecraft.used.mutton: #4, 2(7%)
minecraft.picked_up.cyan_concrete_powder: #4, 33(3%)
minecraft.dropped.tipped_arrow: #4, 6(4%)
minecraft.mined.light_blue_stained_glass_pane: #5, 58(9%)
minecraft.crafted.emerald: #5, 17011(6%)
minecraft.mined.cyan_wool: #5, 45(10%)
minecraft.dropped.shield: #5, 7(9%)
minecraft.crafted.brown_concrete_powder: #5, 816(10%)
minecraft.used.purple_stained_glass_pane: #5, 182(9%)
minecraft.used.composter: #5, 69(7%)
minecraft.dropped.spruce_sign: #4, 13(3%)
minecraft.dropped.jungle_fence: #4, 4(4%)
minecraft.crafted.orange_concrete_powder: #5, 680(8%)
minecraft.picked_up.black_dye: #4, 64(3%)
minecraft.dropped.iron_pickaxe: #5, 6(7%)
minecraft.mined.acacia_fence_gate: #4, 3(3%)
minecraft.picked_up.acacia_fence_gate: #4, 3(3%)
minecraft.dropped.white_concrete: #5, 556(6%)
minecraft.crafted.brown_terracotta: #4, 192(1%)
minecraft.crafted.gold_nugget: #5, 15240(6%)
minecraft.crafted.stone_bricks: #6, 40728(8%)
minecraft.picked_up.spruce_button: #5, 29(5%)
minecraft.used.spruce_door: #5, 72(5%)
minecraft.mined.spruce_pressure_plate: #5, 12(7%)
minecraft.dropped.cyan_wool: #5, 64(10%)
minecraft.killed.mooshroom: #4, 23(0%)
minecraft.crafted.flower_banner_pattern: #5, 1(20%)
minecraft.crafted.bookshelf: #5, 493(4%)
minecraft.picked_up.salmon: #6, 632(9%)
minecraft.picked_up.purple_stained_glass_pane: #5, 40(7%)
minecraft.dropped.feather: #5, 478(5%)
minecraft.crafted.wooden_pickaxe: #5, 9(4%)
minecraft.picked_up.magenta_stained_glass: #5, 87(6%)
minecraft.used.egg: #5, 992(3%)
minecraft.crafted.snow: #5, 738(7%)
minecraft.crafted.stone_brick_slab: #6, 7762(8%)
minecraft.picked_up.brown_carpet: #5, 95(6%)
minecraft.mined.stone_button: #5, 97(5%)
minecraft.used.orange_shulker_box: #5, 301(5%)
minecraft.used.cyan_stained_glass_pane: #5, 130(6%)
minecraft.dropped.observer: #5, 19(7%)
minecraft.picked_up.allium: #5, 85(5%)
minecraft.dropped.prismarine_shard: #5, 3436(6%)
minecraft.dropped.beacon: #5, 4(8%)
minecraft.mined.orange_shulker_box: #5, 302(5%)
minecraft.mined.birch_wall_sign: #5, 14(4%)
minecraft.mined.grindstone: #5, 26(5%)
minecraft.used.fishing_rod: #5, 9011(4%)
minecraft.used.gray_wool: #5, 52(4%)
minecraft.crafted.acacia_boat: #5, 5(6%)
minecraft.picked_up.light_blue_banner: #5, 10(6%)
minecraft.dropped.gray_concrete: #5, 87(6%)
minecraft.picked_up.lilac: #6, 216(8%)
minecraft.picked_up.dark_oak_fence: #6, 441(8%)
minecraft.dropped.spruce_slab: #5, 66(3%)
minecraft.picked_up.grindstone: #5, 26(4%)
minecraft.mined.cobblestone_wall: #6, 238(7%)
minecraft.used.heavy_weighted_pressure_plate: #5, 23(4%)
minecraft.picked_up.leather_horse_armor: #5, 1(11%)
minecraft.crafted.oak_stairs: #6, 696(7%)
minecraft.custom.walk_on_water_one_cm: #7, 9951773(5%)
minecraft.picked_up.cyan_stained_glass: #5, 464(3%)
minecraft.killed_by.pufferfish: #5, 2(6%)
minecraft.dropped.dispenser: #5, 16(5%)
minecraft.mined.magenta_wool: #5, 5(5%)
minecraft.dropped.red_shulker_box: #5, 4(4%)
minecraft.crafted.light_blue_bed: #5, 3(5%)
minecraft.custom.talked_to_villager: #6, 3324(6%)
minecraft.crafted.powered_rail: #6, 1938(7%)
minecraft.used.cobweb: #5, 222(3%)
minecraft.crafted.stone_pickaxe: #6, 19(6%)
