stat, rank, value, (percentage) 
minecraft.dropped.white_stained_glass_pane: #7, 39(3%)
minecraft.crafted.scaffolding: #7, 576(2%)
minecraft.dropped.dispenser: #7, 9(3%)
minecraft.picked_up.acacia_sign: #7, 1(4%)
minecraft.picked_up.fern: #7, 98(2%)
minecraft.custom.open_barrel: #8, 2056(6%)
minecraft.mined.smooth_quartz_stairs: #7, 28(2%)
minecraft.picked_up.blue_banner: #7, 5(2%)
minecraft.dropped.cornflower: #7, 7(1%)
minecraft.dropped.lantern: #7, 6(2%)
minecraft.used.birch_stairs: #7, 153(1%)
minecraft.picked_up.smooth_quartz_stairs: #7, 30(2%)
minecraft.mined.oak_wood: #7, 12(1%)
minecraft.picked_up.oak_wood: #7, 13(1%)
minecraft.dropped.birch_stairs: #7, 5(2%)
minecraft.dropped.bamboo: #7, 240(1%)
minecraft.crafted.diamond_leggings: #8, 6(5%)
minecraft.dropped.blue_wool: #7, 7(1%)
minecraft.used.fern: #7, 22(1%)
minecraft.crafted.hay_block: #7, 35(0%)
minecraft.picked_up.spruce_stairs: #8, 542(4%)
minecraft.picked_up.diamond: #8, 1886(4%)
minecraft.dropped.golden_carrot: #8, 266(5%)
minecraft.dropped.oak_leaves: #8, 278(5%)
minecraft.dropped.iron_pickaxe: #8, 5(6%)
minecraft.mined.redstone_wall_torch: #8, 86(4%)
minecraft.custom.interact_with_loom: #8, 23(4%)
minecraft.mined.cornflower: #8, 40(5%)
minecraft.used.lantern: #8, 334(4%)
minecraft.dropped.cobblestone_slab: #8, 110(4%)
minecraft.dropped.cooked_beef: #8, 69(3%)
minecraft.used.golden_apple: #8, 8(4%)
minecraft.mined.light_gray_shulker_box: #8, 140(3%)
minecraft.picked_up.light_gray_shulker_box: #8, 140(3%)
minecraft.used.light_gray_shulker_box: #8, 129(3%)
minecraft.mined.birch_trapdoor: #8, 24(3%)
minecraft.picked_up.bamboo: #8, 2541(3%)
minecraft.dropped.oak_button: #8, 7(3%)
minecraft.broken.iron_helmet: #8, 1(5%)
minecraft.mined.yellow_bed: #8, 13(3%)
minecraft.mined.light_gray_concrete_powder: #8, 103(2%)
minecraft.mined.brown_concrete_powder: #8, 16(3%)
minecraft.used.yellow_bed: #8, 14(3%)
minecraft.picked_up.white_banner: #8, 35(2%)
minecraft.crafted.stone_stairs: #8, 208(2%)
minecraft.crafted.acacia_door: #8, 6(4%)
minecraft.picked_up.spruce_pressure_plate: #8, 7(2%)
minecraft.dropped.light_gray_concrete_powder: #8, 64(3%)
minecraft.crafted.birch_stairs: #8, 200(2%)
minecraft.killed_by.pufferfish: #8, 1(3%)
minecraft.crafted.black_banner: #8, 8(2%)
minecraft.dropped.podzol: #8, 9(2%)
minecraft.custom.eat_cake_slice: #8, 21(1%)
minecraft.killed.tropical_fish: #8, 1(2%)
minecraft.used.light_gray_wool: #8, 135(1%)
minecraft.dropped.dark_oak_button: #8, 2(2%)
minecraft.used.acacia_door: #8, 4(2%)
minecraft.dropped.slime_block: #8, 18(1%)
minecraft.used.diamond_hoe: #8, 266(1%)
minecraft.used.brown_wool: #8, 15(1%)
minecraft.picked_up.dead_bush: #8, 10(1%)
minecraft.crafted.oak_fence: #9, 570(5%)
minecraft.mined.prismarine: #8, 123(0%)
minecraft.picked_up.blue_wool: #8, 85(0%)
minecraft.crafted.acacia_trapdoor: #8, 28(0%)
minecraft.mined.tube_coral_fan: #8, 2(0%)
minecraft.crafted.oak_stairs: #9, 440(4%)
minecraft.dropped.coal: #9, 398(4%)
minecraft.picked_up.stone_stairs: #9, 95(5%)
minecraft.mined.barrel: #9, 54(4%)
minecraft.picked_up.bookshelf: #9, 65(4%)
minecraft.crafted.barrel: #9, 140(4%)
minecraft.mined.loom: #9, 6(4%)
minecraft.picked_up.loom: #9, 6(4%)
minecraft.picked_up.lantern: #9, 142(4%)
minecraft.picked_up.spruce_door: #9, 35(3%)
minecraft.picked_up.barrel: #9, 64(3%)
minecraft.mined.birch_leaves: #9, 717(3%)
minecraft.picked_up.campfire: #9, 29(5%)
minecraft.used.birch_planks: #9, 297(3%)
minecraft.used.glass_pane: #9, 331(3%)
minecraft.used.painting: #9, 93(3%)
minecraft.used.iron_hoe: #9, 315(4%)
minecraft.picked_up.spruce_leaves: #9, 1928(2%)
minecraft.mined.spruce_leaves: #9, 1996(2%)
minecraft.dropped.spruce_door: #9, 4(3%)
minecraft.dropped.spruce_fence: #9, 31(3%)
minecraft.dropped.shears: #9, 8(3%)
minecraft.picked_up.seagrass: #9, 131(3%)
minecraft.dropped.cyan_shulker_box: #9, 1(5%)
minecraft.mined.glass_pane: #9, 47(2%)
minecraft.used.black_banner: #9, 9(3%)
minecraft.used.dark_oak_log: #9, 711(1%)
minecraft.crafted.jungle_slab: #9, 144(2%)
minecraft.mined.light_blue_concrete: #9, 287(2%)
minecraft.used.light_blue_wool: #9, 71(2%)
minecraft.picked_up.light_blue_concrete: #9, 283(2%)
minecraft.picked_up.totem_of_undying: #9, 7(1%)
minecraft.used.blue_banner: #9, 5(2%)
minecraft.mined.blue_wool: #9, 22(1%)
minecraft.mined.light_gray_wool: #9, 22(1%)
minecraft.dropped.stripped_acacia_log: #9, 1(2%)
minecraft.mined.lime_concrete_powder: #9, 3(2%)
minecraft.crafted.light_blue_wool: #9, 14(2%)
minecraft.used.smoker: #9, 5(1%)
minecraft.crafted.smooth_quartz_slab: #9, 144(2%)
