stat, rank, value, (percentage) 
minecraft.used.stone_pressure_plate: #19, 1(0%)
minecraft.dropped.potato: #19, 3(0%)
minecraft.used.lectern: #19, 1(0%)
minecraft.mined.gray_concrete: #19, 9(0%)
minecraft.dropped.carrot: #19, 4(0%)
minecraft.killed.pillager: #19, 6(0%)
minecraft.custom.walk_one_cm: #20, 35466683(1%)
minecraft.mined.cobblestone: #20, 1300(1%)
minecraft.picked_up.oak_planks: #20, 296(1%)
minecraft.picked_up.golden_boots: #20, 5(1%)
minecraft.picked_up.wheat_seeds: #20, 1342(1%)
minecraft.picked_up.white_bed: #20, 25(1%)
minecraft.mined.torch: #20, 393(1%)
minecraft.mined.andesite: #20, 2818(1%)
minecraft.mined.wheat: #20, 431(1%)
minecraft.mined.iron_bars: #20, 75(1%)
minecraft.picked_up.granite: #20, 1813(1%)
minecraft.crafted.oak_boat: #20, 3(1%)
minecraft.mined.spruce_slab: #20, 111(1%)
minecraft.picked_up.stick: #20, 275(1%)
minecraft.used.iron_bars: #20, 183(1%)
minecraft.picked_up.chainmail_boots: #20, 1(1%)
minecraft.picked_up.birch_boat: #20, 12(1%)
minecraft.dropped.diamond_axe: #20, 1(1%)
minecraft.used.dirt: #20, 3068(0%)
minecraft.picked_up.red_shulker_box: #20, 48(1%)
minecraft.used.diamond_axe: #20, 4687(0%)
minecraft.killed.magma_cube: #20, 16(1%)
minecraft.custom.swim_one_cm: #20, 1002160(0%)
minecraft.custom.inspect_hopper: #20, 231(0%)
minecraft.used.red_shulker_box: #20, 47(1%)
minecraft.mined.red_shulker_box: #20, 45(0%)
minecraft.custom.open_enderchest: #20, 347(0%)
minecraft.picked_up.birch_planks: #20, 37(0%)
minecraft.picked_up.ladder: #20, 48(0%)
minecraft.used.granite: #20, 47(0%)
minecraft.picked_up.spruce_sapling: #20, 74(0%)
minecraft.dropped.oak_sign: #20, 6(0%)
minecraft.picked_up.spruce_log: #20, 651(0%)
minecraft.mined.spruce_log: #20, 582(0%)
minecraft.dropped.written_book: #20, 4(0%)
minecraft.picked_up.dandelion: #20, 33(0%)
minecraft.picked_up.diamond_shovel: #20, 4(0%)
minecraft.picked_up.magma_cream: #20, 3(0%)
minecraft.used.lava_bucket: #20, 7(0%)
minecraft.crafted.bone_meal: #20, 2655(0%)
minecraft.dropped.oak_sapling: #20, 11(0%)
minecraft.custom.mob_kills: #20, 4579(0%)
minecraft.crafted.stone_bricks: #20, 1044(0%)
minecraft.crafted.white_dye: #20, 175(0%)
minecraft.used.baked_potato: #20, 38(0%)
minecraft.picked_up.spruce_sign: #20, 2(0%)
minecraft.crafted.ender_chest: #20, 1(0%)
minecraft.used.glowstone: #20, 25(0%)
minecraft.used.minecart: #20, 7(0%)
minecraft.custom.damage_resisted: #20, 805(0%)
minecraft.used.ender_chest: #20, 21(0%)
minecraft.crafted.bread: #20, 10(0%)
minecraft.used.sand: #20, 442(0%)
minecraft.used.sugar_cane: #20, 33(0%)
minecraft.used.hopper: #20, 34(0%)
minecraft.mined.clay: #20, 19(0%)
minecraft.used.cauldron: #20, 1(0%)
minecraft.picked_up.glass: #20, 148(0%)
minecraft.mined.white_stained_glass: #20, 12(0%)
minecraft.dropped.bow: #20, 2(0%)
minecraft.picked_up.glowstone: #20, 9(0%)
minecraft.crafted.white_stained_glass: #20, 72(0%)
minecraft.mined.blue_shulker_box: #20, 1(0%)
minecraft.used.blue_shulker_box: #20, 1(0%)
minecraft.picked_up.blue_shulker_box: #20, 1(0%)
minecraft.mined.powered_rail: #20, 3(0%)
minecraft.picked_up.prismarine_crystals: #20, 32(0%)
minecraft.mined.nether_quartz_ore: #20, 64(0%)
minecraft.mined.cyan_terracotta: #20, 13(0%)
minecraft.picked_up.glowstone_dust: #20, 6(0%)
minecraft.picked_up.redstone_ore: #20, 10(0%)
minecraft.used.birch_sapling: #20, 2(0%)
minecraft.dropped.kelp: #20, 11(0%)
minecraft.used.birch_log: #20, 2(0%)
minecraft.picked_up.gray_concrete: #20, 9(0%)
minecraft.used.gray_concrete: #20, 9(0%)
minecraft.dropped.stone_bricks: #20, 2(0%)
minecraft.mined.lime_terracotta: #20, 1(0%)
minecraft.picked_up.lime_terracotta: #20, 1(0%)
minecraft.killed.enderman: #20, 2(0%)
minecraft.used.cyan_terracotta: #20, 13(0%)
minecraft.picked_up.powered_rail: #20, 1(0%)
minecraft.used.dark_oak_planks: #20, 1(0%)
minecraft.dropped.poppy: #20, 3(0%)
minecraft.used.ice: #20, 2(0%)
minecraft.mined.orange_terracotta: #20, 3(0%)
minecraft.used.packed_ice: #20, 2(0%)
minecraft.picked_up.nether_wart: #20, 1(0%)
minecraft.custom.interact_with_crafting_table: #21, 842(1%)
minecraft.custom.walk_on_water_one_cm: #21, 1051468(1%)
minecraft.used.white_bed: #21, 30(1%)
minecraft.crafted.stick: #21, 2976(1%)
minecraft.killed.zombie: #21, 141(1%)
minecraft.picked_up.spruce_slab: #21, 156(1%)
minecraft.picked_up.andesite: #21, 2407(1%)
minecraft.used.torch: #21, 2221(1%)
minecraft.dropped.leather_helmet: #21, 2(1%)
minecraft.picked_up.dirt: #21, 6096(0%)
minecraft.picked_up.torch: #21, 918(1%)
minecraft.mined.dirt: #21, 4065(0%)
minecraft.mined.oak_fence: #21, 27(1%)
minecraft.mined.dandelion: #21, 18(0%)
minecraft.used.birch_boat: #21, 10(1%)
minecraft.used.ladder: #21, 75(0%)
minecraft.picked_up.diamond_helmet: #21, 4(0%)
minecraft.used.diamond_pickaxe: #21, 43274(0%)
minecraft.dropped.golden_leggings: #21, 1(0%)
minecraft.mined.gravel: #21, 2177(0%)
minecraft.picked_up.coal_ore: #21, 200(0%)
minecraft.killed.squid: #21, 11(0%)
minecraft.picked_up.gravel: #21, 1950(0%)
minecraft.mined.oak_wall_sign: #21, 8(0%)
minecraft.picked_up.bone: #21, 157(0%)
minecraft.picked_up.ink_sac: #21, 40(0%)
minecraft.mined.farmland: #21, 10(0%)
minecraft.dropped.leather_boots: #21, 1(0%)
minecraft.used.egg: #21, 48(0%)
minecraft.picked_up.tropical_fish: #21, 1(0%)
minecraft.picked_up.diamond_axe: #21, 2(0%)
minecraft.picked_up.minecart: #21, 9(0%)
minecraft.picked_up.stone_bricks: #21, 225(0%)
minecraft.custom.animals_bred: #21, 24(0%)
minecraft.crafted.ender_eye: #21, 1(0%)
minecraft.dropped.player_head: #21, 3(0%)
minecraft.crafted.item_frame: #21, 10(0%)
minecraft.mined.kelp: #21, 20(0%)
minecraft.killed.bat: #21, 1(0%)
minecraft.used.stone_bricks: #21, 339(0%)
minecraft.mined.stone_bricks: #21, 123(0%)
minecraft.picked_up.mutton: #21, 4(0%)
minecraft.used.white_carpet: #21, 11(0%)
minecraft.crafted.white_carpet: #21, 9(0%)
minecraft.used.coal_ore: #21, 13(0%)
minecraft.mined.comparator: #21, 1(0%)
minecraft.crafted.redstone: #21, 99(0%)
minecraft.picked_up.clay_ball: #21, 28(0%)
minecraft.picked_up.white_stained_glass: #21, 12(0%)
minecraft.crafted.rail: #21, 16(0%)
minecraft.picked_up.netherrack: #21, 262(0%)
minecraft.crafted.redstone_torch: #21, 26(0%)
minecraft.used.magma_block: #21, 4(0%)
minecraft.used.stone_brick_slab: #21, 29(0%)
minecraft.mined.repeater: #21, 2(0%)
minecraft.mined.netherrack: #21, 280(0%)
minecraft.used.smooth_stone: #21, 12(0%)
minecraft.mined.dark_oak_planks: #21, 2(0%)
minecraft.picked_up.repeater: #21, 2(0%)
minecraft.picked_up.cyan_terracotta: #21, 13(0%)
minecraft.mined.acacia_leaves: #21, 3(0%)
minecraft.used.netherrack: #21, 15(0%)
minecraft.used.obsidian: #21, 2(0%)
minecraft.used.repeater: #21, 2(0%)
minecraft.mined.glowstone: #21, 2(0%)
minecraft.used.bone_block: #21, 2(0%)
minecraft.mined.smooth_stone_slab: #21, 3(0%)
minecraft.picked_up.smooth_stone_slab: #21, 3(0%)
minecraft.picked_up.orange_terracotta: #21, 3(0%)
minecraft.used.smooth_stone_slab: #21, 3(0%)
minecraft.picked_up.gold_nugget: #21, 4(0%)
minecraft.used.fishing_rod: #21, 1(0%)
minecraft.mined.grass: #22, 702(1%)
minecraft.custom.sneak_time: #22, 336584(0%)
minecraft.picked_up.golden_chestplate: #22, 3(1%)
minecraft.used.writable_book: #22, 25(1%)
minecraft.used.crafting_table: #22, 57(1%)
minecraft.mined.iron_ore: #22, 776(1%)
minecraft.picked_up.iron_ore: #22, 772(1%)
minecraft.custom.open_chest: #22, 2896(0%)
minecraft.mined.coal_ore: #22, 1313(1%)
minecraft.picked_up.gold_ore: #22, 146(1%)
minecraft.crafted.anvil: #22, 6(0%)
minecraft.mined.crafting_table: #22, 37(0%)
minecraft.picked_up.crafting_table: #22, 38(0%)
minecraft.custom.interact_with_furnace: #22, 337(0%)
minecraft.used.furnace: #22, 37(0%)
minecraft.killed.spider: #22, 17(0%)
minecraft.crafted.iron_ingot: #22, 1584(0%)
minecraft.used.anvil: #22, 7(0%)
minecraft.picked_up.redstone: #22, 1907(0%)
minecraft.crafted.ladder: #22, 57(0%)
minecraft.custom.damage_dealt: #22, 56603(0%)
minecraft.picked_up.written_book: #22, 7(0%)
minecraft.crafted.furnace: #22, 29(0%)
minecraft.mined.gold_ore: #22, 98(0%)
minecraft.used.oak_sapling: #22, 75(0%)
minecraft.picked_up.player_head: #22, 48(0%)
minecraft.mined.wall_torch: #22, 61(0%)
minecraft.used.diorite: #22, 60(0%)
minecraft.used.spruce_log: #22, 97(0%)
minecraft.mined.poppy: #22, 13(0%)
minecraft.crafted.redstone_block: #22, 112(0%)
minecraft.picked_up.baked_potato: #22, 22(0%)
minecraft.picked_up.redstone_block: #22, 33(0%)
minecraft.picked_up.diamond_leggings: #22, 2(0%)
minecraft.used.diamond_shovel: #22, 8226(0%)
minecraft.picked_up.arrow: #22, 100(0%)
minecraft.picked_up.leather_boots: #22, 1(0%)
minecraft.picked_up.tripwire_hook: #22, 3(0%)
minecraft.mined.white_carpet: #22, 4(0%)
minecraft.picked_up.carrot: #22, 223(0%)
minecraft.picked_up.white_carpet: #22, 6(0%)
minecraft.picked_up.coal_block: #22, 5(0%)
minecraft.picked_up.spider_eye: #22, 11(0%)
minecraft.picked_up.rail: #22, 39(0%)
minecraft.used.soul_sand: #22, 12(0%)
minecraft.picked_up.stone_brick_slab: #22, 18(0%)
minecraft.mined.stone_brick_slab: #22, 13(0%)
minecraft.mined.rail: #22, 17(0%)
minecraft.mined.white_wool: #22, 1(0%)
minecraft.mined.bone_block: #22, 2(0%)
minecraft.mined.smooth_stone: #22, 4(0%)
minecraft.picked_up.quartz: #22, 112(0%)
minecraft.used.comparator: #22, 2(0%)
minecraft.crafted.blaze_powder: #22, 2(0%)
minecraft.crafted.iron_block: #22, 29(0%)
minecraft.picked_up.smooth_stone: #22, 5(0%)
minecraft.picked_up.black_stained_glass: #22, 1(0%)
minecraft.picked_up.bone_block: #22, 2(0%)
minecraft.used.rail: #22, 8(0%)
minecraft.dropped.paper: #22, 1(0%)
minecraft.mined.cobweb: #22, 1(0%)
minecraft.crafted.repeater: #22, 1(0%)
minecraft.used.black_concrete: #22, 1(0%)
minecraft.custom.time_since_death: #23, 1407647(1%)
minecraft.crafted.torch: #23, 1888(1%)
minecraft.killed.creeper: #23, 40(0%)
minecraft.picked_up.coal: #23, 1737(0%)
minecraft.custom.crouch_one_cm: #23, 570180(0%)
minecraft.picked_up.lapis_lazuli: #23, 476(0%)
minecraft.mined.redstone_ore: #23, 389(0%)
minecraft.mined.lapis_ore: #23, 55(0%)
minecraft.picked_up.oak_sapling: #23, 96(0%)
minecraft.crafted.diamond_shovel: #23, 1(0%)
minecraft.picked_up.golden_leggings: #23, 1(0%)
minecraft.used.chest: #23, 73(0%)
minecraft.mined.oak_sign: #23, 2(0%)
minecraft.picked_up.rotten_flesh: #23, 150(0%)
minecraft.crafted.glass: #23, 265(0%)
minecraft.picked_up.oak_sign: #23, 17(0%)
minecraft.picked_up.dark_oak_boat: #23, 2(0%)
minecraft.used.potion: #23, 2(0%)
minecraft.crafted.chest: #23, 49(0%)
minecraft.picked_up.gunpowder: #23, 26(0%)
minecraft.mined.anvil: #23, 1(0%)
minecraft.killed.sheep: #23, 2(0%)
minecraft.picked_up.anvil: #23, 1(0%)
minecraft.used.shulker_box: #23, 32(0%)
minecraft.custom.enchant_item: #23, 4(0%)
minecraft.used.dark_oak_boat: #23, 1(0%)
minecraft.mined.shulker_box: #23, 27(0%)
minecraft.picked_up.shulker_box: #23, 27(0%)
minecraft.mined.kelp_plant: #23, 24(0%)
minecraft.picked_up.dark_oak_log: #23, 89(0%)
minecraft.picked_up.book: #23, 6(0%)
minecraft.mined.dark_oak_log: #23, 59(0%)
minecraft.picked_up.kelp: #23, 179(0%)
minecraft.picked_up.potion: #23, 1(0%)
minecraft.crafted.quartz_block: #23, 28(0%)
minecraft.used.dispenser: #23, 1(0%)
minecraft.mined.black_stained_glass: #23, 1(0%)
minecraft.picked_up.magma_block: #23, 4(0%)
minecraft.mined.magma_block: #23, 4(0%)
minecraft.used.potato: #23, 5(0%)
minecraft.crafted.book: #23, 1(0%)
minecraft.picked_up.ice: #23, 2(0%)
minecraft.picked_up.black_concrete: #23, 1(0%)
minecraft.mined.black_concrete: #23, 1(0%)
minecraft.picked_up.leather_helmet: #24, 2(1%)
minecraft.mined.furnace: #24, 13(0%)
minecraft.picked_up.furnace: #24, 12(0%)
minecraft.mined.chest: #24, 25(0%)
minecraft.crafted.oak_sign: #24, 15(0%)
minecraft.picked_up.chest: #24, 26(0%)
minecraft.picked_up.name_tag: #24, 1(0%)
minecraft.picked_up.white_wool: #24, 11(0%)
minecraft.used.diamond_sword: #24, 236(0%)
minecraft.killed.skeleton: #24, 69(0%)
minecraft.picked_up.birch_sapling: #24, 13(0%)
minecraft.crafted.coal: #24, 45(0%)
minecraft.killed.cow: #24, 4(0%)
minecraft.mined.sand: #24, 478(0%)
minecraft.picked_up.obsidian: #24, 10(0%)
minecraft.mined.potatoes: #24, 6(0%)
minecraft.picked_up.sand: #24, 438(0%)
minecraft.picked_up.potato: #24, 24(0%)
minecraft.used.jungle_log: #24, 2(0%)
minecraft.custom.talked_to_villager: #24, 7(0%)
minecraft.picked_up.dark_oak_planks: #24, 2(0%)
minecraft.mined.obsidian: #24, 2(0%)
minecraft.picked_up.jungle_log: #24, 4(0%)
minecraft.mined.jungle_log: #24, 3(0%)
minecraft.killed.witch: #24, 1(0%)
minecraft.crafted.air: #24, 0(0%)
minecraft.custom.leave_game: #25, 337(1%)
minecraft.crafted.diamond_axe: #25, 1(1%)
minecraft.dropped.diamond_sword: #25, 1(0%)
minecraft.picked_up.leather_chestplate: #25, 1(0%)
minecraft.picked_up.leather_leggings: #25, 1(0%)
minecraft.killed.pig: #25, 1(0%)
minecraft.picked_up.egg: #25, 22(0%)
minecraft.used.oak_sign: #25, 16(0%)
minecraft.picked_up.porkchop: #25, 2(0%)
minecraft.picked_up.diamond_boots: #25, 1(0%)
minecraft.picked_up.leather: #25, 14(0%)
minecraft.picked_up.bow: #25, 2(0%)
minecraft.picked_up.beef: #25, 9(0%)
minecraft.picked_up.brown_mushroom: #25, 1(0%)
minecraft.picked_up.poppy: #25, 7(0%)
minecraft.custom.walk_under_water_one_cm: #26, 1285630(0%)
minecraft.picked_up.diamond_sword: #26, 1(0%)
minecraft.custom.play_one_minute: #27, 14612071(1%)
minecraft.custom.fly_one_cm: #32, 13388381(0%)
minecraft.custom.time_since_rest: #47, 5087(0%)
