stat, rank, value, (percentage) 
minecraft.crafted.diamond_leggings: #21, 1(1%)
minecraft.killed.creeper: #21, 60(1%)
minecraft.killed_by.creeper: #21, 1(1%)
minecraft.picked_up.gold_ore: #21, 200(1%)
minecraft.crafted.iron_chestplate: #21, 2(1%)
minecraft.crafted.iron_boots: #21, 2(1%)
minecraft.picked_up.coal: #21, 2097(1%)
minecraft.crafted.iron_bars: #21, 192(1%)
minecraft.used.iron_bars: #21, 171(1%)
minecraft.dropped.andesite: #21, 309(1%)
minecraft.picked_up.cobblestone: #21, 8046(0%)
minecraft.crafted.charcoal: #21, 13(0%)
minecraft.killed.skeleton: #21, 339(0%)
minecraft.mined.white_carpet: #21, 9(0%)
minecraft.crafted.spruce_stairs: #21, 88(0%)
minecraft.picked_up.oak_stairs: #21, 16(0%)
minecraft.mined.spruce_log: #21, 477(0%)
minecraft.picked_up.spruce_sapling: #21, 52(0%)
minecraft.used.stone_brick_stairs: #21, 157(0%)
minecraft.picked_up.spruce_log: #21, 475(0%)
minecraft.crafted.lapis_lazuli: #21, 99(0%)
minecraft.crafted.flint_and_steel: #21, 1(0%)
minecraft.used.stone_sword: #21, 5(0%)
minecraft.mined.anvil: #21, 2(0%)
minecraft.crafted.spruce_door: #21, 3(0%)
minecraft.picked_up.gunpowder: #21, 46(0%)
minecraft.picked_up.anvil: #21, 2(0%)
minecraft.picked_up.cactus: #21, 87(0%)
minecraft.crafted.dark_oak_planks: #21, 316(0%)
minecraft.mined.glass_pane: #21, 5(0%)
minecraft.picked_up.dark_oak_planks: #21, 20(0%)
minecraft.mined.sand: #21, 1827(0%)
minecraft.crafted.oak_fence: #21, 15(0%)
minecraft.mined.stripped_oak_log: #21, 6(0%)
minecraft.picked_up.stripped_oak_log: #21, 6(0%)
minecraft.picked_up.sand: #21, 1864(0%)
minecraft.picked_up.rose_bush: #21, 15(0%)
minecraft.mined.sea_lantern: #21, 11(0%)
minecraft.picked_up.spruce_door: #21, 1(0%)
minecraft.used.flint_and_steel: #21, 5(0%)
minecraft.picked_up.azure_bluet: #21, 6(0%)
minecraft.mined.stone_brick_slab: #21, 20(0%)
minecraft.picked_up.stone_brick_slab: #21, 20(0%)
minecraft.dropped.oak_sapling: #21, 2(0%)
minecraft.picked_up.poppy: #21, 23(0%)
minecraft.picked_up.coarse_dirt: #21, 9(0%)
minecraft.mined.coarse_dirt: #21, 8(0%)
minecraft.used.dark_oak_trapdoor: #21, 4(0%)
minecraft.mined.magma_block: #21, 10(0%)
minecraft.crafted.hopper: #21, 9(0%)
minecraft.picked_up.magma_block: #21, 9(0%)
minecraft.mined.grass_path: #21, 2(0%)
minecraft.mined.nether_quartz_ore: #21, 55(0%)
minecraft.killed.phantom: #21, 1(0%)
minecraft.used.white_wool: #21, 1(0%)
minecraft.dropped.paper: #21, 1(0%)
minecraft.mined.sandstone: #21, 12(0%)
minecraft.picked_up.sandstone: #21, 12(0%)
minecraft.used.black_stained_glass: #21, 1(0%)
minecraft.killed.witch: #21, 1(0%)
minecraft.broken.iron_axe: #22, 1(1%)
