stat, rank, value, (percentage) 
minecraft.crafted.cobblestone_wall: #22, 18(0%)
minecraft.killed.cow: #22, 8(0%)
minecraft.broken.shears: #22, 1(0%)
minecraft.used.oak_log: #22, 20(0%)
minecraft.picked_up.rose_bush: #22, 8(0%)
minecraft.custom.trigger_trapped_chest: #22, 2(0%)
minecraft.used.cobblestone_wall: #22, 9(0%)
minecraft.crafted.jungle_planks: #22, 44(0%)
minecraft.picked_up.potion: #22, 1(0%)
minecraft.picked_up.dark_oak_planks: #22, 3(0%)
minecraft.crafted.stone_brick_slab: #22, 18(0%)
minecraft.crafted.dark_oak_slab: #22, 6(0%)
minecraft.crafted.book: #22, 1(0%)
minecraft.crafted.hopper: #22, 2(0%)
minecraft.crafted.diamond_sword: #23, 1(1%)
minecraft.mined.wheat: #23, 306(1%)
minecraft.picked_up.leather_leggings: #23, 2(0%)
minecraft.picked_up.wheat: #23, 332(0%)
minecraft.used.wheat_seeds: #23, 306(0%)
minecraft.picked_up.oak_log: #23, 383(0%)
minecraft.picked_up.apple: #23, 19(0%)
minecraft.picked_up.iron_shovel: #23, 1(0%)
minecraft.mined.poppy: #23, 12(0%)
minecraft.crafted.white_bed: #23, 1(0%)
minecraft.crafted.oak_boat: #23, 1(0%)
minecraft.crafted.diamond_pickaxe: #23, 1(0%)
minecraft.picked_up.ink_sac: #23, 28(0%)
minecraft.picked_up.white_wool: #23, 15(0%)
minecraft.used.bow: #23, 76(0%)
minecraft.used.spruce_slab: #23, 65(0%)
minecraft.picked_up.enchanted_book: #23, 1(0%)
minecraft.dropped.andesite: #23, 51(0%)
minecraft.mined.cobblestone_wall: #23, 3(0%)
minecraft.mined.stone_brick_stairs: #23, 15(0%)
minecraft.picked_up.oak_leaves: #23, 93(0%)
minecraft.used.spruce_stairs: #23, 18(0%)
minecraft.picked_up.stone_brick_stairs: #23, 19(0%)
minecraft.used.cooked_beef: #23, 16(0%)
minecraft.picked_up.beef: #23, 19(0%)
minecraft.picked_up.cod: #23, 70(0%)
minecraft.used.spruce_log: #23, 24(0%)
minecraft.used.oak_planks: #23, 14(0%)
minecraft.mined.obsidian: #23, 16(0%)
minecraft.picked_up.obsidian: #23, 16(0%)
minecraft.mined.player_head: #23, 1(0%)
minecraft.mined.glass_pane: #23, 1(0%)
minecraft.used.spruce_sapling: #23, 4(0%)
minecraft.custom.inspect_hopper: #23, 13(0%)
minecraft.picked_up.poppy: #23, 13(0%)
minecraft.used.stone_brick_stairs: #23, 15(0%)
minecraft.mined.oak_fence: #23, 1(0%)
minecraft.mined.dark_oak_stairs: #23, 1(0%)
minecraft.mined.hopper: #23, 2(0%)
minecraft.picked_up.hopper: #23, 2(0%)
minecraft.picked_up.dark_oak_stairs: #23, 1(0%)
minecraft.crafted.stone_brick_stairs: #23, 8(0%)
minecraft.used.oak_leaves: #23, 7(0%)
minecraft.used.hopper: #23, 2(0%)
minecraft.used.dark_oak_stairs: #23, 1(0%)
minecraft.custom.horse_one_cm: #23, 648(0%)
minecraft.picked_up.wheat_seeds: #24, 531(0%)
