stat, rank, value, (percentage) 
minecraft.crafted.iron_ingot: #5, 30142(8%)
minecraft.mined.end_stone: #4, 1300(5%)
minecraft.dropped.light_blue_terracotta: #3, 39(0%)
minecraft.picked_up.tipped_arrow: #4, 64(11%)
minecraft.mined.purpur_pillar: #4, 209(8%)
minecraft.broken.diamond_boots: #4, 1(20%)
minecraft.picked_up.purpur_pillar: #4, 203(8%)
minecraft.crafted.stone_hoe: #4, 6(5%)
minecraft.dropped.rabbit_hide: #4, 5(12%)
minecraft.mined.light_gray_stained_glass_pane: #4, 162(7%)
minecraft.dropped.flint: #5, 788(8%)
minecraft.dropped.blaze_powder: #4, 27(9%)
minecraft.dropped.purpur_stairs: #4, 16(8%)
minecraft.dropped.gold_ingot: #4, 215(5%)
minecraft.custom.aviate_one_cm: #6, 856881929(11%)
minecraft.crafted.acacia_boat: #4, 6(7%)
minecraft.dropped.stone_hoe: #4, 5(6%)
minecraft.mined.light_blue_terracotta: #4, 136(5%)
minecraft.picked_up.minecart: #5, 427(8%)
minecraft.mined.dark_oak_leaves: #5, 1266(8%)
minecraft.picked_up.blaze_rod: #4, 381(4%)
minecraft.picked_up.end_rod: #5, 1204(8%)
minecraft.mined.oak_fence_gate: #4, 33(4%)
minecraft.dropped.light_gray_banner: #4, 1(20%)
minecraft.used.slime_block: #5, 1445(8%)
minecraft.dropped.oak_sapling: #5, 322(8%)
minecraft.mined.brick_stairs: #4, 67(6%)
minecraft.killed_by.phantom: #4, 5(5%)
minecraft.used.sugar_cane: #5, 2265(8%)
minecraft.dropped.bone_meal: #5, 781(8%)
minecraft.crafted.chest_minecart: #4, 9(5%)
minecraft.used.rail: #5, 6447(8%)
minecraft.used.smooth_stone: #5, 4399(8%)
minecraft.picked_up.orange_stained_glass: #4, 124(6%)
minecraft.picked_up.cyan_dye: #4, 110(6%)
minecraft.dropped.poppy: #4, 2383(3%)
minecraft.dropped.nether_brick_fence: #4, 21(9%)
minecraft.dropped.clock: #4, 1(9%)
minecraft.dropped.green_shulker_box: #4, 2(11%)
minecraft.mined.redstone_wire: #5, 1214(7%)
minecraft.dropped.yellow_concrete: #4, 62(8%)
minecraft.crafted.beacon: #4, 13(4%)
minecraft.used.cyan_terracotta: #5, 14720(7%)
minecraft.dropped.ghast_tear: #4, 3(7%)
minecraft.picked_up.cod_bucket: #4, 1(14%)
minecraft.dropped.diamond_shovel: #5, 14(8%)
minecraft.dropped.lever: #5, 62(8%)
minecraft.dropped.acacia_slab: #4, 3(11%)
minecraft.crafted.apple: #4, 80(5%)
