stat, rank, value, (percentage) 
minecraft.crafted.light_blue_banner: #3, 89(17%)
minecraft.used.nether_wart: #4, 6995(14%)
minecraft.dropped.pink_concrete_powder: #2, 52(10%)
minecraft.mined.wither_skeleton_skull: #3, 5(17%)
minecraft.dropped.minecart: #4, 54(12%)
minecraft.picked_up.brick_wall: #2, 15(4%)
minecraft.used.birch_leaves: #3, 564(7%)
minecraft.mined.cartography_table: #3, 9(15%)
minecraft.picked_up.cartography_table: #3, 9(15%)
minecraft.crafted.polished_diorite: #3, 1228(7%)
minecraft.mined.lime_wool: #3, 50(7%)
minecraft.used.sand: #5, 45275(11%)
minecraft.picked_up.iron_block: #4, 4934(9%)
minecraft.used.oak_log: #4, 2761(9%)
minecraft.dropped.oak_log: #4, 399(11%)
minecraft.mined.granite_slab: #2, 12(5%)
minecraft.used.nether_brick_slab: #4, 884(13%)
minecraft.mined.quartz_block: #4, 703(10%)
minecraft.picked_up.stone_slab: #4, 974(11%)
minecraft.dropped.enchanted_book: #3, 39(6%)
minecraft.dropped.iron_trapdoor: #3, 47(8%)
minecraft.used.cut_red_sandstone: #2, 80(7%)
minecraft.used.black_glazed_terracotta: #3, 117(14%)
minecraft.used.smooth_stone_slab: #4, 26525(10%)
minecraft.dropped.birch_trapdoor: #3, 8(9%)
minecraft.dropped.black_glazed_terracotta: #2, 3(4%)
minecraft.picked_up.name_tag: #4, 86(9%)
minecraft.crafted.polished_andesite: #4, 7744(10%)
minecraft.crafted.red_nether_brick_slab: #3, 320(19%)
minecraft.crafted.purple_shulker_box: #3, 11(9%)
minecraft.mined.dark_oak_fence: #4, 447(10%)
minecraft.used.red_nether_brick_slab: #3, 278(18%)
minecraft.picked_up.bubble_coral_block: #3, 386(8%)
minecraft.used.cauldron: #4, 116(10%)
minecraft.custom.interact_with_furnace: #4, 6186(8%)
minecraft.used.oak_button: #4, 111(10%)
minecraft.picked_up.jungle_door: #2, 21(1%)
minecraft.picked_up.vine: #4, 1791(10%)
minecraft.picked_up.nether_wart: #4, 8758(10%)
minecraft.dropped.gray_concrete: #3, 132(9%)
minecraft.crafted.stick: #4, 27330(7%)
minecraft.used.jungle_door: #2, 26(1%)
minecraft.picked_up.blue_terracotta: #3, 177(7%)
minecraft.picked_up.brown_dye: #2, 3(2%)
minecraft.crafted.red_banner: #3, 113(9%)
minecraft.crafted.smooth_stone_slab: #4, 31132(10%)
minecraft.mined.fire_coral_block: #3, 507(9%)
minecraft.mined.bubble_coral_block: #3, 401(9%)
minecraft.dropped.blue_concrete_powder: #2, 12(3%)
minecraft.used.birch_stairs: #4, 1767(11%)
minecraft.picked_up.oak_log: #4, 10148(7%)
minecraft.used.tripwire_hook: #3, 122(5%)
minecraft.used.carrot_on_a_stick: #3, 551(8%)
minecraft.dropped.birch_boat: #4, 10(13%)
minecraft.used.dark_oak_trapdoor: #4, 838(9%)
minecraft.dropped.snow_block: #3, 126(8%)
minecraft.picked_up.writable_book: #4, 54(10%)
minecraft.mined.gray_stained_glass_pane: #3, 109(10%)
minecraft.mined.red_nether_bricks: #3, 110(10%)
minecraft.used.chiseled_sandstone: #3, 37(8%)
minecraft.picked_up.light_blue_shulker_box: #4, 953(10%)
minecraft.mined.light_blue_shulker_box: #4, 928(10%)
minecraft.crafted.mossy_cobblestone_slab: #3, 60(14%)
minecraft.picked_up.light_gray_concrete: #4, 3672(10%)
minecraft.used.bow: #4, 5561(8%)
minecraft.used.green_glazed_terracotta: #3, 78(14%)
minecraft.dropped.red_sand: #3, 65(11%)
minecraft.used.light_blue_shulker_box: #4, 936(10%)
minecraft.picked_up.green_stained_glass_pane: #3, 48(11%)
minecraft.used.polished_granite_slab: #3, 200(19%)
minecraft.picked_up.scute: #3, 51(19%)
minecraft.mined.jungle_fence_gate: #3, 5(19%)
minecraft.crafted.spruce_pressure_plate: #4, 49(10%)
minecraft.used.netherrack: #4, 12499(8%)
minecraft.used.acacia_log: #4, 4175(11%)
minecraft.picked_up.anvil: #4, 96(8%)
minecraft.mined.oak_log: #4, 8996(7%)
minecraft.mined.comparator: #4, 192(9%)
minecraft.used.sweet_berries: #3, 438(6%)
minecraft.killed.wolf: #3, 2(12%)
minecraft.dropped.acacia_trapdoor: #3, 17(12%)
minecraft.crafted.bricks: #3, 4108(8%)
minecraft.picked_up.gray_concrete: #4, 8629(10%)
minecraft.crafted.gray_terracotta: #3, 3448(13%)
minecraft.used.stripped_birch_wood: #3, 42(13%)
minecraft.used.purple_shulker_box: #4, 226(11%)
minecraft.killed_by.vex: #3, 4(11%)
minecraft.picked_up.leather_helmet: #4, 24(8%)
minecraft.picked_up.repeater: #4, 972(9%)
minecraft.picked_up.acacia_log: #4, 6022(9%)
minecraft.mined.obsidian: #4, 2387(8%)
minecraft.used.mossy_cobblestone_slab: #3, 57(13%)
minecraft.crafted.polished_granite_slab: #3, 270(18%)
minecraft.picked_up.green_terracotta: #3, 594(5%)
minecraft.dropped.dark_oak_button: #3, 10(8%)
minecraft.used.brown_concrete_powder: #4, 892(12%)
minecraft.crafted.red_sandstone: #3, 2179(15%)
minecraft.picked_up.jungle_log: #4, 5017(8%)
minecraft.picked_up.jungle_fence_gate: #3, 5(18%)
minecraft.crafted.yellow_terracotta: #3, 936(9%)
minecraft.picked_up.purple_shulker_box: #4, 224(11%)
minecraft.broken.golden_helmet: #3, 1(11%)
minecraft.used.red_stained_glass_pane: #4, 733(13%)
minecraft.picked_up.fire_coral_block: #3, 464(8%)
minecraft.dropped.dark_oak_sapling: #3, 16(8%)
minecraft.dropped.elytra: #4, 17(9%)
minecraft.picked_up.spruce_trapdoor: #4, 699(8%)
minecraft.picked_up.spruce_log: #4, 15665(7%)
minecraft.picked_up.light_blue_stained_glass: #4, 1721(11%)
minecraft.mined.black_terracotta: #3, 234(6%)
minecraft.mined.blue_banner: #3, 10(14%)
minecraft.mined.white_concrete_powder: #4, 649(9%)
minecraft.dropped.diamond: #4, 813(8%)
minecraft.crafted.gray_banner: #3, 27(14%)
minecraft.used.light_gray_concrete: #4, 4213(9%)
minecraft.crafted.blue_stained_glass_pane: #3, 352(7%)
minecraft.used.enchanting_table: #4, 11(10%)
minecraft.picked_up.comparator: #4, 424(9%)
minecraft.mined.spruce_log: #4, 14020(7%)
minecraft.picked_up.tropical_fish: #4, 44(8%)
minecraft.crafted.blue_shulker_box: #4, 10(11%)
minecraft.crafted.red_shulker_box: #4, 29(9%)
minecraft.dropped.stripped_spruce_wood: #3, 2(17%)
minecraft.picked_up.light_gray_terracotta: #4, 13032(9%)
minecraft.picked_up.birch_log: #4, 5089(8%)
minecraft.dropped.white_terracotta: #3, 166(6%)
minecraft.crafted.orange_shulker_box: #3, 15(5%)
minecraft.crafted.beacon: #3, 17(5%)
minecraft.mined.barrel: #4, 111(9%)
minecraft.picked_up.red_nether_bricks: #3, 110(9%)
minecraft.dropped.nether_brick_stairs: #3, 36(10%)
minecraft.custom.bell_ring: #4, 195(12%)
minecraft.mined.brown_concrete: #4, 587(15%)
minecraft.mined.redstone_wall_torch: #4, 163(8%)
minecraft.crafted.pink_concrete_powder: #4, 384(12%)
minecraft.mined.red_terracotta: #4, 8907(9%)
minecraft.picked_up.light_blue_glazed_terracotta: #3, 573(5%)
minecraft.mined.oak_leaves: #4, 9950(6%)
minecraft.dropped.scaffolding: #4, 337(11%)
minecraft.picked_up.blast_furnace: #3, 24(6%)
minecraft.dropped.birch_pressure_plate: #3, 8(13%)
minecraft.dropped.iron_nugget: #3, 65(4%)
minecraft.mined.acacia_leaves: #5, 3110(13%)
minecraft.crafted.light_gray_dye: #4, 2825(8%)
minecraft.crafted.chest_minecart: #3, 9(5%)
minecraft.custom.boat_one_cm: #4, 42662876(6%)
minecraft.crafted.cracked_stone_bricks: #3, 1148(5%)
minecraft.mined.gray_terracotta: #3, 367(7%)
minecraft.dropped.gray_concrete_powder: #3, 115(10%)
minecraft.dropped.birch_button: #4, 50(17%)
minecraft.mined.jungle_log: #4, 4413(7%)
minecraft.mined.stripped_birch_wood: #3, 39(8%)
minecraft.picked_up.stripped_birch_wood: #3, 39(8%)
minecraft.used.green_terracotta: #3, 2263(5%)
minecraft.mined.ice: #4, 24695(8%)
minecraft.mined.redstone_wire: #4, 1278(7%)
minecraft.broken.iron_leggings: #3, 1(14%)
minecraft.mined.turtle_egg: #3, 86(12%)
minecraft.mined.acacia_log: #4, 5188(8%)
minecraft.picked_up.red_terracotta: #4, 8940(9%)
minecraft.mined.acacia_button: #3, 3(18%)
minecraft.picked_up.oak_boat: #4, 186(6%)
minecraft.dropped.blue_orchid: #3, 15(23%)
minecraft.picked_up.cyan_terracotta: #4, 5840(8%)
minecraft.crafted.diamond_block: #4, 696(8%)
minecraft.picked_up.gray_terracotta: #3, 370(6%)
minecraft.picked_up.acacia_sapling: #4, 1149(8%)
minecraft.mined.birch_log: #4, 4063(7%)
minecraft.mined.purple_shulker_box: #4, 219(10%)
minecraft.dropped.damaged_anvil: #3, 1(11%)
minecraft.mined.rose_bush: #3, 1(17%)
minecraft.crafted.red_nether_bricks: #3, 1653(8%)
minecraft.dropped.dried_kelp_block: #3, 66(8%)
minecraft.used.pink_banner: #3, 5(13%)
minecraft.mined.dark_oak_log: #4, 8828(7%)
minecraft.picked_up.nether_brick_wall: #3, 71(13%)
minecraft.crafted.golden_chestplate: #3, 4(5%)
minecraft.crafted.mossy_stone_brick_slab: #3, 50(11%)
minecraft.crafted.end_stone_bricks: #3, 640(9%)
minecraft.picked_up.gold_block: #4, 1060(8%)
minecraft.picked_up.dark_oak_log: #4, 9509(7%)
minecraft.picked_up.lapis_block: #4, 216(9%)
minecraft.dropped.cobblestone: #4, 24703(6%)
minecraft.mined.spruce_stairs: #4, 532(6%)
minecraft.used.lever: #4, 462(7%)
minecraft.dropped.carved_pumpkin: #4, 22(13%)
minecraft.mined.oak_slab: #4, 476(7%)
minecraft.dropped.dark_oak_trapdoor: #3, 14(5%)
minecraft.used.dark_oak_door: #4, 50(11%)
minecraft.used.brown_terracotta: #4, 2028(11%)
minecraft.used.dark_oak_slab: #4, 2860(8%)
minecraft.picked_up.light_blue_carpet: #4, 141(14%)
minecraft.mined.red_nether_brick_stairs: #3, 15(19%)
minecraft.mined.light_gray_terracotta: #4, 12518(9%)
minecraft.picked_up.skeleton_skull: #3, 1(14%)
minecraft.mined.birch_leaves: #4, 1602(6%)
minecraft.used.potion: #4, 88(7%)
minecraft.mined.mossy_stone_bricks: #4, 107(7%)
minecraft.picked_up.acacia_sign: #3, 2(8%)
minecraft.crafted.green_terracotta: #3, 2184(4%)
minecraft.used.orange_stained_glass: #4, 268(10%)
minecraft.mined.lever: #4, 149(7%)
minecraft.dropped.diamond_leggings: #4, 10(10%)
minecraft.picked_up.blue_shulker_box: #4, 224(8%)
minecraft.used.dead_fire_coral_block: #3, 74(7%)
minecraft.picked_up.red_sand: #4, 8852(12%)
minecraft.killed.pufferfish: #4, 8(13%)
minecraft.dropped.light_blue_stained_glass_pane: #3, 5(10%)
minecraft.crafted.purpur_slab: #3, 180(13%)
minecraft.used.string: #4, 1012(7%)
minecraft.used.blue_shulker_box: #4, 218(8%)
minecraft.mined.blue_shulker_box: #4, 215(8%)
minecraft.used.golden_carrot: #5, 5408(9%)
minecraft.used.yellow_concrete: #4, 1272(9%)
minecraft.used.mossy_stone_brick_slab: #3, 45(8%)
minecraft.crafted.purpur_pillar: #3, 71(12%)
minecraft.mined.pink_concrete_powder: #3, 8(9%)
minecraft.crafted.red_sandstone_stairs: #3, 32(12%)
minecraft.picked_up.sponge: #4, 155(11%)
minecraft.picked_up.brown_carpet: #4, 162(10%)
minecraft.dropped.melon_slice: #3, 306(7%)
minecraft.crafted.gray_shulker_box: #4, 22(9%)
minecraft.mined.oak_pressure_plate: #4, 18(8%)
minecraft.picked_up.red_sandstone: #3, 20(9%)
minecraft.crafted.nether_brick_wall: #3, 72(9%)
minecraft.used.acacia_fence_gate: #3, 33(7%)
minecraft.picked_up.magenta_concrete_powder: #3, 40(7%)
minecraft.crafted.end_stone_brick_slab: #3, 12(15%)
minecraft.picked_up.orange_carpet: #4, 38(12%)
minecraft.mined.chorus_flower: #4, 213(9%)
minecraft.dropped.blue_dye: #3, 4(11%)
minecraft.crafted.dark_oak_fence: #4, 1008(8%)
minecraft.picked_up.mossy_cobblestone_slab: #3, 6(6%)
minecraft.picked_up.emerald_block: #4, 147(7%)
minecraft.picked_up.armor_stand: #4, 94(6%)
minecraft.mined.mossy_cobblestone_slab: #3, 6(7%)
minecraft.picked_up.bookshelf: #4, 107(7%)
minecraft.mined.orange_tulip: #4, 70(8%)
minecraft.crafted.gray_dye: #5, 4702(11%)
minecraft.used.packed_ice: #4, 6679(6%)
minecraft.dropped.light_gray_shulker_box: #3, 2(4%)
minecraft.dropped.yellow_banner: #3, 2(10%)
minecraft.picked_up.red_nether_brick_stairs: #3, 16(13%)
minecraft.dropped.orange_shulker_box: #3, 4(5%)
minecraft.dropped.purple_carpet: #3, 4(10%)
minecraft.dropped.cyan_stained_glass: #3, 40(4%)
minecraft.crafted.melon_seeds: #3, 135(4%)
minecraft.dropped.melon_seeds: #3, 41(4%)
minecraft.picked_up.firework_rocket: #4, 5867(6%)
minecraft.picked_up.green_concrete: #4, 1084(8%)
minecraft.dropped.oak_slab: #4, 107(8%)
minecraft.dropped.brown_terracotta: #3, 114(4%)
minecraft.picked_up.chorus_flower: #4, 229(9%)
minecraft.picked_up.lily_pad: #4, 119(7%)
minecraft.used.nether_brick_wall: #3, 53(7%)
minecraft.mined.dead_fire_coral_block: #3, 43(3%)
minecraft.dropped.tipped_arrow: #3, 6(4%)
minecraft.crafted.terracotta: #3, 56(6%)
minecraft.mined.infested_cracked_stone_bricks: #3, 1(8%)
minecraft.crafted.repeater: #4, 1045(6%)
minecraft.mined.wither_rose: #3, 27(5%)
minecraft.picked_up.hopper_minecart: #3, 1(6%)
minecraft.crafted.redstone_block: #5, 4474(9%)
minecraft.dropped.gray_bed: #3, 1(8%)
minecraft.crafted.mossy_stone_brick_wall: #3, 12(6%)
minecraft.dropped.podzol: #4, 58(13%)
minecraft.crafted.dark_prismarine_stairs: #3, 168(4%)
minecraft.used.golden_sword: #3, 1(10%)
minecraft.crafted.purple_bed: #3, 2(5%)
minecraft.used.birch_fence_gate: #4, 92(12%)
minecraft.used.oak_pressure_plate: #4, 34(8%)
minecraft.mined.birch_wood: #3, 16(3%)
minecraft.used.repeater: #5, 2143(10%)
minecraft.mined.prismarine_brick_stairs: #4, 79(14%)
minecraft.crafted.nether_bricks: #4, 4293(11%)
minecraft.crafted.green_shulker_box: #4, 14(8%)
minecraft.crafted.spruce_fence_gate: #4, 430(7%)
minecraft.used.stripped_spruce_log: #4, 60(7%)
minecraft.picked_up.ender_pearl: #4, 1632(5%)
minecraft.mined.sticky_piston: #5, 578(10%)
minecraft.dropped.compass: #3, 3(3%)
minecraft.picked_up.jungle_wood: #4, 24(15%)
minecraft.used.dark_prismarine_stairs: #3, 139(3%)
minecraft.picked_up.brown_terracotta: #4, 2538(7%)
minecraft.picked_up.oak_leaves: #4, 5922(5%)
minecraft.mined.magenta_concrete_powder: #3, 8(4%)
minecraft.mined.brick_wall: #3, 15(4%)
minecraft.mined.poppy: #5, 486(8%)
minecraft.mined.chorus_plant: #4, 157(8%)
minecraft.mined.torch: #5, 4082(8%)
minecraft.mined.yellow_banner: #4, 9(10%)
minecraft.crafted.diorite_slab: #3, 6(4%)
minecraft.dropped.birch_wood: #3, 2(4%)
minecraft.picked_up.birch_leaves: #4, 1102(6%)
minecraft.used.dirt: #5, 54929(7%)
minecraft.dropped.diamond_hoe: #3, 1(5%)
minecraft.dropped.gray_shulker_box: #3, 2(3%)
minecraft.mined.dark_prismarine_stairs: #3, 27(2%)
minecraft.picked_up.smoker: #4, 25(10%)
minecraft.crafted.blue_bed: #3, 2(2%)
minecraft.picked_up.dark_prismarine_stairs: #3, 35(2%)
minecraft.mined.brown_terracotta: #4, 2380(7%)
minecraft.crafted.acacia_button: #4, 18(17%)
minecraft.mined.blue_terracotta: #4, 134(8%)
minecraft.dropped.smooth_quartz_stairs: #3, 2(3%)
minecraft.used.red_sandstone: #3, 20(4%)
minecraft.picked_up.stripped_jungle_wood: #3, 6(3%)
minecraft.dropped.brown_shulker_box: #3, 2(4%)
minecraft.custom.interact_with_lectern: #4, 148(5%)
minecraft.mined.stripped_jungle_wood: #3, 6(3%)
minecraft.crafted.cobblestone_wall: #5, 1776(9%)
minecraft.picked_up.smooth_stone: #4, 1778(5%)
minecraft.dropped.polished_granite_stairs: #3, 2(4%)
minecraft.crafted.polished_granite_stairs: #3, 48(2%)
minecraft.used.chiseled_stone_bricks: #4, 456(7%)
minecraft.picked_up.lime_terracotta: #4, 762(6%)
minecraft.dropped.light_weighted_pressure_plate: #3, 1(3%)
minecraft.dropped.smooth_quartz_slab: #3, 6(2%)
minecraft.used.bookshelf: #4, 406(5%)
minecraft.crafted.wooden_hoe: #4, 4(8%)
minecraft.crafted.stone_bricks: #5, 40736(8%)
minecraft.picked_up.purple_concrete_powder: #3, 46(1%)
minecraft.crafted.magenta_bed: #3, 1(2%)
minecraft.dropped.iron_helmet: #4, 15(6%)
minecraft.dropped.mossy_cobblestone_stairs: #3, 2(3%)
minecraft.used.comparator: #5, 748(9%)
minecraft.picked_up.brown_mushroom_block: #4, 2601(12%)
minecraft.used.horn_coral_block: #4, 101(7%)
minecraft.used.chorus_flower: #4, 190(9%)
minecraft.crafted.pink_shulker_box: #4, 8(8%)
minecraft.picked_up.dark_oak_stairs: #5, 669(9%)
minecraft.mined.smoker: #4, 24(10%)
minecraft.picked_up.cobblestone_wall: #5, 488(9%)
minecraft.dropped.wither_skeleton_skull: #3, 1(1%)
minecraft.crafted.jungle_door: #3, 15(1%)
minecraft.mined.spruce_fence_gate: #4, 55(7%)
minecraft.dropped.black_stained_glass_pane: #3, 1(1%)
minecraft.dropped.cyan_wool: #4, 64(10%)
minecraft.custom.jump: #6, 626110(7%)
minecraft.picked_up.cobblestone: #5, 144152(7%)
minecraft.mined.attached_melon_stem: #3, 6(1%)
minecraft.crafted.iron_door: #4, 45(5%)
minecraft.crafted.chest: #5, 3791(7%)
minecraft.dropped.brown_stained_glass: #3, 1(0%)
minecraft.killed_by.zombie_pigman: #4, 2(9%)
minecraft.used.diamond_shovel: #5, 371083(8%)
minecraft.picked_up.salmon: #5, 633(9%)
minecraft.picked_up.terracotta: #4, 10839(4%)
minecraft.used.green_stained_glass: #4, 324(7%)
minecraft.mined.blast_furnace: #4, 23(7%)
minecraft.mined.terracotta: #4, 10784(4%)
minecraft.dropped.birch_stairs: #4, 32(11%)
minecraft.mined.birch_sapling: #4, 32(6%)
minecraft.picked_up.acacia_leaves: #4, 1149(8%)
minecraft.mined.red_tulip: #4, 48(5%)
minecraft.used.dark_oak_planks: #5, 2108(9%)
minecraft.used.iron_block: #5, 5734(8%)
minecraft.dropped.cactus: #4, 1554(5%)
minecraft.crafted.activator_rail: #4, 48(7%)
minecraft.picked_up.black_carpet: #5, 236(10%)
minecraft.dropped.mossy_cobblestone: #4, 38(8%)
minecraft.picked_up.white_tulip: #4, 79(6%)
minecraft.dropped.campfire: #4, 9(13%)
minecraft.dropped.diamond_ore: #4, 10(13%)
minecraft.mined.cyan_terracotta: #5, 4707(9%)
minecraft.mined.horn_coral_block: #4, 337(8%)
minecraft.mined.smooth_stone_slab: #5, 4317(9%)
minecraft.mined.mossy_cobblestone_wall: #4, 8(8%)
minecraft.picked_up.sticky_piston: #5, 587(8%)
minecraft.picked_up.oak_sapling: #5, 2431(6%)
minecraft.picked_up.horn_coral_block: #4, 332(8%)
minecraft.used.wither_rose: #4, 359(15%)
minecraft.mined.gray_carpet: #5, 293(10%)
minecraft.dropped.pumpkin_seeds: #4, 1101(6%)
minecraft.mined.polished_andesite: #5, 2218(8%)
minecraft.used.red_banner: #4, 66(6%)
minecraft.crafted.cyan_terracotta: #5, 19096(11%)
minecraft.picked_up.obsidian: #5, 2728(7%)
minecraft.picked_up.spruce_sapling: #5, 1578(7%)
minecraft.crafted.birch_fence_gate: #4, 49(7%)
minecraft.picked_up.pink_concrete_powder: #4, 115(11%)
minecraft.picked_up.magenta_concrete: #4, 248(7%)
minecraft.used.horn_coral_fan: #4, 42(5%)
minecraft.mined.blue_stained_glass_pane: #4, 27(7%)
minecraft.crafted.orange_terracotta: #4, 512(8%)
minecraft.used.mossy_cobblestone_wall: #4, 52(8%)
minecraft.killed_by.enderman: #4, 2(6%)
minecraft.picked_up.tube_coral_block: #4, 291(6%)
minecraft.mined.orange_carpet: #4, 13(7%)
minecraft.crafted.dark_oak_trapdoor: #5, 718(8%)
minecraft.picked_up.piston: #5, 533(9%)
minecraft.crafted.diamond: #5, 4446(8%)
minecraft.used.red_glazed_terracotta: #4, 90(8%)
minecraft.dropped.clay: #4, 6(11%)
minecraft.mined.cobblestone: #5, 7287(7%)
minecraft.crafted.piston: #5, 1437(7%)
minecraft.custom.swim_one_cm: #5, 15594232(6%)
minecraft.used.quartz_block: #5, 1267(8%)
minecraft.crafted.smooth_quartz_stairs: #4, 216(8%)
minecraft.mined.tube_coral_block: #4, 297(6%)
minecraft.mined.cyan_banner: #4, 3(8%)
minecraft.picked_up.rabbit: #4, 7(6%)
minecraft.mined.lantern: #5, 135(9%)
minecraft.mined.andesite: #5, 23778(7%)
minecraft.mined.birch_stairs: #4, 274(4%)
minecraft.used.turtle_egg: #4, 45(8%)
minecraft.picked_up.andesite: #5, 22426(7%)
minecraft.used.music_disc_cat: #4, 3(10%)
minecraft.used.gray_banner: #4, 15(10%)
minecraft.picked_up.cyan_banner: #4, 5(6%)
minecraft.picked_up.mossy_cobblestone_wall: #4, 8(7%)
minecraft.used.spruce_fence: #5, 1473(8%)
minecraft.dropped.jungle_boat: #4, 2(8%)
minecraft.picked_up.oak_fence_gate: #4, 38(4%)
minecraft.picked_up.nether_brick_fence: #5, 119(11%)
minecraft.picked_up.black_concrete: #5, 5688(7%)
minecraft.crafted.light_gray_terracotta: #4, 136(8%)
minecraft.mined.end_rod: #5, 662(7%)
minecraft.crafted.stone_stairs: #4, 440(4%)
minecraft.used.redstone_torch: #5, 1123(8%)
minecraft.dropped.shulker_shell: #4, 66(8%)
minecraft.custom.damage_resisted: #5, 34831(7%)
minecraft.crafted.purple_banner: #4, 14(9%)
minecraft.mined.potted_dandelion: #4, 1(9%)
minecraft.mined.infested_cobblestone: #4, 1(9%)
minecraft.dropped.beetroot_seeds: #4, 20(4%)
minecraft.picked_up.red_carpet: #5, 308(9%)
minecraft.picked_up.polished_andesite_stairs: #4, 84(5%)
minecraft.mined.magenta_concrete: #4, 190(5%)
minecraft.mined.orange_concrete_powder: #4, 7(9%)
minecraft.killed.turtle: #4, 32(6%)
minecraft.mined.gravel: #5, 46680(6%)
minecraft.dropped.dark_oak_fence_gate: #4, 6(7%)
minecraft.crafted.gray_stained_glass_pane: #4, 816(5%)
minecraft.dropped.wooden_axe: #4, 1(10%)
minecraft.picked_up.polished_andesite: #5, 2132(7%)
minecraft.dropped.pink_tulip: #4, 12(6%)
minecraft.crafted.brick: #5, 3729(8%)
minecraft.used.smithing_table: #4, 77(7%)
minecraft.used.smooth_quartz_stairs: #4, 229(6%)
minecraft.used.music_disc_chirp: #4, 2(8%)
minecraft.crafted.wooden_sword: #4, 10(4%)
minecraft.used.smooth_quartz_slab: #4, 650(4%)
minecraft.used.spruce_stairs: #5, 1487(6%)
minecraft.used.cobblestone: #5, 18169(6%)
minecraft.used.tube_coral_fan: #4, 32(3%)
minecraft.used.light_blue_banner: #4, 27(7%)
minecraft.dropped.stone_button: #4, 152(3%)
minecraft.crafted.white_terracotta: #4, 264(4%)
minecraft.used.glowstone: #5, 920(7%)
minecraft.crafted.oak_fence: #5, 795(6%)
minecraft.dropped.jungle_trapdoor: #4, 7(5%)
minecraft.picked_up.oak_slab: #5, 664(6%)
minecraft.dropped.iron_ingot: #5, 1130(7%)
minecraft.used.end_rod: #5, 1265(7%)
minecraft.picked_up.redstone_block: #5, 945(7%)
minecraft.dropped.smooth_sandstone: #4, 117(4%)
minecraft.dropped.black_shulker_box: #4, 1(6%)
minecraft.dropped.cyan_stained_glass_pane: #4, 8(8%)
minecraft.dropped.red_concrete_powder: #4, 5(8%)
minecraft.picked_up.glowstone_dust: #5, 1747(7%)
minecraft.killed.endermite: #5, 19(9%)
minecraft.crafted.lime_bed: #4, 4(7%)
minecraft.picked_up.gray_banner: #4, 7(8%)
minecraft.used.melon_seeds: #4, 94(4%)
minecraft.crafted.mossy_cobblestone_wall: #4, 48(7%)
minecraft.picked_up.gravel: #5, 44037(6%)
minecraft.used.spruce_sapling: #5, 877(6%)
minecraft.mined.smithing_table: #4, 15(6%)
minecraft.picked_up.snowball: #5, 6646(7%)
minecraft.picked_up.jungle_sapling: #5, 251(7%)
minecraft.custom.fall_one_cm: #6, 16531448(7%)
minecraft.used.gold_block: #5, 1418(8%)
minecraft.killed_by.wither: #4, 1(11%)
minecraft.crafted.lime_shulker_box: #4, 8(3%)
minecraft.picked_up.apple: #5, 364(6%)
minecraft.custom.interact_with_smoker: #5, 39(7%)
minecraft.picked_up.yellow_dye: #5, 230(11%)
minecraft.killed.creeper: #5, 457(6%)
minecraft.picked_up.sandstone_wall: #4, 11(7%)
minecraft.used.cyan_stained_glass: #4, 1588(3%)
minecraft.used.music_disc_11: #4, 1(7%)
minecraft.crafted.yellow_shulker_box: #4, 21(2%)
minecraft.crafted.stone_button: #4, 1069(2%)
minecraft.dropped.diamond_axe: #5, 11(7%)
minecraft.used.pumpkin_seeds: #4, 100(2%)
minecraft.used.fire_coral_block: #4, 114(4%)
minecraft.dropped.gunpowder: #5, 566(6%)
minecraft.mined.cobblestone_slab: #5, 418(7%)
minecraft.crafted.nether_wart_block: #4, 134(4%)
minecraft.dropped.hay_block: #4, 8(6%)
minecraft.crafted.lime_stained_glass_pane: #5, 608(9%)
minecraft.crafted.blue_carpet: #4, 657(2%)
minecraft.used.wooden_pickaxe: #5, 61(6%)
minecraft.crafted.jukebox: #4, 2(3%)
minecraft.dropped.prismarine_bricks: #4, 225(4%)
minecraft.crafted.acacia_fence_gate: #4, 19(4%)
minecraft.used.minecart: #5, 235(6%)
minecraft.used.flint_and_steel: #5, 311(6%)
minecraft.mined.activator_rail: #5, 18(10%)
minecraft.picked_up.blue_concrete_powder: #4, 171(4%)
minecraft.mined.cyan_concrete_powder: #4, 12(5%)
minecraft.picked_up.jungle_pressure_plate: #4, 2(5%)
minecraft.picked_up.diamond_leggings: #5, 57(6%)
minecraft.mined.chiseled_stone_bricks: #5, 125(8%)
minecraft.used.music_disc_mall: #4, 1(5%)
minecraft.mined.sandstone_wall: #4, 8(6%)
minecraft.used.milk_bucket: #5, 23(8%)
minecraft.used.glass_bottle: #5, 345(6%)
minecraft.used.nether_quartz_ore: #5, 2894(6%)
minecraft.mined.polished_granite_slab: #4, 11(6%)
minecraft.mined.tube_coral_wall_fan: #4, 56(3%)
minecraft.picked_up.smooth_quartz: #4, 415(2%)
minecraft.mined.dark_oak_stairs: #6, 569(9%)
minecraft.used.acacia_sapling: #5, 658(8%)
minecraft.dropped.cyan_dye: #4, 27(4%)
minecraft.picked_up.dark_oak_sapling: #5, 925(7%)
minecraft.picked_up.fire_coral: #4, 13(2%)
minecraft.mined.smooth_sandstone_stairs: #4, 14(3%)
minecraft.crafted.mossy_stone_brick_stairs: #4, 56(6%)
minecraft.custom.walk_under_water_one_cm: #7, 32197377(7%)
minecraft.used.magenta_concrete: #4, 62(2%)
minecraft.used.mossy_stone_brick_stairs: #4, 59(5%)
minecraft.crafted.red_sandstone_slab: #4, 312(5%)
minecraft.mined.green_concrete: #5, 1004(7%)
