stat, rank, value, (percentage) 
minecraft.dropped.golden_helmet: #1, 83(32%)
minecraft.picked_up.prismarine_crystals: #1, 27593(24%)
minecraft.picked_up.prismarine_shard: #1, 82582(27%)
minecraft.crafted.glowstone: #1, 6084(30%)
minecraft.dropped.arrow: #2, 8273(27%)
minecraft.picked_up.prismarine_slab: #1, 1180(67%)
minecraft.mined.jungle_fence: #2, 217(37%)
minecraft.dropped.blue_carpet: #1, 179(89%)
minecraft.picked_up.arrow: #1, 12276(18%)
minecraft.used.kelp: #1, 7513(22%)
minecraft.dropped.golden_chestplate: #1, 70(25%)
minecraft.mined.pink_shulker_box: #1, 1015(37%)
minecraft.picked_up.gray_dye: #1, 1633(58%)
minecraft.dropped.bowl: #1, 119(35%)
minecraft.used.acacia_door: #1, 139(58%)
minecraft.dropped.golden_leggings: #1, 65(25%)
minecraft.used.gray_carpet: #1, 6573(26%)
minecraft.crafted.prismarine_brick_slab: #1, 5064(43%)
minecraft.crafted.gray_carpet: #1, 6174(30%)
minecraft.used.green_concrete: #1, 3653(32%)
minecraft.picked_up.prismarine: #1, 8313(28%)
minecraft.dropped.gray_dye: #1, 169(73%)
minecraft.crafted.jungle_pressure_plate: #1, 97(63%)
minecraft.crafted.stonecutter: #1, 256(36%)
minecraft.crafted.gold_block: #2, 5389(30%)
minecraft.picked_up.jungle_trapdoor: #1, 535(36%)
minecraft.picked_up.brown_bed: #1, 103(62%)
minecraft.killed.mooshroom: #1, 6623(98%)
minecraft.used.end_stone: #2, 3558(31%)
minecraft.used.lime_banner: #1, 47(41%)
minecraft.crafted.brown_dye: #1, 2093(37%)
minecraft.crafted.sponge: #1, 3362(30%)
minecraft.picked_up.green_carpet: #1, 186(32%)
minecraft.mined.dispenser: #1, 405(22%)
minecraft.mined.bone_block: #1, 1291(21%)
minecraft.crafted.blue_wool: #1, 1603(42%)
minecraft.picked_up.wet_sponge: #1, 3449(26%)
minecraft.dropped.leather_helmet: #1, 51(21%)
minecraft.mined.white_bed: #1, 423(19%)
minecraft.crafted.sea_lantern: #1, 30794(35%)
minecraft.mined.black_bed: #1, 202(66%)
minecraft.crafted.blue_dye: #1, 5749(22%)
minecraft.dropped.gold_nugget: #2, 3498(28%)
minecraft.used.suspicious_stew: #1, 31(51%)
minecraft.crafted.conduit: #1, 24(57%)
minecraft.used.orange_tulip: #1, 75(33%)
minecraft.used.oak_sign: #1, 2711(18%)
minecraft.mined.chest: #1, 3543(18%)
minecraft.used.dispenser: #1, 750(20%)
minecraft.dropped.sugar: #1, 491(38%)
minecraft.used.oak_planks: #1, 4547(18%)
minecraft.picked_up.white_bed: #1, 486(18%)
minecraft.picked_up.oak_fence: #1, 1132(19%)
minecraft.used.stone_brick_slab: #1, 18264(20%)
minecraft.crafted.black_stained_glass: #1, 11144(30%)
minecraft.used.furnace: #1, 1467(17%)
minecraft.used.yellow_terracotta: #1, 1773(28%)
minecraft.mined.green_carpet: #1, 115(32%)
minecraft.picked_up.cyan_shulker_box: #1, 642(26%)
minecraft.used.cyan_shulker_box: #1, 638(26%)
minecraft.dropped.chainmail_boots: #1, 30(32%)
minecraft.mined.cyan_shulker_box: #1, 627(26%)
minecraft.used.carved_pumpkin: #1, 221(29%)
minecraft.used.glass_pane: #2, 2833(22%)
minecraft.used.birch_pressure_plate: #1, 108(27%)
minecraft.picked_up.blue_wool: #2, 6523(27%)
minecraft.mined.jungle_slab: #1, 435(29%)
minecraft.used.vine: #1, 631(23%)
minecraft.used.jungle_pressure_plate: #1, 89(62%)
minecraft.used.sponge: #1, 3422(27%)
minecraft.used.seagrass: #1, 524(43%)
minecraft.mined.prismarine_slab: #1, 848(61%)
minecraft.used.white_bed: #1, 489(17%)
minecraft.crafted.glass: #1, 24446(17%)
minecraft.picked_up.campfire: #1, 180(28%)
minecraft.crafted.oak_fence_gate: #1, 284(20%)
minecraft.mined.observer: #1, 1710(19%)
minecraft.used.ladder: #1, 3046(19%)
minecraft.crafted.prismarine_bricks: #1, 13083(53%)
minecraft.mined.wet_sponge: #1, 3446(26%)
minecraft.crafted.smooth_sandstone: #1, 14709(30%)
minecraft.mined.acacia_stairs: #1, 252(52%)
minecraft.dropped.bow: #2, 883(22%)
minecraft.picked_up.jungle_slab: #1, 485(26%)
minecraft.picked_up.ladder: #1, 2255(19%)
minecraft.mined.sandstone_slab: #2, 2727(26%)
minecraft.crafted.light_blue_dye: #1, 3906(19%)
minecraft.crafted.iron_block: #2, 36856(21%)
minecraft.dropped.prismarine_crystals: #2, 8001(29%)
minecraft.dropped.brick_slab: #1, 64(51%)
minecraft.picked_up.chest: #1, 3912(16%)
minecraft.used.bone_block: #1, 4266(19%)
minecraft.custom.leave_game: #2, 3147(10%)
minecraft.crafted.yellow_carpet: #1, 1368(27%)
minecraft.mined.bamboo: #2, 1562(30%)
minecraft.custom.open_shulker_box: #2, 99721(14%)
minecraft.picked_up.seagrass: #1, 1245(25%)
minecraft.dropped.name_tag: #1, 51(22%)
minecraft.picked_up.stone_brick_slab: #1, 5828(17%)
minecraft.mined.red_concrete_powder: #1, 147(33%)
minecraft.crafted.purpur_stairs: #1, 544(67%)
minecraft.crafted.pink_stained_glass_pane: #1, 544(67%)
minecraft.mined.polished_granite: #2, 1549(25%)
minecraft.crafted.pink_dye: #2, 1967(24%)
minecraft.mined.stone_brick_slab: #2, 6853(21%)
minecraft.picked_up.observer: #1, 1899(18%)
minecraft.picked_up.sandstone_slab: #2, 2738(24%)
minecraft.picked_up.acacia_stairs: #1, 254(49%)
minecraft.used.acacia_stairs: #1, 507(39%)
minecraft.crafted.sandstone_stairs: #1, 2496(24%)
minecraft.crafted.scaffolding: #2, 9474(29%)
minecraft.crafted.fletching_table: #1, 256(96%)
minecraft.crafted.stone_brick_slab: #1, 15730(16%)
minecraft.used.smooth_sandstone: #1, 15356(24%)
minecraft.dropped.light_blue_stained_glass: #1, 138(32%)
minecraft.killed.trader_llama: #1, 55(27%)
minecraft.used.yellow_banner: #1, 74(29%)
minecraft.used.orange_carpet: #1, 278(27%)
minecraft.crafted.acacia_door: #1, 72(42%)
minecraft.crafted.chainmail_helmet: #1, 27(54%)
minecraft.mined.ladder: #1, 781(17%)
minecraft.mined.jungle_stairs: #1, 283(27%)
minecraft.used.clay: #1, 1425(27%)
minecraft.used.campfire: #1, 287(21%)
minecraft.dropped.leather_chestplate: #1, 43(20%)
minecraft.mined.brown_bed: #1, 99(62%)
minecraft.crafted.smoker: #2, 289(29%)
minecraft.used.chest: #1, 5089(14%)
minecraft.crafted.black_banner: #1, 135(33%)
minecraft.dropped.grass_block: #2, 8310(23%)
minecraft.crafted.jungle_planks: #2, 16392(18%)
minecraft.custom.crouch_one_cm: #2, 28096436(11%)
minecraft.used.brown_bed: #1, 105(52%)
minecraft.custom.fish_caught: #2, 17740(24%)
minecraft.mined.prismarine: #2, 8087(26%)
minecraft.used.green_banner: #1, 21(45%)
minecraft.used.ice: #2, 12802(22%)
minecraft.dropped.mutton: #1, 119(27%)
minecraft.used.brick_slab: #2, 3226(35%)
minecraft.used.black_banner: #1, 86(32%)
minecraft.used.red_tulip: #1, 57(35%)
minecraft.picked_up.dispenser: #1, 448(16%)
minecraft.picked_up.golden_boots: #1, 60(14%)
minecraft.used.scaffolding: #2, 23580(21%)
minecraft.mined.black_stained_glass: #2, 1168(19%)
minecraft.picked_up.golden_helmet: #1, 52(16%)
minecraft.mined.yellow_wool: #1, 350(21%)
minecraft.mined.nether_brick_slab: #2, 926(28%)
minecraft.used.end_stone_brick_stairs: #1, 353(85%)
minecraft.mined.dark_oak_planks: #1, 1552(15%)
minecraft.picked_up.pink_concrete: #1, 434(24%)
minecraft.mined.blue_concrete_powder: #1, 81(57%)
minecraft.crafted.chainmail_chestplate: #1, 27(84%)
minecraft.crafted.gold_ingot: #2, 34500(20%)
minecraft.crafted.lime_banner: #1, 66(37%)
minecraft.used.oak_fence_gate: #2, 299(22%)
