stat, rank, value, (percentage) 
minecraft.used.purple_stained_glass: #5, 223(6%)
minecraft.picked_up.yellow_carpet: #5, 77(5%)
minecraft.dropped.oak_pressure_plate: #5, 8(6%)
minecraft.dropped.black_carpet: #5, 25(8%)
minecraft.crafted.gray_shulker_box: #5, 13(5%)
minecraft.used.bubble_coral_block: #5, 84(6%)
minecraft.mined.purple_concrete: #5, 562(5%)
minecraft.custom.interact_with_stonecutter: #5, 57(4%)
minecraft.mined.purple_terracotta: #5, 67(8%)
minecraft.used.chiseled_sandstone: #5, 25(6%)
minecraft.mined.chorus_flower: #5, 93(4%)
minecraft.used.quartz_slab: #6, 3998(7%)
minecraft.mined.light_blue_concrete: #5, 522(3%)
minecraft.picked_up.chorus_flower: #5, 93(4%)
minecraft.crafted.quartz_slab: #6, 3674(7%)
minecraft.mined.stripped_birch_wood: #5, 27(6%)
minecraft.picked_up.stripped_birch_wood: #5, 26(5%)
minecraft.dropped.light_gray_concrete_powder: #5, 100(4%)
minecraft.dropped.end_stone: #6, 65(11%)
minecraft.crafted.iron_nugget: #6, 7017(7%)
minecraft.picked_up.yellow_stained_glass_pane: #5, 16(5%)
minecraft.mined.yellow_stained_glass_pane: #5, 16(4%)
minecraft.picked_up.yellow_stained_glass: #6, 285(8%)
minecraft.used.purple_terracotta: #5, 127(4%)
minecraft.picked_up.lime_concrete_powder: #5, 60(3%)
minecraft.custom.traded_with_villager: #6, 13998(6%)
minecraft.used.wooden_pickaxe: #6, 60(6%)
minecraft.crafted.yellow_shulker_box: #5, 16(2%)
minecraft.crafted.emerald: #6, 16645(6%)
minecraft.crafted.dark_oak_wood: #5, 144(2%)
minecraft.used.fire_coral_block: #5, 76(2%)
minecraft.picked_up.acacia_fence: #5, 22(2%)
minecraft.mined.acacia_fence: #5, 22(1%)
minecraft.crafted.cake: #5, 14(1%)
minecraft.picked_up.chainmail_helmet: #6, 7(7%)
minecraft.mined.purple_concrete_powder: #5, 2(2%)
minecraft.picked_up.quartz: #6, 20144(5%)
minecraft.dropped.allium: #5, 6(2%)
minecraft.used.pink_stained_glass_pane: #5, 8(1%)
minecraft.picked_up.blue_concrete: #6, 537(6%)
minecraft.dropped.smooth_quartz_slab: #5, 1(0%)
minecraft.crafted.fire_charge: #5, 3(0%)
minecraft.picked_up.clay_ball: #6, 2663(4%)
minecraft.used.lapis_ore: #6, 169(5%)
minecraft.crafted.dark_oak_fence: #6, 582(4%)
minecraft.used.horn_coral_block: #6, 72(5%)
minecraft.crafted.golden_boots: #6, 5(5%)
minecraft.picked_up.purple_terracotta: #6, 67(7%)
minecraft.mined.potted_dandelion: #6, 1(9%)
minecraft.picked_up.iron_nugget: #6, 86(3%)
minecraft.used.purple_concrete_powder: #6, 423(4%)
minecraft.dropped.cake: #6, 4(5%)
minecraft.mined.dark_oak_sign: #6, 2(6%)
minecraft.picked_up.stone_hoe: #6, 2(4%)
minecraft.mined.blue_concrete: #6, 329(3%)
minecraft.used.salmon: #6, 5(6%)
minecraft.dropped.bone_meal: #7, 648(6%)
minecraft.picked_up.purple_banner: #6, 3(4%)
minecraft.crafted.light_blue_shulker_box: #6, 12(3%)
minecraft.picked_up.bone_meal: #7, 1834(5%)
minecraft.dropped.iron_nugget: #6, 36(2%)
minecraft.picked_up.blue_dye: #6, 32(5%)
minecraft.picked_up.yellow_concrete_powder: #6, 186(3%)
minecraft.crafted.purple_stained_glass: #6, 288(3%)
minecraft.crafted.apple: #6, 55(3%)
minecraft.used.bubble_coral: #6, 6(3%)
minecraft.used.daylight_detector: #6, 19(3%)
minecraft.used.purpur_slab: #6, 10(3%)
minecraft.picked_up.iron_helmet: #7, 19(5%)
minecraft.crafted.emerald_block: #6, 474(2%)
minecraft.picked_up.pumpkin_pie: #6, 25(2%)
minecraft.crafted.white_bed: #7, 24(6%)
minecraft.killed_by.pufferfish: #6, 1(3%)
minecraft.crafted.baked_potato: #7, 768(6%)
minecraft.picked_up.gray_dye: #6, 62(2%)
minecraft.picked_up.smooth_quartz: #6, 296(1%)
minecraft.crafted.yellow_glazed_terracotta: #6, 12(2%)
minecraft.dropped.orange_tulip: #6, 7(2%)
minecraft.used.spruce_slab: #7, 2975(4%)
minecraft.picked_up.dead_bubble_coral_block: #6, 14(2%)
minecraft.crafted.purple_bed: #6, 1(2%)
minecraft.picked_up.bubble_coral_block: #6, 48(1%)
minecraft.dropped.clay: #6, 1(2%)
minecraft.picked_up.tube_coral_block: #6, 46(1%)
minecraft.dropped.jungle_log: #6, 61(1%)
minecraft.crafted.light_blue_glazed_terracotta: #6, 12(1%)
minecraft.crafted.end_stone_bricks: #6, 96(1%)
minecraft.dropped.red_tulip: #6, 4(1%)
minecraft.mined.birch_wood: #6, 5(1%)
minecraft.crafted.white_glazed_terracotta: #6, 12(1%)
minecraft.mined.dead_fire_coral_block: #6, 10(1%)
minecraft.crafted.red_glazed_terracotta: #6, 12(1%)
minecraft.picked_up.music_disc_13: #6, 1(1%)
minecraft.crafted.air: #6, 0(0%)
minecraft.crafted.redstone_lamp: #7, 256(5%)
minecraft.used.dark_oak_fence: #7, 642(5%)
minecraft.picked_up.dark_oak_sign: #7, 22(6%)
minecraft.picked_up.bookshelf: #7, 74(5%)
minecraft.crafted.red_shulker_box: #7, 15(5%)
minecraft.mined.nether_quartz_ore: #7, 9793(4%)
minecraft.picked_up.lime_stained_glass_pane: #7, 72(6%)
minecraft.picked_up.yellow_concrete: #7, 905(6%)
minecraft.used.dark_oak_sign: #7, 28(5%)
minecraft.used.oxeye_daisy: #7, 12(7%)
minecraft.used.bread: #7, 78(4%)
minecraft.used.wooden_axe: #7, 57(6%)
minecraft.used.emerald_block: #7, 168(4%)
minecraft.used.cyan_terracotta: #7, 7226(4%)
minecraft.mined.purpur_block: #7, 330(5%)
minecraft.used.stone_axe: #7, 351(3%)
minecraft.picked_up.iron_axe: #7, 17(4%)
minecraft.dropped.spruce_boat: #7, 8(4%)
minecraft.mined.black_shulker_box: #7, 131(4%)
minecraft.picked_up.black_shulker_box: #7, 131(4%)
minecraft.crafted.cyan_terracotta: #7, 6976(4%)
minecraft.used.black_shulker_box: #7, 129(4%)
minecraft.mined.clay: #7, 670(3%)
minecraft.crafted.gray_dye: #7, 1306(3%)
minecraft.broken.stone_pickaxe: #7, 3(3%)
minecraft.used.orange_tulip: #7, 9(4%)
minecraft.crafted.white_shulker_box: #7, 14(3%)
minecraft.used.stonecutter: #7, 28(3%)
minecraft.picked_up.wither_skeleton_skull: #7, 14(3%)
minecraft.used.tube_coral_block: #7, 84(3%)
minecraft.mined.yellow_stained_glass: #7, 32(2%)
minecraft.killed_by.enderman: #7, 1(3%)
minecraft.used.stone_shovel: #7, 425(2%)
minecraft.picked_up.sugar: #7, 59(2%)
minecraft.picked_up.red_stained_glass: #7, 108(2%)
minecraft.mined.stonecutter: #7, 17(2%)
minecraft.used.tube_coral: #7, 6(2%)
minecraft.used.brain_coral: #7, 6(2%)
minecraft.used.smooth_quartz_slab: #7, 333(2%)
minecraft.used.fire_coral: #7, 7(2%)
minecraft.broken.stone_shovel: #7, 3(2%)
minecraft.crafted.purple_carpet: #7, 48(3%)
minecraft.dropped.light_gray_concrete: #7, 21(2%)
minecraft.dropped.red_shulker_box: #7, 2(2%)
minecraft.crafted.stonecutter: #7, 12(2%)
minecraft.crafted.daylight_detector: #7, 17(2%)
minecraft.picked_up.quartz_slab: #8, 1097(6%)
minecraft.used.chorus_flower: #7, 34(2%)
minecraft.mined.lime_bed: #7, 1(2%)
minecraft.crafted.jukebox: #7, 1(2%)
minecraft.picked_up.dead_horn_coral_block: #7, 11(2%)
minecraft.picked_up.lime_bed: #7, 1(2%)
minecraft.picked_up.brick: #7, 196(1%)
minecraft.crafted.pink_stained_glass: #7, 64(1%)
minecraft.mined.acacia_trapdoor: #7, 12(1%)
minecraft.picked_up.dark_oak_wood: #7, 16(1%)
minecraft.used.purple_carpet: #7, 20(1%)
minecraft.picked_up.jukebox: #7, 2(1%)
minecraft.used.brown_terracotta: #7, 143(1%)
minecraft.crafted.black_stained_glass_pane: #7, 48(1%)
minecraft.used.black_bed: #7, 4(1%)
minecraft.used.pink_tulip: #7, 1(1%)
minecraft.picked_up.birch_wood: #7, 5(1%)
minecraft.picked_up.green_bed: #7, 2(1%)
minecraft.mined.green_bed: #7, 2(1%)
minecraft.picked_up.dead_fire_coral_block: #7, 9(1%)
minecraft.picked_up.spruce_slab: #8, 890(4%)
minecraft.crafted.sea_lantern: #7, 334(0%)
minecraft.mined.fire_coral: #7, 2(0%)
minecraft.picked_up.bubble_coral: #7, 1(0%)
minecraft.picked_up.horn_coral: #7, 1(0%)
minecraft.mined.bubble_coral: #7, 1(0%)
minecraft.mined.horn_coral: #7, 1(0%)
minecraft.dropped.magenta_stained_glass: #7, 1(0%)
minecraft.picked_up.purple_concrete_powder: #7, 2(0%)
minecraft.crafted.spruce_slab: #8, 2484(4%)
minecraft.used.bow: #8, 2536(4%)
minecraft.picked_up.purpur_block: #8, 368(6%)
minecraft.mined.purpur_slab: #8, 43(6%)
minecraft.picked_up.iron_shovel: #8, 12(3%)
minecraft.picked_up.gold_ingot: #8, 443(4%)
minecraft.used.diamond_block: #8, 164(3%)
minecraft.used.dandelion: #8, 8(5%)
minecraft.crafted.jungle_planks: #8, 2312(3%)
minecraft.picked_up.shield: #8, 12(3%)
minecraft.used.black_carpet: #8, 239(3%)
minecraft.crafted.black_carpet: #8, 285(4%)
minecraft.killed.skeleton: #8, 2014(2%)
minecraft.used.light_blue_concrete_powder: #8, 512(4%)
minecraft.crafted.purple_dye: #8, 274(3%)
minecraft.mined.smooth_stone: #8, 332(2%)
minecraft.picked_up.lime_concrete: #8, 503(3%)
minecraft.used.bookshelf: #8, 191(2%)
minecraft.crafted.cyan_dye: #8, 912(2%)
minecraft.crafted.gray_concrete_powder: #8, 3168(3%)
minecraft.mined.orange_concrete: #8, 338(3%)
minecraft.crafted.light_blue_concrete_powder: #8, 512(3%)
minecraft.mined.end_stone_bricks: #8, 178(3%)
minecraft.crafted.black_dye: #8, 672(2%)
minecraft.picked_up.stone_sword: #8, 24(2%)
minecraft.crafted.cooked_beef: #8, 262(2%)
minecraft.crafted.yellow_carpet: #8, 138(3%)
minecraft.used.yellow_carpet: #8, 91(2%)
minecraft.crafted.red_bed: #8, 4(2%)
minecraft.used.nether_bricks: #8, 591(2%)
minecraft.mined.light_blue_stained_glass_pane: #8, 15(2%)
minecraft.killed.ravager: #8, 2(3%)
minecraft.picked_up.stonecutter: #8, 17(2%)
minecraft.used.tropical_fish_bucket: #8, 8(2%)
minecraft.used.blue_concrete: #8, 135(2%)
