stat, rank, value, (percentage) 
minecraft.mined.oxeye_daisy: #16, 10(1%)
minecraft.picked_up.firework_rocket: #16, 811(1%)
minecraft.picked_up.dark_oak_planks: #16, 120(1%)
minecraft.picked_up.red_wool: #16, 65(1%)
minecraft.used.sand: #16, 2578(1%)
minecraft.used.dark_oak_planks: #16, 192(1%)
minecraft.killed.cod: #16, 12(1%)
minecraft.mined.cyan_terracotta: #16, 342(1%)
minecraft.crafted.smooth_stone_slab: #16, 1890(1%)
minecraft.crafted.orange_dye: #16, 64(1%)
minecraft.dropped.netherrack: #16, 1609(1%)
minecraft.picked_up.cocoa_beans: #16, 214(1%)
minecraft.mined.red_carpet: #16, 14(1%)
minecraft.crafted.rail: #16, 224(1%)
minecraft.mined.seagrass: #16, 89(0%)
minecraft.used.oak_door: #16, 4(1%)
minecraft.crafted.detector_rail: #16, 6(1%)
minecraft.picked_up.jungle_log: #16, 265(0%)
minecraft.picked_up.diamond_block: #16, 25(0%)
minecraft.picked_up.spider_eye: #16, 48(0%)
minecraft.crafted.white_banner: #16, 6(0%)
minecraft.used.oak_button: #16, 5(0%)
minecraft.picked_up.red_mushroom: #16, 13(0%)
minecraft.used.smooth_stone_slab: #16, 1098(0%)
minecraft.dropped.leather_chestplate: #16, 1(0%)
minecraft.picked_up.white_banner: #16, 9(0%)
minecraft.crafted.fishing_rod: #16, 1(0%)
minecraft.mined.jungle_log: #16, 204(0%)
minecraft.dropped.name_tag: #16, 1(0%)
minecraft.used.spruce_button: #16, 5(0%)
minecraft.crafted.white_stained_glass: #16, 528(0%)
minecraft.crafted.lime_dye: #16, 96(0%)
minecraft.crafted.lead: #16, 2(0%)
minecraft.dropped.string: #16, 29(0%)
minecraft.picked_up.flint_and_steel: #16, 1(0%)
minecraft.mined.red_tulip: #16, 3(0%)
minecraft.used.cocoa_beans: #16, 54(0%)
minecraft.picked_up.glass: #16, 583(0%)
minecraft.picked_up.terracotta: #16, 619(0%)
minecraft.picked_up.mossy_stone_bricks: #16, 5(0%)
minecraft.dropped.dark_oak_log: #16, 10(0%)
minecraft.mined.gray_concrete: #16, 235(0%)
minecraft.mined.light_gray_concrete: #16, 110(0%)
minecraft.dropped.lapis_lazuli: #16, 8(0%)
minecraft.crafted.name_tag: #16, 2(0%)
minecraft.picked_up.orange_shulker_box: #16, 16(0%)
minecraft.used.light_gray_concrete: #16, 89(0%)
minecraft.mined.dark_oak_slab: #16, 16(0%)
minecraft.mined.pink_tulip: #16, 1(0%)
minecraft.crafted.loom: #16, 1(0%)
minecraft.used.sea_pickle: #16, 23(0%)
minecraft.picked_up.nether_bricks: #16, 51(0%)
minecraft.used.red_wool: #16, 8(0%)
minecraft.dropped.glass_bottle: #16, 3(0%)
minecraft.mined.coarse_dirt: #16, 24(0%)
minecraft.picked_up.coarse_dirt: #16, 24(0%)
minecraft.used.cooked_mutton: #16, 4(0%)
minecraft.dropped.ink_sac: #16, 2(0%)
minecraft.crafted.light_gray_carpet: #16, 18(0%)
minecraft.mined.slime_block: #16, 9(0%)
minecraft.used.iron_trapdoor: #16, 17(0%)
minecraft.crafted.observer: #16, 13(0%)
minecraft.used.sandstone_slab: #16, 78(0%)
minecraft.mined.sea_pickle: #16, 2(0%)
minecraft.dropped.chicken: #16, 1(0%)
minecraft.crafted.spruce_fence_gate: #16, 4(0%)
minecraft.crafted.iron_trapdoor: #16, 9(0%)
minecraft.used.iron_ore: #16, 2(0%)
minecraft.used.purple_shulker_box: #16, 1(0%)
minecraft.picked_up.purple_shulker_box: #16, 1(0%)
minecraft.crafted.slime_block: #16, 9(0%)
minecraft.mined.purple_shulker_box: #16, 1(0%)
minecraft.picked_up.blaze_powder: #16, 1(0%)
minecraft.picked_up.red_concrete_powder: #16, 2(0%)
minecraft.dropped.cobblestone_slab: #16, 1(0%)
minecraft.mined.cut_sandstone: #16, 1(0%)
minecraft.picked_up.cut_sandstone: #16, 1(0%)
minecraft.mined.nether_brick_slab: #16, 1(0%)
minecraft.dropped.cactus: #16, 6(0%)
minecraft.dropped.poppy: #16, 11(0%)
minecraft.picked_up.clay: #16, 1(0%)
minecraft.used.light_gray_terracotta: #16, 1(0%)
minecraft.custom.sneak_time: #17, 1170373(1%)
minecraft.custom.fall_one_cm: #17, 3874420(2%)
minecraft.picked_up.wheat_seeds: #17, 2771(2%)
minecraft.picked_up.leather_helmet: #17, 6(2%)
minecraft.used.diamond_sword: #17, 5463(1%)
minecraft.custom.walk_under_water_one_cm: #17, 4363624(1%)
minecraft.used.cobblestone_wall: #17, 304(2%)
minecraft.killed.creeper: #17, 113(1%)
minecraft.used.wheat_seeds: #17, 1066(1%)
minecraft.mined.furnace: #17, 59(1%)
minecraft.picked_up.crafting_table: #17, 105(1%)
minecraft.mined.crafting_table: #17, 99(1%)
minecraft.mined.wheat: #17, 788(1%)
minecraft.picked_up.dark_oak_fence: #17, 84(2%)
minecraft.picked_up.iron_bars: #17, 195(1%)
minecraft.custom.drop: #17, 1571(1%)
minecraft.mined.sea_lantern: #17, 122(1%)
minecraft.picked_up.water_bucket: #17, 11(1%)
minecraft.custom.interact_with_beacon: #17, 18(1%)
minecraft.crafted.item_frame: #17, 92(1%)
minecraft.picked_up.sand: #17, 18195(1%)
minecraft.picked_up.apple: #17, 68(1%)
minecraft.custom.deaths: #17, 26(1%)
minecraft.used.oak_log: #17, 340(1%)
minecraft.used.potion: #17, 15(1%)
minecraft.mined.sand: #17, 16438(1%)
minecraft.mined.iron_bars: #17, 113(1%)
minecraft.crafted.glass: #17, 1471(1%)
minecraft.mined.soul_sand: #17, 474(1%)
minecraft.picked_up.ink_sac: #17, 177(1%)
minecraft.picked_up.oak_leaves: #17, 1045(1%)
minecraft.mined.magma_block: #17, 227(1%)
minecraft.used.stone_hoe: #17, 55(1%)
minecraft.picked_up.magma_block: #17, 215(1%)
minecraft.picked_up.birch_planks: #17, 65(1%)
minecraft.custom.inspect_dispenser: #17, 154(1%)
minecraft.used.birch_boat: #17, 14(1%)
minecraft.custom.mob_kills: #17, 12620(0%)
minecraft.dropped.diamond_helmet: #17, 1(1%)
minecraft.dropped.diamond_boots: #17, 1(1%)
minecraft.picked_up.birch_boat: #17, 14(1%)
minecraft.picked_up.lead: #17, 16(1%)
minecraft.picked_up.gunpowder: #17, 157(1%)
minecraft.picked_up.writable_book: #17, 4(1%)
minecraft.mined.pumpkin: #17, 25(1%)
minecraft.dropped.oak_boat: #17, 2(1%)
minecraft.picked_up.oak_button: #17, 4(1%)
minecraft.custom.trigger_trapped_chest: #17, 17(1%)
minecraft.used.white_shulker_box: #17, 52(1%)
minecraft.picked_up.redstone_ore: #17, 259(1%)
minecraft.mined.white_shulker_box: #17, 52(1%)
minecraft.picked_up.white_shulker_box: #17, 53(1%)
minecraft.picked_up.lapis_ore: #17, 36(1%)
minecraft.mined.rail: #17, 196(0%)
minecraft.used.detector_rail: #17, 4(1%)
minecraft.picked_up.trident: #17, 4(0%)
minecraft.crafted.oak_door: #17, 3(1%)
minecraft.picked_up.cobweb: #17, 56(0%)
minecraft.used.egg: #17, 102(0%)
minecraft.used.spruce_sapling: #17, 55(0%)
minecraft.picked_up.oak_door: #17, 4(0%)
minecraft.picked_up.jungle_sapling: #17, 14(0%)
minecraft.picked_up.lava_bucket: #17, 1(0%)
minecraft.mined.bone_block: #17, 22(0%)
minecraft.mined.spruce_trapdoor: #17, 25(0%)
minecraft.picked_up.spruce_trapdoor: #17, 27(0%)
minecraft.dropped.rail: #17, 13(0%)
minecraft.mined.orange_tulip: #17, 3(0%)
minecraft.crafted.powered_rail: #17, 72(0%)
minecraft.crafted.polished_andesite: #17, 192(0%)
minecraft.used.coarse_dirt: #17, 129(0%)
minecraft.dropped.lever: #17, 2(0%)
minecraft.used.sugar_cane: #17, 64(0%)
minecraft.dropped.grass_block: #17, 74(0%)
minecraft.crafted.black_wool: #17, 6(0%)
minecraft.mined.sandstone_slab: #17, 19(0%)
minecraft.picked_up.observer: #17, 17(0%)
minecraft.used.rose_bush: #17, 2(0%)
minecraft.crafted.piston: #17, 22(0%)
minecraft.picked_up.dark_oak_slab: #17, 16(0%)
minecraft.mined.iron_trapdoor: #17, 8(0%)
minecraft.picked_up.glass_bottle: #17, 4(0%)
minecraft.picked_up.lilac: #17, 3(0%)
minecraft.used.birch_sapling: #17, 13(0%)
minecraft.mined.observer: #17, 8(0%)
minecraft.used.cake: #17, 1(0%)
minecraft.mined.sandstone_stairs: #17, 2(0%)
minecraft.used.mossy_stone_bricks: #17, 4(0%)
minecraft.picked_up.slime_block: #17, 9(0%)
minecraft.crafted.white_wool: #17, 12(0%)
minecraft.used.observer: #17, 12(0%)
minecraft.used.birch_trapdoor: #17, 2(0%)
minecraft.dropped.sand: #17, 112(0%)
minecraft.mined.podzol: #17, 6(0%)
minecraft.picked_up.filled_map: #17, 2(0%)
minecraft.crafted.firework_rocket: #17, 312(0%)
minecraft.dropped.salmon: #17, 1(0%)
minecraft.used.black_stained_glass: #17, 4(0%)
minecraft.used.gray_stained_glass: #17, 1(0%)
minecraft.custom.walk_on_water_one_cm: #18, 2340059(1%)
minecraft.custom.jump: #18, 120441(1%)
minecraft.picked_up.lapis_lazuli: #18, 2428(2%)
minecraft.picked_up.leather_chestplate: #18, 6(2%)
minecraft.used.oak_boat: #18, 40(2%)
minecraft.used.crafting_table: #18, 133(1%)
minecraft.picked_up.oak_boat: #18, 41(1%)
minecraft.used.chest: #18, 506(1%)
minecraft.picked_up.cobblestone_wall: #18, 76(1%)
minecraft.crafted.oak_boat: #18, 6(1%)
minecraft.used.dirt: #18, 6281(1%)
minecraft.mined.oak_leaves: #18, 1394(1%)
minecraft.picked_up.soul_sand: #18, 437(1%)
minecraft.crafted.stone_pickaxe: #18, 3(1%)
minecraft.picked_up.oak_stairs: #18, 55(1%)
minecraft.used.spruce_door: #18, 15(1%)
minecraft.crafted.bucket: #18, 28(1%)
minecraft.used.coal_ore: #18, 271(1%)
minecraft.crafted.iron_bars: #18, 288(1%)
minecraft.mined.cobblestone_wall: #18, 29(1%)
minecraft.used.iron_bars: #18, 236(1%)
minecraft.dropped.diamond: #18, 71(1%)
minecraft.dropped.oak_sign: #18, 11(1%)
minecraft.used.shears: #18, 1604(1%)
minecraft.mined.white_carpet: #18, 16(1%)
minecraft.picked_up.cooked_beef: #18, 112(1%)
minecraft.dropped.leather_leggings: #18, 2(1%)
minecraft.crafted.spruce_trapdoor: #18, 132(1%)
minecraft.used.spruce_trapdoor: #18, 133(0%)
minecraft.picked_up.bucket: #18, 6(1%)
minecraft.used.cooked_porkchop: #18, 4(1%)
minecraft.dropped.diamond_shovel: #18, 1(1%)
minecraft.picked_up.diamond_ore: #18, 50(1%)
minecraft.used.iron_block: #18, 317(0%)
minecraft.picked_up.salmon: #18, 34(0%)
minecraft.picked_up.netherrack: #18, 3514(0%)
minecraft.custom.open_barrel: #18, 154(0%)
minecraft.picked_up.spruce_door: #18, 4(0%)
minecraft.mined.sticky_piston: #18, 22(0%)
minecraft.picked_up.carrot: #18, 601(0%)
minecraft.mined.comparator: #18, 8(0%)
minecraft.custom.interact_with_brewingstand: #18, 33(0%)
minecraft.mined.spruce_wall_sign: #18, 1(0%)
minecraft.picked_up.minecart: #18, 17(0%)
minecraft.used.lava_bucket: #18, 8(0%)
minecraft.picked_up.sticky_piston: #18, 22(0%)
minecraft.used.hopper_minecart: #18, 4(0%)
minecraft.killed.drowned: #18, 49(0%)
minecraft.crafted.hopper_minecart: #18, 4(0%)
minecraft.mined.netherrack: #18, 3962(0%)
minecraft.picked_up.magenta_shulker_box: #18, 11(0%)
minecraft.used.rail: #18, 251(0%)
minecraft.picked_up.jungle_boat: #18, 1(0%)
minecraft.mined.cracked_stone_bricks: #18, 8(0%)
minecraft.dropped.gunpowder: #18, 26(0%)
minecraft.picked_up.rose_bush: #18, 34(0%)
minecraft.picked_up.vine: #18, 53(0%)
minecraft.used.sticky_piston: #18, 35(0%)
minecraft.crafted.gold_block: #18, 50(0%)
minecraft.mined.dark_oak_trapdoor: #18, 5(0%)
minecraft.picked_up.poppy: #18, 110(0%)
minecraft.mined.birch_trapdoor: #18, 2(0%)
minecraft.mined.white_stained_glass_pane: #18, 13(0%)
minecraft.mined.spruce_sapling: #18, 2(0%)
minecraft.used.comparator: #18, 15(0%)
minecraft.crafted.sticky_piston: #18, 16(0%)
minecraft.picked_up.birch_sapling: #18, 26(0%)
minecraft.picked_up.spruce_button: #18, 1(0%)
minecraft.picked_up.powered_rail: #18, 37(0%)
minecraft.picked_up.totem_of_undying: #18, 1(0%)
minecraft.used.scaffolding: #18, 193(0%)
minecraft.picked_up.birch_trapdoor: #18, 2(0%)
minecraft.picked_up.dark_oak_trapdoor: #18, 5(0%)
minecraft.picked_up.sandstone_slab: #18, 19(0%)
minecraft.used.jungle_sapling: #18, 8(0%)
minecraft.crafted.oak_button: #18, 2(0%)
minecraft.dropped.dandelion: #18, 5(0%)
minecraft.mined.dark_oak_log: #18, 168(0%)
minecraft.used.light_gray_carpet: #18, 29(0%)
minecraft.crafted.dispenser: #18, 6(0%)
minecraft.picked_up.gold_block: #18, 15(0%)
minecraft.mined.acacia_log: #18, 69(0%)
minecraft.used.dark_oak_trapdoor: #18, 9(0%)
minecraft.used.bone_block: #18, 22(0%)
minecraft.crafted.dark_oak_trapdoor: #18, 8(0%)
minecraft.crafted.comparator: #18, 8(0%)
minecraft.used.composter: #18, 1(0%)
minecraft.picked_up.iron_trapdoor: #18, 8(0%)
minecraft.picked_up.yellow_terracotta: #18, 28(0%)
minecraft.used.powered_rail: #18, 33(0%)
minecraft.used.gray_concrete: #18, 74(0%)
minecraft.mined.black_stained_glass: #18, 4(0%)
minecraft.used.apple: #18, 1(0%)
minecraft.picked_up.sandstone_stairs: #18, 2(0%)
minecraft.mined.gray_carpet: #18, 2(0%)
minecraft.mined.light_gray_concrete_powder: #18, 3(0%)
minecraft.used.stone_pressure_plate: #18, 1(0%)
minecraft.crafted.sandstone_slab: #18, 48(0%)
minecraft.mined.polished_granite: #18, 1(0%)
minecraft.mined.light_gray_stained_glass: #18, 1(0%)
minecraft.killed.zombie_pigman: #18, 1(0%)
minecraft.mined.yellow_terracotta: #18, 2(0%)
minecraft.mined.ice: #18, 18(0%)
minecraft.used.fishing_rod: #18, 8(0%)
minecraft.mined.orange_terracotta: #18, 3(0%)
minecraft.picked_up.orange_terracotta: #18, 3(0%)
minecraft.used.light_gray_stained_glass: #18, 1(0%)
minecraft.custom.tune_noteblock: #18, 121(0%)
minecraft.custom.fish_caught: #18, 1(0%)
minecraft.used.iron_pickaxe: #19, 2106(2%)
minecraft.custom.interact_with_crafting_table: #19, 1345(1%)
minecraft.custom.sprint_one_cm: #19, 30061320(1%)
minecraft.used.white_bed: #19, 36(1%)
minecraft.crafted.torch: #19, 2648(1%)
minecraft.broken.iron_pickaxe: #19, 4(1%)
minecraft.picked_up.dirt: #19, 9706(1%)
minecraft.used.furnace: #19, 74(1%)
minecraft.picked_up.oak_sign: #19, 76(1%)
minecraft.mined.oak_wall_sign: #19, 25(1%)
minecraft.killed.cow: #19, 68(1%)
minecraft.picked_up.yellow_shulker_box: #19, 55(1%)
minecraft.picked_up.ladder: #19, 64(1%)
minecraft.mined.yellow_shulker_box: #19, 36(0%)
minecraft.picked_up.lever: #19, 25(0%)
minecraft.used.beacon: #19, 4(0%)
minecraft.picked_up.iron_block: #19, 211(0%)
minecraft.mined.iron_block: #19, 153(0%)
minecraft.picked_up.rail: #19, 230(0%)
minecraft.picked_up.dandelion: #19, 40(0%)
minecraft.used.jungle_boat: #19, 1(0%)
minecraft.dropped.firework_rocket: #19, 85(0%)
minecraft.mined.azure_bluet: #19, 6(0%)
minecraft.used.loom: #19, 1(0%)
minecraft.broken.shears: #19, 4(0%)
minecraft.mined.brown_mushroom: #19, 5(0%)
minecraft.picked_up.ender_pearl: #19, 90(0%)
minecraft.used.minecart: #19, 12(0%)
minecraft.picked_up.oak_trapdoor: #19, 11(0%)
minecraft.crafted.cobblestone_slab: #19, 120(0%)
minecraft.picked_up.glass_pane: #19, 14(0%)
minecraft.used.carrot: #19, 189(0%)
minecraft.crafted.stone: #19, 400(0%)
minecraft.picked_up.white_carpet: #19, 12(0%)
minecraft.mined.cobweb: #19, 32(0%)
minecraft.used.dispenser: #19, 8(0%)
minecraft.crafted.minecart: #19, 6(0%)
minecraft.picked_up.comparator: #19, 9(0%)
minecraft.picked_up.mutton: #19, 8(0%)
minecraft.used.oak_stairs: #19, 15(0%)
minecraft.picked_up.scaffolding: #19, 184(0%)
minecraft.picked_up.detector_rail: #19, 1(0%)
minecraft.mined.player_head: #19, 3(0%)
minecraft.mined.repeater: #19, 8(0%)
minecraft.used.barrel: #19, 5(0%)
minecraft.picked_up.blue_shulker_box: #19, 4(0%)
minecraft.mined.hopper: #19, 13(0%)
minecraft.picked_up.nautilus_shell: #19, 1(0%)
minecraft.dropped.torch: #19, 12(0%)
minecraft.mined.dispenser: #19, 2(0%)
minecraft.crafted.barrel: #19, 4(0%)
minecraft.used.repeater: #19, 21(0%)
minecraft.picked_up.acacia_log: #19, 69(0%)
minecraft.dropped.birch_log: #19, 3(0%)
minecraft.used.magma_block: #19, 10(0%)
minecraft.crafted.repeater: #19, 14(0%)
minecraft.mined.barrel: #19, 1(0%)
minecraft.crafted.note_block: #19, 2(0%)
minecraft.picked_up.repeater: #19, 8(0%)
minecraft.picked_up.dispenser: #19, 2(0%)
minecraft.picked_up.note_block: #19, 1(0%)
minecraft.mined.blue_shulker_box: #19, 2(0%)
minecraft.used.blue_shulker_box: #19, 2(0%)
minecraft.picked_up.dark_oak_sapling: #19, 9(0%)
minecraft.picked_up.barrel: #19, 1(0%)
minecraft.used.slime_block: #19, 9(0%)
minecraft.mined.powered_rail: #19, 5(0%)
minecraft.dropped.gold_nugget: #19, 6(0%)
minecraft.crafted.player_head: #19, 3(0%)
minecraft.mined.gold_block: #19, 5(0%)
minecraft.crafted.stone_slab: #19, 12(0%)
minecraft.crafted.stone_button: #19, 20(0%)
minecraft.mined.dropper: #19, 1(0%)
minecraft.used.snowball: #19, 1(0%)
minecraft.picked_up.white_stained_glass_pane: #19, 3(0%)
minecraft.used.magenta_shulker_box: #19, 1(0%)
minecraft.mined.magenta_shulker_box: #19, 1(0%)
minecraft.dropped.oak_log: #19, 1(0%)
minecraft.custom.minecart_one_cm: #19, 65232(0%)
minecraft.picked_up.dropper: #19, 1(0%)
minecraft.crafted.dropper: #19, 2(0%)
minecraft.crafted.bone_block: #19, 18(0%)
minecraft.picked_up.black_concrete: #19, 7(0%)
minecraft.mined.lime_terracotta: #19, 1(0%)
minecraft.picked_up.lime_terracotta: #19, 1(0%)
minecraft.mined.black_concrete: #19, 7(0%)
minecraft.picked_up.cooked_cod: #19, 6(0%)
minecraft.picked_up.gold_nugget: #19, 6(0%)
minecraft.picked_up.white_terracotta: #19, 1(0%)
minecraft.custom.interact_with_furnace: #20, 1205(2%)
minecraft.mined.lapis_ore: #20, 204(1%)
minecraft.crafted.iron_pickaxe: #20, 7(1%)
minecraft.custom.sleep_in_bed: #20, 298(1%)
minecraft.used.bone_meal: #20, 1163(1%)
minecraft.crafted.diamond_pickaxe: #20, 5(1%)
minecraft.crafted.iron_shovel: #20, 4(1%)
minecraft.mined.poppy: #20, 43(1%)
minecraft.killed_by.creeper: #20, 1(1%)
minecraft.crafted.coal: #20, 657(1%)
minecraft.broken.iron_shovel: #20, 1(1%)
minecraft.used.oak_sign: #20, 100(1%)
minecraft.picked_up.torch: #20, 1012(1%)
minecraft.mined.oak_fence: #20, 34(1%)
minecraft.crafted.cobblestone_wall: #20, 120(1%)
minecraft.used.ladder: #20, 104(1%)
minecraft.mined.dirt: #20, 4712(0%)
minecraft.mined.dandelion: #20, 20(0%)
minecraft.crafted.ladder: #20, 78(1%)
minecraft.used.oak_planks: #20, 118(0%)
minecraft.mined.obsidian: #20, 144(0%)
minecraft.crafted.shears: #20, 14(0%)
minecraft.crafted.armor_stand: #20, 16(0%)
minecraft.used.yellow_shulker_box: #20, 36(0%)
minecraft.picked_up.coal_ore: #20, 211(0%)
minecraft.custom.inspect_dropper: #20, 57(0%)
minecraft.picked_up.birch_log: #20, 204(0%)
minecraft.killed.pig: #20, 2(0%)
minecraft.mined.birch_log: #20, 161(0%)
minecraft.picked_up.stone: #20, 6746(0%)
minecraft.picked_up.porkchop: #20, 5(0%)
minecraft.mined.vine: #20, 51(0%)
minecraft.picked_up.string: #20, 105(0%)
minecraft.picked_up.redstone_torch: #20, 27(0%)
minecraft.used.armor_stand: #20, 8(0%)
minecraft.picked_up.brown_mushroom: #20, 10(0%)
minecraft.mined.cobblestone_slab: #20, 14(0%)
minecraft.picked_up.cactus: #20, 92(0%)
minecraft.dropped.wheat_seeds: #20, 94(0%)
minecraft.mined.player_wall_head: #20, 3(0%)
minecraft.dropped.stone: #20, 763(0%)
minecraft.picked_up.paper: #20, 57(0%)
minecraft.used.oak_trapdoor: #20, 18(0%)
minecraft.used.glass_bottle: #20, 10(0%)
minecraft.mined.oak_trapdoor: #20, 5(0%)
minecraft.killed.sheep: #20, 3(0%)
minecraft.dropped.stick: #20, 34(0%)
minecraft.used.redstone: #20, 94(0%)
minecraft.mined.dead_bush: #20, 2(0%)
minecraft.mined.birch_leaves: #20, 32(0%)
minecraft.used.cactus: #20, 4(0%)
minecraft.used.cobblestone_slab: #20, 42(0%)
minecraft.mined.redstone_block: #20, 7(0%)
minecraft.used.redstone_torch: #20, 18(0%)
minecraft.used.written_book: #20, 44(0%)
minecraft.used.redstone_block: #20, 18(0%)
minecraft.used.spruce_planks: #20, 59(0%)
minecraft.crafted.blaze_powder: #20, 10(0%)
minecraft.picked_up.name_tag: #20, 1(0%)
minecraft.picked_up.hopper: #20, 14(0%)
minecraft.crafted.glass_bottle: #20, 6(0%)
minecraft.used.flint_and_steel: #20, 5(0%)
minecraft.crafted.redstone_torch: #20, 67(0%)
minecraft.crafted.hopper: #20, 17(0%)
minecraft.used.white_banner: #20, 1(0%)
minecraft.mined.glass: #20, 18(0%)
minecraft.crafted.acacia_planks: #20, 40(0%)
minecraft.crafted.stone_brick_slab: #20, 48(0%)
minecraft.dropped.birch_planks: #20, 1(0%)
minecraft.used.stone_button: #20, 23(0%)
minecraft.crafted.stone_pressure_plate: #20, 2(0%)
minecraft.used.trident: #20, 12(0%)
minecraft.used.dropper: #20, 3(0%)
minecraft.mined.birch_planks: #20, 1(0%)
minecraft.used.black_concrete: #20, 30(0%)
minecraft.used.obsidian: #20, 5(0%)
minecraft.dropped.paper: #20, 2(0%)
minecraft.dropped.ender_pearl: #20, 4(0%)
minecraft.picked_up.sandstone: #20, 30(0%)
minecraft.picked_up.light_gray_wool: #20, 1(0%)
minecraft.dropped.iron_ore: #20, 2(0%)
minecraft.used.white_terracotta: #20, 1(0%)
minecraft.used.coal_block: #20, 1(0%)
minecraft.mined.sandstone: #20, 17(0%)
minecraft.mined.white_terracotta: #20, 1(0%)
minecraft.picked_up.light_gray_terracotta: #20, 1(0%)
minecraft.custom.leave_game: #21, 451(1%)
minecraft.custom.walk_one_cm: #21, 30459175(1%)
minecraft.custom.open_shulker_box: #21, 5436(1%)
minecraft.custom.boat_one_cm: #21, 5645670(1%)
minecraft.picked_up.white_bed: #21, 24(1%)
minecraft.picked_up.oak_planks: #21, 213(1%)
minecraft.mined.oak_planks: #21, 129(1%)
minecraft.crafted.iron_ingot: #21, 2623(1%)
minecraft.crafted.oak_sign: #21, 78(1%)
minecraft.picked_up.leather_leggings: #21, 3(1%)
minecraft.mined.wall_torch: #21, 116(1%)
minecraft.crafted.coal_block: #21, 171(1%)
minecraft.picked_up.oak_fence: #21, 30(0%)
minecraft.picked_up.leather: #21, 135(0%)
minecraft.crafted.furnace: #21, 37(0%)
minecraft.picked_up.obsidian: #21, 152(0%)
minecraft.custom.inspect_hopper: #21, 200(0%)
minecraft.used.lever: #21, 24(0%)
minecraft.picked_up.egg: #21, 58(0%)
minecraft.mined.redstone_wire: #21, 57(0%)
minecraft.picked_up.redstone_block: #21, 41(0%)
minecraft.crafted.lever: #21, 14(0%)
minecraft.picked_up.armor_stand: #21, 4(0%)
minecraft.crafted.birch_planks: #21, 344(0%)
minecraft.crafted.gold_ingot: #21, 364(0%)
minecraft.dropped.coal: #21, 17(0%)
minecraft.mined.ladder: #21, 8(0%)
minecraft.mined.oak_slab: #21, 11(0%)
minecraft.crafted.oak_stairs: #21, 16(0%)
minecraft.custom.interact_with_loom: #21, 1(0%)
minecraft.used.oak_slab: #21, 33(0%)
minecraft.mined.redstone_wall_torch: #21, 3(0%)
minecraft.used.player_head: #21, 9(0%)
minecraft.used.stone: #21, 955(0%)
minecraft.picked_up.cobblestone_slab: #21, 15(0%)
minecraft.picked_up.piston: #21, 7(0%)
minecraft.used.hopper: #21, 29(0%)
minecraft.picked_up.slime_ball: #21, 44(0%)
minecraft.mined.redstone_torch: #21, 2(0%)
minecraft.used.piston: #21, 9(0%)
minecraft.mined.piston: #21, 3(0%)
minecraft.dropped.spruce_log: #21, 4(0%)
minecraft.mined.stripped_spruce_log: #21, 1(0%)
minecraft.picked_up.stripped_spruce_log: #21, 1(0%)
minecraft.picked_up.stone_pressure_plate: #21, 1(0%)
minecraft.picked_up.grass: #21, 1(0%)
minecraft.picked_up.stone_button: #21, 3(0%)
minecraft.used.diamond_ore: #21, 3(0%)
minecraft.used.note_block: #21, 1(0%)
minecraft.dropped.egg: #21, 2(0%)
minecraft.picked_up.ice: #21, 18(0%)
minecraft.mined.scaffolding: #21, 6(0%)
minecraft.picked_up.pumpkin_seeds: #21, 2(0%)
minecraft.picked_up.snowball: #21, 1(0%)
minecraft.used.packed_ice: #21, 1(0%)
minecraft.used.iron_shovel: #22, 389(1%)
minecraft.crafted.stick: #22, 2804(1%)
minecraft.custom.climb_one_cm: #22, 528352(1%)
minecraft.mined.cobblestone: #22, 719(1%)
minecraft.crafted.oak_planks: #22, 1796(1%)
minecraft.picked_up.coal: #22, 1862(1%)
minecraft.picked_up.white_wool: #22, 60(0%)
minecraft.picked_up.oak_log: #22, 529(0%)
minecraft.picked_up.oak_sapling: #22, 136(0%)
minecraft.used.cobblestone: #22, 1213(0%)
minecraft.used.diamond_pickaxe: #22, 40862(0%)
minecraft.used.diamond_axe: #22, 3765(0%)
minecraft.mined.redstone_ore: #22, 411(0%)
minecraft.picked_up.beef: #22, 101(0%)
minecraft.mined.torch: #22, 154(0%)
minecraft.picked_up.oak_slab: #22, 35(0%)
minecraft.crafted.charcoal: #22, 10(0%)
minecraft.picked_up.spruce_planks: #22, 105(0%)
minecraft.crafted.diamond_shovel: #22, 1(0%)
minecraft.dropped.diamond_pickaxe: #22, 1(0%)
minecraft.used.gravel: #22, 89(0%)
minecraft.crafted.oak_trapdoor: #22, 16(0%)
minecraft.used.dark_oak_boat: #22, 2(0%)
minecraft.mined.lever: #22, 3(0%)
minecraft.dropped.diorite: #22, 99(0%)
minecraft.mined.spruce_planks: #22, 25(0%)
minecraft.dropped.gravel: #22, 28(0%)
minecraft.crafted.glass_pane: #22, 16(0%)
minecraft.used.jungle_log: #22, 9(0%)
minecraft.mined.kelp_plant: #22, 34(0%)
minecraft.picked_up.enchanted_book: #22, 1(0%)
minecraft.picked_up.kelp: #22, 346(0%)
minecraft.picked_up.chicken: #22, 4(0%)
minecraft.picked_up.stone_bricks: #22, 107(0%)
minecraft.crafted.redstone: #22, 90(0%)
minecraft.mined.coal_block: #22, 1(0%)
minecraft.dropped.flint: #22, 2(0%)
minecraft.used.sandstone: #22, 3(0%)
minecraft.mined.snow: #22, 1(0%)
minecraft.mined.coal_ore: #23, 1257(1%)
minecraft.picked_up.diamond: #23, 246(0%)
