stat, rank, value, (percentage) 
minecraft.used.dead_fire_coral_block: #8, 1(0%)
minecraft.used.gray_terracotta: #8, 10(0%)
minecraft.picked_up.green_glazed_terracotta: #8, 1(0%)
minecraft.picked_up.lime_glazed_terracotta: #8, 1(0%)
minecraft.picked_up.brain_coral_fan: #8, 1(0%)
minecraft.crafted.air: #8, 0(0%)
minecraft.dropped.golden_carrot: #9, 259(5%)
minecraft.picked_up.spruce_trapdoor: #9, 371(4%)
minecraft.picked_up.bow: #9, 179(4%)
minecraft.crafted.iron_helmet: #9, 15(4%)
minecraft.mined.magma_block: #9, 1061(4%)
minecraft.used.diorite: #9, 762(4%)
minecraft.crafted.spruce_stairs: #9, 1064(4%)
minecraft.mined.white_bed: #9, 83(4%)
minecraft.picked_up.blue_shulker_box: #9, 131(5%)
minecraft.used.blue_shulker_box: #9, 130(4%)
minecraft.used.totem_of_undying: #9, 8(5%)
minecraft.crafted.furnace: #9, 290(3%)
minecraft.mined.player_wall_head: #9, 66(4%)
minecraft.crafted.iron_hoe: #9, 4(5%)
minecraft.picked_up.oak_sapling: #9, 1080(3%)
minecraft.crafted.ender_eye: #9, 27(4%)
minecraft.used.redstone: #9, 2272(4%)
minecraft.picked_up.obsidian: #9, 1185(3%)
minecraft.picked_up.kelp: #9, 13230(3%)
minecraft.killed_by.player: #9, 3(4%)
minecraft.mined.wheat: #9, 1868(3%)
minecraft.crafted.iron_sword: #9, 12(3%)
minecraft.crafted.coal: #9, 2826(3%)
minecraft.dropped.stone_brick_slab: #9, 151(4%)
minecraft.custom.leave_game: #10, 1089(3%)
minecraft.mined.piston: #9, 142(4%)
minecraft.picked_up.pufferfish: #9, 76(3%)
minecraft.mined.light_blue_shulker_box: #9, 337(4%)
minecraft.picked_up.light_blue_shulker_box: #9, 341(4%)
minecraft.picked_up.black_carpet: #9, 85(4%)
minecraft.used.light_blue_shulker_box: #9, 329(3%)
minecraft.killed.silverfish: #9, 40(4%)
minecraft.picked_up.oak_pressure_plate: #9, 15(3%)
minecraft.used.dark_oak_leaves: #9, 173(4%)
minecraft.used.enchanting_table: #9, 4(4%)
minecraft.picked_up.ink_sac: #9, 492(3%)
minecraft.used.magma_block: #9, 348(3%)
minecraft.used.player_head: #9, 189(3%)
minecraft.dropped.chest: #9, 44(3%)
minecraft.used.kelp: #9, 904(3%)
minecraft.used.white_concrete: #9, 9964(3%)
minecraft.dropped.iron_leggings: #9, 4(3%)
minecraft.picked_up.light_gray_concrete: #9, 1130(3%)
minecraft.mined.tnt: #9, 53(3%)
minecraft.picked_up.emerald_block: #9, 62(3%)
minecraft.mined.observer: #9, 241(3%)
minecraft.picked_up.poisonous_potato: #9, 31(3%)
minecraft.mined.snow_block: #9, 309(3%)
minecraft.crafted.red_shulker_box: #9, 9(3%)
minecraft.used.white_stained_glass: #9, 3178(3%)
minecraft.picked_up.spruce_log: #9, 4667(2%)
minecraft.dropped.iron_boots: #9, 4(3%)
minecraft.mined.player_head: #9, 55(2%)
minecraft.picked_up.nether_bricks: #9, 828(3%)
minecraft.used.emerald_block: #9, 119(3%)
minecraft.used.sticky_piston: #9, 323(2%)
minecraft.picked_up.sugar_cane: #9, 4605(2%)
minecraft.used.cyan_terracotta: #9, 4927(2%)
minecraft.dropped.leather_chestplate: #9, 6(3%)
minecraft.used.white_terracotta: #9, 232(3%)
minecraft.mined.coal_block: #9, 60(2%)
minecraft.used.dropper: #9, 173(2%)
minecraft.picked_up.lava_bucket: #9, 6(3%)
minecraft.picked_up.purpur_pillar: #9, 98(4%)
minecraft.mined.dragon_wall_head: #9, 5(4%)
minecraft.picked_up.purpur_block: #9, 190(3%)
minecraft.crafted.jungle_boat: #9, 2(3%)
minecraft.picked_up.allium: #9, 45(3%)
minecraft.dropped.spider_eye: #9, 111(2%)
minecraft.picked_up.yellow_wool: #9, 182(2%)
minecraft.dropped.tropical_fish: #9, 6(3%)
minecraft.picked_up.coarse_dirt: #9, 384(2%)
minecraft.killed_by.drowned: #9, 2(3%)
minecraft.crafted.chest_minecart: #9, 5(3%)
minecraft.crafted.cooked_beef: #9, 237(2%)
minecraft.custom.drop: #10, 7439(4%)
minecraft.picked_up.stripped_dark_oak_log: #9, 124(2%)
minecraft.picked_up.wither_skeleton_skull: #9, 12(2%)
minecraft.dropped.filled_map: #9, 7(2%)
minecraft.dropped.iron_chestplate: #9, 3(2%)
minecraft.picked_up.chiseled_quartz_block: #9, 28(2%)
minecraft.picked_up.cyan_terracotta: #9, 1297(2%)
minecraft.crafted.clock: #9, 2(3%)
minecraft.crafted.lime_stained_glass_pane: #9, 160(2%)
minecraft.used.tnt: #9, 177(2%)
minecraft.crafted.iron_leggings: #10, 17(5%)
minecraft.dropped.nether_bricks: #9, 30(2%)
minecraft.killed.horse: #9, 3(2%)
minecraft.used.horn_coral_block: #9, 32(2%)
minecraft.killed_by.vindicator: #9, 1(3%)
minecraft.picked_up.blue_stained_glass: #9, 112(2%)
minecraft.custom.traded_with_villager: #9, 3294(1%)
minecraft.picked_up.white_banner: #9, 33(1%)
minecraft.picked_up.lime_banner: #9, 2(3%)
minecraft.picked_up.cyan_shulker_box: #9, 44(2%)
minecraft.used.coal_block: #9, 140(2%)
minecraft.mined.carrots: #9, 435(1%)
minecraft.picked_up.cooked_mutton: #9, 34(2%)
minecraft.used.cyan_shulker_box: #9, 43(2%)
minecraft.dropped.gold_ingot: #9, 71(2%)
minecraft.mined.cyan_shulker_box: #9, 42(2%)
minecraft.picked_up.light_blue_stained_glass_pane: #9, 16(2%)
minecraft.crafted.cyan_dye: #9, 514(1%)
minecraft.custom.damage_taken: #10, 272517(4%)
minecraft.used.jungle_leaves: #9, 150(1%)
minecraft.crafted.cyan_terracotta: #9, 2768(2%)
minecraft.picked_up.diorite: #10, 14488(5%)
minecraft.dropped.stone_pickaxe: #9, 2(2%)
minecraft.mined.lime_wool: #9, 11(2%)
minecraft.used.lime_carpet: #9, 55(2%)
minecraft.mined.yellow_stained_glass: #9, 19(1%)
minecraft.used.brain_coral: #9, 5(2%)
minecraft.picked_up.granite: #10, 12987(5%)
minecraft.dropped.nether_quartz_ore: #9, 12(2%)
minecraft.crafted.white_wool: #9, 183(1%)
minecraft.used.horn_coral_fan: #9, 10(1%)
minecraft.custom.open_enderchest: #10, 3812(4%)
minecraft.picked_up.andesite: #10, 15364(5%)
minecraft.mined.bricks: #9, 62(1%)
minecraft.mined.lime_stained_glass: #9, 21(1%)
minecraft.crafted.dark_oak_fence_gate: #9, 22(1%)
minecraft.dropped.anvil: #9, 1(2%)
minecraft.killed.ravager: #9, 1(1%)
minecraft.crafted.light_gray_stained_glass_pane: #9, 208(1%)
minecraft.dropped.sandstone: #9, 138(1%)
minecraft.picked_up.stone: #10, 120935(4%)
minecraft.used.light_gray_terracotta: #9, 74(1%)
minecraft.used.light_gray_stained_glass_pane: #9, 150(1%)
minecraft.used.brain_coral_fan: #9, 10(1%)
minecraft.dropped.writable_book: #9, 1(1%)
minecraft.crafted.emerald_block: #9, 235(1%)
minecraft.used.dark_oak_fence_gate: #9, 19(1%)
minecraft.crafted.bricks: #9, 615(1%)
minecraft.used.lime_concrete: #9, 102(1%)
minecraft.dropped.cactus: #9, 201(1%)
minecraft.crafted.gray_stained_glass_pane: #9, 160(1%)
minecraft.mined.chorus_flower: #9, 17(1%)
minecraft.dropped.purpur_stairs: #9, 2(1%)
minecraft.dropped.oak_stairs: #9, 3(1%)
minecraft.crafted.purple_shulker_box: #9, 1(1%)
minecraft.crafted.stone_button: #9, 268(0%)
minecraft.custom.interact_with_furnace: #10, 3263(4%)
minecraft.mined.redstone_wire: #10, 816(5%)
minecraft.dropped.tnt: #9, 3(1%)
minecraft.picked_up.dark_oak_pressure_plate: #9, 1(1%)
minecraft.crafted.light_blue_shulker_box: #9, 2(0%)
minecraft.picked_up.golden_sword: #9, 3(0%)
minecraft.mined.smooth_quartz: #9, 20(0%)
minecraft.used.cake: #9, 4(0%)
minecraft.crafted.hay_block: #9, 27(0%)
minecraft.picked_up.purple_concrete: #9, 33(0%)
minecraft.dropped.nautilus_shell: #9, 1(0%)
minecraft.crafted.clay: #9, 7(0%)
minecraft.dropped.wooden_shovel: #9, 2(0%)
minecraft.picked_up.quartz_slab: #10, 951(5%)
minecraft.used.melon_seeds: #9, 7(0%)
minecraft.custom.pig_one_cm: #9, 1139(0%)
minecraft.dropped.birch_button: #9, 1(0%)
minecraft.picked_up.blue_orchid: #9, 12(0%)
minecraft.crafted.anvil: #10, 50(4%)
minecraft.dropped.brick: #9, 3(0%)
minecraft.used.podzol: #9, 11(0%)
minecraft.dropped.quartz_block: #9, 29(0%)
minecraft.picked_up.gray_terracotta: #9, 11(0%)
minecraft.used.magenta_concrete_powder: #9, 8(0%)
minecraft.dropped.melon_seeds: #9, 2(0%)
minecraft.used.purpur_stairs: #9, 1(0%)
minecraft.mined.oak_planks: #10, 702(4%)
minecraft.picked_up.mycelium: #9, 18(0%)
minecraft.dropped.jungle_log: #9, 4(0%)
minecraft.dropped.chiseled_stone_bricks: #9, 1(0%)
minecraft.picked_up.white_glazed_terracotta: #9, 1(0%)
minecraft.used.crafting_table: #10, 343(4%)
minecraft.crafted.oak_sign: #10, 465(4%)
minecraft.custom.boat_one_cm: #10, 23754438(4%)
minecraft.picked_up.dirt: #10, 36436(3%)
minecraft.picked_up.white_bed: #10, 100(4%)
minecraft.used.white_bed: #10, 106(4%)
minecraft.mined.blue_shulker_box: #10, 128(4%)
minecraft.mined.piston_head: #10, 12(5%)
minecraft.picked_up.snowball: #10, 3902(4%)
minecraft.dropped.dirt: #10, 3803(3%)
minecraft.dropped.diamond: #10, 365(4%)
minecraft.crafted.ender_chest: #10, 19(4%)
minecraft.mined.gravel: #10, 23856(3%)
minecraft.picked_up.minecart: #10, 191(4%)
minecraft.crafted.hopper: #10, 831(4%)
minecraft.custom.inspect_hopper: #10, 1640(3%)
minecraft.used.oak_fence: #10, 350(3%)
minecraft.crafted.stone_brick_stairs: #10, 2032(3%)
minecraft.mined.quartz_slab: #10, 540(4%)
minecraft.dropped.elytra: #10, 7(4%)
minecraft.crafted.cobblestone_wall: #10, 624(3%)
minecraft.used.stone_brick_stairs: #10, 2011(3%)
minecraft.picked_up.chicken: #10, 156(3%)
minecraft.used.andesite: #10, 1496(3%)
minecraft.mined.flower_pot: #10, 7(4%)
minecraft.dropped.player_head: #10, 70(3%)
minecraft.picked_up.gravel: #10, 21520(3%)
minecraft.mined.nether_quartz_ore: #10, 7551(3%)
minecraft.used.written_book: #10, 1176(3%)
minecraft.crafted.shears: #10, 90(3%)
minecraft.used.damaged_anvil: #10, 8(4%)
minecraft.used.beacon: #10, 27(3%)
minecraft.crafted.spruce_fence: #10, 612(3%)
minecraft.picked_up.dragon_head: #10, 9(4%)
minecraft.dropped.rotten_flesh: #10, 1245(2%)
minecraft.mined.stone_brick_slab: #10, 863(3%)
minecraft.used.dispenser: #10, 102(3%)
minecraft.dropped.soul_sand: #10, 93(3%)
minecraft.dropped.firework_rocket: #10, 634(3%)
minecraft.picked_up.prismarine_crystals: #10, 2877(2%)
minecraft.dropped.lead: #10, 7(4%)
minecraft.used.repeater: #10, 522(3%)
minecraft.dropped.redstone: #10, 248(2%)
minecraft.mined.oak_button: #10, 7(2%)
minecraft.used.sand: #10, 7250(2%)
minecraft.crafted.light_gray_carpet: #10, 429(3%)
minecraft.crafted.white_carpet: #10, 417(2%)
minecraft.dropped.smooth_stone_slab: #10, 231(3%)
minecraft.killed.guardian: #10, 5123(2%)
minecraft.mined.white_wall_banner: #10, 11(3%)
minecraft.dropped.crafting_table: #10, 11(2%)
minecraft.mined.nether_bricks: #10, 672(2%)
minecraft.broken.stone_pickaxe: #10, 2(2%)
minecraft.used.quartz_pillar: #10, 399(2%)
minecraft.used.sea_lantern: #10, 1311(2%)
minecraft.used.trident: #10, 590(2%)
minecraft.picked_up.tropical_fish: #10, 10(2%)
minecraft.crafted.lead: #10, 12(2%)
minecraft.mined.enchanting_table: #10, 2(3%)
minecraft.picked_up.enchanting_table: #10, 2(3%)
minecraft.broken.shears: #10, 22(2%)
minecraft.picked_up.prismarine_shard: #10, 6092(2%)
minecraft.killed.husk: #10, 21(2%)
minecraft.picked_up.loom: #10, 3(2%)
minecraft.picked_up.rose_bush: #10, 200(2%)
minecraft.mined.cyan_terracotta: #10, 888(2%)
minecraft.crafted.dropper: #10, 136(2%)
minecraft.crafted.emerald: #10, 4266(2%)
minecraft.mined.green_concrete: #10, 252(2%)
minecraft.used.stripped_birch_log: #10, 109(2%)
minecraft.used.brown_concrete_powder: #10, 137(2%)
minecraft.used.light_gray_carpet: #10, 262(1%)
minecraft.crafted.bookshelf: #10, 139(1%)
minecraft.picked_up.gray_carpet: #10, 125(1%)
minecraft.crafted.lime_carpet: #10, 54(2%)
minecraft.picked_up.filled_map: #10, 59(1%)
minecraft.dropped.iron_shovel: #10, 3(1%)
minecraft.picked_up.black_stained_glass: #10, 88(1%)
minecraft.dropped.cod: #10, 932(1%)
minecraft.crafted.brown_concrete_powder: #10, 136(2%)
minecraft.crafted.iron_block: #10, 1502(1%)
minecraft.crafted.comparator: #10, 87(1%)
minecraft.mined.yellow_wool: #10, 21(1%)
minecraft.used.tube_coral: #10, 4(1%)
minecraft.killed.pufferfish: #10, 1(2%)
minecraft.crafted.gold_block: #10, 166(1%)
minecraft.dropped.stone_button: #10, 51(1%)
minecraft.picked_up.jungle_leaves: #10, 187(1%)
minecraft.used.fire_coral_fan: #10, 13(1%)
minecraft.crafted.red_wool: #10, 91(1%)
minecraft.mined.spruce_sapling: #10, 8(1%)
minecraft.dropped.shulker_box: #10, 11(1%)
minecraft.mined.nether_brick_fence: #10, 9(1%)
minecraft.dropped.purpur_slab: #10, 4(1%)
minecraft.crafted.magenta_shulker_box: #10, 1(1%)
minecraft.crafted.dark_oak_boat: #10, 2(1%)
minecraft.crafted.scaffolding: #10, 276(1%)
minecraft.dropped.iron_nugget: #10, 11(1%)
minecraft.used.pumpkin_seeds: #10, 32(1%)
minecraft.mined.light_blue_bed: #10, 4(1%)
minecraft.picked_up.light_blue_bed: #10, 4(1%)
minecraft.used.light_blue_bed: #10, 4(1%)
minecraft.dropped.glowstone: #10, 14(1%)
minecraft.crafted.spruce_fence_gate: #10, 38(1%)
minecraft.dropped.purpur_block: #10, 11(1%)
minecraft.used.orange_stained_glass: #10, 18(1%)
minecraft.crafted.black_stained_glass: #10, 256(1%)
minecraft.used.purple_banner: #10, 1(1%)
minecraft.dropped.quartz_slab: #10, 8(1%)
minecraft.picked_up.white_wool: #11, 563(4%)
minecraft.crafted.mossy_stone_bricks: #10, 53(1%)
minecraft.used.acacia_planks: #10, 7(0%)
minecraft.crafted.tnt: #10, 145(0%)
minecraft.dropped.cracked_stone_bricks: #10, 9(1%)
minecraft.picked_up.light_blue_banner: #10, 1(1%)
minecraft.used.acacia_fence: #10, 8(0%)
minecraft.custom.use_cauldron: #10, 1(0%)
minecraft.dropped.blue_wool: #10, 3(0%)
minecraft.killed_by.guardian: #10, 1(0%)
minecraft.dropped.iron_axe: #10, 3(0%)
minecraft.dropped.golden_sword: #10, 2(0%)
minecraft.dropped.orange_terracotta: #10, 11(0%)
minecraft.picked_up.map: #10, 2(0%)
minecraft.used.smooth_quartz: #10, 32(0%)
minecraft.mined.purple_concrete: #10, 24(0%)
minecraft.used.cyan_bed: #10, 1(0%)
minecraft.used.blue_stained_glass: #10, 16(0%)
minecraft.used.green_wool: #10, 2(0%)
minecraft.mined.prismarine_brick_slab: #10, 3(0%)
minecraft.dropped.white_dye: #10, 5(0%)
minecraft.mined.dead_fire_coral_block: #10, 1(0%)
minecraft.crafted.prismarine: #10, 11(0%)
minecraft.mined.mycelium: #10, 17(0%)
minecraft.picked_up.orange_concrete_powder: #10, 2(0%)
minecraft.picked_up.yellow_glazed_terracotta: #10, 1(0%)
minecraft.picked_up.orange_glazed_terracotta: #10, 1(0%)
minecraft.killed.vindicator: #10, 13(0%)
minecraft.mined.crafting_table: #11, 276(3%)
minecraft.mined.spruce_trapdoor: #11, 304(4%)
minecraft.mined.sea_lantern: #11, 375(4%)
minecraft.used.anvil: #11, 60(3%)
minecraft.custom.deaths: #11, 79(3%)
minecraft.used.dirt: #11, 20076(2%)
minecraft.picked_up.damaged_anvil: #11, 10(4%)
minecraft.crafted.writable_book: #11, 25(3%)
minecraft.mined.damaged_anvil: #11, 9(4%)
minecraft.custom.play_one_minute: #12, 57595715(3%)
minecraft.crafted.minecart: #11, 90(3%)
minecraft.picked_up.beacon: #11, 20(3%)
minecraft.crafted.iron_bars: #11, 880(3%)
minecraft.picked_up.paper: #11, 908(3%)
minecraft.killed.ghast: #11, 61(3%)
minecraft.mined.beacon: #11, 16(3%)
minecraft.used.bone_meal: #11, 2762(2%)
minecraft.dropped.diamond_shovel: #11, 5(3%)
minecraft.mined.netherrack: #11, 30848(2%)
minecraft.dropped.gunpowder: #11, 215(2%)
minecraft.used.gravel: #11, 1137(2%)
minecraft.custom.inspect_dropper: #11, 386(2%)
minecraft.picked_up.nautilus_shell: #11, 20(2%)
minecraft.used.redstone_torch: #11, 335(2%)
minecraft.crafted.white_dye: #11, 1736(2%)
minecraft.dropped.leather_leggings: #11, 7(2%)
minecraft.dropped.leather_boots: #11, 10(2%)
minecraft.crafted.piston: #11, 371(2%)
minecraft.mined.spruce_log: #11, 3383(2%)
minecraft.picked_up.chipped_anvil: #11, 10(3%)
minecraft.used.salmon_bucket: #11, 2(3%)
minecraft.crafted.jungle_planks: #11, 1448(2%)
minecraft.mined.oak_pressure_plate: #11, 5(2%)
minecraft.used.splash_potion: #11, 9(2%)
minecraft.mined.stone_button: #11, 41(2%)
minecraft.crafted.book: #11, 134(2%)
minecraft.mined.tripwire_hook: #11, 5(2%)
minecraft.picked_up.yellow_concrete: #11, 344(2%)
minecraft.used.bookshelf: #11, 126(1%)
minecraft.dropped.arrow: #11, 436(1%)
minecraft.picked_up.salmon: #11, 107(2%)
minecraft.crafted.white_banner: #11, 21(2%)
minecraft.dropped.oak_boat: #11, 5(1%)
minecraft.used.redstone_ore: #11, 386(2%)
minecraft.picked_up.dark_prismarine: #11, 108(2%)
minecraft.picked_up.cut_sandstone: #11, 48(2%)
minecraft.picked_up.phantom_membrane: #11, 63(1%)
minecraft.dropped.glass: #11, 161(2%)
minecraft.mined.note_block: #11, 17(2%)
minecraft.mined.spruce_fence_gate: #11, 15(2%)
minecraft.used.mossy_stone_bricks: #11, 71(1%)
minecraft.dropped.diamond_chestplate: #11, 1(2%)
minecraft.mined.chiseled_quartz_block: #11, 17(2%)
minecraft.crafted.birch_boat: #11, 3(2%)
minecraft.dropped.cooked_beef: #11, 24(1%)
minecraft.used.stone_shovel: #11, 289(1%)
minecraft.mined.podzol: #11, 166(1%)
minecraft.crafted.acacia_planks: #11, 740(1%)
minecraft.mined.cut_sandstone: #11, 37(1%)
minecraft.dropped.spruce_door: #11, 2(2%)
minecraft.used.sea_pickle: #11, 146(1%)
minecraft.dropped.powered_rail: #11, 12(1%)
minecraft.dropped.spruce_button: #11, 3(1%)
minecraft.dropped.birch_boat: #11, 1(1%)
minecraft.mined.purpur_pillar: #11, 42(2%)
minecraft.crafted.brick: #11, 445(1%)
minecraft.dropped.shield: #11, 1(1%)
minecraft.picked_up.totem_of_undying: #11, 5(1%)
minecraft.crafted.painting: #11, 25(1%)
minecraft.mined.gray_carpet: #11, 27(1%)
minecraft.custom.jump: #12, 243128(3%)
minecraft.mined.sea_pickle: #11, 24(1%)
minecraft.picked_up.sea_pickle: #11, 119(1%)
minecraft.mined.lime_concrete: #11, 160(1%)
minecraft.used.fire_coral: #11, 4(1%)
minecraft.mined.dark_prismarine: #11, 50(1%)
minecraft.crafted.name_tag: #11, 7(1%)
minecraft.used.cyan_stained_glass_pane: #11, 24(1%)
minecraft.dropped.cobblestone_slab: #11, 23(1%)
minecraft.picked_up.purple_banner: #11, 1(1%)
minecraft.used.lime_wool: #11, 21(1%)
minecraft.crafted.pink_shulker_box: #11, 1(1%)
minecraft.used.pufferfish_bucket: #11, 4(1%)
minecraft.dropped.white_concrete: #11, 63(1%)
minecraft.mined.coarse_dirt: #11, 101(1%)
minecraft.used.spruce_fence_gate: #11, 40(1%)
minecraft.used.jungle_planks: #11, 28(1%)
minecraft.dropped.stone_axe: #11, 1(1%)
minecraft.picked_up.acacia_planks: #11, 10(1%)
minecraft.used.spruce_leaves: #11, 294(1%)
minecraft.picked_up.nether_brick_fence: #11, 8(1%)
minecraft.used.yellow_stained_glass: #11, 37(1%)
minecraft.mined.light_gray_concrete_powder: #11, 29(1%)
minecraft.picked_up.green_concrete: #11, 79(1%)
minecraft.picked_up.lime_concrete: #11, 94(1%)
minecraft.used.lime_stained_glass_pane: #11, 33(1%)
minecraft.dropped.beetroot_seeds: #11, 3(1%)
minecraft.mined.magenta_stained_glass: #11, 4(1%)
minecraft.picked_up.emerald: #11, 212(0%)
minecraft.crafted.gray_wool: #11, 8(1%)
minecraft.used.cod_bucket: #11, 2(1%)
minecraft.used.daylight_detector: #11, 4(1%)
minecraft.mined.activator_rail: #11, 1(1%)
minecraft.crafted.firework_rocket: #11, 3027(0%)
minecraft.crafted.filled_map: #11, 14(0%)
minecraft.dropped.repeater: #11, 4(0%)
minecraft.mined.light_gray_stained_glass: #11, 16(0%)
minecraft.picked_up.seagrass: #11, 15(0%)
minecraft.used.purpur_block: #11, 5(0%)
minecraft.dropped.jungle_leaves: #11, 4(0%)
minecraft.crafted.cooked_chicken: #11, 15(0%)
minecraft.mined.acacia_planks: #11, 2(0%)
minecraft.used.purple_concrete_powder: #11, 24(0%)
minecraft.crafted.purple_concrete_powder: #11, 24(0%)
minecraft.killed.zombie_pigman: #11, 23(0%)
minecraft.mined.purple_carpet: #11, 1(0%)
minecraft.dropped.sugar: #11, 3(0%)
minecraft.picked_up.purple_carpet: #11, 1(0%)
minecraft.dropped.quartz: #11, 7(0%)
minecraft.picked_up.smooth_quartz: #11, 28(0%)
minecraft.used.acacia_leaves: #11, 6(0%)
minecraft.dropped.piston: #11, 1(0%)
minecraft.crafted.chiseled_sandstone: #11, 1(0%)
minecraft.crafted.wheat: #11, 27(0%)
minecraft.mined.green_concrete_powder: #11, 2(0%)
minecraft.picked_up.black_stained_glass_pane: #11, 2(0%)
minecraft.picked_up.lime_concrete_powder: #11, 2(0%)
minecraft.used.purple_concrete: #11, 6(0%)
minecraft.picked_up.melon: #11, 4(0%)
minecraft.used.magenta_stained_glass: #11, 2(0%)
minecraft.picked_up.gold_nugget: #11, 112(0%)
minecraft.picked_up.light_blue_glazed_terracotta: #11, 3(0%)
minecraft.used.prismarine_brick_slab: #11, 3(0%)
minecraft.crafted.melon: #11, 9(0%)
minecraft.picked_up.wheat_seeds: #12, 5468(3%)
minecraft.used.spruce_stairs: #12, 903(4%)
minecraft.picked_up.quartz_stairs: #12, 480(4%)
minecraft.custom.fall_one_cm: #12, 5506403(2%)
minecraft.mined.spruce_slab: #12, 553(3%)
minecraft.mined.grass: #12, 1844(2%)
minecraft.picked_up.spruce_sign: #12, 30(3%)
minecraft.used.wheat_seeds: #12, 1983(3%)
minecraft.mined.kelp: #12, 451(3%)
minecraft.mined.cobblestone_stairs: #12, 88(3%)
minecraft.mined.sand: #12, 38424(2%)
minecraft.picked_up.sand: #12, 40250(2%)
minecraft.picked_up.anvil: #12, 28(2%)
minecraft.used.diamond_axe: #12, 22974(2%)
minecraft.used.vine: #12, 80(3%)
minecraft.killed.slime: #12, 403(3%)
minecraft.dropped.ender_chest: #12, 4(4%)
minecraft.crafted.redstone: #12, 5054(2%)
minecraft.custom.animals_bred: #12, 375(2%)
minecraft.picked_up.slime_ball: #12, 1088(2%)
minecraft.used.bow: #12, 1377(2%)
minecraft.custom.sneak_time: #13, 2263059(3%)
minecraft.used.detector_rail: #12, 18(2%)
minecraft.used.armor_stand: #12, 72(2%)
minecraft.picked_up.saddle: #12, 6(2%)
minecraft.used.ender_pearl: #12, 238(2%)
minecraft.used.quartz_slab: #12, 1071(2%)
minecraft.used.wooden_hoe: #12, 29(3%)
minecraft.mined.fern: #12, 51(2%)
minecraft.used.stone_pickaxe: #12, 279(2%)
minecraft.used.dark_oak_trapdoor: #12, 157(2%)
minecraft.picked_up.stone_pickaxe: #12, 2(2%)
minecraft.picked_up.spruce_sapling: #12, 305(1%)
minecraft.picked_up.white_concrete: #12, 4540(1%)
minecraft.used.chipped_anvil: #12, 7(2%)
minecraft.dropped.water_bucket: #12, 4(2%)
minecraft.picked_up.note_block: #12, 23(2%)
minecraft.dropped.diamond_helmet: #12, 2(2%)
minecraft.picked_up.name_tag: #12, 13(1%)
minecraft.picked_up.stone_axe: #12, 1(2%)
minecraft.mined.cracked_stone_bricks: #12, 38(1%)
minecraft.used.lava_bucket: #12, 35(1%)
minecraft.picked_up.sandstone_stairs: #12, 47(2%)
minecraft.crafted.lime_concrete_powder: #12, 216(2%)
minecraft.crafted.pink_dye: #12, 124(1%)
minecraft.killed.squid: #12, 50(1%)
minecraft.killed.phantom: #12, 74(1%)
minecraft.used.jungle_log: #12, 119(1%)
minecraft.dropped.shears: #12, 5(2%)
minecraft.used.lime_concrete_powder: #12, 155(2%)
minecraft.crafted.dark_oak_trapdoor: #12, 104(1%)
minecraft.picked_up.spruce_fence_gate: #12, 20(2%)
minecraft.crafted.snow_block: #12, 385(1%)
minecraft.mined.black_stained_glass: #12, 64(1%)
minecraft.used.comparator: #12, 83(1%)
minecraft.custom.crouch_one_cm: #13, 7370177(3%)
minecraft.crafted.birch_door: #12, 3(1%)
minecraft.dropped.cut_sandstone: #12, 4(2%)
minecraft.crafted.magenta_dye: #12, 104(1%)
minecraft.custom.fill_cauldron: #12, 4(1%)
minecraft.used.lime_banner: #12, 2(2%)
minecraft.crafted.detector_rail: #12, 12(1%)
minecraft.dropped.snowball: #12, 63(1%)
minecraft.used.sugar_cane: #12, 258(1%)
minecraft.picked_up.white_terracotta: #12, 823(1%)
minecraft.mined.stripped_dark_oak_log: #12, 53(1%)
minecraft.crafted.shulker_box: #12, 58(1%)
minecraft.custom.sprint_one_cm: #13, 75256795(3%)
minecraft.used.cocoa_beans: #12, 149(1%)
minecraft.mined.purpur_block: #12, 70(1%)
minecraft.killed.endermite: #12, 2(1%)
minecraft.mined.blue_wool: #12, 17(1%)
minecraft.crafted.campfire: #12, 16(1%)
minecraft.mined.jungle_planks: #12, 11(1%)
minecraft.crafted.acacia_boat: #12, 1(1%)
minecraft.dropped.cake: #12, 1(1%)
minecraft.mined.white_terracotta: #12, 579(1%)
minecraft.dropped.sandstone_slab: #12, 13(1%)
minecraft.used.carrot: #12, 386(1%)
minecraft.dropped.ink_sac: #12, 10(1%)
minecraft.crafted.oak_pressure_plate: #12, 4(1%)
minecraft.mined.purple_stained_glass_pane: #12, 2(1%)
minecraft.picked_up.polished_diorite: #12, 37(1%)
minecraft.crafted.light_gray_stained_glass: #12, 336(1%)
minecraft.mined.hay_block: #12, 4(1%)
minecraft.used.black_stained_glass: #12, 140(0%)
minecraft.used.apple: #12, 6(0%)
minecraft.dropped.salmon: #12, 15(0%)
minecraft.mined.red_bed: #12, 3(1%)
minecraft.picked_up.orange_concrete: #12, 53(1%)
minecraft.picked_up.purpur_stairs: #12, 5(1%)
minecraft.crafted.orange_concrete_powder: #12, 40(0%)
minecraft.crafted.polished_diorite: #12, 76(0%)
minecraft.used.purple_stained_glass: #12, 17(0%)
minecraft.custom.minecart_one_cm: #12, 832381(0%)
minecraft.used.orange_concrete_powder: #12, 32(0%)
minecraft.crafted.gray_shulker_box: #12, 1(0%)
minecraft.crafted.glowstone: #12, 72(0%)
minecraft.mined.purpur_stairs: #12, 5(0%)
