stat, rank, value, (percentage) 
minecraft.picked_up.spider_eye: #4, 1268(10%)
minecraft.dropped.yellow_stained_glass: #3, 25(19%)
minecraft.crafted.sponge: #3, 1055(9%)
minecraft.dropped.brown_mushroom: #3, 88(7%)
minecraft.picked_up.mutton: #3, 313(7%)
minecraft.mined.wet_sponge: #3, 1202(9%)
minecraft.used.glass_pane: #3, 770(6%)
minecraft.picked_up.iron_hoe: #3, 3(11%)
minecraft.picked_up.bone_meal: #4, 3108(9%)
minecraft.picked_up.light_blue_concrete_powder: #3, 615(11%)
minecraft.used.cooked_chicken: #4, 1117(9%)
minecraft.picked_up.splash_potion: #3, 27(9%)
minecraft.picked_up.cookie: #4, 452(12%)
minecraft.picked_up.cobweb: #3, 772(6%)
minecraft.picked_up.magenta_dye: #3, 101(15%)
minecraft.mined.light_blue_concrete: #3, 1229(8%)
minecraft.picked_up.prismarine_brick_stairs: #3, 88(13%)
minecraft.mined.potted_dandelion: #3, 2(18%)
minecraft.used.pumpkin: #3, 890(7%)
minecraft.picked_up.stone_sword: #3, 65(5%)
minecraft.used.lingering_potion: #2, 1(12%)
minecraft.picked_up.dragon_egg: #3, 3(14%)
minecraft.used.emerald_ore: #3, 13(14%)
minecraft.picked_up.leather_leggings: #4, 41(9%)
minecraft.picked_up.green_banner: #3, 4(12%)
minecraft.picked_up.light_gray_stained_glass_pane: #3, 398(8%)
minecraft.picked_up.cracked_stone_bricks: #3, 882(5%)
minecraft.picked_up.golden_carrot: #4, 2857(10%)
minecraft.picked_up.dragon_breath: #3, 63(24%)
minecraft.crafted.stone_bricks: #4, 41410(9%)
minecraft.used.gray_wool: #3, 79(7%)
minecraft.picked_up.smooth_sandstone: #3, 2489(7%)
minecraft.used.cooked_mutton: #3, 174(6%)
minecraft.picked_up.leather_chestplate: #4, 31(8%)
minecraft.mined.trapped_chest: #3, 11(10%)
minecraft.picked_up.light_gray_concrete_powder: #4, 2822(10%)
minecraft.picked_up.quartz_pillar: #3, 506(5%)
minecraft.dropped.diamond_pickaxe: #4, 40(9%)
minecraft.broken.iron_boots: #3, 1(12%)
minecraft.killed.ocelot: #3, 1(20%)
minecraft.picked_up.carrot_on_a_stick: #3, 2(14%)
minecraft.picked_up.chainmail_leggings: #4, 15(9%)
minecraft.picked_up.arrow: #4, 4565(7%)
minecraft.picked_up.light_gray_dye: #4, 262(12%)
minecraft.mined.ladder: #4, 408(9%)
minecraft.picked_up.cyan_dye: #3, 152(8%)
minecraft.dropped.flint: #4, 800(8%)
minecraft.killed.spider: #4, 310(8%)
minecraft.dropped.baked_potato: #3, 128(5%)
minecraft.picked_up.cyan_stained_glass: #3, 815(5%)
