stat, rank, value, (percentage) 
minecraft.mined.yellow_carpet: #6, 26(5%)
minecraft.mined.blue_wool: #6, 71(4%)
minecraft.mined.oak_leaves: #7, 8948(5%)
minecraft.crafted.dried_kelp: #6, 3972(3%)
minecraft.killed.slime: #7, 1134(7%)
minecraft.crafted.yellow_carpet: #6, 168(3%)
minecraft.crafted.blaze_powder: #6, 190(2%)
minecraft.crafted.lime_wool: #6, 34(5%)
minecraft.dropped.charcoal: #6, 4(5%)
minecraft.used.stone_shovel: #6, 529(2%)
minecraft.mined.hay_block: #6, 17(3%)
minecraft.picked_up.blue_wool: #6, 492(2%)
minecraft.broken.stone_axe: #6, 3(5%)
minecraft.crafted.diamond_block: #7, 575(6%)
minecraft.broken.stone_shovel: #6, 4(2%)
minecraft.crafted.acacia_fence: #6, 57(3%)
minecraft.used.end_rod: #7, 1053(5%)
minecraft.picked_up.cooked_porkchop: #6, 42(1%)
minecraft.used.white_glazed_terracotta: #6, 21(3%)
minecraft.crafted.blue_carpet: #6, 357(1%)
minecraft.crafted.light_blue_banner: #6, 6(1%)
minecraft.crafted.cartography_table: #6, 2(1%)
minecraft.dropped.cobblestone: #7, 15810(4%)
minecraft.mined.oak_pressure_plate: #7, 12(5%)
minecraft.crafted.stone_pickaxe: #7, 12(4%)
minecraft.used.polished_andesite: #7, 3413(4%)
minecraft.crafted.acacia_planks: #7, 2816(4%)
minecraft.broken.wooden_pickaxe: #7, 1(12%)
minecraft.picked_up.slime_ball: #7, 1895(4%)
minecraft.picked_up.campfire: #7, 36(6%)
minecraft.used.diamond_block: #7, 193(4%)
minecraft.dropped.white_bed: #7, 4(5%)
minecraft.mined.glass_pane: #7, 79(3%)
minecraft.used.white_banner: #7, 37(3%)
minecraft.picked_up.tripwire_hook: #8, 131(7%)
minecraft.mined.white_glazed_terracotta: #7, 13(6%)
minecraft.picked_up.andesite: #8, 17252(5%)
minecraft.picked_up.granite: #8, 14051(5%)
minecraft.killed_by.pufferfish: #7, 1(3%)
minecraft.crafted.white_wool: #7, 229(1%)
minecraft.used.granite: #8, 630(5%)
minecraft.crafted.coal: #8, 4215(5%)
minecraft.mined.lapis_block: #7, 6(1%)
minecraft.used.light_blue_banner: #7, 5(1%)
minecraft.used.lapis_block: #7, 17(1%)
minecraft.mined.light_blue_wall_banner: #7, 1(1%)
minecraft.picked_up.white_glazed_terracotta: #7, 11(0%)
minecraft.dropped.bookshelf: #7, 1(0%)
minecraft.picked_up.oak_door: #8, 43(5%)
minecraft.dropped.wheat_seeds: #8, 2162(4%)
minecraft.used.oak_sapling: #8, 785(3%)
