stat, rank, value, (percentage) 
minecraft.picked_up.green_stained_glass_pane: #6, 13(3%)
minecraft.mined.wither_skeleton_wall_skull: #6, 1(4%)
minecraft.killed.magma_cube: #7, 176(6%)
minecraft.mined.cyan_banner: #6, 1(3%)
minecraft.crafted.wooden_shovel: #6, 9(1%)
minecraft.mined.stripped_birch_wood: #6, 13(3%)
minecraft.picked_up.stripped_birch_wood: #6, 13(3%)
minecraft.mined.magenta_concrete: #6, 64(2%)
minecraft.mined.piston: #7, 219(6%)
minecraft.picked_up.black_stained_glass_pane: #6, 25(1%)
minecraft.used.green_wool: #6, 15(1%)
minecraft.crafted.snow_block: #7, 1771(6%)
minecraft.used.brown_stained_glass_pane: #6, 3(2%)
minecraft.used.brick_slab: #6, 69(1%)
minecraft.picked_up.coal: #7, 15632(4%)
minecraft.crafted.green_stained_glass_pane: #6, 16(1%)
minecraft.used.magenta_carpet: #6, 6(1%)
minecraft.picked_up.grass: #7, 136(5%)
minecraft.picked_up.lily_pad: #7, 91(6%)
minecraft.mined.magenta_stained_glass_pane: #6, 1(0%)
minecraft.used.pink_stained_glass: #6, 1(0%)
minecraft.crafted.brick: #7, 2304(5%)
minecraft.used.glass_pane: #7, 503(4%)
minecraft.picked_up.light_gray_concrete_powder: #7, 1317(5%)
minecraft.mined.oak_log: #7, 4279(3%)
minecraft.picked_up.oak_log: #7, 4588(3%)
minecraft.used.grass_block: #7, 11124(3%)
minecraft.mined.spruce_button: #7, 14(5%)
minecraft.mined.chiseled_sandstone: #7, 10(6%)
minecraft.picked_up.polished_granite: #7, 320(4%)
minecraft.crafted.purple_dye: #7, 388(4%)
minecraft.picked_up.chiseled_sandstone: #7, 10(6%)
minecraft.mined.dark_oak_wall_sign: #7, 7(5%)
minecraft.used.cooked_chicken: #7, 343(3%)
minecraft.picked_up.ghast_tear: #7, 38(4%)
minecraft.used.bookshelf: #7, 262(3%)
minecraft.killed.guardian: #7, 7496(4%)
minecraft.crafted.bookshelf: #7, 338(3%)
minecraft.used.spruce_pressure_plate: #7, 17(4%)
minecraft.picked_up.dark_oak_door: #7, 11(4%)
minecraft.crafted.gray_stained_glass: #7, 2928(4%)
minecraft.picked_up.cooked_chicken: #7, 334(2%)
minecraft.mined.polished_granite: #7, 188(3%)
minecraft.crafted.sponge: #7, 399(4%)
minecraft.mined.spruce_pressure_plate: #7, 6(3%)
minecraft.used.end_crystal: #7, 4(4%)
minecraft.crafted.polished_granite: #7, 524(3%)
minecraft.picked_up.iron_horse_armor: #7, 1(5%)
minecraft.crafted.dark_oak_stairs: #8, 1664(7%)
minecraft.crafted.end_crystal: #7, 4(4%)
minecraft.picked_up.nether_brick_slab: #7, 101(2%)
minecraft.used.polished_granite: #7, 446(2%)
minecraft.mined.spruce_sapling: #7, 18(2%)
minecraft.dropped.rabbit_hide: #7, 2(5%)
minecraft.mined.jungle_log: #7, 951(2%)
minecraft.picked_up.jungle_log: #7, 946(1%)
minecraft.crafted.firework_star: #7, 384(3%)
minecraft.dropped.written_book: #8, 70(5%)
minecraft.crafted.furnace: #8, 427(5%)
minecraft.mined.bone_block: #8, 355(6%)
minecraft.picked_up.trapped_chest: #7, 3(3%)
minecraft.dropped.dark_oak_door: #7, 2(4%)
minecraft.used.shulker_box: #8, 2019(5%)
minecraft.mined.nether_brick_stairs: #7, 39(2%)
minecraft.crafted.spruce_wood: #7, 102(1%)
minecraft.mined.brick_slab: #7, 31(1%)
minecraft.picked_up.music_disc_cat: #7, 2(2%)
minecraft.picked_up.brick_slab: #7, 31(1%)
minecraft.picked_up.orange_stained_glass_pane: #7, 13(2%)
minecraft.used.magenta_concrete_powder: #7, 64(1%)
minecraft.mined.yellow_concrete_powder: #7, 33(1%)
minecraft.picked_up.orange_wool: #7, 66(1%)
minecraft.mined.green_concrete_powder: #7, 18(1%)
minecraft.picked_up.green_wool: #7, 44(1%)
minecraft.used.magenta_concrete: #7, 21(1%)
minecraft.crafted.magenta_concrete_powder: #7, 64(1%)
minecraft.crafted.brick_slab: #7, 66(1%)
minecraft.used.pink_stained_glass_pane: #7, 4(1%)
minecraft.picked_up.music_disc_13: #7, 1(1%)
minecraft.mined.grass: #8, 2618(3%)
minecraft.used.oak_fence: #8, 460(4%)
minecraft.used.stripped_birch_wood: #7, 1(0%)
minecraft.mined.magenta_carpet: #7, 1(0%)
minecraft.mined.horn_coral_fan: #7, 2(0%)
minecraft.mined.brown_stained_glass: #7, 1(0%)
minecraft.used.experience_bottle: #7, 1(0%)
minecraft.used.armor_stand: #8, 154(4%)
minecraft.crafted.armor_stand: #8, 149(5%)
minecraft.mined.oak_slab: #8, 282(4%)
minecraft.crafted.brown_concrete_powder: #8, 576(7%)
minecraft.crafted.polished_andesite: #8, 3176(4%)
minecraft.mined.snow: #8, 7583(4%)
minecraft.picked_up.lead: #8, 85(4%)
minecraft.crafted.spruce_fence: #8, 750(4%)
minecraft.crafted.coal_block: #8, 956(3%)
minecraft.used.cauldron: #8, 43(4%)
minecraft.mined.oxeye_daisy: #8, 38(3%)
minecraft.used.poppy: #8, 16(4%)
minecraft.used.dark_oak_slab: #8, 1194(3%)
