stat, rank, value, (percentage) 
minecraft.used.lime_shulker_box: #2, 305(9%)
minecraft.used.purple_banner: #2, 16(16%)
minecraft.picked_up.ender_eye: #2, 5(20%)
minecraft.picked_up.carrot_on_a_stick: #2, 3(21%)
minecraft.mined.player_head: #3, 248(11%)
minecraft.mined.smooth_stone_slab: #3, 5546(12%)
minecraft.picked_up.iron_boots: #3, 27(9%)
minecraft.dropped.jungle_wood: #2, 18(46%)
minecraft.crafted.birch_pressure_plate: #3, 73(15%)
minecraft.crafted.orange_banner: #2, 10(23%)
minecraft.picked_up.bread: #3, 230(13%)
minecraft.picked_up.white_wool: #3, 1210(8%)
minecraft.crafted.red_nether_bricks: #2, 3391(17%)
minecraft.dropped.powered_rail: #3, 131(16%)
minecraft.picked_up.fire_charge: #2, 180(27%)
minecraft.dropped.iron_leggings: #3, 15(13%)
minecraft.dropped.leather: #3, 305(14%)
minecraft.killed.slime: #3, 1713(11%)
minecraft.crafted.cauldron: #3, 153(12%)
minecraft.killed.pig: #3, 65(9%)
minecraft.dropped.green_dye: #3, 6264(13%)
minecraft.picked_up.oak_stairs: #3, 531(10%)
minecraft.used.andesite_wall: #3, 604(16%)
minecraft.mined.purple_wall_banner: #2, 3(20%)
minecraft.dropped.smooth_sandstone: #2, 278(10%)
minecraft.used.cooked_beef: #3, 1833(9%)
minecraft.mined.sandstone_slab: #3, 1105(10%)
minecraft.used.red_concrete_powder: #3, 2324(12%)
minecraft.broken.iron_hoe: #2, 3(18%)
minecraft.crafted.red_concrete_powder: #3, 2512(12%)
minecraft.crafted.purple_carpet: #2, 198(11%)
minecraft.dropped.coal_ore: #3, 985(12%)
minecraft.used.blue_terracotta: #3, 1114(16%)
minecraft.crafted.written_book: #3, 40(17%)
minecraft.dropped.music_disc_cat: #2, 1(20%)
minecraft.dropped.yellow_bed: #2, 2(25%)
minecraft.dropped.diamond_horse_armor: #2, 1(33%)
minecraft.killed.silverfish: #3, 117(12%)
minecraft.picked_up.birch_trapdoor: #3, 111(11%)
minecraft.used.mossy_stone_bricks: #3, 512(10%)
minecraft.picked_up.rabbit_foot: #2, 3(16%)
minecraft.dropped.iron_boots: #3, 14(11%)
minecraft.dropped.flint_and_steel: #3, 15(15%)
minecraft.dropped.leather_leggings: #3, 28(9%)
minecraft.crafted.crossbow: #3, 34(19%)
minecraft.used.iron_hoe: #3, 1056(12%)
minecraft.mined.black_banner: #3, 7(17%)
minecraft.mined.cauldron: #3, 55(11%)
minecraft.dropped.sticky_piston: #3, 79(17%)
minecraft.picked_up.lava_bucket: #3, 23(10%)
minecraft.used.blast_furnace: #3, 65(11%)
minecraft.mined.redstone_wall_torch: #3, 164(8%)
minecraft.mined.birch_fence_gate: #3, 51(16%)
minecraft.mined.redstone_wire: #3, 1325(8%)
minecraft.mined.chiseled_sandstone: #3, 21(14%)
minecraft.crafted.orange_wool: #3, 64(20%)
minecraft.dropped.emerald_ore: #2, 6(38%)
minecraft.mined.lilac: #2, 1(25%)
minecraft.dropped.dead_horn_coral_block: #2, 2(25%)
minecraft.dropped.chainmail_chestplate: #3, 9(16%)
minecraft.used.mossy_cobblestone_wall: #3, 112(17%)
minecraft.dropped.lava_bucket: #3, 7(13%)
minecraft.crafted.iron_hoe: #3, 8(11%)
minecraft.dropped.purpur_slab: #3, 43(13%)
minecraft.crafted.black_banner: #3, 61(15%)
minecraft.picked_up.chiseled_stone_bricks: #3, 200(10%)
minecraft.picked_up.gunpowder: #4, 2671(10%)
minecraft.picked_up.blaze_rod: #3, 755(8%)
minecraft.mined.oak_stairs: #4, 470(12%)
minecraft.used.lapis_ore: #3, 297(8%)
minecraft.custom.interact_with_smoker: #3, 44(8%)
minecraft.crafted.golden_apple: #3, 108(12%)
minecraft.picked_up.chiseled_sandstone: #3, 19(12%)
minecraft.dropped.jungle_door: #2, 1(25%)
minecraft.crafted.flower_pot: #3, 329(8%)
minecraft.dropped.stone_pressure_plate: #3, 110(9%)
minecraft.mined.birch_trapdoor: #4, 102(14%)
minecraft.used.nether_bricks: #3, 2370(9%)
minecraft.dropped.spruce_stairs: #3, 258(9%)
minecraft.mined.prismarine_brick_stairs: #3, 85(15%)
minecraft.crafted.stone_pressure_plate: #4, 520(12%)
minecraft.crafted.oak_stairs: #4, 1056(10%)
minecraft.killed.zombie_villager: #4, 35(10%)
minecraft.mined.nether_wart_block: #3, 19(16%)
minecraft.picked_up.tropical_fish_bucket: #2, 4(7%)
minecraft.dropped.tropical_fish_bucket: #2, 2(13%)
minecraft.custom.clean_armor: #2, 2(13%)
minecraft.picked_up.smooth_stone_slab: #4, 7022(11%)
minecraft.crafted.flint_and_steel: #4, 43(10%)
minecraft.dropped.mossy_cobblestone_wall: #2, 13(7%)
minecraft.used.ender_eye: #3, 11(22%)
minecraft.dropped.black_banner: #3, 2(22%)
minecraft.dropped.milk_bucket: #3, 3(11%)
minecraft.picked_up.dried_kelp: #2, 11349(1%)
minecraft.dropped.orange_tulip: #3, 42(11%)
minecraft.picked_up.rabbit_hide: #3, 11(8%)
minecraft.mined.blast_furnace: #3, 25(8%)
minecraft.custom.interact_with_stonecutter: #3, 80(5%)
minecraft.crafted.mossy_cobblestone_wall: #3, 102(14%)
minecraft.dropped.birch_fence_gate: #3, 8(14%)
minecraft.used.red_banner: #3, 73(7%)
minecraft.mined.iron_bars: #4, 856(8%)
minecraft.mined.pink_stained_glass: #3, 20(24%)
minecraft.crafted.rail: #4, 3936(9%)
minecraft.picked_up.diamond_chestplate: #4, 21(10%)
minecraft.broken.iron_helmet: #3, 2(11%)
minecraft.picked_up.magma_cream: #4, 87(10%)
minecraft.mined.tnt: #4, 165(10%)
minecraft.used.magenta_stained_glass_pane: #3, 218(10%)
minecraft.crafted.baked_potato: #4, 1202(9%)
minecraft.used.jungle_log: #4, 760(8%)
minecraft.killed.elder_guardian: #3, 5(10%)
minecraft.crafted.magenta_stained_glass_pane: #3, 208(10%)
minecraft.mined.magenta_stained_glass_pane: #3, 28(12%)
minecraft.picked_up.flint_and_steel: #4, 30(10%)
minecraft.killed_by.creeper: #4, 10(8%)
minecraft.picked_up.orange_stained_glass: #3, 141(7%)
minecraft.dropped.iron_ore: #4, 1513(8%)
minecraft.dropped.gravel: #4, 2100(8%)
minecraft.used.dragon_egg: #3, 1(25%)
minecraft.crafted.green_banner: #3, 10(15%)
minecraft.mined.cyan_shulker_box: #4, 246(10%)
minecraft.picked_up.cyan_shulker_box: #4, 249(10%)
minecraft.used.cyan_shulker_box: #4, 247(10%)
minecraft.used.tnt: #4, 856(10%)
minecraft.crafted.glass_bottle: #4, 441(8%)
minecraft.crafted.diamond_pickaxe: #4, 40(7%)
minecraft.crafted.dried_kelp: #4, 12268(10%)
minecraft.mined.andesite_wall: #3, 21(5%)
minecraft.used.purple_stained_glass_pane: #4, 236(11%)
minecraft.killed.drowned: #5, 1833(11%)
minecraft.crafted.lime_banner: #3, 13(7%)
minecraft.picked_up.birch_fence_gate: #4, 41(12%)
minecraft.crafted.ender_eye: #4, 51(8%)
minecraft.crafted.birch_planks: #5, 15008(9%)
minecraft.dropped.ender_eye: #3, 3(12%)
minecraft.picked_up.blaze_powder: #3, 83(3%)
minecraft.dropped.armor_stand: #4, 20(10%)
minecraft.dropped.blue_shulker_box: #3, 1(9%)
minecraft.used.prismarine_bricks: #4, 3073(9%)
minecraft.mined.red_stained_glass_pane: #4, 150(14%)
minecraft.crafted.gray_wool: #4, 147(11%)
minecraft.dropped.red_nether_bricks: #3, 3(15%)
minecraft.picked_up.iron_hoe: #4, 3(11%)
minecraft.crafted.purple_stained_glass_pane: #4, 272(12%)
minecraft.mined.redstone_torch: #4, 150(6%)
minecraft.picked_up.red_stained_glass_pane: #4, 161(13%)
minecraft.picked_up.end_stone_brick_wall: #3, 17(13%)
minecraft.dropped.jungle_log: #3, 194(3%)
minecraft.picked_up.purple_stained_glass_pane: #4, 56(10%)
minecraft.dropped.ender_chest: #4, 10(9%)
minecraft.picked_up.baked_potato: #4, 539(6%)
minecraft.picked_up.nether_wart_block: #4, 19(13%)
minecraft.dropped.blue_wool: #3, 18(3%)
minecraft.dropped.rail: #4, 256(7%)
minecraft.mined.end_stone_brick_wall: #3, 13(10%)
minecraft.mined.purple_stained_glass_pane: #4, 24(9%)
minecraft.dropped.stone_brick_slab: #4, 252(7%)
minecraft.picked_up.potion: #5, 237(10%)
minecraft.picked_up.string: #4, 2295(5%)
minecraft.picked_up.birch_button: #3, 152(2%)
minecraft.picked_up.prismarine_brick_stairs: #4, 85(12%)
minecraft.used.end_stone_brick_wall: #3, 25(7%)
minecraft.used.birch_fence: #4, 152(7%)
minecraft.dropped.glass: #4, 680(6%)
minecraft.used.hopper_minecart: #4, 67(6%)
minecraft.dropped.bread: #4, 248(7%)
minecraft.used.purpur_block: #4, 148(9%)
minecraft.crafted.hopper_minecart: #4, 67(6%)
minecraft.picked_up.red_banner: #4, 56(8%)
minecraft.crafted.birch_fence: #4, 144(6%)
minecraft.crafted.end_crystal: #4, 11(10%)
minecraft.mined.potted_oxeye_daisy: #4, 2(14%)
minecraft.killed.cow: #5, 851(8%)
minecraft.crafted.iron_bars: #5, 3035(9%)
minecraft.dropped.iron_shovel: #4, 14(7%)
minecraft.dropped.fire_coral_fan: #3, 1(3%)
minecraft.picked_up.light_gray_stained_glass_pane: #4, 361(7%)
minecraft.dropped.fire_coral_block: #3, 1(2%)
minecraft.dropped.prismarine_brick_stairs: #3, 1(2%)
minecraft.picked_up.leather: #5, 2337(8%)
minecraft.picked_up.lapis_ore: #4, 335(5%)
minecraft.dropped.light_blue_stained_glass: #4, 37(9%)
minecraft.dropped.purple_glazed_terracotta: #3, 1(1%)
minecraft.dropped.purpur_block: #4, 106(9%)
minecraft.crafted.leather_chestplate: #4, 67(7%)
minecraft.crafted.smooth_stone_slab: #5, 30292(10%)
minecraft.dropped.nether_star: #4, 5(12%)
minecraft.used.cooked_porkchop: #5, 69(10%)
minecraft.crafted.polished_andesite_stairs: #4, 488(11%)
minecraft.dropped.snow_block: #4, 118(7%)
minecraft.crafted.mossy_stone_bricks: #4, 576(6%)
minecraft.picked_up.leather_chestplate: #5, 29(8%)
minecraft.used.purple_stained_glass: #4, 225(6%)
minecraft.dropped.oak_boat: #4, 14(4%)
minecraft.used.purple_wool: #4, 254(7%)
minecraft.crafted.lime_wool: #4, 64(9%)
minecraft.crafted.birch_boat: #5, 22(11%)
minecraft.dropped.diamond_sword: #5, 19(8%)
minecraft.crafted.dried_kelp_block: #4, 21997(5%)
minecraft.used.orange_banner: #4, 9(11%)
minecraft.dropped.baked_potato: #4, 117(5%)
minecraft.dropped.birch_fence: #4, 7(12%)
minecraft.used.purple_carpet: #4, 137(7%)
minecraft.mined.black_wall_banner: #4, 10(9%)
minecraft.used.kelp: #5, 2606(8%)
minecraft.used.purpur_pillar: #4, 83(7%)
minecraft.mined.purple_wool: #4, 68(7%)
minecraft.dropped.dark_oak_button: #4, 9(7%)
minecraft.used.bubble_coral_block: #4, 86(6%)
minecraft.crafted.blue_terracotta: #4, 928(7%)
minecraft.crafted.purple_stained_glass: #4, 592(7%)
minecraft.crafted.red_wool: #4, 411(5%)
minecraft.dropped.spruce_door: #4, 7(6%)
minecraft.crafted.anvil: #5, 86(7%)
minecraft.mined.green_stained_glass_pane: #4, 16(9%)
minecraft.picked_up.porkchop: #5, 136(7%)
minecraft.crafted.dispenser: #4, 190(4%)
minecraft.used.wither_skeleton_skull: #4, 61(5%)
minecraft.used.redstone_ore: #4, 890(4%)
minecraft.dropped.light_gray_stained_glass_pane: #4, 137(7%)
minecraft.picked_up.wither_skeleton_skull: #4, 23(4%)
minecraft.crafted.green_stained_glass: #4, 392(5%)
minecraft.picked_up.coal_block: #5, 350(7%)
minecraft.dropped.light_gray_stained_glass: #4, 65(7%)
minecraft.dropped.pufferfish_bucket: #4, 2(11%)
minecraft.dropped.stone_stairs: #4, 38(6%)
minecraft.killed_by.ender_dragon: #4, 3(10%)
minecraft.mined.infested_stone_bricks: #4, 4(7%)
minecraft.picked_up.nether_star: #4, 16(3%)
minecraft.dropped.white_terracotta: #4, 118(4%)
minecraft.used.light_blue_stained_glass: #5, 3650(8%)
minecraft.dropped.ice: #4, 287(4%)
minecraft.killed.wither: #4, 14(3%)
minecraft.picked_up.cyan_wool: #4, 307(3%)
minecraft.crafted.iron_trapdoor: #5, 1254(7%)
minecraft.crafted.cooked_porkchop: #4, 129(3%)
minecraft.dropped.pumpkin_pie: #4, 28(5%)
minecraft.dropped.purple_stained_glass: #4, 256(7%)
minecraft.used.player_head: #5, 453(6%)
minecraft.crafted.orange_bed: #4, 3(6%)
minecraft.mined.dark_oak_button: #4, 5(5%)
minecraft.crafted.oak_boat: #5, 29(6%)
minecraft.crafted.purple_dye: #5, 728(8%)
minecraft.used.tnt_minecart: #4, 16(6%)
minecraft.used.prismarine_brick_stairs: #4, 153(6%)
minecraft.used.blue_stained_glass: #5, 1299(8%)
minecraft.mined.birch_log: #5, 3575(6%)
minecraft.picked_up.golden_apple: #5, 50(8%)
minecraft.picked_up.birch_log: #5, 4074(6%)
minecraft.dropped.wheat: #5, 156(7%)
minecraft.crafted.writable_book: #5, 51(7%)
minecraft.used.baked_potato: #5, 1109(6%)
