stat, rank, value, (percentage) 
minecraft.mined.light_gray_bed: #4, 8(8%)
minecraft.used.stone_shovel: #4, 736(3%)
minecraft.picked_up.yellow_banner: #4, 27(4%)
minecraft.mined.blue_orchid: #4, 60(5%)
minecraft.mined.light_blue_banner: #4, 7(12%)
minecraft.crafted.light_blue_terracotta: #4, 1816(6%)
minecraft.used.spruce_wood: #4, 247(3%)
minecraft.crafted.gray_bed: #4, 11(6%)
minecraft.picked_up.light_blue_bed: #4, 19(5%)
minecraft.used.iron_pickaxe: #5, 6327(6%)
minecraft.picked_up.dead_brain_coral_block: #4, 66(5%)
minecraft.picked_up.blue_stained_glass_pane: #4, 64(5%)
minecraft.mined.light_blue_bed: #4, 17(4%)
minecraft.used.white_glazed_terracotta: #4, 53(8%)
minecraft.used.cooked_chicken: #5, 714(6%)
minecraft.picked_up.golden_leggings: #5, 24(7%)
minecraft.mined.gray_banner: #4, 3(9%)
minecraft.used.green_banner: #4, 3(6%)
minecraft.used.potion: #5, 84(6%)
minecraft.mined.red_wall_banner: #4, 12(4%)
minecraft.used.granite_stairs: #4, 7(8%)
minecraft.picked_up.music_disc_mall: #4, 6(6%)
minecraft.mined.red_mushroom: #5, 68(9%)
minecraft.crafted.granite_stairs: #4, 8(8%)
minecraft.picked_up.kelp: #5, 22880(5%)
minecraft.mined.green_banner: #4, 1(6%)
minecraft.picked_up.bowl: #4, 14(2%)
minecraft.custom.climb_one_cm: #6, 5919667(7%)
minecraft.mined.spruce_sapling: #5, 63(7%)
minecraft.mined.jack_o_lantern: #5, 44(9%)
minecraft.mined.oak_fence: #5, 291(6%)
minecraft.used.music_disc_13: #4, 2(7%)
minecraft.picked_up.music_disc_wait: #4, 8(4%)
minecraft.picked_up.detector_rail: #5, 40(7%)
minecraft.picked_up.paper: #5, 1899(6%)
minecraft.used.music_disc_wait: #4, 4(4%)
minecraft.picked_up.music_disc_13: #4, 4(3%)
minecraft.used.black_bed: #4, 9(2%)
minecraft.crafted.oak_pressure_plate: #5, 41(7%)
minecraft.picked_up.black_bed: #4, 7(2%)
minecraft.crafted.cobblestone_slab: #5, 2178(6%)
minecraft.mined.spruce_sign: #5, 6(9%)
minecraft.mined.acacia_stairs: #4, 12(2%)
minecraft.used.spruce_pressure_plate: #5, 30(6%)
minecraft.mined.player_wall_head: #5, 89(5%)
minecraft.picked_up.music_disc_ward: #4, 6(3%)
minecraft.picked_up.red_sand: #5, 6771(9%)
minecraft.used.dark_oak_boat: #5, 64(5%)
minecraft.picked_up.music_disc_far: #4, 4(3%)
minecraft.mined.player_head: #5, 114(5%)
minecraft.used.red_sandstone_stairs: #4, 6(3%)
minecraft.dropped.gray_stained_glass: #4, 29(2%)
minecraft.crafted.red_sandstone_stairs: #4, 8(3%)
minecraft.mined.red_sand: #5, 6571(9%)
minecraft.picked_up.music_disc_11: #4, 1(2%)
minecraft.used.music_disc_ward: #4, 2(2%)
minecraft.picked_up.dark_oak_boat: #5, 57(5%)
minecraft.used.ender_eye: #4, 1(2%)
minecraft.mined.light_gray_wall_banner: #4, 1(2%)
minecraft.used.mossy_cobblestone: #5, 203(6%)
minecraft.crafted.chainmail_boots: #4, 1(1%)
minecraft.picked_up.light_blue_glazed_terracotta: #4, 41(0%)
minecraft.picked_up.bread: #5, 102(6%)
minecraft.used.apple: #5, 73(5%)
minecraft.dropped.purple_stained_glass_pane: #4, 1(1%)
minecraft.dropped.lime_stained_glass_pane: #4, 1(1%)
minecraft.mined.dead_bubble_coral_fan: #4, 1(0%)
minecraft.picked_up.cobweb: #5, 542(5%)
minecraft.picked_up.dead_tube_coral_block: #5, 75(9%)
minecraft.dropped.cactus: #5, 1548(5%)
minecraft.used.jungle_slab: #5, 405(7%)
minecraft.broken.golden_helmet: #5, 1(11%)
minecraft.mined.orange_glazed_terracotta: #5, 19(10%)
minecraft.picked_up.red_banner: #5, 42(6%)
minecraft.killed.squid: #5, 139(4%)
minecraft.dropped.acacia_log: #5, 70(6%)
minecraft.crafted.mossy_cobblestone: #5, 285(6%)
minecraft.crafted.jungle_slab: #5, 382(5%)
minecraft.used.red_banner: #5, 58(6%)
minecraft.mined.red_banner: #5, 15(7%)
minecraft.crafted.gray_stained_glass: #5, 3480(5%)
minecraft.mined.blue_stained_glass_pane: #5, 24(7%)
minecraft.used.golden_apple: #5, 9(4%)
minecraft.broken.iron_leggings: #5, 1(14%)
minecraft.used.light_gray_banner: #5, 13(10%)
minecraft.crafted.blue_stained_glass_pane: #5, 288(5%)
minecraft.used.green_carpet: #5, 150(4%)
minecraft.crafted.glass: #6, 9219(6%)
minecraft.used.blue_stained_glass_pane: #5, 214(5%)
minecraft.used.soul_sand: #6, 1497(7%)
minecraft.mined.dead_bush: #6, 98(7%)
minecraft.used.music_disc_chirp: #5, 2(8%)
minecraft.custom.play_record: #5, 30(6%)
minecraft.picked_up.obsidian: #6, 2288(6%)
minecraft.broken.diamond_shovel: #5, 3(5%)
minecraft.picked_up.dark_oak_pressure_plate: #5, 7(4%)
minecraft.mined.black_terracotta: #5, 141(3%)
minecraft.mined.acacia_slab: #5, 25(4%)
minecraft.used.sweet_berries: #5, 224(3%)
minecraft.used.acacia_stairs: #5, 63(5%)
minecraft.mined.jungle_stairs: #5, 36(3%)
minecraft.dropped.pumpkin: #5, 165(3%)
minecraft.picked_up.birch_trapdoor: #6, 82(8%)
minecraft.used.dark_oak_pressure_plate: #5, 12(4%)
minecraft.custom.pig_one_cm: #5, 14070(4%)
minecraft.used.blue_terracotta: #5, 240(3%)
minecraft.crafted.black_stained_glass_pane: #5, 192(3%)
minecraft.broken.stone_shovel: #5, 4(2%)
minecraft.used.orange_glazed_terracotta: #5, 27(5%)
minecraft.mined.pumpkin_stem: #5, 13(3%)
minecraft.picked_up.music_disc_chirp: #5, 4(4%)
minecraft.mined.cut_sandstone_slab: #5, 5(5%)
minecraft.mined.black_glazed_terracotta: #5, 6(4%)
minecraft.used.black_stained_glass_pane: #5, 142(2%)
minecraft.mined.sandstone: #6, 12434(5%)
minecraft.used.coal_block: #6, 592(6%)
minecraft.used.coal_ore: #6, 1612(6%)
minecraft.picked_up.spruce_sign: #6, 52(6%)
minecraft.used.blue_orchid: #5, 2(3%)
minecraft.picked_up.sandstone: #6, 11767(5%)
minecraft.picked_up.gray_banner: #5, 3(3%)
minecraft.broken.iron_shovel: #6, 7(6%)
minecraft.picked_up.acacia_stairs: #5, 12(2%)
minecraft.dropped.tripwire_hook: #6, 36(7%)
minecraft.crafted.end_stone_bricks: #5, 176(3%)
minecraft.custom.interact_with_smoker: #6, 32(6%)
minecraft.crafted.chainmail_helmet: #5, 1(2%)
minecraft.mined.cracked_stone_bricks: #6, 130(5%)
minecraft.crafted.black_bed: #5, 2(1%)
minecraft.picked_up.sponge: #6, 114(8%)
minecraft.custom.enchant_item: #6, 227(5%)
minecraft.picked_up.lime_glazed_terracotta: #5, 14(1%)
minecraft.used.sugar_cane: #6, 1358(5%)
minecraft.used.map: #5, 1(1%)
minecraft.dropped.lime_terracotta: #5, 3(0%)
minecraft.crafted.magenta_wool: #5, 1(0%)
minecraft.picked_up.bone_block: #6, 757(4%)
minecraft.used.painting: #6, 146(4%)
minecraft.picked_up.birch_pressure_plate: #6, 10(5%)
minecraft.used.wooden_axe: #6, 58(6%)
minecraft.mined.stone_button: #6, 89(4%)
minecraft.dropped.baked_potato: #6, 102(4%)
minecraft.crafted.bread: #7, 564(8%)
minecraft.custom.sleep_in_bed: #7, 1927(5%)
minecraft.picked_up.painting: #6, 101(3%)
minecraft.picked_up.light_blue_terracotta: #6, 123(4%)
minecraft.mined.podzol: #6, 477(4%)
minecraft.mined.sea_pickle: #6, 86(4%)
minecraft.mined.polished_granite: #6, 188(3%)
minecraft.crafted.acacia_stairs: #6, 96(6%)
minecraft.used.white_tulip: #6, 10(5%)
minecraft.crafted.green_carpet: #6, 153(4%)
minecraft.crafted.sugar: #6, 189(3%)
minecraft.picked_up.hay_block: #6, 33(3%)
minecraft.dropped.birch_sapling: #6, 37(3%)
minecraft.crafted.red_bed: #6, 5(3%)
minecraft.mined.kelp_plant: #7, 2330(6%)
minecraft.used.wet_sponge: #6, 6(4%)
minecraft.picked_up.golden_helmet: #7, 22(7%)
minecraft.picked_up.dirt: #7, 54786(4%)
minecraft.picked_up.nether_brick_slab: #6, 106(3%)
minecraft.mined.spruce_wood: #6, 36(2%)
minecraft.used.birch_slab: #6, 853(2%)
minecraft.picked_up.acacia_slab: #6, 23(4%)
minecraft.picked_up.jungle_stairs: #6, 31(3%)
minecraft.crafted.pink_wool: #6, 19(4%)
minecraft.crafted.bone_meal: #7, 60018(5%)
minecraft.crafted.oak_boat: #7, 26(6%)
minecraft.picked_up.light_gray_banner: #6, 5(5%)
minecraft.used.ender_pearl: #7, 749(5%)
minecraft.used.light_gray_terracotta: #6, 164(2%)
minecraft.used.lantern: #7, 590(7%)
minecraft.mined.allium: #6, 19(2%)
minecraft.dropped.pumpkin_seeds: #6, 376(2%)
minecraft.used.suspicious_stew: #6, 2(3%)
minecraft.used.trident: #7, 1791(6%)
minecraft.mined.cake: #6, 5(2%)
minecraft.used.birch_sign: #7, 127(6%)
minecraft.crafted.diamond_pickaxe: #7, 30(5%)
minecraft.picked_up.wet_sponge: #7, 953(7%)
minecraft.mined.lantern: #7, 99(7%)
minecraft.picked_up.spruce_wood: #6, 35(2%)
minecraft.crafted.mossy_cobblestone_stairs: #6, 16(4%)
minecraft.crafted.iron_pickaxe: #7, 30(5%)
minecraft.dropped.orange_terracotta: #6, 69(2%)
minecraft.crafted.bowl: #6, 24(3%)
minecraft.used.dead_tube_coral_block: #6, 11(3%)
minecraft.used.purple_terracotta: #6, 80(3%)
minecraft.used.light_blue_banner: #6, 11(3%)
minecraft.picked_up.cut_sandstone_slab: #6, 4(4%)
minecraft.used.wheat_seeds: #7, 3693(5%)
minecraft.used.red_stained_glass: #6, 260(1%)
minecraft.mined.wet_sponge: #7, 956(7%)
minecraft.mined.dried_kelp_block: #6, 13(2%)
minecraft.picked_up.blue_orchid: #6, 58(1%)
minecraft.picked_up.cyan_bed: #6, 5(1%)
minecraft.dropped.light_gray_terracotta: #6, 42(1%)
minecraft.crafted.acacia_trapdoor: #6, 60(1%)
minecraft.dropped.red_mushroom_block: #6, 30(2%)
minecraft.crafted.mossy_cobblestone_slab: #6, 6(1%)
minecraft.used.music_disc_far: #6, 1(2%)
minecraft.used.mossy_cobblestone_slab: #6, 6(1%)
minecraft.crafted.diamond_sword: #7, 7(4%)
minecraft.mined.pink_carpet: #6, 2(1%)
minecraft.used.spruce_boat: #7, 75(4%)
minecraft.used.black_stained_glass: #7, 1649(5%)
minecraft.mined.nether_wart_block: #6, 1(1%)
minecraft.used.lime_terracotta: #6, 686(0%)
minecraft.used.cut_sandstone_slab: #6, 8(1%)
minecraft.crafted.iron_axe: #7, 12(4%)
minecraft.picked_up.nether_brick: #6, 180(0%)
minecraft.crafted.magenta_terracotta: #6, 32(0%)
minecraft.picked_up.trident: #7, 40(4%)
minecraft.dropped.black_stained_glass: #6, 3(0%)
minecraft.picked_up.black_glazed_terracotta: #6, 9(0%)
minecraft.used.shears: #7, 10531(4%)
minecraft.picked_up.lapis_block: #7, 134(5%)
minecraft.crafted.lantern: #7, 513(6%)
minecraft.picked_up.spectral_arrow: #6, 3(0%)
minecraft.picked_up.gray_wool: #7, 163(5%)
minecraft.crafted.red_sandstone: #6, 9(0%)
minecraft.picked_up.beetroot_seeds: #7, 196(5%)
minecraft.used.spruce_sapling: #7, 579(4%)
minecraft.mined.cobweb: #7, 588(4%)
minecraft.killed.cod: #7, 64(5%)
minecraft.used.potato: #7, 1341(4%)
minecraft.mined.coal_block: #7, 100(4%)
minecraft.custom.interact_with_brewingstand: #7, 361(4%)
minecraft.dropped.ladder: #7, 66(5%)
minecraft.mined.white_concrete_powder: #7, 293(4%)
minecraft.picked_up.white_tulip: #7, 71(5%)
minecraft.mined.vine: #7, 738(3%)
minecraft.used.dandelion: #7, 9(5%)
minecraft.mined.red_tulip: #7, 39(4%)
