stat, rank, value, (percentage) 
minecraft.picked_up.poppy: #12, 316(1%)
minecraft.used.stripped_dark_oak_log: #12, 30(1%)
minecraft.killed.wandering_trader: #12, 1(1%)
minecraft.used.red_bed: #12, 5(1%)
minecraft.crafted.name_tag: #12, 6(1%)
minecraft.crafted.dispenser: #12, 34(1%)
minecraft.mined.yellow_carpet: #12, 4(1%)
minecraft.crafted.lime_stained_glass_pane: #12, 48(1%)
minecraft.picked_up.filled_map: #12, 25(0%)
minecraft.picked_up.orange_shulker_box: #12, 36(1%)
minecraft.picked_up.ice: #12, 447(0%)
minecraft.picked_up.cooked_salmon: #12, 7(1%)
minecraft.crafted.chest_minecart: #12, 1(1%)
minecraft.used.chest_minecart: #12, 1(1%)
minecraft.picked_up.acacia_log: #12, 254(0%)
minecraft.picked_up.chiseled_sandstone: #12, 1(1%)
minecraft.crafted.cyan_concrete_powder: #12, 32(0%)
minecraft.used.daylight_detector: #12, 4(1%)
minecraft.used.dark_oak_fence_gate: #12, 8(0%)
minecraft.picked_up.black_concrete_powder: #12, 273(0%)
minecraft.used.lectern: #12, 18(0%)
minecraft.crafted.cooked_mutton: #12, 8(0%)
minecraft.crafted.lime_stained_glass: #12, 64(0%)
minecraft.crafted.pink_concrete_powder: #12, 8(0%)
minecraft.used.rotten_flesh: #12, 1(0%)
minecraft.used.pink_concrete_powder: #12, 6(0%)
minecraft.mined.acacia_planks: #12, 2(0%)
minecraft.used.bubble_coral_fan: #12, 2(0%)
minecraft.used.blue_carpet: #12, 46(0%)
minecraft.crafted.cooked_chicken: #12, 11(0%)
minecraft.used.cyan_concrete: #12, 4(0%)
minecraft.picked_up.cyan_concrete: #12, 5(0%)
minecraft.mined.cyan_concrete: #12, 5(0%)
minecraft.mined.green_terracotta: #12, 9(0%)
minecraft.crafted.blast_furnace: #12, 1(0%)
minecraft.used.blue_stained_glass: #12, 12(0%)
minecraft.used.red_mushroom_block: #12, 2(0%)
minecraft.picked_up.stripped_acacia_log: #12, 1(0%)
minecraft.custom.tune_noteblock: #12, 628(0%)
minecraft.picked_up.leather_chestplate: #13, 12(3%)
minecraft.used.stone_sword: #13, 66(3%)
minecraft.mined.cobblestone_wall: #13, 99(3%)
minecraft.picked_up.leather_boots: #13, 15(3%)
minecraft.crafted.birch_planks: #13, 3528(2%)
minecraft.picked_up.diamond_pickaxe: #13, 60(2%)
minecraft.picked_up.firework_rocket: #13, 2409(2%)
minecraft.used.anvil: #13, 39(2%)
minecraft.used.diamond_shovel: #13, 104561(2%)
minecraft.mined.sand: #13, 34609(2%)
minecraft.picked_up.diamond_sword: #13, 31(2%)
minecraft.picked_up.furnace: #13, 96(2%)
minecraft.used.stone_bricks: #13, 7636(2%)
minecraft.mined.damaged_anvil: #13, 7(3%)
minecraft.picked_up.player_head: #13, 311(2%)
minecraft.picked_up.sand: #13, 34544(2%)
minecraft.picked_up.diamond_axe: #13, 26(2%)
minecraft.picked_up.damaged_anvil: #13, 7(3%)
minecraft.crafted.iron_chestplate: #13, 6(2%)
minecraft.picked_up.iron_bars: #13, 312(2%)
minecraft.picked_up.coal_block: #13, 101(2%)
minecraft.picked_up.apple: #13, 114(2%)
minecraft.picked_up.cobblestone_stairs: #13, 121(2%)
minecraft.crafted.coal: #13, 1602(2%)
minecraft.used.andesite: #13, 857(2%)
minecraft.custom.inspect_hopper: #13, 855(2%)
minecraft.mined.anvil: #13, 16(2%)
minecraft.picked_up.diamond_helmet: #13, 15(2%)
minecraft.used.dispenser: #13, 64(2%)
minecraft.mined.dark_oak_stairs: #13, 95(2%)
minecraft.used.barrel: #13, 66(2%)
minecraft.crafted.writable_book: #13, 13(2%)
minecraft.used.birch_planks: #13, 166(2%)
minecraft.killed.slime: #13, 268(2%)
minecraft.mined.magenta_shulker_box: #13, 57(2%)
minecraft.picked_up.magenta_shulker_box: #13, 57(2%)
minecraft.used.chipped_anvil: #13, 7(2%)
minecraft.custom.walk_on_water_one_cm: #14, 5278398(3%)
minecraft.picked_up.iron_door: #13, 13(2%)
minecraft.dropped.diamond_boots: #13, 2(2%)
minecraft.custom.inspect_dispenser: #13, 269(1%)
minecraft.picked_up.oak_pressure_plate: #13, 7(2%)
minecraft.picked_up.dandelion: #13, 147(1%)
minecraft.used.splash_potion: #13, 7(2%)
minecraft.custom.play_one_minute: #14, 44410158(2%)
minecraft.crafted.powered_rail: #13, 372(1%)
minecraft.picked_up.gold_ingot: #13, 155(1%)
minecraft.crafted.orange_dye: #13, 146(1%)
minecraft.dropped.spruce_log: #13, 89(1%)
minecraft.dropped.redstone: #13, 113(1%)
minecraft.picked_up.note_block: #13, 17(1%)
minecraft.used.netherrack: #13, 1555(1%)
minecraft.killed.bat: #13, 10(1%)
minecraft.used.milk_bucket: #13, 4(1%)
minecraft.killed.drowned: #13, 150(1%)
minecraft.crafted.birch_door: #13, 3(1%)
minecraft.crafted.cooked_beef: #13, 123(1%)
minecraft.used.note_block: #13, 32(1%)
minecraft.picked_up.lilac: #13, 26(1%)
minecraft.crafted.black_wool: #13, 31(1%)
minecraft.killed.husk: #13, 10(1%)
minecraft.crafted.stone_pressure_plate: #13, 37(1%)
minecraft.crafted.dropper: #13, 65(1%)
minecraft.used.oak_button: #13, 8(1%)
minecraft.picked_up.glowstone_dust: #13, 171(1%)
minecraft.used.red_carpet: #13, 128(1%)
minecraft.crafted.lead: #13, 4(1%)
minecraft.crafted.yellow_dye: #13, 180(1%)
minecraft.picked_up.yellow_stained_glass: #13, 26(1%)
minecraft.mined.dark_oak_log: #13, 632(0%)
minecraft.picked_up.birch_slab: #13, 30(1%)
minecraft.dropped.white_wool: #13, 9(1%)
minecraft.picked_up.peony: #13, 14(1%)
minecraft.crafted.blue_stained_glass: #13, 120(1%)
minecraft.used.horn_coral_fan: #13, 5(1%)
minecraft.used.smooth_sandstone: #13, 391(1%)
minecraft.mined.chiseled_quartz_block: #13, 6(1%)
minecraft.used.horn_coral: #13, 2(1%)
minecraft.mined.yellow_stained_glass: #13, 6(0%)
minecraft.picked_up.chiseled_quartz_block: #13, 6(0%)
minecraft.picked_up.light_gray_carpet: #13, 31(0%)
minecraft.dropped.redstone_torch: #13, 6(0%)
minecraft.mined.gray_carpet: #13, 11(0%)
minecraft.crafted.golden_apple: #13, 5(1%)
minecraft.crafted.light_gray_shulker_box: #13, 1(0%)
minecraft.crafted.gray_shulker_box: #13, 1(0%)
minecraft.crafted.dark_oak_fence_gate: #13, 8(0%)
minecraft.used.activator_rail: #13, 2(0%)
minecraft.used.brain_coral_fan: #13, 3(0%)
minecraft.used.acacia_log: #13, 88(0%)
minecraft.mined.chorus_flower: #13, 6(0%)
minecraft.used.cyan_concrete_powder: #13, 13(0%)
minecraft.crafted.yellow_shulker_box: #13, 2(0%)
minecraft.crafted.light_blue_shulker_box: #13, 1(0%)
minecraft.mined.acacia_trapdoor: #13, 3(0%)
minecraft.dropped.oxeye_daisy: #13, 4(0%)
minecraft.dropped.terracotta: #13, 8(0%)
minecraft.mined.red_stained_glass: #13, 6(0%)
minecraft.used.cookie: #13, 2(0%)
minecraft.dropped.jungle_planks: #13, 3(0%)
minecraft.picked_up.acacia_trapdoor: #13, 3(0%)
minecraft.picked_up.oak_wood: #13, 2(0%)
minecraft.dropped.dark_oak_fence: #13, 1(0%)
minecraft.dropped.white_terracotta: #13, 5(0%)
minecraft.used.cod: #13, 1(0%)
minecraft.picked_up.lime_stained_glass: #13, 5(0%)
minecraft.used.polished_diorite: #13, 22(0%)
minecraft.killed.enderman: #13, 23(0%)
minecraft.dropped.white_dye: #13, 2(0%)
minecraft.picked_up.magenta_wool: #13, 2(0%)
minecraft.crafted.sea_lantern: #13, 23(0%)
minecraft.mined.tube_coral_block: #13, 1(0%)
minecraft.mined.brain_coral_block: #13, 1(0%)
minecraft.custom.interact_with_crafting_table: #14, 2685(3%)
minecraft.picked_up.red_shulker_box: #14, 274(3%)
minecraft.used.red_shulker_box: #14, 276(3%)
minecraft.mined.red_shulker_box: #14, 272(3%)
minecraft.mined.dandelion: #14, 96(2%)
minecraft.custom.open_enderchest: #14, 2069(2%)
minecraft.crafted.diamond_boots: #14, 4(3%)
minecraft.killed.magma_cube: #14, 75(3%)
minecraft.used.firework_rocket: #14, 310(2%)
minecraft.picked_up.spruce_slab: #14, 426(2%)
minecraft.mined.lapis_ore: #14, 342(2%)
minecraft.custom.interact_with_beacon: #14, 29(2%)
minecraft.picked_up.redstone_torch: #14, 215(2%)
minecraft.mined.mossy_cobblestone: #14, 55(2%)
minecraft.crafted.iron_bars: #14, 608(2%)
minecraft.used.bone_meal: #14, 2088(1%)
minecraft.crafted.anvil: #14, 20(2%)
minecraft.crafted.redstone: #14, 3990(2%)
minecraft.mined.redstone_wire: #14, 291(2%)
minecraft.picked_up.anvil: #14, 19(2%)
minecraft.mined.repeater: #14, 105(2%)
minecraft.mined.magma_block: #14, 391(2%)
minecraft.used.armor_stand: #14, 54(2%)
minecraft.picked_up.ghast_tear: #14, 18(2%)
minecraft.used.redstone: #14, 946(1%)
minecraft.picked_up.tripwire_hook: #14, 28(2%)
minecraft.dropped.iron_sword: #14, 3(2%)
minecraft.used.blue_shulker_box: #14, 48(2%)
minecraft.mined.blue_shulker_box: #14, 47(2%)
minecraft.picked_up.nautilus_shell: #14, 13(2%)
minecraft.picked_up.blue_shulker_box: #14, 47(2%)
minecraft.mined.chipped_anvil: #14, 7(2%)
minecraft.picked_up.potion: #14, 33(1%)
minecraft.used.iron_door: #14, 19(2%)
minecraft.picked_up.chipped_anvil: #14, 7(2%)
minecraft.picked_up.rail: #14, 815(1%)
minecraft.mined.grass_path: #14, 109(1%)
minecraft.picked_up.grass: #14, 38(1%)
minecraft.crafted.minecart: #14, 40(1%)
minecraft.mined.birch_planks: #14, 47(1%)
minecraft.dropped.stick: #14, 274(1%)
minecraft.used.end_rod: #14, 225(1%)
minecraft.picked_up.tnt: #14, 71(1%)
minecraft.used.loom: #14, 3(1%)
minecraft.used.powered_rail: #14, 401(1%)
minecraft.crafted.note_block: #14, 26(1%)
minecraft.mined.comparator: #14, 20(1%)
minecraft.used.iron_block: #14, 580(1%)
minecraft.mined.stone_bricks: #14, 1131(1%)
minecraft.mined.fern: #14, 22(1%)
minecraft.used.white_concrete_powder: #14, 3166(1%)
minecraft.picked_up.enchanted_book: #14, 8(1%)
minecraft.custom.damage_resisted: #14, 3623(1%)
minecraft.picked_up.slime_ball: #14, 370(1%)
minecraft.crafted.white_dye: #14, 585(1%)
minecraft.crafted.white_concrete_powder: #14, 3192(1%)
minecraft.used.tnt: #14, 80(1%)
minecraft.picked_up.snow_block: #14, 88(1%)
minecraft.crafted.acacia_planks: #14, 460(1%)
minecraft.dropped.stone_pickaxe: #14, 1(1%)
minecraft.used.white_stained_glass_pane: #14, 206(1%)
minecraft.picked_up.yellow_wool: #14, 54(1%)
minecraft.dropped.iron_chestplate: #14, 1(1%)
minecraft.mined.stripped_dark_oak_log: #14, 35(1%)
minecraft.picked_up.stripped_dark_oak_log: #14, 35(1%)
minecraft.dropped.redstone_block: #14, 12(1%)
minecraft.used.tube_coral: #14, 2(1%)
minecraft.mined.birch_slab: #14, 22(1%)
minecraft.used.stone_pressure_plate: #14, 17(0%)
minecraft.mined.black_carpet: #14, 5(0%)
minecraft.crafted.birch_boat: #14, 1(1%)
minecraft.used.snow_block: #14, 94(0%)
minecraft.used.smoker: #14, 2(0%)
minecraft.used.black_concrete: #14, 367(0%)
minecraft.used.black_concrete_powder: #14, 355(0%)
minecraft.mined.gray_wool: #14, 1(0%)
minecraft.crafted.red_carpet: #14, 39(0%)
minecraft.crafted.slime_block: #14, 48(0%)
minecraft.picked_up.black_carpet: #14, 5(0%)
minecraft.picked_up.purpur_slab: #14, 2(0%)
minecraft.used.cooked_mutton: #14, 6(0%)
minecraft.crafted.tnt: #14, 64(0%)
minecraft.picked_up.light_gray_dye: #14, 4(0%)
minecraft.dropped.ender_pearl: #14, 31(0%)
minecraft.mined.blue_carpet: #14, 2(0%)
minecraft.picked_up.nether_brick_fence: #14, 2(0%)
minecraft.used.gray_wool: #14, 2(0%)
minecraft.picked_up.brown_wool: #14, 13(0%)
minecraft.dropped.iron_bars: #14, 8(0%)
minecraft.custom.interact_with_stonecutter: #14, 2(0%)
minecraft.crafted.slime_ball: #14, 36(0%)
minecraft.crafted.stone_stairs: #14, 16(0%)
minecraft.dropped.cooked_chicken: #14, 4(0%)
minecraft.mined.nether_brick_fence: #14, 1(0%)
minecraft.mined.stone_stairs: #14, 1(0%)
minecraft.used.snow: #14, 51(0%)
minecraft.dropped.prismarine_crystals: #14, 18(0%)
minecraft.picked_up.blue_stained_glass: #14, 4(0%)
minecraft.used.dark_prismarine: #14, 12(0%)
minecraft.crafted.light_gray_wool: #14, 6(0%)
minecraft.mined.prismarine_bricks: #14, 17(0%)
minecraft.picked_up.red_stained_glass: #14, 3(0%)
minecraft.picked_up.prismarine_bricks: #14, 17(0%)
minecraft.picked_up.purpur_block: #14, 2(0%)
minecraft.crafted.dark_prismarine: #14, 8(0%)
minecraft.picked_up.tube_coral_block: #14, 1(0%)
minecraft.killed.pillager: #14, 19(0%)
minecraft.mined.purpur_block: #14, 1(0%)
minecraft.crafted.birch_button: #14, 1(0%)
minecraft.used.birch_button: #14, 1(0%)
minecraft.crafted.packed_ice: #14, 1(0%)
minecraft.custom.jump: #15, 207113(2%)
minecraft.custom.leave_game: #15, 591(2%)
minecraft.custom.open_chest: #15, 17851(2%)
minecraft.used.diamond_sword: #15, 8542(2%)
minecraft.picked_up.golden_chestplate: #15, 10(3%)
minecraft.used.diamond_pickaxe: #15, 278635(2%)
minecraft.picked_up.stone: #15, 67513(2%)
minecraft.picked_up.oak_boat: #15, 68(2%)
minecraft.picked_up.white_wool: #15, 282(2%)
minecraft.mined.cobblestone_stairs: #15, 77(2%)
minecraft.mined.oak_leaves: #15, 3038(2%)
minecraft.killed.ghast: #15, 52(3%)
minecraft.custom.open_shulker_box: #15, 9529(1%)
minecraft.mined.spruce_slab: #15, 316(2%)
minecraft.crafted.stone_bricks: #15, 8375(2%)
minecraft.picked_up.diamond_boots: #15, 19(2%)
minecraft.used.white_bed: #15, 47(2%)
minecraft.mined.oxeye_daisy: #15, 20(2%)
minecraft.crafted.diamond_leggings: #15, 2(2%)
minecraft.crafted.iron_boots: #15, 5(1%)
minecraft.used.diamond_axe: #15, 14623(1%)
minecraft.picked_up.white_bed: #15, 38(1%)
minecraft.picked_up.magma_block: #15, 377(1%)
minecraft.crafted.oak_trapdoor: #15, 142(1%)
minecraft.crafted.stone_hoe: #15, 2(2%)
minecraft.picked_up.mossy_cobblestone: #15, 55(2%)
minecraft.crafted.diamond_chestplate: #15, 1(1%)
minecraft.mined.white_bed: #15, 27(1%)
minecraft.picked_up.stone_bricks: #15, 1761(1%)
minecraft.mined.loom: #15, 2(1%)
minecraft.mined.birch_leaves: #15, 274(1%)
minecraft.used.birch_door: #15, 3(2%)
minecraft.crafted.armor_stand: #15, 39(1%)
minecraft.dropped.diamond: #15, 106(1%)
minecraft.picked_up.golden_carrot: #15, 310(1%)
minecraft.dropped.torch: #15, 111(1%)
minecraft.dropped.firework_rocket: #15, 233(1%)
minecraft.mined.iron_block: #15, 346(1%)
minecraft.used.kelp: #15, 283(1%)
minecraft.dropped.oak_boat: #15, 3(1%)
minecraft.mined.dispenser: #15, 16(1%)
minecraft.picked_up.diamond_leggings: #15, 8(1%)
minecraft.crafted.blue_shulker_box: #15, 1(1%)
minecraft.picked_up.bone_meal: #15, 233(1%)
minecraft.mined.barrel: #15, 11(1%)
minecraft.mined.azure_bluet: #15, 14(1%)
minecraft.used.white_shulker_box: #15, 73(1%)
minecraft.dropped.netherrack: #15, 2302(1%)
minecraft.mined.white_shulker_box: #15, 71(1%)
minecraft.picked_up.white_shulker_box: #15, 71(1%)
minecraft.picked_up.barrel: #15, 13(1%)
minecraft.dropped.iron_helmet: #15, 2(1%)
minecraft.crafted.gray_dye: #15, 272(1%)
minecraft.picked_up.black_concrete: #15, 419(1%)
minecraft.crafted.white_stained_glass_pane: #15, 208(1%)
minecraft.picked_up.sandstone_slab: #15, 66(1%)
minecraft.mined.seagrass: #15, 93(0%)
minecraft.used.rail: #15, 419(1%)
minecraft.picked_up.dark_oak_log: #15, 655(0%)
minecraft.dropped.oak_fence: #15, 6(1%)
minecraft.mined.sandstone_slab: #15, 58(1%)
minecraft.mined.light_gray_shulker_box: #15, 24(1%)
minecraft.picked_up.comparator: #15, 25(1%)
minecraft.used.light_gray_shulker_box: #15, 24(1%)
minecraft.picked_up.light_gray_shulker_box: #15, 24(1%)
minecraft.used.snowball: #15, 15(1%)
minecraft.crafted.book: #15, 36(0%)
minecraft.dropped.stone_shovel: #15, 1(1%)
minecraft.dropped.spruce_boat: #15, 1(1%)
minecraft.dropped.poisonous_potato: #15, 2(0%)
minecraft.mined.black_concrete: #15, 423(0%)
minecraft.dropped.armor_stand: #15, 1(0%)
minecraft.crafted.lime_dye: #15, 106(0%)
minecraft.crafted.stone_button: #15, 172(0%)
minecraft.used.stone_button: #15, 158(0%)
minecraft.picked_up.golden_apple: #15, 2(0%)
minecraft.crafted.purple_dye: #15, 28(0%)
minecraft.mined.spruce_fence_gate: #15, 3(0%)
minecraft.mined.acacia_log: #15, 168(0%)
minecraft.picked_up.jungle_planks: #15, 7(0%)
minecraft.mined.quartz_pillar: #15, 11(0%)
minecraft.picked_up.yellow_carpet: #15, 4(0%)
minecraft.picked_up.white_concrete_powder: #15, 416(0%)
minecraft.crafted.snow_block: #15, 68(0%)
minecraft.dropped.kelp: #15, 180(0%)
minecraft.mined.white_wall_banner: #15, 1(0%)
minecraft.picked_up.gray_carpet: #15, 20(0%)
minecraft.crafted.campfire: #15, 4(0%)
minecraft.picked_up.spruce_fence_gate: #15, 3(0%)
minecraft.picked_up.activator_rail: #15, 1(0%)
minecraft.used.acacia_planks: #15, 3(0%)
minecraft.used.sandstone_slab: #15, 161(0%)
minecraft.used.crossbow: #15, 4(0%)
minecraft.mined.light_gray_stained_glass: #15, 8(0%)
minecraft.used.spruce_fence_gate: #15, 8(0%)
minecraft.crafted.polished_diorite: #15, 24(0%)
minecraft.picked_up.quartz_pillar: #15, 11(0%)
minecraft.dropped.salmon: #15, 4(0%)
minecraft.used.light_gray_stained_glass: #15, 40(0%)
minecraft.crafted.light_gray_stained_glass: #15, 64(0%)
minecraft.mined.purpur_slab: #15, 1(0%)
minecraft.used.gray_carpet: #15, 24(0%)
minecraft.picked_up.light_gray_stained_glass: #15, 8(0%)
minecraft.used.yellow_carpet: #15, 4(0%)
minecraft.picked_up.clay: #15, 7(0%)
minecraft.used.ice: #15, 47(0%)
minecraft.crafted.spruce_fence_gate: #15, 5(0%)
minecraft.mined.jungle_planks: #15, 1(0%)
minecraft.used.prismarine_bricks: #15, 25(0%)
minecraft.used.cyan_terracotta: #15, 109(0%)
minecraft.mined.smooth_sandstone: #15, 8(0%)
minecraft.picked_up.red_dye: #15, 2(0%)
minecraft.dropped.scaffolding: #15, 2(0%)
minecraft.mined.light_gray_wool: #15, 1(0%)
minecraft.used.light_blue_wool: #15, 2(0%)
minecraft.mined.lime_stained_glass: #15, 1(0%)
minecraft.crafted.emerald_block: #15, 12(0%)
minecraft.picked_up.black_stained_glass_pane: #15, 1(0%)
minecraft.killed.zombie_pigman: #15, 4(0%)
minecraft.dropped.poppy: #15, 18(0%)
minecraft.crafted.blue_carpet: #15, 9(0%)
minecraft.picked_up.white_dye: #15, 2(0%)
minecraft.picked_up.smooth_sandstone: #15, 7(0%)
minecraft.mined.ice: #15, 42(0%)
minecraft.picked_up.gold_nugget: #15, 36(0%)
minecraft.crafted.oak_planks: #16, 6922(2%)
minecraft.picked_up.andesite: #16, 7349(2%)
minecraft.picked_up.granite: #16, 6000(2%)
minecraft.mined.stone: #16, 103379(2%)
minecraft.crafted.ender_chest: #16, 12(3%)
minecraft.mined.granite: #16, 5597(2%)
minecraft.mined.iron_ore: #16, 2353(2%)
minecraft.picked_up.iron_ore: #16, 2404(2%)
minecraft.picked_up.cobblestone: #16, 34307(2%)
minecraft.mined.andesite: #16, 6039(2%)
minecraft.crafted.ender_eye: #16, 13(2%)
minecraft.dropped.cobblestone: #16, 6157(2%)
minecraft.picked_up.diamond: #16, 736(1%)
minecraft.picked_up.cobblestone_wall: #16, 94(2%)
minecraft.crafted.iron_leggings: #16, 5(2%)
minecraft.picked_up.water_bucket: #16, 13(1%)
minecraft.picked_up.birch_planks: #16, 117(1%)
minecraft.used.golden_carrot: #16, 693(1%)
minecraft.picked_up.armor_stand: #16, 21(1%)
minecraft.used.oak_planks: #16, 306(1%)
minecraft.used.yellow_shulker_box: #16, 106(1%)
minecraft.mined.yellow_shulker_box: #16, 104(1%)
minecraft.used.oak_fence: #16, 128(1%)
minecraft.dropped.leather_helmet: #16, 3(1%)
minecraft.killed_by.player: #16, 1(1%)
minecraft.picked_up.loom: #16, 2(1%)
minecraft.used.diorite: #16, 208(1%)
minecraft.used.cobblestone_stairs: #16, 144(1%)
minecraft.mined.redstone_wall_torch: #16, 22(1%)
minecraft.picked_up.iron_block: #16, 484(1%)
minecraft.picked_up.cooked_beef: #16, 165(1%)
minecraft.used.cooked_beef: #16, 177(1%)
minecraft.killed.zombie_villager: #16, 3(1%)
minecraft.used.hopper_minecart: #16, 11(1%)
minecraft.crafted.hopper_minecart: #16, 11(1%)
minecraft.used.bookshelf: #16, 71(1%)
minecraft.crafted.player_head: #16, 58(1%)
minecraft.mined.cobblestone_slab: #16, 55(1%)
minecraft.picked_up.powered_rail: #16, 177(1%)
minecraft.dropped.oak_planks: #16, 36(1%)
minecraft.mined.bookshelf: #16, 42(1%)
minecraft.picked_up.spruce_trapdoor: #16, 58(1%)
minecraft.crafted.sandstone: #16, 157(1%)
minecraft.picked_up.book: #16, 80(1%)
minecraft.mined.spruce_fence: #16, 44(1%)
minecraft.crafted.cauldron: #16, 10(1%)
minecraft.crafted.red_dye: #16, 290(1%)
minecraft.dropped.paper: #16, 68(1%)
minecraft.picked_up.stone_pressure_plate: #16, 18(1%)
minecraft.crafted.dark_oak_slab: #16, 252(1%)
minecraft.mined.powered_rail: #16, 60(1%)
minecraft.crafted.light_blue_dye: #16, 114(1%)
minecraft.picked_up.flower_pot: #16, 7(1%)
minecraft.picked_up.spruce_fence: #16, 47(1%)
minecraft.used.totem_of_undying: #16, 1(1%)
minecraft.crafted.stone_brick_slab: #16, 404(0%)
minecraft.mined.spruce_trapdoor: #16, 32(0%)
minecraft.mined.diamond_block: #16, 16(0%)
minecraft.mined.end_stone_bricks: #16, 35(1%)
minecraft.used.dark_oak_slab: #16, 169(0%)
minecraft.crafted.black_dye: #16, 122(0%)
minecraft.picked_up.cyan_carpet: #16, 2(1%)
minecraft.used.redstone_ore: #16, 98(0%)
minecraft.crafted.painting: #16, 11(0%)
minecraft.used.dark_oak_log: #16, 176(0%)
minecraft.crafted.white_shulker_box: #16, 2(0%)
minecraft.used.stone_brick_slab: #16, 302(0%)
minecraft.picked_up.totem_of_undying: #16, 2(0%)
minecraft.picked_up.snowball: #16, 317(0%)
minecraft.crafted.pink_dye: #16, 27(0%)
minecraft.picked_up.fishing_rod: #16, 1(0%)
minecraft.used.dropper: #16, 19(0%)
minecraft.used.campfire: #16, 4(0%)
minecraft.used.birch_log: #16, 40(0%)
minecraft.used.nether_quartz_ore: #16, 106(0%)
minecraft.picked_up.blue_carpet: #16, 3(0%)
minecraft.killed.blaze: #16, 55(0%)
minecraft.picked_up.nether_quartz_ore: #16, 111(0%)
minecraft.mined.cauldron: #16, 1(0%)
minecraft.mined.gold_block: #16, 17(0%)
minecraft.used.chiseled_quartz_block: #16, 6(0%)
minecraft.picked_up.cauldron: #16, 1(0%)
minecraft.killed.guardian: #16, 293(0%)
minecraft.dropped.coal_ore: #16, 11(0%)
minecraft.crafted.firework_rocket: #16, 891(0%)
minecraft.crafted.black_concrete_powder: #16, 160(0%)
minecraft.dropped.smooth_stone: #16, 3(0%)
minecraft.picked_up.emerald: #16, 47(0%)
minecraft.used.tube_coral_fan: #16, 1(0%)
minecraft.used.slime_block: #16, 14(0%)
minecraft.crafted.brick: #16, 40(0%)
minecraft.dropped.polished_granite: #16, 1(0%)
minecraft.picked_up.cyan_wool: #16, 9(0%)
minecraft.crafted.smoker: #16, 1(0%)
minecraft.dropped.dark_oak_planks: #16, 2(0%)
minecraft.crafted.composter: #16, 1(0%)
minecraft.mined.dark_prismarine: #16, 4(0%)
minecraft.dropped.smooth_stone_slab: #16, 6(0%)
minecraft.dropped.apple: #16, 1(0%)
minecraft.picked_up.dark_prismarine: #16, 4(0%)
minecraft.mined.black_concrete_powder: #16, 2(0%)
minecraft.picked_up.green_dye: #16, 36(0%)
minecraft.dropped.azure_bluet: #16, 1(0%)
minecraft.picked_up.pink_shulker_box: #16, 1(0%)
minecraft.used.stone_stairs: #16, 1(0%)
minecraft.dropped.carrot: #16, 14(0%)
minecraft.picked_up.purple_wool: #16, 1(0%)
minecraft.used.prismarine: #16, 2(0%)
minecraft.used.light_gray_wool: #16, 1(0%)
minecraft.crafted.stick: #17, 8308(2%)
minecraft.custom.damage_dealt: #17, 343431(1%)
minecraft.picked_up.diorite: #17, 5533(2%)
minecraft.picked_up.arrow: #17, 1103(2%)
minecraft.used.chest: #17, 643(2%)
minecraft.used.crafting_table: #17, 158(2%)
minecraft.mined.diorite: #17, 5307(2%)
minecraft.used.bucket: #17, 1254(2%)
minecraft.picked_up.redstone_block: #17, 265(2%)
minecraft.crafted.chest: #17, 592(1%)
minecraft.picked_up.yellow_shulker_box: #17, 104(1%)
minecraft.custom.animals_bred: #17, 196(1%)
minecraft.picked_up.chest: #17, 247(1%)
minecraft.mined.diamond_ore: #17, 272(1%)
minecraft.picked_up.salmon: #17, 58(1%)
minecraft.mined.beacon: #17, 5(1%)
minecraft.dropped.bone_meal: #17, 75(1%)
minecraft.picked_up.cobblestone_slab: #17, 88(1%)
minecraft.dropped.wheat_seeds: #17, 377(1%)
minecraft.used.jungle_boat: #17, 2(1%)
minecraft.picked_up.cooked_chicken: #17, 86(1%)
minecraft.crafted.spruce_fence: #17, 150(1%)
minecraft.mined.end_rod: #17, 62(1%)
minecraft.picked_up.magma_cream: #17, 7(1%)
minecraft.used.beacon: #17, 6(1%)
minecraft.picked_up.glowstone: #17, 124(1%)
minecraft.crafted.gold_ingot: #17, 1044(1%)
minecraft.used.spruce_trapdoor: #17, 145(1%)
minecraft.crafted.spruce_trapdoor: #17, 136(1%)
minecraft.dropped.diamond_axe: #17, 1(1%)
minecraft.crafted.dark_oak_planks: #17, 964(0%)
minecraft.used.spruce_fence: #17, 105(1%)
minecraft.crafted.oak_fence_gate: #17, 8(1%)
minecraft.picked_up.dispenser: #17, 15(1%)
minecraft.crafted.glass_pane: #17, 80(0%)
minecraft.custom.pot_flower: #17, 7(1%)
minecraft.used.flower_pot: #17, 11(1%)
minecraft.mined.glass_pane: #17, 14(0%)
minecraft.used.comparator: #17, 36(0%)
minecraft.crafted.smooth_stone: #17, 209(0%)
minecraft.used.diamond_ore: #17, 40(0%)
minecraft.dropped.leather_chestplate: #17, 1(0%)
minecraft.picked_up.white_concrete: #17, 1089(0%)
minecraft.used.dark_oak_planks: #17, 92(0%)
minecraft.mined.white_stained_glass_pane: #17, 25(0%)
minecraft.used.smooth_stone_slab: #17, 1034(0%)
minecraft.crafted.fishing_rod: #17, 1(0%)
minecraft.crafted.rail: #17, 160(0%)
minecraft.crafted.green_dye: #17, 252(0%)
minecraft.dropped.golden_carrot: #17, 20(0%)
minecraft.crafted.smooth_stone_slab: #17, 1160(0%)
minecraft.used.written_book: #17, 123(0%)
minecraft.mined.stripped_spruce_log: #17, 9(0%)
