stat, rank, value, (percentage) 
minecraft.mined.red_concrete_powder: #5, 33(7%)
minecraft.crafted.cobblestone_wall: #6, 1572(8%)
minecraft.crafted.jungle_boat: #5, 4(5%)
minecraft.mined.dark_oak_sapling: #5, 37(9%)
minecraft.picked_up.lapis_ore: #5, 280(4%)
minecraft.used.wheat_seeds: #6, 5666(8%)
minecraft.dropped.quartz_slab: #5, 68(7%)
minecraft.mined.orange_stained_glass: #5, 34(6%)
minecraft.mined.grass_path: #6, 679(8%)
minecraft.picked_up.acacia_leaves: #5, 983(7%)
minecraft.mined.bamboo_sapling: #5, 4(8%)
minecraft.picked_up.terracotta: #5, 9134(4%)
minecraft.crafted.leather_chestplate: #5, 54(5%)
minecraft.crafted.quartz_block: #6, 7816(8%)
minecraft.used.pink_wool: #5, 80(5%)
minecraft.used.tripwire_hook: #5, 92(4%)
minecraft.mined.terracotta: #5, 8815(4%)
minecraft.crafted.blue_concrete_powder: #5, 552(5%)
minecraft.picked_up.quartz_pillar: #5, 375(4%)
minecraft.dropped.birch_button: #5, 22(8%)
minecraft.mined.polished_granite: #5, 235(4%)
minecraft.crafted.iron_bars: #6, 2480(7%)
minecraft.crafted.stone_brick_wall: #5, 648(5%)
minecraft.mined.brown_carpet: #5, 42(5%)
minecraft.used.chest: #6, 2383(6%)
minecraft.crafted.rail: #6, 3473(8%)
minecraft.used.music_disc_cat: #5, 3(10%)
minecraft.picked_up.light_gray_stained_glass_pane: #5, 237(5%)
minecraft.dropped.black_concrete_powder: #5, 132(7%)
minecraft.dropped.birch_trapdoor: #5, 5(6%)
minecraft.crafted.green_carpet: #5, 192(5%)
minecraft.mined.birch_sapling: #5, 23(4%)
minecraft.mined.oak_leaves: #6, 9438(5%)
minecraft.custom.leave_game: #7, 1655(5%)
minecraft.dropped.purple_banner: #5, 1(11%)
minecraft.used.stonecutter: #5, 41(5%)
minecraft.crafted.acacia_wood: #5, 279(5%)
minecraft.used.end_stone: #5, 394(3%)
minecraft.custom.jump: #7, 549443(6%)
minecraft.crafted.bricks: #5, 2852(6%)
minecraft.dropped.azure_bluet: #5, 104(4%)
minecraft.used.chiseled_stone_bricks: #5, 258(4%)
minecraft.used.oak_stairs: #6, 649(7%)
minecraft.picked_up.lantern: #6, 296(8%)
minecraft.picked_up.prismarine_brick_slab: #5, 151(5%)
minecraft.crafted.lime_banner: #5, 12(7%)
minecraft.used.dark_oak_planks: #6, 1742(8%)
minecraft.picked_up.red_carpet: #6, 300(8%)
minecraft.used.acacia_wood: #5, 249(5%)
minecraft.used.oak_fence: #6, 700(6%)
minecraft.crafted.shield: #5, 21(3%)
minecraft.dropped.birch_sapling: #5, 42(3%)
minecraft.dropped.birch_leaves: #5, 62(6%)
minecraft.picked_up.wheat_seeds: #6, 8898(5%)
minecraft.killed.chicken: #6, 198(6%)
minecraft.dropped.blue_shulker_box: #5, 1(9%)
minecraft.mined.birch_stairs: #5, 201(3%)
minecraft.picked_up.bell: #5, 14(7%)
minecraft.used.smooth_stone: #6, 3860(7%)
minecraft.used.black_carpet: #6, 577(8%)
minecraft.picked_up.light_gray_banner: #5, 7(6%)
minecraft.used.granite: #6, 815(6%)
minecraft.used.green_banner: #5, 3(6%)
minecraft.picked_up.name_tag: #6, 61(6%)
minecraft.crafted.gray_banner: #5, 16(8%)
minecraft.picked_up.nether_star: #5, 13(3%)
minecraft.picked_up.polished_andesite_slab: #5, 139(4%)
minecraft.picked_up.heavy_weighted_pressure_plate: #5, 10(3%)
minecraft.crafted.gray_bed: #5, 9(5%)
minecraft.picked_up.pink_concrete_powder: #5, 64(6%)
minecraft.picked_up.iron_helmet: #6, 21(6%)
minecraft.picked_up.blue_dye: #5, 35(5%)
minecraft.mined.heavy_weighted_pressure_plate: #5, 6(4%)
minecraft.picked_up.fishing_rod: #6, 22(7%)
minecraft.used.suspicious_stew: #5, 3(5%)
minecraft.used.loom: #6, 19(7%)
minecraft.crafted.sandstone: #6, 1443(8%)
minecraft.dropped.birch_boat: #6, 7(9%)
minecraft.used.quartz_block: #6, 1014(6%)
minecraft.picked_up.cobblestone_stairs: #6, 387(6%)
minecraft.dropped.white_concrete_powder: #5, 131(4%)
minecraft.picked_up.red_shulker_box: #6, 564(6%)
minecraft.dropped.polished_andesite: #5, 56(2%)
minecraft.crafted.grindstone: #5, 34(3%)
minecraft.picked_up.dark_oak_trapdoor: #6, 202(7%)
minecraft.picked_up.red_nether_bricks: #5, 52(4%)
minecraft.dropped.oxeye_daisy: #5, 43(2%)
minecraft.mined.white_stained_glass: #6, 1347(6%)
minecraft.mined.red_shulker_box: #6, 559(6%)
minecraft.crafted.gray_dye: #6, 2644(6%)
minecraft.mined.chiseled_sandstone: #6, 16(10%)
minecraft.dropped.stone_axe: #5, 3(2%)
minecraft.mined.red_concrete: #6, 1647(7%)
minecraft.used.red_shulker_box: #6, 563(6%)
minecraft.used.green_terracotta: #5, 1082(2%)
minecraft.used.dark_prismarine: #5, 419(2%)
minecraft.mined.smooth_stone: #6, 815(6%)
minecraft.used.polished_granite_slab: #5, 68(7%)
minecraft.used.magma_block: #6, 708(6%)
minecraft.used.brain_coral_fan: #5, 21(2%)
minecraft.picked_up.gold_block: #6, 856(6%)
minecraft.picked_up.orange_banner: #5, 3(5%)
minecraft.dropped.beetroot_seeds: #5, 10(2%)
minecraft.used.oak_log: #6, 1679(5%)
minecraft.killed.magma_cube: #6, 184(7%)
minecraft.used.acacia_trapdoor: #5, 159(2%)
minecraft.crafted.acacia_trapdoor: #5, 174(2%)
minecraft.crafted.packed_ice: #5, 356(2%)
minecraft.crafted.orange_glazed_terracotta: #5, 32(4%)
minecraft.used.acacia_leaves: #6, 423(10%)
minecraft.crafted.oak_door: #6, 39(7%)
minecraft.used.red_concrete: #6, 1258(7%)
minecraft.picked_up.spruce_boat: #6, 84(5%)
minecraft.mined.blue_wall_banner: #5, 3(5%)
minecraft.dropped.chorus_fruit: #5, 41(3%)
minecraft.mined.jack_o_lantern: #6, 42(8%)
minecraft.picked_up.green_concrete: #6, 1006(7%)
minecraft.crafted.light_gray_concrete_powder: #6, 6256(7%)
minecraft.dropped.clay: #5, 2(4%)
minecraft.dropped.peony: #5, 12(3%)
minecraft.crafted.jungle_planks: #6, 4404(5%)
minecraft.crafted.armor_stand: #6, 195(6%)
minecraft.custom.walk_one_cm: #7, 167770233(5%)
minecraft.dropped.cyan_stained_glass_pane: #5, 4(4%)
minecraft.picked_up.white_stained_glass: #6, 1519(6%)
minecraft.picked_up.birch_log: #6, 3462(5%)
minecraft.dropped.dark_prismarine_slab: #5, 3(3%)
minecraft.used.brick_slab: #5, 172(2%)
minecraft.mined.spruce_fence: #6, 368(6%)
minecraft.picked_up.gray_dye: #5, 73(3%)
minecraft.picked_up.brown_concrete_powder: #6, 230(8%)
minecraft.dropped.blue_banner: #5, 1(5%)
minecraft.picked_up.spruce_trapdoor: #6, 455(5%)
minecraft.mined.orange_banner: #5, 2(4%)
minecraft.crafted.polished_granite_slab: #5, 64(4%)
minecraft.dropped.lime_carpet: #5, 3(3%)
minecraft.picked_up.spruce_sapling: #6, 1027(5%)
minecraft.picked_up.red_concrete_powder: #6, 360(8%)
minecraft.used.music_disc_wait: #5, 3(3%)
minecraft.picked_up.black_stained_glass: #6, 454(5%)
minecraft.mined.light_blue_wall_banner: #5, 2(3%)
minecraft.used.pink_tulip: #5, 2(2%)
minecraft.used.spruce_sapling: #6, 714(5%)
minecraft.dropped.white_shulker_box: #5, 2(2%)
minecraft.picked_up.black_dye: #5, 49(2%)
minecraft.dropped.crafting_table: #6, 29(6%)
minecraft.crafted.brick_slab: #5, 144(2%)
minecraft.used.white_stained_glass_pane: #6, 1883(6%)
minecraft.dropped.spruce_fence_gate: #5, 5(2%)
minecraft.picked_up.dark_prismarine: #6, 407(7%)
minecraft.picked_up.armor_stand: #6, 77(5%)
minecraft.mined.birch_log: #6, 2819(5%)
minecraft.crafted.orange_dye: #6, 612(6%)
minecraft.killed.husk: #6, 62(6%)
minecraft.picked_up.red_nether_brick_slab: #5, 7(2%)
minecraft.mined.brown_concrete_powder: #6, 47(8%)
minecraft.mined.dark_prismarine: #6, 358(7%)
minecraft.crafted.lapis_lazuli: #6, 2080(5%)
minecraft.picked_up.magenta_wool: #5, 57(1%)
minecraft.mined.wheat: #6, 2701(5%)
minecraft.dropped.orange_dye: #5, 2(2%)
minecraft.dropped.light_blue_wool: #5, 2(1%)
minecraft.used.pink_concrete_powder: #6, 192(8%)
minecraft.used.dead_brain_coral_block: #5, 14(1%)
minecraft.dropped.iron_boots: #6, 8(7%)
minecraft.mined.magenta_concrete_powder: #5, 4(2%)
minecraft.used.brown_bed: #5, 3(1%)
minecraft.used.dark_prismarine_slab: #5, 217(1%)
minecraft.used.armor_stand: #6, 171(5%)
minecraft.crafted.brown_bed: #5, 1(2%)
minecraft.crafted.yellow_banner: #5, 10(1%)
minecraft.mined.stone_bricks: #7, 12669(8%)
minecraft.dropped.black_dye: #5, 17(1%)
minecraft.picked_up.brown_bed: #5, 2(1%)
minecraft.dropped.birch_wood: #5, 1(2%)
minecraft.crafted.acacia_fence_gate: #5, 5(1%)
minecraft.used.stone_brick_wall: #6, 524(7%)
minecraft.crafted.shears: #6, 145(4%)
minecraft.custom.open_enderchest: #7, 6680(6%)
minecraft.picked_up.suspicious_stew: #5, 3(1%)
minecraft.mined.polished_granite_slab: #5, 3(2%)
minecraft.mined.brown_bed: #5, 2(1%)
minecraft.dropped.lime_shulker_box: #5, 1(1%)
minecraft.picked_up.item_frame: #6, 314(5%)
minecraft.picked_up.stripped_dark_oak_wood: #5, 7(1%)
minecraft.crafted.red_nether_brick_slab: #5, 20(1%)
minecraft.dropped.brown_mushroom_block: #5, 16(1%)
minecraft.used.sandstone_wall: #5, 23(1%)
minecraft.used.red_nether_brick_slab: #5, 17(1%)
minecraft.mined.birch_trapdoor: #6, 44(6%)
minecraft.used.gold_block: #6, 1045(6%)
minecraft.used.acacia_fence_gate: #5, 4(1%)
minecraft.dropped.red_sand: #5, 3(1%)
minecraft.used.beetroot: #5, 1(1%)
minecraft.mined.emerald_ore: #6, 37(7%)
minecraft.dropped.stripped_spruce_log: #6, 11(9%)
minecraft.picked_up.green_carpet: #6, 40(7%)
minecraft.picked_up.red_bed: #6, 32(5%)
minecraft.mined.beacon: #6, 29(5%)
minecraft.custom.damage_taken: #7, 427294(6%)
minecraft.custom.fall_one_cm: #7, 13608411(5%)
minecraft.picked_up.dark_oak_log: #6, 5919(4%)
minecraft.crafted.red_shulker_box: #6, 16(5%)
minecraft.crafted.lime_concrete_powder: #6, 696(6%)
minecraft.crafted.gray_terracotta: #5, 24(0%)
minecraft.picked_up.stone_pressure_plate: #6, 127(4%)
minecraft.picked_up.beacon: #6, 32(5%)
minecraft.dropped.white_concrete: #6, 479(5%)
minecraft.picked_up.light_gray_wool: #6, 344(5%)
minecraft.crafted.purple_dye: #6, 460(5%)
minecraft.picked_up.sea_lantern: #6, 1451(4%)
minecraft.crafted.pink_concrete_powder: #6, 200(6%)
minecraft.mined.dark_oak_log: #6, 4948(4%)
minecraft.picked_up.activator_rail: #6, 25(6%)
minecraft.dropped.sandstone_slab: #6, 93(6%)
minecraft.crafted.light_gray_dye: #6, 1467(4%)
minecraft.mined.acacia_leaves: #6, 1012(4%)
minecraft.picked_up.dark_oak_boat: #6, 46(4%)
minecraft.custom.open_shulker_box: #7, 37367(5%)
minecraft.mined.lily_of_the_valley: #6, 10(9%)
minecraft.used.jungle_boat: #6, 11(4%)
minecraft.picked_up.chiseled_sandstone: #6, 11(7%)
minecraft.mined.potted_azure_bluet: #6, 1(12%)
minecraft.crafted.yellow_dye: #6, 1212(4%)
minecraft.mined.gray_wool: #6, 20(6%)
minecraft.mined.red_bed: #6, 32(6%)
minecraft.used.sand: #7, 26609(7%)
minecraft.used.torch: #7, 22362(7%)
minecraft.picked_up.ender_pearl: #6, 1120(3%)
minecraft.picked_up.blue_stained_glass: #6, 288(5%)
minecraft.picked_up.milk_bucket: #6, 7(5%)
minecraft.picked_up.jack_o_lantern: #6, 44(5%)
minecraft.dropped.name_tag: #6, 10(4%)
minecraft.crafted.magenta_dye: #6, 373(4%)
minecraft.picked_up.dark_oak_sapling: #6, 562(4%)
minecraft.mined.polished_andesite_stairs: #6, 74(6%)
minecraft.used.flower_pot: #6, 74(4%)
minecraft.crafted.smooth_quartz: #6, 228(5%)
minecraft.dropped.oak_trapdoor: #6, 17(5%)
minecraft.mined.orange_glazed_terracotta: #6, 16(8%)
minecraft.mined.birch_wall_sign: #6, 13(4%)
minecraft.picked_up.spruce_fence_gate: #6, 57(4%)
minecraft.used.birch_door: #6, 8(4%)
minecraft.killed.trader_llama: #6, 10(5%)
minecraft.mined.light_gray_stained_glass_pane: #6, 117(5%)
minecraft.picked_up.pink_concrete: #6, 87(5%)
minecraft.picked_up.pufferfish_bucket: #6, 3(7%)
minecraft.crafted.stick: #7, 22001(6%)
minecraft.picked_up.jungle_boat: #6, 10(3%)
minecraft.used.green_carpet: #6, 147(4%)
minecraft.picked_up.snow: #6, 3059(4%)
minecraft.mined.dark_oak_fence: #7, 348(8%)
minecraft.picked_up.diamond_ore: #6, 279(3%)
minecraft.picked_up.yellow_wool: #6, 257(3%)
minecraft.mined.gray_stained_glass_pane: #6, 65(6%)
minecraft.used.birch_fence: #6, 73(3%)
minecraft.dropped.dark_oak_leaves: #6, 31(4%)
minecraft.picked_up.trapped_chest: #6, 6(6%)
minecraft.used.chiseled_sandstone: #6, 21(5%)
minecraft.mined.trapped_chest: #6, 6(6%)
minecraft.mined.coarse_dirt: #6, 466(3%)
minecraft.mined.lime_concrete: #6, 539(4%)
minecraft.mined.brown_terracotta: #6, 1133(3%)
minecraft.crafted.glass: #7, 8948(6%)
minecraft.custom.interact_with_blast_furnace: #6, 18(3%)
minecraft.dropped.dark_oak_stairs: #6, 40(5%)
minecraft.used.redstone_ore: #6, 664(3%)
minecraft.dropped.stone_shovel: #6, 6(4%)
minecraft.mined.yellow_banner: #6, 4(4%)
minecraft.used.dark_oak_sapling: #6, 421(4%)
minecraft.crafted.stonecutter: #6, 26(4%)
minecraft.picked_up.cactus: #6, 1083(2%)
minecraft.picked_up.polished_andesite_stairs: #6, 65(4%)
minecraft.used.spruce_fence_gate: #6, 152(2%)
minecraft.crafted.oak_stairs: #7, 664(6%)
minecraft.used.lime_concrete: #6, 332(3%)
minecraft.used.cornflower: #6, 9(3%)
minecraft.picked_up.yellow_stained_glass_pane: #6, 15(4%)
minecraft.crafted.nether_brick: #6, 1152(4%)
minecraft.dropped.stone_bricks: #6, 468(2%)
minecraft.mined.yellow_terracotta: #6, 618(2%)
minecraft.picked_up.lime_wool: #6, 193(2%)
minecraft.crafted.smoker: #6, 25(3%)
minecraft.mined.yellow_stained_glass_pane: #6, 15(3%)
minecraft.dropped.lantern: #6, 12(4%)
minecraft.picked_up.golden_leggings: #7, 22(6%)
minecraft.used.horn_coral_fan: #6, 20(2%)
minecraft.crafted.lime_shulker_box: #6, 7(3%)
minecraft.dropped.birch_planks: #7, 123(7%)
minecraft.mined.green_banner: #6, 1(6%)
minecraft.dropped.sandstone: #6, 317(2%)
minecraft.mined.black_concrete_powder: #6, 76(2%)
minecraft.used.light_blue_terracotta: #6, 398(2%)
minecraft.crafted.orange_wool: #6, 13(4%)
minecraft.used.yellow_wool: #6, 255(2%)
minecraft.mined.gray_carpet: #7, 208(7%)
minecraft.picked_up.cornflower: #6, 96(2%)
minecraft.used.brain_coral_block: #6, 60(2%)
minecraft.picked_up.golden_sword: #6, 14(2%)
minecraft.used.light_gray_banner: #6, 6(5%)
minecraft.crafted.stone_button: #6, 838(1%)
minecraft.dropped.cracked_stone_bricks: #6, 39(3%)
minecraft.used.firework_rocket: #7, 772(5%)
minecraft.used.music_disc_mall: #6, 1(5%)
minecraft.mined.gravel: #7, 37463(5%)
minecraft.killed.wither: #6, 7(2%)
minecraft.picked_up.blue_stained_glass_pane: #6, 32(3%)
minecraft.dropped.sunflower: #6, 7(2%)
minecraft.mined.tripwire_hook: #7, 18(7%)
minecraft.used.smooth_quartz: #6, 234(2%)
minecraft.dropped.stone_button: #6, 75(2%)
minecraft.mined.green_terracotta: #6, 154(1%)
minecraft.dropped.lilac: #6, 10(2%)
minecraft.mined.brick_slab: #6, 39(2%)
minecraft.mined.conduit: #6, 2(2%)
minecraft.picked_up.acacia_trapdoor: #6, 29(2%)
minecraft.crafted.light_blue_terracotta: #6, 800(3%)
minecraft.picked_up.gravel: #7, 37659(5%)
minecraft.picked_up.iron_bars: #7, 806(5%)
minecraft.used.cobweb: #6, 117(1%)
minecraft.picked_up.pink_stained_glass_pane: #6, 3(2%)
minecraft.mined.dark_oak_pressure_plate: #6, 2(2%)
minecraft.dropped.golden_sword: #6, 12(2%)
minecraft.used.dead_bush: #6, 9(3%)
minecraft.picked_up.orange_stained_glass_pane: #6, 20(2%)
minecraft.used.jack_o_lantern: #6, 104(2%)
minecraft.mined.coal_ore: #7, 10902(5%)
minecraft.picked_up.wooden_shovel: #6, 2(3%)
minecraft.dropped.light_blue_dye: #6, 5(3%)
minecraft.used.jungle_leaves: #7, 653(6%)
minecraft.picked_up.writable_book: #7, 33(6%)
minecraft.picked_up.green_terracotta: #6, 148(1%)
minecraft.custom.use_cauldron: #6, 4(2%)
minecraft.crafted.oak_wood: #6, 78(1%)
minecraft.dropped.bone_block: #6, 90(2%)
minecraft.used.dead_tube_coral_fan: #6, 3(3%)
minecraft.dropped.acacia_wood: #6, 2(3%)
minecraft.killed_by.ender_dragon: #6, 1(3%)
minecraft.dropped.cornflower: #6, 7(1%)
minecraft.crafted.written_book: #6, 4(2%)
minecraft.picked_up.brick_slab: #6, 34(1%)
minecraft.mined.yellow_concrete_powder: #6, 44(2%)
minecraft.picked_up.oak_sapling: #7, 1510(4%)
minecraft.mined.orange_concrete_powder: #6, 2(3%)
minecraft.dropped.blue_wool: #6, 10(2%)
minecraft.killed.zombie_pigman: #6, 125(1%)
minecraft.mined.anvil: #7, 47(5%)
minecraft.picked_up.clock: #7, 6(7%)
minecraft.dropped.orange_carpet: #6, 1(2%)
minecraft.dropped.quartz_block: #6, 192(1%)
minecraft.picked_up.purple_dye: #6, 4(2%)
minecraft.crafted.andesite_slab: #6, 144(2%)
minecraft.mined.red_sand: #6, 824(1%)
minecraft.picked_up.red_sand: #6, 797(1%)
minecraft.dropped.purple_stained_glass: #6, 64(2%)
minecraft.crafted.glistering_melon_slice: #6, 5(1%)
minecraft.picked_up.yellow_glazed_terracotta: #6, 31(1%)
minecraft.dropped.yellow_stained_glass: #6, 2(2%)
minecraft.dropped.cobblestone_wall: #7, 87(6%)
minecraft.dropped.wooden_shovel: #6, 5(1%)
minecraft.crafted.writable_book: #7, 39(5%)
minecraft.picked_up.dark_prismarine_slab: #6, 44(1%)
minecraft.custom.fly_one_cm: #8, 109058470(4%)
minecraft.crafted.dark_prismarine_slab: #6, 186(1%)
minecraft.picked_up.apple: #7, 277(4%)
minecraft.dropped.pink_wool: #6, 1(1%)
minecraft.dropped.spruce_sign: #6, 4(1%)
minecraft.crafted.sandstone_stairs: #7, 696(7%)
minecraft.picked_up.polished_granite_slab: #6, 4(1%)
minecraft.crafted.white_stained_glass_pane: #7, 1848(5%)
minecraft.crafted.red_nether_bricks: #6, 155(1%)
minecraft.picked_up.oak_boat: #7, 117(4%)
minecraft.picked_up.grass_block: #7, 22958(4%)
minecraft.crafted.smooth_sandstone_stairs: #6, 48(1%)
minecraft.picked_up.popped_chorus_fruit: #6, 14(1%)
minecraft.crafted.stone_pressure_plate: #7, 234(5%)
minecraft.picked_up.magenta_concrete_powder: #6, 4(1%)
minecraft.crafted.prismarine: #6, 64(0%)
minecraft.used.white_stained_glass: #7, 5854(5%)
minecraft.crafted.campfire: #7, 110(6%)
minecraft.custom.boat_one_cm: #7, 25374233(4%)
minecraft.mined.melon_stem: #6, 1(0%)
minecraft.mined.stripped_dark_oak_wood: #6, 3(0%)
minecraft.picked_up.dead_bubble_coral_fan: #6, 2(0%)
minecraft.mined.red_nether_brick_slab: #6, 1(0%)
minecraft.mined.brain_coral_wall_fan: #6, 5(0%)
minecraft.crafted.polished_granite_stairs: #6, 8(0%)
minecraft.picked_up.brown_stained_glass: #6, 10(0%)
minecraft.picked_up.dried_kelp: #6, 1468(0%)
minecraft.used.enchanting_table: #7, 6(5%)
minecraft.dropped.water_bucket: #7, 12(6%)
minecraft.used.spruce_sign: #7, 91(5%)
minecraft.used.polished_granite_stairs: #6, 1(0%)
minecraft.dropped.light_blue_terracotta: #6, 1(0%)
minecraft.crafted.black_carpet: #7, 447(6%)
minecraft.custom.horse_one_cm: #7, 1347434(4%)
minecraft.used.spruce_fence: #7, 817(4%)
minecraft.dropped.spruce_trapdoor: #7, 32(5%)
minecraft.used.lime_shulker_box: #7, 174(5%)
minecraft.mined.lime_shulker_box: #7, 171(5%)
minecraft.dropped.obsidian: #7, 95(5%)
minecraft.dropped.soul_sand: #7, 142(4%)
minecraft.picked_up.lime_shulker_box: #7, 173(5%)
minecraft.used.stripped_spruce_log: #7, 43(5%)
minecraft.used.lime_concrete_powder: #7, 510(5%)
minecraft.dropped.oak_fence: #7, 48(4%)
minecraft.used.dark_oak_boat: #7, 49(4%)
minecraft.used.cooked_salmon: #7, 201(7%)
minecraft.picked_up.splash_potion: #7, 17(5%)
minecraft.mined.cactus: #7, 114(4%)
minecraft.dropped.chest: #7, 58(4%)
minecraft.killed.wandering_trader: #7, 6(6%)
minecraft.used.snow: #7, 3121(5%)
minecraft.crafted.spruce_sign: #7, 87(4%)
minecraft.mined.white_stained_glass_pane: #7, 242(4%)
minecraft.picked_up.acacia_wood: #7, 84(7%)
minecraft.picked_up.black_banner: #7, 12(6%)
minecraft.dropped.birch_log: #7, 122(4%)
minecraft.dropped.iron_leggings: #7, 5(4%)
minecraft.used.oak_leaves: #7, 2425(3%)
minecraft.crafted.stone_axe: #7, 7(3%)
minecraft.mined.cyan_stained_glass_pane: #7, 16(7%)
minecraft.used.acacia_log: #7, 1552(4%)
minecraft.broken.fishing_rod: #7, 4(5%)
minecraft.mined.sponge: #7, 21(6%)
minecraft.picked_up.red_wool: #7, 254(4%)
minecraft.used.packed_ice: #7, 3318(3%)
minecraft.mined.acacia_wood: #7, 71(6%)
minecraft.dropped.jungle_boat: #7, 2(8%)
minecraft.picked_up.birch_door: #7, 7(4%)
minecraft.dropped.sugar_cane: #7, 488(3%)
minecraft.crafted.black_banner: #7, 24(6%)
minecraft.used.horn_coral_block: #7, 60(4%)
minecraft.picked_up.phantom_membrane: #7, 136(3%)
minecraft.used.milk_bucket: #7, 11(4%)
minecraft.crafted.snow: #7, 504(5%)
minecraft.picked_up.coarse_dirt: #7, 562(3%)
minecraft.crafted.firework_rocket: #7, 24823(3%)
minecraft.mined.sand: #8, 100228(6%)
minecraft.custom.drop: #8, 8466(5%)
minecraft.picked_up.smooth_stone: #7, 910(3%)
minecraft.mined.end_stone: #7, 734(3%)
minecraft.dropped.powered_rail: #7, 32(4%)
minecraft.mined.chest: #8, 1225(6%)
minecraft.used.light_gray_stained_glass: #7, 1150(3%)
minecraft.dropped.acacia_log: #7, 47(4%)
minecraft.picked_up.white_banner: #7, 59(3%)
minecraft.mined.oak_fence_gate: #7, 23(3%)
minecraft.picked_up.lime_concrete: #7, 537(4%)
minecraft.crafted.light_gray_stained_glass_pane: #7, 704(4%)
minecraft.used.blue_concrete_powder: #7, 357(4%)
minecraft.crafted.green_shulker_box: #7, 6(3%)
minecraft.picked_up.stripped_spruce_log: #7, 69(3%)
minecraft.used.diamond_ore: #7, 229(2%)
minecraft.picked_up.brown_terracotta: #7, 1100(3%)
minecraft.picked_up.birch_sapling: #7, 357(2%)
minecraft.picked_up.glass_pane: #7, 110(2%)
minecraft.picked_up.sand: #8, 100513(5%)
minecraft.used.terracotta: #7, 243(3%)
minecraft.picked_up.oak_fence_gate: #7, 28(3%)
minecraft.picked_up.chest: #8, 1429(6%)
minecraft.crafted.polished_diorite: #7, 512(3%)
minecraft.crafted.light_gray_stained_glass: #7, 1592(3%)
minecraft.mined.blue_stained_glass_pane: #7, 16(4%)
minecraft.crafted.brown_shulker_box: #7, 5(3%)
minecraft.mined.sea_pickle: #7, 67(3%)
minecraft.mined.stripped_spruce_log: #7, 60(2%)
minecraft.picked_up.oxeye_daisy: #7, 126(2%)
minecraft.picked_up.brown_carpet: #7, 48(3%)
minecraft.dropped.black_concrete: #7, 71(3%)
minecraft.crafted.spruce_fence_gate: #7, 141(2%)
minecraft.dropped.spruce_button: #7, 6(3%)
minecraft.crafted.chiseled_stone_bricks: #7, 368(3%)
minecraft.crafted.gray_shulker_box: #7, 6(2%)
minecraft.mined.orange_stained_glass_pane: #7, 18(4%)
minecraft.crafted.light_gray_wool: #7, 243(3%)
minecraft.dropped.jungle_leaves: #7, 44(3%)
minecraft.picked_up.dark_oak_pressure_plate: #7, 5(3%)
minecraft.dropped.splash_potion: #7, 3(3%)
minecraft.picked_up.blaze_rod: #7, 167(2%)
minecraft.picked_up.brown_wool: #7, 167(2%)
minecraft.dropped.black_carpet: #7, 10(3%)
minecraft.mined.blast_furnace: #7, 8(3%)
minecraft.picked_up.acacia_log: #7, 1055(2%)
minecraft.mined.andesite_stairs: #7, 4(3%)
minecraft.crafted.beacon: #7, 7(2%)
minecraft.used.music_disc_chirp: #7, 1(4%)
minecraft.dropped.iron_helmet: #7, 4(2%)
minecraft.used.orange_banner: #7, 3(4%)
minecraft.custom.fish_caught: #7, 1100(2%)
minecraft.picked_up.acacia_planks: #7, 24(2%)
minecraft.used.gray_bed: #7, 13(3%)
minecraft.picked_up.blue_bed: #7, 7(2%)
minecraft.used.blue_concrete: #7, 141(2%)
minecraft.crafted.brown_dye: #7, 115(2%)
minecraft.mined.acacia_log: #7, 800(1%)
minecraft.picked_up.white_wool: #8, 636(4%)
minecraft.picked_up.spruce_fence: #8, 496(6%)
minecraft.crafted.white_terracotta: #7, 112(2%)
minecraft.used.wither_skeleton_skull: #7, 19(1%)
minecraft.killed_by.vex: #7, 1(3%)
minecraft.picked_up.lever: #8, 304(6%)
minecraft.used.trapped_chest: #7, 6(2%)
minecraft.used.heavy_weighted_pressure_plate: #7, 9(1%)
minecraft.crafted.apple: #7, 31(2%)
minecraft.dropped.rose_bush: #7, 9(2%)
minecraft.dropped.green_carpet: #7, 2(3%)
minecraft.used.iron_block: #8, 3566(5%)
minecraft.picked_up.leather_chestplate: #8, 18(5%)
minecraft.mined.spruce_wall_sign: #8, 16(6%)
minecraft.picked_up.dried_kelp_block: #7, 672(1%)
minecraft.picked_up.lime_concrete_powder: #7, 34(2%)
minecraft.crafted.baked_potato: #8, 763(6%)
minecraft.picked_up.red_glazed_terracotta: #7, 58(2%)
minecraft.crafted.purple_wool: #7, 12(2%)
minecraft.crafted.conduit: #7, 1(2%)
minecraft.dropped.ghast_tear: #7, 1(2%)
minecraft.used.light_gray_wool: #7, 142(1%)
minecraft.picked_up.podzol: #7, 126(1%)
minecraft.crafted.crossbow: #7, 3(2%)
minecraft.picked_up.pink_bed: #7, 3(2%)
minecraft.dropped.brown_wool: #7, 3(1%)
minecraft.mined.dark_prismarine_slab: #7, 47(1%)
minecraft.used.crossbow: #7, 21(1%)
minecraft.crafted.cake: #7, 11(1%)
minecraft.crafted.oak_fence: #8, 588(5%)
minecraft.mined.dark_oak_stairs: #8, 285(5%)
minecraft.picked_up.stick: #8, 2005(4%)
minecraft.used.mycelium: #7, 73(1%)
minecraft.custom.tune_noteblock: #7, 38500(1%)
minecraft.picked_up.white_dye: #7, 66(1%)
minecraft.used.cake: #7, 7(1%)
minecraft.picked_up.lectern: #7, 39(1%)
