stat, rank, value, (percentage) 
minecraft.picked_up.iron_boots: #2, 40(14%)
minecraft.picked_up.crafting_table: #2, 1143(13%)
minecraft.mined.dragon_head: #1, 9(29%)
minecraft.crafted.chiseled_quartz_block: #2, 634(21%)
minecraft.dropped.oak_stairs: #1, 69(26%)
minecraft.crafted.purple_concrete_powder: #2, 2744(26%)
minecraft.mined.spruce_leaves: #2, 15405(15%)
minecraft.picked_up.mushroom_stem: #1, 1688(26%)
minecraft.used.mossy_stone_bricks: #2, 932(19%)
minecraft.used.oak_slab: #2, 3478(15%)
minecraft.used.player_head: #3, 1339(18%)
minecraft.picked_up.obsidian: #2, 5195(14%)
minecraft.mined.prismarine_wall: #1, 46(85%)
minecraft.used.prismarine_wall: #1, 380(85%)
minecraft.mined.player_head: #2, 352(15%)
minecraft.mined.purple_shulker_box: #2, 461(22%)
minecraft.crafted.loom: #2, 98(18%)
minecraft.killed.dolphin: #1, 5(42%)
minecraft.mined.nether_bricks: #2, 5331(18%)
minecraft.crafted.lime_carpet: #1, 546(18%)
minecraft.used.red_mushroom: #1, 113(22%)
minecraft.picked_up.nether_bricks: #2, 5118(18%)
minecraft.mined.red_mushroom_block: #1, 3975(17%)
minecraft.mined.dirt: #2, 113254(11%)
minecraft.mined.brown_mushroom_block: #2, 6848(24%)
minecraft.used.pink_banner: #1, 18(47%)
minecraft.mined.smooth_sandstone_slab: #2, 157(24%)
minecraft.used.crafting_table: #2, 1140(12%)
minecraft.picked_up.music_disc_ward: #1, 83(46%)
minecraft.picked_up.allium: #2, 342(22%)
minecraft.used.hay_block: #2, 468(17%)
minecraft.mined.lime_carpet: #2, 117(23%)
minecraft.picked_up.red_mushroom_block: #1, 3695(22%)
minecraft.mined.orange_carpet: #2, 53(27%)
minecraft.crafted.orange_terracotta: #2, 2040(32%)
minecraft.mined.grass_block: #3, 107197(13%)
minecraft.picked_up.pink_banner: #1, 18(72%)
minecraft.mined.jungle_stairs: #2, 237(23%)
minecraft.picked_up.purple_wool: #2, 1189(19%)
minecraft.crafted.pink_carpet: #2, 312(29%)
minecraft.custom.open_chest: #3, 78678(11%)
minecraft.picked_up.smooth_sandstone_slab: #2, 156(22%)
minecraft.used.carved_pumpkin: #2, 155(21%)
minecraft.mined.jungle_trapdoor: #2, 274(22%)
minecraft.picked_up.orange_carpet: #2, 80(26%)
minecraft.dropped.oak_wood: #1, 18(35%)
minecraft.mined.blue_banner: #1, 24(34%)
minecraft.picked_up.lilac: #2, 388(14%)
minecraft.used.cobblestone_slab: #2, 4555(14%)
minecraft.mined.oak_wall_sign: #2, 411(12%)
minecraft.picked_up.sugar_cane: #2, 25354(13%)
minecraft.dropped.green_glazed_terracotta: #1, 68(50%)
minecraft.mined.seagrass: #2, 2414(12%)
minecraft.dropped.dark_oak_log: #2, 600(17%)
minecraft.dropped.brown_banner: #1, 16(67%)
minecraft.custom.aviate_one_cm: #3, 1185153015(15%)
minecraft.crafted.stone_bricks: #2, 58096(12%)
minecraft.picked_up.stone: #2, 310020(11%)
minecraft.picked_up.iron_leggings: #2, 36(12%)
minecraft.dropped.scute: #1, 11(65%)
minecraft.mined.dandelion: #2, 437(10%)
minecraft.picked_up.jungle_button: #2, 64(37%)
minecraft.mined.black_carpet: #2, 166(16%)
minecraft.picked_up.oak_slab: #2, 1261(12%)
minecraft.picked_up.orange_dye: #2, 259(32%)
minecraft.picked_up.red_dye: #2, 510(18%)
minecraft.mined.obsidian: #3, 4839(15%)
minecraft.used.brown_mushroom: #2, 216(24%)
minecraft.dropped.jungle_trapdoor: #2, 37(28%)
minecraft.used.red_mushroom_block: #2, 1104(22%)
minecraft.crafted.prismarine_wall: #1, 420(61%)
minecraft.used.stone: #2, 95819(11%)
minecraft.picked_up.white_tulip: #2, 237(17%)
minecraft.mined.player_wall_head: #2, 207(12%)
minecraft.picked_up.skeleton_skull: #1, 3(43%)
minecraft.picked_up.smooth_stone_slab: #2, 8525(13%)
minecraft.picked_up.barrel: #2, 237(13%)
minecraft.picked_up.dragon_breath: #1, 90(34%)
minecraft.used.brown_concrete_powder: #2, 1253(17%)
minecraft.dropped.seagrass: #2, 115(22%)
minecraft.crafted.jukebox: #2, 15(24%)
minecraft.used.light_blue_banner: #2, 127(33%)
minecraft.used.quartz_pillar: #2, 2392(13%)
minecraft.crafted.gray_stained_glass: #2, 12120(17%)
minecraft.crafted.prismarine_brick_stairs: #2, 752(29%)
minecraft.used.stone_bricks: #3, 51670(13%)
minecraft.crafted.wheat: #2, 4698(23%)
minecraft.crafted.red_bed: #2, 26(16%)
minecraft.mined.stone_slab: #2, 839(13%)
minecraft.picked_up.brown_concrete: #2, 918(21%)
minecraft.dropped.stripped_jungle_log: #1, 3(25%)
minecraft.picked_up.brown_banner: #1, 36(38%)
minecraft.dropped.music_disc_chirp: #1, 3(75%)
minecraft.picked_up.dark_oak_door: #2, 42(17%)
minecraft.picked_up.stone_slab: #2, 1132(13%)
minecraft.used.oak_planks: #3, 3511(14%)
minecraft.custom.bell_ring: #2, 268(16%)
minecraft.used.gray_wool: #2, 173(14%)
minecraft.used.prismarine_stairs: #2, 325(35%)
