stat, rank, value, (percentage) 
minecraft.dropped.player_head: #6, 154(7%)
minecraft.used.oak_planks: #6, 1590(6%)
minecraft.crafted.stone_stairs: #5, 368(4%)
minecraft.crafted.diamond_block: #6, 651(7%)
minecraft.mined.quartz_pillar: #6, 322(8%)
minecraft.broken.shield: #5, 1(7%)
minecraft.used.acacia_door: #5, 14(6%)
minecraft.mined.mossy_cobblestone_stairs: #5, 8(7%)
minecraft.mined.composter: #6, 36(9%)
minecraft.custom.sprint_one_cm: #7, 162913052(6%)
minecraft.dropped.dark_oak_fence_gate: #5, 5(6%)
minecraft.dropped.lapis_block: #5, 34(7%)
minecraft.picked_up.orange_carpet: #5, 13(4%)
minecraft.killed.dolphin: #5, 1(8%)
minecraft.mined.dark_oak_pressure_plate: #5, 4(5%)
minecraft.picked_up.carrot_on_a_stick: #5, 1(7%)
minecraft.dropped.diamond_block: #6, 140(8%)
minecraft.dropped.cookie: #5, 111(3%)
minecraft.used.green_stained_glass: #5, 164(3%)
minecraft.used.smooth_quartz_stairs: #5, 187(5%)
minecraft.crafted.oak_fence: #6, 762(6%)
minecraft.dropped.dark_oak_trapdoor: #5, 11(4%)
minecraft.picked_up.iron_horse_armor: #5, 1(5%)
minecraft.killed_by.ravager: #5, 10(5%)
minecraft.used.end_rod: #6, 1215(6%)
minecraft.killed.parrot: #5, 1(6%)
minecraft.dropped.lily_pad: #5, 15(4%)
minecraft.dropped.acacia_trapdoor: #5, 8(5%)
minecraft.crafted.iron_helmet: #6, 22(6%)
minecraft.picked_up.lever: #6, 352(6%)
minecraft.used.birch_slab: #5, 903(2%)
minecraft.picked_up.oak_log: #6, 7030(5%)
minecraft.crafted.granite_stairs: #5, 8(8%)
minecraft.dropped.polished_andesite_slab: #5, 26(5%)
minecraft.mined.coal_ore: #6, 12431(6%)
minecraft.mined.snow_block: #6, 762(8%)
minecraft.dropped.lantern: #5, 12(4%)
minecraft.crafted.mossy_cobblestone_stairs: #5, 24(6%)
minecraft.crafted.red_banner: #5, 42(3%)
minecraft.mined.oak_planks: #6, 970(6%)
minecraft.broken.stone_axe: #5, 3(5%)
minecraft.killed.sheep: #6, 114(6%)
minecraft.used.pumpkin_seeds: #5, 99(2%)
minecraft.mined.stone_stairs: #6, 96(8%)
minecraft.picked_up.wet_sponge: #6, 1031(8%)
minecraft.mined.gray_concrete: #6, 6657(7%)
minecraft.dropped.acacia_door: #5, 2(5%)
minecraft.used.cocoa_beans: #6, 1280(7%)
minecraft.mined.dark_oak_slab: #6, 595(6%)
minecraft.dropped.written_book: #6, 72(5%)
minecraft.picked_up.cooked_cod: #5, 1680(2%)
minecraft.broken.iron_hoe: #5, 1(6%)
minecraft.used.mossy_cobblestone_stairs: #5, 20(5%)
minecraft.used.white_glazed_terracotta: #5, 33(5%)
minecraft.mined.red_wall_banner: #5, 8(3%)
minecraft.killed.creeper: #6, 425(5%)
minecraft.picked_up.cookie: #6, 253(7%)
minecraft.killed.llama: #5, 1(6%)
minecraft.killed.zombie_pigman: #5, 226(2%)
minecraft.used.dead_bush: #5, 11(4%)
minecraft.used.magenta_stained_glass_pane: #5, 71(3%)
minecraft.custom.crouch_one_cm: #7, 13864820(5%)
minecraft.picked_up.pink_carpet: #5, 9(4%)
minecraft.crafted.barrel: #6, 219(6%)
minecraft.used.acacia_fence: #5, 37(2%)
minecraft.mined.green_stained_glass: #5, 13(2%)
minecraft.used.jungle_leaves: #6, 677(7%)
minecraft.mined.daylight_detector: #5, 7(3%)
minecraft.dropped.orange_terracotta: #5, 74(2%)
minecraft.picked_up.daylight_detector: #5, 8(3%)
minecraft.used.granite_stairs: #5, 4(4%)
minecraft.dropped.note_block: #5, 5(3%)
minecraft.dropped.birch_log: #6, 198(7%)
minecraft.killed.villager: #5, 26(2%)
minecraft.dropped.orange_tulip: #5, 10(3%)
minecraft.crafted.yellow_terracotta: #5, 264(3%)
minecraft.crafted.yellow_wool: #5, 128(2%)
minecraft.picked_up.turtle_egg: #5, 32(4%)
minecraft.mined.green_wool: #5, 11(3%)
minecraft.used.cyan_bed: #5, 12(2%)
minecraft.crafted.flint_and_steel: #6, 24(5%)
minecraft.mined.oak_log: #6, 5680(4%)
minecraft.picked_up.writable_book: #6, 33(6%)
minecraft.mined.cyan_bed: #5, 9(2%)
minecraft.dropped.red_banner: #5, 3(3%)
minecraft.dropped.grass_block: #6, 2163(6%)
minecraft.mined.dead_tube_coral_block: #5, 13(2%)
minecraft.used.dirt: #6, 30391(4%)
minecraft.used.birch_button: #5, 121(1%)
minecraft.dropped.red_concrete_powder: #5, 2(3%)
minecraft.picked_up.gunpowder: #7, 2220(8%)
minecraft.picked_up.cyan_bed: #5, 8(2%)
minecraft.picked_up.orange_wool: #5, 98(1%)
minecraft.crafted.diorite_slab: #5, 6(4%)
minecraft.crafted.cooked_mutton: #5, 28(1%)
minecraft.used.mutton: #5, 1(4%)
minecraft.dropped.nether_brick_stairs: #5, 8(2%)
minecraft.mined.dead_fire_coral_block: #5, 22(2%)
minecraft.mined.magma_block: #6, 1317(5%)
minecraft.crafted.white_glazed_terracotta: #5, 24(2%)
minecraft.picked_up.clock: #6, 6(7%)
minecraft.custom.damage_dealt: #7, 1311407(6%)
minecraft.used.magenta_banner: #5, 2(3%)
minecraft.dropped.light_gray_terracotta: #5, 57(1%)
minecraft.used.polished_diorite_slab: #5, 57(2%)
minecraft.picked_up.sandstone_wall: #5, 4(2%)
minecraft.dropped.red_mushroom_block: #5, 43(2%)
minecraft.used.magenta_carpet: #5, 16(2%)
minecraft.dropped.cooked_beef: #6, 112(5%)
minecraft.picked_up.beetroot: #6, 106(7%)
minecraft.picked_up.stone_pickaxe: #6, 6(7%)
minecraft.dropped.jungle_log: #5, 64(1%)
minecraft.dropped.shield: #6, 6(8%)
minecraft.used.spruce_button: #6, 74(6%)
minecraft.picked_up.gold_ingot: #6, 617(5%)
minecraft.crafted.suspicious_stew: #5, 6(2%)
minecraft.crafted.green_dye: #6, 3541(5%)
minecraft.dropped.brown_terracotta: #5, 32(1%)
minecraft.used.cobblestone_stairs: #6, 652(5%)
minecraft.dropped.birch_pressure_plate: #5, 1(2%)
minecraft.mined.orange_bed: #5, 1(1%)
minecraft.picked_up.brown_concrete: #6, 400(9%)
minecraft.mined.obsidian: #6, 1359(4%)
minecraft.crafted.magenta_bed: #5, 1(2%)
minecraft.used.purple_stained_glass_pane: #6, 152(7%)
minecraft.used.composter: #6, 58(6%)
minecraft.crafted.brown_terracotta: #5, 108(1%)
minecraft.crafted.iron_hoe: #6, 5(7%)
minecraft.used.brick_wall: #5, 16(1%)
minecraft.picked_up.diorite_wall: #5, 2(1%)
minecraft.dropped.mushroom_stem: #5, 6(1%)
minecraft.mined.cobblestone_slab: #6, 319(5%)
minecraft.crafted.polished_diorite_stairs: #5, 8(1%)
minecraft.used.potion: #6, 59(5%)
minecraft.mined.dead_bubble_coral_block: #5, 4(1%)
minecraft.crafted.cobblestone_slab: #6, 1890(5%)
minecraft.mined.cornflower: #6, 55(7%)
minecraft.picked_up.diamond: #7, 3729(7%)
minecraft.crafted.cut_sandstone_slab: #5, 6(1%)
minecraft.dropped.gray_stained_glass: #5, 7(0%)
minecraft.mined.orange_concrete: #6, 704(6%)
minecraft.mined.lapis_ore: #6, 693(4%)
minecraft.picked_up.splash_potion: #6, 20(6%)
minecraft.killed.pillager: #5, 128(0%)
minecraft.mined.player_head: #6, 101(4%)
minecraft.mined.diamond_block: #6, 169(5%)
minecraft.crafted.sandstone_wall: #5, 6(0%)
minecraft.killed.witch: #5, 27(0%)
minecraft.killed.cod: #6, 72(5%)
minecraft.crafted.pink_terracotta: #5, 8(0%)
minecraft.used.pink_stained_glass: #5, 1(0%)
minecraft.killed.vindicator: #5, 33(0%)
minecraft.mined.spruce_sign: #6, 5(8%)
minecraft.crafted.torch: #7, 17724(8%)
minecraft.used.cooked_porkchop: #6, 34(5%)
minecraft.used.quartz_pillar: #6, 893(5%)
minecraft.used.oxeye_daisy: #6, 13(7%)
minecraft.used.jungle_planks: #6, 218(7%)
minecraft.picked_up.diamond_block: #6, 235(4%)
minecraft.picked_up.cut_sandstone: #6, 148(5%)
minecraft.picked_up.bricks: #6, 412(6%)
minecraft.picked_up.yellow_carpet: #6, 76(5%)
minecraft.used.diamond_pickaxe: #7, 788758(7%)
minecraft.dropped.shears: #6, 16(5%)
minecraft.broken.golden_helmet: #6, 1(11%)
minecraft.crafted.red_stained_glass_pane: #6, 416(6%)
minecraft.picked_up.book: #6, 463(4%)
minecraft.broken.stone_pickaxe: #6, 4(5%)
minecraft.crafted.black_concrete_powder: #6, 6717(5%)
minecraft.used.beetroot_seeds: #6, 73(5%)
minecraft.mined.birch_pressure_plate: #6, 8(5%)
minecraft.mined.black_concrete: #6, 4330(4%)
minecraft.used.salmon_bucket: #6, 4(5%)
minecraft.dropped.arrow: #6, 1070(3%)
minecraft.dropped.spruce_sapling: #6, 76(5%)
minecraft.crafted.iron_leggings: #7, 23(7%)
minecraft.used.black_concrete: #6, 4185(4%)
minecraft.crafted.iron_ingot: #7, 26800(7%)
minecraft.picked_up.birch_slab: #6, 220(4%)
minecraft.used.yellow_terracotta: #6, 311(5%)
minecraft.picked_up.white_bed: #7, 192(7%)
minecraft.used.bamboo: #6, 462(5%)
minecraft.picked_up.cobweb: #6, 423(4%)
minecraft.mined.azure_bluet: #6, 56(3%)
minecraft.crafted.bookshelf: #6, 343(3%)
minecraft.used.yellow_concrete_powder: #6, 1056(4%)
minecraft.custom.sneak_time: #8, 4053052(5%)
minecraft.killed_by.vindicator: #6, 2(6%)
minecraft.used.orange_stained_glass: #6, 110(4%)
minecraft.dropped.purpur_stairs: #6, 11(6%)
minecraft.picked_up.brown_carpet: #6, 69(4%)
minecraft.picked_up.totem_of_undying: #6, 17(3%)
minecraft.dropped.coarse_dirt: #6, 74(4%)
minecraft.mined.smooth_quartz_slab: #6, 160(5%)
minecraft.crafted.cooked_beef: #6, 349(3%)
minecraft.crafted.brown_carpet: #6, 228(5%)
minecraft.dropped.oak_sign: #7, 112(7%)
minecraft.picked_up.lime_concrete: #6, 578(4%)
minecraft.dropped.snowball: #6, 183(4%)
minecraft.dropped.gray_concrete: #6, 70(5%)
minecraft.picked_up.sandstone_stairs: #7, 233(8%)
minecraft.picked_up.jungle_sapling: #6, 95(3%)
minecraft.dropped.cactus: #6, 893(3%)
minecraft.picked_up.quartz_stairs: #7, 843(7%)
minecraft.dropped.stone_pickaxe: #6, 4(3%)
minecraft.mined.granite: #7, 16545(6%)
minecraft.picked_up.smooth_quartz_slab: #6, 201(4%)
minecraft.killed.zombie_villager: #7, 23(6%)
minecraft.picked_up.chest: #7, 1439(6%)
minecraft.used.wooden_shovel: #6, 48(5%)
minecraft.killed.ravager: #6, 3(4%)
minecraft.mined.andesite: #7, 20439(6%)
minecraft.used.stone_slab: #6, 845(3%)
minecraft.picked_up.name_tag: #7, 60(6%)
minecraft.crafted.brown_shulker_box: #6, 5(3%)
minecraft.used.red_mushroom: #6, 22(4%)
minecraft.dropped.sandstone_stairs: #6, 19(4%)
minecraft.crafted.bone_block: #6, 1810(2%)
minecraft.dropped.pumpkin: #6, 163(3%)
minecraft.mined.sugar_cane: #6, 1594(2%)
minecraft.used.acacia_sign: #6, 2(6%)
minecraft.picked_up.purple_carpet: #6, 17(4%)
minecraft.used.oak_sapling: #7, 1302(5%)
minecraft.dropped.slime_ball: #6, 201(2%)
minecraft.crafted.end_rod: #6, 520(3%)
minecraft.crafted.birch_slab: #6, 948(2%)
minecraft.dropped.dark_oak_fence: #6, 17(3%)
minecraft.mined.carved_pumpkin: #6, 225(3%)
minecraft.picked_up.iron_block: #7, 3237(6%)
minecraft.crafted.wooden_pickaxe: #6, 4(2%)
minecraft.picked_up.dragon_egg: #6, 1(5%)
minecraft.dropped.bamboo: #6, 667(3%)
minecraft.picked_up.diamond_chestplate: #7, 15(7%)
minecraft.mined.dirt: #7, 46512(4%)
minecraft.picked_up.rotten_flesh: #7, 4394(4%)
minecraft.mined.purple_bed: #6, 9(4%)
minecraft.picked_up.conduit: #6, 3(3%)
minecraft.picked_up.dark_oak_pressure_plate: #6, 5(3%)
minecraft.used.blue_concrete: #6, 197(2%)
minecraft.used.orange_wool: #6, 54(3%)
minecraft.crafted.dark_oak_trapdoor: #7, 546(6%)
minecraft.mined.tall_grass: #6, 1(5%)
minecraft.picked_up.mossy_cobblestone_stairs: #6, 7(5%)
minecraft.mined.pumpkin_stem: #6, 13(3%)
minecraft.mined.kelp: #7, 951(5%)
minecraft.mined.cyan_wall_banner: #6, 1(5%)
minecraft.mined.quartz_stairs: #7, 568(6%)
minecraft.picked_up.written_book: #7, 105(5%)
minecraft.used.orange_stained_glass_pane: #6, 106(2%)
minecraft.picked_up.anvil: #7, 66(6%)
minecraft.used.dark_oak_pressure_plate: #6, 9(3%)
minecraft.used.spruce_wood: #6, 139(2%)
minecraft.mined.infested_stone: #7, 93(7%)
minecraft.mined.red_stained_glass_pane: #6, 32(3%)
minecraft.used.crafting_table: #7, 450(5%)
minecraft.dropped.stone_stairs: #6, 19(3%)
minecraft.mined.green_carpet: #6, 8(2%)
minecraft.used.dark_oak_trapdoor: #7, 538(6%)
minecraft.crafted.jack_o_lantern: #6, 128(2%)
minecraft.used.oak_sign: #7, 767(5%)
minecraft.used.purpur_pillar: #6, 29(2%)
minecraft.picked_up.jungle_sign: #6, 5(4%)
minecraft.mined.andesite_slab: #6, 20(3%)
minecraft.picked_up.acacia_door: #6, 7(4%)
minecraft.used.hay_block: #6, 40(1%)
minecraft.picked_up.fern: #6, 107(2%)
minecraft.crafted.magenta_stained_glass_pane: #6, 64(3%)
minecraft.mined.oxeye_daisy: #7, 63(5%)
minecraft.picked_up.andesite_slab: #6, 18(2%)
minecraft.crafted.andesite_stairs: #6, 24(3%)
minecraft.dropped.ender_pearl: #6, 261(1%)
minecraft.crafted.spruce_wood: #6, 111(2%)
minecraft.mined.loom: #7, 9(6%)
minecraft.dropped.dark_oak_sapling: #6, 4(2%)
minecraft.mined.birch_stairs: #6, 81(1%)
minecraft.custom.walk_one_cm: #8, 164993635(5%)
minecraft.crafted.green_terracotta: #6, 820(2%)
minecraft.picked_up.string: #7, 2228(4%)
minecraft.picked_up.nether_brick_fence: #7, 85(8%)
minecraft.crafted.cooked_chicken: #6, 92(1%)
minecraft.picked_up.magenta_banner: #6, 2(3%)
minecraft.dropped.light_gray_shulker_box: #6, 1(2%)
minecraft.picked_up.spruce_sign: #7, 50(6%)
minecraft.picked_up.spruce_trapdoor: #7, 446(5%)
minecraft.dropped.wooden_sword: #6, 4(3%)
minecraft.picked_up.pink_wool: #6, 99(1%)
minecraft.used.campfire: #7, 92(7%)
minecraft.picked_up.kelp: #7, 19429(5%)
minecraft.mined.iron_ore: #7, 5616(5%)
minecraft.mined.green_concrete_powder: #6, 26(1%)
minecraft.picked_up.oak_pressure_plate: #7, 26(6%)
minecraft.killed_by.zombie: #6, 5(1%)
minecraft.picked_up.loom: #7, 9(6%)
minecraft.picked_up.iron_ore: #7, 5682(5%)
minecraft.killed.enderman: #6, 225(1%)
minecraft.picked_up.birch_button: #6, 95(1%)
minecraft.used.magenta_stained_glass: #6, 46(1%)
minecraft.picked_up.dead_fire_coral_block: #6, 20(1%)
minecraft.picked_up.light_blue_carpet: #6, 13(1%)
minecraft.used.green_terracotta: #6, 451(1%)
minecraft.used.magenta_concrete: #6, 35(1%)
minecraft.dropped.bucket: #7, 31(5%)
minecraft.used.gravel: #7, 2489(5%)
minecraft.crafted.cyan_wool: #6, 3(2%)
minecraft.picked_up.bone: #7, 3117(4%)
minecraft.used.dead_bubble_coral_block: #6, 4(2%)
minecraft.crafted.hay_block: #6, 49(1%)
minecraft.picked_up.orange_bed: #6, 1(1%)
minecraft.mined.sandstone: #7, 10767(4%)
minecraft.used.fern: #6, 28(1%)
minecraft.mined.light_blue_wall_banner: #6, 1(1%)
minecraft.mined.black_stained_glass_pane: #6, 17(1%)
minecraft.mined.end_rod: #7, 432(5%)
minecraft.used.dead_fire_coral_block: #6, 13(1%)
minecraft.picked_up.orange_glazed_terracotta: #6, 21(1%)
minecraft.dropped.light_blue_carpet: #6, 1(1%)
minecraft.used.kelp: #7, 1526(4%)
minecraft.used.jungle_log: #7, 433(4%)
minecraft.picked_up.white_glazed_terracotta: #6, 17(1%)
minecraft.used.pink_stained_glass_pane: #6, 4(1%)
minecraft.killed.cave_spider: #6, 44(0%)
minecraft.crafted.melon: #6, 700(1%)
minecraft.dropped.spectral_arrow: #6, 3(1%)
minecraft.crafted.spruce_button: #7, 82(6%)
minecraft.crafted.redstone: #7, 10273(5%)
minecraft.mined.gray_terracotta: #6, 21(0%)
minecraft.crafted.black_bed: #6, 1(0%)
minecraft.killed.turtle: #6, 2(0%)
minecraft.mined.spruce_trapdoor: #7, 344(4%)
minecraft.crafted.light_gray_carpet: #7, 876(5%)
minecraft.picked_up.scaffolding: #7, 5324(5%)
minecraft.used.yellow_shulker_box: #7, 368(5%)
minecraft.used.pink_terracotta: #6, 5(0%)
minecraft.used.oak_fence_gate: #7, 70(5%)
minecraft.mined.polished_diorite_stairs: #6, 1(0%)
minecraft.mined.wither_rose: #6, 1(0%)
minecraft.dropped.chiseled_stone_bricks: #6, 2(0%)
minecraft.used.scaffolding: #7, 5392(5%)
minecraft.mined.note_block: #7, 60(6%)
minecraft.mined.oak_trapdoor: #7, 137(4%)
minecraft.picked_up.spruce_log: #7, 8400(4%)
minecraft.used.polished_diorite_stairs: #6, 1(0%)
minecraft.used.brown_stained_glass: #6, 1(0%)
minecraft.picked_up.wither_rose: #6, 1(0%)
minecraft.picked_up.yellow_shulker_box: #7, 365(5%)
minecraft.picked_up.oak_button: #7, 31(5%)
minecraft.crafted.sticky_piston: #7, 412(4%)
minecraft.picked_up.spruce_sapling: #7, 831(4%)
minecraft.mined.yellow_shulker_box: #7, 342(4%)
minecraft.picked_up.redstone_lamp: #7, 154(5%)
minecraft.picked_up.chipped_anvil: #7, 22(6%)
minecraft.used.red_wool: #7, 235(5%)
minecraft.used.grass: #7, 115(7%)
minecraft.used.sticky_piston: #7, 551(4%)
minecraft.used.note_block: #7, 144(4%)
minecraft.picked_up.slime_block: #7, 558(4%)
minecraft.mined.spruce_log: #7, 6941(4%)
minecraft.crafted.oak_fence_gate: #7, 61(4%)
minecraft.mined.sticky_piston: #7, 232(4%)
minecraft.picked_up.beacon: #7, 29(5%)
minecraft.picked_up.oak_leaves: #7, 4373(4%)
minecraft.used.sugar_cane: #7, 1160(4%)
minecraft.used.spruce_log: #7, 1411(4%)
minecraft.dropped.cobblestone_stairs: #7, 85(5%)
minecraft.mined.yellow_concrete: #7, 820(5%)
minecraft.picked_up.cod: #7, 3810(3%)
minecraft.used.slime_block: #7, 700(4%)
minecraft.crafted.lectern: #7, 29(5%)
minecraft.crafted.spruce_fence: #7, 789(4%)
minecraft.mined.scaffolding: #7, 1524(4%)
minecraft.crafted.black_wool: #7, 131(5%)
minecraft.dropped.purpur_slab: #7, 21(6%)
minecraft.mined.enchanting_table: #7, 4(5%)
minecraft.picked_up.enchanting_table: #7, 4(5%)
minecraft.used.observer: #7, 792(4%)
minecraft.used.yellow_concrete: #7, 681(5%)
minecraft.picked_up.chainmail_leggings: #7, 6(4%)
minecraft.used.chipped_anvil: #7, 16(5%)
minecraft.used.bone_meal: #7, 3853(3%)
minecraft.mined.gold_ore: #7, 874(3%)
minecraft.mined.chipped_anvil: #7, 17(5%)
minecraft.mined.slime_block: #7, 366(4%)
minecraft.dropped.red_dye: #7, 42(6%)
minecraft.picked_up.snow_block: #7, 430(4%)
minecraft.mined.cut_sandstone: #7, 119(4%)
minecraft.mined.red_mushroom: #7, 35(5%)
minecraft.used.sea_lantern: #7, 2262(3%)
minecraft.picked_up.cooked_beef: #7, 572(3%)
minecraft.mined.dragon_wall_head: #7, 8(6%)
minecraft.crafted.quartz_pillar: #7, 684(4%)
minecraft.used.red_banner: #7, 51(5%)
minecraft.crafted.gray_carpet: #7, 783(4%)
minecraft.crafted.gold_ingot: #7, 5152(3%)
minecraft.mined.black_wool: #7, 71(4%)
minecraft.dropped.gold_block: #7, 52(5%)
minecraft.killed.squid: #7, 103(3%)
minecraft.dropped.glass: #7, 350(3%)
minecraft.picked_up.black_wool: #7, 178(3%)
minecraft.used.flint_and_steel: #7, 140(3%)
minecraft.used.cyan_carpet: #7, 40(4%)
minecraft.dropped.coal_block: #7, 38(5%)
minecraft.picked_up.dark_oak_log: #7, 3350(2%)
minecraft.dropped.furnace: #7, 16(3%)
minecraft.picked_up.pumpkin_seeds: #7, 927(3%)
minecraft.used.yellow_carpet: #7, 124(3%)
minecraft.broken.shears: #7, 29(2%)
minecraft.picked_up.stone_sword: #7, 27(2%)
minecraft.picked_up.rose_bush: #7, 281(2%)
minecraft.mined.magenta_stained_glass: #7, 23(4%)
minecraft.picked_up.golden_apple: #7, 17(3%)
minecraft.picked_up.red_banner: #7, 24(4%)
minecraft.picked_up.pumpkin: #7, 797(2%)
minecraft.mined.birch_slab: #7, 105(3%)
minecraft.crafted.name_tag: #7, 21(3%)
minecraft.custom.swim_one_cm: #8, 12906234(5%)
minecraft.used.pink_concrete: #7, 32(4%)
minecraft.picked_up.clay: #7, 183(3%)
minecraft.killed_by.creeper: #8, 8(6%)
minecraft.used.rose_bush: #7, 26(2%)
minecraft.dropped.iron_hoe: #7, 1(5%)
minecraft.picked_up.purple_banner: #7, 3(4%)
minecraft.crafted.acacia_boat: #7, 3(4%)
minecraft.picked_up.andesite_wall: #7, 14(3%)
minecraft.used.brown_carpet: #7, 142(3%)
minecraft.used.lime_banner: #7, 4(3%)
minecraft.custom.sleep_in_bed: #8, 1568(4%)
minecraft.mined.red_banner: #7, 8(4%)
minecraft.mined.iron_trapdoor: #7, 128(2%)
minecraft.picked_up.carved_pumpkin: #7, 245(2%)
minecraft.mined.purple_wool: #7, 32(3%)
minecraft.dropped.enchanted_book: #7, 13(2%)
minecraft.used.bricks: #7, 698(3%)
minecraft.used.iron_sword: #8, 917(5%)
minecraft.mined.oak_leaves: #8, 7598(4%)
minecraft.killed.snow_golem: #7, 4(3%)
minecraft.picked_up.wooden_hoe: #7, 1(4%)
minecraft.crafted.smooth_quartz_slab: #7, 286(3%)
minecraft.crafted.smoker: #7, 21(2%)
minecraft.crafted.green_stained_glass: #7, 192(3%)
minecraft.used.diamond_hoe: #7, 653(3%)
minecraft.used.acacia_slab: #7, 45(3%)
minecraft.mined.green_stained_glass_pane: #7, 7(4%)
minecraft.picked_up.light_blue_bed: #7, 11(3%)
minecraft.crafted.slime_ball: #7, 477(2%)
minecraft.picked_up.dispenser: #8, 173(6%)
minecraft.used.spruce_fence_gate: #7, 107(2%)
minecraft.dropped.spruce_stairs: #7, 58(2%)
minecraft.used.cookie: #7, 21(2%)
minecraft.used.light_blue_bed: #7, 11(2%)
minecraft.mined.lime_concrete_powder: #7, 5(3%)
minecraft.crafted.orange_stained_glass_pane: #7, 128(2%)
minecraft.picked_up.dead_bush: #7, 25(3%)
minecraft.used.birch_leaves: #7, 145(2%)
minecraft.picked_up.birch_stairs: #7, 121(2%)
minecraft.crafted.black_terracotta: #7, 440(2%)
minecraft.crafted.polished_andesite_stairs: #7, 136(3%)
minecraft.mined.purple_stained_glass_pane: #7, 5(2%)
minecraft.picked_up.golden_sword: #7, 11(2%)
minecraft.picked_up.dead_tube_coral_block: #7, 21(2%)
minecraft.used.purple_bed: #7, 7(2%)
minecraft.crafted.dark_oak_fence_gate: #7, 34(2%)
minecraft.custom.open_enderchest: #8, 4029(4%)
minecraft.dropped.birch_sapling: #7, 18(1%)
minecraft.mined.allium: #7, 15(2%)
minecraft.picked_up.dirt: #8, 48110(4%)
minecraft.crafted.cooked_porkchop: #7, 56(1%)
minecraft.picked_up.purple_bed: #7, 6(2%)
minecraft.dropped.charcoal: #7, 2(2%)
minecraft.mined.light_blue_bed: #7, 7(2%)
minecraft.crafted.light_gray_bed: #7, 1(3%)
minecraft.mined.lime_terracotta: #7, 129(1%)
minecraft.picked_up.acacia_trapdoor: #7, 23(1%)
minecraft.picked_up.lime_terracotta: #7, 139(1%)
minecraft.crafted.tnt: #7, 401(1%)
minecraft.dropped.yellow_terracotta: #7, 67(2%)
minecraft.custom.interact_with_furnace: #8, 3533(4%)
minecraft.dropped.sticky_piston: #7, 8(2%)
minecraft.picked_up.lantern: #8, 217(6%)
minecraft.mined.blue_bed: #7, 5(2%)
minecraft.mined.sandstone_stairs: #8, 145(6%)
minecraft.crafted.loom: #7, 5(1%)
minecraft.crafted.wooden_sword: #7, 3(1%)
minecraft.picked_up.stone: #8, 122289(5%)
minecraft.picked_up.oak_sapling: #8, 1490(4%)
minecraft.dropped.white_tulip: #7, 4(2%)
minecraft.picked_up.red_stained_glass_pane: #7, 19(1%)
minecraft.mined.potted_poppy: #7, 1(2%)
minecraft.used.bucket: #8, 3412(5%)
minecraft.mined.oak_wall_sign: #8, 156(5%)
minecraft.mined.piston: #8, 216(5%)
minecraft.dropped.dried_kelp: #7, 67(1%)
minecraft.used.purple_terracotta: #7, 48(2%)
minecraft.dropped.quartz_block: #7, 181(1%)
minecraft.used.red_stained_glass: #7, 167(1%)
minecraft.used.dispenser: #8, 186(5%)
minecraft.dropped.birch_fence_gate: #7, 1(2%)
minecraft.dropped.red_stained_glass: #7, 4(1%)
minecraft.used.piston: #8, 551(5%)
minecraft.picked_up.black_stained_glass_pane: #7, 16(1%)
minecraft.crafted.mossy_cobblestone_slab: #7, 6(1%)
minecraft.used.andesite_slab: #7, 78(1%)
minecraft.used.light_blue_carpet: #7, 11(1%)
minecraft.dropped.brown_carpet: #7, 2(1%)
minecraft.dropped.heavy_weighted_pressure_plate: #7, 2(1%)
minecraft.mined.pink_carpet: #7, 2(1%)
minecraft.used.stone: #8, 37147(4%)
minecraft.used.red_glazed_terracotta: #7, 10(1%)
minecraft.dropped.brown_concrete: #7, 1(1%)
minecraft.picked_up.sandstone: #8, 10576(4%)
minecraft.killed_by.guardian: #7, 2(1%)
minecraft.dropped.gunpowder: #8, 442(5%)
minecraft.picked_up.redstone_block: #8, 680(5%)
minecraft.dropped.dark_prismarine_slab: #7, 1(1%)
minecraft.dropped.dropper: #7, 5(1%)
minecraft.picked_up.dead_bubble_coral_block: #7, 6(1%)
minecraft.picked_up.magenta_concrete: #7, 20(1%)
minecraft.mined.tripwire: #8, 134(5%)
minecraft.picked_up.gold_nugget: #7, 1170(0%)
minecraft.dropped.red_carpet: #7, 2(1%)
minecraft.picked_up.wooden_sword: #7, 2(1%)
minecraft.crafted.pink_wool: #7, 3(1%)
minecraft.dropped.orange_dye: #7, 1(1%)
minecraft.picked_up.magenta_wool: #7, 27(0%)
minecraft.dropped.prismarine_bricks: #7, 31(1%)
minecraft.used.lime_terracotta: #7, 491(0%)
minecraft.mined.light_gray_glazed_terracotta: #7, 2(1%)
minecraft.custom.inspect_hopper: #8, 2137(4%)
minecraft.dropped.andesite_slab: #7, 1(0%)
minecraft.used.water_bucket: #8, 2786(4%)
minecraft.dropped.black_dye: #7, 6(0%)
minecraft.mined.acacia_stairs: #7, 2(0%)
minecraft.dropped.nether_brick_fence: #7, 1(0%)
minecraft.picked_up.acacia_stairs: #7, 2(0%)
minecraft.picked_up.melon: #7, 18(0%)
minecraft.picked_up.rail: #8, 2784(4%)
minecraft.mined.black_bed: #7, 1(0%)
minecraft.used.dried_kelp_block: #7, 19(0%)
minecraft.mined.pink_terracotta: #7, 1(0%)
minecraft.picked_up.pink_terracotta: #7, 1(0%)
minecraft.picked_up.iron_door: #8, 40(5%)
minecraft.killed.evoker: #7, 3(0%)
minecraft.used.white_stained_glass: #8, 5612(5%)
