stat, rank, value, (percentage) 
minecraft.crafted.light_weighted_pressure_plate: #1, 32(25%)
minecraft.mined.activator_rail: #1, 34(19%)
minecraft.picked_up.light_gray_concrete_powder: #2, 4859(18%)
minecraft.picked_up.pink_dye: #1, 103(23%)
minecraft.used.yellow_stained_glass: #2, 1138(18%)
minecraft.picked_up.diamond_sword: #2, 197(13%)
minecraft.crafted.cyan_stained_glass_pane: #1, 464(19%)
minecraft.crafted.diamond_axe: #2, 24(13%)
minecraft.crafted.black_dye: #2, 4893(18%)
minecraft.custom.fall_one_cm: #3, 29820335(12%)
minecraft.dropped.snow: #2, 1760(23%)
minecraft.mined.cyan_stained_glass_pane: #1, 52(22%)
minecraft.dropped.item_frame: #2, 204(23%)
minecraft.used.music_disc_stal: #1, 9(47%)
minecraft.picked_up.purple_dye: #1, 66(29%)
minecraft.dropped.rabbit: #1, 9(29%)
minecraft.used.diamond_shovel: #2, 615040(13%)
minecraft.picked_up.green_concrete: #2, 2606(19%)
minecraft.crafted.stone_hoe: #2, 20(16%)
minecraft.mined.dark_oak_stairs: #2, 818(14%)
minecraft.mined.snow: #2, 29776(15%)
minecraft.used.horn_coral_block: #2, 301(21%)
minecraft.broken.flint_and_steel: #1, 9(31%)
minecraft.picked_up.magenta_terracotta: #1, 286(27%)
minecraft.picked_up.torch: #2, 19679(11%)
minecraft.used.golden_carrot: #2, 6787(12%)
minecraft.mined.magenta_terracotta: #1, 296(30%)
minecraft.mined.potted_fern: #1, 11(42%)
minecraft.picked_up.black_dye: #2, 871(35%)
minecraft.killed.husk: #2, 166(17%)
minecraft.used.dark_oak_stairs: #2, 3078(13%)
minecraft.mined.green_concrete: #2, 2481(18%)
minecraft.crafted.diamond_pickaxe: #2, 72(13%)
minecraft.picked_up.map: #2, 150(28%)
minecraft.picked_up.diorite_stairs: #1, 51(51%)
minecraft.dropped.trident: #2, 30(15%)
minecraft.used.coarse_dirt: #2, 7639(14%)
minecraft.dropped.ender_chest: #1, 15(13%)
minecraft.custom.damage_taken: #3, 844312(11%)
minecraft.picked_up.quartz_slab: #2, 2683(14%)
minecraft.crafted.yellow_dye: #2, 4094(15%)
minecraft.dropped.blue_concrete_powder: #1, 392(97%)
minecraft.used.gray_glazed_terracotta: #1, 22(28%)
minecraft.used.red_terracotta: #2, 5108(17%)
minecraft.picked_up.chicken: #2, 616(12%)
minecraft.picked_up.birch_sign: #2, 139(13%)
minecraft.dropped.brown_stained_glass_pane: #1, 22(96%)
minecraft.mined.potted_dandelion: #1, 3(27%)
minecraft.picked_up.light_gray_wool: #3, 1396(19%)
minecraft.used.pink_wool: #2, 291(19%)
minecraft.picked_up.flower_pot: #2, 168(15%)
minecraft.broken.diamond_pickaxe: #2, 15(17%)
minecraft.dropped.baked_potato: #2, 388(15%)
minecraft.picked_up.gray_stained_glass_pane: #2, 619(24%)
minecraft.picked_up.composter: #2, 85(17%)
minecraft.custom.open_barrel: #2, 4641(13%)
minecraft.used.light_gray_stained_glass: #2, 5708(16%)
minecraft.mined.oak_sign: #2, 110(12%)
minecraft.used.golden_sword: #1, 6(60%)
minecraft.picked_up.quartz: #2, 48797(12%)
minecraft.picked_up.white_stained_glass_pane: #2, 1263(14%)
minecraft.dropped.pink_concrete_powder: #1, 448(90%)
minecraft.mined.yellow_stained_glass_pane: #2, 104(23%)
minecraft.used.diorite_slab: #1, 105(43%)
minecraft.crafted.quartz_block: #2, 11631(11%)
minecraft.picked_up.bucket: #2, 141(12%)
minecraft.dropped.stripped_spruce_wood: #1, 4(33%)
minecraft.killed_by.cave_spider: #1, 2(33%)
minecraft.dropped.gold_ingot: #2, 627(15%)
minecraft.crafted.white_carpet: #3, 3030(16%)
minecraft.used.glowstone: #2, 1544(12%)
minecraft.dropped.stone_button: #2, 715(14%)
minecraft.used.white_carpet: #3, 2917(15%)
minecraft.dropped.spruce_slab: #3, 366(16%)
minecraft.dropped.potato: #3, 3146(18%)
minecraft.crafted.red_dye: #2, 4971(13%)
minecraft.broken.diamond_helmet: #1, 2(50%)
