stat, rank, value, (percentage) 
minecraft.mined.acacia_fence: #1, 834(57%)
minecraft.used.birch_slab: #1, 15812(37%)
minecraft.used.stripped_acacia_log: #1, 1759(73%)
minecraft.picked_up.acacia_log: #1, 23187(33%)
minecraft.crafted.light_blue_bed: #1, 44(67%)
minecraft.used.beacon: #1, 303(37%)
minecraft.picked_up.acacia_fence: #1, 806(56%)
minecraft.mined.lever: #1, 701(33%)
minecraft.picked_up.glowstone: #1, 6674(37%)
minecraft.used.andesite_wall: #1, 1994(52%)
minecraft.picked_up.birch_stairs: #1, 3021(43%)
minecraft.mined.daylight_detector: #1, 185(73%)
minecraft.used.bow: #1, 20168(30%)
minecraft.mined.player_wall_head: #1, 544(31%)
minecraft.crafted.blaze_powder: #1, 2846(33%)
minecraft.picked_up.ender_chest: #1, 4550(30%)
minecraft.picked_up.lime_glazed_terracotta: #1, 1946(90%)
minecraft.mined.emerald_block: #1, 481(40%)
minecraft.crafted.magenta_terracotta: #1, 6616(90%)
minecraft.picked_up.chorus_fruit: #1, 8038(42%)
minecraft.picked_up.red_terracotta: #1, 37608(38%)
minecraft.mined.oak_sign: #1, 280(30%)
minecraft.used.sandstone_wall: #1, 2426(90%)
minecraft.used.writable_book: #1, 1055(29%)
minecraft.dropped.cod: #1, 29207(38%)
minecraft.mined.ender_chest: #1, 4504(31%)
minecraft.picked_up.andesite_wall: #1, 231(51%)
minecraft.crafted.red_banner: #1, 749(59%)
minecraft.dropped.sea_pickle: #1, 2368(59%)
minecraft.crafted.tripwire_hook: #1, 1470(34%)
minecraft.custom.walk_under_water_one_cm: #1, 69630079(14%)
minecraft.used.fire_coral_block: #1, 2047(64%)
minecraft.picked_up.red_banner: #1, 340(50%)
minecraft.used.brick_slab: #1, 4979(54%)
minecraft.used.lapis_block: #1, 1218(50%)
minecraft.picked_up.light_blue_banner: #1, 97(58%)
minecraft.mined.chorus_plant: #1, 908(44%)
minecraft.used.white_shulker_box: #1, 3049(35%)
minecraft.used.polished_granite: #1, 7856(41%)
minecraft.picked_up.carved_pumpkin: #1, 4287(43%)
minecraft.mined.stripped_spruce_wood: #1, 289(69%)
minecraft.picked_up.stripped_spruce_wood: #1, 286(69%)
minecraft.mined.birch_wood: #1, 398(87%)
minecraft.mined.tnt: #1, 598(35%)
minecraft.picked_up.dead_fire_coral_block: #1, 940(69%)
minecraft.picked_up.nether_brick: #1, 35016(86%)
minecraft.mined.stripped_acacia_wood: #1, 3977(99%)
minecraft.picked_up.stripped_acacia_wood: #1, 3971(99%)
minecraft.used.emerald_block: #1, 1487(38%)
minecraft.picked_up.black_concrete: #1, 23333(30%)
minecraft.crafted.acacia_trapdoor: #1, 3869(53%)
minecraft.killed.vex: #1, 272(62%)
minecraft.crafted.chiseled_stone_bricks: #1, 6160(46%)
minecraft.mined.brown_terracotta: #1, 13904(40%)
minecraft.crafted.enchanting_table: #1, 19(38%)
minecraft.picked_up.nether_wart: #1, 28796(34%)
minecraft.mined.white_shulker_box: #1, 3032(34%)
minecraft.custom.use_cauldron: #1, 126(52%)
minecraft.picked_up.gray_glazed_terracotta: #1, 1924(97%)
minecraft.crafted.birch_slab: #1, 14894(36%)
minecraft.used.iron_bars: #1, 8905(28%)
minecraft.used.ender_chest: #1, 4553(31%)
minecraft.mined.chiseled_stone_bricks: #1, 644(42%)
minecraft.picked_up.red_glazed_terracotta: #1, 1960(67%)
minecraft.picked_up.white_shulker_box: #1, 3051(34%)
minecraft.dropped.brown_terracotta: #1, 2149(84%)
minecraft.crafted.polished_granite: #1, 6732(37%)
minecraft.used.glowstone: #1, 3997(32%)
minecraft.picked_up.orange_glazed_terracotta: #1, 1743(67%)
minecraft.mined.tube_coral_block: #1, 2615(51%)
minecraft.picked_up.brown_terracotta: #1, 13752(39%)
minecraft.dropped.red_sand: #1, 436(73%)
minecraft.crafted.red_shulker_box: #1, 104(33%)
minecraft.used.end_stone: #1, 3983(35%)
minecraft.picked_up.green_glazed_terracotta: #1, 1769(82%)
minecraft.crafted.cyan_bed: #1, 65(73%)
minecraft.crafted.green_terracotta: #1, 25624(50%)
minecraft.mined.jungle_fence: #1, 223(38%)
minecraft.used.tube_coral_fan: #1, 375(41%)
minecraft.picked_up.acacia_boat: #1, 101(38%)
minecraft.used.blue_terracotta: #1, 3565(50%)
minecraft.mined.green_concrete_powder: #1, 965(50%)
minecraft.used.purpur_slab: #1, 195(59%)
minecraft.picked_up.enchanted_book: #1, 300(28%)
minecraft.custom.open_enderchest: #1, 20531(19%)
minecraft.dropped.dark_oak_button: #1, 71(58%)
minecraft.dropped.filled_map: #1, 118(40%)
minecraft.picked_up.cod: #1, 28212(26%)
minecraft.dropped.written_book: #1, 335(25%)
minecraft.used.oak_boat: #1, 631(24%)
minecraft.dropped.terracotta: #1, 1488(42%)
minecraft.custom.walk_one_cm: #1, 470914941(14%)
minecraft.custom.sprint_one_cm: #1, 407030913(16%)
minecraft.used.yellow_glazed_terracotta: #1, 465(78%)
minecraft.used.horn_coral_fan: #1, 319(37%)
minecraft.picked_up.daylight_detector: #1, 183(62%)
minecraft.picked_up.oak_boat: #1, 688(24%)
minecraft.mined.spruce_pressure_plate: #1, 70(39%)
minecraft.dropped.pumpkin_seeds: #1, 7650(39%)
minecraft.dropped.light_gray_shulker_box: #1, 31(62%)
minecraft.dropped.pumpkin_pie: #1, 315(52%)
minecraft.picked_up.stone_pressure_plate: #1, 795(28%)
minecraft.mined.gold_ore: #1, 6933(25%)
minecraft.mined.stone_slab: #1, 2057(32%)
minecraft.mined.clay: #1, 6121(28%)
minecraft.dropped.red_carpet: #1, 190(56%)
minecraft.crafted.jungle_planks: #1, 21510(24%)
minecraft.dropped.yellow_terracotta: #1, 2105(56%)
minecraft.used.anvil: #1, 423(23%)
minecraft.mined.oak_wall_sign: #1, 827(24%)
minecraft.dropped.gray_terracotta: #1, 2392(87%)
minecraft.used.soul_sand: #1, 5683(26%)
minecraft.mined.tube_coral: #1, 415(61%)
minecraft.picked_up.gold_ore: #1, 6915(24%)
minecraft.dropped.light_gray_terracotta: #1, 2295(55%)
minecraft.picked_up.acacia_sapling: #2, 4839(34%)
minecraft.picked_up.spectral_arrow: #1, 1667(86%)
minecraft.mined.dead_bush: #1, 372(26%)
minecraft.mined.fire_coral: #1, 432(60%)
minecraft.dropped.orange_shulker_box: #1, 61(75%)
minecraft.mined.heavy_weighted_pressure_plate: #1, 80(50%)
minecraft.dropped.gray_shulker_box: #1, 66(86%)
minecraft.crafted.black_terracotta: #1, 9392(43%)
minecraft.used.loom: #1, 79(29%)
minecraft.used.bubble_coral: #1, 97(50%)
minecraft.dropped.chainmail_leggings: #1, 48(37%)
