stat, rank, value, (percentage) 
minecraft.dropped.tnt: #5, 26(8%)
minecraft.used.red_tulip: #5, 12(7%)
minecraft.dropped.nether_bricks: #5, 64(5%)
minecraft.dropped.leather_helmet: #6, 19(8%)
minecraft.used.birch_fence: #5, 88(4%)
minecraft.dropped.jungle_slab: #5, 8(8%)
minecraft.used.purple_concrete_powder: #5, 448(5%)
minecraft.picked_up.purple_stained_glass: #5, 279(4%)
minecraft.dropped.ghast_tear: #5, 3(7%)
minecraft.dropped.diamond_ore: #5, 6(8%)
minecraft.crafted.iron_trapdoor: #6, 1204(7%)
minecraft.picked_up.potion: #6, 155(6%)
minecraft.crafted.cooked_chicken: #5, 214(3%)
minecraft.crafted.nether_brick: #5, 1271(4%)
minecraft.picked_up.bucket: #6, 77(7%)
minecraft.crafted.wooden_shovel: #5, 17(3%)
minecraft.dropped.jack_o_lantern: #5, 2(6%)
minecraft.dropped.leather_leggings: #6, 21(7%)
minecraft.dropped.oak_fence_gate: #5, 3(5%)
minecraft.dropped.shulker_box: #5, 28(2%)
minecraft.dropped.jungle_planks: #5, 45(3%)
minecraft.dropped.diamond_leggings: #6, 9(9%)
minecraft.picked_up.cooked_porkchop: #5, 63(2%)
minecraft.killed_by.slime: #5, 1(8%)
minecraft.dropped.golden_leggings: #6, 17(6%)
minecraft.dropped.purple_stained_glass: #5, 168(4%)
minecraft.used.dried_kelp: #5, 45(4%)
minecraft.crafted.blue_terracotta: #5, 376(3%)
minecraft.picked_up.blaze_powder: #5, 45(2%)
minecraft.dropped.blaze_rod: #5, 37(3%)
minecraft.used.jungle_button: #5, 11(3%)
minecraft.crafted.jungle_wood: #5, 39(3%)
minecraft.picked_up.oak_door: #6, 58(7%)
minecraft.crafted.popped_chorus_fruit: #5, 76(3%)
minecraft.mined.tube_coral_block: #5, 93(2%)
minecraft.crafted.jungle_button: #5, 9(2%)
minecraft.dropped.beef: #5, 124(1%)
minecraft.crafted.terracotta: #5, 33(3%)
minecraft.dropped.red_tulip: #5, 8(2%)
minecraft.crafted.lead: #6, 34(6%)
minecraft.dropped.purple_shulker_box: #5, 1(4%)
minecraft.crafted.prismarine_brick_slab: #5, 174(1%)
minecraft.used.prismarine_brick_slab: #5, 153(1%)
minecraft.mined.jungle_button: #5, 2(2%)
minecraft.used.nether_wart_block: #5, 29(1%)
minecraft.mined.light_blue_banner: #5, 1(2%)
minecraft.mined.pink_concrete_powder: #5, 1(1%)
