stat, rank, value, (percentage) 
minecraft.mined.melon_stem: #1, 134(61%)
minecraft.dropped.dark_oak_door: #1, 32(60%)
minecraft.picked_up.carrot: #1, 30382(18%)
minecraft.crafted.dark_oak_fence: #1, 2958(22%)
minecraft.picked_up.brown_stained_glass: #1, 2090(42%)
minecraft.crafted.stone_bricks: #1, 81530(17%)
minecraft.picked_up.dark_oak_fence: #1, 1106(20%)
minecraft.dropped.oak_log: #1, 774(21%)
minecraft.dropped.anvil: #1, 25(42%)
minecraft.picked_up.oak_stairs: #1, 998(19%)
minecraft.dropped.charcoal: #1, 36(41%)
minecraft.picked_up.spruce_sapling: #2, 4331(20%)
minecraft.used.green_shulker_box: #1, 555(23%)
minecraft.picked_up.red_stained_glass_pane: #1, 474(37%)
minecraft.used.trident: #2, 7034(22%)
minecraft.picked_up.blue_bed: #1, 105(34%)
minecraft.mined.grass: #1, 10129(13%)
minecraft.picked_up.cracked_stone_bricks: #2, 3672(23%)
minecraft.used.red_concrete_powder: #1, 4475(23%)
minecraft.dropped.spruce_stairs: #2, 893(31%)
minecraft.mined.dark_oak_stairs: #1, 988(16%)
minecraft.mined.spruce_log: #2, 37583(20%)
minecraft.crafted.orange_stained_glass: #1, 2312(30%)
minecraft.picked_up.green_shulker_box: #1, 532(22%)
minecraft.crafted.oak_stairs: #1, 1776(17%)
minecraft.dropped.stone_bricks: #2, 5479(23%)
minecraft.mined.green_shulker_box: #1, 511(22%)
minecraft.used.diorite: #2, 3937(20%)
minecraft.used.oak_sapling: #2, 4325(17%)
minecraft.used.lime_concrete_powder: #1, 2158(22%)
minecraft.used.dark_oak_sapling: #2, 3775(32%)
minecraft.crafted.dark_oak_door: #1, 105(23%)
minecraft.crafted.light_blue_concrete_powder: #2, 4976(30%)
minecraft.picked_up.spruce_stairs: #1, 1945(15%)
minecraft.mined.chiseled_quartz_block: #1, 236(23%)
minecraft.mined.oak_trapdoor: #2, 641(20%)
minecraft.mined.blue_bed: #1, 102(31%)
minecraft.used.cocoa_beans: #1, 3470(19%)
minecraft.crafted.red_concrete_powder: #1, 4504(22%)
minecraft.mined.pink_wool: #1, 137(33%)
minecraft.used.mossy_stone_brick_slab: #1, 342(61%)
minecraft.used.dark_oak_pressure_plate: #1, 99(33%)
minecraft.picked_up.dark_oak_pressure_plate: #1, 48(30%)
minecraft.mined.spruce_slab: #2, 3294(18%)
minecraft.mined.mossy_cobblestone_wall: #1, 32(33%)
minecraft.mined.red_tulip: #2, 235(23%)
minecraft.used.dark_oak_log: #2, 10361(19%)
minecraft.used.mossy_cobblestone_wall: #1, 231(36%)
minecraft.used.spruce_slab: #2, 11630(18%)
minecraft.used.green_concrete: #2, 3257(28%)
minecraft.used.red_nether_brick_slab: #1, 905(59%)
minecraft.used.blue_bed: #1, 101(27%)
minecraft.picked_up.chiseled_stone_bricks: #2, 548(27%)
