stat, rank, value, (percentage) 
minecraft.used.yellow_stained_glass: #1, 1799(29%)
minecraft.dropped.black_wool: #1, 151(42%)
minecraft.mined.white_concrete_powder: #1, 1913(27%)
minecraft.crafted.bread: #1, 1762(25%)
minecraft.mined.oxeye_daisy: #1, 271(23%)
minecraft.mined.stone_stairs: #1, 377(32%)
minecraft.picked_up.cooked_chicken: #1, 2936(21%)
minecraft.used.brain_coral_fan: #1, 351(39%)
minecraft.mined.dead_brain_coral_block: #1, 513(54%)
minecraft.mined.barrel: #1, 330(26%)
minecraft.picked_up.smoker: #1, 114(45%)
minecraft.picked_up.diamond_axe: #1, 273(22%)
minecraft.used.diamond_shovel: #1, 1001428(21%)
minecraft.dropped.glass_pane: #1, 152(38%)
minecraft.dropped.cactus: #2, 10437(32%)
minecraft.used.light_blue_concrete_powder: #1, 4783(33%)
minecraft.mined.sandstone_slab: #1, 2802(27%)
minecraft.mined.green_terracotta: #2, 3598(35%)
minecraft.used.acacia_sapling: #1, 2739(33%)
minecraft.picked_up.bubble_coral_block: #1, 1866(41%)
minecraft.picked_up.sandstone_slab: #1, 2948(26%)
minecraft.used.spruce_slab: #1, 13424(20%)
minecraft.mined.end_rod: #1, 2072(23%)
minecraft.mined.cornflower: #1, 277(33%)
minecraft.used.oak_log: #1, 6662(21%)
minecraft.picked_up.red_sand: #1, 30176(40%)
minecraft.mined.red_sand: #1, 30424(40%)
minecraft.crafted.light_gray_concrete_powder: #1, 25584(27%)
minecraft.mined.oak_sapling: #2, 268(24%)
minecraft.broken.shears: #2, 332(26%)
minecraft.mined.stripped_oak_log: #1, 1074(22%)
minecraft.picked_up.diamond_sword: #1, 290(20%)
minecraft.crafted.cookie: #1, 3868(36%)
minecraft.picked_up.dead_brain_coral_block: #1, 590(42%)
minecraft.mined.smoker: #1, 115(46%)
minecraft.custom.open_shulker_box: #1, 99819(14%)
minecraft.mined.blue_stained_glass_pane: #1, 166(46%)
minecraft.mined.dandelion: #1, 752(17%)
minecraft.used.fire_coral: #1, 123(39%)
minecraft.dropped.diamond: #1, 2207(23%)
minecraft.picked_up.polished_andesite_stairs: #1, 670(39%)
minecraft.mined.poppy: #1, 1106(18%)
minecraft.used.end_rod: #1, 4194(22%)
minecraft.picked_up.stripped_oak_log: #1, 1056(22%)
minecraft.used.light_gray_concrete_powder: #1, 24333(26%)
minecraft.killed.zombie: #1, 3198(15%)
minecraft.picked_up.bubble_coral_fan: #1, 1297(41%)
minecraft.mined.grindstone: #1, 168(36%)
minecraft.dropped.pink_wool: #1, 57(83%)
minecraft.picked_up.diamond_shovel: #1, 285(21%)
minecraft.crafted.smooth_quartz_stairs: #1, 1400(49%)
minecraft.custom.walk_under_water_one_cm: #2, 58385010(12%)
minecraft.dropped.armor_stand: #1, 63(31%)
minecraft.mined.bubble_coral_wall_fan: #1, 1085(44%)
minecraft.used.brewing_stand: #1, 132(22%)
minecraft.used.dark_oak_sapling: #1, 3866(33%)
minecraft.mined.gray_concrete: #1, 23659(24%)
minecraft.mined.spruce_slab: #1, 3457(19%)
minecraft.used.black_terracotta: #1, 6177(37%)
minecraft.used.light_blue_stained_glass_pane: #1, 1216(35%)
minecraft.crafted.redstone_lamp: #1, 1243(25%)
minecraft.picked_up.diamond_boots: #1, 214(19%)
minecraft.used.green_terracotta: #2, 18278(36%)
minecraft.crafted.pink_concrete_powder: #1, 1032(32%)
minecraft.mined.bubble_coral_block: #1, 1794(40%)
minecraft.used.stone_pickaxe: #2, 4186(24%)
minecraft.crafted.light_blue_stained_glass_pane: #1, 1480(32%)
minecraft.crafted.redstone_block: #1, 9127(19%)
minecraft.mined.brewing_stand: #1, 106(25%)
minecraft.used.barrel: #1, 834(21%)
minecraft.crafted.white_stained_glass_pane: #1, 8040(23%)
minecraft.mined.tube_coral_wall_fan: #1, 945(43%)
minecraft.mined.cut_sandstone: #1, 738(26%)
minecraft.picked_up.cobblestone_stairs: #1, 1285(21%)
minecraft.crafted.black_dye: #1, 6686(25%)
minecraft.mined.grass_path: #1, 1734(19%)
minecraft.mined.cobblestone_slab: #1, 1412(22%)
minecraft.picked_up.coal_block: #1, 972(19%)
minecraft.crafted.dark_oak_planks: #1, 36835(19%)
minecraft.crafted.stone_shovel: #2, 128(26%)
minecraft.picked_up.diamond_leggings: #1, 199(20%)
minecraft.used.stripped_dark_oak_log: #1, 972(27%)
minecraft.picked_up.coal_ore: #1, 12231(20%)
minecraft.mined.brain_coral_wall_fan: #1, 1038(45%)
minecraft.picked_up.stone: #1, 471403(17%)
minecraft.dropped.acacia_stairs: #1, 262(89%)
minecraft.mined.cobblestone_stairs: #1, 629(20%)
minecraft.picked_up.cut_sandstone: #1, 718(25%)
minecraft.picked_up.white_terracotta: #2, 24554(26%)
minecraft.crafted.lapis_lazuli: #1, 8163(19%)
minecraft.mined.white_terracotta: #2, 24652(26%)
minecraft.killed_by.skeleton: #1, 23(28%)
minecraft.used.white_stained_glass_pane: #1, 7124(22%)
minecraft.picked_up.golden_carrot: #1, 5693(20%)
minecraft.crafted.purple_wool: #1, 266(49%)
minecraft.custom.walk_one_cm: #2, 400856684(12%)
minecraft.crafted.lapis_block: #1, 2298(20%)
minecraft.picked_up.brain_coral: #1, 195(44%)
minecraft.picked_up.bubble_coral: #1, 205(48%)
minecraft.picked_up.brewing_stand: #1, 107(23%)
minecraft.crafted.blast_furnace: #1, 279(31%)
minecraft.picked_up.acacia_leaves: #1, 5185(36%)
minecraft.mined.polished_andesite_stairs: #1, 416(33%)
minecraft.picked_up.pumpkin_pie: #1, 378(36%)
minecraft.crafted.polished_andesite_slab: #1, 3646(39%)
minecraft.dropped.orange_dye: #1, 70(61%)
minecraft.used.horn_coral: #1, 98(33%)
minecraft.picked_up.diamond_pickaxe: #1, 420(17%)
minecraft.used.polished_andesite_slab: #1, 3410(35%)
minecraft.crafted.campfire: #1, 448(25%)
minecraft.used.gray_terracotta: #1, 10977(47%)
minecraft.crafted.gray_dye: #1, 8184(19%)
minecraft.crafted.pink_wool: #1, 204(42%)
minecraft.used.light_gray_stained_glass_pane: #1, 4024(28%)
minecraft.mined.snow: #1, 37874(19%)
minecraft.picked_up.stone_stairs: #1, 431(23%)
minecraft.mined.light_blue_stained_glass_pane: #1, 182(29%)
minecraft.dropped.black_carpet: #1, 119(38%)
minecraft.picked_up.lapis_lazuli: #1, 22034(17%)
minecraft.mined.dark_oak_slab: #1, 1801(20%)
minecraft.crafted.lime_wool: #1, 294(41%)
minecraft.used.dead_brain_coral_block: #1, 500(51%)
minecraft.used.brown_concrete_powder: #1, 1914(25%)
minecraft.mined.stone: #1, 768192(15%)
minecraft.mined.stripped_spruce_log: #2, 642(24%)
minecraft.picked_up.black_carpet: #1, 493(21%)
minecraft.crafted.light_gray_stained_glass_pane: #1, 5144(31%)
minecraft.used.light_blue_concrete: #2, 3355(30%)
minecraft.picked_up.brain_coral_fan: #1, 1175(45%)
minecraft.used.cyan_concrete_powder: #1, 1329(27%)
minecraft.picked_up.stripped_spruce_log: #2, 639(24%)
minecraft.crafted.spruce_stairs: #2, 5736(20%)
minecraft.custom.damage_taken: #2, 1045852(14%)
minecraft.used.azure_bluet: #1, 134(33%)
minecraft.picked_up.horn_coral_fan: #1, 1203(44%)
minecraft.mined.polished_andesite_slab: #1, 744(36%)
minecraft.picked_up.spruce_slab: #2, 4106(18%)
minecraft.mined.dark_prismarine: #1, 1234(23%)
minecraft.used.polished_andesite_stairs: #1, 1523(30%)
minecraft.mined.fire_coral_wall_fan: #1, 1087(43%)
minecraft.picked_up.jungle_leaves: #1, 4000(22%)
minecraft.picked_up.redstone_ore: #2, 10813(23%)
minecraft.mined.cyan_concrete_powder: #1, 143(65%)
minecraft.dropped.birch_wood: #1, 42(78%)
minecraft.used.milk_bucket: #1, 69(23%)
minecraft.custom.deaths: #2, 475(17%)
minecraft.mined.light_blue_wool: #1, 314(30%)
minecraft.mined.stripped_dark_oak_wood: #1, 396(64%)
minecraft.used.brown_stained_glass_pane: #1, 101(64%)
minecraft.dropped.yellow_wool: #1, 185(39%)
minecraft.picked_up.torch: #1, 24154(14%)
minecraft.dropped.experience_bottle: #1, 368(96%)
minecraft.mined.acacia_sapling: #1, 184(38%)
minecraft.picked_up.red_bed: #2, 151(25%)
minecraft.picked_up.andesite: #1, 49638(15%)
minecraft.used.cooked_beef: #2, 4222(20%)
minecraft.mined.gravel: #2, 139533(19%)
minecraft.mined.coal_ore: #1, 33698(15%)
minecraft.crafted.bucket: #1, 498(15%)
minecraft.picked_up.light_gray_terracotta: #2, 34168(24%)
minecraft.dropped.andesite_wall: #1, 45(63%)
minecraft.mined.nether_brick_wall: #1, 254(76%)
minecraft.dropped.seagrass: #1, 164(32%)
minecraft.crafted.acacia_stairs: #1, 608(38%)
minecraft.picked_up.dark_prismarine: #1, 1319(22%)
minecraft.used.gray_concrete: #2, 21981(23%)
minecraft.mined.black_carpet: #1, 214(21%)
minecraft.used.spruce_sapling: #2, 2853(21%)
minecraft.crafted.acacia_boat: #1, 26(31%)
minecraft.crafted.blue_stained_glass: #1, 4592(21%)
minecraft.picked_up.lapis_block: #1, 496(20%)
minecraft.picked_up.stripped_dark_oak_wood: #1, 370(62%)
minecraft.picked_up.composter: #1, 112(22%)
minecraft.custom.animals_bred: #1, 2756(16%)
minecraft.custom.fly_one_cm: #2, 244948689(9%)
minecraft.mined.orange_stained_glass: #1, 152(29%)
minecraft.crafted.iron_ingot: #1, 55324(14%)
minecraft.used.horn_coral_fan: #2, 241(28%)
minecraft.picked_up.snowball: #1, 16927(18%)
minecraft.used.snow_block: #1, 4185(21%)
minecraft.picked_up.fire_coral_fan: #1, 1253(41%)
minecraft.used.stripped_oak_log: #1, 422(19%)
minecraft.picked_up.smooth_sandstone: #2, 10583(28%)
minecraft.mined.sand: #2, 293780(16%)
minecraft.picked_up.snow: #2, 21535(29%)
minecraft.used.cartography_table: #1, 35(37%)
minecraft.used.tube_coral: #2, 92(31%)
minecraft.mined.andesite: #1, 50191(15%)
minecraft.used.nether_brick_wall: #1, 560(73%)
minecraft.picked_up.acacia_trapdoor: #2, 519(29%)
minecraft.killed_by.vex: #1, 16(46%)
minecraft.used.sweet_berries: #2, 2146(29%)
minecraft.crafted.oak_fence: #2, 2385(19%)
minecraft.picked_up.iron_nugget: #2, 682(26%)
minecraft.used.spruce_fence: #1, 3094(17%)
minecraft.crafted.brown_stained_glass: #1, 2976(51%)
minecraft.used.dead_tube_coral_fan: #1, 51(50%)
minecraft.crafted.lever: #1, 796(15%)
minecraft.mined.gray_stained_glass: #2, 810(28%)
minecraft.mined.cut_sandstone_slab: #1, 56(58%)
minecraft.picked_up.gravel: #2, 135196(18%)
minecraft.dropped.barrel: #1, 67(44%)
minecraft.picked_up.sand: #2, 297432(15%)
minecraft.custom.fall_one_cm: #2, 30148670(12%)
minecraft.used.sandstone: #2, 12593(20%)
minecraft.picked_up.diorite_wall: #1, 110(43%)
minecraft.picked_up.rose_bush: #2, 2419(19%)
minecraft.killed_by.player: #1, 13(19%)
minecraft.broken.diamond_pickaxe: #1, 18(20%)
minecraft.used.red_sand: #1, 2143(38%)
minecraft.used.lapis_ore: #2, 813(22%)
minecraft.dropped.purple_stained_glass_pane: #1, 126(86%)
minecraft.crafted.green_terracotta: #2, 17312(34%)
minecraft.picked_up.cut_sandstone_slab: #1, 63(57%)
minecraft.dropped.oak_planks: #2, 992(20%)
minecraft.mined.granite: #1, 36736(14%)
minecraft.picked_up.nether_brick_wall: #1, 373(67%)
minecraft.picked_up.tube_coral_fan: #1, 1137(42%)
minecraft.picked_up.horn_coral: #1, 200(48%)
minecraft.crafted.polished_andesite_stairs: #1, 1704(37%)
minecraft.used.dead_horn_coral_block: #1, 112(48%)
minecraft.picked_up.purple_stained_glass_pane: #1, 138(26%)
minecraft.mined.jungle_log: #2, 11049(18%)
minecraft.used.water_bucket: #1, 8906(13%)
minecraft.used.dead_fire_coral_fan: #1, 74(37%)
minecraft.used.white_terracotta: #2, 1935(22%)
minecraft.dropped.dark_oak_wood: #1, 56(82%)
minecraft.killed_by.creeper: #1, 18(14%)
minecraft.mined.light_gray_terracotta: #2, 33945(24%)
minecraft.picked_up.granite: #1, 34711(13%)
minecraft.dropped.coal: #2, 1811(18%)
minecraft.crafted.light_gray_dye: #2, 6883(19%)
minecraft.used.snow: #2, 15957(24%)
minecraft.crafted.furnace: #1, 1061(12%)
minecraft.mined.stripped_oak_wood: #1, 240(36%)
minecraft.used.purple_stained_glass: #2, 1030(26%)
minecraft.dropped.acacia_fence: #1, 18(64%)
minecraft.crafted.brown_concrete_powder: #1, 2008(25%)
minecraft.picked_up.spruce_fence: #1, 1285(15%)
minecraft.used.bubble_coral_fan: #2, 280(32%)
minecraft.custom.open_chest: #2, 79816(11%)
minecraft.crafted.nether_brick_wall: #1, 492(64%)
minecraft.picked_up.light_blue_stained_glass_pane: #1, 172(23%)
minecraft.picked_up.light_blue_concrete: #2, 4297(26%)
minecraft.crafted.light_blue_carpet: #1, 360(32%)
minecraft.picked_up.polished_granite: #2, 1657(22%)
minecraft.mined.light_blue_concrete: #2, 3909(24%)
minecraft.picked_up.jungle_log: #2, 11012(17%)
