stat, rank, value, (percentage) 
minecraft.picked_up.blaze_rod: #9, 128(1%)
minecraft.dropped.pink_shulker_box: #9, 1(3%)
minecraft.crafted.yellow_dye: #9, 356(1%)
minecraft.mined.jungle_log: #9, 647(1%)
minecraft.mined.cyan_banner: #9, 1(3%)
minecraft.dropped.white_stained_glass: #9, 35(2%)
minecraft.mined.sandstone_slab: #9, 129(1%)
minecraft.crafted.beacon: #9, 5(1%)
minecraft.mined.mossy_cobblestone_wall: #9, 2(2%)
minecraft.crafted.firework_star: #9, 246(2%)
minecraft.crafted.brown_dye: #9, 96(2%)
minecraft.mined.carved_pumpkin: #9, 116(1%)
minecraft.dropped.quartz_pillar: #9, 8(2%)
minecraft.picked_up.red_stained_glass: #9, 73(1%)
minecraft.used.orange_shulker_box: #9, 75(1%)
minecraft.picked_up.orange_shulker_box: #9, 75(1%)
minecraft.mined.orange_shulker_box: #9, 75(1%)
minecraft.crafted.dried_kelp: #9, 1427(1%)
minecraft.used.prismarine_bricks: #9, 365(1%)
minecraft.dropped.shulker_box: #9, 12(1%)
minecraft.dropped.mossy_cobblestone: #9, 7(1%)
minecraft.mined.red_stained_glass: #9, 32(1%)
minecraft.mined.red_wall_banner: #9, 4(1%)
minecraft.crafted.wooden_shovel: #9, 6(1%)
minecraft.mined.andesite: #10, 15812(5%)
minecraft.picked_up.lime_carpet: #9, 10(1%)
minecraft.used.glass: #10, 5393(5%)
minecraft.crafted.loom: #9, 4(1%)
minecraft.used.andesite_wall: #9, 38(1%)
minecraft.used.cookie: #9, 9(1%)
minecraft.used.wooden_pickaxe: #10, 51(5%)
minecraft.dropped.black_concrete: #9, 23(1%)
minecraft.dropped.ice: #9, 64(1%)
minecraft.picked_up.elytra: #10, 68(4%)
minecraft.dropped.end_stone_bricks: #9, 11(1%)
minecraft.picked_up.red_stained_glass_pane: #9, 14(1%)
minecraft.mined.melon: #9, 15(1%)
minecraft.killed.zombie_villager: #10, 17(5%)
minecraft.used.red_stained_glass: #9, 144(1%)
minecraft.dropped.birch_leaves: #9, 12(1%)
minecraft.picked_up.emerald: #9, 259(0%)
minecraft.dropped.ender_pearl: #9, 103(0%)
minecraft.used.diamond_pickaxe: #10, 454205(4%)
minecraft.dropped.cooked_porkchop: #9, 5(1%)
minecraft.used.blue_terracotta: #9, 46(1%)
minecraft.used.lime_bed: #9, 1(1%)
minecraft.picked_up.black_stained_glass_pane: #9, 12(1%)
minecraft.dropped.light_gray_stained_glass: #9, 7(1%)
minecraft.used.fishing_rod: #9, 740(0%)
minecraft.used.golden_carrot: #10, 2283(4%)
minecraft.used.jungle_slab: #9, 22(0%)
minecraft.mined.green_stained_glass_pane: #9, 1(1%)
minecraft.picked_up.lime_concrete_powder: #9, 8(0%)
minecraft.mined.mushroom_stem: #9, 23(0%)
minecraft.used.green_wool: #9, 3(0%)
minecraft.picked_up.orange_glazed_terracotta: #9, 7(0%)
minecraft.used.blue_ice: #9, 27(0%)
minecraft.used.stripped_acacia_log: #9, 2(0%)
minecraft.killed.pillager: #9, 52(0%)
minecraft.custom.raid_trigger: #9, 2(0%)
minecraft.used.anvil: #10, 67(4%)
minecraft.picked_up.oak_fence: #10, 242(4%)
minecraft.picked_up.diamond_axe: #10, 48(4%)
minecraft.crafted.stick: #10, 12277(3%)
minecraft.picked_up.wheat: #10, 2972(4%)
minecraft.picked_up.diamond_pickaxe: #10, 89(4%)
minecraft.picked_up.diamond_sword: #10, 51(3%)
minecraft.mined.spruce_slab: #10, 635(3%)
minecraft.used.wheat_seeds: #10, 2721(4%)
minecraft.picked_up.birch_planks: #10, 309(4%)
minecraft.picked_up.spruce_fence: #10, 350(4%)
minecraft.used.dirt: #10, 20658(2%)
minecraft.picked_up.stone_brick_slab: #10, 1172(4%)
minecraft.crafted.iron_shovel: #10, 16(3%)
minecraft.crafted.iron_helmet: #10, 12(3%)
minecraft.mined.oak_sign: #10, 30(3%)
minecraft.mined.magma_block: #10, 861(3%)
minecraft.used.stone_brick_slab: #10, 3042(3%)
minecraft.custom.leave_game: #11, 1080(3%)
minecraft.custom.damage_absorbed: #10, 250(4%)
minecraft.picked_up.kelp: #10, 11999(3%)
minecraft.mined.obsidian: #10, 875(3%)
minecraft.picked_up.chainmail_helmet: #10, 4(4%)
minecraft.dropped.ender_chest: #10, 5(4%)
minecraft.dropped.iron_sword: #10, 6(4%)
minecraft.picked_up.chipped_anvil: #10, 15(4%)
minecraft.picked_up.lapis_lazuli: #10, 3497(3%)
minecraft.crafted.player_head: #10, 204(3%)
minecraft.picked_up.redstone: #10, 12201(3%)
minecraft.used.spruce_fence: #10, 551(3%)
minecraft.picked_up.dark_oak_fence: #10, 167(3%)
minecraft.used.cobblestone_wall: #10, 435(3%)
minecraft.crafted.light_blue_dye: #10, 572(3%)
minecraft.mined.snow: #10, 5546(3%)
minecraft.used.magenta_shulker_box: #10, 91(3%)
minecraft.mined.chipped_anvil: #10, 13(3%)
minecraft.mined.magenta_shulker_box: #10, 91(3%)
minecraft.broken.diamond_pickaxe: #10, 3(3%)
minecraft.picked_up.magenta_shulker_box: #10, 91(3%)
minecraft.used.orange_concrete_powder: #10, 256(3%)
minecraft.used.jungle_log: #10, 215(2%)
minecraft.used.flower_pot: #10, 50(3%)
minecraft.picked_up.gold_ingot: #10, 282(2%)
minecraft.used.soul_sand: #10, 474(2%)
minecraft.mined.fern: #10, 63(2%)
minecraft.picked_up.scaffolding: #10, 2589(2%)
minecraft.picked_up.enchanted_book: #10, 23(2%)
minecraft.used.chipped_anvil: #10, 10(3%)
minecraft.picked_up.flint_and_steel: #10, 8(3%)
minecraft.picked_up.pink_shulker_box: #10, 84(3%)
minecraft.custom.interact_with_loom: #10, 14(2%)
minecraft.crafted.light_gray_shulker_box: #10, 7(3%)
minecraft.used.stone_pressure_plate: #10, 90(3%)
minecraft.crafted.orange_concrete_powder: #10, 256(3%)
minecraft.used.oak_fence_gate: #10, 32(2%)
minecraft.used.pink_shulker_box: #10, 83(3%)
minecraft.picked_up.gray_wool: #10, 72(2%)
minecraft.mined.pink_shulker_box: #10, 82(3%)
minecraft.picked_up.gray_shulker_box: #10, 87(2%)
minecraft.dropped.chainmail_helmet: #10, 2(3%)
minecraft.dropped.birch_boat: #10, 2(3%)
minecraft.dropped.snowball: #10, 127(3%)
minecraft.used.jungle_boat: #10, 5(2%)
minecraft.used.polished_andesite: #10, 1461(2%)
minecraft.mined.gray_shulker_box: #10, 80(2%)
minecraft.used.gray_shulker_box: #10, 81(2%)
minecraft.used.black_concrete_powder: #10, 2460(2%)
minecraft.crafted.black_concrete_powder: #10, 2712(2%)
minecraft.mined.glowstone: #10, 343(2%)
minecraft.picked_up.end_stone: #10, 445(2%)
minecraft.used.birch_pressure_plate: #10, 8(2%)
minecraft.crafted.oak_fence_gate: #10, 21(1%)
minecraft.picked_up.lime_banner: #10, 2(3%)
minecraft.picked_up.green_banner: #10, 1(3%)
minecraft.dropped.chainmail_boots: #10, 2(2%)
minecraft.dropped.enchanted_book: #10, 10(2%)
minecraft.dropped.spruce_button: #10, 4(2%)
minecraft.picked_up.light_blue_terracotta: #10, 48(2%)
minecraft.picked_up.totem_of_undying: #10, 7(1%)
minecraft.used.spruce_button: #10, 16(1%)
minecraft.custom.jump: #11, 252508(3%)
minecraft.crafted.orange_stained_glass: #10, 128(2%)
minecraft.crafted.chiseled_stone_bricks: #10, 194(1%)
minecraft.picked_up.carved_pumpkin: #10, 133(1%)
minecraft.mined.attached_pumpkin_stem: #10, 1(2%)
minecraft.used.cyan_carpet: #10, 14(1%)
minecraft.used.lime_wool: #10, 30(1%)
minecraft.mined.bamboo_sapling: #10, 1(2%)
minecraft.dropped.beacon: #10, 1(2%)
minecraft.used.gray_wool: #10, 14(1%)
minecraft.dropped.spruce_leaves: #10, 66(1%)
minecraft.crafted.light_gray_stained_glass: #10, 632(1%)
minecraft.mined.granite: #11, 12935(5%)
minecraft.mined.jungle_leaves: #10, 205(1%)
minecraft.used.snow: #10, 686(1%)
minecraft.dropped.red_wool: #10, 7(1%)
minecraft.mined.lime_bed: #10, 1(2%)
minecraft.crafted.blue_concrete_powder: #10, 128(1%)
minecraft.dropped.iron_trapdoor: #10, 7(1%)
minecraft.picked_up.melon_seeds: #10, 9(1%)
minecraft.picked_up.lime_bed: #10, 1(2%)
minecraft.picked_up.crossbow: #10, 8(1%)
minecraft.mined.chiseled_stone_bricks: #10, 14(1%)
minecraft.mined.dandelion: #11, 170(4%)
minecraft.mined.red_stained_glass_pane: #10, 14(1%)
minecraft.used.brain_coral_fan: #10, 9(1%)
minecraft.used.sandstone_slab: #10, 721(1%)
minecraft.mined.blue_concrete: #10, 84(1%)
minecraft.crafted.bone_block: #10, 511(1%)
minecraft.used.cod_bucket: #10, 3(1%)
minecraft.picked_up.birch_fence: #10, 7(1%)
minecraft.used.cartography_table: #10, 1(1%)
minecraft.mined.chorus_flower: #10, 15(1%)
minecraft.killed.spider: #11, 173(4%)
minecraft.crafted.firework_rocket: #10, 3558(0%)
minecraft.crafted.stone_brick_wall: #10, 66(1%)
minecraft.picked_up.cooked_porkchop: #10, 12(0%)
minecraft.picked_up.granite: #11, 11411(4%)
minecraft.picked_up.wheat_seeds: #11, 6098(4%)
minecraft.mined.jungle_slab: #10, 6(0%)
minecraft.dropped.stripped_birch_log: #10, 1(1%)
minecraft.used.red_mushroom: #10, 2(0%)
minecraft.crafted.black_terracotta: #10, 64(0%)
minecraft.crafted.cartography_table: #10, 1(0%)
minecraft.dropped.gray_concrete: #10, 3(0%)
minecraft.picked_up.smooth_quartz: #10, 36(0%)
minecraft.mined.dark_oak_sapling: #10, 1(0%)
minecraft.used.chorus_flower: #10, 4(0%)
minecraft.mined.acacia_sapling: #10, 1(0%)
minecraft.mined.stripped_acacia_log: #10, 4(0%)
minecraft.picked_up.birch_button: #10, 12(0%)
minecraft.picked_up.stripped_acacia_log: #10, 4(0%)
minecraft.used.brown_wool: #10, 2(0%)
minecraft.used.black_terracotta: #10, 17(0%)
minecraft.used.birch_button: #10, 5(0%)
minecraft.dropped.black_concrete_powder: #10, 1(0%)
minecraft.killed.witch: #10, 10(0%)
minecraft.picked_up.white_glazed_terracotta: #10, 1(0%)
minecraft.picked_up.iron_bars: #11, 624(4%)
minecraft.crafted.ladder: #11, 579(4%)
minecraft.picked_up.andesite: #11, 12503(4%)
minecraft.crafted.iron_ingot: #11, 13687(4%)
minecraft.picked_up.spruce_slab: #11, 758(3%)
minecraft.crafted.oak_sign: #11, 412(4%)
minecraft.crafted.anvil: #11, 42(3%)
minecraft.crafted.torch: #11, 7576(3%)
minecraft.picked_up.spruce_boat: #11, 55(3%)
minecraft.dropped.diamond_boots: #11, 5(4%)
minecraft.picked_up.red_shulker_box: #11, 324(3%)
minecraft.picked_up.redstone_torch: #11, 390(4%)
minecraft.used.spruce_planks: #11, 1737(3%)
minecraft.dropped.wheat_seeds: #11, 1763(3%)
minecraft.picked_up.tripwire_hook: #11, 63(3%)
minecraft.custom.interact_with_beacon: #11, 48(4%)
minecraft.used.oak_trapdoor: #11, 349(3%)
minecraft.crafted.ender_chest: #11, 17(4%)
minecraft.used.spruce_trapdoor: #11, 825(3%)
minecraft.picked_up.magma_block: #11, 807(3%)
minecraft.picked_up.oak_leaves: #11, 3525(3%)
minecraft.dropped.cobblestone: #11, 10527(3%)
minecraft.picked_up.obsidian: #11, 1001(3%)
minecraft.used.oak_planks: #11, 663(3%)
minecraft.mined.player_wall_head: #11, 48(3%)
minecraft.used.furnace: #11, 208(2%)
minecraft.picked_up.iron_shovel: #11, 9(3%)
minecraft.picked_up.mossy_cobblestone: #11, 111(3%)
minecraft.dropped.trident: #11, 6(3%)
minecraft.used.iron_block: #11, 1742(3%)
minecraft.picked_up.player_head: #11, 345(2%)
minecraft.used.oak_log: #11, 733(2%)
minecraft.dropped.coal: #11, 243(2%)
minecraft.used.totem_of_undying: #11, 5(3%)
minecraft.picked_up.polished_andesite: #11, 734(2%)
minecraft.crafted.quartz_block: #11, 2334(2%)
minecraft.crafted.stone: #11, 3821(2%)
minecraft.crafted.coal: #11, 1854(2%)
minecraft.killed_by.zombie_pigman: #11, 1(5%)
minecraft.crafted.oak_trapdoor: #11, 208(2%)
minecraft.dropped.name_tag: #11, 6(3%)
minecraft.crafted.spruce_sign: #11, 48(2%)
minecraft.used.loom: #11, 6(2%)
minecraft.picked_up.stone_button: #11, 176(2%)
minecraft.picked_up.grass_block: #11, 9185(2%)
minecraft.crafted.red_dye: #11, 767(2%)
minecraft.dropped.flint_and_steel: #11, 3(3%)
minecraft.used.nether_quartz_ore: #11, 853(2%)
minecraft.picked_up.lilac: #11, 47(2%)
minecraft.used.snow_block: #11, 413(2%)
minecraft.used.dark_oak_boat: #11, 20(2%)
minecraft.dropped.end_rod: #11, 57(2%)
minecraft.crafted.stone_pressure_plate: #11, 78(2%)
minecraft.picked_up.item_frame: #11, 100(1%)
minecraft.dropped.redstone_block: #11, 37(2%)
minecraft.crafted.item_frame: #11, 111(1%)
minecraft.picked_up.barrel: #11, 29(2%)
minecraft.picked_up.oak_fence_gate: #11, 18(2%)
minecraft.used.end_rod: #11, 273(1%)
minecraft.picked_up.glass: #11, 3410(1%)
minecraft.used.golden_apple: #11, 4(2%)
minecraft.crafted.polished_andesite: #11, 1168(1%)
minecraft.mined.oak_fence_gate: #11, 13(2%)
minecraft.used.green_shulker_box: #11, 43(2%)
minecraft.dropped.golden_apple: #11, 1(3%)
minecraft.picked_up.green_shulker_box: #11, 42(2%)
minecraft.picked_up.sandstone_slab: #11, 172(2%)
minecraft.mined.cyan_terracotta: #11, 751(1%)
minecraft.dropped.sandstone_slab: #11, 31(2%)
minecraft.crafted.gray_concrete_powder: #11, 1888(2%)
minecraft.mined.green_shulker_box: #11, 39(2%)
minecraft.mined.yellow_carpet: #11, 10(2%)
minecraft.used.gray_concrete_powder: #11, 1907(2%)
minecraft.mined.end_stone: #11, 367(2%)
minecraft.picked_up.poppy: #11, 592(1%)
minecraft.mined.spruce_pressure_plate: #11, 3(2%)
minecraft.mined.packed_ice: #11, 3345(1%)
minecraft.mined.orange_tulip: #11, 12(1%)
minecraft.picked_up.packed_ice: #11, 3330(1%)
minecraft.used.spruce_pressure_plate: #11, 6(1%)
minecraft.crafted.polished_granite: #11, 236(1%)
minecraft.killed.horse: #11, 2(1%)
minecraft.picked_up.rose_bush: #11, 115(1%)
minecraft.broken.diamond_shovel: #11, 1(2%)
minecraft.crafted.lime_dye: #11, 244(1%)
minecraft.used.oak_pressure_plate: #11, 4(1%)
minecraft.dropped.nether_bricks: #11, 13(1%)
minecraft.custom.bell_ring: #11, 16(1%)
minecraft.used.smooth_stone: #11, 372(1%)
minecraft.mined.lime_carpet: #11, 5(1%)
minecraft.mined.brown_carpet: #11, 8(1%)
minecraft.dropped.feather: #11, 68(1%)
minecraft.dropped.gold_ore: #11, 26(1%)
minecraft.picked_up.brown_carpet: #11, 14(1%)
minecraft.mined.bricks: #11, 38(1%)
minecraft.picked_up.stone: #12, 115335(4%)
minecraft.crafted.end_crystal: #11, 1(1%)
minecraft.used.black_wool: #11, 61(1%)
minecraft.picked_up.orange_concrete: #11, 67(1%)
minecraft.mined.magenta_wool: #11, 1(1%)
minecraft.picked_up.bricks: #11, 44(1%)
minecraft.dropped.polished_diorite: #11, 8(1%)
minecraft.used.bubble_coral_fan: #11, 6(1%)
minecraft.picked_up.blue_ice: #11, 86(1%)
minecraft.crafted.pumpkin_pie: #11, 23(1%)
minecraft.picked_up.black_concrete_powder: #11, 368(0%)
minecraft.crafted.black_stained_glass: #11, 200(1%)
minecraft.killed.vex: #11, 3(1%)
minecraft.mined.andesite_wall: #11, 2(1%)
minecraft.mined.gray_concrete_powder: #11, 26(0%)
minecraft.used.orange_concrete: #11, 33(0%)
minecraft.mined.gray_stained_glass: #11, 11(0%)
minecraft.picked_up.dark_oak_sapling: #11, 39(0%)
minecraft.mined.blue_terracotta: #11, 6(0%)
minecraft.dropped.brown_wool: #11, 1(0%)
minecraft.used.purpur_pillar: #11, 5(0%)
minecraft.dropped.observer: #11, 1(0%)
minecraft.dropped.purpur_block: #11, 4(0%)
minecraft.used.purpur_slab: #11, 1(0%)
minecraft.custom.drop: #12, 5484(3%)
minecraft.mined.polished_andesite_stairs: #11, 3(0%)
minecraft.mined.dried_kelp_block: #11, 2(0%)
minecraft.crafted.packed_ice: #11, 30(0%)
minecraft.mined.purple_wool: #11, 2(0%)
minecraft.picked_up.polished_andesite_stairs: #11, 3(0%)
minecraft.crafted.dark_prismarine: #11, 42(0%)
minecraft.picked_up.map: #11, 1(0%)
minecraft.picked_up.iron_ingot: #11, 840(0%)
minecraft.used.nether_brick_fence: #11, 1(0%)
minecraft.crafted.sea_lantern: #11, 64(0%)
minecraft.dropped.black_stained_glass: #11, 1(0%)
minecraft.dropped.light_gray_stained_glass_pane: #11, 1(0%)
minecraft.mined.birch_button: #11, 3(0%)
minecraft.used.melon: #11, 1(0%)
minecraft.picked_up.spruce_trapdoor: #12, 350(4%)
minecraft.crafted.iron_pickaxe: #12, 22(4%)
minecraft.used.torch: #12, 10900(3%)
minecraft.used.iron_sword: #12, 583(3%)
minecraft.picked_up.diamond_shovel: #12, 49(4%)
minecraft.mined.torch: #12, 1575(3%)
minecraft.picked_up.bucket: #12, 42(4%)
minecraft.killed_by.player: #12, 3(4%)
minecraft.crafted.oak_boat: #12, 15(3%)
minecraft.mined.crafting_table: #12, 236(3%)
minecraft.used.stone: #12, 26719(3%)
minecraft.used.red_shulker_box: #12, 318(3%)
minecraft.picked_up.firework_rocket: #12, 3223(3%)
minecraft.mined.red_shulker_box: #12, 311(3%)
minecraft.mined.wall_torch: #12, 560(3%)
minecraft.used.writable_book: #12, 103(3%)
minecraft.dropped.torch: #12, 352(3%)
minecraft.mined.grass_block: #12, 17577(2%)
minecraft.killed.chicken: #12, 88(3%)
minecraft.mined.iron_ore: #12, 3135(3%)
minecraft.crafted.spruce_planks: #12, 10883(2%)
minecraft.used.spruce_slab: #12, 1619(2%)
minecraft.custom.walk_on_water_one_cm: #13, 6367576(3%)
minecraft.dropped.bone_meal: #12, 277(3%)
minecraft.crafted.spruce_trapdoor: #12, 648(3%)
minecraft.picked_up.trident: #12, 23(3%)
minecraft.mined.wheat: #12, 1362(2%)
minecraft.crafted.ender_eye: #12, 18(3%)
minecraft.dropped.diamond_shovel: #12, 5(3%)
minecraft.dropped.elytra: #12, 5(3%)
minecraft.mined.birch_planks: #12, 89(3%)
minecraft.mined.sea_lantern: #12, 217(2%)
minecraft.dropped.rail: #12, 95(3%)
minecraft.picked_up.stone_pressure_plate: #12, 59(2%)
minecraft.dropped.oak_leaves: #12, 116(2%)
minecraft.used.yellow_shulker_box: #12, 150(2%)
minecraft.mined.yellow_shulker_box: #12, 147(2%)
minecraft.mined.quartz_pillar: #12, 86(2%)
minecraft.picked_up.yellow_shulker_box: #12, 148(2%)
minecraft.used.snowball: #12, 57(2%)
minecraft.picked_up.glowstone: #12, 350(2%)
minecraft.dropped.gunpowder: #12, 155(2%)
minecraft.crafted.leather_boots: #12, 17(2%)
minecraft.mined.light_gray_shulker_box: #12, 76(2%)
minecraft.used.trident: #12, 479(1%)
minecraft.picked_up.light_gray_shulker_box: #12, 77(2%)
minecraft.killed.drowned: #12, 228(1%)
minecraft.mined.coal_block: #12, 38(1%)
minecraft.mined.sandstone: #12, 2958(1%)
minecraft.picked_up.sandstone: #12, 2935(1%)
minecraft.dropped.iron_ingot: #12, 223(1%)
minecraft.picked_up.dark_oak_door: #12, 5(2%)
minecraft.mined.red_wool: #12, 34(2%)
minecraft.dropped.coal_ore: #12, 136(2%)
minecraft.dropped.soul_sand: #12, 43(1%)
minecraft.picked_up.phantom_membrane: #12, 60(1%)
minecraft.dropped.netherrack: #12, 3860(1%)
minecraft.picked_up.dark_oak_boat: #12, 14(1%)
minecraft.used.cyan_terracotta: #12, 2515(1%)
minecraft.crafted.gray_dye: #12, 512(1%)
minecraft.mined.snow_block: #12, 135(1%)
minecraft.picked_up.clay_ball: #12, 680(1%)
minecraft.picked_up.polished_granite: #12, 94(1%)
minecraft.used.yellow_carpet: #12, 51(1%)
minecraft.dropped.iron_helmet: #12, 3(1%)
minecraft.crafted.leather_leggings: #12, 11(1%)
minecraft.picked_up.quartz_pillar: #12, 95(1%)
minecraft.crafted.yellow_carpet: #12, 63(1%)
minecraft.used.cracked_stone_bricks: #12, 103(1%)
minecraft.crafted.brick: #12, 407(1%)
minecraft.used.mossy_cobblestone: #12, 32(1%)
minecraft.used.light_blue_stained_glass: #12, 384(1%)
minecraft.picked_up.yellow_carpet: #12, 14(1%)
minecraft.mined.chiseled_quartz_block: #12, 9(1%)
minecraft.crafted.yellow_bed: #12, 1(1%)
minecraft.picked_up.conduit: #12, 1(1%)
minecraft.killed.wither: #12, 3(1%)
minecraft.used.tube_coral_fan: #12, 7(1%)
minecraft.crafted.spruce_button: #12, 9(1%)
minecraft.killed.wither_skeleton: #12, 181(1%)
minecraft.picked_up.chiseled_stone_bricks: #12, 13(1%)
minecraft.picked_up.chiseled_quartz_block: #12, 8(1%)
minecraft.picked_up.bread: #12, 10(1%)
minecraft.dropped.white_concrete: #12, 50(1%)
minecraft.crafted.jungle_slab: #12, 48(1%)
minecraft.used.blue_concrete_powder: #12, 64(1%)
minecraft.dropped.fishing_rod: #12, 3(1%)
minecraft.crafted.green_wool: #12, 6(1%)
minecraft.killed_by.zombie: #12, 2(0%)
minecraft.crafted.black_stained_glass_pane: #12, 32(0%)
minecraft.crafted.birch_pressure_plate: #12, 2(0%)
minecraft.mined.black_concrete_powder: #12, 13(0%)
minecraft.used.stone_brick_wall: #12, 30(0%)
minecraft.picked_up.andesite_wall: #12, 2(0%)
minecraft.custom.interact_with_stonecutter: #12, 4(0%)
minecraft.used.stonecutter: #12, 3(0%)
minecraft.mined.smooth_quartz: #12, 13(0%)
minecraft.mined.stone_brick_wall: #12, 4(0%)
minecraft.crafted.cookie: #12, 30(0%)
minecraft.crafted.stonecutter: #12, 2(0%)
minecraft.used.magenta_wool: #12, 1(0%)
minecraft.crafted.gray_stained_glass: #12, 144(0%)
minecraft.dropped.iron_axe: #12, 2(0%)
minecraft.dropped.light_blue_stained_glass: #12, 1(0%)
minecraft.picked_up.snow: #12, 126(0%)
minecraft.picked_up.acacia_fence: #12, 3(0%)
minecraft.mined.acacia_fence: #12, 3(0%)
minecraft.dropped.emerald: #12, 11(0%)
minecraft.crafted.daylight_detector: #12, 2(0%)
minecraft.picked_up.stone_brick_wall: #12, 3(0%)
minecraft.used.light_gray_wool: #12, 17(0%)
minecraft.picked_up.tube_coral: #12, 1(0%)
minecraft.mined.acacia_wood: #12, 2(0%)
minecraft.picked_up.acacia_wood: #12, 2(0%)
minecraft.used.bricks: #12, 30(0%)
minecraft.mined.blue_ice: #12, 15(0%)
minecraft.mined.prismarine_brick_slab: #12, 2(0%)
minecraft.dropped.light_gray_wool: #12, 1(0%)
minecraft.used.polished_andesite_stairs: #12, 3(0%)
minecraft.picked_up.bubble_coral_block: #12, 2(0%)
minecraft.used.carrot_on_a_stick: #12, 3(0%)
minecraft.dropped.light_gray_concrete_powder: #12, 1(0%)
minecraft.dropped.lime_terracotta: #12, 1(0%)
minecraft.picked_up.melon: #12, 2(0%)
minecraft.dropped.dried_kelp: #12, 1(0%)
minecraft.custom.damage_taken: #13, 210681(3%)
minecraft.custom.sleep_in_bed: #13, 1031(3%)
minecraft.picked_up.torch: #13, 5555(3%)
minecraft.custom.aviate_one_cm: #13, 232335769(3%)
minecraft.used.crafting_table: #13, 265(3%)
minecraft.picked_up.crafting_table: #13, 241(3%)
minecraft.picked_up.dirt: #13, 28459(2%)
minecraft.picked_up.coal_ore: #13, 1879(3%)
minecraft.crafted.iron_axe: #13, 7(2%)
minecraft.picked_up.iron_ore: #13, 2908(2%)
minecraft.crafted.iron_bars: #13, 832(2%)
minecraft.picked_up.detector_rail: #13, 18(3%)
minecraft.crafted.spruce_slab: #13, 1356(2%)
minecraft.used.item_frame: #13, 233(2%)
minecraft.crafted.redstone_block: #13, 954(2%)
minecraft.mined.spruce_planks: #13, 511(2%)
minecraft.dropped.dirt: #13, 2133(2%)
minecraft.mined.iron_block: #13, 797(2%)
minecraft.picked_up.gunpowder: #13, 479(2%)
minecraft.dropped.paper: #13, 223(2%)
minecraft.used.beacon: #13, 18(2%)
minecraft.used.cobblestone: #13, 4946(2%)
minecraft.dropped.potion: #13, 15(2%)
minecraft.picked_up.iron_helmet: #13, 6(2%)
minecraft.used.shears: #13, 4232(2%)
minecraft.killed_by.enderman: #13, 1(3%)
minecraft.dropped.stone_brick_slab: #13, 79(2%)
minecraft.mined.quartz_slab: #13, 260(2%)
minecraft.crafted.light_gray_dye: #13, 590(2%)
minecraft.used.light_gray_shulker_box: #13, 75(2%)
minecraft.crafted.lapis_lazuli: #13, 599(1%)
minecraft.dropped.oak_sapling: #13, 58(1%)
minecraft.mined.beacon: #13, 9(2%)
minecraft.picked_up.beacon: #13, 10(2%)
minecraft.dropped.book: #13, 10(2%)
minecraft.used.grass_block: #13, 3640(1%)
minecraft.picked_up.paper: #13, 444(1%)
minecraft.dropped.lever: #13, 11(1%)
minecraft.dropped.iron_boots: #13, 2(2%)
minecraft.picked_up.quartz_slab: #13, 249(1%)
minecraft.mined.kelp_plant: #13, 411(1%)
minecraft.used.end_stone_bricks: #13, 74(1%)
minecraft.picked_up.cyan_terracotta: #13, 889(1%)
minecraft.dropped.lava_bucket: #13, 1(2%)
minecraft.crafted.spruce_pressure_plate: #13, 6(1%)
minecraft.used.flint_and_steel: #13, 53(1%)
minecraft.used.dark_oak_door: #13, 7(1%)
minecraft.dropped.spruce_trapdoor: #13, 7(1%)
minecraft.mined.spruce_sign: #13, 1(2%)
minecraft.dropped.stone_bricks: #13, 222(1%)
minecraft.crafted.white_dye: #13, 674(1%)
minecraft.picked_up.wither_skeleton_skull: #13, 6(1%)
minecraft.crafted.sugar: #13, 68(1%)
minecraft.dropped.shield: #13, 1(1%)
minecraft.dropped.stone_sword: #13, 12(1%)
minecraft.picked_up.white_concrete: #13, 2379(1%)
minecraft.used.glass_pane: #13, 95(1%)
minecraft.dropped.iron_ore: #13, 147(1%)
minecraft.used.quartz_pillar: #13, 157(1%)
minecraft.mined.smooth_stone: #13, 99(1%)
minecraft.dropped.iron_shovel: #13, 2(1%)
minecraft.mined.stripped_spruce_log: #13, 19(1%)
minecraft.picked_up.smooth_stone: #13, 230(1%)
minecraft.dropped.glass_bottle: #13, 14(1%)
minecraft.used.end_crystal: #13, 1(1%)
minecraft.picked_up.acacia_boat: #13, 2(1%)
minecraft.picked_up.white_concrete_powder: #13, 1103(1%)
minecraft.used.wither_skeleton_skull: #13, 9(1%)
minecraft.used.purple_shulker_box: #13, 11(1%)
minecraft.picked_up.purple_shulker_box: #13, 11(1%)
minecraft.mined.purple_shulker_box: #13, 12(1%)
minecraft.picked_up.red_banner: #13, 4(1%)
minecraft.mined.birch_fence: #13, 5(0%)
minecraft.used.apple: #13, 5(0%)
minecraft.used.black_stained_glass: #13, 97(0%)
minecraft.custom.use_cauldron: #13, 1(0%)
minecraft.used.red_banner: #13, 4(0%)
minecraft.dropped.stone_pressure_plate: #13, 4(0%)
minecraft.picked_up.jungle_slab: #13, 6(0%)
minecraft.picked_up.chorus_fruit: #13, 54(0%)
minecraft.used.cornflower: #13, 1(0%)
minecraft.picked_up.purple_stained_glass_pane: #13, 2(0%)
minecraft.dropped.sand: #13, 415(0%)
minecraft.mined.oak_wood: #13, 3(0%)
minecraft.used.blue_concrete: #13, 20(0%)
minecraft.crafted.oak_wood: #13, 12(0%)
minecraft.used.dark_prismarine: #13, 39(0%)
