stat, rank, value, (percentage) 
minecraft.used.furnace_minecart: #1, 1(100%)
minecraft.mined.zombie_head: #1, 1(100%)
minecraft.used.nether_wart: #3, 9386(19%)
minecraft.mined.jungle_stairs: #3, 220(21%)
minecraft.mined.note_block: #3, 174(16%)
minecraft.mined.red_nether_bricks: #2, 208(19%)
minecraft.picked_up.golden_sword: #2, 78(12%)
minecraft.used.purple_carpet: #2, 303(16%)
minecraft.mined.lime_stained_glass_pane: #3, 120(18%)
minecraft.mined.orange_stained_glass_pane: #2, 85(17%)
minecraft.used.light_blue_terracotta: #2, 1992(11%)
minecraft.mined.gray_carpet: #3, 436(15%)
minecraft.picked_up.jungle_planks: #3, 364(15%)
minecraft.picked_up.jungle_stairs: #3, 221(20%)
minecraft.mined.red_nether_brick_slab: #2, 74(30%)
minecraft.mined.light_blue_concrete_powder: #2, 121(14%)
minecraft.picked_up.purpur_pillar: #2, 369(14%)
minecraft.dropped.oxeye_daisy: #3, 325(16%)
minecraft.picked_up.light_gray_carpet: #2, 718(8%)
minecraft.mined.yellow_stained_glass: #3, 206(15%)
minecraft.dropped.redstone_lamp: #2, 10(19%)
minecraft.mined.white_bed: #3, 250(11%)
minecraft.dropped.azure_bluet: #3, 448(16%)
minecraft.dropped.lime_stained_glass_pane: #2, 64(34%)
minecraft.crafted.paper: #3, 76745(12%)
minecraft.mined.stripped_birch_log: #3, 1091(14%)
minecraft.mined.oak_stairs: #3, 474(12%)
minecraft.crafted.bone_meal: #3, 114885(9%)
minecraft.picked_up.water_bucket: #3, 102(11%)
minecraft.mined.birch_trapdoor: #3, 107(14%)
minecraft.picked_up.stripped_birch_log: #3, 1097(14%)
minecraft.used.birch_sapling: #4, 2066(18%)
minecraft.mined.dispenser: #3, 217(12%)
minecraft.dropped.leather_helmet: #3, 28(12%)
minecraft.picked_up.note_block: #3, 176(13%)
minecraft.picked_up.yellow_bed: #2, 56(11%)
minecraft.crafted.birch_sign: #3, 315(14%)
minecraft.picked_up.red_nether_bricks: #2, 207(17%)
minecraft.used.birch_fence_gate: #2, 107(14%)
minecraft.broken.fishing_rod: #3, 14(19%)
minecraft.picked_up.written_book: #3, 193(10%)
minecraft.picked_up.white_bed: #3, 267(10%)
minecraft.used.sugar_cane: #4, 4499(15%)
minecraft.mined.oak_wall_sign: #3, 333(10%)
minecraft.used.comparator: #3, 874(11%)
minecraft.used.white_bed: #3, 279(10%)
minecraft.dropped.sugar_cane: #3, 1771(12%)
minecraft.picked_up.orange_stained_glass_pane: #2, 116(14%)
minecraft.crafted.red_nether_brick_slab: #2, 390(23%)
minecraft.picked_up.orange_carpet: #3, 61(20%)
minecraft.custom.traded_with_villager: #3, 24223(11%)
minecraft.used.red_stained_glass_pane: #3, 911(17%)
minecraft.dropped.leather_chestplate: #3, 27(12%)
minecraft.used.iron_trapdoor: #3, 2246(10%)
minecraft.dropped.smooth_sandstone_stairs: #2, 17(44%)
minecraft.mined.white_wall_banner: #3, 54(14%)
minecraft.mined.magenta_stained_glass: #3, 102(16%)
minecraft.crafted.iron_boots: #3, 29(8%)
minecraft.picked_up.nether_brick_fence: #3, 152(14%)
minecraft.picked_up.oak_sapling: #4, 4020(10%)
minecraft.crafted.birch_boat: #3, 25(13%)
minecraft.picked_up.oak_door: #3, 99(12%)
minecraft.used.slime_block: #3, 1739(10%)
minecraft.used.red_nether_brick_slab: #2, 288(19%)
minecraft.dropped.oak_slab: #3, 168(13%)
minecraft.broken.wooden_shovel: #2, 4(36%)
minecraft.crafted.diamond_chestplate: #3, 7(10%)
minecraft.picked_up.white_shulker_box: #3, 935(10%)
minecraft.crafted.arrow: #2, 222(10%)
minecraft.mined.oak_pressure_plate: #3, 25(11%)
minecraft.picked_up.oak_pressure_plate: #3, 45(10%)
minecraft.killed.iron_golem: #3, 23(23%)
minecraft.mined.white_shulker_box: #3, 891(10%)
minecraft.used.zombie_head: #2, 1(50%)
minecraft.mined.diorite_slab: #2, 6(24%)
minecraft.used.tnt: #3, 977(11%)
minecraft.mined.black_carpet: #3, 110(11%)
minecraft.used.oak_sapling: #4, 2640(10%)
minecraft.mined.bookshelf: #3, 512(8%)
minecraft.picked_up.birch_sapling: #4, 1999(12%)
minecraft.picked_up.golden_helmet: #3, 29(9%)
minecraft.picked_up.slime_block: #3, 1134(9%)
minecraft.picked_up.golden_boots: #3, 33(8%)
minecraft.crafted.sticky_piston: #4, 1208(12%)
minecraft.used.quartz_stairs: #3, 2302(8%)
minecraft.dropped.gold_nugget: #3, 1156(9%)
minecraft.mined.redstone_block: #3, 466(9%)
minecraft.mined.redstone_lamp: #3, 158(10%)
minecraft.dropped.golden_leggings: #3, 22(8%)
minecraft.mined.spawner: #2, 8(6%)
minecraft.picked_up.red_concrete_powder: #3, 512(11%)
minecraft.picked_up.hopper: #4, 1581(12%)
minecraft.picked_up.carrot: #4, 19289(12%)
minecraft.crafted.birch_fence_gate: #3, 97(13%)
minecraft.picked_up.sugar_cane: #3, 13936(7%)
minecraft.picked_up.cake: #3, 21(14%)
minecraft.used.white_wool: #4, 819(12%)
minecraft.picked_up.brown_stained_glass: #3, 806(16%)
minecraft.mined.white_banner: #3, 18(10%)
minecraft.picked_up.nautilus_shell: #3, 64(8%)
minecraft.picked_up.shulker_shell: #3, 1677(11%)
minecraft.picked_up.red_nether_brick_slab: #3, 77(27%)
minecraft.used.birch_sign: #4, 254(11%)
minecraft.crafted.brown_wool: #3, 106(15%)
minecraft.dropped.red_concrete: #3, 64(12%)
minecraft.picked_up.slime_ball: #3, 3235(7%)
minecraft.crafted.red_bed: #3, 15(9%)
minecraft.mined.carrots: #4, 3561(11%)
minecraft.crafted.snow: #3, 1188(11%)
minecraft.picked_up.sticky_piston: #4, 750(11%)
minecraft.used.bookshelf: #3, 529(6%)
minecraft.used.red_nether_bricks: #3, 946(14%)
minecraft.crafted.piston: #4, 1962(10%)
minecraft.used.dispenser: #4, 394(10%)
minecraft.crafted.light_gray_carpet: #4, 2016(12%)
minecraft.crafted.oak_slab: #4, 2645(10%)
minecraft.used.smooth_sandstone_stairs: #2, 265(5%)
minecraft.custom.trigger_trapped_chest: #4, 328(11%)
minecraft.used.rail: #4, 8685(11%)
minecraft.mined.composter: #4, 55(14%)
minecraft.dropped.cyan_concrete: #3, 20(16%)
minecraft.used.oak_fence: #4, 1013(9%)
minecraft.crafted.oak_door: #4, 69(12%)
minecraft.used.lilac: #3, 104(8%)
minecraft.mined.sticky_piston: #4, 583(10%)
minecraft.killed.slime: #4, 1667(11%)
minecraft.crafted.bow: #3, 335(6%)
minecraft.custom.inspect_dropper: #4, 1618(9%)
minecraft.crafted.iron_leggings: #4, 27(8%)
minecraft.crafted.smooth_quartz_stairs: #3, 320(11%)
