Player Name,BadTimeWithScar,BdoubleO100,Cojomax99,Couriway,Cub_Cam,Docm77,Dot_Dot_Dash,Etho,Eyjoy27,F1RECRACKR,GeminiTay,GoodTimeWithScar,Grian,HBomb94,HypnotizdCam,ImpulseCam,InTheLittleWood,JamalMC_,Kamalis1,Keralis1,Mumbo,MumboDrone,MythicalSausage,OrionSound,PearlescentMoo,PearlescentMoon,Plagiatus,Renthedog,Skizzleman,Smajor1995,Smallishbeans,SolidarityGaming,Tango,TangoCam,TwoMuchGrian,VintageBeef,Welsknight,Xisuma,ZedCam,Zedaph,ZombieCleo,_Jevination_,aimsey,belmarzi,cubfan135,falsesymmetry,hannahxxrose,hypnotizd,iJevin,impulseSV,joehillssays,jojosolos,xBCam,xBCrafted,xisumavoid
minecraft.crafted.oxidized_chiseled_copper,0,4,0,0,0,0,0,64,0,0,33,60,0,0,0,0,0,0,0,16,0,0,0,0,0,21,0,8,0,0,48,0,24,0,0,0,0,0,0,0,0,0,0,0,64,48,0,4,0,0,0,0,0,0,0
minecraft.crafted.oxidized_copper_bulb,0,0,0,0,0,0,0,696,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,24,0,0,0,0,24,0,4,0,0,0,0,124,0,0,0,0,0,0,52,32,0,4,0,12,0,0,0,0,0
minecraft.crafted.oxidized_copper_door,0,9,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
minecraft.crafted.oxidized_copper_grate,0,12,0,0,0,0,0,64,0,0,128,24,44,0,0,0,0,0,0,56,4,0,0,0,0,176,0,64,0,0,0,0,64,0,0,0,0,60,0,0,16,0,0,0,36,12,0,24,0,0,0,0,0,20,0
minecraft.crafted.oxidized_copper_trapdoor,0,22,0,0,0,0,0,4,0,0,6,152,6,0,0,0,0,0,0,12,8,0,0,0,0,162,0,68,0,0,16,0,144,0,0,0,0,116,0,0,38,0,0,0,28,242,0,0,0,26,0,0,0,0,0
minecraft.crafted.oxidized_cut_copper,0,52,0,0,0,4,0,80,0,0,152,84,56,0,0,0,0,0,0,224,52,0,0,0,0,60,0,4,0,0,56,0,16,0,0,0,0,64,0,0,0,0,0,0,60,124,0,8,0,4,0,0,0,0,0
minecraft.crafted.oxidized_cut_copper_slab,0,90,0,0,0,0,0,66,8,0,94,194,0,0,0,0,0,0,0,30,84,0,0,0,0,0,0,0,0,0,56,0,222,0,0,0,0,8,0,0,56,0,0,0,128,150,0,312,0,0,0,0,0,0,0
minecraft.crafted.oxidized_cut_copper_stairs,0,0,0,0,0,4,0,12,4,0,96,8,36,0,0,0,0,0,0,188,0,0,0,0,0,0,0,4,0,0,60,0,96,0,0,0,0,13,0,0,0,0,0,0,0,41,0,156,0,0,0,0,0,0,0
minecraft.crafted.packed_ice,0,0,0,0,0,7,0,95,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,63,24,0,0,0,17,0,0,0,0,192,0,0,0,0,0,0,66,6,0,0,0,0,2254,0,0,0,0
minecraft.crafted.packed_mud,0,780,0,0,0,176,0,6335,0,0,1265,9790,2559,0,0,0,0,0,0,4645,5656,0,0,0,0,10938,0,35378,593,0,786,0,1086,0,0,915,1847,15861,0,205,2807,0,0,0,60,8360,0,5,1097,344,382,0,0,341,0
minecraft.crafted.painting,0,99,0,0,0,4,0,739,0,0,45,231,5,0,0,0,0,0,0,50,32,0,0,0,0,65,0,43,0,0,55,0,67,0,0,28,31,248,0,0,43,0,0,0,124,59,0,72,323,96,7,0,0,20,0
minecraft.crafted.pale_hanging_moss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.pale_moss_block,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.pale_moss_carpet,0,5490,0,0,0,705,0,90,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,84,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,705,111,0,0,0,48,276,0,0,0,0
minecraft.crafted.pale_oak_boat,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
minecraft.crafted.pale_oak_button,0,67,0,0,0,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,195,7,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,1,15,0,0,1,17,11,0,0,0,0
minecraft.crafted.pale_oak_door,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,3,0,90,0,0,0,0
minecraft.crafted.pale_oak_fence,0,99,0,0,0,4611,0,6,0,0,0,132,0,0,0,0,0,0,0,216,15,0,0,0,0,258,0,48,9,0,72,0,0,0,0,0,0,3,0,0,9,0,0,0,528,24,0,0,0,0,201,0,0,0,0
minecraft.crafted.pale_oak_fence_gate,0,38,0,0,0,472,0,0,0,0,0,196,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,1,8,10,0,0,0,0
minecraft.crafted.pale_oak_hanging_sign,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.pale_oak_planks,0,1052,0,0,0,12942,0,20,0,0,196,3660,1408,0,0,0,0,0,0,2384,2028,0,0,0,0,436,0,1076,544,0,4324,103,512,0,0,0,0,620,0,0,404,0,0,0,2663,812,0,0,412,3288,3508,0,0,272,0
minecraft.crafted.pale_oak_pressure_plate,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,10,0,0,0,0,4,5,0,0,0,0
minecraft.crafted.pale_oak_sapling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.pale_oak_sign,0,93,0,0,0,9,0,0,0,0,3,102,0,0,0,0,0,0,0,36,0,0,0,0,0,9,0,84,36,0,69,0,0,0,0,0,0,36,0,0,21,0,0,0,3,75,0,0,0,15,696,0,0,0,0
minecraft.crafted.pale_oak_slab,0,162,0,0,0,156,0,0,0,0,42,588,6,0,0,0,0,0,0,72,186,0,0,0,0,6,0,0,186,0,540,0,0,0,0,0,0,6,0,0,0,0,0,0,246,30,0,0,48,566,312,0,0,0,0
minecraft.crafted.pale_oak_stairs,0,44,0,0,0,32,0,0,0,0,24,356,164,0,0,0,0,0,0,128,0,0,0,0,0,4,0,0,44,0,100,0,0,0,0,0,0,76,0,0,0,0,0,0,204,8,0,0,0,220,88,0,0,0,0
minecraft.crafted.pale_oak_trapdoor,0,98,0,0,0,620,0,2,0,0,26,228,20,0,0,0,0,0,0,516,444,0,0,0,0,20,0,16,76,0,274,0,148,0,0,0,0,94,0,0,46,0,0,0,310,118,0,0,4,764,160,0,0,4,0
minecraft.crafted.pale_oak_wood,0,12,0,0,0,42,0,0,0,0,3,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,243,0,3,0,0,0,0,0,0,18,0,0,441,0,0,0,312,1488,0,0,3,0,150,0,0,144,0
minecraft.crafted.paper,0,891,0,0,0,2451,0,13482,0,0,1932,32547,9033,0,0,0,0,0,0,6051,2646,0,0,0,0,2421,0,23026,2727,0,1257,0,5052,0,0,5238,1365,10285,0,795,1644,0,0,0,27957,6576,0,5388,14652,4071,27741,0,0,2187,0
minecraft.crafted.pink_banner,0,1,0,0,0,104,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,180,0,31,0,0,0,0,1,0,1,0,0,10,0,0,0,32,9,0,0,0,0,0,0,0,0,0
minecraft.crafted.pink_bed,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.pink_bundle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.pink_candle,0,2,0,0,0,0,0,4,0,0,0,12,3,0,0,0,0,0,0,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.pink_carpet,0,0,0,0,0,678,0,0,0,0,3,0,0,0,0,0,0,0,0,15,33,0,0,0,0,3,0,0,0,0,12,0,0,0,0,3,0,2646,0,351,3,0,0,0,9,21,0,6,96,0,6,6,0,0,0
