Player Name,BadTimeWithScar,Biffa001,Biffa2001,Cub_Cam,Docm77,Etho,EvilXisuma,GoodTimeWithScar,ImpulseCam,Jessassin,Lechaion,Mumbo,MumboJumbo,PuddleduckGG,PythonGB,Renthedog,Tango,TangoCam,Tinfoilchef,VintageBeef,WFRTNews,WellsGlazes,WelsCam,Welsknight,Xisuma,ZombieCleo,cubfan135,falsesymmetry,hypnotizd,iJevin,impulseSV,isGall85,iskall85,joehillssays,monkeyfarm,truesymmetry,xBCrafted,xisumavoid,zueljin
stat.pickup.minecraft.gold_nugget,0,0,23,0,0,19,0,127,0,2,0,0,6856,0,2,19,12451,0,7,0,0,0,0,24,2601,69,897,52,0,308,67880,0,388,34,0,0,0,620,0
stat.pickup.minecraft.gold_ore,0,0,158,0,91,338,0,2088,0,48,0,91,681,0,510,1077,171,0,3314,120,0,0,0,942,955,345,695,1183,0,818,203,0,1876,153,0,0,39,0,0
stat.pickup.minecraft.golden_apple,0,0,0,0,0,3,0,21,0,0,0,0,7,0,5,17,3,0,6,0,0,0,0,9,52,0,9,52,0,53,5,0,119,0,0,0,0,0,1
stat.pickup.minecraft.golden_axe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.pickup.minecraft.golden_boots,0,0,1,0,15,5,0,167,0,6,0,5,13,0,24,134,21,0,17,1,0,0,0,45,34,19,51,78,0,28,66,0,46,43,0,0,1,1,0
stat.pickup.minecraft.golden_carrot,0,0,0,0,0,0,0,184,0,0,0,0,122,0,0,3430,742,0,0,63,0,33,0,166,908,0,138,261,0,552,815,0,1250,0,0,0,0,0,0
stat.pickup.minecraft.golden_chestplate,0,0,0,0,13,5,0,103,0,2,0,1,8,0,12,96,23,0,13,3,0,0,0,46,26,15,33,57,0,22,77,0,52,45,0,0,1,1,0
stat.pickup.minecraft.golden_helmet,0,0,0,0,8,3,0,108,0,6,0,5,11,0,17,87,21,0,8,3,0,0,0,35,28,16,46,52,0,19,62,0,27,33,0,0,2,1,0
stat.pickup.minecraft.golden_hoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.pickup.minecraft.golden_horse_armor,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,2,3,0,1,0,0,10,0,0,0,0,0,0,0,0,0
stat.pickup.minecraft.golden_leggings,0,0,0,0,15,7,0,128,0,3,0,6,13,0,18,99,26,0,16,3,0,0,0,35,29,15,31,60,0,33,70,0,44,41,0,0,2,1,0
