Player Name,BadTimeWithScar,BdoubleO100,CamM77,Cub_Cam,Docm77,Etho,EvilXisuma,Firecracker1195,GIGACAM,GeminiTay,GoodTimeWithScar,Grian,HBomb94,HumanCleo,HypnotizdCam,ImpulseCam,InTheLittleWood,Jessassin,Kamalis1,KarinSurfing,Keralis1,LDShadowLady,Maescool,Minerva246,Mumbo,MumboDrone,MumboJumbo,MythicalSausage,OrionSound,PearlescentMoo,PearlescentMoon,Pixlriffs,RentheKing,Renthedog,STEAKFG,ShubbleYT,Skizzleman,Smajor1995,Smallishbeans,SolidarityGaming,Stressmonster101,Stressmonsterin,Tango,TangoCam,Tinfoilchef,TwoMuchGrian,VintageBeef,Watcher_Grian,WelsCam,Welsknight,Xisuma,ZedCam,Zedaph,ZombieCleo,_Jevination_,cubfan135,fWhip,falsesymmetry,gnembon,hypnotizd,iJevin,impulseSV,isGall85,iskall85,joehillssays,joehillssees,kingbdogz,slicedlime,truesymmetry,xBCam,xBCrafted,xisumavoid
minecraft.picked_up.polished_diorite_slab,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,144,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0
minecraft.picked_up.polished_diorite_stairs,0,39,0,0,0,0,0,0,0,4,121,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,64,0,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,90,0,0,0,0,0,0,0,0,0,0,0,0,10,0
minecraft.picked_up.polished_granite,0,81,0,0,81,7,0,0,0,7,742,1185,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,722,0,0,289,0,0,0,0,0,0,0,0,419,0,0,0,1,0,0,0,31,0,2,23,0,205,0,1940,0,1,13,20,0,11,4,0,0,0,0,0,0,0
minecraft.picked_up.polished_granite_slab,0,87,0,0,26,2,0,0,0,0,513,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,270,0,2,905,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,81,0,1,1,0,201,0,424,0,0,23,2,0,0,6,0,0,0,0,0,4,0
minecraft.picked_up.polished_granite_stairs,0,0,0,0,11,0,0,0,0,2,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,41,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.picked_up.popped_chorus_fruit,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,92,0,0,0,342,0,0,0,0,0,0,0,0,0,0
minecraft.picked_up.poppy,0,178,0,0,3176,2867,0,0,0,41,393,480,0,0,0,0,0,0,0,0,914,0,0,0,28,0,7,8,0,0,548,0,242,577,0,0,0,1,1,0,78,0,3480,0,0,0,52,0,0,93,385,0,287,623,0,297,0,157,0,1517,10795,124,0,189,289,0,0,0,0,0,199,0
minecraft.picked_up.porkchop,0,7,0,0,13,146,0,0,0,16,12,136,0,0,0,0,0,0,0,0,225,0,0,0,11,0,8,0,7,0,79,8,0,127,0,0,0,0,0,0,22,0,33,0,0,0,95,0,0,26,89,0,37,60,0,76,3,16,0,3,929,39,0,10,107,0,0,0,0,0,153,0
minecraft.picked_up.potato,0,15,0,0,19,1050,0,0,0,509,3,8,0,0,0,0,0,0,0,0,92,0,0,0,173,0,173,0,3,0,1034,0,563,113,3,0,0,0,0,0,808,0,4048,0,0,0,2475,0,0,1748,744,0,794,903,0,259,0,225,0,151,208,1297,0,3568,4727,0,0,0,0,0,3699,0
minecraft.picked_up.potion,0,58,0,0,569,73,0,1,0,19,8,82,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,28,2,0,111,20,9,41,0,3,0,0,0,2,15,0,756,0,0,0,8,0,0,0,96,0,64,52,0,239,0,80,0,11,455,372,0,190,227,0,1,0,0,0,2,0
