stat, rank, value, (percentage) 
minecraft.dropped.netherite_helmet: #1, 14(41%)
minecraft.used.oak_fence: #1, 1509(23%)
minecraft.used.mud_brick_stairs: #1, 528(31%)
minecraft.killed.slime: #1, 2692(23%)
minecraft.mined.target: #1, 222(26%)
minecraft.crafted.black_shulker_box: #1, 29(26%)
minecraft.crafted.crimson_planks: #1, 5000(25%)
minecraft.crafted.black_stained_glass_pane: #1, 2762(26%)
minecraft.used.target: #1, 765(24%)
minecraft.used.crimson_trapdoor: #1, 737(32%)
minecraft.dropped.iron_boots: #1, 199(24%)
minecraft.crafted.raw_copper_block: #1, 8481(22%)
minecraft.used.vine: #1, 251(24%)
minecraft.mined.waxed_exposed_cut_copper: #1, 601(84%)
minecraft.mined.mangrove_slab: #1, 368(21%)
minecraft.crafted.comparator: #1, 1334(21%)
minecraft.picked_up.waxed_exposed_cut_copper: #1, 608(83%)
minecraft.mined.budding_amethyst: #1, 97(24%)
minecraft.picked_up.waxed_oxidized_copper_bulb: #1, 55(31%)
minecraft.mined.crimson_trapdoor: #1, 119(41%)
minecraft.mined.oak_fence: #1, 854(21%)
minecraft.used.waxed_cut_copper: #1, 3744(71%)
minecraft.used.white_concrete_powder: #1, 20824(21%)
minecraft.picked_up.resin_clump: #1, 9974(26%)
minecraft.crafted.iron_bars: #1, 6656(20%)
minecraft.mined.polished_diorite: #1, 150(21%)
minecraft.used.polished_tuff_slab: #1, 3562(19%)
minecraft.crafted.waxed_exposed_copper_bulb: #1, 524(97%)
minecraft.used.bamboo_mosaic_stairs: #1, 313(69%)
minecraft.dropped.warped_planks: #1, 363(48%)
minecraft.picked_up.magenta_wool: #2, 1468(32%)
minecraft.mined.birch_planks: #2, 948(23%)
minecraft.picked_up.birch_planks: #1, 1323(19%)
minecraft.crafted.brick_slab: #1, 170(34%)
minecraft.mined.resin_bricks: #1, 46(69%)
minecraft.mined.composter: #1, 453(19%)
minecraft.picked_up.bamboo_mosaic_stairs: #1, 98(79%)
minecraft.used.map: #1, 273(26%)
minecraft.mined.jungle_slab: #1, 265(21%)
minecraft.crafted.gray_carpet: #2, 3642(28%)
minecraft.used.bamboo_mosaic_slab: #1, 430(51%)
minecraft.dropped.netherite_leggings: #1, 16(27%)
minecraft.mined.granite_stairs: #1, 34(31%)
minecraft.used.blackstone_stairs: #2, 506(33%)
minecraft.picked_up.black_shulker_box: #2, 1220(25%)
minecraft.mined.black_shulker_box: #2, 1213(25%)
minecraft.picked_up.wither_rose: #1, 1764(25%)
minecraft.mined.jungle_trapdoor: #1, 214(22%)
minecraft.dropped.resin_clump: #2, 2636(42%)
minecraft.mined.creaking_heart: #1, 164(32%)
minecraft.dropped.bubble_coral_block: #1, 106(90%)
minecraft.used.brick_wall: #1, 232(30%)
minecraft.crafted.birch_planks: #1, 15972(17%)
minecraft.picked_up.clay_ball: #1, 13852(19%)
minecraft.picked_up.oxidized_copper_grate: #2, 519(26%)
minecraft.mined.furnace: #1, 527(18%)
minecraft.used.oxidized_copper_grate: #1, 598(21%)
minecraft.picked_up.granite_stairs: #1, 41(29%)
minecraft.used.jungle_log: #1, 2323(18%)
minecraft.dropped.netherite_boots: #1, 16(28%)
minecraft.mined.oxidized_copper_grate: #2, 520(27%)
minecraft.used.diamond_sword: #2, 198251(19%)
minecraft.crafted.stone_sword: #2, 89(22%)
minecraft.used.crafter: #1, 532(18%)
minecraft.crafted.nether_brick_slab: #1, 236(40%)
minecraft.picked_up.jungle_trapdoor: #1, 264(21%)
minecraft.mined.red_tulip: #2, 511(26%)
minecraft.mined.stonecutter: #1, 266(17%)
minecraft.mined.birch_trapdoor: #1, 100(23%)
minecraft.crafted.bamboo_mosaic_slab: #1, 312(39%)
minecraft.picked_up.waxed_cut_copper_slab: #1, 99(27%)
minecraft.custom.leave_game: #2, 3247(10%)
minecraft.crafted.lime_carpet: #1, 2991(43%)
minecraft.used.stonecutter: #1, 280(16%)
minecraft.crafted.black_carpet: #2, 3765(29%)
minecraft.mined.mud_bricks: #2, 984(22%)
minecraft.picked_up.stonecutter: #1, 266(16%)
minecraft.mined.diorite_wall: #1, 112(33%)
minecraft.picked_up.birch_trapdoor: #1, 114(24%)
minecraft.crafted.smooth_quartz_slab: #2, 834(27%)
minecraft.used.oxidized_copper_bulb: #1, 171(30%)
minecraft.used.nether_brick_slab: #1, 395(47%)
minecraft.picked_up.black_wool: #2, 6947(22%)
minecraft.picked_up.white_glazed_terracotta: #1, 69(70%)
minecraft.used.furnace: #1, 868(16%)
minecraft.used.waxed_exposed_cut_copper_slab: #1, 230(35%)
minecraft.broken.stone_sword: #1, 67(52%)
minecraft.picked_up.bone_meal: #2, 26097(18%)
minecraft.mined.waxed_cut_copper_slab: #1, 102(26%)
minecraft.mined.oak_slab: #1, 372(17%)
minecraft.mined.bamboo_mosaic_stairs: #1, 51(82%)
minecraft.mined.mud_brick_stairs: #1, 91(27%)
minecraft.picked_up.oak_fence: #1, 830(17%)
minecraft.dropped.white_stained_glass_pane: #1, 192(51%)
minecraft.used.lime_wool: #2, 2182(30%)
minecraft.used.crimson_sign: #1, 119(29%)
minecraft.used.mud_bricks: #2, 4136(21%)
minecraft.picked_up.orange_wool: #2, 1615(22%)
minecraft.mined.oxidized_copper_bulb: #2, 120(31%)
minecraft.mined.polished_tuff_slab: #1, 456(16%)
minecraft.crafted.oak_slab: #2, 7174(20%)
minecraft.mined.peony: #1, 105(17%)
minecraft.dropped.gunpowder: #2, 5851(19%)
minecraft.used.dried_ghast: #1, 407(49%)
minecraft.picked_up.glow_berries: #2, 1173(20%)
minecraft.mined.yellow_glazed_terracotta: #1, 104(43%)
minecraft.picked_up.composter: #1, 427(16%)
minecraft.crafted.oak_fence: #1, 783(17%)
minecraft.used.polished_tuff: #1, 7062(15%)
minecraft.picked_up.yellow_glazed_terracotta: #1, 124(42%)
minecraft.used.waxed_exposed_cut_copper_stairs: #1, 293(38%)
minecraft.picked_up.white_concrete: #1, 8125(15%)
minecraft.crafted.brown_bed: #1, 53(63%)
minecraft.used.copper_trapdoor: #2, 3005(22%)
minecraft.mined.purple_shulker_box: #2, 669(19%)
minecraft.crafted.oak_button: #1, 119(17%)
minecraft.mined.magenta_shulker_box: #1, 349(21%)
minecraft.used.magenta_shulker_box: #1, 354(21%)
minecraft.dropped.brown_shulker_box: #1, 12(38%)
minecraft.picked_up.magenta_shulker_box: #1, 352(21%)
minecraft.crafted.brown_banner: #2, 253(34%)
minecraft.used.glow_lichen: #2, 6853(19%)
minecraft.picked_up.purple_shulker_box: #2, 671(19%)
minecraft.used.waxed_weathered_copper: #1, 817(31%)
minecraft.used.gray_shulker_box: #2, 1133(20%)
minecraft.mined.brick_wall: #1, 47(37%)
minecraft.used.brown_bed: #1, 42(41%)
minecraft.mined.stone_stairs: #2, 335(19%)
minecraft.mined.gray_shulker_box: #2, 1097(19%)
minecraft.mined.waxed_cut_copper_stairs: #1, 63(36%)
minecraft.used.pumpkin_seeds: #1, 358(15%)
minecraft.crafted.dried_ghast: #1, 706(90%)
minecraft.crafted.red_carpet: #2, 3312(27%)
minecraft.dropped.tuff_bricks: #1, 716(17%)
minecraft.used.polished_blackstone: #1, 991(20%)
minecraft.crafted.sandstone_stairs: #1, 197(51%)
minecraft.used.resin_bricks: #1, 139(51%)
minecraft.dropped.painting: #1, 56(44%)
minecraft.mined.respawn_anchor: #1, 16(44%)
minecraft.used.purple_shulker_box: #2, 673(19%)
minecraft.crafted.purple_carpet: #1, 2598(39%)
minecraft.picked_up.resin_bricks: #1, 46(44%)
minecraft.used.creaking_heart: #1, 328(32%)
minecraft.mined.white_glazed_terracotta: #1, 69(70%)
