stat, rank, value, (percentage) 
minecraft.mined.andesite_wall: #6, 30(4%)
minecraft.dropped.nether_gold_ore: #6, 4(6%)
minecraft.used.blackstone_slab: #6, 255(4%)
minecraft.crafted.jack_o_lantern: #6, 101(6%)
minecraft.picked_up.azalea_leaves: #6, 4226(3%)
minecraft.used.cocoa_beans: #6, 714(3%)
minecraft.crafted.mangrove_fence: #6, 165(3%)
minecraft.used.gray_concrete: #6, 1710(3%)
minecraft.crafted.fishing_rod: #6, 13(3%)
minecraft.mined.cracked_stone_bricks: #6, 125(3%)
minecraft.dropped.music_disc_13: #6, 2(5%)
minecraft.mined.chiseled_deepslate: #6, 30(4%)
minecraft.picked_up.andesite_stairs: #6, 23(4%)
minecraft.used.light_gray_stained_glass_pane: #6, 254(4%)
minecraft.picked_up.smooth_sandstone_slab: #6, 66(4%)
minecraft.used.acacia_wood: #6, 406(4%)
minecraft.picked_up.pink_tulip: #6, 105(3%)
minecraft.picked_up.acacia_sapling: #6, 568(3%)
minecraft.mined.brick_slab: #6, 7(5%)
minecraft.used.sweet_berries: #6, 431(3%)
minecraft.mined.warped_planks: #7, 117(8%)
minecraft.mined.carrots: #7, 679(6%)
minecraft.dropped.waxed_oxidized_cut_copper_stairs: #6, 9(5%)
minecraft.picked_up.mangrove_trapdoor: #7, 84(7%)
minecraft.used.birch_leaves: #6, 2085(3%)
minecraft.mined.deepslate_tiles: #6, 316(2%)
minecraft.mined.gray_wool: #6, 261(3%)
minecraft.crafted.oak_sign: #7, 144(6%)
minecraft.used.deepslate_tile_slab: #6, 1123(3%)
minecraft.mined.polished_blackstone_wall: #6, 9(6%)
minecraft.crafted.warped_hyphae: #6, 96(4%)
minecraft.mined.green_concrete: #6, 170(4%)
minecraft.picked_up.oak_stairs: #7, 229(7%)
minecraft.dropped.orange_terracotta: #6, 66(3%)
minecraft.used.tuff: #7, 4720(6%)
minecraft.crafted.copper_door: #6, 12(4%)
minecraft.picked_up.amethyst_shard: #6, 1196(2%)
minecraft.used.snow: #6, 2614(3%)
minecraft.mined.enchanting_table: #6, 2(4%)
minecraft.used.copper_door: #6, 10(4%)
minecraft.crafted.polished_andesite_stairs: #6, 13(4%)
minecraft.picked_up.waxed_weathered_copper_bulb: #6, 15(5%)
minecraft.dropped.waxed_oxidized_cut_copper: #6, 8(4%)
minecraft.picked_up.grindstone: #7, 56(7%)
minecraft.dropped.deepslate_redstone_ore: #6, 25(3%)
minecraft.custom.walk_on_water_one_cm: #8, 6997459(5%)
minecraft.picked_up.mangrove_fence: #6, 48(3%)
minecraft.picked_up.music_disc_precipice: #6, 3(4%)
minecraft.used.stripped_jungle_wood: #6, 69(4%)
minecraft.used.allium: #6, 17(4%)
minecraft.picked_up.deepslate_tiles: #6, 322(2%)
minecraft.picked_up.acacia_slab: #6, 31(3%)
minecraft.killed_by.player: #7, 105(4%)
minecraft.mined.red_stained_glass_pane: #6, 10(5%)
minecraft.mined.nether_bricks: #7, 428(7%)
minecraft.crafted.purple_terracotta: #6, 240(3%)
minecraft.mined.iron_bars: #7, 247(6%)
minecraft.dropped.bamboo_slab: #6, 68(4%)
minecraft.mined.polished_andesite_slab: #6, 28(3%)
minecraft.used.red_nether_brick_wall: #6, 37(5%)
minecraft.picked_up.tube_coral_fan: #6, 57(2%)
minecraft.mined.dark_oak_log: #7, 4819(6%)
minecraft.used.lapis_ore: #6, 28(2%)
minecraft.used.purple_concrete_powder: #6, 188(3%)
minecraft.used.jack_o_lantern: #6, 50(4%)
minecraft.picked_up.hanging_roots: #6, 49(4%)
minecraft.mined.flower_pot: #7, 19(7%)
minecraft.picked_up.allium: #6, 132(2%)
minecraft.used.wooden_axe: #6, 17(3%)
minecraft.picked_up.arrow: #7, 5426(5%)
minecraft.used.kelp: #7, 974(6%)
minecraft.custom.inspect_dispenser: #7, 1515(5%)
minecraft.mined.sand: #7, 73860(6%)
minecraft.crafted.orange_stained_glass_pane: #6, 192(3%)
minecraft.mined.chest: #7, 931(6%)
minecraft.crafted.bamboo_door: #6, 18(2%)
minecraft.used.red_concrete: #6, 247(2%)
minecraft.picked_up.blue_carpet: #6, 31(4%)
minecraft.mined.fire_coral_wall_fan: #6, 59(2%)
minecraft.mined.cracked_deepslate_tiles: #6, 17(4%)
minecraft.picked_up.goat_horn: #6, 13(2%)
minecraft.mined.closed_eyeblossom: #6, 16(3%)
minecraft.crafted.cherry_button: #6, 1(5%)
minecraft.dropped.glow_berries: #6, 16(2%)
minecraft.used.waxed_exposed_copper_trapdoor: #6, 30(3%)
minecraft.crafted.jungle_planks: #7, 5160(6%)
minecraft.dropped.netherite_upgrade_smithing_template: #6, 1(3%)
minecraft.crafted.iron_axe: #7, 8(6%)
minecraft.crafted.polished_diorite_slab: #6, 8(4%)
minecraft.picked_up.wildflowers: #6, 154(2%)
minecraft.picked_up.shulker_shell: #7, 1028(6%)
minecraft.used.cobblestone_stairs: #6, 161(1%)
minecraft.crafted.diorite_slab: #6, 52(3%)
minecraft.picked_up.brain_coral_block: #6, 86(2%)
minecraft.picked_up.item_frame: #7, 380(5%)
minecraft.mined.piston_head: #7, 13(7%)
minecraft.used.jungle_sapling: #6, 169(2%)
minecraft.dropped.acacia_fence: #6, 6(5%)
minecraft.picked_up.brain_coral_fan: #6, 58(2%)
minecraft.crafted.tuff_wall: #6, 33(2%)
minecraft.dropped.polished_deepslate_slab: #6, 18(3%)
minecraft.mined.chiseled_sandstone: #6, 10(2%)
minecraft.mined.rose_bush: #7, 76(6%)
minecraft.picked_up.brown_stained_glass_pane: #6, 5(3%)
minecraft.mined.mangrove_log: #7, 1779(5%)
minecraft.crafted.smooth_stone: #7, 1842(5%)
minecraft.picked_up.crimson_roots: #6, 333(1%)
minecraft.picked_up.tube_coral: #6, 14(2%)
minecraft.picked_up.jack_o_lantern: #6, 14(3%)
minecraft.crafted.honeycomb_block: #6, 641(3%)
minecraft.picked_up.dark_oak_leaves: #6, 133(1%)
minecraft.picked_up.iron_block: #7, 3104(5%)
minecraft.used.dark_oak_slab: #7, 978(5%)
minecraft.used.gray_dye: #6, 1(3%)
minecraft.mined.brain_coral_block: #6, 88(3%)
minecraft.crafted.waxed_chiseled_copper: #6, 16(3%)
minecraft.dropped.carved_pumpkin: #7, 56(5%)
minecraft.mined.horn_coral_fan: #6, 10(2%)
minecraft.crafted.warped_hanging_sign: #6, 6(3%)
minecraft.picked_up.light_gray_bed: #6, 24(2%)
minecraft.picked_up.bubble_coral: #6, 13(2%)
minecraft.picked_up.brown_candle: #6, 9(2%)
minecraft.dropped.enchanted_golden_apple: #6, 2(2%)
minecraft.picked_up.chiseled_sandstone: #6, 11(2%)
minecraft.dropped.pumpkin: #6, 451(1%)
minecraft.killed.armadillo: #6, 1(2%)
minecraft.used.diorite_wall: #6, 197(1%)
minecraft.mined.pale_oak_wood: #6, 5(3%)
minecraft.picked_up.warped_planks: #7, 129(6%)
minecraft.mined.copper_grate: #7, 39(8%)
minecraft.used.birch_sign: #7, 68(5%)
minecraft.picked_up.dark_oak_button: #6, 9(2%)
minecraft.used.warped_trapdoor: #7, 187(7%)
minecraft.dropped.stone_brick_wall: #6, 5(3%)
minecraft.crafted.paper: #7, 10285(5%)
minecraft.dropped.hopper: #7, 61(6%)
minecraft.picked_up.lime_concrete: #7, 305(7%)
minecraft.picked_up.magenta_terracotta: #6, 14(1%)
minecraft.picked_up.polished_tuff_wall: #7, 178(5%)
minecraft.crafted.lectern: #7, 116(6%)
minecraft.picked_up.mangrove_log: #7, 2006(5%)
minecraft.picked_up.mossy_cobblestone: #7, 483(5%)
minecraft.crafted.cherry_fence: #6, 15(2%)
minecraft.crafted.stone_brick_stairs: #7, 168(6%)
minecraft.mined.oak_wall_sign: #7, 23(5%)
minecraft.picked_up.shield: #7, 20(5%)
minecraft.dropped.firework_rocket: #7, 1391(4%)
minecraft.crafted.map: #6, 407(1%)
minecraft.used.birch_wood: #6, 43(1%)
minecraft.picked_up.light_blue_concrete_powder: #6, 12(1%)
minecraft.picked_up.dark_oak_slab: #7, 230(5%)
minecraft.mined.note_block: #7, 90(5%)
minecraft.used.enchanted_golden_apple: #6, 1(2%)
minecraft.mined.weathered_copper_bulb: #6, 2(2%)
minecraft.picked_up.weathered_copper_bulb: #6, 2(2%)
minecraft.mined.jungle_leaves: #7, 1719(5%)
minecraft.picked_up.mangrove_pressure_plate: #6, 1(2%)
minecraft.used.yellow_stained_glass_pane: #6, 99(1%)
minecraft.dropped.oxidized_copper_trapdoor: #6, 1(2%)
minecraft.used.note_block: #7, 281(5%)
minecraft.picked_up.acacia_pressure_plate: #6, 1(2%)
minecraft.mined.acacia_pressure_plate: #6, 1(2%)
minecraft.crafted.waxed_exposed_copper_grate: #6, 8(2%)
minecraft.dropped.spider_eye: #7, 4626(5%)
minecraft.crafted.crimson_fence: #6, 6(1%)
minecraft.crafted.diamond_axe: #7, 6(5%)
minecraft.dropped.orange_wool: #6, 4(1%)
minecraft.mined.lime_carpet: #6, 7(1%)
minecraft.picked_up.dark_oak_hanging_sign: #6, 2(1%)
minecraft.picked_up.warped_hanging_sign: #6, 1(1%)
minecraft.killed.wolf: #6, 1(1%)
minecraft.crafted.spruce_boat: #7, 13(5%)
minecraft.used.polished_deepslate_slab: #7, 873(6%)
minecraft.picked_up.red_nether_brick_wall: #6, 2(1%)
minecraft.dropped.mushroom_stem: #6, 5(1%)
minecraft.custom.interact_with_brewingstand: #7, 661(5%)
minecraft.picked_up.chiseled_tuff: #7, 96(5%)
minecraft.crafted.blue_bed: #6, 1(2%)
minecraft.crafted.bucket: #7, 317(4%)
minecraft.used.dark_oak_leaves: #6, 17(1%)
minecraft.crafted.stripped_acacia_wood: #6, 3(2%)
minecraft.crafted.red_nether_brick_stairs: #6, 1(1%)
minecraft.used.nether_wart: #7, 574(5%)
minecraft.picked_up.mangrove_leaves: #7, 5084(5%)
minecraft.picked_up.sand: #7, 74903(4%)
minecraft.crafted.cut_red_sandstone_slab: #6, 2(1%)
minecraft.picked_up.yellow_candle: #6, 2(1%)
minecraft.crafted.brown_terracotta: #7, 264(6%)
minecraft.picked_up.gold_nugget: #7, 2964(4%)
minecraft.crafted.diorite_wall: #6, 40(1%)
minecraft.crafted.purple_glazed_terracotta: #6, 1(1%)
minecraft.dropped.copper_block: #6, 4(1%)
minecraft.picked_up.bamboo_button: #6, 17(0%)
minecraft.dropped.magenta_terracotta: #6, 1(1%)
minecraft.picked_up.snowball: #7, 5886(3%)
minecraft.used.acacia_sign: #7, 44(5%)
minecraft.used.prismarine_wall: #6, 37(1%)
minecraft.used.diamond: #7, 67(5%)
minecraft.used.magenta_carpet: #6, 1(1%)
minecraft.picked_up.cherry_stairs: #6, 3(1%)
minecraft.crafted.cherry_stairs: #6, 4(1%)
minecraft.used.magma_block: #7, 1218(4%)
minecraft.picked_up.lime_carpet: #6, 12(0%)
minecraft.dropped.bamboo_stairs: #6, 1(1%)
minecraft.picked_up.dried_kelp: #7, 511(7%)
minecraft.dropped.polished_blackstone_brick_stairs: #6, 1(1%)
minecraft.used.chipped_anvil: #7, 13(5%)
minecraft.used.weathered_copper_grate: #6, 1(0%)
minecraft.used.horn_coral: #6, 2(1%)
minecraft.picked_up.pink_concrete_powder: #6, 12(0%)
minecraft.picked_up.red_sandstone_stairs: #6, 3(0%)
minecraft.crafted.bread: #7, 1341(4%)
minecraft.picked_up.coal: #7, 10690(4%)
minecraft.mined.orange_concrete_powder: #6, 3(0%)
minecraft.used.cherry_stairs: #6, 3(0%)
minecraft.mined.purple_carpet: #6, 4(0%)
minecraft.used.sea_pickle: #7, 295(5%)
minecraft.crafted.snow_block: #7, 1158(5%)
minecraft.used.lime_banner: #6, 1(0%)
minecraft.crafted.blue_glazed_terracotta: #6, 1(0%)
minecraft.crafted.yellow_candle: #6, 2(0%)
minecraft.picked_up.purple_carpet: #6, 3(0%)
minecraft.dropped.ominous_trial_key: #7, 7(6%)
minecraft.crafted.black_glazed_terracotta: #6, 1(0%)
minecraft.crafted.red_candle: #6, 1(0%)
minecraft.crafted.magma_block: #6, 1(0%)
minecraft.used.pale_oak_stairs: #7, 65(7%)
minecraft.picked_up.golden_chestplate: #7, 19(4%)
minecraft.used.deepslate_tile_stairs: #7, 473(5%)
minecraft.crafted.acacia_sign: #7, 42(5%)
minecraft.used.dark_oak_stairs: #7, 300(4%)
minecraft.picked_up.trial_key: #7, 61(5%)
minecraft.dropped.diamond_chestplate: #7, 4(5%)
minecraft.dropped.glass_bottle: #7, 852(3%)
minecraft.mined.sugar_cane: #7, 4366(4%)
minecraft.picked_up.pink_petals: #7, 1809(4%)
minecraft.picked_up.magma_block: #7, 1532(4%)
minecraft.used.redstone_block: #7, 524(4%)
minecraft.dropped.oak_button: #7, 14(5%)
minecraft.picked_up.iron_ore: #7, 686(4%)
minecraft.mined.birch_sign: #7, 6(4%)
minecraft.picked_up.nether_gold_ore: #7, 54(5%)
minecraft.used.smoker: #7, 20(5%)
minecraft.crafted.coarse_dirt: #7, 3476(4%)
minecraft.picked_up.chest: #7, 1117(4%)
minecraft.custom.open_barrel: #8, 12914(5%)
minecraft.crafted.tuff_brick_slab: #7, 104(4%)
minecraft.picked_up.cobweb: #7, 353(5%)
minecraft.crafted.gray_concrete_powder: #7, 3160(4%)
minecraft.dropped.golden_carrot: #8, 786(6%)
minecraft.picked_up.copper_grate: #7, 39(5%)
minecraft.crafted.netherite_pickaxe: #7, 2(5%)
minecraft.picked_up.blaze_rod: #7, 501(4%)
minecraft.killed.zombie_villager: #7, 9(3%)
minecraft.picked_up.smooth_sandstone: #7, 295(4%)
minecraft.used.smooth_stone_slab: #7, 1995(3%)
minecraft.crafted.birch_button: #7, 22(5%)
minecraft.dropped.tuff: #7, 730(3%)
minecraft.picked_up.tipped_arrow: #7, 446(4%)
minecraft.used.mangrove_planks: #7, 575(4%)
minecraft.used.polished_blackstone_wall: #7, 58(6%)
minecraft.picked_up.acacia_trapdoor: #7, 107(4%)
minecraft.used.ominous_bottle: #7, 12(5%)
minecraft.dropped.pointed_dripstone: #7, 85(3%)
minecraft.crafted.birch_fence: #7, 102(4%)
minecraft.picked_up.music_disc_creator_music_box: #7, 6(5%)
minecraft.used.pale_oak_sign: #7, 47(4%)
minecraft.picked_up.enchanted_golden_apple: #7, 17(4%)
minecraft.used.waxed_oxidized_cut_copper_slab: #7, 157(6%)
minecraft.used.ochre_froglight: #7, 749(3%)
minecraft.mined.crimson_wall_sign: #7, 3(7%)
minecraft.mined.brown_concrete_powder: #7, 45(7%)
minecraft.used.gray_concrete_powder: #7, 2336(3%)
minecraft.mined.tuff_brick_wall: #7, 26(4%)
minecraft.crafted.diamond_hoe: #7, 3(3%)
minecraft.crafted.clock: #7, 6(4%)
minecraft.mined.polished_blackstone: #7, 21(4%)
minecraft.picked_up.magma_cream: #7, 122(3%)
minecraft.crafted.lead: #7, 86(4%)
minecraft.used.orange_glazed_terracotta: #7, 17(8%)
minecraft.mined.deepslate_tile_stairs: #7, 79(3%)
minecraft.dropped.birch_log: #7, 75(3%)
minecraft.used.spruce_leaves: #7, 918(3%)
minecraft.dropped.brown_dye: #7, 20(4%)
minecraft.used.red_banner: #7, 14(3%)
minecraft.picked_up.stone_brick_slab: #7, 314(3%)
minecraft.picked_up.brick_slab: #7, 9(5%)
minecraft.mined.birch_leaves: #7, 3110(3%)
minecraft.picked_up.crying_obsidian: #7, 146(3%)
minecraft.picked_up.heavy_core: #7, 4(4%)
minecraft.crafted.jungle_wood: #7, 318(5%)
minecraft.mined.waxed_weathered_copper_bulb: #7, 15(5%)
minecraft.used.green_stained_glass_pane: #7, 97(4%)
minecraft.used.cyan_wool: #7, 185(3%)
minecraft.picked_up.ochre_froglight: #7, 1102(3%)
minecraft.used.light_blue_shulker_box: #7, 154(3%)
minecraft.killed.cod: #7, 8(4%)
minecraft.picked_up.warped_roots: #7, 884(3%)
minecraft.picked_up.purpur_slab: #7, 27(3%)
minecraft.crafted.stonecutter: #7, 28(2%)
minecraft.crafted.blackstone_slab: #7, 62(4%)
minecraft.mined.lime_stained_glass: #7, 25(4%)
minecraft.picked_up.deepslate_tile_stairs: #7, 79(3%)
minecraft.used.stripped_bamboo_block: #7, 44(4%)
minecraft.used.magenta_terracotta: #7, 91(4%)
minecraft.used.pink_tulip: #7, 8(4%)
minecraft.mined.pitcher_plant: #7, 5(3%)
minecraft.picked_up.waxed_oxidized_copper_trapdoor: #7, 28(5%)
minecraft.mined.waxed_oxidized_copper_trapdoor: #7, 28(5%)
minecraft.picked_up.smooth_quartz: #7, 314(2%)
minecraft.used.netherite_boots: #7, 14(4%)
minecraft.used.end_rod: #7, 304(2%)
minecraft.dropped.oxeye_daisy: #7, 22(2%)
minecraft.dropped.jungle_log: #7, 56(3%)
minecraft.picked_up.dark_oak_sapling: #7, 607(2%)
minecraft.mined.melon: #8, 1761(6%)
minecraft.used.cobbled_deepslate_stairs: #7, 158(3%)
minecraft.killed_by.silverfish: #7, 3(5%)
minecraft.picked_up.jungle_wood: #7, 55(5%)
minecraft.dropped.cobblestone_slab: #7, 48(3%)
minecraft.dropped.sugar_cane: #7, 628(2%)
minecraft.mined.pale_oak_leaves: #7, 1658(2%)
minecraft.crafted.smithing_table: #8, 290(6%)
minecraft.crafted.polished_tuff_wall: #7, 60(2%)
minecraft.used.dead_bush: #7, 33(3%)
minecraft.mined.green_stained_glass: #7, 27(3%)
minecraft.picked_up.leather_helmet: #8, 16(5%)
minecraft.mined.warped_stairs: #7, 14(3%)
minecraft.crafted.golden_boots: #7, 3(3%)
minecraft.dropped.leather: #7, 141(2%)
minecraft.crafted.tuff_brick_wall: #7, 16(3%)
minecraft.mined.cobbled_deepslate_wall: #7, 13(3%)
minecraft.mined.potted_dead_bush: #7, 1(4%)
minecraft.crafted.gray_wool: #7, 156(3%)
minecraft.picked_up.sugar_cane: #7, 8356(2%)
minecraft.picked_up.orange_banner: #7, 4(3%)
minecraft.picked_up.birch_leaves: #7, 2216(2%)
minecraft.used.warped_stairs: #7, 71(3%)
minecraft.crafted.pale_oak_sign: #7, 36(3%)
minecraft.picked_up.flint: #8, 1082(6%)
minecraft.mined.mossy_cobblestone_wall: #7, 2(4%)
minecraft.dropped.minecart: #7, 14(2%)
minecraft.mined.tinted_glass: #7, 59(2%)
minecraft.mined.deepslate_tile_wall: #7, 21(2%)
minecraft.mined.tube_coral_block: #7, 104(2%)
minecraft.picked_up.golden_axe: #7, 1(5%)
minecraft.crafted.smooth_quartz: #7, 415(2%)
minecraft.mined.purpur_block: #7, 207(2%)
minecraft.dropped.warped_roots: #7, 57(2%)
minecraft.crafted.dark_oak_boat: #7, 1(3%)
minecraft.picked_up.beehive: #7, 125(2%)
minecraft.used.lime_stained_glass: #7, 186(2%)
minecraft.picked_up.red_stained_glass_pane: #7, 10(3%)
minecraft.used.crimson_roots: #7, 12(2%)
minecraft.picked_up.purpur_block: #7, 234(1%)
minecraft.mined.fire_coral_fan: #7, 9(2%)
minecraft.mined.black_banner: #7, 3(4%)
minecraft.mined.soul_campfire: #7, 2(3%)
minecraft.used.mangrove_roots: #7, 488(1%)
minecraft.used.jungle_pressure_plate: #7, 2(3%)
minecraft.dropped.carrot_on_a_stick: #7, 1(3%)
minecraft.mined.stripped_birch_log: #8, 382(6%)
minecraft.picked_up.green_stained_glass: #7, 26(2%)
minecraft.mined.mossy_stone_bricks: #7, 72(1%)
minecraft.mined.purpur_stairs: #7, 32(2%)
minecraft.dropped.shulker_shell: #7, 73(2%)
minecraft.crafted.golden_leggings: #7, 2(3%)
minecraft.picked_up.rail: #8, 2506(5%)
minecraft.picked_up.polished_blackstone_wall: #7, 8(3%)
minecraft.picked_up.conduit: #7, 1(4%)
minecraft.dropped.light_gray_stained_glass: #7, 6(2%)
minecraft.used.netherite_helmet: #7, 7(3%)
minecraft.used.conduit: #7, 1(3%)
minecraft.picked_up.stripped_birch_log: #8, 381(6%)
minecraft.picked_up.yellow_banner: #7, 2(2%)
minecraft.picked_up.bubble_coral_fan: #7, 52(2%)
minecraft.dropped.amethyst_block: #7, 13(2%)
minecraft.custom.pot_flower: #8, 97(5%)
minecraft.used.orange_stained_glass_pane: #7, 86(2%)
minecraft.crafted.blue_stained_glass_pane: #7, 16(3%)
minecraft.dropped.paper: #8, 213(5%)
minecraft.picked_up.warped_fungus: #7, 129(1%)
minecraft.custom.interact_with_anvil: #8, 596(4%)
minecraft.picked_up.lever: #8, 461(5%)
minecraft.crafted.leather_boots: #8, 80(6%)
minecraft.mined.cherry_fence: #7, 5(2%)
minecraft.used.waxed_copper_trapdoor: #7, 37(2%)
minecraft.crafted.red_nether_bricks: #7, 59(2%)
minecraft.picked_up.pink_carpet: #7, 6(2%)
minecraft.dropped.comparator: #7, 12(2%)
minecraft.crafted.dark_oak_button: #7, 37(1%)
minecraft.mined.soul_sand: #8, 1126(5%)
minecraft.crafted.light_blue_terracotta: #7, 192(1%)
minecraft.picked_up.purple_concrete: #7, 72(2%)
minecraft.used.crimson_planks: #7, 58(1%)
minecraft.used.cauldron: #8, 52(5%)
minecraft.custom.animals_bred: #8, 942(5%)
minecraft.used.polished_tuff_wall: #8, 647(6%)
minecraft.picked_up.soul_sand: #8, 1380(5%)
minecraft.used.red_sand: #7, 44(1%)
minecraft.crafted.jungle_boat: #7, 3(1%)
minecraft.crafted.oak_boat: #7, 16(1%)
minecraft.dropped.rabbit: #7, 3(1%)
minecraft.mined.brain_coral: #7, 9(1%)
minecraft.mined.crimson_planks: #7, 15(1%)
minecraft.mined.torchflower: #7, 17(1%)
minecraft.picked_up.bricks: #8, 318(5%)
minecraft.custom.damage_taken: #7, 1488636(0%)
minecraft.used.red_mushroom: #7, 5(2%)
minecraft.used.birch_boat: #7, 3(1%)
minecraft.mined.wildflowers: #7, 8(1%)
minecraft.crafted.barrel: #8, 463(5%)
minecraft.crafted.birch_wood: #7, 45(1%)
minecraft.dropped.glass: #7, 229(1%)
minecraft.picked_up.ominous_bottle: #8, 34(5%)
minecraft.crafted.diamond_sword: #8, 8(5%)
minecraft.crafted.waxed_weathered_copper_trapdoor: #7, 20(2%)
minecraft.mined.horn_coral: #7, 10(1%)
minecraft.picked_up.jungle_hanging_sign: #7, 1(2%)
minecraft.crafted.golden_chestplate: #7, 1(1%)
minecraft.killed_by.warden: #7, 1(1%)
minecraft.crafted.magenta_glazed_terracotta: #7, 1(2%)
minecraft.used.blue_banner: #7, 1(1%)
minecraft.crafted.rail: #8, 1616(5%)
minecraft.used.yellow_stained_glass: #7, 174(1%)
minecraft.used.wither_rose: #7, 36(1%)
minecraft.picked_up.waxed_exposed_copper_trapdoor: #7, 5(1%)
minecraft.crafted.leather_leggings: #8, 84(6%)
minecraft.mined.bamboo_sign: #8, 14(5%)
minecraft.mined.waxed_exposed_copper_trapdoor: #7, 5(1%)
minecraft.dropped.clay: #8, 65(5%)
minecraft.picked_up.bone: #8, 4846(5%)
minecraft.mined.nether_brick_wall: #7, 1(2%)
minecraft.mined.pale_moss_carpet: #8, 106(5%)
minecraft.mined.resin_clump: #7, 53(1%)
minecraft.dropped.red_glazed_terracotta: #7, 2(2%)
minecraft.used.purpur_block: #7, 88(1%)
minecraft.mined.moss_carpet: #8, 381(4%)
minecraft.picked_up.gray_banner: #7, 1(1%)
minecraft.used.cactus: #8, 200(5%)
minecraft.mined.oak_wall_hanging_sign: #7, 1(1%)
minecraft.picked_up.pale_oak_wood: #7, 5(1%)
minecraft.picked_up.pumpkin: #8, 3648(4%)
minecraft.crafted.mangrove_pressure_plate: #7, 2(1%)
minecraft.crafted.blue_banner: #7, 2(1%)
minecraft.picked_up.nether_brick_wall: #7, 1(1%)
minecraft.mined.bubble_coral_fan: #7, 4(1%)
minecraft.picked_up.pale_oak_button: #7, 3(1%)
minecraft.crafted.mangrove_slab: #8, 576(5%)
minecraft.picked_up.blue_egg: #7, 2(1%)
minecraft.picked_up.short_grass: #8, 2803(4%)
minecraft.used.nether_gold_ore: #7, 5(1%)
minecraft.crafted.waxed_weathered_copper_grate: #7, 4(1%)
minecraft.used.orange_concrete: #7, 94(1%)
minecraft.dropped.ancient_debris: #7, 1(1%)
minecraft.mined.chipped_anvil: #8, 15(4%)
minecraft.crafted.pink_terracotta: #7, 88(1%)
minecraft.picked_up.black_dye: #8, 77(4%)
minecraft.mined.black_carpet: #7, 19(0%)
minecraft.picked_up.iron_bars: #8, 326(4%)
minecraft.used.stone_stairs: #8, 328(4%)
minecraft.used.torchflower_seeds: #7, 5(0%)
minecraft.picked_up.deepslate: #8, 11715(4%)
minecraft.crafted.bamboo_button: #7, 45(0%)
minecraft.dropped.armadillo_scute: #7, 18(0%)
minecraft.picked_up.acacia_fence: #8, 38(5%)
minecraft.mined.moss_block: #8, 2663(4%)
minecraft.picked_up.polished_basalt: #8, 103(5%)
minecraft.dropped.chiseled_sandstone: #7, 1(0%)
minecraft.dropped.redstone: #8, 878(4%)
minecraft.mined.medium_amethyst_bud: #7, 4(0%)
minecraft.crafted.smooth_red_sandstone_stairs: #7, 1(0%)
minecraft.used.bamboo_button: #7, 26(0%)
minecraft.crafted.red_sandstone_wall: #7, 1(0%)
minecraft.dropped.polished_deepslate_stairs: #7, 1(0%)
minecraft.used.purple_carpet: #7, 6(0%)
minecraft.dropped.pale_oak_log: #7, 1(0%)
minecraft.mined.stripped_pale_oak_wood: #7, 1(0%)
minecraft.mined.prismarine_wall: #7, 2(0%)
minecraft.picked_up.prismarine_wall: #7, 2(0%)
minecraft.killed.pillager: #7, 609(0%)
minecraft.dropped.cobweb: #7, 1(0%)
minecraft.dropped.lapis_block: #7, 1(0%)
minecraft.crafted.cut_red_sandstone: #7, 1(0%)
minecraft.crafted.player_head: #8, 704(5%)
minecraft.picked_up.yellow_shulker_box: #8, 201(4%)
minecraft.killed_by.zombie: #8, 14(4%)
minecraft.mined.nether_wart: #8, 431(4%)
minecraft.picked_up.note_block: #8, 97(4%)
minecraft.mined.yellow_shulker_box: #8, 201(4%)
minecraft.dropped.tipped_arrow: #8, 106(6%)
minecraft.custom.trigger_trapped_chest: #8, 45(4%)
minecraft.dropped.leather_chestplate: #8, 14(3%)
minecraft.picked_up.redstone_block: #8, 465(4%)
minecraft.used.pale_oak_trapdoor: #8, 165(4%)
minecraft.used.written_book: #8, 191(4%)
minecraft.dropped.goat_horn: #8, 6(5%)
minecraft.mined.dark_oak_stairs: #8, 59(4%)
minecraft.used.warped_sign: #8, 47(5%)
minecraft.mined.iron_ore: #8, 1339(3%)
minecraft.picked_up.bread: #8, 253(4%)
minecraft.picked_up.polished_tuff_stairs: #8, 98(4%)
minecraft.picked_up.polished_deepslate_wall: #8, 61(4%)
minecraft.dropped.iron_leggings: #8, 6(4%)
minecraft.picked_up.iron_pickaxe: #8, 9(3%)
minecraft.picked_up.bamboo_slab: #8, 284(4%)
minecraft.used.stone_pickaxe: #8, 358(3%)
minecraft.crafted.dark_oak_stairs: #8, 260(4%)
minecraft.custom.sprint_one_cm: #9, 157812291(4%)
minecraft.picked_up.dark_oak_fence: #8, 150(3%)
minecraft.used.glass: #8, 6538(3%)
minecraft.mined.warped_trapdoor: #8, 27(5%)
minecraft.mined.pale_oak_stairs: #8, 18(7%)
minecraft.picked_up.golden_boots: #8, 22(3%)
minecraft.mined.coal_ore: #8, 5983(3%)
minecraft.used.acacia_trapdoor: #8, 330(4%)
minecraft.mined.podzol: #8, 556(3%)
minecraft.used.stone_button: #8, 246(3%)
minecraft.dropped.observer: #8, 40(4%)
minecraft.used.tuff_slab: #8, 205(3%)
minecraft.picked_up.flowering_azalea_leaves: #8, 1486(4%)
minecraft.mined.end_rod: #8, 178(3%)
minecraft.crafted.netherite_scrap: #8, 34(5%)
minecraft.mined.mangrove_leaves: #8, 5276(3%)
