stat, rank, value, (percentage) 
minecraft.dropped.glowstone_dust: #6, 130(4%)
minecraft.used.bush: #6, 50(5%)
minecraft.mined.dried_kelp_block: #6, 3(5%)
minecraft.mined.acacia_log: #7, 2573(6%)
minecraft.mined.cyan_candle: #6, 4(4%)
minecraft.used.weathered_copper_trapdoor: #6, 20(3%)
minecraft.used.exposed_copper_trapdoor: #6, 17(3%)
minecraft.used.light_blue_glazed_terracotta: #6, 12(5%)
minecraft.dropped.purple_shulker_box: #6, 1(4%)
minecraft.mined.orange_stained_glass: #6, 37(3%)
minecraft.dropped.spruce_boat: #6, 2(4%)
minecraft.picked_up.oak_log: #7, 6746(5%)
minecraft.dropped.mossy_cobblestone: #6, 56(2%)
minecraft.dropped.cyan_dye: #6, 8(2%)
minecraft.used.snowball: #7, 291(4%)
minecraft.picked_up.polished_blackstone_wall: #6, 11(4%)
minecraft.crafted.brown_shulker_box: #6, 10(2%)
minecraft.mined.sunflower: #7, 302(6%)
minecraft.dropped.polished_blackstone_button: #6, 2(5%)
minecraft.picked_up.fire_coral_block: #6, 81(2%)
minecraft.used.oak_trapdoor: #7, 365(5%)
minecraft.used.bowl: #6, 1(4%)
minecraft.mined.lime_wool: #6, 37(2%)
minecraft.used.red_stained_glass_pane: #6, 87(3%)
minecraft.mined.brain_coral: #6, 16(2%)
minecraft.used.oxidized_cut_copper_slab: #6, 125(2%)
minecraft.dropped.dead_bush: #6, 30(3%)
minecraft.used.light_blue_stained_glass: #6, 475(2%)
minecraft.mined.orange_glazed_terracotta: #6, 8(5%)
minecraft.dropped.splash_potion: #6, 16(2%)
minecraft.crafted.jungle_sign: #7, 66(7%)
minecraft.picked_up.shroomlight: #7, 180(6%)
minecraft.picked_up.dead_tube_coral_block: #6, 36(3%)
minecraft.dropped.twisting_vines: #6, 2(5%)
minecraft.used.jungle_sign: #7, 68(7%)
minecraft.mined.light_gray_stained_glass_pane: #7, 25(8%)
minecraft.mined.jungle_wood: #6, 22(3%)
minecraft.mined.cyan_glazed_terracotta: #6, 2(4%)
minecraft.crafted.black_stained_glass_pane: #7, 696(7%)
minecraft.picked_up.crafting_table: #7, 357(4%)
minecraft.crafted.polished_granite_slab: #6, 8(4%)
minecraft.mined.activator_rail: #6, 15(1%)
minecraft.dropped.mace: #7, 9(6%)
minecraft.used.gray_candle: #6, 4(4%)
minecraft.mined.waxed_exposed_cut_copper_slab: #6, 3(3%)
minecraft.picked_up.moss_carpet: #7, 3956(5%)
minecraft.dropped.jukebox: #6, 1(3%)
minecraft.used.red_glazed_terracotta: #6, 19(2%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #6, 3(2%)
minecraft.picked_up.dirt: #7, 95862(4%)
minecraft.crafted.mangrove_door: #7, 9(7%)
minecraft.broken.stone_hoe: #6, 1(2%)
minecraft.used.stripped_pale_oak_wood: #6, 16(2%)
minecraft.mined.fern: #7, 269(5%)
minecraft.used.magenta_glazed_terracotta: #6, 3(2%)
minecraft.dropped.coal_block: #6, 12(2%)
minecraft.used.copper_block: #6, 818(1%)
minecraft.dropped.black_stained_glass_pane: #6, 2(2%)
minecraft.dropped.green_shulker_box: #6, 1(2%)
minecraft.picked_up.waxed_exposed_chiseled_copper: #6, 2(1%)
minecraft.crafted.waxed_weathered_copper: #6, 19(1%)
minecraft.used.polished_granite_stairs: #6, 17(1%)
minecraft.picked_up.exposed_chiseled_copper: #6, 1(1%)
minecraft.used.exposed_copper_grate: #6, 4(2%)
minecraft.used.gray_glazed_terracotta: #6, 12(1%)
minecraft.crafted.green_bed: #6, 3(2%)
minecraft.crafted.waxed_exposed_cut_copper_stairs: #6, 5(1%)
minecraft.dropped.iron_bars: #7, 171(6%)
minecraft.dropped.bone_block: #6, 304(1%)
minecraft.crafted.bell: #6, 2(1%)
minecraft.used.poppy: #6, 44(0%)
minecraft.picked_up.polished_granite_slab: #6, 3(1%)
minecraft.crafted.brown_candle: #6, 10(1%)
minecraft.used.chiseled_bookshelf: #7, 113(5%)
minecraft.crafted.brown_bed: #6, 1(1%)
minecraft.used.chiseled_quartz_block: #6, 31(1%)
minecraft.dropped.mossy_cobblestone_slab: #6, 1(1%)
minecraft.killed.horse: #6, 4(1%)
minecraft.picked_up.furnace: #7, 146(4%)
minecraft.used.black_glazed_terracotta: #6, 10(1%)
minecraft.picked_up.spruce_fence_gate: #7, 99(5%)
minecraft.dropped.pale_hanging_moss: #6, 2(1%)
minecraft.used.black_candle: #6, 4(1%)
minecraft.dropped.polished_deepslate_wall: #6, 2(1%)
minecraft.crafted.stripped_mangrove_wood: #6, 3(1%)
minecraft.picked_up.prismarine_wall: #6, 6(0%)
minecraft.dropped.target: #6, 1(0%)
minecraft.crafted.waxed_cut_copper_slab: #6, 1(0%)
minecraft.picked_up.firefly_bush: #7, 174(6%)
minecraft.picked_up.red_mushroom: #7, 76(4%)
minecraft.used.wooden_hoe: #6, 1(0%)
minecraft.crafted.pink_candle: #6, 2(0%)
minecraft.mined.waxed_exposed_cut_copper: #6, 1(0%)
minecraft.picked_up.waxed_exposed_cut_copper: #6, 1(0%)
minecraft.picked_up.seagrass: #7, 257(5%)
minecraft.crafted.pink_glazed_terracotta: #6, 1(0%)
minecraft.used.mycelium: #6, 1(0%)
minecraft.picked_up.oak_button: #7, 29(4%)
minecraft.mined.calibrated_sculk_sensor: #7, 9(5%)
minecraft.used.flint_and_steel: #7, 286(4%)
minecraft.mined.campfire: #7, 40(4%)
minecraft.crafted.lime_shulker_box: #7, 6(4%)
minecraft.picked_up.deepslate_tile_wall: #7, 87(5%)
minecraft.custom.enchant_item: #7, 132(4%)
minecraft.picked_up.polished_deepslate_slab: #7, 166(4%)
minecraft.picked_up.pale_oak_log: #7, 1742(4%)
minecraft.mined.pale_oak_log: #7, 1747(4%)
minecraft.killed_by.ravager: #7, 171(4%)
minecraft.crafted.oxidized_cut_copper_slab: #7, 90(6%)
minecraft.dropped.spruce_planks: #7, 132(3%)
minecraft.used.coarse_dirt: #7, 2699(3%)
minecraft.picked_up.mangrove_roots: #7, 2838(3%)
minecraft.crafted.mangrove_sign: #7, 54(5%)
minecraft.killed.chicken: #7, 180(3%)
minecraft.picked_up.feather: #7, 423(3%)
minecraft.mined.tripwire: #7, 53(3%)
minecraft.crafted.chiseled_bookshelf: #7, 110(4%)
minecraft.crafted.light_gray_terracotta: #7, 248(4%)
minecraft.crafted.white_stained_glass_pane: #7, 652(4%)
minecraft.picked_up.oak_sapling: #7, 1008(3%)
minecraft.picked_up.target: #7, 45(4%)
minecraft.picked_up.stripped_spruce_wood: #7, 108(3%)
minecraft.dropped.red_wool: #7, 12(4%)
minecraft.picked_up.campfire: #7, 42(3%)
minecraft.picked_up.white_tulip: #7, 171(3%)
minecraft.dropped.glass_pane: #7, 49(4%)
minecraft.mined.polished_andesite_stairs: #7, 16(3%)
minecraft.mined.pink_candle: #7, 5(8%)
minecraft.dropped.moss_block: #7, 839(2%)
minecraft.mined.basalt: #7, 2379(3%)
minecraft.picked_up.shelter_pottery_sherd: #7, 3(5%)
minecraft.crafted.cherry_sign: #7, 6(5%)
minecraft.mined.heavy_weighted_pressure_plate: #7, 3(5%)
minecraft.picked_up.orange_tulip: #7, 198(3%)
minecraft.dropped.tube_coral_fan: #7, 1(8%)
minecraft.killed.vex: #7, 10(3%)
minecraft.mined.jungle_sapling: #7, 6(4%)
minecraft.mined.brown_bed: #7, 2(5%)
minecraft.mined.detector_rail: #7, 7(3%)
minecraft.used.polished_granite: #7, 239(3%)
minecraft.crafted.tuff_slab: #7, 100(3%)
minecraft.used.cyan_stained_glass_pane: #7, 124(4%)
minecraft.mined.target: #7, 23(3%)
minecraft.picked_up.light_blue_shulker_box: #7, 135(2%)
minecraft.mined.red_wall_banner: #7, 5(4%)
minecraft.picked_up.pale_oak_sapling: #7, 199(2%)
minecraft.used.oak_leaves: #7, 2356(2%)
minecraft.mined.light_blue_shulker_box: #7, 135(2%)
minecraft.dropped.pink_dye: #7, 8(3%)
minecraft.used.sweet_berries: #7, 344(2%)
minecraft.used.diamond_axe: #8, 58373(5%)
minecraft.used.pale_oak_planks: #7, 167(3%)
minecraft.used.stripped_dark_oak_wood: #7, 70(3%)
minecraft.used.brown_carpet: #7, 87(3%)
minecraft.picked_up.lime_dye: #7, 31(2%)
minecraft.crafted.warped_planks: #8, 2200(6%)
minecraft.used.birch_door: #7, 4(4%)
minecraft.dropped.gunpowder: #7, 560(2%)
minecraft.mined.bush: #7, 80(5%)
minecraft.picked_up.bush: #7, 79(5%)
minecraft.picked_up.oxidized_copper: #7, 568(2%)
minecraft.used.brown_stained_glass_pane: #7, 59(4%)
minecraft.crafted.bamboo_mosaic_stairs: #7, 12(5%)
minecraft.picked_up.bone_meal: #8, 7121(5%)
minecraft.dropped.packed_mud: #7, 69(2%)
minecraft.dropped.leather_helmet: #8, 13(5%)
minecraft.dropped.brewing_stand: #7, 1(4%)
minecraft.used.barrel: #8, 563(6%)
minecraft.used.white_banner: #8, 66(6%)
minecraft.crafted.spruce_trapdoor: #8, 2818(5%)
minecraft.used.stone_shovel: #7, 536(2%)
minecraft.crafted.quartz_bricks: #7, 18(3%)
minecraft.picked_up.arrow: #8, 5287(5%)
minecraft.dropped.black_dye: #7, 8(2%)
minecraft.picked_up.crimson_fungus: #7, 70(2%)
minecraft.dropped.purple_dye: #7, 8(3%)
minecraft.crafted.brown_stained_glass_pane: #7, 72(4%)
minecraft.picked_up.red_banner: #7, 8(2%)
minecraft.mined.stone_slab: #8, 433(5%)
minecraft.dropped.gray_dye: #7, 8(2%)
minecraft.used.green_candle: #7, 11(4%)
minecraft.used.ender_chest: #8, 878(5%)
minecraft.crafted.moss_carpet: #7, 387(1%)
minecraft.mined.ender_chest: #8, 874(5%)
minecraft.mined.open_eyeblossom: #7, 7(2%)
minecraft.mined.oxidized_copper: #7, 327(1%)
minecraft.custom.interact_with_campfire: #8, 775(5%)
minecraft.picked_up.light_blue_stained_glass: #7, 98(1%)
minecraft.broken.stone_shovel: #7, 4(2%)
minecraft.used.jungle_fence: #8, 255(6%)
minecraft.used.brown_bed: #7, 3(3%)
minecraft.mined.jungle_door: #7, 1(3%)
minecraft.mined.acacia_leaves: #8, 1613(5%)
minecraft.crafted.cooked_chicken: #7, 21(1%)
minecraft.crafted.pale_oak_fence: #7, 99(2%)
minecraft.picked_up.stone_hoe: #7, 2(2%)
minecraft.picked_up.birch_planks: #8, 339(5%)
minecraft.dropped.chicken: #7, 41(1%)
minecraft.used.black_wool: #7, 390(1%)
minecraft.mined.bamboo_mosaic: #7, 6(2%)
minecraft.dropped.glow_item_frame: #7, 2(2%)
minecraft.dropped.polished_tuff_stairs: #7, 4(2%)
minecraft.crafted.golden_helmet: #8, 6(6%)
minecraft.used.dirt: #8, 40602(5%)
minecraft.used.jungle_sapling: #7, 110(1%)
minecraft.picked_up.lime_stained_glass_pane: #7, 14(2%)
minecraft.picked_up.coal_block: #7, 51(1%)
minecraft.picked_up.activator_rail: #7, 26(1%)
minecraft.crafted.candle: #7, 223(1%)
minecraft.crafted.black_bed: #7, 2(2%)
minecraft.used.golden_helmet: #7, 1(2%)
minecraft.used.dark_oak_log: #8, 1262(5%)
minecraft.used.waxed_exposed_chiseled_copper: #7, 13(1%)
minecraft.dropped.magenta_dye: #7, 8(1%)
minecraft.mined.pale_oak_door: #7, 1(2%)
minecraft.dropped.andesite: #8, 1202(5%)
minecraft.used.prismarine_brick_slab: #7, 19(1%)
minecraft.dropped.stone_hoe: #7, 2(1%)
minecraft.picked_up.warped_fence_gate: #7, 2(1%)
minecraft.picked_up.cyan_glazed_terracotta: #7, 2(2%)
minecraft.picked_up.light_blue_stained_glass_pane: #7, 6(1%)
minecraft.mined.waxed_exposed_chiseled_copper: #7, 2(1%)
minecraft.dropped.white_stained_glass_pane: #7, 6(2%)
minecraft.crafted.light_blue_shulker_box: #7, 3(1%)
minecraft.mined.crafting_table: #8, 291(4%)
minecraft.mined.stripped_birch_wood: #7, 30(1%)
minecraft.mined.exposed_chiseled_copper: #7, 1(1%)
minecraft.dropped.gray_wool: #7, 15(1%)
minecraft.picked_up.cyan_concrete_powder: #7, 23(1%)
minecraft.dropped.mossy_stone_brick_slab: #7, 1(1%)
minecraft.dropped.tuff_brick_wall: #7, 3(1%)
minecraft.dropped.bamboo_sign: #7, 7(1%)
minecraft.used.bamboo_mosaic_stairs: #7, 6(1%)
minecraft.mined.green_bed: #7, 3(1%)
minecraft.used.activator_rail: #7, 40(1%)
minecraft.used.polished_deepslate_slab: #8, 856(5%)
minecraft.used.wind_charge: #8, 345(4%)
minecraft.dropped.chiseled_tuff_bricks: #8, 40(6%)
minecraft.picked_up.andesite_wall: #8, 68(5%)
minecraft.crafted.waxed_copper_bulb: #7, 10(1%)
minecraft.used.stripped_acacia_log: #7, 29(0%)
minecraft.crafted.red_glazed_terracotta: #7, 2(1%)
minecraft.dropped.spruce_wood: #7, 1(1%)
minecraft.mined.quartz_bricks: #7, 2(1%)
minecraft.dropped.diorite_slab: #7, 2(1%)
minecraft.dropped.hay_block: #7, 8(0%)
minecraft.used.cherry_slab: #7, 4(0%)
minecraft.picked_up.quartz_bricks: #7, 2(0%)
minecraft.custom.inspect_hopper: #8, 3146(4%)
minecraft.crafted.yellow_candle: #7, 2(0%)
minecraft.crafted.waxed_oxidized_copper_bulb: #7, 2(0%)
minecraft.mined.waxed_exposed_copper_bulb: #8, 16(6%)
minecraft.mined.spruce_fence_gate: #8, 48(5%)
minecraft.crafted.smoker: #8, 27(5%)
minecraft.picked_up.spider_eye: #8, 2082(4%)
minecraft.mined.stone_stairs: #8, 67(4%)
minecraft.used.mangrove_sign: #8, 55(5%)
minecraft.mined.mangrove_door: #8, 4(6%)
minecraft.used.granite: #8, 1023(4%)
minecraft.used.diamond_shovel: #8, 149271(3%)
minecraft.used.stripped_birch_log: #8, 191(4%)
minecraft.picked_up.stone: #8, 139790(3%)
minecraft.used.brown_mushroom_block: #8, 408(5%)
minecraft.dropped.ominous_bottle: #8, 3(6%)
minecraft.picked_up.cherry_sapling: #8, 366(4%)
minecraft.crafted.pale_oak_slab: #8, 162(5%)
minecraft.mined.bamboo_sapling: #8, 10(4%)
minecraft.used.diamond_pickaxe: #8, 161816(2%)
minecraft.picked_up.trident: #8, 16(4%)
minecraft.mined.green_wool: #8, 89(3%)
minecraft.used.candle: #8, 22(5%)
minecraft.used.iron_door: #8, 27(3%)
minecraft.picked_up.writable_book: #8, 19(3%)
minecraft.mined.damaged_anvil: #8, 7(4%)
minecraft.used.pink_petals: #8, 480(3%)
minecraft.used.pale_oak_sapling: #8, 145(4%)
minecraft.crafted.polished_andesite_slab: #8, 66(5%)
minecraft.dropped.wheat_seeds: #8, 5100(3%)
minecraft.picked_up.rabbit_hide: #8, 13(5%)
minecraft.mined.waxed_copper_bulb: #8, 48(4%)
minecraft.picked_up.damaged_anvil: #8, 7(3%)
minecraft.used.lightning_rod: #8, 211(3%)
minecraft.used.vine: #8, 35(3%)
minecraft.picked_up.waxed_copper_bulb: #8, 48(4%)
minecraft.used.orange_glazed_terracotta: #8, 17(8%)
minecraft.dropped.golden_chestplate: #8, 11(3%)
minecraft.crafted.birch_fence: #8, 93(3%)
minecraft.crafted.copper_block: #8, 1009(3%)
minecraft.crafted.coarse_dirt: #8, 2524(3%)
minecraft.picked_up.mossy_cobblestone_slab: #8, 23(4%)
minecraft.used.egg: #8, 951(2%)
minecraft.dropped.spyglass: #8, 3(3%)
minecraft.picked_up.mangrove_door: #8, 4(4%)
minecraft.picked_up.moss_block: #8, 8997(2%)
minecraft.picked_up.big_dripleaf: #8, 121(3%)
minecraft.picked_up.oak_pressure_plate: #8, 3(4%)
minecraft.dropped.cooked_cod: #8, 74(3%)
minecraft.mined.pale_oak_planks: #8, 27(4%)
minecraft.picked_up.rabbit: #8, 10(3%)
minecraft.picked_up.oxidized_chiseled_copper: #8, 6(4%)
minecraft.mined.cherry_log: #8, 604(2%)
minecraft.mined.andesite_wall: #8, 23(3%)
minecraft.dropped.brown_dye: #8, 16(3%)
minecraft.crafted.netherite_shovel: #8, 1(5%)
minecraft.used.podzol: #8, 154(3%)
minecraft.mined.stripped_dark_oak_wood: #8, 71(3%)
minecraft.picked_up.pink_tulip: #8, 87(2%)
minecraft.picked_up.calibrated_sculk_sensor: #8, 8(3%)
minecraft.crafted.white_terracotta: #8, 216(3%)
minecraft.used.light_blue_shulker_box: #8, 135(2%)
minecraft.custom.bell_ring: #8, 23(2%)
minecraft.killed.rabbit: #8, 5(3%)
minecraft.picked_up.cobbled_deepslate_slab: #8, 148(3%)
minecraft.used.white_terracotta: #8, 244(2%)
minecraft.picked_up.music_disc_5: #8, 1(6%)
minecraft.used.end_rod: #8, 273(2%)
minecraft.used.mangrove_button: #8, 5(3%)
minecraft.crafted.cyan_stained_glass_pane: #8, 128(3%)
minecraft.crafted.acacia_hanging_sign: #8, 6(4%)
minecraft.used.waxed_copper_bulb: #8, 62(3%)
minecraft.picked_up.brown_bed: #8, 2(4%)
minecraft.picked_up.oxidized_copper_door: #8, 3(3%)
minecraft.used.jungle_button: #8, 14(4%)
minecraft.picked_up.lime_terracotta: #8, 80(3%)
minecraft.used.music_disc_13: #8, 3(3%)
minecraft.crafted.red_sandstone: #8, 753(2%)
minecraft.picked_up.oak_leaves: #8, 3012(2%)
minecraft.dropped.mangrove_propagule: #8, 12(3%)
minecraft.picked_up.wind_charge: #9, 959(5%)
minecraft.picked_up.pink_candle: #8, 8(5%)
minecraft.used.cherry_sign: #8, 4(3%)
minecraft.mined.crimson_trapdoor: #8, 10(3%)
minecraft.picked_up.red_tulip: #8, 152(2%)
minecraft.killed_by.enderman: #8, 1(4%)
minecraft.used.small_dripleaf: #8, 9(4%)
minecraft.picked_up.exposed_copper_grate: #8, 5(3%)
minecraft.mined.exposed_copper_grate: #8, 5(3%)
minecraft.mined.spruce_wall_hanging_sign: #8, 3(3%)
minecraft.used.smooth_basalt: #8, 343(2%)
minecraft.crafted.dripstone_block: #8, 70(4%)
minecraft.mined.brick_slab: #8, 4(3%)
minecraft.dropped.cooked_salmon: #8, 15(2%)
minecraft.crafted.beehive: #8, 170(2%)
minecraft.picked_up.ochre_froglight: #8, 651(2%)
minecraft.used.jungle_fence_gate: #8, 19(2%)
minecraft.picked_up.jungle_wood: #8, 38(3%)
minecraft.picked_up.light_gray_dye: #8, 16(2%)
minecraft.used.acacia_hanging_sign: #8, 3(3%)
minecraft.used.lilac: #8, 17(2%)
minecraft.picked_up.bamboo_door: #8, 11(2%)
minecraft.picked_up.acacia_hanging_sign: #8, 2(3%)
minecraft.used.cracked_stone_bricks: #8, 97(2%)
minecraft.picked_up.deepslate_brick_wall: #8, 23(2%)
minecraft.mined.brown_wall_banner: #8, 5(3%)
minecraft.used.chest_minecart: #8, 8(2%)
minecraft.used.brown_banner: #8, 10(2%)
minecraft.dropped.blue_shulker_box: #8, 1(3%)
minecraft.dropped.beetroot: #8, 343(1%)
minecraft.dropped.deepslate_diamond_ore: #8, 10(2%)
minecraft.mined.pale_oak_sapling: #8, 5(2%)
minecraft.used.quartz_pillar: #8, 44(2%)
minecraft.crafted.chiseled_copper: #8, 12(3%)
minecraft.used.light_gray_carpet: #8, 151(1%)
minecraft.mined.jungle_log: #9, 2191(5%)
minecraft.mined.mangrove_hanging_sign: #8, 1(3%)
minecraft.mined.black_stained_glass: #8, 73(1%)
minecraft.dropped.piston: #8, 29(2%)
minecraft.broken.diamond_shovel: #8, 1(2%)
minecraft.picked_up.open_eyeblossom: #8, 7(2%)
minecraft.crafted.jungle_fence_gate: #8, 18(2%)
minecraft.used.waxed_oxidized_copper_grate: #8, 44(1%)
minecraft.mined.cherry_planks: #8, 12(2%)
minecraft.picked_up.music_disc_strad: #8, 2(3%)
minecraft.used.cherry_planks: #8, 59(1%)
minecraft.picked_up.music_disc_13: #9, 21(5%)
minecraft.dropped.gray_shulker_box: #8, 1(2%)
minecraft.crafted.sugar: #8, 128(1%)
minecraft.dropped.waxed_chiseled_copper: #8, 2(2%)
minecraft.mined.gray_wool: #8, 100(1%)
minecraft.picked_up.heart_of_the_sea: #8, 1(3%)
minecraft.crafted.pale_oak_door: #8, 3(2%)
minecraft.mined.stripped_jungle_wood: #8, 25(1%)
minecraft.dropped.furnace: #8, 4(2%)
minecraft.mined.jungle_wall_sign: #8, 3(2%)
minecraft.picked_up.stripped_jungle_wood: #8, 25(1%)
minecraft.used.brown_candle: #8, 10(2%)
minecraft.picked_up.acacia_button: #8, 2(2%)
minecraft.picked_up.exposed_cut_copper_slab: #8, 2(2%)
minecraft.dropped.vine: #8, 4(2%)
minecraft.picked_up.waxed_chiseled_copper: #8, 7(1%)
minecraft.dropped.white_shulker_box: #8, 3(1%)
minecraft.picked_up.brain_coral_fan: #8, 34(1%)
minecraft.mined.yellow_stained_glass_pane: #8, 8(1%)
minecraft.crafted.bundle: #8, 7(1%)
minecraft.crafted.jungle_pressure_plate: #8, 1(2%)
minecraft.used.birch_wood: #8, 42(1%)
minecraft.crafted.barrel: #9, 456(5%)
minecraft.used.honey_bottle: #8, 46(1%)
minecraft.mined.dark_oak_pressure_plate: #8, 1(2%)
minecraft.picked_up.sculk_catalyst: #8, 8(1%)
minecraft.used.chorus_flower: #8, 13(1%)
minecraft.crafted.yellow_banner: #8, 5(1%)
minecraft.crafted.mangrove_fence_gate: #8, 5(1%)
minecraft.mined.weathered_cut_copper_slab: #8, 2(1%)
minecraft.mined.cocoa: #9, 102(5%)
minecraft.used.orange_stained_glass_pane: #8, 43(1%)
minecraft.mined.warped_fence_gate: #8, 1(1%)
minecraft.used.mangrove_fence_gate: #8, 5(1%)
minecraft.picked_up.gray_banner: #8, 1(1%)
minecraft.crafted.lime_wool: #8, 30(1%)
minecraft.used.dried_kelp: #8, 2(1%)
minecraft.crafted.orange_stained_glass_pane: #8, 56(1%)
minecraft.dropped.grindstone: #8, 1(1%)
minecraft.used.yellow_stained_glass: #8, 132(1%)
minecraft.picked_up.stripped_birch_wood: #8, 30(1%)
minecraft.used.oxidized_cut_copper: #8, 47(1%)
minecraft.crafted.white_banner: #8, 47(0%)
minecraft.crafted.cut_copper_slab: #8, 8(1%)
minecraft.mined.dirt_path: #9, 944(4%)
minecraft.used.stripped_birch_wood: #8, 30(1%)
minecraft.crafted.bone_meal: #9, 63189(4%)
minecraft.crafted.green_carpet: #8, 57(0%)
minecraft.used.waxed_weathered_copper: #8, 19(1%)
minecraft.picked_up.ender_chest: #9, 899(4%)
minecraft.used.green_bed: #8, 4(1%)
minecraft.dropped.smooth_stone: #8, 96(0%)
minecraft.crafted.pink_stained_glass: #8, 32(1%)
minecraft.picked_up.dried_kelp_block: #8, 81(0%)
minecraft.crafted.activator_rail: #8, 24(0%)
minecraft.used.chiseled_deepslate: #8, 86(0%)
minecraft.used.emerald_ore: #8, 2(1%)
minecraft.picked_up.prismarine_slab: #8, 4(1%)
minecraft.mined.stripped_crimson_stem: #8, 6(0%)
minecraft.picked_up.copper_block: #8, 215(0%)
minecraft.dropped.armadillo_scute: #8, 18(0%)
minecraft.mined.cherry_slab: #8, 1(0%)
minecraft.crafted.light_blue_glazed_terracotta: #8, 1(0%)
minecraft.used.magenta_stained_glass_pane: #8, 8(0%)
minecraft.crafted.waxed_chiseled_copper: #8, 2(0%)
minecraft.dropped.polished_andesite_stairs: #8, 1(0%)
minecraft.dropped.red_sand: #8, 8(0%)
minecraft.dropped.polished_tuff: #9, 53(5%)
minecraft.used.waxed_chiseled_copper: #8, 7(0%)
minecraft.dropped.ochre_froglight: #8, 13(0%)
minecraft.used.weathered_copper: #8, 17(0%)
minecraft.crafted.waxed_copper_block: #8, 2(0%)
minecraft.dropped.dried_kelp_block: #8, 1(0%)
minecraft.picked_up.mangrove_log: #9, 1654(4%)
minecraft.picked_up.black_stained_glass_pane: #9, 36(5%)
minecraft.picked_up.green_shulker_box: #9, 157(4%)
minecraft.mined.green_shulker_box: #9, 155(4%)
minecraft.dropped.stone: #9, 9911(3%)
minecraft.dropped.granite: #9, 721(4%)
minecraft.used.green_shulker_box: #9, 153(4%)
minecraft.mined.lightning_rod: #9, 68(4%)
minecraft.used.azalea: #9, 147(4%)
minecraft.mined.iron_bars: #9, 150(4%)
minecraft.mined.bone_block: #9, 256(4%)
minecraft.picked_up.birch_sign: #9, 33(4%)
minecraft.crafted.birch_sign: #9, 51(3%)
minecraft.picked_up.bucket: #9, 124(3%)
minecraft.mined.oak_fence_gate: #9, 10(4%)
minecraft.used.red_wool: #9, 222(4%)
minecraft.custom.inspect_dropper: #9, 1203(2%)
minecraft.picked_up.splash_potion: #9, 49(3%)
minecraft.mined.dirt: #9, 47461(3%)
minecraft.custom.inspect_dispenser: #9, 869(3%)
minecraft.mined.tuff_slab: #9, 27(4%)
minecraft.used.redstone: #9, 2640(3%)
minecraft.used.cactus: #9, 140(3%)
minecraft.picked_up.stone_axe: #9, 2(5%)
minecraft.mined.moss_block: #9, 1995(3%)
minecraft.dropped.golden_boots: #9, 16(4%)
minecraft.picked_up.acacia_sign: #9, 12(4%)
minecraft.used.cobbled_deepslate_slab: #9, 614(4%)
minecraft.crafted.spruce_door: #9, 21(3%)
minecraft.used.diamond_boots: #9, 11(2%)
minecraft.used.jungle_slab: #9, 224(3%)
minecraft.used.smooth_sandstone: #9, 687(3%)
minecraft.mined.leaf_litter: #9, 53(3%)
minecraft.mined.warped_planks: #9, 45(3%)
minecraft.crafted.pink_shulker_box: #9, 4(3%)
minecraft.crafted.raw_copper: #9, 5885(3%)
minecraft.dropped.beetroot_seeds: #9, 574(3%)
minecraft.mined.birch_wall_sign: #9, 10(4%)
minecraft.picked_up.wooden_sword: #9, 12(3%)
minecraft.used.bamboo_block: #9, 263(3%)
minecraft.mined.jungle_leaves: #9, 815(2%)
minecraft.mined.waxed_oxidized_copper_bulb: #9, 5(3%)
minecraft.picked_up.bookshelf: #9, 45(3%)
minecraft.used.mossy_stone_brick_wall: #9, 5(5%)
minecraft.used.mangrove_stairs: #9, 117(3%)
minecraft.mined.copper_block: #9, 83(2%)
minecraft.picked_up.oak_fence_gate: #9, 10(2%)
minecraft.mined.cobbled_deepslate_slab: #9, 73(3%)
minecraft.mined.polished_blackstone: #9, 15(3%)
minecraft.mined.cherry_sapling: #9, 6(3%)
minecraft.picked_up.polished_andesite_stairs: #9, 19(2%)
minecraft.crafted.tripwire_hook: #9, 54(2%)
minecraft.used.stone_bricks: #9, 2306(2%)
minecraft.used.brick_stairs: #9, 19(3%)
minecraft.picked_up.heavy_weighted_pressure_plate: #9, 4(3%)
minecraft.crafted.mangrove_stairs: #9, 100(2%)
minecraft.crafted.green_shulker_box: #9, 7(3%)
minecraft.mined.cherry_trapdoor: #9, 10(2%)
minecraft.crafted.mangrove_button: #9, 5(2%)
minecraft.dropped.spider_eye: #9, 1712(2%)
minecraft.crafted.red_banner: #9, 14(2%)
minecraft.picked_up.netherite_axe: #9, 6(2%)
minecraft.used.iron_helmet: #9, 1(4%)
minecraft.picked_up.copper_ingot: #9, 329(2%)
minecraft.picked_up.dark_oak_sapling: #9, 457(2%)
minecraft.mined.cobbled_deepslate_stairs: #9, 19(2%)
minecraft.used.smooth_stone: #9, 2119(2%)
minecraft.used.copper_door: #9, 7(3%)
minecraft.used.bamboo_door: #9, 10(3%)
minecraft.dropped.peony: #9, 7(2%)
minecraft.picked_up.brick_slab: #9, 5(3%)
minecraft.picked_up.pale_oak_sign: #9, 5(2%)
minecraft.mined.red_shulker_box: #10, 740(5%)
minecraft.dropped.mud: #9, 63(2%)
minecraft.dropped.orange_dye: #9, 8(2%)
minecraft.dropped.chiseled_tuff: #9, 6(3%)
minecraft.mined.chiseled_copper: #9, 4(3%)
