stat, rank, value, (percentage) 
minecraft.used.pale_oak_hanging_sign: #1, 5(31%)
minecraft.dropped.diamond_pickaxe: #2, 46(10%)
minecraft.mined.brown_wall_banner: #2, 40(23%)
minecraft.mined.acacia_slab: #2, 58(16%)
minecraft.dropped.cherry_sign: #1, 3(38%)
minecraft.mined.pale_oak_wall_hanging_sign: #1, 3(75%)
minecraft.custom.clean_banner: #1, 130(37%)
minecraft.crafted.polished_blackstone_pressure_plate: #2, 40(25%)
minecraft.used.pink_banner: #2, 35(16%)
minecraft.picked_up.jungle_wood: #2, 255(22%)
minecraft.used.gold_ingot: #2, 13(22%)
minecraft.dropped.diamond_leggings: #2, 13(9%)
minecraft.broken.golden_leggings: #1, 2(67%)
minecraft.broken.diamond_hoe: #1, 2(33%)
minecraft.broken.diamond_helmet: #1, 2(67%)
minecraft.dropped.light_gray_bed: #2, 18(29%)
minecraft.picked_up.cherry_fence: #2, 92(21%)
minecraft.picked_up.diamond_boots: #3, 113(10%)
minecraft.dropped.lime_wool: #2, 128(21%)
minecraft.used.beetroot_soup: #1, 3(43%)
minecraft.picked_up.deepslate_tile_wall: #3, 306(16%)
minecraft.used.cherry_log: #3, 1050(16%)
minecraft.mined.smooth_quartz_stairs: #3, 285(15%)
minecraft.mined.cherry_fence: #2, 45(22%)
minecraft.dropped.green_dye: #2, 328(9%)
minecraft.mined.tuff_brick_wall: #3, 114(16%)
minecraft.picked_up.yellow_bed: #3, 158(14%)
minecraft.picked_up.tnt_minecart: #2, 30(21%)
minecraft.used.blackstone_wall: #2, 67(19%)
minecraft.picked_up.cake: #2, 18(21%)
minecraft.mined.mangrove_roots: #3, 9459(13%)
minecraft.picked_up.glass_pane: #3, 382(13%)
minecraft.picked_up.mangrove_roots: #3, 10940(13%)
minecraft.used.cherry_stairs: #2, 216(29%)
minecraft.used.yellow_bed: #3, 157(14%)
minecraft.crafted.creeper_banner_pattern: #1, 1(50%)
minecraft.used.cherry_pressure_plate: #1, 9(100%)
minecraft.broken.chainmail_helmet: #1, 1(100%)
minecraft.dropped.bordure_indented_banner_pattern: #1, 1(100%)
minecraft.dropped.cherry_pressure_plate: #1, 6(100%)
minecraft.dropped.music_disc_11: #1, 1(50%)
minecraft.dropped.blue_banner: #1, 1(100%)
minecraft.mined.cherry_pressure_plate: #1, 3(100%)
minecraft.picked_up.cherry_pressure_plate: #1, 9(100%)
minecraft.picked_up.mojang_banner_pattern: #1, 2(100%)
minecraft.used.music_disc_11: #1, 1(33%)
minecraft.picked_up.creeper_banner_pattern: #1, 1(33%)
minecraft.mined.pale_oak_wall_sign: #2, 15(16%)
minecraft.dropped.polished_tuff_slab: #2, 91(12%)
minecraft.used.rotten_flesh: #3, 256(13%)
minecraft.used.dried_kelp: #2, 33(25%)
minecraft.picked_up.stripped_acacia_wood: #2, 94(13%)
minecraft.killed.silverfish: #3, 12388(12%)
minecraft.dropped.packed_ice: #2, 366(12%)
minecraft.mined.acacia_pressure_plate: #2, 13(32%)
minecraft.mined.polished_blackstone_brick_slab: #2, 81(27%)
minecraft.picked_up.smooth_quartz_stairs: #3, 282(14%)
minecraft.mined.dark_oak_pressure_plate: #2, 12(18%)
minecraft.mined.bamboo_fence_gate: #2, 31(13%)
minecraft.used.cherry_sign: #3, 27(22%)
minecraft.mined.yellow_bed: #3, 143(13%)
minecraft.picked_up.diamond_chestplate: #3, 44(12%)
minecraft.used.sweet_berries: #2, 1174(8%)
minecraft.dropped.black_wool: #2, 236(11%)
minecraft.dropped.smooth_quartz_stairs: #2, 26(24%)
minecraft.picked_up.brown_dye: #3, 144(11%)
minecraft.picked_up.diamond_sword: #3, 134(9%)
minecraft.used.cracked_polished_blackstone_bricks: #2, 78(15%)
minecraft.mined.orange_glazed_terracotta: #2, 39(23%)
minecraft.mined.moss_carpet: #3, 891(10%)
minecraft.picked_up.diamond_helmet: #3, 47(9%)
minecraft.broken.fishing_rod: #3, 16(13%)
minecraft.used.potion: #3, 4006(8%)
minecraft.picked_up.iron_shovel: #3, 34(11%)
minecraft.killed_by.piglin: #2, 5(15%)
minecraft.mined.blackstone_slab: #3, 96(14%)
minecraft.picked_up.bucket: #3, 370(10%)
minecraft.crafted.smooth_sandstone_stairs: #2, 96(16%)
minecraft.mined.light_gray_carpet: #3, 120(11%)
minecraft.picked_up.music_disc_ward: #2, 12(20%)
minecraft.used.cookie: #2, 173(7%)
minecraft.picked_up.polished_blackstone_brick_wall: #2, 100(28%)
minecraft.picked_up.porkchop: #3, 424(9%)
minecraft.used.diamond_boots: #3, 38(8%)
minecraft.custom.fill_cauldron: #3, 90(10%)
minecraft.mined.pitcher_plant: #3, 21(14%)
minecraft.mined.light_gray_wool: #3, 191(12%)
minecraft.dropped.wooden_sword: #3, 15(12%)
minecraft.used.wooden_pickaxe: #3, 51(9%)
minecraft.picked_up.cherry_planks: #3, 177(14%)
minecraft.mined.orange_wall_banner: #2, 12(13%)
minecraft.picked_up.oak_pressure_plate: #3, 11(13%)
minecraft.dropped.cactus: #3, 2717(11%)
