stat, rank, value, (percentage) 
minecraft.crafted.firework_rocket: #6, 14332(4%)
minecraft.mined.honey_block: #6, 249(4%)
minecraft.picked_up.ink_sac: #6, 914(3%)
minecraft.dropped.oak_trapdoor: #6, 13(4%)
minecraft.dropped.spruce_planks: #6, 134(3%)
minecraft.mined.polished_andesite_stairs: #6, 21(4%)
minecraft.picked_up.gray_dye: #6, 73(4%)
minecraft.crafted.light_gray_terracotta: #6, 280(4%)
minecraft.mined.oxidized_copper_door: #6, 3(6%)
minecraft.picked_up.honey_block: #6, 808(3%)
minecraft.used.gray_terracotta: #6, 226(6%)
minecraft.used.bee_nest: #6, 25(6%)
minecraft.custom.open_chest: #7, 40313(5%)
minecraft.picked_up.green_stained_glass_pane: #6, 43(6%)
minecraft.picked_up.ghast_tear: #6, 61(3%)
minecraft.crafted.iron_block: #6, 972(3%)
minecraft.picked_up.lapis_block: #6, 155(4%)
minecraft.used.netherite_boots: #6, 20(6%)
minecraft.picked_up.powder_snow_bucket: #6, 22(7%)
minecraft.used.dragon_head: #6, 2(6%)
minecraft.mined.red_stained_glass: #6, 38(5%)
minecraft.picked_up.waxed_oxidized_cut_copper_slab: #6, 28(6%)
minecraft.dropped.red_wool: #6, 13(5%)
minecraft.dropped.light_gray_terracotta: #6, 27(6%)
minecraft.mined.cherry_sapling: #6, 9(5%)
minecraft.picked_up.waxed_weathered_cut_copper_stairs: #6, 8(6%)
minecraft.used.raw_copper_block: #6, 14(5%)
minecraft.picked_up.brush: #6, 3(8%)
minecraft.crafted.waxed_weathered_cut_copper: #6, 50(7%)
minecraft.picked_up.orange_glazed_terracotta: #6, 17(7%)
minecraft.mined.red_wall_banner: #6, 7(6%)
minecraft.mined.jukebox: #7, 31(7%)
minecraft.used.stripped_dark_oak_wood: #6, 105(4%)
minecraft.mined.cut_sandstone: #6, 105(3%)
minecraft.crafted.cyan_bed: #6, 8(5%)
minecraft.picked_up.cut_sandstone: #6, 99(3%)
minecraft.dropped.leather_helmet: #7, 16(6%)
minecraft.picked_up.mace: #7, 20(7%)
minecraft.mined.blue_orchid: #6, 30(6%)
minecraft.picked_up.spore_blossom: #6, 37(4%)
minecraft.picked_up.wither_skeleton_skull: #6, 25(4%)
minecraft.crafted.gray_carpet: #6, 456(4%)
minecraft.picked_up.jungle_pressure_plate: #6, 4(8%)
minecraft.used.diamond_hoe: #7, 47166(7%)
minecraft.mined.sea_lantern: #6, 48(4%)
minecraft.dropped.seagrass: #6, 21(7%)
minecraft.picked_up.beetroot: #6, 770(3%)
minecraft.mined.mangrove_wall_hanging_sign: #6, 1(8%)
minecraft.custom.interact_with_campfire: #7, 1003(7%)
minecraft.mined.birch_fence_gate: #6, 13(5%)
minecraft.picked_up.red_concrete: #6, 331(3%)
minecraft.picked_up.lime_stained_glass: #6, 50(4%)
minecraft.picked_up.pale_oak_sapling: #6, 238(3%)
minecraft.mined.crafter: #7, 105(7%)
minecraft.picked_up.exposed_cut_copper_slab: #6, 6(5%)
minecraft.dropped.packed_ice: #6, 111(4%)
minecraft.dropped.dark_oak_slab: #6, 42(5%)
minecraft.picked_up.waxed_oxidized_cut_copper_stairs: #6, 42(3%)
minecraft.dropped.big_dripleaf: #6, 9(4%)
minecraft.mined.mangrove_hanging_sign: #6, 2(6%)
minecraft.dropped.glow_ink_sac: #6, 35(3%)
minecraft.used.yellow_banner: #6, 8(4%)
minecraft.dropped.waxed_oxidized_copper: #6, 23(3%)
minecraft.dropped.amethyst_cluster: #6, 3(6%)
minecraft.picked_up.chipped_anvil: #7, 24(6%)
minecraft.used.gold_ingot: #6, 3(5%)
minecraft.dropped.jungle_stairs: #6, 5(5%)
minecraft.picked_up.dune_armor_trim_smithing_template: #6, 1(9%)
minecraft.used.tropical_fish: #6, 2(6%)
minecraft.crafted.orange_concrete_powder: #6, 768(3%)
minecraft.mined.diorite: #7, 15540(6%)
minecraft.picked_up.oak_trapdoor: #7, 165(6%)
minecraft.used.spruce_trapdoor: #7, 3582(6%)
minecraft.dropped.orange_tulip: #6, 22(3%)
minecraft.mined.warped_wall_sign: #6, 4(6%)
minecraft.picked_up.tnt_minecart: #6, 7(5%)
minecraft.picked_up.jungle_sapling: #6, 235(2%)
minecraft.picked_up.exposed_copper_bulb: #6, 2(5%)
minecraft.picked_up.spruce_log: #7, 13231(6%)
minecraft.dropped.beetroot: #6, 541(2%)
minecraft.used.light_blue_banner: #6, 4(3%)
minecraft.used.warped_hyphae: #6, 95(3%)
minecraft.picked_up.composter: #7, 161(6%)
minecraft.mined.purple_shulker_box: #7, 206(6%)
minecraft.picked_up.purple_shulker_box: #7, 208(6%)
minecraft.mined.oxidized_chiseled_copper: #6, 5(4%)
minecraft.picked_up.nether_quartz_ore: #7, 875(6%)
minecraft.crafted.golden_leggings: #6, 3(4%)
minecraft.picked_up.soul_lantern: #6, 46(3%)
minecraft.picked_up.carved_pumpkin: #7, 436(4%)
minecraft.mined.jungle_log: #7, 2442(6%)
minecraft.used.bow: #7, 4753(5%)
minecraft.used.sniffer_egg: #6, 3(6%)
minecraft.mined.exposed_cut_copper_slab: #6, 4(4%)
minecraft.crafted.iron_bars: #7, 1907(6%)
minecraft.used.minecart: #7, 178(6%)
minecraft.picked_up.sponge: #6, 287(2%)
minecraft.dropped.potion: #7, 208(6%)
minecraft.crafted.spruce_trapdoor: #7, 2872(6%)
minecraft.picked_up.lime_shulker_box: #7, 211(6%)
minecraft.dropped.coal: #6, 413(2%)
minecraft.picked_up.beetroot_soup: #6, 12(3%)
minecraft.used.netherite_pickaxe: #7, 410628(7%)
minecraft.dropped.andesite: #7, 1416(5%)
minecraft.used.pale_moss_carpet: #6, 238(2%)
minecraft.used.lime_shulker_box: #7, 205(5%)
minecraft.mined.spruce_wall_sign: #7, 29(5%)
minecraft.crafted.waxed_weathered_chiseled_copper: #6, 16(5%)
minecraft.crafted.lime_stained_glass_pane: #6, 112(3%)
minecraft.used.lime_stained_glass_pane: #6, 83(3%)
minecraft.dropped.furnace: #6, 6(2%)
minecraft.crafted.golden_chestplate: #6, 2(3%)
minecraft.mined.pale_oak_door: #6, 2(5%)
minecraft.picked_up.diamond_boots: #7, 45(4%)
minecraft.dropped.dark_oak_button: #6, 3(4%)
minecraft.crafted.chiseled_stone_bricks: #6, 156(2%)
minecraft.dropped.blue_wool: #6, 9(3%)
minecraft.mined.lime_shulker_box: #7, 202(5%)
minecraft.used.warped_hanging_sign: #6, 5(3%)
minecraft.used.jungle_fence: #7, 259(6%)
minecraft.picked_up.music_disc_mall: #6, 2(4%)
minecraft.picked_up.fishing_rod: #7, 60(5%)
minecraft.picked_up.ominous_bottle: #7, 37(6%)
minecraft.picked_up.diamond_block: #7, 295(5%)
minecraft.picked_up.sandstone_wall: #6, 10(2%)
minecraft.mined.copper_trapdoor: #7, 94(6%)
minecraft.used.observer: #7, 1517(5%)
minecraft.used.beacon: #7, 37(5%)
minecraft.mined.oxidized_cut_copper: #6, 54(2%)
minecraft.picked_up.short_grass: #7, 3201(5%)
minecraft.used.pufferfish: #6, 1(3%)
minecraft.dropped.ancient_debris: #6, 3(3%)
minecraft.mined.tripwire_hook: #7, 8(6%)
minecraft.mined.brain_coral_fan: #6, 9(2%)
minecraft.used.respawn_anchor: #6, 2(2%)
minecraft.crafted.crimson_stairs: #6, 36(2%)
minecraft.used.baked_potato: #7, 360(5%)
minecraft.mined.carved_pumpkin: #7, 317(5%)
minecraft.dropped.lightning_rod: #6, 5(2%)
minecraft.picked_up.oxidized_cut_copper_slab: #6, 28(1%)
minecraft.mined.brown_mushroom: #7, 108(5%)
minecraft.dropped.birch_fence: #6, 3(2%)
minecraft.used.chain: #7, 784(5%)
minecraft.mined.ice: #6, 2392(1%)
minecraft.dropped.warped_planks: #6, 15(2%)
minecraft.dropped.goat_horn: #7, 8(6%)
minecraft.used.exposed_copper_bulb: #6, 1(3%)
minecraft.picked_up.wheat: #7, 8831(4%)
minecraft.dropped.torchflower: #6, 3(2%)
minecraft.dropped.crimson_sign: #6, 1(3%)
minecraft.picked_up.waxed_exposed_copper_bulb: #7, 18(7%)
minecraft.used.waxed_weathered_chiseled_copper: #6, 18(2%)
minecraft.mined.iron_block: #7, 1850(5%)
minecraft.used.iron_bars: #7, 1096(5%)
minecraft.picked_up.purple_glazed_terracotta: #6, 2(2%)
minecraft.dropped.green_concrete_powder: #6, 3(2%)
minecraft.dropped.light_blue_terracotta: #6, 3(2%)
minecraft.dropped.suspicious_stew: #6, 2(2%)
minecraft.used.milk_bucket: #7, 9(6%)
minecraft.dropped.brown_mushroom_block: #6, 88(1%)
minecraft.picked_up.spruce_button: #6, 27(1%)
minecraft.used.purple_stained_glass_pane: #6, 49(1%)
minecraft.picked_up.yellow_shulker_box: #7, 234(4%)
minecraft.crafted.green_carpet: #6, 72(1%)
minecraft.mined.crimson_stairs: #6, 13(2%)
minecraft.used.yellow_glazed_terracotta: #6, 42(1%)
minecraft.used.beef: #6, 1(2%)
minecraft.picked_up.diamond_axe: #7, 50(4%)
minecraft.used.potato: #7, 414(4%)
minecraft.used.jungle_stairs: #7, 171(5%)
minecraft.dropped.oak_sign: #7, 23(5%)
minecraft.dropped.wet_sponge: #6, 2(1%)
minecraft.mined.stripped_crimson_stem: #6, 9(1%)
minecraft.crafted.polished_tuff: #7, 1834(5%)
minecraft.dropped.waxed_cut_copper: #6, 1(1%)
minecraft.dropped.light_blue_concrete: #6, 9(1%)
minecraft.used.light_blue_carpet: #6, 46(1%)
minecraft.dropped.cyan_concrete: #6, 3(1%)
minecraft.used.torchflower_seeds: #6, 7(0%)
minecraft.picked_up.pumpkin_seeds: #7, 1243(4%)
minecraft.dropped.quartz_pillar: #6, 1(1%)
minecraft.mined.waxed_exposed_copper_bulb: #7, 17(7%)
minecraft.dropped.warped_fence: #6, 1(1%)
minecraft.dropped.black_concrete_powder: #6, 3(1%)
minecraft.crafted.bamboo_button: #6, 60(0%)
minecraft.dropped.netherrack: #7, 4599(4%)
minecraft.used.raw_gold_block: #6, 16(1%)
minecraft.dropped.lead: #7, 41(4%)
minecraft.used.waxed_exposed_cut_copper: #6, 14(1%)
minecraft.dropped.prismarine: #6, 4(0%)
minecraft.picked_up.deepslate_redstone_ore: #7, 960(4%)
minecraft.dropped.dried_kelp_block: #6, 6(0%)
minecraft.dropped.red_mushroom_block: #6, 3(0%)
minecraft.killed.shulker: #7, 209(5%)
minecraft.picked_up.spyglass: #7, 8(4%)
minecraft.mined.yellow_shulker_box: #7, 214(4%)
minecraft.crafted.coal_block: #7, 999(4%)
minecraft.dropped.egg: #7, 249(4%)
minecraft.used.diamond_shovel: #7, 165612(4%)
minecraft.crafted.fire_charge: #6, 3(0%)
minecraft.picked_up.copper_trapdoor: #7, 92(5%)
minecraft.custom.trigger_trapped_chest: #7, 48(4%)
minecraft.crafted.polished_basalt: #7, 572(5%)
minecraft.crafted.diamond_block: #7, 544(4%)
minecraft.mined.bamboo_sapling: #7, 12(4%)
minecraft.picked_up.bucket: #7, 144(4%)
minecraft.used.gunpowder: #7, 23(4%)
minecraft.mined.redstone_block: #7, 189(4%)
minecraft.used.torchflower: #7, 31(7%)
minecraft.dropped.spruce_pressure_plate: #7, 3(8%)
minecraft.crafted.redstone_block: #7, 1291(4%)
minecraft.mined.deepslate_copper_ore: #7, 274(4%)
minecraft.used.pale_oak_sapling: #7, 176(5%)
minecraft.picked_up.gravel: #7, 18122(4%)
minecraft.used.anvil: #7, 154(3%)
minecraft.dropped.filled_map: #7, 101(3%)
minecraft.dropped.brown_mushroom: #7, 28(4%)
minecraft.mined.ancient_debris: #7, 59(4%)
minecraft.picked_up.oak_pressure_plate: #7, 4(5%)
minecraft.killed.blaze: #7, 405(4%)
minecraft.crafted.glass_pane: #7, 480(3%)
minecraft.picked_up.porkchop: #7, 138(3%)
minecraft.picked_up.light_blue_banner: #7, 5(6%)
minecraft.mined.cartography_table: #7, 13(4%)
minecraft.picked_up.cooked_cod: #7, 175(3%)
minecraft.crafted.mud_bricks: #7, 944(3%)
minecraft.picked_up.flow_armor_trim_smithing_template: #7, 10(5%)
minecraft.mined.smooth_quartz_stairs: #7, 66(4%)
minecraft.mined.brick_stairs: #7, 12(5%)
minecraft.crafted.mossy_cobblestone_slab: #7, 42(4%)
minecraft.crafted.crimson_planks: #7, 676(3%)
minecraft.used.mangrove_button: #7, 7(4%)
minecraft.used.copper_ore: #7, 1058(3%)
minecraft.killed.bogged: #7, 130(4%)
minecraft.picked_up.cherry_trapdoor: #7, 29(4%)
minecraft.mined.warped_fence: #7, 22(5%)
minecraft.picked_up.weathered_copper_trapdoor: #7, 52(4%)
minecraft.picked_up.pink_banner: #7, 4(4%)
minecraft.picked_up.brown_banner: #7, 17(5%)
minecraft.dropped.mangrove_propagule: #7, 18(5%)
minecraft.crafted.jungle_button: #7, 25(4%)
minecraft.mined.green_stained_glass_pane: #7, 17(5%)
minecraft.dropped.white_terracotta: #7, 37(4%)
minecraft.used.map: #7, 36(3%)
minecraft.mined.red_concrete: #7, 328(3%)
minecraft.custom.player_kills: #8, 67(5%)
minecraft.killed.rabbit: #7, 6(4%)
minecraft.crafted.furnace_minecart: #7, 2(6%)
minecraft.used.cooked_cod: #7, 142(3%)
minecraft.mined.weathered_copper_trapdoor: #7, 50(4%)
minecraft.picked_up.bookshelf: #7, 49(3%)
minecraft.used.yellow_concrete_powder: #7, 705(3%)
minecraft.killed.breeze: #7, 127(3%)
minecraft.used.spruce_sapling: #7, 900(2%)
minecraft.custom.sneak_time: #9, 5707401(5%)
minecraft.used.small_dripleaf: #7, 13(5%)
minecraft.picked_up.rotten_flesh: #8, 8648(5%)
minecraft.dropped.oak_boat: #7, 6(3%)
minecraft.crafted.warped_hyphae: #7, 96(4%)
minecraft.crafted.red_banner: #7, 19(3%)
minecraft.crafted.warped_door: #7, 3(6%)
minecraft.picked_up.cyan_banner: #7, 4(5%)
minecraft.used.white_dye: #7, 30(3%)
minecraft.dropped.mangrove_slab: #7, 16(4%)
minecraft.picked_up.player_head: #8, 1913(4%)
minecraft.mined.white_tulip: #7, 39(3%)
minecraft.dropped.waxed_oxidized_cut_copper: #7, 8(4%)
minecraft.mined.waxed_oxidized_cut_copper_stairs: #7, 31(3%)
minecraft.used.cherry_leaves: #7, 268(3%)
minecraft.dropped.chiseled_bookshelf: #7, 4(7%)
minecraft.mined.yellow_concrete: #7, 704(2%)
minecraft.used.cyan_dye: #7, 11(3%)
minecraft.picked_up.compass: #8, 107(7%)
minecraft.crafted.orange_stained_glass: #7, 768(3%)
minecraft.crafted.white_stained_glass: #7, 1088(3%)
minecraft.crafted.chain: #8, 1186(6%)
minecraft.mined.oak_trapdoor: #8, 112(6%)
minecraft.picked_up.mangrove_button: #7, 3(5%)
minecraft.mined.large_fern: #7, 155(2%)
minecraft.used.mangrove_wood: #7, 169(3%)
minecraft.mined.stripped_mangrove_wood: #7, 24(3%)
minecraft.picked_up.light_gray_dye: #7, 22(2%)
minecraft.mined.granite: #8, 14804(6%)
minecraft.used.cherry_log: #7, 154(2%)
minecraft.mined.dried_kelp_block: #7, 3(5%)
minecraft.used.crimson_sign: #7, 14(3%)
minecraft.picked_up.smooth_sandstone_slab: #7, 47(3%)
minecraft.picked_up.ender_pearl: #8, 14290(4%)
minecraft.picked_up.pale_moss_block: #7, 479(2%)
minecraft.mined.dark_prismarine_stairs: #7, 7(5%)
minecraft.mined.amethyst_block: #8, 874(6%)
minecraft.picked_up.mangrove_fence_gate: #7, 2(5%)
minecraft.picked_up.pitcher_pod: #7, 40(2%)
minecraft.dropped.stone_brick_slab: #7, 45(4%)
minecraft.dropped.torch: #8, 494(6%)
minecraft.dropped.diamond_boots: #8, 11(5%)
minecraft.mined.allium: #7, 28(2%)
minecraft.picked_up.goat_horn: #7, 13(2%)
minecraft.used.fern: #7, 313(3%)
minecraft.picked_up.torchflower_seeds: #7, 40(2%)
minecraft.picked_up.orange_concrete: #7, 131(2%)
minecraft.picked_up.echo_shard: #7, 8(3%)
minecraft.mined.cracked_deepslate_bricks: #7, 8(4%)
minecraft.dropped.mangrove_log: #7, 47(2%)
minecraft.dropped.lily_of_the_valley: #7, 4(3%)
minecraft.used.oxidized_cut_copper_slab: #7, 115(2%)
minecraft.crafted.wheat: #8, 5868(6%)
minecraft.picked_up.tube_coral_block: #7, 84(2%)
minecraft.dropped.chiseled_deepslate: #7, 2(4%)
minecraft.picked_up.small_dripleaf: #7, 8(3%)
minecraft.picked_up.host_armor_trim_smithing_template: #7, 1(4%)
minecraft.used.light_blue_stained_glass: #7, 421(1%)
minecraft.custom.total_world_time: #9, 93015910(4%)
minecraft.custom.play_time: #9, 93015910(4%)
minecraft.dropped.salmon: #7, 17(1%)
minecraft.used.blue_orchid: #7, 11(3%)
minecraft.used.warped_door: #7, 2(3%)
minecraft.dropped.mangrove_planks: #7, 12(2%)
minecraft.mined.cherry_leaves: #8, 2052(5%)
minecraft.picked_up.dark_prismarine_stairs: #7, 7(3%)
minecraft.mined.jungle_wood: #7, 19(3%)
minecraft.used.waxed_oxidized_copper_grate: #7, 46(1%)
minecraft.dropped.dark_oak_door: #7, 2(4%)
minecraft.used.stripped_mangrove_wood: #7, 22(2%)
minecraft.mined.light_blue_stained_glass: #7, 45(1%)
minecraft.mined.stripped_warped_hyphae: #7, 11(2%)
minecraft.dropped.dead_bush: #7, 22(2%)
minecraft.picked_up.stripped_warped_hyphae: #7, 10(2%)
minecraft.dropped.raw_copper_block: #7, 22(3%)
minecraft.dropped.warped_trapdoor: #7, 5(2%)
minecraft.used.waxed_weathered_cut_copper_stairs: #7, 26(2%)
minecraft.killed.tropical_fish: #7, 7(2%)
minecraft.used.bamboo_stairs: #7, 36(1%)
minecraft.mined.respawn_anchor: #7, 1(3%)
minecraft.dropped.white_tulip: #7, 7(1%)
minecraft.dropped.azalea_leaves: #7, 76(1%)
minecraft.picked_up.birch_fence_gate: #7, 9(2%)
minecraft.used.bone_meal: #8, 10427(5%)
minecraft.mined.orange_wall_banner: #7, 2(2%)
minecraft.picked_up.raw_gold_block: #7, 12(2%)
minecraft.used.slime_ball: #7, 162(2%)
minecraft.used.red_stained_glass_pane: #7, 50(2%)
minecraft.picked_up.spruce_door: #8, 13(5%)
minecraft.used.totem_of_undying: #7, 4(1%)
minecraft.picked_up.orange_shulker_box: #8, 246(5%)
minecraft.used.magenta_stained_glass: #7, 51(1%)
minecraft.used.string: #7, 204(1%)
minecraft.dropped.chipped_anvil: #7, 1(2%)
minecraft.crafted.purple_stained_glass_pane: #7, 64(1%)
minecraft.picked_up.green_carpet: #7, 77(1%)
minecraft.used.crimson_stairs: #7, 45(2%)
minecraft.used.pale_oak_door: #7, 2(2%)
minecraft.dropped.bamboo_fence: #7, 2(2%)
minecraft.mined.diamond_ore: #8, 14(6%)
minecraft.used.mangrove_propagule: #7, 78(1%)
minecraft.dropped.lime_wool: #7, 8(1%)
minecraft.crafted.birch_fence_gate: #7, 10(1%)
minecraft.crafted.crimson_fence: #7, 6(1%)
minecraft.picked_up.dark_oak_slab: #8, 224(5%)
minecraft.dropped.yellow_terracotta: #7, 5(1%)
minecraft.dropped.orange_wool: #7, 4(1%)
minecraft.picked_up.lime_concrete_powder: #7, 67(1%)
minecraft.mined.orange_concrete: #7, 128(1%)
minecraft.mined.bamboo_planks: #8, 98(5%)
minecraft.crafted.pale_moss_carpet: #7, 90(1%)
minecraft.used.shears: #8, 10033(4%)
minecraft.used.pink_candle: #7, 4(1%)
minecraft.used.yellow_shulker_box: #8, 239(4%)
minecraft.killed.warden: #7, 1(1%)
minecraft.dropped.brown_terracotta: #7, 2(1%)
minecraft.crafted.waxed_exposed_copper_trapdoor: #7, 7(1%)
minecraft.picked_up.iron_chestplate: #8, 11(4%)
minecraft.used.bookshelf: #8, 164(5%)
minecraft.picked_up.stripped_crimson_stem: #7, 8(1%)
minecraft.used.yellow_candle: #7, 4(1%)
minecraft.used.filled_map: #7, 1(1%)
minecraft.dropped.light_gray_concrete: #7, 3(1%)
minecraft.dropped.deepslate_brick_stairs: #7, 1(1%)
minecraft.used.mangrove_trapdoor: #8, 235(5%)
minecraft.crafted.light_blue_carpet: #7, 60(1%)
minecraft.mined.cauldron: #8, 13(5%)
minecraft.custom.walk_one_cm: #9, 161904342(5%)
minecraft.picked_up.cyan_concrete: #8, 170(6%)
minecraft.dropped.smooth_quartz_stairs: #7, 1(1%)
minecraft.crafted.jungle_trapdoor: #8, 292(6%)
minecraft.picked_up.cracked_deepslate_bricks: #7, 7(1%)
minecraft.used.axolotl_bucket: #7, 1(1%)
minecraft.dropped.fire_charge: #7, 8(0%)
minecraft.crafted.polished_blackstone_brick_stairs: #7, 3(1%)
minecraft.dropped.polished_granite: #7, 3(1%)
minecraft.dropped.glow_lichen: #7, 15(0%)
minecraft.crafted.mossy_stone_brick_slab: #7, 6(0%)
minecraft.used.red_candle: #7, 8(1%)
minecraft.used.crimson_fence: #7, 6(0%)
minecraft.dropped.hopper_minecart: #7, 2(0%)
minecraft.mined.cherry_stairs: #7, 1(0%)
minecraft.dropped.cracked_polished_blackstone_bricks: #7, 1(0%)
minecraft.picked_up.breeze_rod: #8, 752(5%)
minecraft.dropped.gray_concrete_powder: #7, 3(0%)
minecraft.custom.raid_win: #7, 8(0%)
minecraft.picked_up.cut_red_sandstone: #7, 4(0%)
minecraft.picked_up.diamond_sword: #8, 51(4%)
minecraft.killed.evoker: #7, 32(0%)
minecraft.dropped.prismarine_bricks: #7, 3(0%)
minecraft.killed.vindicator: #7, 130(0%)
minecraft.picked_up.red_dye: #8, 65(4%)
minecraft.picked_up.beetroot_seeds: #8, 1070(4%)
minecraft.used.wheat_seeds: #8, 8470(4%)
minecraft.used.smithing_table: #8, 168(4%)
minecraft.used.smooth_sandstone: #8, 1004(5%)
minecraft.crafted.bricks: #8, 1169(4%)
minecraft.mined.mangrove_wall_sign: #8, 8(6%)
minecraft.crafted.gold_ingot: #8, 7222(4%)
minecraft.picked_up.birch_sign: #8, 35(4%)
minecraft.dropped.dark_oak_log: #8, 161(5%)
minecraft.used.light_gray_concrete_powder: #8, 956(4%)
minecraft.used.iron_block: #8, 2924(4%)
minecraft.mined.fire: #8, 609(4%)
minecraft.crafted.gray_dye: #8, 1348(4%)
minecraft.used.diamond_sword: #8, 33317(3%)
minecraft.mined.lantern: #8, 57(4%)
minecraft.mined.end_stone_bricks: #8, 77(4%)
minecraft.killed.bat: #8, 8(5%)
minecraft.used.dark_oak_stairs: #8, 272(4%)
minecraft.mined.orange_shulker_box: #8, 192(4%)
minecraft.picked_up.end_rod: #8, 273(3%)
minecraft.picked_up.deepslate_lapis_ore: #8, 129(3%)
minecraft.picked_up.bowl: #8, 23(4%)
minecraft.killed_by.creeper: #8, 5(4%)
minecraft.mined.gray_concrete: #8, 1447(4%)
minecraft.crafted.dark_oak_wood: #8, 540(4%)
minecraft.mined.bookshelf: #8, 146(4%)
minecraft.picked_up.wooden_axe: #8, 1(8%)
minecraft.mined.tuff_slab: #8, 28(4%)
minecraft.picked_up.ancient_debris: #8, 66(4%)
minecraft.crafted.yellow_shulker_box: #8, 10(4%)
minecraft.crafted.shulker_box: #8, 391(3%)
minecraft.picked_up.spruce_sapling: #8, 1228(3%)
minecraft.dropped.saddle: #8, 4(4%)
minecraft.picked_up.deepslate_brick_slab: #8, 178(4%)
minecraft.picked_up.candle: #8, 60(4%)
minecraft.crafted.mangrove_trapdoor: #8, 156(3%)
minecraft.mined.waxed_oxidized_cut_copper: #8, 170(4%)
minecraft.used.ominous_bottle: #8, 12(5%)
minecraft.custom.open_barrel: #9, 12063(4%)
minecraft.picked_up.mangrove_sign: #8, 15(4%)
minecraft.picked_up.waxed_oxidized_cut_copper: #8, 170(4%)
minecraft.mined.crimson_stem: #8, 362(4%)
minecraft.used.mossy_stone_bricks: #8, 238(4%)
minecraft.used.dark_oak_pressure_plate: #8, 12(7%)
minecraft.mined.gravel: #8, 15966(3%)
minecraft.used.redstone_block: #8, 420(3%)
minecraft.mined.cyan_concrete: #8, 167(4%)
minecraft.dropped.melon_slice: #8, 756(3%)
minecraft.picked_up.chainmail_boots: #8, 6(4%)
minecraft.crafted.bamboo_trapdoor: #8, 410(3%)
minecraft.picked_up.yellow_concrete: #8, 707(3%)
minecraft.picked_up.red_wool: #8, 192(3%)
minecraft.used.paper: #8, 18(4%)
minecraft.dropped.waxed_copper_grate: #8, 15(4%)
minecraft.dropped.iron_pickaxe: #8, 4(4%)
minecraft.picked_up.smooth_quartz_stairs: #8, 66(3%)
minecraft.picked_up.bamboo_stairs: #8, 28(4%)
minecraft.mined.stone_bricks: #8, 1093(3%)
minecraft.mined.light_gray_wool: #8, 53(3%)
minecraft.used.brown_dye: #8, 10(3%)
minecraft.picked_up.diamond: #8, 2115(2%)
minecraft.mined.twisting_vines: #8, 12(5%)
minecraft.picked_up.polished_andesite_stairs: #8, 24(3%)
minecraft.crafted.bamboo_fence_gate: #8, 64(4%)
minecraft.mined.white_stained_glass: #8, 106(3%)
minecraft.mined.snow_block: #8, 742(3%)
minecraft.picked_up.phantom_membrane: #8, 46(3%)
minecraft.picked_up.blue_wool: #8, 168(3%)
minecraft.picked_up.brown_dye: #8, 32(2%)
minecraft.picked_up.crimson_sign: #8, 6(5%)
minecraft.crafted.cobbled_deepslate_slab: #8, 288(3%)
minecraft.dropped.campfire: #8, 4(5%)
minecraft.used.pink_tulip: #8, 8(4%)
minecraft.used.crossbow: #8, 97(3%)
minecraft.used.iron_boots: #8, 1(6%)
minecraft.crafted.orange_shulker_box: #8, 10(3%)
minecraft.dropped.golden_carrot: #9, 656(5%)
minecraft.mined.light_gray_concrete_powder: #8, 56(3%)
minecraft.mined.acacia_wall_sign: #8, 5(3%)
minecraft.used.lime_terracotta: #8, 329(4%)
minecraft.dropped.dripstone_block: #8, 115(3%)
minecraft.picked_up.stripped_mangrove_wood: #8, 26(3%)
minecraft.picked_up.cobbled_deepslate: #8, 16725(2%)
minecraft.dropped.cocoa_beans: #8, 26(3%)
minecraft.mined.green_terracotta: #8, 40(3%)
minecraft.used.soul_campfire: #8, 19(4%)
minecraft.picked_up.mangrove_hanging_sign: #8, 3(4%)
minecraft.mined.dark_oak_wall_sign: #8, 5(3%)
minecraft.used.green_stained_glass_pane: #8, 72(3%)
minecraft.crafted.golden_boots: #8, 3(3%)
minecraft.mined.netherrack: #9, 25097(6%)
minecraft.crafted.hay_block: #8, 429(2%)
minecraft.used.cyan_terracotta: #8, 1524(2%)
minecraft.dropped.lime_dye: #8, 7(2%)
minecraft.dropped.peony: #8, 8(2%)
minecraft.mined.cobbled_deepslate_stairs: #8, 20(2%)
minecraft.used.calibrated_sculk_sensor: #8, 13(3%)
minecraft.mined.mud_brick_stairs: #8, 9(3%)
minecraft.mined.conduit: #8, 1(5%)
minecraft.crafted.written_book: #8, 10(3%)
minecraft.used.hanging_roots: #8, 11(3%)
minecraft.mined.yellow_stained_glass: #8, 20(3%)
minecraft.mined.mangrove_button: #8, 1(5%)
minecraft.used.mangrove_hanging_sign: #8, 7(4%)
minecraft.picked_up.leather_helmet: #9, 15(5%)
minecraft.dropped.rabbit_hide: #8, 3(3%)
minecraft.picked_up.spruce_pressure_plate: #8, 5(2%)
minecraft.used.green_concrete: #8, 109(2%)
minecraft.used.bowl: #8, 1(4%)
minecraft.used.wheat: #8, 11(2%)
minecraft.mined.green_concrete_powder: #8, 15(2%)
minecraft.dropped.shroomlight: #8, 4(3%)
minecraft.custom.leave_game: #10, 1442(4%)
minecraft.dropped.netherite_chestplate: #8, 1(4%)
minecraft.dropped.spruce_door: #8, 2(4%)
minecraft.picked_up.redstone_ore: #8, 34(2%)
minecraft.picked_up.purple_wool: #8, 132(2%)
