stat, rank, value, (percentage) 
minecraft.crafted.redstone_lamp: #1, 789(31%)
minecraft.picked_up.magenta_dye: #2, 296(29%)
minecraft.picked_up.gray_bed: #2, 368(40%)
minecraft.dropped.shears: #2, 565(30%)
minecraft.mined.cobbled_deepslate_wall: #1, 178(44%)
minecraft.dropped.note_block: #1, 88(38%)
minecraft.mined.orange_terracotta: #1, 11592(24%)
minecraft.crafted.white_terracotta: #1, 2480(30%)
minecraft.crafted.flower_pot: #1, 920(25%)
minecraft.mined.smooth_stone: #2, 8374(28%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #1, 97(60%)
minecraft.crafted.soul_campfire: #1, 721(60%)
minecraft.killed.iron_golem: #1, 134(33%)
minecraft.picked_up.azalea: #2, 7075(26%)
minecraft.crafted.bookshelf: #1, 1474(24%)
minecraft.picked_up.deepslate_bricks: #1, 2753(26%)
minecraft.crafted.lead: #1, 724(30%)
minecraft.dropped.bamboo_block: #2, 10220(43%)
minecraft.picked_up.brick_stairs: #1, 158(39%)
minecraft.picked_up.big_dripleaf: #1, 1147(29%)
minecraft.crafted.target: #1, 987(29%)
minecraft.dropped.trident: #1, 46(32%)
minecraft.crafted.brown_wool: #1, 896(32%)
minecraft.mined.gray_bed: #2, 357(40%)
minecraft.crafted.dropper: #1, 2286(24%)
minecraft.used.note_block: #1, 1407(24%)
minecraft.crafted.lodestone: #1, 744(64%)
minecraft.picked_up.beef: #1, 7068(23%)
minecraft.dropped.honeycomb_block: #1, 1731(95%)
minecraft.picked_up.cherry_wood: #1, 79(81%)
minecraft.dropped.tnt: #1, 823(32%)
minecraft.crafted.repeater: #1, 2583(23%)
minecraft.crafted.magma_block: #1, 5951(81%)
minecraft.used.gray_stained_glass: #1, 4302(35%)
minecraft.crafted.grindstone: #1, 768(24%)
minecraft.crafted.cyan_wool: #1, 758(35%)
minecraft.crafted.blue_terracotta: #1, 2880(30%)
minecraft.picked_up.orange_terracotta: #1, 11595(23%)
minecraft.used.ladder: #1, 2752(22%)
minecraft.mined.warped_slab: #1, 336(31%)
minecraft.picked_up.cobbled_deepslate_wall: #1, 262(37%)
minecraft.picked_up.bone_meal: #1, 27958(19%)
minecraft.mined.bamboo_block: #1, 691(25%)
minecraft.used.deepslate_bricks: #1, 9366(25%)
minecraft.crafted.chiseled_bookshelf: #1, 795(26%)
minecraft.picked_up.warped_slab: #1, 409(30%)
minecraft.custom.damage_blocked_by_shield: #1, 88428(23%)
minecraft.picked_up.mud: #2, 48889(25%)
minecraft.picked_up.target: #1, 341(27%)
minecraft.mined.green_stained_glass: #1, 308(34%)
minecraft.crafted.calibrated_sculk_sensor: #1, 253(36%)
minecraft.picked_up.honeycomb_block: #1, 2470(54%)
minecraft.mined.nether_gold_ore: #1, 968(26%)
minecraft.picked_up.pearlescent_froglight: #1, 7339(25%)
minecraft.picked_up.leather: #1, 8036(21%)
minecraft.picked_up.nether_brick: #1, 1311(44%)
minecraft.crafted.crafting_table: #1, 1079(19%)
minecraft.crafted.glow_item_frame: #1, 952(28%)
minecraft.dropped.redstone_torch: #1, 247(26%)
minecraft.mined.green_bed: #1, 170(40%)
minecraft.mined.brown_stained_glass: #1, 247(52%)
minecraft.crafted.stone_axe: #1, 31(21%)
minecraft.crafted.bamboo_slab: #1, 15112(26%)
minecraft.picked_up.bell: #1, 63(26%)
minecraft.mined.brown_concrete: #1, 640(32%)
minecraft.dropped.black_shulker_box: #1, 22(73%)
minecraft.crafted.lime_dye: #1, 3748(24%)
minecraft.picked_up.stone_hoe: #1, 43(43%)
minecraft.crafted.light_gray_stained_glass: #1, 8928(32%)
minecraft.picked_up.smooth_stone_slab: #2, 3856(24%)
minecraft.crafted.glowstone: #1, 2081(25%)
minecraft.picked_up.gray_stained_glass: #1, 419(32%)
minecraft.picked_up.wheat_seeds: #1, 120812(17%)
minecraft.crafted.powered_rail: #1, 4148(20%)
minecraft.picked_up.slime_block: #2, 3440(25%)
minecraft.picked_up.black_bed: #1, 206(31%)
minecraft.dropped.green_shulker_box: #1, 37(82%)
minecraft.mined.powered_rail: #1, 1390(20%)
minecraft.mined.moss_block: #1, 12622(18%)
minecraft.used.detector_rail: #1, 141(25%)
minecraft.crafted.rail: #1, 6907(20%)
minecraft.used.flint_and_steel: #2, 1753(23%)
minecraft.dropped.light_gray_shulker_box: #1, 16(70%)
minecraft.used.nether_gold_ore: #1, 262(61%)
minecraft.dropped.purple_shulker_box: #1, 11(44%)
minecraft.broken.shield: #1, 20(34%)
minecraft.dropped.lever: #1, 331(22%)
minecraft.dropped.stone_brick_stairs: #1, 183(32%)
minecraft.mined.detector_rail: #1, 60(27%)
minecraft.dropped.dropper: #1, 168(37%)
minecraft.killed_by.drowned: #1, 71(27%)
minecraft.picked_up.redstone_block: #1, 2414(19%)
minecraft.dropped.crafting_table: #1, 85(22%)
