stat, rank, value, (percentage) 
minecraft.picked_up.dead_brain_coral_block: #9, 4(0%)
minecraft.picked_up.crimson_slab: #9, 2(0%)
minecraft.used.chiseled_deepslate: #9, 67(0%)
minecraft.picked_up.green_carpet: #9, 20(0%)
minecraft.picked_up.copper_block: #9, 200(0%)
minecraft.dropped.lightning_rod: #9, 1(0%)
minecraft.used.salmon_bucket: #9, 1(0%)
minecraft.crafted.yellow_stained_glass: #9, 64(0%)
minecraft.dropped.stripped_jungle_log: #9, 1(0%)
minecraft.dropped.pitcher_pod: #9, 4(0%)
minecraft.mined.pink_bed: #9, 1(0%)
minecraft.used.purpur_stairs: #9, 2(0%)
minecraft.picked_up.mycelium: #9, 8(0%)
minecraft.picked_up.iron_chestplate: #10, 10(4%)
minecraft.used.stone: #10, 31267(4%)
minecraft.used.dark_oak_log: #10, 1030(4%)
minecraft.dropped.diamond_pickaxe: #10, 17(4%)
minecraft.dropped.goat_horn: #10, 6(5%)
minecraft.used.jukebox: #10, 20(4%)
minecraft.mined.bone_block: #10, 244(3%)
minecraft.crafted.diamond_shovel: #10, 8(3%)
minecraft.mined.dark_oak_log: #10, 2768(3%)
minecraft.dropped.redstone: #10, 703(3%)
minecraft.used.red_wool: #10, 219(4%)
minecraft.mined.crafting_table: #10, 209(3%)
minecraft.picked_up.pink_petals: #10, 1467(3%)
minecraft.mined.dark_oak_stairs: #10, 52(3%)
minecraft.picked_up.smooth_basalt: #10, 373(3%)
minecraft.dropped.coal_ore: #10, 117(3%)
minecraft.picked_up.diamond_leggings: #10, 21(2%)
minecraft.picked_up.dark_oak_slab: #10, 150(3%)
minecraft.used.milk_bucket: #10, 6(4%)
minecraft.mined.podzol: #10, 539(3%)
minecraft.used.iron_pickaxe: #10, 1581(3%)
minecraft.mined.acacia_planks: #10, 35(4%)
minecraft.dropped.ink_sac: #10, 27(3%)
minecraft.used.melon: #10, 29(3%)
minecraft.custom.sprint_one_cm: #11, 143534238(4%)
minecraft.used.written_book: #10, 140(3%)
minecraft.used.moss_block: #10, 4716(3%)
minecraft.crafted.spruce_fence: #10, 555(3%)
minecraft.mined.chain: #10, 109(3%)
minecraft.used.dark_oak_fence: #10, 210(3%)
minecraft.custom.target_hit: #10, 151(2%)
minecraft.custom.horse_one_cm: #10, 18969379(2%)
minecraft.picked_up.jukebox: #10, 15(3%)
minecraft.picked_up.mangrove_roots: #10, 2155(3%)
minecraft.picked_up.nether_bricks: #10, 214(3%)
minecraft.used.clay: #10, 221(3%)
minecraft.picked_up.acacia_sapling: #10, 486(2%)
minecraft.used.golden_carrot: #11, 3383(4%)
minecraft.picked_up.decorated_pot: #10, 50(2%)
minecraft.picked_up.brown_carpet: #10, 45(2%)
minecraft.used.baked_potato: #10, 140(2%)
minecraft.mined.stone_bricks: #10, 739(2%)
minecraft.picked_up.stone_pickaxe: #10, 2(2%)
minecraft.mined.mud_brick_wall: #10, 19(2%)
minecraft.dropped.tripwire_hook: #10, 5(3%)
minecraft.picked_up.azalea_leaves: #10, 2326(2%)
minecraft.dropped.cookie: #10, 82(2%)
minecraft.dropped.red_mushroom: #10, 4(2%)
minecraft.crafted.dark_oak_boat: #10, 1(3%)
minecraft.picked_up.flowering_azalea_leaves: #10, 730(2%)
minecraft.used.shroomlight: #10, 50(2%)
minecraft.used.ominous_trial_key: #10, 15(2%)
minecraft.crafted.brick_slab: #10, 12(2%)
minecraft.picked_up.acacia_leaves: #10, 321(2%)
minecraft.mined.bamboo_fence: #10, 21(2%)
minecraft.used.dark_oak_pressure_plate: #10, 5(3%)
minecraft.picked_up.mangrove_door: #10, 2(2%)
minecraft.used.andesite_stairs: #10, 34(2%)
minecraft.custom.use_cauldron: #10, 100(1%)
minecraft.crafted.warped_hyphae: #10, 48(2%)
minecraft.used.birch_fence: #10, 40(1%)
minecraft.crafted.acacia_slab: #10, 102(2%)
minecraft.crafted.warped_slab: #10, 120(2%)
minecraft.picked_up.jungle_sign: #10, 6(1%)
minecraft.picked_up.bamboo_slab: #10, 88(1%)
minecraft.picked_up.scrape_pottery_sherd: #10, 6(2%)
minecraft.picked_up.mossy_cobblestone_slab: #10, 9(2%)
minecraft.used.warped_slab: #10, 115(1%)
minecraft.crafted.cobblestone_wall: #10, 30(1%)
minecraft.dropped.weeping_vines: #10, 2(2%)
minecraft.used.coal_ore: #10, 495(1%)
minecraft.mined.chorus_plant: #10, 16(1%)
minecraft.dropped.netherite_axe: #10, 1(2%)
minecraft.dropped.snow_block: #10, 44(1%)
minecraft.picked_up.guster_pottery_sherd: #10, 6(1%)
minecraft.used.lilac: #10, 11(1%)
minecraft.mined.cactus_flower: #10, 2(2%)
minecraft.crafted.stonecutter: #10, 10(1%)
minecraft.mined.allium: #10, 15(1%)
minecraft.mined.tall_dry_grass: #10, 9(1%)
minecraft.dropped.light_gray_dye: #10, 3(1%)
minecraft.picked_up.chorus_fruit: #10, 204(1%)
minecraft.used.cactus_flower: #10, 2(2%)
minecraft.picked_up.tall_dry_grass: #10, 9(1%)
minecraft.mined.mud_bricks: #10, 35(1%)
minecraft.used.sand: #10, 2831(1%)
minecraft.crafted.polished_andesite_stairs: #10, 4(1%)
minecraft.crafted.brick_wall: #10, 6(1%)
minecraft.picked_up.chiseled_polished_blackstone: #10, 2(1%)
minecraft.mined.lime_terracotta: #10, 20(1%)
minecraft.used.mangrove_fence: #10, 39(1%)
minecraft.dropped.waxed_oxidized_cut_copper_stairs: #10, 2(1%)
minecraft.used.weeping_vines: #10, 6(1%)
minecraft.crafted.cobblestone_slab: #10, 90(1%)
minecraft.dropped.gray_dye: #10, 3(1%)
minecraft.mined.dark_prismarine: #10, 20(1%)
minecraft.used.pale_moss_carpet: #10, 82(1%)
minecraft.crafted.red_nether_bricks: #10, 30(1%)
minecraft.picked_up.small_dripleaf: #10, 3(1%)
minecraft.mined.yellow_stained_glass_pane: #10, 5(1%)
minecraft.crafted.nether_brick_fence: #10, 12(1%)
minecraft.crafted.mangrove_fence_gate: #10, 4(1%)
minecraft.used.trident: #10, 124(1%)
minecraft.used.red_concrete: #10, 69(1%)
minecraft.used.mangrove_fence_gate: #10, 4(1%)
minecraft.mined.waxed_exposed_copper: #10, 5(1%)
minecraft.used.cyan_candle: #10, 4(1%)
minecraft.picked_up.bamboo_hanging_sign: #10, 1(1%)
minecraft.mined.stripped_jungle_wood: #10, 11(1%)
minecraft.used.blue_terracotta: #10, 44(1%)
minecraft.used.brown_candle: #10, 4(1%)
minecraft.mined.brick_wall: #10, 1(1%)
minecraft.used.chorus_flower: #10, 7(1%)
minecraft.mined.short_dry_grass: #10, 8(1%)
minecraft.crafted.granite_wall: #10, 6(1%)
minecraft.mined.bamboo_mosaic: #10, 2(1%)
minecraft.picked_up.dark_prismarine: #10, 24(0%)
minecraft.used.purple_concrete_powder: #10, 30(0%)
minecraft.used.green_carpet: #10, 37(0%)
minecraft.picked_up.short_dry_grass: #10, 8(1%)
minecraft.dropped.comparator: #10, 3(0%)
minecraft.crafted.purple_stained_glass: #10, 104(0%)
minecraft.used.coal_block: #10, 33(0%)
minecraft.picked_up.waxed_cut_copper: #10, 5(0%)
minecraft.killed.turtle: #10, 1(0%)
minecraft.used.waxed_exposed_cut_copper_stairs: #10, 3(0%)
minecraft.used.tall_dry_grass: #10, 1(0%)
minecraft.mined.crimson_slab: #10, 1(0%)
minecraft.picked_up.pink_bed: #10, 1(0%)
minecraft.picked_up.waxed_exposed_copper: #10, 5(0%)
minecraft.used.resin_block: #10, 11(0%)
minecraft.killed.horse: #10, 2(0%)
minecraft.dropped.armadillo_scute: #10, 12(0%)
minecraft.used.waxed_exposed_cut_copper_slab: #10, 1(0%)
minecraft.used.waxed_weathered_cut_copper_slab: #10, 2(0%)
minecraft.dropped.dried_kelp: #10, 2(0%)
minecraft.used.dark_oak_leaves: #10, 2(0%)
minecraft.crafted.honeycomb_block: #10, 1(0%)
minecraft.used.crafting_table: #11, 287(3%)
minecraft.used.chain: #11, 637(4%)
minecraft.used.painting: #11, 199(4%)
minecraft.picked_up.shield: #11, 14(3%)
minecraft.picked_up.diamond_helmet: #11, 15(3%)
minecraft.picked_up.crafting_table: #11, 225(3%)
minecraft.used.white_banner: #11, 38(3%)
minecraft.picked_up.diamond_shovel: #11, 33(3%)
minecraft.crafted.dark_oak_planks: #11, 5088(3%)
minecraft.used.cooked_beef: #11, 497(2%)
minecraft.mined.smooth_basalt: #11, 320(3%)
minecraft.dropped.cooked_beef: #11, 100(2%)
minecraft.mined.potatoes: #11, 192(3%)
minecraft.mined.oak_sign: #11, 7(3%)
minecraft.crafted.dark_oak_fence: #11, 210(3%)
minecraft.custom.interact_with_campfire: #11, 401(3%)
minecraft.mined.sunflower: #11, 140(3%)
minecraft.used.potato: #11, 232(2%)
minecraft.picked_up.andesite_slab: #11, 57(3%)
minecraft.custom.damage_blocked_by_shield: #11, 9895(3%)
minecraft.used.white_concrete: #11, 2556(3%)
minecraft.picked_up.dark_oak_stairs: #11, 50(3%)
minecraft.mined.polished_diorite: #11, 18(3%)
minecraft.dropped.ominous_bottle: #11, 2(4%)
minecraft.custom.trigger_trapped_chest: #11, 27(2%)
minecraft.crafted.iron_shovel: #11, 12(2%)
minecraft.mined.orange_terracotta: #11, 994(2%)
minecraft.picked_up.mangrove_slab: #11, 77(2%)
minecraft.crafted.polished_tuff: #11, 872(2%)
minecraft.used.coarse_dirt: #11, 1695(2%)
minecraft.crafted.spruce_door: #11, 15(2%)
minecraft.used.sea_pickle: #11, 144(2%)
minecraft.killed.stray: #11, 88(3%)
minecraft.mined.spruce_sapling: #11, 12(2%)
minecraft.crafted.mangrove_trapdoor: #11, 94(2%)
minecraft.dropped.spruce_planks: #11, 74(2%)
minecraft.picked_up.cobblestone_wall: #11, 26(2%)
minecraft.mined.raw_copper_block: #11, 5(2%)
minecraft.picked_up.netherite_boots: #11, 7(2%)
minecraft.used.orange_wool: #11, 75(2%)
minecraft.mined.azalea_leaves: #11, 2433(2%)
minecraft.picked_up.chainmail_helmet: #11, 2(2%)
minecraft.used.mangrove_slab: #11, 217(2%)
minecraft.mined.andesite_wall: #11, 16(2%)
minecraft.used.green_banner: #11, 4(2%)
minecraft.crafted.purple_shulker_box: #11, 2(2%)
minecraft.mined.flowering_azalea_leaves: #11, 738(2%)
minecraft.used.pale_oak_stairs: #11, 23(2%)
minecraft.picked_up.big_dripleaf: #11, 66(2%)
minecraft.picked_up.orange_tulip: #11, 113(2%)
minecraft.picked_up.heavy_core: #11, 2(2%)
minecraft.picked_up.iron_hoe: #11, 1(2%)
minecraft.crafted.dark_oak_wood: #11, 198(2%)
minecraft.dropped.stone_bricks: #11, 66(1%)
minecraft.dropped.cooked_cod: #11, 36(1%)
minecraft.dropped.moss_carpet: #11, 279(1%)
minecraft.used.acacia_slab: #11, 80(2%)
minecraft.picked_up.dark_oak_sapling: #11, 314(1%)
minecraft.crafted.redstone_lamp: #11, 35(1%)
minecraft.used.podzol: #11, 75(1%)
minecraft.used.deepslate_tile_wall: #11, 61(2%)
minecraft.used.brush: #11, 40(2%)
minecraft.crafted.hopper_minecart: #11, 11(1%)
minecraft.dropped.acacia_log: #11, 7(1%)
minecraft.picked_up.cherry_trapdoor: #11, 11(1%)
minecraft.crafted.cobbled_deepslate_slab: #11, 126(1%)
minecraft.used.white_stained_glass: #11, 375(1%)
minecraft.used.andesite_wall: #11, 89(1%)
minecraft.picked_up.blue_wool: #11, 64(1%)
minecraft.dropped.waxed_copper_grate: #11, 5(1%)
minecraft.used.deepslate_tile_slab: #11, 425(1%)
minecraft.mined.big_dripleaf: #11, 7(1%)
minecraft.used.polished_granite: #11, 94(1%)
minecraft.dropped.honey_bottle: #11, 7(1%)
minecraft.picked_up.andesite_stairs: #11, 7(1%)
minecraft.mined.red_sandstone: #11, 10(1%)
minecraft.used.stripped_dark_oak_log: #11, 71(1%)
minecraft.crafted.raw_iron_block: #11, 51(1%)
minecraft.mined.firefly_bush: #11, 26(1%)
minecraft.used.ominous_bottle: #11, 3(1%)
minecraft.crafted.quartz_stairs: #11, 20(1%)
minecraft.dropped.chainmail_helmet: #11, 1(1%)
minecraft.mined.brown_carpet: #11, 8(1%)
minecraft.used.cobbled_deepslate_wall: #11, 45(1%)
minecraft.used.dark_oak_wood: #11, 104(1%)
minecraft.used.pufferfish_bucket: #11, 2(1%)
minecraft.picked_up.sugar: #11, 68(1%)
minecraft.picked_up.flow_pottery_sherd: #11, 4(1%)
minecraft.picked_up.green_wool: #11, 213(1%)
minecraft.picked_up.light_gray_terracotta: #11, 179(1%)
minecraft.dropped.mangrove_leaves: #11, 63(1%)
minecraft.used.gray_terracotta: #11, 41(1%)
minecraft.crafted.bamboo_stairs: #11, 24(1%)
minecraft.used.stripped_dark_oak_wood: #11, 20(1%)
minecraft.used.yellow_banner: #11, 2(1%)
minecraft.crafted.polished_blackstone_button: #11, 12(1%)
minecraft.mined.light_gray_terracotta: #11, 151(1%)
minecraft.mined.quartz_block: #11, 59(1%)
minecraft.crafted.granite_stairs: #11, 4(1%)
minecraft.mined.orange_stained_glass_pane: #11, 5(1%)
minecraft.used.birch_sapling: #11, 117(1%)
minecraft.picked_up.stone_hoe: #11, 1(1%)
minecraft.used.warped_hyphae: #11, 24(1%)
minecraft.used.chiseled_sandstone: #11, 3(1%)
minecraft.crafted.tuff_wall: #11, 12(1%)
minecraft.used.dark_oak_boat: #11, 1(1%)
minecraft.picked_up.dark_oak_boat: #11, 1(1%)
minecraft.used.bamboo_stairs: #11, 16(1%)
minecraft.mined.diamond_block: #11, 13(0%)
minecraft.used.tnt_minecart: #11, 3(1%)
minecraft.crafted.tnt_minecart: #11, 3(1%)
minecraft.mined.green_stained_glass: #11, 5(1%)
minecraft.used.porkchop: #11, 1(1%)
minecraft.dropped.spruce_stairs: #11, 4(1%)
minecraft.picked_up.daylight_detector: #11, 2(1%)
minecraft.used.crossbow: #11, 14(0%)
minecraft.picked_up.stripped_jungle_wood: #11, 9(0%)
minecraft.crafted.deepslate_brick_stairs: #11, 20(0%)
minecraft.mined.orange_stained_glass: #11, 6(1%)
minecraft.picked_up.granite_wall: #11, 2(1%)
minecraft.killed.guardian: #11, 1(0%)
minecraft.crafted.orange_stained_glass_pane: #11, 32(0%)
minecraft.crafted.purple_concrete_powder: #11, 40(0%)
minecraft.used.crimson_fungus: #11, 4(0%)
minecraft.crafted.yellow_banner: #11, 2(0%)
minecraft.crafted.red_stained_glass_pane: #11, 16(0%)
minecraft.picked_up.wildflowers: #11, 25(0%)
minecraft.crafted.red_stained_glass: #11, 64(0%)
minecraft.mined.quartz_slab: #11, 9(0%)
minecraft.used.copper_block: #11, 247(0%)
minecraft.mined.gray_bed: #11, 2(0%)
minecraft.mined.pink_wool: #11, 2(0%)
minecraft.picked_up.resin_block: #11, 11(0%)
minecraft.used.red_sand: #11, 7(0%)
minecraft.used.red_stained_glass_pane: #11, 7(0%)
minecraft.mined.resin_block: #11, 9(0%)
minecraft.used.pink_bed: #11, 1(0%)
minecraft.dropped.end_stone: #11, 2(0%)
minecraft.used.polished_blackstone_slab: #11, 6(0%)
minecraft.picked_up.purple_stained_glass_pane: #11, 1(0%)
minecraft.dropped.amethyst_shard: #11, 3(0%)
minecraft.mined.purple_stained_glass: #11, 2(0%)
minecraft.crafted.dried_kelp: #11, 2(0%)
minecraft.used.polished_granite_stairs: #11, 1(0%)
minecraft.mined.pink_terracotta: #11, 1(0%)
minecraft.crafted.dried_kelp_block: #11, 1(0%)
minecraft.used.prismarine_wall: #11, 2(0%)
minecraft.dropped.bamboo_button: #11, 1(0%)
minecraft.custom.raid_win: #11, 1(0%)
minecraft.used.flower_pot: #12, 101(4%)
minecraft.mined.vine: #12, 525(3%)
minecraft.picked_up.painting: #12, 159(3%)
minecraft.used.carrot: #12, 468(3%)
minecraft.picked_up.diamond_pickaxe: #12, 44(2%)
minecraft.picked_up.flower_pot: #12, 32(3%)
minecraft.mined.wall_torch: #12, 314(3%)
minecraft.picked_up.mangrove_log: #12, 1158(3%)
minecraft.crafted.stone: #12, 368(3%)
minecraft.crafted.player_head: #12, 440(3%)
minecraft.dropped.diamond_block: #12, 42(2%)
minecraft.mined.kelp: #12, 95(2%)
minecraft.crafted.coarse_dirt: #12, 1884(2%)
minecraft.mined.birch_planks: #12, 80(2%)
minecraft.used.diamond_shovel: #12, 79596(2%)
minecraft.crafted.diamond_hoe: #12, 2(2%)
minecraft.mined.attached_melon_stem: #12, 4(2%)
minecraft.custom.climb_one_cm: #13, 3231611(4%)
minecraft.picked_up.netherite_chestplate: #12, 2(2%)
minecraft.mined.rooted_dirt: #12, 358(2%)
minecraft.dropped.iron_chestplate: #12, 3(2%)
minecraft.picked_up.dripstone_block: #12, 743(2%)
minecraft.picked_up.cyan_wool: #12, 180(2%)
minecraft.dropped.ominous_trial_key: #12, 3(3%)
minecraft.mined.pink_petals: #12, 134(2%)
minecraft.picked_up.andesite_wall: #12, 27(2%)
minecraft.used.mangrove_trapdoor: #12, 93(2%)
minecraft.dropped.name_tag: #12, 6(2%)
minecraft.picked_up.ominous_bottle: #12, 12(2%)
minecraft.dropped.blue_dye: #12, 7(2%)
minecraft.picked_up.tuff_slab: #12, 31(2%)
minecraft.picked_up.stone_axe: #12, 1(2%)
minecraft.crafted.mangrove_slab: #12, 204(2%)
minecraft.used.rotten_flesh: #12, 33(2%)
minecraft.picked_up.cooked_cod: #12, 87(1%)
minecraft.picked_up.jungle_leaves: #12, 323(2%)
minecraft.broken.iron_shovel: #12, 4(2%)
minecraft.mined.cherry_trapdoor: #12, 8(2%)
minecraft.crafted.birch_fence: #12, 48(2%)
minecraft.used.dark_oak_trapdoor: #12, 174(1%)
minecraft.mined.big_dripleaf_stem: #12, 4(2%)
minecraft.mined.mangrove_propagule: #12, 34(1%)
minecraft.dropped.tipped_arrow: #12, 38(2%)
minecraft.used.birch_sign: #12, 18(1%)
minecraft.picked_up.ominous_trial_key: #12, 18(2%)
minecraft.used.azalea: #12, 53(1%)
minecraft.dropped.brown_dye: #12, 9(2%)
minecraft.picked_up.brown_dye: #12, 16(1%)
minecraft.used.sea_lantern: #12, 70(1%)
minecraft.picked_up.pink_tulip: #12, 46(1%)
minecraft.mined.light_gray_carpet: #12, 14(1%)
minecraft.crafted.packed_mud: #12, 1265(1%)
minecraft.crafted.firework_rocket: #12, 4665(1%)
minecraft.dropped.clay: #12, 15(1%)
minecraft.picked_up.goat_horn: #12, 9(1%)
minecraft.picked_up.milk_bucket: #12, 3(2%)
minecraft.picked_up.dark_oak_wood: #12, 7(2%)
minecraft.picked_up.cobblestone_slab: #12, 69(1%)
minecraft.used.brown_carpet: #12, 45(1%)
minecraft.mined.bamboo_sign: #12, 3(1%)
minecraft.crafted.clock: #12, 2(1%)
minecraft.dropped.smooth_stone_slab: #12, 48(1%)
minecraft.dropped.stone_axe: #12, 1(1%)
minecraft.picked_up.mud_brick_wall: #12, 17(1%)
minecraft.used.yellow_bed: #12, 12(1%)
minecraft.used.waxed_exposed_copper_bulb: #12, 6(2%)
minecraft.crafted.pale_oak_stairs: #12, 24(2%)
minecraft.mined.dark_oak_wood: #12, 7(1%)
minecraft.picked_up.bamboo_fence: #12, 20(1%)
minecraft.used.stripped_spruce_log: #12, 136(1%)
minecraft.picked_up.flow_banner_pattern: #12, 2(1%)
minecraft.crafted.pale_oak_slab: #12, 42(1%)
minecraft.dropped.yellow_dye: #12, 7(1%)
minecraft.picked_up.yellow_bed: #12, 10(1%)
minecraft.mined.cyan_concrete: #12, 44(1%)
minecraft.mined.yellow_bed: #12, 10(1%)
minecraft.crafted.cyan_stained_glass: #12, 96(1%)
minecraft.crafted.polished_granite: #12, 120(1%)
minecraft.killed.hoglin: #12, 2(1%)
minecraft.picked_up.smooth_sandstone: #12, 65(1%)
minecraft.crafted.blast_furnace: #12, 21(1%)
minecraft.picked_up.breeze_rod: #12, 131(1%)
minecraft.crafted.spruce_pressure_plate: #12, 4(1%)
minecraft.picked_up.orange_concrete: #12, 63(1%)
minecraft.picked_up.netherite_hoe: #12, 2(1%)
minecraft.used.pale_oak_sign: #12, 10(1%)
minecraft.used.bamboo_fence: #12, 39(1%)
minecraft.dropped.moss_block: #12, 207(1%)
minecraft.mined.weeping_vines: #12, 7(1%)
minecraft.picked_up.spore_blossom: #12, 8(1%)
minecraft.picked_up.firefly_bush: #12, 25(1%)
minecraft.dropped.poisonous_potato: #12, 1(1%)
minecraft.used.apple: #12, 7(1%)
minecraft.used.deepslate_brick_stairs: #12, 86(1%)
minecraft.mined.smooth_sandstone_slab: #12, 6(1%)
minecraft.used.wheat: #12, 4(1%)
minecraft.picked_up.copper_ingot: #12, 104(1%)
minecraft.dropped.cooked_salmon: #12, 5(1%)
minecraft.killed.piglin_brute: #12, 2(1%)
minecraft.dropped.orange_tulip: #12, 5(1%)
minecraft.mined.smooth_sandstone: #12, 20(1%)
minecraft.crafted.polished_deepslate_stairs: #12, 8(1%)
minecraft.mined.polished_blackstone_stairs: #12, 2(1%)
minecraft.mined.deepslate_brick_slab: #12, 18(1%)
minecraft.used.leaf_litter: #12, 62(1%)
minecraft.picked_up.wooden_shovel: #12, 1(1%)
minecraft.used.bamboo_hanging_sign: #12, 1(1%)
minecraft.picked_up.light_blue_wool: #12, 40(0%)
minecraft.dropped.lily_pad: #12, 2(1%)
minecraft.dropped.white_tulip: #12, 3(1%)
minecraft.mined.brick_slab: #12, 1(1%)
minecraft.mined.mossy_cobblestone_stairs: #12, 1(1%)
minecraft.used.pale_oak_slab: #12, 13(1%)
minecraft.crafted.cyan_concrete_powder: #12, 64(1%)
minecraft.crafted.lime_stained_glass: #12, 88(1%)
minecraft.mined.stripped_acacia_wood: #12, 4(1%)
minecraft.crafted.warped_stairs: #12, 12(0%)
minecraft.mined.light_blue_stained_glass: #12, 14(0%)
minecraft.used.warped_stairs: #12, 13(0%)
minecraft.picked_up.flow_armor_trim_smithing_template: #12, 1(0%)
minecraft.dropped.dispenser: #12, 2(0%)
minecraft.mined.jungle_wall_sign: #12, 1(1%)
minecraft.picked_up.brick_wall: #12, 1(1%)
minecraft.mined.orange_concrete: #12, 64(0%)
minecraft.picked_up.stripped_cherry_log: #12, 8(0%)
minecraft.picked_up.stripped_acacia_wood: #12, 3(0%)
minecraft.picked_up.mossy_cobblestone_stairs: #12, 1(0%)
minecraft.mined.stripped_mangrove_wood: #12, 3(0%)
minecraft.picked_up.green_stained_glass: #12, 5(0%)
minecraft.picked_up.pink_concrete: #12, 34(0%)
minecraft.dropped.furnace: #12, 1(0%)
minecraft.dropped.vine: #12, 1(0%)
minecraft.picked_up.allium: #12, 15(0%)
minecraft.mined.waxed_cut_copper: #12, 5(0%)
minecraft.used.purple_stained_glass: #12, 70(0%)
minecraft.picked_up.pink_carpet: #12, 1(0%)
minecraft.used.stripped_jungle_wood: #12, 5(0%)
minecraft.picked_up.quartz_slab: #12, 8(0%)
minecraft.crafted.bundle: #12, 1(0%)
minecraft.used.sandstone_wall: #12, 5(0%)
minecraft.used.sculk: #12, 139(0%)
minecraft.picked_up.coal_block: #12, 6(0%)
minecraft.dropped.cactus: #12, 24(0%)
minecraft.picked_up.bamboo_mosaic: #12, 1(0%)
minecraft.dropped.red_sand: #12, 4(0%)
minecraft.used.black_terracotta: #12, 18(0%)
minecraft.used.pale_oak_wood: #12, 3(0%)
minecraft.picked_up.purple_stained_glass: #12, 2(0%)
minecraft.dropped.dead_bush: #12, 1(0%)
minecraft.mined.stripped_crimson_stem: #12, 1(0%)
minecraft.picked_up.pink_terracotta: #12, 1(0%)
minecraft.custom.pig_one_cm: #12, 291954(0%)
minecraft.picked_up.prismarine_shard: #12, 3(0%)
minecraft.crafted.spruce_slab: #13, 2430(4%)
minecraft.used.diamond_axe: #13, 36449(3%)
minecraft.crafted.chain: #13, 594(3%)
minecraft.custom.interact_with_lectern: #13, 286(2%)
minecraft.mined.spruce_log: #13, 5604(3%)
minecraft.picked_up.spruce_log: #13, 6125(3%)
minecraft.used.stone_brick_stairs: #13, 293(3%)
minecraft.dropped.diamond_boots: #13, 5(2%)
minecraft.used.spruce_stairs: #13, 408(2%)
minecraft.mined.oak_fence: #13, 105(3%)
minecraft.killed.cow: #13, 248(2%)
minecraft.picked_up.diamond_sword: #13, 28(2%)
minecraft.mined.spruce_wall_sign: #13, 12(2%)
minecraft.crafted.lapis_lazuli: #13, 462(2%)
minecraft.picked_up.oak_fence: #13, 105(2%)
minecraft.used.leather_leggings: #13, 3(2%)
minecraft.crafted.jukebox: #13, 6(2%)
minecraft.mined.cave_vines: #13, 17(2%)
minecraft.picked_up.bone_meal: #13, 2404(2%)
minecraft.picked_up.grass_block: #13, 22740(2%)
minecraft.used.spruce_door: #13, 9(2%)
minecraft.picked_up.chain: #13, 114(2%)
minecraft.used.brown_dye: #13, 7(2%)
minecraft.used.diamond_hoe: #13, 11710(2%)
minecraft.picked_up.iron_helmet: #13, 3(2%)
minecraft.crafted.warped_trapdoor: #13, 50(2%)
minecraft.mined.decorated_pot: #13, 95(2%)
minecraft.dropped.golden_helmet: #13, 4(2%)
minecraft.dropped.diamond_hoe: #13, 1(2%)
minecraft.crafted.blue_shulker_box: #13, 2(2%)
minecraft.custom.walk_on_water_one_cm: #14, 3814706(3%)
minecraft.picked_up.blue_dye: #13, 15(1%)
minecraft.used.honeycomb: #13, 298(2%)
minecraft.mined.leaf_litter: #13, 31(2%)
minecraft.mined.bamboo_wall_sign: #13, 7(1%)
minecraft.used.leather_boots: #13, 3(1%)
minecraft.picked_up.brown_mushroom: #13, 147(1%)
minecraft.killed.slime: #13, 176(2%)
minecraft.used.bundle: #13, 16(1%)
minecraft.mined.acacia_leaves: #13, 425(1%)
minecraft.mined.cauldron: #13, 4(1%)
minecraft.mined.oak_fence_gate: #13, 4(2%)
minecraft.picked_up.tnt: #13, 158(1%)
minecraft.used.pink_petals: #13, 183(1%)
minecraft.used.jungle_sign: #13, 14(2%)
minecraft.dropped.chainmail_boots: #13, 2(2%)
minecraft.picked_up.mangrove_sign: #13, 5(1%)
minecraft.used.mud_bricks: #13, 207(1%)
minecraft.used.black_concrete: #13, 320(1%)
minecraft.picked_up.tuff_brick_stairs: #13, 27(1%)
minecraft.crafted.jungle_sign: #13, 12(1%)
minecraft.mined.stripped_jungle_log: #13, 49(1%)
minecraft.picked_up.bamboo_raft: #13, 4(2%)
minecraft.mined.smithing_table: #13, 5(1%)
minecraft.crafted.light_gray_concrete_powder: #13, 384(1%)
minecraft.picked_up.netherite_helmet: #13, 3(1%)
minecraft.picked_up.waxed_cut_copper_slab: #13, 5(1%)
minecraft.picked_up.light_gray_carpet: #13, 14(1%)
minecraft.mined.stripped_dark_oak_log: #13, 89(1%)
minecraft.picked_up.stripped_jungle_log: #13, 48(1%)
minecraft.crafted.green_banner: #13, 4(1%)
minecraft.used.packed_mud: #13, 1023(1%)
minecraft.picked_up.stripped_dark_oak_log: #13, 86(1%)
minecraft.mined.granite_wall: #13, 2(1%)
minecraft.picked_up.netherite_shovel: #13, 3(1%)
minecraft.used.cherry_sapling: #13, 18(1%)
minecraft.picked_up.enchanted_golden_apple: #13, 4(1%)
minecraft.killed.bogged: #13, 33(1%)
minecraft.used.stone_sword: #13, 87(1%)
minecraft.custom.time_since_rest: #13, 321056(0%)
minecraft.picked_up.pink_banner: #13, 1(1%)
minecraft.used.egg: #13, 237(1%)
minecraft.used.deepslate_brick_slab: #13, 133(1%)
minecraft.crafted.purple_dye: #13, 110(1%)
minecraft.picked_up.birch_fence: #13, 11(1%)
minecraft.mined.small_dripleaf: #13, 3(1%)
minecraft.used.blast_furnace: #13, 17(1%)
minecraft.picked_up.netherite_axe: #13, 2(1%)
minecraft.used.brick_wall: #13, 7(1%)
