stat, rank, value, (percentage) 
minecraft.picked_up.cut_copper: #3, 32(5%)
minecraft.picked_up.exposed_copper_bulb: #3, 3(7%)
minecraft.used.sandstone_slab: #3, 296(9%)
minecraft.dropped.green_concrete_powder: #3, 14(8%)
minecraft.crafted.nether_brick_stairs: #3, 8(14%)
minecraft.crafted.prismarine_stairs: #3, 8(13%)
minecraft.mined.pitcher_crop: #3, 70(5%)
minecraft.used.oxidized_chiseled_copper: #3, 110(4%)
minecraft.used.prismarine: #3, 859(4%)
minecraft.mined.birch_hanging_sign: #3, 3(12%)
minecraft.mined.sea_pickle: #4, 188(7%)
minecraft.used.blue_banner: #3, 4(5%)
minecraft.used.fire_coral_block: #4, 145(11%)
minecraft.dropped.light_blue_concrete: #3, 72(7%)
minecraft.dropped.copper_block: #4, 88(16%)
minecraft.picked_up.torchflower: #4, 127(6%)
minecraft.picked_up.horn_coral: #4, 87(10%)
minecraft.used.pitcher_pod: #3, 75(5%)
minecraft.picked_up.beetroot_seeds: #5, 2731(9%)
minecraft.used.jungle_sapling: #3, 270(3%)
minecraft.crafted.blue_bed: #3, 5(8%)
minecraft.mined.mossy_stone_brick_stairs: #4, 9(11%)
minecraft.mined.potted_pink_tulip: #3, 1(17%)
minecraft.dropped.fishing_rod: #4, 29(6%)
minecraft.used.bone_block: #4, 1339(6%)
minecraft.mined.oxidized_cut_copper_slab: #3, 60(3%)
minecraft.mined.horn_coral: #4, 88(10%)
minecraft.picked_up.oxidized_cut_copper_slab: #3, 60(3%)
minecraft.crafted.dune_armor_trim_smithing_template: #3, 4(9%)
minecraft.crafted.golden_axe: #3, 1(9%)
minecraft.picked_up.pitcher_plant: #4, 114(5%)
minecraft.used.mangrove_hanging_sign: #4, 25(14%)
minecraft.used.light_blue_bed: #4, 41(8%)
minecraft.picked_up.cyan_dye: #4, 69(5%)
minecraft.picked_up.wooden_pickaxe: #4, 3(10%)
minecraft.crafted.spire_armor_trim_smithing_template: #3, 4(8%)
minecraft.dropped.beetroot_seeds: #5, 2214(10%)
minecraft.picked_up.cod: #5, 1506(7%)
minecraft.crafted.mossy_cobblestone_stairs: #4, 16(9%)
minecraft.used.iron_chestplate: #4, 3(9%)
minecraft.mined.jungle_wall_hanging_sign: #3, 1(4%)
minecraft.crafted.mossy_stone_brick_stairs: #3, 32(3%)
minecraft.dropped.iron_block: #4, 431(5%)
minecraft.mined.deepslate_bricks: #4, 471(6%)
minecraft.used.tube_coral: #3, 3(3%)
minecraft.used.white_tulip: #4, 13(9%)
minecraft.picked_up.birch_slab: #4, 91(6%)
minecraft.dropped.cyan_concrete_powder: #3, 3(2%)
minecraft.dropped.black_banner: #3, 3(2%)
minecraft.dropped.stripped_warped_stem: #3, 3(2%)
minecraft.dropped.cyan_concrete: #3, 6(2%)
minecraft.used.tube_coral_block: #4, 100(9%)
minecraft.crafted.red_candle: #3, 18(1%)
minecraft.mined.dragon_head: #4, 2(10%)
minecraft.used.exposed_cut_copper: #3, 1(1%)
minecraft.crafted.purpur_block: #3, 128(1%)
minecraft.mined.spruce_wood: #4, 67(6%)
minecraft.mined.mossy_stone_bricks: #4, 239(5%)
