stat, rank, value, (percentage) 
minecraft.crafted.warped_fence_gate: #1, 126(22%)
minecraft.dropped.spruce_wood: #1, 64(42%)
minecraft.picked_up.cut_copper_slab: #1, 190(28%)
minecraft.used.dark_prismarine_stairs: #1, 249(25%)
minecraft.picked_up.deepslate_lapis_ore: #2, 640(17%)
minecraft.mined.stripped_warped_hyphae: #1, 144(30%)
minecraft.mined.spruce_planks: #1, 1632(13%)
minecraft.dropped.scrape_pottery_sherd: #1, 13(41%)
minecraft.custom.play_noteblock: #2, 827(15%)
minecraft.dropped.glow_lichen: #2, 1634(33%)
minecraft.dropped.green_terracotta: #1, 20(65%)
minecraft.dropped.orange_concrete_powder: #1, 36(64%)
minecraft.crafted.prismarine_brick_slab: #1, 174(40%)
minecraft.picked_up.stripped_spruce_wood: #2, 644(19%)
minecraft.mined.oak_planks: #1, 991(13%)
minecraft.picked_up.nether_wart_block: #2, 4565(20%)
minecraft.mined.copper_grate: #1, 101(20%)
minecraft.crafted.bow: #2, 369(17%)
minecraft.dropped.clock: #1, 13(32%)
minecraft.picked_up.gray_candle: #1, 51(62%)
minecraft.picked_up.mossy_stone_brick_slab: #2, 81(27%)
minecraft.mined.warped_planks: #1, 219(15%)
minecraft.used.salmon: #1, 22(20%)
minecraft.picked_up.brown_mushroom: #2, 1700(16%)
minecraft.dropped.ink_sac: #2, 155(17%)
minecraft.mined.melon_stem: #2, 62(20%)
minecraft.used.nether_wart_block: #1, 760(24%)
minecraft.picked_up.spruce_slab: #1, 1791(11%)
minecraft.dropped.chain: #2, 284(21%)
minecraft.picked_up.lapis_ore: #2, 467(16%)
minecraft.used.lapis_ore: #2, 234(20%)
minecraft.mined.dark_prismarine_stairs: #1, 44(28%)
minecraft.dropped.cut_copper_slab: #1, 104(95%)
minecraft.mined.warped_hyphae: #1, 40(35%)
minecraft.dropped.cherry_stairs: #1, 32(94%)
minecraft.dropped.dispenser: #1, 78(19%)
minecraft.dropped.cyan_terracotta: #1, 214(21%)
minecraft.mined.dripstone_block: #2, 6961(15%)
minecraft.picked_up.vine: #2, 1032(16%)
minecraft.dropped.tuff_slab: #1, 83(24%)
minecraft.crafted.clock: #2, 31(20%)
minecraft.mined.mossy_stone_brick_stairs: #1, 16(19%)
minecraft.picked_up.prismarine_shard: #2, 21750(28%)
minecraft.dropped.guster_pottery_sherd: #1, 12(38%)
minecraft.picked_up.compass: #1, 183(12%)
minecraft.crafted.dark_prismarine_stairs: #1, 80(32%)
minecraft.picked_up.light_gray_wool: #2, 936(15%)
minecraft.picked_up.gold_ore: #2, 286(16%)
minecraft.dropped.cobbled_deepslate_slab: #2, 279(24%)
minecraft.picked_up.acacia_wood: #2, 264(18%)
minecraft.dropped.acacia_log: #2, 96(18%)
minecraft.mined.chiseled_polished_blackstone: #1, 15(22%)
minecraft.picked_up.dripstone_block: #2, 5844(14%)
minecraft.dropped.moss_carpet: #2, 3421(13%)
minecraft.picked_up.paper: #2, 1237(12%)
minecraft.mined.spruce_sapling: #2, 86(15%)
minecraft.dropped.jungle_wood: #1, 64(47%)
minecraft.picked_up.blackstone_stairs: #2, 51(22%)
minecraft.picked_up.deepslate_copper_ore: #2, 553(16%)
minecraft.used.cooked_salmon: #2, 614(14%)
minecraft.crafted.stone: #2, 1886(14%)
minecraft.dropped.powered_rail: #2, 95(21%)
minecraft.dropped.torch: #2, 1178(13%)
minecraft.dropped.blackstone_stairs: #1, 27(47%)
minecraft.used.glow_item_frame: #2, 559(15%)
minecraft.picked_up.mangrove_boat: #1, 11(29%)
minecraft.mined.end_stone_brick_slab: #1, 33(55%)
minecraft.picked_up.black_dye: #2, 232(12%)
minecraft.dropped.deepslate_diamond_ore: #2, 107(19%)
minecraft.picked_up.granite_wall: #2, 92(25%)
minecraft.picked_up.stone_brick_slab: #2, 1477(14%)
minecraft.picked_up.redstone_ore: #2, 330(15%)
minecraft.crafted.glow_item_frame: #2, 577(17%)
minecraft.dropped.brown_carpet: #1, 49(27%)
minecraft.dropped.warped_fence_gate: #1, 25(53%)
minecraft.custom.pig_one_cm: #2, 405338676(19%)
minecraft.picked_up.prismarine: #2, 2406(17%)
minecraft.picked_up.mangrove_planks: #2, 586(14%)
minecraft.picked_up.oak_planks: #2, 1801(11%)
minecraft.mined.mangrove_fence_gate: #1, 10(29%)
minecraft.dropped.waxed_oxidized_copper: #2, 126(19%)
minecraft.dropped.redstone_lamp: #1, 30(40%)
minecraft.dropped.written_book: #2, 35(13%)
minecraft.dropped.oak_button: #2, 45(17%)
minecraft.dropped.green_stained_glass_pane: #1, 42(28%)
minecraft.dropped.short_dry_grass: #1, 128(99%)
minecraft.dropped.potato: #3, 3489(15%)
minecraft.dropped.copper_grate: #1, 75(99%)
minecraft.used.wheat: #2, 92(17%)
minecraft.dropped.warped_hyphae: #1, 102(98%)
minecraft.picked_up.big_dripleaf: #2, 578(15%)
minecraft.picked_up.mangrove_fence_gate: #1, 9(24%)
minecraft.picked_up.green_concrete_powder: #2, 191(18%)
minecraft.dropped.terracotta: #2, 253(13%)
minecraft.used.deepslate_iron_ore: #2, 778(14%)
minecraft.picked_up.netherite_hoe: #2, 35(24%)
minecraft.mined.prismarine: #2, 1820(17%)
minecraft.dropped.calcite: #2, 241(16%)
minecraft.dropped.granite_wall: #1, 48(31%)
minecraft.killed.squid: #3, 1036(15%)
minecraft.dropped.spruce_slab: #2, 231(14%)
minecraft.used.brown_mushroom_block: #2, 1317(16%)
minecraft.picked_up.warped_button: #2, 32(31%)
minecraft.crafted.stone_hoe: #2, 34(16%)
minecraft.dropped.furnace: #2, 52(20%)
minecraft.dropped.bowl: #2, 48(18%)
minecraft.used.spruce_hanging_sign: #2, 69(15%)
minecraft.picked_up.oak_slab: #2, 476(11%)
minecraft.crafted.sea_lantern: #2, 3546(46%)
minecraft.picked_up.acacia_fence_gate: #2, 33(23%)
minecraft.mined.cyan_concrete_powder: #2, 44(21%)
minecraft.mined.spruce_slab: #2, 1121(10%)
minecraft.crafted.dark_prismarine: #2, 2613(25%)
minecraft.used.dark_prismarine_slab: #2, 496(23%)
minecraft.dropped.dead_horn_coral_block: #1, 3(43%)
minecraft.dropped.spruce_chest_boat: #1, 6(86%)
minecraft.dropped.music_disc_creator_music_box: #1, 3(43%)
minecraft.dropped.cobblestone_stairs: #2, 53(27%)
minecraft.used.deepslate_lapis_ore: #2, 260(14%)
minecraft.picked_up.chiseled_polished_blackstone: #2, 33(20%)
minecraft.dropped.gold_block: #2, 191(27%)
minecraft.dropped.light_blue_wool: #2, 271(26%)
minecraft.crafted.carrot_on_a_stick: #1, 3(27%)
minecraft.dropped.iron_shovel: #2, 24(12%)
minecraft.broken.iron_helmet: #1, 2(40%)
minecraft.dropped.pufferfish_bucket: #1, 4(40%)
minecraft.dropped.stripped_acacia_wood: #1, 4(80%)
minecraft.dropped.prismarine_shard: #2, 22868(29%)
