stat, rank, value, (percentage) 
minecraft.crafted.beacon: #4, 4(1%)
minecraft.dropped.gilded_blackstone: #4, 5(4%)
minecraft.crafted.waxed_cut_copper_slab: #4, 6(3%)
minecraft.mined.lodestone: #4, 6(3%)
minecraft.dropped.black_glazed_terracotta: #4, 3(3%)
minecraft.used.pale_oak_log: #5, 609(5%)
minecraft.killed.polar_bear: #4, 1(2%)
minecraft.killed.allay: #4, 1(2%)
minecraft.used.spruce_chest_boat: #4, 2(2%)
minecraft.dropped.polished_deepslate_slab: #5, 64(10%)
minecraft.dropped.polished_deepslate_stairs: #4, 5(1%)
minecraft.used.tuff_wall: #5, 273(7%)
minecraft.mined.chiseled_red_sandstone: #4, 3(2%)
minecraft.used.peony: #5, 14(6%)
minecraft.dropped.warped_button: #4, 1(2%)
minecraft.dropped.fermented_spider_eye: #4, 1(2%)
minecraft.mined.bamboo_button: #4, 8(0%)
minecraft.killed.axolotl: #4, 1(1%)
minecraft.used.birch_button: #5, 15(5%)
minecraft.used.chiseled_red_sandstone: #4, 5(1%)
minecraft.picked_up.glistering_melon_slice: #5, 50(6%)
minecraft.used.sculk_catalyst: #4, 5(1%)
minecraft.used.soul_sand: #6, 922(8%)
minecraft.used.small_amethyst_bud: #4, 7(0%)
minecraft.picked_up.spyglass: #5, 8(4%)
minecraft.picked_up.coal_ore: #5, 3389(4%)
minecraft.picked_up.blue_wool: #5, 278(5%)
minecraft.dropped.cooked_mutton: #5, 41(7%)
minecraft.custom.total_world_time: #7, 120452712(5%)
minecraft.custom.play_time: #7, 120452712(5%)
minecraft.custom.open_chest: #6, 43802(5%)
minecraft.mined.weeping_vines_plant: #5, 44(5%)
minecraft.mined.detector_rail: #5, 12(5%)
minecraft.used.bamboo_pressure_plate: #5, 10(10%)
minecraft.mined.waxed_oxidized_copper_grate: #5, 86(5%)
minecraft.dropped.tuff_slab: #5, 29(9%)
minecraft.picked_up.oxidized_copper_door: #5, 6(6%)
minecraft.picked_up.acacia_trapdoor: #5, 125(4%)
minecraft.picked_up.acacia_fence_gate: #5, 11(8%)
minecraft.killed_by.piglin: #5, 3(9%)
minecraft.picked_up.white_shulker_box: #6, 525(7%)
minecraft.dropped.snow: #5, 148(5%)
minecraft.picked_up.waxed_oxidized_copper_grate: #5, 83(5%)
minecraft.crafted.brick_stairs: #5, 12(6%)
minecraft.picked_up.tnt: #5, 458(4%)
minecraft.picked_up.exposed_copper_grate: #5, 11(6%)
minecraft.used.emerald_block: #5, 339(4%)
minecraft.picked_up.powder_snow_bucket: #5, 25(8%)
minecraft.mined.honey_block: #5, 256(4%)
minecraft.used.birch_log: #6, 1015(8%)
minecraft.used.gray_stained_glass: #5, 651(5%)
minecraft.picked_up.stone_button: #6, 218(8%)
minecraft.used.warped_button: #5, 13(6%)
minecraft.picked_up.stone_brick_stairs: #6, 385(8%)
minecraft.mined.tripwire: #5, 59(3%)
minecraft.dropped.spyglass: #5, 4(4%)
minecraft.killed.warden: #5, 9(12%)
minecraft.mined.weeping_vines: #5, 38(5%)
minecraft.used.spruce_slab: #6, 3791(7%)
minecraft.mined.lime_stained_glass: #5, 36(6%)
minecraft.used.tuff_brick_stairs: #5, 451(4%)
minecraft.dropped.light_gray_stained_glass: #5, 17(5%)
minecraft.crafted.tuff_wall: #5, 84(5%)
minecraft.mined.brick_wall: #5, 10(8%)
minecraft.dropped.oak_boat: #5, 8(4%)
minecraft.dropped.glass_pane: #6, 130(10%)
minecraft.picked_up.polished_blackstone_pressure_plate: #5, 14(8%)
minecraft.crafted.polished_andesite_stairs: #5, 18(6%)
minecraft.killed.piglin: #6, 83(8%)
minecraft.picked_up.basalt: #6, 2101(7%)
minecraft.crafted.heavy_weighted_pressure_plate: #5, 16(3%)
minecraft.mined.waxed_oxidized_copper_trapdoor: #5, 37(7%)
minecraft.crafted.furnace: #6, 507(7%)
minecraft.mined.melon: #6, 1985(6%)
minecraft.picked_up.acacia_stairs: #5, 29(5%)
minecraft.picked_up.waxed_oxidized_copper_trapdoor: #5, 36(6%)
minecraft.crafted.mud_brick_slab: #5, 138(4%)
minecraft.used.birch_door: #5, 6(6%)
minecraft.used.mossy_cobblestone_slab: #6, 141(9%)
minecraft.picked_up.polished_blackstone_bricks: #5, 274(4%)
minecraft.crafted.blackstone_wall: #5, 24(6%)
minecraft.used.acacia_boat: #5, 6(11%)
minecraft.custom.play_noteblock: #6, 326(6%)
minecraft.used.crimson_planks: #5, 180(4%)
minecraft.picked_up.acacia_sapling: #5, 584(3%)
minecraft.used.blackstone_wall: #5, 21(6%)
minecraft.mined.stone_button: #6, 97(7%)
minecraft.picked_up.yellow_bed: #5, 33(3%)
minecraft.dropped.birch_slab: #5, 23(8%)
minecraft.used.yellow_bed: #5, 34(3%)
minecraft.used.light_blue_stained_glass: #5, 907(3%)
minecraft.picked_up.bamboo_block: #5, 1834(3%)
minecraft.dropped.wooden_shovel: #5, 6(4%)
minecraft.dropped.diamond_leggings: #6, 9(6%)
minecraft.picked_up.lime_bed: #5, 13(4%)
minecraft.mined.yellow_bed: #5, 32(3%)
minecraft.mined.potted_fern: #5, 1(12%)
minecraft.dropped.cobbled_deepslate_stairs: #5, 20(6%)
minecraft.crafted.acacia_boat: #5, 3(10%)
minecraft.used.glow_ink_sac: #6, 313(6%)
minecraft.broken.golden_helmet: #5, 2(8%)
minecraft.dropped.ice: #5, 65(4%)
minecraft.mined.birch_door: #5, 2(6%)
minecraft.picked_up.acacia_boat: #5, 4(9%)
minecraft.mined.polished_blackstone_bricks: #5, 235(3%)
minecraft.mined.amethyst_block: #6, 954(7%)
minecraft.dropped.oak_slab: #6, 68(8%)
minecraft.picked_up.minecart: #6, 238(7%)
minecraft.dropped.dark_oak_fence: #5, 16(4%)
minecraft.dropped.gray_carpet: #5, 21(4%)
minecraft.dropped.white_stained_glass: #5, 19(4%)
minecraft.crafted.spruce_slab: #6, 4074(6%)
minecraft.picked_up.honeycomb: #5, 1140(3%)
minecraft.killed_by.wither: #5, 1(9%)
minecraft.used.dispenser: #6, 316(6%)
minecraft.picked_up.warped_planks: #6, 161(8%)
minecraft.picked_up.resin_block: #5, 165(3%)
minecraft.crafted.polished_diorite_slab: #5, 12(7%)
minecraft.dropped.stone_brick_wall: #5, 12(7%)
minecraft.killed.pig: #5, 26(2%)
minecraft.picked_up.oak_log: #6, 7257(6%)
minecraft.crafted.gold_ingot: #6, 11622(6%)
minecraft.crafted.mossy_stone_bricks: #5, 579(3%)
minecraft.picked_up.acacia_slab: #5, 32(3%)
minecraft.dropped.black_bed: #5, 1(8%)
minecraft.mined.waxed_oxidized_copper_door: #5, 3(7%)
minecraft.picked_up.diamond_pickaxe: #6, 90(5%)
minecraft.used.gray_banner: #5, 9(4%)
minecraft.crafted.birch_pressure_plate: #5, 3(5%)
minecraft.picked_up.exposed_copper_bulb: #5, 2(5%)
minecraft.crafted.chest: #6, 4074(6%)
minecraft.dropped.glow_item_frame: #5, 4(3%)
minecraft.picked_up.waxed_exposed_cut_copper_stairs: #5, 11(5%)
minecraft.mined.waxed_exposed_cut_copper_stairs: #5, 11(5%)
minecraft.picked_up.disc_fragment_5: #5, 8(5%)
minecraft.picked_up.sculk: #5, 2783(2%)
minecraft.mined.potted_flowering_azalea_bush: #5, 1(7%)
minecraft.dropped.acacia_fence: #5, 8(6%)
minecraft.used.crimson_slab: #5, 115(4%)
minecraft.dropped.waxed_exposed_copper_bulb: #5, 1(8%)
minecraft.dropped.sea_pickle: #5, 45(3%)
minecraft.used.red_concrete: #5, 267(2%)
minecraft.picked_up.melon_slice: #6, 3269(5%)
minecraft.crafted.spruce_trapdoor: #6, 2894(6%)
minecraft.used.acacia_trapdoor: #6, 593(7%)
minecraft.picked_up.stick: #6, 6802(4%)
minecraft.mined.cut_copper: #5, 17(3%)
minecraft.mined.glowstone: #6, 322(6%)
minecraft.crafted.music_disc_5: #5, 1(6%)
minecraft.used.axolotl_bucket: #5, 7(5%)
minecraft.used.redstone_ore: #5, 29(2%)
minecraft.crafted.waxed_copper_trapdoor: #5, 66(3%)
minecraft.crafted.acacia_stairs: #6, 192(7%)
minecraft.mined.beehive: #5, 75(2%)
minecraft.crafted.acacia_trapdoor: #6, 512(6%)
minecraft.picked_up.barrel: #6, 297(5%)
minecraft.used.tripwire_hook: #6, 39(6%)
minecraft.picked_up.cobbled_deepslate_stairs: #6, 124(6%)
minecraft.dropped.copper_ore: #6, 152(6%)
minecraft.dropped.birch_stairs: #5, 1(5%)
minecraft.crafted.book: #6, 443(5%)
minecraft.dropped.chiseled_deepslate: #5, 2(4%)
minecraft.picked_up.powered_rail: #6, 668(5%)
minecraft.mined.acacia_fence: #6, 28(7%)
minecraft.used.oak_button: #6, 40(6%)
minecraft.killed.zombified_piglin: #5, 28557(1%)
minecraft.dropped.crimson_stem: #5, 8(4%)
minecraft.mined.attached_pumpkin_stem: #6, 19(6%)
minecraft.dropped.mushroom_stem: #5, 14(4%)
minecraft.used.baked_potato: #6, 377(5%)
minecraft.used.waxed_oxidized_chiseled_copper: #5, 32(3%)
minecraft.picked_up.mutton: #5, 162(1%)
minecraft.mined.magenta_concrete: #5, 88(2%)
minecraft.dropped.blackstone_stairs: #5, 3(5%)
minecraft.dropped.tuff_brick_wall: #5, 8(4%)
minecraft.picked_up.stone_shovel: #5, 3(1%)
minecraft.dropped.scrape_pottery_sherd: #5, 1(3%)
minecraft.crafted.polished_andesite: #6, 1040(6%)
minecraft.dropped.honey_block: #6, 136(7%)
minecraft.crafted.sandstone_slab: #5, 30(3%)
minecraft.used.diorite_wall: #5, 198(1%)
minecraft.mined.polished_deepslate_wall: #6, 54(6%)
minecraft.dropped.pink_shulker_box: #5, 1(3%)
minecraft.picked_up.blue_banner: #5, 1(4%)
minecraft.dropped.pink_tulip: #5, 7(2%)
minecraft.dropped.orange_shulker_box: #5, 1(3%)
minecraft.dropped.polished_blackstone_slab: #5, 7(3%)
minecraft.picked_up.oak_chest_boat: #5, 1(3%)
minecraft.mined.tuff_bricks: #6, 1594(5%)
minecraft.crafted.waxed_weathered_copper: #5, 32(2%)
minecraft.used.wither_skeleton_skull: #5, 16(1%)
minecraft.dropped.bamboo_block: #5, 311(1%)
minecraft.used.magenta_glazed_terracotta: #5, 4(3%)
minecraft.dropped.birch_boat: #5, 1(3%)
minecraft.crafted.spruce_chest_boat: #5, 1(4%)
minecraft.picked_up.cookie: #6, 232(6%)
minecraft.dropped.brown_mushroom_block: #5, 128(2%)
minecraft.picked_up.brown_wool: #6, 271(5%)
minecraft.used.exposed_copper_bulb: #5, 1(3%)
minecraft.mined.waxed_cut_copper: #5, 22(1%)
minecraft.dropped.beehive: #5, 9(3%)
minecraft.used.prismarine_wall: #5, 115(2%)
minecraft.dropped.andesite_wall: #5, 5(2%)
minecraft.mined.yellow_wall_banner: #5, 1(2%)
minecraft.dropped.egg: #6, 291(5%)
minecraft.picked_up.deepslate_brick_wall: #6, 83(7%)
minecraft.picked_up.nether_star: #5, 4(1%)
minecraft.dropped.peony: #6, 22(6%)
minecraft.mined.bamboo_trapdoor: #6, 108(5%)
minecraft.used.chiseled_deepslate: #5, 232(1%)
minecraft.picked_up.red_nether_brick_wall: #5, 3(2%)
minecraft.picked_up.tuff_brick_stairs: #6, 126(5%)
minecraft.picked_up.bamboo_chest_raft: #5, 1(2%)
minecraft.mined.crimson_stairs: #5, 18(2%)
minecraft.mined.redstone_block: #6, 227(5%)
minecraft.picked_up.lodestone: #5, 6(2%)
minecraft.dropped.light_blue_terracotta: #5, 3(2%)
minecraft.dropped.copper_block: #5, 8(1%)
minecraft.killed.wither: #5, 3(1%)
minecraft.mined.red_sandstone_wall: #5, 9(2%)
minecraft.crafted.redstone_block: #6, 1551(5%)
minecraft.dropped.tnt_minecart: #5, 1(2%)
minecraft.picked_up.dark_oak_trapdoor: #6, 155(4%)
minecraft.picked_up.polished_tuff_stairs: #6, 127(5%)
minecraft.picked_up.spruce_chest_boat: #5, 2(2%)
minecraft.crafted.snow: #5, 378(1%)
minecraft.used.smoker: #6, 24(6%)
minecraft.crafted.stone_button: #6, 400(5%)
minecraft.picked_up.waxed_chiseled_copper: #6, 40(6%)
minecraft.dropped.polished_deepslate_wall: #5, 4(1%)
minecraft.crafted.polished_deepslate_stairs: #6, 74(6%)
minecraft.picked_up.bamboo_button: #5, 21(1%)
minecraft.dropped.bamboo_stairs: #5, 2(1%)
minecraft.dropped.redstone: #6, 921(5%)
minecraft.used.red_sandstone_stairs: #5, 11(1%)
minecraft.picked_up.brick_stairs: #6, 29(7%)
minecraft.dropped.deepslate_brick_stairs: #5, 1(1%)
minecraft.dropped.blue_ice: #5, 10(1%)
minecraft.crafted.sandstone_stairs: #5, 4(1%)
minecraft.used.tuff_slab: #6, 291(5%)
minecraft.used.lodestone: #5, 6(1%)
minecraft.used.stone_button: #6, 342(4%)
minecraft.picked_up.bamboo_raft: #6, 18(7%)
minecraft.used.oak_pressure_plate: #6, 10(7%)
minecraft.picked_up.chiseled_red_sandstone: #5, 3(1%)
minecraft.dropped.stripped_jungle_wood: #5, 1(1%)
minecraft.mined.honeycomb_block: #5, 7(1%)
minecraft.used.lime_concrete: #6, 329(6%)
minecraft.picked_up.writable_book: #6, 26(4%)
minecraft.picked_up.copper_ore: #6, 2513(4%)
minecraft.picked_up.polished_blackstone_brick_wall: #5, 1(0%)
minecraft.used.exposed_copper: #5, 45(0%)
minecraft.crafted.magma_block: #5, 10(0%)
minecraft.dropped.red_stained_glass: #5, 1(0%)
minecraft.crafted.lime_stained_glass: #6, 1024(7%)
minecraft.dropped.honeycomb_block: #5, 1(0%)
minecraft.mined.heavy_weighted_pressure_plate: #6, 5(8%)
minecraft.used.bamboo_trapdoor: #6, 598(5%)
minecraft.dropped.glass_bottle: #6, 865(4%)
minecraft.dropped.wooden_pickaxe: #6, 2(6%)
minecraft.used.anvil: #6, 172(4%)
minecraft.dropped.golden_boots: #6, 20(4%)
minecraft.used.wooden_sword: #6, 111(5%)
minecraft.picked_up.porkchop: #6, 168(3%)
minecraft.mined.attached_melon_stem: #6, 8(4%)
minecraft.dropped.diamond_boots: #7, 15(7%)
minecraft.picked_up.light_gray_stained_glass_pane: #6, 54(5%)
minecraft.mined.weathered_copper: #6, 178(5%)
minecraft.used.oak_door: #6, 10(4%)
minecraft.mined.exposed_copper_grate: #6, 11(6%)
minecraft.dropped.ominous_bottle: #6, 3(6%)
minecraft.crafted.polished_blackstone_bricks: #6, 176(7%)
minecraft.mined.red_tulip: #6, 80(4%)
minecraft.mined.orange_wool: #6, 94(4%)
minecraft.picked_up.cyan_stained_glass_pane: #6, 23(7%)
minecraft.picked_up.brick_wall: #6, 12(7%)
minecraft.mined.cherry_trapdoor: #6, 18(4%)
minecraft.crafted.tuff_slab: #6, 145(4%)
minecraft.mined.stripped_warped_stem: #6, 135(4%)
minecraft.mined.spruce_sign: #6, 5(4%)
minecraft.crafted.polished_deepslate_wall: #6, 40(5%)
minecraft.dropped.moss_block: #6, 1017(3%)
minecraft.dropped.rail: #6, 98(3%)
minecraft.picked_up.lime_wool: #6, 260(4%)
minecraft.used.cyan_stained_glass_pane: #6, 163(5%)
minecraft.dropped.black_stained_glass: #6, 22(5%)
minecraft.used.spruce_stairs: #7, 1162(7%)
minecraft.picked_up.chainmail_boots: #6, 6(4%)
minecraft.picked_up.pumpkin_pie: #6, 33(5%)
minecraft.crafted.light_gray_stained_glass: #6, 1256(4%)
minecraft.mined.waxed_weathered_cut_copper_stairs: #6, 9(6%)
minecraft.crafted.warped_button: #6, 11(4%)
minecraft.crafted.mud_brick_wall: #6, 113(4%)
minecraft.picked_up.pale_moss_carpet: #6, 349(3%)
minecraft.used.oxeye_daisy: #6, 8(4%)
minecraft.dropped.leaf_litter: #6, 14(6%)
minecraft.used.copper_grate: #6, 176(4%)
minecraft.crafted.granite_stairs: #6, 20(5%)
minecraft.dropped.sculk_vein: #6, 15(4%)
minecraft.dropped.melon_seeds: #6, 27(4%)
minecraft.used.packed_ice: #6, 1220(3%)
minecraft.used.white_shulker_box: #7, 538(6%)
minecraft.custom.sneak_time: #8, 5837860(5%)
minecraft.used.bamboo_raft: #6, 11(4%)
minecraft.dropped.trial_key: #6, 11(5%)
minecraft.used.cyan_dye: #6, 13(4%)
minecraft.used.polished_blackstone_button: #6, 41(3%)
minecraft.crafted.polished_tuff_wall: #6, 74(3%)
minecraft.dropped.stripped_spruce_log: #6, 10(3%)
minecraft.dropped.quartz: #6, 98(3%)
minecraft.dropped.stone_brick_slab: #6, 64(5%)
minecraft.dropped.acacia_planks: #6, 28(4%)
minecraft.crafted.polished_tuff_slab: #7, 232(6%)
minecraft.dropped.tube_coral_fan: #6, 1(8%)
minecraft.picked_up.birch_log: #7, 3608(6%)
minecraft.dropped.dark_oak_leaves: #6, 26(4%)
minecraft.dropped.golden_sword: #6, 50(3%)
minecraft.mined.spruce_pressure_plate: #6, 4(4%)
minecraft.used.light_gray_dye: #6, 4(6%)
minecraft.used.nether_brick_fence: #6, 29(4%)
minecraft.used.oak_chest_boat: #6, 1(9%)
minecraft.mined.birch_log: #7, 3076(6%)
minecraft.used.birch_pressure_plate: #6, 4(5%)
minecraft.dropped.oak_pressure_plate: #6, 2(5%)
minecraft.mined.tinted_glass: #6, 77(3%)
minecraft.mined.waxed_cut_copper_stairs: #6, 9(5%)
minecraft.killed.sheep: #6, 87(2%)
minecraft.mined.cobbled_deepslate_wall: #6, 15(4%)
minecraft.mined.piston: #7, 263(6%)
minecraft.used.music_disc_cat: #6, 3(3%)
minecraft.dropped.nether_wart: #6, 18(4%)
minecraft.picked_up.music_disc_5: #6, 1(6%)
minecraft.mined.crimson_trapdoor: #6, 12(4%)
minecraft.picked_up.waxed_cut_copper_stairs: #6, 9(5%)
minecraft.mined.red_sandstone: #6, 24(3%)
minecraft.crafted.hay_block: #6, 472(2%)
minecraft.picked_up.bricks: #7, 398(6%)
minecraft.picked_up.purple_wool: #6, 198(2%)
minecraft.crafted.warped_planks: #7, 2216(6%)
minecraft.mined.pumpkin: #7, 2456(6%)
minecraft.mined.soul_lantern: #6, 11(3%)
minecraft.picked_up.ender_chest: #7, 1222(5%)
minecraft.mined.spruce_stairs: #7, 270(6%)
minecraft.picked_up.tinted_glass: #6, 99(2%)
minecraft.used.waxed_copper_trapdoor: #6, 70(3%)
minecraft.crafted.birch_door: #6, 6(3%)
minecraft.crafted.light_gray_carpet: #6, 288(2%)
minecraft.mined.creaking_heart: #6, 16(3%)
minecraft.mined.spruce_log: #7, 11481(6%)
minecraft.used.lantern: #7, 409(6%)
minecraft.picked_up.glass: #7, 3899(6%)
minecraft.used.tnt_minecart: #6, 14(3%)
minecraft.picked_up.music_disc_relic: #6, 2(5%)
minecraft.used.vine: #7, 71(7%)
minecraft.dropped.golden_axe: #6, 1(5%)
minecraft.dropped.magma_cream: #6, 9(3%)
minecraft.picked_up.polished_andesite_slab: #6, 46(2%)
minecraft.crafted.torch: #7, 7220(6%)
minecraft.used.granite: #7, 1566(6%)
minecraft.crafted.light_blue_stained_glass: #6, 840(2%)
minecraft.killed.zombie: #6, 2248(2%)
minecraft.dropped.end_stone_bricks: #6, 18(3%)
minecraft.used.glowstone: #7, 501(7%)
minecraft.custom.play_record: #7, 62(6%)
minecraft.crafted.gray_bed: #6, 4(3%)
minecraft.crafted.grindstone: #7, 189(6%)
minecraft.mined.mangrove_button: #6, 1(5%)
minecraft.dropped.yellow_wool: #6, 69(2%)
minecraft.picked_up.amethyst_block: #7, 928(6%)
minecraft.picked_up.weathered_copper_grate: #6, 3(3%)
minecraft.mined.weathered_copper_grate: #6, 3(3%)
minecraft.used.waxed_oxidized_copper_grate: #6, 61(2%)
minecraft.mined.snow: #6, 10091(2%)
minecraft.picked_up.weathered_cut_copper_slab: #6, 5(3%)
minecraft.used.rail: #7, 3152(5%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #6, 113(2%)
minecraft.used.grindstone: #7, 133(6%)
minecraft.mined.skeleton_skull: #6, 2(5%)
minecraft.used.gravel: #6, 1581(1%)
minecraft.mined.cracked_polished_blackstone_bricks: #6, 111(2%)
minecraft.used.cut_copper: #6, 42(3%)
minecraft.mined.light_blue_concrete_powder: #6, 10(2%)
minecraft.picked_up.ward_armor_trim_smithing_template: #6, 1(4%)
minecraft.used.red_concrete_powder: #6, 257(2%)
minecraft.picked_up.glass_pane: #7, 162(6%)
minecraft.used.chest: #7, 1950(5%)
minecraft.mined.dispenser: #7, 97(5%)
minecraft.used.brick_slab: #6, 56(2%)
minecraft.picked_up.magenta_concrete: #6, 88(2%)
minecraft.used.deepslate_copper_ore: #6, 45(2%)
minecraft.picked_up.beacon: #7, 27(5%)
minecraft.mined.copper_ore: #7, 6270(5%)
minecraft.mined.weathered_cut_copper_slab: #6, 4(2%)
minecraft.picked_up.bow: #7, 237(5%)
minecraft.used.tube_coral_fan: #6, 5(3%)
minecraft.dropped.clay: #7, 72(6%)
minecraft.dropped.iron_horse_armor: #6, 1(3%)
minecraft.used.stone_slab: #7, 3755(5%)
minecraft.picked_up.warped_button: #6, 3(3%)
minecraft.used.waxed_copper_grate: #6, 75(2%)
minecraft.crafted.waxed_weathered_cut_copper_stairs: #6, 11(3%)
minecraft.dropped.white_shulker_box: #6, 4(2%)
minecraft.picked_up.sculk_catalyst: #6, 13(2%)
minecraft.used.dark_oak_log: #7, 1323(5%)
minecraft.dropped.gray_shulker_box: #6, 1(2%)
minecraft.used.birch_boat: #6, 4(2%)
minecraft.crafted.red_glazed_terracotta: #6, 8(3%)
minecraft.mined.red_mushroom_block: #7, 490(8%)
minecraft.used.lapis_block: #6, 69(1%)
minecraft.mined.sponge: #6, 163(1%)
minecraft.dropped.deepslate_lapis_ore: #6, 3(2%)
minecraft.picked_up.raw_copper: #7, 26130(5%)
minecraft.crafted.crimson_button: #6, 1(3%)
minecraft.mined.anvil: #7, 45(5%)
minecraft.dropped.cobblestone_stairs: #6, 4(2%)
minecraft.dropped.tipped_arrow: #7, 135(7%)
minecraft.picked_up.waxed_cut_copper: #6, 22(1%)
minecraft.dropped.iron_chestplate: #7, 8(5%)
minecraft.dropped.stripped_cherry_log: #6, 1(3%)
minecraft.used.smooth_red_sandstone: #6, 84(2%)
minecraft.used.string: #6, 213(1%)
minecraft.used.honey_block: #7, 838(5%)
minecraft.dropped.string: #7, 757(5%)
minecraft.dropped.gold_block: #6, 12(2%)
minecraft.dropped.light_blue_concrete_powder: #6, 1(2%)
minecraft.used.wet_sponge: #6, 160(1%)
minecraft.used.waxed_weathered_copper: #6, 36(1%)
minecraft.mined.waxed_chiseled_copper: #7, 42(6%)
minecraft.dropped.cyan_carpet: #6, 1(2%)
minecraft.used.magenta_concrete: #6, 49(1%)
minecraft.used.amethyst_cluster: #6, 24(1%)
minecraft.mined.oak_hanging_sign: #6, 1(2%)
minecraft.used.gray_bed: #6, 12(1%)
minecraft.mined.beacon: #7, 23(5%)
minecraft.picked_up.red_sandstone_wall: #6, 15(2%)
minecraft.mined.stripped_spruce_log: #7, 885(4%)
minecraft.mined.mud_brick_wall: #7, 56(6%)
minecraft.used.bamboo_chest_raft: #6, 1(2%)
minecraft.crafted.wooden_pickaxe: #7, 2(5%)
minecraft.dropped.resin_clump: #6, 64(1%)
minecraft.dropped.music_disc_cat: #6, 1(1%)
minecraft.crafted.lapis_lazuli: #7, 990(5%)
minecraft.mined.waxed_exposed_chiseled_copper: #6, 2(1%)
minecraft.mined.soul_fire: #7, 95(5%)
minecraft.custom.raid_win: #6, 64(1%)
minecraft.dropped.mud_brick_wall: #6, 2(2%)
minecraft.dropped.blackstone_slab: #6, 4(2%)
minecraft.picked_up.crimson_stairs: #6, 15(2%)
minecraft.dropped.detector_rail: #6, 2(1%)
minecraft.dropped.brick_slab: #6, 1(2%)
minecraft.picked_up.crimson_button: #6, 2(2%)
minecraft.custom.clean_shulker_box: #6, 1(2%)
minecraft.used.stripped_acacia_log: #6, 51(1%)
minecraft.picked_up.mossy_cobblestone_wall: #6, 4(1%)
minecraft.used.polished_basalt: #7, 535(6%)
minecraft.mined.sculk_catalyst: #6, 7(1%)
minecraft.used.cherry_boat: #6, 1(1%)
minecraft.picked_up.weathered_copper: #6, 213(0%)
minecraft.dropped.verdant_froglight: #6, 63(1%)
minecraft.dropped.flint_and_steel: #6, 6(0%)
minecraft.used.orange_concrete: #6, 95(1%)
minecraft.dropped.ender_chest: #7, 37(5%)
minecraft.crafted.acacia_planks: #7, 2732(4%)
minecraft.dropped.red_sandstone_wall: #6, 1(1%)
minecraft.mined.crimson_button: #6, 1(1%)
minecraft.crafted.nether_brick_wall: #6, 6(1%)
minecraft.used.mossy_cobblestone: #7, 451(5%)
minecraft.dropped.pumpkin_seeds: #7, 636(4%)
minecraft.used.sandstone_slab: #6, 25(1%)
minecraft.used.sculk: #6, 317(0%)
minecraft.crafted.lodestone: #6, 7(1%)
minecraft.used.red_sandstone_wall: #6, 58(1%)
minecraft.dropped.spruce_wood: #6, 1(1%)
minecraft.used.crimson_button: #6, 1(1%)
minecraft.picked_up.stripped_spruce_log: #7, 874(4%)
minecraft.picked_up.sculk_vein: #6, 127(0%)
minecraft.picked_up.small_amethyst_bud: #6, 10(0%)
minecraft.dropped.warped_sign: #6, 1(1%)
minecraft.dropped.hay_block: #6, 8(0%)
minecraft.dropped.raw_copper: #7, 618(5%)
minecraft.used.cobbled_deepslate_wall: #7, 262(6%)
minecraft.used.cracked_deepslate_tiles: #6, 7(0%)
minecraft.crafted.prismarine_wall: #6, 4(0%)
minecraft.crafted.waxed_oxidized_copper_bulb: #6, 4(0%)
minecraft.mined.brown_terracotta: #7, 1388(5%)
minecraft.picked_up.brown_dye: #7, 55(4%)
minecraft.picked_up.brown_terracotta: #7, 1367(5%)
minecraft.dropped.golden_helmet: #7, 10(4%)
minecraft.mined.bricks: #7, 210(4%)
minecraft.picked_up.cobblestone: #7, 89171(4%)
minecraft.crafted.sandstone: #7, 289(5%)
minecraft.picked_up.red_mushroom_block: #7, 361(7%)
minecraft.picked_up.stone: #7, 153490(3%)
minecraft.crafted.copper_trapdoor: #7, 728(5%)
minecraft.used.copper_trapdoor: #7, 605(4%)
minecraft.mined.mossy_cobblestone_slab: #7, 10(6%)
minecraft.dropped.raw_iron: #7, 86(5%)
minecraft.picked_up.bamboo_slab: #7, 310(5%)
minecraft.mined.lime_concrete: #7, 403(6%)
minecraft.dropped.golden_leggings: #7, 10(4%)
minecraft.custom.climb_one_cm: #8, 4214120(5%)
minecraft.crafted.raw_copper_block: #7, 1497(4%)
minecraft.crafted.bamboo_block: #7, 1475(4%)
minecraft.killed_by.skeleton: #7, 11(4%)
minecraft.picked_up.light_blue_wool: #7, 366(4%)
minecraft.dropped.basalt: #7, 61(5%)
minecraft.killed_by.creeper: #7, 5(4%)
minecraft.mined.crimson_nylium: #7, 203(4%)
minecraft.dropped.cobbled_deepslate_slab: #7, 67(6%)
minecraft.mined.acacia_trapdoor: #7, 84(4%)
minecraft.picked_up.soul_torch: #7, 34(7%)
minecraft.mined.coal_ore: #7, 6233(3%)
minecraft.crafted.cobbled_deepslate_slab: #7, 398(4%)
minecraft.mined.polished_deepslate: #7, 164(3%)
minecraft.used.iron_sword: #7, 754(3%)
minecraft.picked_up.white_wool: #7, 1192(3%)
minecraft.picked_up.poisonous_potato: #7, 18(4%)
minecraft.used.deepslate_brick_stairs: #7, 485(4%)
minecraft.picked_up.cocoa_beans: #7, 1223(3%)
minecraft.dropped.golden_chestplate: #7, 12(3%)
minecraft.crafted.purple_shulker_box: #7, 4(4%)
minecraft.custom.open_enderchest: #8, 5518(4%)
minecraft.killed.magma_cube: #7, 204(3%)
minecraft.crafted.oak_door: #7, 12(4%)
