stat, rank, value, (percentage) 
minecraft.used.red_nether_brick_slab: #1, 136(70%)
minecraft.dropped.comparator: #2, 196(27%)
minecraft.crafted.crafting_table: #2, 786(14%)
minecraft.used.observer: #2, 4533(15%)
minecraft.dropped.bamboo_trapdoor: #1, 154(28%)
minecraft.mined.carrots: #2, 1573(14%)
minecraft.dropped.stone_stairs: #1, 62(18%)
minecraft.crafted.crimson_sign: #1, 87(25%)
minecraft.dropped.stripped_acacia_log: #1, 17(45%)
minecraft.dropped.sponge: #1, 141(33%)
minecraft.crafted.cut_copper_slab: #1, 210(24%)
minecraft.mined.polished_blackstone_stairs: #2, 67(26%)
minecraft.dropped.granite: #2, 2828(14%)
minecraft.dropped.crossbow: #2, 257(16%)
minecraft.dropped.note_block: #2, 52(23%)
minecraft.used.polished_blackstone_stairs: #2, 426(24%)
minecraft.dropped.leather_chestplate: #2, 53(12%)
minecraft.picked_up.candle: #2, 269(20%)
minecraft.dropped.repeater: #2, 279(22%)
minecraft.killed_by.piglin_brute: #1, 5(25%)
minecraft.custom.inspect_dispenser: #2, 3767(12%)
minecraft.picked_up.crafter: #1, 180(10%)
minecraft.mined.clay: #2, 6440(14%)
minecraft.dropped.beetroot_soup: #1, 29(41%)
minecraft.used.redstone_lamp: #2, 350(14%)
minecraft.used.waxed_oxidized_copper: #2, 1520(16%)
minecraft.crafted.item_frame: #2, 1538(14%)
minecraft.crafted.creaking_heart: #1, 206(30%)
minecraft.used.mushroom_stem: #2, 1415(19%)
minecraft.mined.lightning_rod: #2, 254(15%)
minecraft.dropped.brick_stairs: #1, 22(40%)
minecraft.picked_up.waxed_exposed_copper_bulb: #1, 37(15%)
minecraft.picked_up.pale_moss_block: #3, 4574(22%)
minecraft.picked_up.resin_clump: #3, 8831(23%)
minecraft.crafted.iron_nugget: #2, 22711(13%)
minecraft.crafted.beetroot_soup: #1, 7(78%)
minecraft.dropped.bamboo_pressure_plate: #1, 47(46%)
minecraft.mined.cauldron: #2, 40(14%)
minecraft.used.deepslate_brick_slab: #3, 3625(21%)
minecraft.mined.observer: #2, 1182(13%)
minecraft.used.weathered_copper_trapdoor: #2, 144(22%)
minecraft.crafted.observer: #2, 3117(15%)
minecraft.used.piston: #2, 1979(13%)
minecraft.mined.waxed_exposed_copper_bulb: #1, 36(14%)
minecraft.mined.purple_concrete: #2, 835(25%)
minecraft.dropped.baked_potato: #2, 509(13%)
minecraft.used.kelp: #2, 2236(13%)
minecraft.picked_up.observer: #2, 1447(13%)
minecraft.mined.bamboo_planks: #2, 277(14%)
minecraft.picked_up.sculk_sensor: #3, 942(18%)
minecraft.dropped.player_head: #2, 1917(10%)
minecraft.mined.dropper: #2, 236(13%)
minecraft.dropped.bamboo_fence_gate: #1, 8(53%)
minecraft.mined.glass: #2, 2746(12%)
minecraft.dropped.jungle_leaves: #2, 153(21%)
minecraft.picked_up.lightning_rod: #2, 315(14%)
minecraft.used.fletching_table: #1, 28(26%)
minecraft.picked_up.note_block: #2, 312(13%)
minecraft.dropped.cooked_beef: #2, 422(11%)
minecraft.dropped.milk_bucket: #2, 32(25%)
minecraft.dropped.iron_hoe: #1, 5(19%)
minecraft.crafted.polished_blackstone_stairs: #2, 156(34%)
minecraft.used.yellow_dye: #2, 126(14%)
minecraft.killed_by.elder_guardian: #1, 3(50%)
minecraft.used.spruce_sign: #2, 748(11%)
minecraft.dropped.iron_sword: #2, 44(15%)
minecraft.picked_up.music_disc_pigstep: #1, 12(22%)
minecraft.dropped.dropper: #2, 103(23%)
minecraft.picked_up.mushroom_stem: #2, 1791(15%)
minecraft.mined.mushroom_stem: #2, 1420(13%)
minecraft.crafted.blast_furnace: #3, 459(16%)
minecraft.picked_up.red_sandstone_slab: #2, 277(29%)
minecraft.dropped.birch_sapling: #2, 104(15%)
minecraft.dropped.glowstone_dust: #2, 758(21%)
minecraft.used.exposed_chiseled_copper: #1, 5(62%)
minecraft.dropped.redstone_torch: #3, 183(19%)
minecraft.crafted.bamboo_slab: #2, 8382(14%)
minecraft.dropped.nether_brick_fence: #2, 53(32%)
minecraft.crafted.acacia_fence_gate: #2, 146(17%)
minecraft.used.acacia_fence_gate: #2, 100(18%)
minecraft.mined.oxidized_cut_copper_stairs: #2, 220(20%)
minecraft.used.bricks: #3, 2758(17%)
minecraft.dropped.cake: #1, 7(30%)
minecraft.mined.sticky_piston: #2, 344(11%)
minecraft.crafted.minecart: #2, 440(11%)
