stat, rank, value, (percentage) 
minecraft.crafted.grindstone: #3, 279(9%)
minecraft.used.nether_brick_wall: #2, 89(13%)
minecraft.dropped.string: #3, 1316(8%)
minecraft.used.mossy_stone_brick_slab: #3, 168(16%)
minecraft.picked_up.bamboo_fence: #3, 182(10%)
minecraft.crafted.item_frame: #4, 1360(12%)
minecraft.used.polished_deepslate: #3, 2327(9%)
minecraft.dropped.red_mushroom_block: #2, 163(17%)
minecraft.killed.skeleton_horse: #2, 3(25%)
minecraft.dropped.golden_shovel: #2, 1(50%)
minecraft.dropped.waxed_weathered_chiseled_copper: #2, 2(50%)
minecraft.dropped.warped_door: #2, 1(50%)
minecraft.dropped.deepslate_emerald_ore: #2, 1(25%)
minecraft.crafted.exposed_cut_copper_slab: #2, 64(33%)
minecraft.used.pointed_dripstone: #3, 1056(8%)
minecraft.picked_up.exposed_cut_copper_slab: #3, 20(16%)
minecraft.crafted.deepslate_bricks: #3, 3096(11%)
minecraft.dropped.birch_stairs: #2, 3(16%)
minecraft.used.jungle_sign: #3, 99(11%)
minecraft.used.oak_pressure_plate: #3, 18(12%)
minecraft.used.warped_trapdoor: #3, 288(10%)
minecraft.used.cherry_planks: #2, 214(5%)
minecraft.picked_up.warped_hyphae: #2, 34(9%)
minecraft.dropped.waxed_exposed_cut_copper_slab: #2, 3(43%)
minecraft.used.pale_oak_planks: #3, 635(11%)
minecraft.crafted.tuff_brick_wall: #3, 66(11%)
minecraft.crafted.mangrove_stairs: #4, 620(13%)
minecraft.picked_up.exposed_chiseled_copper: #2, 7(8%)
minecraft.picked_up.golden_sword: #3, 146(9%)
minecraft.mined.exposed_chiseled_copper: #2, 7(7%)
minecraft.mined.weeping_vines: #3, 79(11%)
minecraft.dropped.vine: #2, 15(6%)
minecraft.dropped.iron_boots: #4, 106(13%)
minecraft.dropped.fire_coral: #2, 1(33%)
minecraft.dropped.jungle_door: #2, 1(33%)
minecraft.crafted.sandstone_wall: #3, 66(20%)
minecraft.used.cut_sandstone: #3, 429(8%)
minecraft.dropped.golden_sword: #3, 136(8%)
minecraft.used.birch_log: #4, 1364(10%)
minecraft.picked_up.golden_pickaxe: #2, 1(25%)
minecraft.dropped.peony: #4, 47(13%)
minecraft.crafted.cyan_glazed_terracotta: #3, 52(15%)
minecraft.crafted.polished_diorite_stairs: #3, 26(14%)
minecraft.crafted.oak_pressure_plate: #3, 14(9%)
minecraft.crafted.pale_oak_trapdoor: #4, 444(11%)
minecraft.mined.mushroom_stem: #4, 1121(11%)
minecraft.mined.exposed_copper_door: #3, 3(21%)
minecraft.crafted.bricks: #4, 2767(9%)
minecraft.crafted.mangrove_trapdoor: #4, 454(9%)
minecraft.dropped.polished_diorite_stairs: #2, 9(13%)
minecraft.dropped.brown_concrete_powder: #2, 5(5%)
minecraft.used.iron_helmet: #3, 3(11%)
minecraft.dropped.mud_bricks: #3, 30(9%)
minecraft.crafted.purple_glazed_terracotta: #3, 16(20%)
minecraft.crafted.bamboo_fence: #4, 513(11%)
minecraft.mined.acacia_door: #3, 3(15%)
minecraft.crafted.bamboo_sign: #3, 321(6%)
minecraft.dropped.mangrove_planks: #3, 50(8%)
minecraft.used.green_stained_glass_pane: #3, 180(8%)
minecraft.picked_up.exposed_copper_door: #3, 3(19%)
minecraft.dropped.deepslate_bricks: #3, 19(7%)
minecraft.crafted.iron_block: #3, 1362(5%)
minecraft.used.porkchop: #3, 13(8%)
minecraft.dropped.mossy_stone_brick_wall: #2, 2(5%)
minecraft.used.waxed_exposed_copper_bulb: #4, 55(14%)
minecraft.used.cauldron: #4, 89(8%)
minecraft.broken.flint_and_steel: #3, 5(11%)
minecraft.used.birch_trapdoor: #4, 182(10%)
minecraft.mined.iron_bars: #4, 346(8%)
