stat, rank, value, (percentage) 
minecraft.crafted.green_dye: #3, 1027(8%)
minecraft.picked_up.carrot: #4, 7833(10%)
minecraft.crafted.cherry_trapdoor: #3, 220(10%)
minecraft.dropped.blackstone: #3, 866(10%)
minecraft.killed.rabbit: #3, 18(12%)
minecraft.used.crossbow: #3, 313(11%)
minecraft.used.end_stone_brick_stairs: #2, 12(10%)
minecraft.mined.potted_dead_bush: #3, 4(15%)
minecraft.dropped.suspicious_stew: #2, 11(11%)
minecraft.used.carrot: #4, 1683(10%)
minecraft.dropped.turtle_scute: #2, 8(19%)
minecraft.dropped.iron_shovel: #3, 16(8%)
minecraft.dropped.netherite_pickaxe: #3, 12(7%)
minecraft.mined.quartz_block: #3, 766(8%)
minecraft.dropped.light_blue_terracotta: #2, 14(7%)
minecraft.mined.potted_wither_rose: #2, 1(33%)
minecraft.mined.dark_oak_pressure_plate: #3, 11(17%)
minecraft.picked_up.rabbit_hide: #3, 30(11%)
minecraft.crafted.stonecutter: #3, 78(7%)
minecraft.picked_up.mourner_pottery_sherd: #2, 4(21%)
minecraft.dropped.potion: #3, 242(7%)
minecraft.crafted.jack_o_lantern: #3, 227(15%)
minecraft.dropped.cut_sandstone_slab: #2, 2(25%)
minecraft.crafted.chiseled_stone_bricks: #3, 786(10%)
minecraft.dropped.wooden_axe: #3, 2(13%)
minecraft.mined.fletching_table: #3, 13(16%)
minecraft.mined.small_amethyst_bud: #2, 83(4%)
minecraft.mined.dark_oak_slab: #4, 312(10%)
minecraft.dropped.bread: #4, 1795(11%)
minecraft.picked_up.fletching_table: #3, 13(15%)
minecraft.dropped.rabbit: #3, 20(8%)
minecraft.crafted.smoker: #4, 64(11%)
minecraft.used.dark_oak_pressure_plate: #3, 20(11%)
minecraft.dropped.dispenser: #4, 62(15%)
minecraft.crafted.magenta_carpet: #2, 93(3%)
minecraft.picked_up.magenta_carpet: #2, 7(5%)
minecraft.mined.calibrated_sculk_sensor: #4, 20(11%)
minecraft.dropped.dark_oak_door: #3, 9(17%)
minecraft.used.jack_o_lantern: #3, 133(11%)
minecraft.used.magma_block: #4, 2529(9%)
minecraft.mined.dark_oak_wall_hanging_sign: #3, 9(20%)
minecraft.crafted.spruce_planks: #4, 55486(8%)
minecraft.used.nether_brick_slab: #3, 109(13%)
minecraft.custom.use_cauldron: #4, 698(9%)
minecraft.dropped.leather_horse_armor: #2, 1(6%)
minecraft.dropped.cherry_wood: #2, 1(5%)
minecraft.picked_up.spruce_log: #4, 18762(8%)
minecraft.crafted.glowstone: #4, 854(10%)
minecraft.dropped.purple_terracotta: #2, 5(3%)
minecraft.mined.seagrass: #4, 681(8%)
minecraft.picked_up.melon: #4, 2933(8%)
minecraft.picked_up.emerald_block: #4, 990(9%)
minecraft.picked_up.ghast_tear: #4, 154(9%)
minecraft.crafted.diamond_chestplate: #4, 8(9%)
minecraft.crafted.quartz_slab: #3, 228(7%)
minecraft.picked_up.quartz_slab: #3, 263(6%)
minecraft.killed_by.ender_dragon: #3, 1(33%)
minecraft.mined.dark_oak_fence_gate: #3, 15(7%)
minecraft.dropped.mutton: #4, 96(11%)
minecraft.killed.bat: #4, 17(10%)
minecraft.killed.shulker: #4, 383(8%)
minecraft.dropped.iron_leggings: #4, 13(8%)
minecraft.dropped.smithing_table: #3, 2(12%)
minecraft.picked_up.explorer_pottery_sherd: #3, 4(16%)
minecraft.crafted.leather_horse_armor: #3, 7(16%)
minecraft.picked_up.dragon_breath: #3, 37(13%)
minecraft.used.bow: #4, 5871(7%)
minecraft.crafted.player_head: #4, 1248(9%)
minecraft.used.suspicious_stew: #3, 3(16%)
minecraft.mined.dark_oak_trapdoor: #4, 145(6%)
minecraft.killed.blaze: #4, 764(7%)
minecraft.dropped.magenta_terracotta: #3, 7(8%)
minecraft.dropped.emerald_block: #4, 228(10%)
minecraft.mined.brown_mushroom: #4, 122(6%)
minecraft.picked_up.small_amethyst_bud: #3, 83(4%)
minecraft.mined.cherry_stairs: #3, 12(5%)
minecraft.mined.amethyst_cluster: #4, 607(6%)
minecraft.mined.end_stone: #5, 1501(10%)
minecraft.picked_up.turtle_scute: #3, 15(5%)
minecraft.dropped.quartz_block: #3, 312(2%)
minecraft.mined.red_nether_bricks: #3, 2(6%)
minecraft.crafted.cherry_pressure_plate: #3, 1(9%)
minecraft.picked_up.cherry_stairs: #3, 12(3%)
minecraft.mined.blue_wall_banner: #3, 1(5%)
minecraft.crafted.birch_door: #4, 15(8%)
minecraft.mined.spruce_pressure_plate: #4, 8(7%)
minecraft.dropped.amethyst_cluster: #4, 6(12%)
