stat, rank, value, (percentage) 
minecraft.used.cooked_beef: #25, 36(0%)
minecraft.custom.fill_cauldron: #25, 2(0%)
minecraft.picked_up.water_bucket: #25, 2(0%)
minecraft.crafted.birch_sign: #25, 3(0%)
minecraft.picked_up.item_frame: #25, 14(0%)
minecraft.crafted.birch_planks: #25, 128(0%)
minecraft.picked_up.iron_ore: #25, 19(0%)
minecraft.dropped.bucket: #25, 2(0%)
minecraft.picked_up.cod: #25, 15(0%)
minecraft.picked_up.bucket: #25, 3(0%)
minecraft.dropped.rotten_flesh: #25, 81(0%)
minecraft.used.cooked_chicken: #25, 5(0%)
minecraft.picked_up.rose_bush: #25, 7(0%)
minecraft.mined.lever: #25, 2(0%)
minecraft.picked_up.gold_nugget: #25, 45(0%)
minecraft.picked_up.yellow_dye: #25, 2(0%)
minecraft.mined.chain: #25, 2(0%)
minecraft.dropped.arrow: #25, 16(0%)
minecraft.picked_up.pumpkin: #25, 30(0%)
minecraft.picked_up.poppy: #25, 14(0%)
minecraft.crafted.lever: #25, 2(0%)
minecraft.used.decorated_pot: #25, 1(0%)
minecraft.used.green_shulker_box: #25, 1(0%)
minecraft.used.lever: #25, 2(0%)
minecraft.picked_up.cocoa_beans: #25, 6(0%)
minecraft.picked_up.brick: #25, 3(0%)
minecraft.dropped.gold_ingot: #25, 1(0%)
minecraft.dropped.armadillo_scute: #25, 1(0%)
minecraft.killed.silverfish: #25, 1(0%)
minecraft.dropped.firework_rocket: #26, 128(0%)
minecraft.picked_up.diamond_sword: #26, 4(0%)
minecraft.used.item_frame: #26, 14(0%)
minecraft.picked_up.porkchop: #26, 6(0%)
minecraft.custom.walk_one_cm: #26, 2540629(0%)
minecraft.custom.drop: #26, 252(0%)
minecraft.custom.sprint_one_cm: #26, 2622045(0%)
minecraft.picked_up.blue_dye: #26, 1(0%)
minecraft.used.firework_rocket: #26, 388(0%)
minecraft.picked_up.rotten_flesh: #26, 114(0%)
minecraft.used.writable_book: #26, 5(0%)
minecraft.picked_up.birch_log: #26, 38(0%)
minecraft.custom.open_barrel: #26, 102(0%)
minecraft.picked_up.melon_slice: #26, 34(0%)
minecraft.picked_up.black_dye: #26, 1(0%)
minecraft.picked_up.peony: #26, 3(0%)
minecraft.dropped.wheat_seeds: #26, 93(0%)
minecraft.picked_up.arrow: #26, 48(0%)
minecraft.picked_up.carrot: #26, 33(0%)
minecraft.mined.carrots: #26, 5(0%)
minecraft.picked_up.pitcher_plant: #26, 1(0%)
minecraft.picked_up.snowball: #26, 65(0%)
minecraft.used.bone_meal: #26, 99(0%)
minecraft.picked_up.bow: #26, 2(0%)
minecraft.used.player_head: #26, 2(0%)
minecraft.used.glass_bottle: #26, 20(0%)
minecraft.used.carrot: #26, 6(0%)
minecraft.picked_up.gold_ingot: #26, 10(0%)
minecraft.mined.player_head: #26, 1(0%)
minecraft.picked_up.wheat: #26, 61(0%)
minecraft.picked_up.paper: #26, 3(0%)
minecraft.picked_up.granite: #26, 64(0%)
minecraft.dropped.cobblestone: #26, 62(0%)
minecraft.picked_up.ender_pearl: #26, 61(0%)
minecraft.picked_up.chicken: #26, 2(0%)
minecraft.picked_up.wheat_seeds: #26, 127(0%)
minecraft.crafted.oak_planks: #26, 64(0%)
minecraft.mined.melon: #26, 5(0%)
minecraft.custom.open_chest: #26, 94(0%)
minecraft.custom.open_shulker_box: #26, 103(0%)
minecraft.dropped.egg: #26, 1(0%)
minecraft.dropped.stick: #26, 10(0%)
minecraft.picked_up.cornflower: #26, 2(0%)
minecraft.used.chain: #26, 2(0%)
minecraft.mined.wheat: #26, 19(0%)
minecraft.picked_up.stick: #26, 12(0%)
