stat, rank, value, (percentage) 
minecraft.picked_up.chiseled_tuff: #5, 105(5%)
minecraft.mined.white_carpet: #5, 116(6%)
minecraft.crafted.spruce_chest_boat: #4, 1(4%)
minecraft.used.purple_stained_glass_pane: #4, 71(2%)
minecraft.dropped.yellow_dye: #5, 41(5%)
minecraft.picked_up.white_concrete_powder: #5, 3424(6%)
minecraft.custom.happy_ghast_one_cm: #6, 1867133(8%)
minecraft.mined.oxeye_daisy: #5, 68(5%)
minecraft.dropped.light_blue_carpet: #4, 2(3%)
minecraft.crafted.iron_chestplate: #5, 7(5%)
minecraft.mined.brown_bed: #5, 4(10%)
minecraft.mined.stripped_pale_oak_log: #5, 209(6%)
minecraft.picked_up.stripped_pale_oak_log: #5, 209(6%)
minecraft.used.magenta_dye: #4, 2(1%)
minecraft.mined.green_shulker_box: #6, 347(9%)
minecraft.used.green_shulker_box: #6, 355(8%)
minecraft.picked_up.spruce_chest_boat: #4, 2(2%)
minecraft.used.stripped_crimson_stem: #4, 10(1%)
minecraft.dropped.light_blue_stained_glass: #4, 39(1%)
minecraft.dropped.yellow_carpet: #4, 1(1%)
minecraft.picked_up.green_shulker_box: #6, 342(8%)
minecraft.crafted.light_weighted_pressure_plate: #5, 18(9%)
minecraft.picked_up.white_stained_glass_pane: #5, 92(6%)
minecraft.crafted.end_stone_brick_slab: #4, 6(1%)
minecraft.used.brain_coral_block: #5, 96(8%)
minecraft.picked_up.gold_ore: #5, 84(5%)
minecraft.mined.waxed_oxidized_cut_copper: #5, 223(5%)
minecraft.crafted.cobblestone_slab: #5, 690(5%)
minecraft.crafted.purpur_block: #4, 12(0%)
minecraft.dropped.book: #5, 35(6%)
minecraft.used.orange_banner: #5, 19(6%)
minecraft.crafted.cyan_dye: #5, 1040(4%)
minecraft.used.totem_of_undying: #5, 20(6%)
minecraft.used.warped_nylium: #5, 169(4%)
minecraft.used.pufferfish_bucket: #5, 11(7%)
minecraft.crafted.stonecutter: #5, 44(4%)
minecraft.crafted.dark_prismarine_stairs: #5, 28(11%)
minecraft.picked_up.hopper: #6, 926(8%)
minecraft.crafted.nether_brick_fence: #5, 96(7%)
minecraft.dropped.honey_bottle: #5, 29(5%)
minecraft.picked_up.black_concrete_powder: #5, 875(4%)
minecraft.picked_up.magma_cream: #5, 152(4%)
minecraft.mined.basalt: #5, 3323(3%)
minecraft.used.green_stained_glass_pane: #5, 132(6%)
minecraft.mined.lime_terracotta: #5, 108(6%)
minecraft.picked_up.oak_fence: #6, 366(8%)
minecraft.picked_up.spruce_stairs: #6, 439(7%)
minecraft.picked_up.black_bed: #5, 33(5%)
minecraft.picked_up.decorated_pot: #6, 182(7%)
minecraft.used.terracotta: #5, 1431(4%)
minecraft.picked_up.quartz: #6, 5041(7%)
minecraft.crafted.red_shulker_box: #5, 25(4%)
minecraft.picked_up.chiseled_tuff_bricks: #6, 410(7%)
minecraft.used.porkchop: #5, 9(5%)
minecraft.mined.yellow_stained_glass: #5, 39(6%)
minecraft.crafted.polished_tuff_slab: #6, 256(7%)
minecraft.picked_up.exposed_copper_door: #5, 2(12%)
minecraft.picked_up.fire_coral_fan: #5, 116(4%)
minecraft.picked_up.raw_iron: #6, 4825(7%)
minecraft.crafted.cherry_button: #5, 2(11%)
minecraft.crafted.orange_terracotta: #5, 360(5%)
minecraft.used.quartz_stairs: #5, 274(4%)
minecraft.used.bowl: #5, 2(8%)
minecraft.used.diamond_axe: #6, 66522(6%)
minecraft.picked_up.nether_quartz_ore: #6, 1024(7%)
minecraft.picked_up.cooked_mutton: #5, 236(3%)
minecraft.mined.crimson_slab: #5, 18(6%)
minecraft.crafted.red_carpet: #5, 483(4%)
minecraft.crafted.lapis_block: #5, 324(3%)
minecraft.used.pale_moss_carpet: #5, 441(3%)
minecraft.mined.deepslate_iron_ore: #6, 1384(7%)
minecraft.picked_up.bowl: #6, 44(8%)
minecraft.picked_up.tube_coral_fan: #5, 80(3%)
minecraft.used.lime_stained_glass_pane: #5, 164(5%)
minecraft.dropped.purple_bed: #5, 1(9%)
minecraft.crafted.cherry_sign: #5, 6(5%)
minecraft.crafted.cyan_shulker_box: #6, 12(8%)
minecraft.used.green_bed: #5, 29(5%)
minecraft.picked_up.brain_coral_fan: #5, 111(4%)
minecraft.used.black_banner: #5, 40(4%)
minecraft.used.white_banner: #6, 76(7%)
minecraft.picked_up.stonecutter: #6, 100(6%)
minecraft.crafted.red_stained_glass_pane: #5, 160(4%)
minecraft.mined.blue_bed: #5, 23(4%)
minecraft.picked_up.leather_leggings: #6, 26(5%)
minecraft.crafted.polished_diorite: #6, 500(7%)
minecraft.mined.dead_brain_coral_block: #5, 38(5%)
minecraft.picked_up.blue_bed: #5, 24(4%)
minecraft.mined.fern: #6, 361(6%)
minecraft.used.light_gray_dye: #5, 4(6%)
minecraft.used.yellow_stained_glass: #5, 650(4%)
minecraft.crafted.carrot_on_a_stick: #5, 1(9%)
minecraft.killed.ender_dragon: #5, 2(9%)
minecraft.used.stripped_warped_stem: #5, 76(3%)
minecraft.used.tuff_brick_slab: #6, 672(7%)
minecraft.crafted.lime_stained_glass_pane: #5, 176(4%)
minecraft.mined.stonecutter: #6, 93(6%)
minecraft.used.cyan_bed: #6, 93(7%)
minecraft.dropped.cyan_shulker_box: #5, 2(5%)
minecraft.used.cyan_stained_glass: #5, 210(3%)
minecraft.picked_up.cyan_stained_glass: #5, 49(4%)
minecraft.used.black_stained_glass_pane: #6, 589(7%)
minecraft.used.red_carpet: #5, 640(2%)
minecraft.crafted.raw_iron_block: #6, 379(7%)
minecraft.crafted.pale_oak_fence: #5, 201(3%)
minecraft.picked_up.light_blue_dye: #5, 22(2%)
minecraft.picked_up.bubble_coral_fan: #5, 87(3%)
minecraft.picked_up.tuff_brick_slab: #6, 268(7%)
minecraft.crafted.birch_door: #5, 6(3%)
minecraft.mined.horn_coral: #5, 27(3%)
minecraft.picked_up.glass: #6, 3917(6%)
minecraft.mined.horn_coral_fan: #5, 16(3%)
minecraft.mined.green_bed: #5, 14(3%)
minecraft.mined.orange_wall_banner: #5, 4(4%)
minecraft.used.blackstone_stairs: #5, 38(2%)
minecraft.mined.light_gray_bed: #5, 44(3%)
minecraft.custom.leave_game: #7, 1486(4%)
minecraft.picked_up.black_banner: #5, 26(3%)
minecraft.used.red_stained_glass_pane: #5, 98(3%)
minecraft.mined.infested_stone: #5, 34(2%)
minecraft.picked_up.iron_chestplate: #6, 14(6%)
minecraft.dropped.light_gray_bed: #5, 3(5%)
minecraft.custom.interact_with_grindstone: #6, 108(6%)
minecraft.used.oak_fence: #6, 384(6%)
minecraft.crafted.pale_moss_carpet: #5, 276(3%)
minecraft.killed.snow_golem: #5, 5(3%)
minecraft.mined.cherry_wall_sign: #5, 1(6%)
minecraft.picked_up.diorite_stairs: #5, 10(3%)
minecraft.picked_up.bubble_coral: #5, 17(3%)
minecraft.used.respawn_anchor: #5, 3(3%)
minecraft.picked_up.polished_granite_stairs: #5, 18(5%)
minecraft.used.birch_fence_gate: #5, 22(3%)
minecraft.mined.oak_button: #6, 15(7%)
minecraft.picked_up.green_bed: #5, 12(3%)
minecraft.mined.red_concrete_powder: #5, 10(3%)
minecraft.mined.birch_trapdoor: #6, 30(7%)
minecraft.dropped.spider_eye: #6, 5212(5%)
minecraft.used.polished_granite_stairs: #5, 38(3%)
minecraft.used.pale_oak_leaves: #5, 33(2%)
minecraft.mined.polished_granite_stairs: #5, 14(4%)
minecraft.picked_up.yellow_concrete_powder: #5, 193(2%)
minecraft.dropped.gray_shulker_box: #5, 1(2%)
minecraft.custom.damage_taken: #5, 1693049(1%)
minecraft.crafted.lead: #6, 148(6%)
minecraft.mined.gray_bed: #5, 11(1%)
minecraft.picked_up.popped_chorus_fruit: #5, 18(3%)
minecraft.picked_up.mossy_cobblestone: #6, 486(5%)
minecraft.dropped.cobblestone_stairs: #5, 4(2%)
minecraft.used.lingering_potion: #5, 1(4%)
minecraft.picked_up.music_disc_blocks: #6, 7(11%)
minecraft.mined.dandelion: #6, 336(5%)
minecraft.mined.blue_concrete_powder: #5, 1(3%)
minecraft.mined.brown_concrete_powder: #6, 72(11%)
minecraft.picked_up.pale_oak_button: #5, 5(2%)
minecraft.picked_up.pale_oak_pressure_plate: #5, 1(3%)
minecraft.crafted.green_stained_glass: #5, 128(1%)
minecraft.used.brewing_stand: #6, 48(5%)
minecraft.used.spider_eye: #5, 1(3%)
minecraft.broken.wooden_shovel: #5, 1(2%)
minecraft.dropped.trident: #6, 9(6%)
minecraft.killed_by.skeleton: #6, 14(5%)
minecraft.crafted.wooden_pickaxe: #6, 2(5%)
minecraft.used.brown_shulker_box: #6, 232(5%)
minecraft.dropped.resin_clump: #5, 64(1%)
minecraft.crafted.pale_oak_fence_gate: #5, 10(1%)
minecraft.crafted.pink_terracotta: #5, 152(1%)
minecraft.mined.cherry_slab: #5, 3(1%)
minecraft.mined.magenta_stained_glass_pane: #5, 1(2%)
minecraft.crafted.bell: #5, 2(1%)
minecraft.dropped.pearlescent_froglight: #5, 46(1%)
minecraft.mined.stripped_crimson_stem: #5, 10(1%)
minecraft.crafted.black_shulker_box: #6, 6(5%)
minecraft.used.crimson_fence_gate: #5, 1(1%)
minecraft.used.chiseled_quartz_block: #5, 31(1%)
minecraft.picked_up.dead_horn_coral_fan: #5, 1(1%)
minecraft.used.spruce_chest_boat: #5, 1(1%)
minecraft.picked_up.blaze_rod: #6, 619(4%)
minecraft.crafted.shulker_box: #6, 493(4%)
minecraft.mined.lodestone: #5, 1(1%)
minecraft.picked_up.waxed_oxidized_cut_copper: #6, 225(5%)
minecraft.mined.orange_terracotta: #6, 1924(4%)
minecraft.mined.budding_amethyst: #6, 19(5%)
minecraft.crafted.shears: #6, 532(4%)
minecraft.used.salmon: #6, 7(6%)
minecraft.picked_up.orange_terracotta: #6, 2012(4%)
minecraft.custom.deaths: #7, 1121(5%)
minecraft.picked_up.light_blue_shulker_box: #6, 226(4%)
minecraft.used.light_blue_shulker_box: #6, 232(4%)
minecraft.crafted.lightning_rod: #6, 278(4%)
minecraft.used.copper_ore: #6, 1377(4%)
minecraft.mined.light_blue_shulker_box: #6, 224(4%)
minecraft.mined.bamboo_door: #6, 4(6%)
minecraft.used.stripped_spruce_wood: #6, 136(5%)
minecraft.crafted.green_banner: #6, 16(5%)
minecraft.picked_up.wooden_axe: #6, 1(8%)
minecraft.used.red_bed: #6, 21(4%)
minecraft.crafted.clock: #6, 7(5%)
minecraft.mined.oak_trapdoor: #7, 136(7%)
minecraft.used.lime_stained_glass: #6, 427(5%)
minecraft.picked_up.lapis_lazuli: #6, 3794(3%)
minecraft.used.black_stained_glass: #6, 1665(4%)
minecraft.mined.granite_stairs: #6, 6(5%)
minecraft.mined.gray_stained_glass: #6, 54(5%)
minecraft.used.blue_wool: #6, 179(5%)
minecraft.used.lime_terracotta: #6, 473(5%)
minecraft.mined.black_bed: #6, 33(5%)
minecraft.crafted.bamboo_sign: #6, 195(3%)
minecraft.picked_up.brown_mushroom: #6, 301(3%)
minecraft.picked_up.stone_sword: #6, 35(3%)
minecraft.picked_up.waxed_oxidized_copper_grate: #6, 64(4%)
minecraft.crafted.gold_block: #6, 220(3%)
minecraft.crafted.lime_dye: #6, 496(3%)
minecraft.used.diamond_chestplate: #6, 20(3%)
minecraft.mined.netherrack: #7, 28556(7%)
minecraft.mined.orange_stained_glass_pane: #6, 26(5%)
minecraft.crafted.raw_iron: #6, 432(4%)
minecraft.used.red_stained_glass: #6, 600(5%)
minecraft.dropped.spyglass: #6, 3(3%)
minecraft.mined.red_concrete: #6, 330(3%)
minecraft.dropped.netherite_hoe: #6, 1(6%)
minecraft.mined.wither_skeleton_skull: #6, 2(6%)
minecraft.crafted.mangrove_planks: #7, 3884(6%)
minecraft.used.waxed_oxidized_cut_copper: #6, 219(3%)
minecraft.picked_up.orange_stained_glass_pane: #6, 30(4%)
minecraft.crafted.orange_carpet: #6, 198(4%)
minecraft.mined.birch_slab: #6, 32(3%)
minecraft.picked_up.horn_coral_fan: #6, 93(3%)
minecraft.used.leather_helmet: #6, 1(5%)
minecraft.picked_up.guster_banner_pattern: #6, 2(4%)
minecraft.dropped.spruce_leaves: #6, 184(3%)
minecraft.crafted.pale_oak_wood: #6, 150(4%)
minecraft.crafted.birch_fence_gate: #6, 36(4%)
minecraft.crafted.black_banner: #6, 43(3%)
minecraft.crafted.brewing_stand: #6, 30(2%)
minecraft.mined.exposed_copper_door: #6, 1(7%)
minecraft.crafted.wheat: #7, 6340(6%)
minecraft.used.pale_moss_block: #6, 415(2%)
minecraft.crafted.bundle: #6, 16(3%)
minecraft.used.crimson_planks: #6, 109(2%)
minecraft.mined.pink_carpet: #6, 5(4%)
minecraft.custom.interact_with_stonecutter: #7, 604(5%)
minecraft.picked_up.brain_coral: #6, 17(2%)
minecraft.picked_up.birch_hanging_sign: #6, 3(4%)
minecraft.used.wooden_shovel: #6, 98(4%)
minecraft.crafted.white_shulker_box: #6, 24(2%)
minecraft.used.glow_berries: #7, 131(7%)
minecraft.dropped.stonecutter: #6, 2(3%)
minecraft.picked_up.iron_boots: #7, 16(5%)
minecraft.picked_up.coarse_dirt: #7, 1355(5%)
minecraft.crafted.acacia_pressure_plate: #6, 4(3%)
minecraft.mined.mangrove_trapdoor: #7, 49(6%)
minecraft.picked_up.spruce_door: #7, 14(6%)
minecraft.picked_up.red_concrete_powder: #6, 144(2%)
minecraft.picked_up.respawn_anchor: #6, 3(3%)
minecraft.picked_up.pale_oak_trapdoor: #7, 46(6%)
minecraft.crafted.emerald: #7, 27390(5%)
minecraft.picked_up.birch_planks: #7, 352(5%)
minecraft.picked_up.ender_eye: #6, 3(2%)
minecraft.used.orange_carpet: #7, 136(8%)
minecraft.picked_up.fire_coral: #6, 14(2%)
minecraft.mined.pink_wool: #6, 15(2%)
minecraft.used.crimson_stairs: #6, 70(3%)
minecraft.mined.blue_wool: #6, 16(2%)
minecraft.used.brown_bed: #6, 3(3%)
minecraft.picked_up.green_carpet: #6, 117(1%)
minecraft.crafted.cooked_porkchop: #6, 26(1%)
minecraft.mined.yellow_stained_glass_pane: #6, 11(2%)
minecraft.picked_up.salmon: #7, 391(5%)
minecraft.mined.exposed_copper_bulb: #6, 1(3%)
minecraft.used.pink_terracotta: #6, 142(2%)
minecraft.mined.pale_oak_trapdoor: #7, 42(6%)
minecraft.used.green_carpet: #6, 109(1%)
minecraft.picked_up.brown_shulker_box: #7, 218(6%)
minecraft.used.andesite_slab: #7, 512(5%)
minecraft.mined.cobblestone: #7, 2490(5%)
minecraft.used.gray_shulker_box: #7, 284(5%)
minecraft.mined.magenta_terracotta: #6, 9(1%)
minecraft.picked_up.gray_bed: #6, 9(1%)
minecraft.used.blue_dye: #6, 1(2%)
minecraft.used.rotten_flesh: #7, 100(5%)
minecraft.mined.raw_gold_block: #6, 3(2%)
minecraft.crafted.blue_banner: #6, 3(1%)
minecraft.used.birch_trapdoor: #7, 102(5%)
minecraft.mined.cauldron: #7, 14(5%)
minecraft.picked_up.pumpkin: #7, 3765(4%)
minecraft.picked_up.blue_egg: #6, 3(1%)
minecraft.crafted.magenta_stained_glass_pane: #6, 32(1%)
minecraft.dropped.lava_bucket: #6, 2(1%)
minecraft.picked_up.turtle_scute: #6, 5(2%)
minecraft.picked_up.stripped_crimson_stem: #6, 10(1%)
minecraft.used.diamond_sword: #7, 40540(4%)
minecraft.mined.brown_shulker_box: #7, 213(5%)
minecraft.mined.spruce_button: #6, 9(1%)
minecraft.used.pale_oak_button: #6, 13(1%)
minecraft.picked_up.birch_trapdoor: #7, 29(6%)
minecraft.used.glow_lichen: #7, 1547(4%)
minecraft.mined.cornflower: #7, 82(4%)
minecraft.used.pale_oak_fence_gate: #6, 5(1%)
minecraft.dropped.fern: #6, 2(1%)
minecraft.used.glow_item_frame: #7, 177(5%)
minecraft.mined.white_wall_banner: #7, 17(5%)
minecraft.crafted.oak_fence: #7, 213(5%)
minecraft.picked_up.polished_diorite: #7, 66(5%)
minecraft.used.white_bed: #7, 276(4%)
minecraft.dropped.magenta_wool: #6, 1(0%)
minecraft.mined.honeycomb_block: #6, 4(0%)
minecraft.used.blue_egg: #6, 1(0%)
minecraft.picked_up.lodestone: #6, 1(0%)
minecraft.picked_up.dragon_breath: #6, 1(0%)
minecraft.used.light_gray_concrete_powder: #7, 1053(4%)
minecraft.mined.bamboo_wall_sign: #7, 20(4%)
minecraft.crafted.magenta_carpet: #6, 3(0%)
minecraft.crafted.air: #6, 0(0%)
minecraft.used.pale_oak_trapdoor: #7, 175(5%)
minecraft.picked_up.cooked_salmon: #7, 80(4%)
minecraft.mined.tuff_brick_slab: #7, 81(5%)
minecraft.mined.green_carpet: #7, 36(5%)
minecraft.mined.cyan_bed: #7, 46(4%)
minecraft.dropped.birch_sapling: #7, 32(5%)
minecraft.crafted.blue_dye: #7, 1688(3%)
minecraft.picked_up.waxed_copper_grate: #7, 132(5%)
minecraft.mined.white_concrete_powder: #7, 82(4%)
minecraft.used.fire_coral_fan: #7, 13(6%)
minecraft.crafted.pale_oak_stairs: #7, 88(6%)
minecraft.mined.waxed_copper_grate: #7, 131(5%)
minecraft.picked_up.black_wool: #7, 1089(3%)
minecraft.picked_up.dragon_head: #7, 14(4%)
minecraft.mined.polished_deepslate_wall: #7, 35(4%)
minecraft.used.lime_concrete: #7, 255(5%)
minecraft.dropped.spruce_sapling: #7, 90(3%)
minecraft.picked_up.cactus: #7, 1482(3%)
minecraft.crafted.ender_eye: #7, 103(4%)
minecraft.used.birch_hanging_sign: #7, 7(6%)
minecraft.crafted.stone_pickaxe: #7, 5(3%)
minecraft.picked_up.redstone_torch: #7, 302(3%)
minecraft.used.crimson_trapdoor: #7, 111(5%)
minecraft.picked_up.granite_stairs: #7, 7(5%)
minecraft.picked_up.gray_stained_glass: #7, 62(5%)
minecraft.mined.birch_wall_sign: #7, 12(4%)
minecraft.mined.powder_snow: #7, 35(4%)
minecraft.mined.waxed_oxidized_copper_grate: #7, 65(4%)
minecraft.crafted.anvil: #7, 148(3%)
minecraft.crafted.red_terracotta: #7, 408(4%)
minecraft.mined.chiseled_tuff: #7, 47(3%)
minecraft.mined.bamboo_fence: #7, 43(3%)
minecraft.mined.deepslate_coal_ore: #7, 16(4%)
minecraft.picked_up.red_concrete: #7, 326(3%)
minecraft.picked_up.firework_rocket: #8, 7164(5%)
minecraft.crafted.red_stained_glass: #7, 752(3%)
minecraft.killed_by.slime: #8, 27(5%)
minecraft.mined.red_bed: #7, 13(3%)
minecraft.crafted.warped_stairs: #7, 88(4%)
minecraft.mined.stripped_dark_oak_wood: #7, 75(3%)
minecraft.mined.smooth_sandstone_slab: #7, 24(3%)
minecraft.broken.stone_axe: #7, 3(4%)
minecraft.killed_by.zombified_piglin: #7, 1(5%)
minecraft.used.gray_stained_glass: #7, 380(3%)
minecraft.crafted.lime_stained_glass: #7, 496(3%)
minecraft.custom.boat_one_cm: #8, 6176367(6%)
minecraft.dropped.cyan_terracotta: #7, 36(4%)
minecraft.picked_up.polished_tuff: #8, 740(6%)
minecraft.crafted.polished_deepslate_wall: #7, 23(3%)
minecraft.crafted.glistering_melon_slice: #7, 40(4%)
minecraft.crafted.quartz_slab: #7, 98(3%)
minecraft.used.light_blue_terracotta: #7, 287(2%)
minecraft.mined.spruce_pressure_plate: #7, 3(3%)
minecraft.used.orange_stained_glass: #7, 434(3%)
minecraft.used.cherry_sign: #7, 4(3%)
minecraft.crafted.stripped_spruce_wood: #7, 33(3%)
minecraft.picked_up.wooden_shovel: #7, 4(3%)
minecraft.crafted.emerald_block: #7, 545(2%)
minecraft.mined.mangrove_sign: #7, 1(4%)
minecraft.picked_up.yellow_stained_glass: #7, 39(3%)
minecraft.mined.orange_stained_glass: #7, 33(3%)
minecraft.dropped.ice: #7, 40(3%)
minecraft.crafted.birch_hanging_sign: #7, 6(3%)
minecraft.dropped.netherite_upgrade_smithing_template: #7, 1(3%)
minecraft.crafted.yellow_stained_glass: #7, 640(3%)
minecraft.crafted.yellow_carpet: #7, 141(2%)
minecraft.dropped.ender_eye: #7, 1(4%)
minecraft.used.redstone_ore: #7, 27(2%)
minecraft.crafted.granite_slab: #7, 62(3%)
minecraft.used.acacia_pressure_plate: #7, 3(4%)
minecraft.mined.cocoa: #8, 120(6%)
minecraft.mined.glow_lichen: #8, 1270(5%)
minecraft.crafted.red_concrete_powder: #7, 360(2%)
minecraft.mined.purple_terracotta: #7, 28(3%)
minecraft.used.nether_brick_fence: #7, 16(2%)
minecraft.picked_up.purple_terracotta: #7, 28(2%)
minecraft.picked_up.horn_coral: #7, 16(2%)
minecraft.dropped.white_concrete_powder: #7, 17(3%)
minecraft.dropped.acacia_sign: #7, 1(3%)
minecraft.crafted.lantern: #8, 409(5%)
minecraft.mined.pink_terracotta: #7, 42(2%)
minecraft.picked_up.cyan_candle: #7, 5(2%)
minecraft.dropped.green_wool: #7, 29(2%)
minecraft.picked_up.tube_coral: #7, 12(2%)
minecraft.used.purple_banner: #7, 1(3%)
minecraft.picked_up.cauldron: #8, 21(5%)
minecraft.mined.purple_concrete: #7, 58(2%)
minecraft.killed.wither_skeleton: #7, 239(1%)
minecraft.crafted.orange_banner: #7, 10(2%)
minecraft.picked_up.powder_snow_bucket: #7, 6(2%)
minecraft.picked_up.netherite_upgrade_smithing_template: #7, 1(1%)
minecraft.used.diorite_wall: #7, 165(1%)
minecraft.used.magenta_concrete_powder: #7, 143(2%)
minecraft.picked_up.iron_trapdoor: #8, 117(5%)
minecraft.used.furnace: #8, 248(5%)
minecraft.picked_up.bundle: #8, 19(4%)
minecraft.crafted.respawn_anchor: #7, 4(2%)
minecraft.crafted.diamond_leggings: #8, 5(5%)
minecraft.mined.cyan_wall_banner: #7, 1(2%)
minecraft.picked_up.gray_shulker_box: #8, 281(5%)
minecraft.mined.yellow_wool: #7, 108(1%)
minecraft.mined.black_glazed_terracotta: #7, 7(1%)
minecraft.crafted.ender_pearl: #7, 7(2%)
minecraft.picked_up.pink_bed: #7, 3(1%)
minecraft.mined.glowstone: #8, 257(5%)
minecraft.crafted.crimson_stairs: #7, 16(1%)
minecraft.picked_up.black_glazed_terracotta: #7, 6(1%)
minecraft.crafted.green_carpet: #7, 63(1%)
minecraft.crafted.yellow_stained_glass_pane: #7, 64(1%)
minecraft.mined.gray_shulker_box: #8, 259(5%)
minecraft.used.crying_obsidian: #7, 77(1%)
minecraft.crafted.polished_blackstone_slab: #7, 16(1%)
minecraft.picked_up.bamboo_button: #7, 15(0%)
minecraft.crafted.diamond_shovel: #8, 10(4%)
minecraft.picked_up.cherry_slab: #7, 3(0%)
minecraft.used.raw_gold_block: #7, 15(1%)
minecraft.dropped.phantom_membrane: #8, 13(5%)
minecraft.dropped.light_blue_wool: #7, 4(0%)
minecraft.used.weathered_copper_grate: #7, 1(0%)
minecraft.crafted.magenta_stained_glass: #7, 56(0%)
minecraft.mined.brewing_stand: #8, 37(4%)
minecraft.mined.polished_blackstone_brick_slab: #7, 1(0%)
minecraft.used.lodestone: #7, 1(0%)
minecraft.dropped.experience_bottle: #7, 21(0%)
minecraft.custom.interact_with_smithing_table: #8, 50(4%)
minecraft.crafted.item_frame: #8, 422(4%)
minecraft.picked_up.glow_item_frame: #8, 129(4%)
minecraft.crafted.diamond_helmet: #8, 4(4%)
minecraft.crafted.armor_stand: #8, 308(4%)
minecraft.picked_up.golden_apple: #8, 33(4%)
minecraft.picked_up.hay_block: #8, 297(4%)
minecraft.mined.spruce_door: #8, 6(4%)
minecraft.crafted.pale_oak_trapdoor: #8, 160(4%)
minecraft.mined.water_cauldron: #8, 5(5%)
minecraft.dropped.wheat: #8, 614(3%)
minecraft.used.splash_potion: #8, 63(3%)
minecraft.crafted.melon_seeds: #8, 76(5%)
minecraft.mined.acacia_planks: #8, 39(4%)
minecraft.killed_by.ravager: #8, 167(4%)
minecraft.dropped.ender_pearl: #8, 8782(3%)
minecraft.crafted.glow_item_frame: #8, 150(4%)
minecraft.picked_up.splash_potion: #8, 49(3%)
minecraft.picked_up.glow_lichen: #8, 1791(3%)
minecraft.crafted.bone_block: #8, 2079(3%)
minecraft.used.stone_axe: #8, 370(3%)
minecraft.crafted.green_stained_glass_pane: #8, 160(6%)
minecraft.used.polished_diorite: #8, 321(4%)
minecraft.used.golden_carrot: #9, 4039(5%)
minecraft.used.dark_oak_wood: #8, 474(4%)
minecraft.picked_up.birch_button: #8, 8(4%)
minecraft.killed.squid: #8, 210(3%)
minecraft.used.birch_button: #8, 11(4%)
minecraft.crafted.iron_leggings: #8, 5(3%)
minecraft.picked_up.cyan_bed: #8, 40(3%)
minecraft.picked_up.copper_grate: #8, 34(5%)
minecraft.picked_up.sea_lantern: #8, 59(4%)
minecraft.picked_up.iron_sword: #8, 18(3%)
minecraft.crafted.glass_pane: #8, 432(3%)
minecraft.crafted.light_blue_dye: #8, 758(3%)
minecraft.used.basalt: #8, 597(3%)
minecraft.picked_up.wither_skeleton_skull: #8, 23(3%)
minecraft.picked_up.crying_obsidian: #8, 145(3%)
minecraft.crafted.light_gray_concrete_powder: #8, 1048(3%)
minecraft.used.cornflower: #8, 5(3%)
minecraft.dropped.lantern: #8, 16(3%)
minecraft.picked_up.stripped_warped_stem: #8, 116(3%)
minecraft.picked_up.jungle_leaves: #8, 534(3%)
minecraft.crafted.oak_fence_gate: #8, 28(3%)
minecraft.mined.stripped_warped_stem: #8, 96(3%)
minecraft.dropped.snow_block: #8, 102(3%)
minecraft.used.chiseled_copper: #8, 29(4%)
minecraft.crafted.green_shulker_box: #8, 8(3%)
minecraft.picked_up.stripped_dark_oak_wood: #8, 60(3%)
minecraft.used.dark_prismarine_stairs: #8, 38(4%)
minecraft.picked_up.bamboo_fence: #8, 43(2%)
minecraft.mined.waxed_oxidized_cut_copper_stairs: #8, 27(3%)
minecraft.killed.pig: #8, 23(2%)
minecraft.dropped.golden_apple: #8, 6(3%)
minecraft.dropped.birch_sign: #8, 4(2%)
minecraft.crafted.crimson_planks: #8, 436(2%)
minecraft.picked_up.blue_ice: #8, 128(2%)
minecraft.dropped.leaf_litter: #8, 9(4%)
minecraft.crafted.cyan_stained_glass: #8, 216(2%)
minecraft.mined.light_blue_wool: #8, 30(3%)
minecraft.picked_up.ghast_tear: #8, 32(2%)
minecraft.picked_up.deepslate_coal_ore: #8, 16(3%)
minecraft.dropped.iron_hoe: #8, 1(4%)
minecraft.crafted.warped_slab: #8, 174(2%)
minecraft.crafted.crimson_trapdoor: #8, 44(2%)
minecraft.mined.acacia_sign: #8, 1(3%)
minecraft.used.magenta_terracotta: #8, 60(3%)
minecraft.custom.talked_to_villager: #9, 3059(5%)
minecraft.picked_up.orange_stained_glass: #8, 34(2%)
minecraft.used.yellow_wool: #8, 405(2%)
minecraft.picked_up.pitcher_pod: #8, 33(2%)
minecraft.used.melon_seeds: #9, 86(6%)
minecraft.used.sea_lantern: #8, 86(2%)
minecraft.crafted.red_bed: #8, 2(2%)
minecraft.picked_up.waxed_oxidized_cut_copper_stairs: #8, 24(2%)
minecraft.picked_up.map: #8, 19(3%)
minecraft.picked_up.pufferfish_bucket: #8, 1(4%)
minecraft.dropped.white_carpet: #8, 11(2%)
minecraft.mined.diorite_stairs: #8, 5(3%)
minecraft.used.water_bucket: #9, 3012(5%)
minecraft.crafted.furnace_minecart: #8, 1(3%)
minecraft.mined.polished_andesite_slab: #8, 18(2%)
minecraft.mined.polished_granite: #8, 25(1%)
minecraft.mined.lime_wool: #8, 30(2%)
minecraft.used.red_concrete_powder: #8, 241(2%)
minecraft.picked_up.torchflower_seeds: #8, 31(1%)
minecraft.used.white_tulip: #8, 3(2%)
minecraft.used.gray_dye: #8, 1(3%)
minecraft.picked_up.rail: #9, 2458(5%)
