stat, rank, value, (percentage) 
minecraft.picked_up.red_terracotta: #2, 7078(18%)
minecraft.used.chicken: #1, 26(36%)
minecraft.used.white_stained_glass: #2, 6362(21%)
minecraft.dropped.sweet_berries: #2, 795(24%)
minecraft.crafted.blue_bed: #1, 31(53%)
minecraft.mined.spruce_wood: #2, 265(22%)
minecraft.mined.lime_stained_glass_pane: #2, 148(34%)
minecraft.picked_up.green_stained_glass_pane: #1, 163(22%)
minecraft.custom.minecart_one_cm: #2, 21474904(16%)
minecraft.picked_up.chiseled_bookshelf: #1, 117(16%)
minecraft.picked_up.cactus_flower: #1, 61(25%)
minecraft.used.light_gray_carpet: #2, 2152(18%)
minecraft.picked_up.calcite: #2, 6242(17%)
minecraft.picked_up.copper_ore: #2, 9840(15%)
minecraft.picked_up.warped_planks: #1, 316(15%)
minecraft.mined.obsidian: #1, 2182(12%)
minecraft.used.ochre_froglight: #2, 4080(17%)
minecraft.used.filled_map: #1, 36(43%)
minecraft.mined.pointed_dripstone: #1, 813(12%)
minecraft.picked_up.chorus_flower: #2, 689(20%)
minecraft.picked_up.nether_gold_ore: #2, 231(20%)
minecraft.mined.warped_stairs: #2, 119(28%)
minecraft.used.yellow_banner: #1, 42(21%)
minecraft.mined.horn_coral_block: #2, 768(30%)
minecraft.crafted.lapis_lazuli: #2, 3410(16%)
minecraft.picked_up.lime_stained_glass_pane: #2, 262(35%)
minecraft.picked_up.cobblestone_slab: #2, 1059(16%)
minecraft.used.iron_sword: #2, 3721(17%)
minecraft.picked_up.cyan_shulker_box: #2, 638(12%)
minecraft.mined.light_gray_terracotta: #2, 4320(18%)
minecraft.picked_up.chipped_anvil: #1, 44(11%)
minecraft.used.light_blue_carpet: #2, 2418(27%)
minecraft.mined.red_shulker_box: #1, 1529(10%)
minecraft.picked_up.dead_horn_coral_block: #2, 424(38%)
minecraft.picked_up.egg: #3, 4038(15%)
minecraft.mined.cyan_shulker_box: #2, 635(13%)
minecraft.broken.golden_helmet: #1, 9(35%)
minecraft.mined.oxidized_copper_door: #1, 10(21%)
minecraft.mined.tube_coral_block: #2, 990(23%)
minecraft.picked_up.ladder: #1, 910(11%)
minecraft.crafted.black_bed: #2, 38(34%)
minecraft.mined.pale_oak_sign: #1, 5(45%)
minecraft.mined.fire_coral_block: #2, 944(27%)
minecraft.used.bone_meal: #1, 23235(10%)
minecraft.mined.iron_ore: #2, 5674(15%)
minecraft.used.smooth_sandstone: #2, 3803(18%)
minecraft.crafted.pumpkin_pie: #2, 1564(31%)
minecraft.custom.open_chest: #2, 81110(9%)
minecraft.mined.pale_oak_leaves: #2, 11988(17%)
minecraft.crafted.diorite_slab: #2, 560(28%)
minecraft.used.lime_carpet: #2, 1946(33%)
minecraft.picked_up.spruce_planks: #2, 2866(13%)
minecraft.picked_up.dead_fire_coral_block: #2, 385(36%)
minecraft.picked_up.diorite_slab: #2, 210(21%)
minecraft.mined.mangrove_slab: #3, 335(19%)
minecraft.killed.cow: #2, 1589(14%)
minecraft.crafted.mushroom_stew: #1, 17(85%)
minecraft.mined.light_gray_banner: #1, 119(85%)
minecraft.used.iron_chestplate: #1, 6(18%)
minecraft.picked_up.chiseled_sandstone: #2, 153(24%)
minecraft.used.cake: #1, 15(16%)
minecraft.dropped.spruce_pressure_plate: #1, 8(21%)
minecraft.used.cyan_shulker_box: #2, 643(13%)
minecraft.picked_up.cut_sandstone_slab: #1, 305(50%)
minecraft.picked_up.dead_brain_coral_block: #2, 299(25%)
minecraft.picked_up.lime_wool: #2, 1231(18%)
minecraft.picked_up.quartz_pillar: #2, 100(20%)
minecraft.crafted.bookshelf: #2, 859(14%)
minecraft.custom.open_enderchest: #2, 10908(9%)
minecraft.picked_up.diamond_helmet: #2, 63(11%)
minecraft.mined.stone_brick_slab: #2, 1002(15%)
minecraft.mined.chorus_plant: #2, 234(18%)
minecraft.picked_up.magenta_shulker_box: #2, 322(19%)
minecraft.crafted.spruce_boat: #2, 40(15%)
minecraft.crafted.spruce_stairs: #1, 1392(10%)
minecraft.mined.magenta_shulker_box: #2, 317(19%)
minecraft.used.magenta_shulker_box: #2, 320(19%)
minecraft.mined.lantern: #2, 215(14%)
minecraft.used.mangrove_door: #1, 21(15%)
minecraft.picked_up.red_stained_glass_pane: #2, 98(28%)
minecraft.picked_up.raw_copper_block: #2, 335(16%)
minecraft.picked_up.diamond_boots: #2, 113(10%)
minecraft.crafted.cookie: #2, 1920(22%)
minecraft.mined.anvil: #2, 122(13%)
minecraft.picked_up.diamond_sword: #2, 164(12%)
minecraft.picked_up.spruce_sapling: #2, 4990(13%)
minecraft.mined.black_banner: #1, 20(25%)
minecraft.crafted.purple_shulker_box: #2, 17(16%)
minecraft.used.iron_ore: #2, 1413(13%)
minecraft.mined.quartz_pillar: #2, 102(21%)
minecraft.used.light_blue_stained_glass: #2, 4396(15%)
minecraft.picked_up.cooked_chicken: #2, 1259(12%)
minecraft.used.tube_coral_block: #2, 278(24%)
minecraft.picked_up.white_concrete: #2, 6725(13%)
