stat, rank, value, (percentage) 
minecraft.picked_up.dark_oak_wood: #2, 94(20%)
minecraft.crafted.smooth_red_sandstone_slab: #1, 90(24%)
minecraft.mined.orange_glazed_terracotta: #1, 58(35%)
minecraft.picked_up.campfire: #2, 206(14%)
minecraft.crafted.glass_bottle: #2, 4440(14%)
minecraft.picked_up.leaf_litter: #2, 729(16%)
minecraft.picked_up.cocoa_beans: #3, 6949(17%)
minecraft.dropped.oak_fence: #2, 73(18%)
minecraft.used.iron_trapdoor: #2, 1300(13%)
minecraft.used.spruce_trapdoor: #2, 7641(13%)
minecraft.mined.lime_wall_banner: #1, 30(56%)
minecraft.crafted.polished_tuff_slab: #2, 470(13%)
minecraft.dropped.jungle_planks: #2, 108(17%)
minecraft.used.white_concrete: #2, 13681(14%)
minecraft.used.lime_banner: #2, 197(40%)
minecraft.mined.oak_leaves: #2, 25164(13%)
minecraft.dropped.golden_carrot: #2, 1343(10%)
minecraft.dropped.cherry_planks: #2, 72(24%)
minecraft.dropped.purpur_slab: #2, 17(24%)
minecraft.crafted.oak_stairs: #2, 520(14%)
minecraft.crafted.deepslate_tile_stairs: #2, 100(17%)
minecraft.dropped.nautilus_shell: #1, 8(24%)
minecraft.dropped.raw_gold_block: #1, 18(53%)
minecraft.mined.jungle_wood: #2, 222(31%)
minecraft.used.barrel: #1, 854(8%)
minecraft.crafted.chainmail_chestplate: #1, 8(35%)
minecraft.used.andesite_slab: #2, 1314(13%)
minecraft.used.blast_furnace: #3, 468(17%)
minecraft.used.netherite_hoe: #2, 120390(28%)
minecraft.crafted.red_sandstone_stairs: #2, 104(38%)
minecraft.used.andesite: #2, 11442(12%)
minecraft.dropped.stripped_spruce_log: #2, 50(16%)
minecraft.crafted.spruce_wood: #2, 1347(14%)
minecraft.used.orange_glazed_terracotta: #1, 49(22%)
minecraft.mined.potted_pale_oak_sapling: #1, 4(67%)
minecraft.crafted.blue_candle: #1, 640(100%)
minecraft.picked_up.mud_brick_slab: #2, 228(18%)
minecraft.picked_up.birch_leaves: #3, 20706(16%)
minecraft.mined.exposed_cut_copper_slab: #2, 29(27%)
minecraft.mined.weathered_copper_door: #1, 29(97%)
minecraft.picked_up.weathered_copper_door: #1, 29(97%)
minecraft.crafted.black_shulker_box: #2, 16(15%)
minecraft.crafted.gray_wool: #2, 1032(17%)
minecraft.killed.mule: #1, 15(94%)
minecraft.picked_up.tuff_stairs: #2, 70(22%)
minecraft.crafted.cod_bucket: #1, 54(93%)
minecraft.picked_up.exposed_cut_copper_slab: #2, 29(24%)
minecraft.used.waxed_weathered_copper: #2, 626(24%)
minecraft.dropped.snow_block: #2, 541(18%)
minecraft.dropped.waxed_weathered_copper_trapdoor: #1, 24(92%)
minecraft.picked_up.oak_leaves: #2, 19656(11%)
minecraft.mined.bamboo_fence: #2, 188(15%)
minecraft.used.black_stained_glass_pane: #2, 1109(13%)
minecraft.mined.mud_brick_slab: #2, 131(16%)
minecraft.mined.cake: #1, 3(60%)
minecraft.mined.spore_blossom: #2, 100(16%)
minecraft.picked_up.cherry_leaves: #2, 3694(13%)
minecraft.crafted.cobbled_deepslate_wall: #2, 192(20%)
minecraft.crafted.furnace: #2, 798(11%)
minecraft.dropped.cod_bucket: #1, 18(86%)
minecraft.crafted.waxed_oxidized_copper_door: #1, 36(86%)
minecraft.dropped.ice: #2, 285(18%)
minecraft.mined.pumpkin: #2, 4448(11%)
minecraft.custom.interact_with_smithing_table: #2, 135(10%)
minecraft.crafted.white_concrete_powder: #3, 19200(16%)
minecraft.used.jungle_wood: #2, 1254(22%)
minecraft.mined.tuff_stairs: #2, 40(21%)
minecraft.used.cyan_terracotta: #2, 9318(12%)
minecraft.dropped.light_gray_dye: #2, 40(16%)
minecraft.crafted.gray_stained_glass_pane: #2, 1168(18%)
