stat, rank, value, (percentage) 
minecraft.used.brown_egg: #4, 1(0%)
minecraft.picked_up.grass_block: #5, 49280(4%)
minecraft.killed.guardian: #5, 15(7%)
minecraft.crafted.sea_lantern: #4, 4(0%)
minecraft.used.orange_bed: #5, 12(6%)
minecraft.crafted.yellow_banner: #5, 34(8%)
minecraft.picked_up.purpur_slab: #5, 45(4%)
minecraft.crafted.polished_blackstone_pressure_plate: #5, 16(10%)
minecraft.crafted.cyan_stained_glass_pane: #5, 256(7%)
minecraft.used.dark_prismarine_stairs: #5, 73(7%)
minecraft.mined.short_dry_grass: #5, 98(8%)
minecraft.crafted.iron_helmet: #6, 12(8%)
minecraft.mined.granite_stairs: #5, 7(6%)
minecraft.dropped.dark_oak_planks: #5, 69(4%)
minecraft.mined.black_bed: #5, 42(6%)
minecraft.dropped.leather_helmet: #6, 18(7%)
minecraft.picked_up.stone_pressure_plate: #5, 101(4%)
minecraft.mined.diorite_stairs: #5, 15(8%)
minecraft.used.pink_concrete_powder: #5, 413(5%)
minecraft.used.cracked_stone_bricks: #5, 262(5%)
minecraft.used.yellow_concrete: #5, 922(4%)
minecraft.picked_up.pale_oak_stairs: #5, 22(7%)
minecraft.picked_up.cooked_chicken: #5, 356(3%)
minecraft.used.mace: #6, 1306(6%)
minecraft.dropped.rabbit_hide: #5, 7(8%)
minecraft.mined.cherry_trapdoor: #5, 19(4%)
minecraft.crafted.mangrove_planks: #6, 4532(7%)
minecraft.used.magenta_banner: #5, 1(14%)
minecraft.killed_by.wither_skeleton: #5, 1(14%)
minecraft.used.green_concrete: #5, 255(5%)
minecraft.mined.bush: #5, 145(9%)
minecraft.crafted.chiseled_copper: #5, 36(8%)
minecraft.used.pale_oak_planks: #5, 291(5%)
minecraft.dropped.magma_block: #5, 55(5%)
minecraft.killed_by.bogged: #5, 1(17%)
minecraft.crafted.brick_wall: #5, 30(6%)
minecraft.picked_up.crimson_trapdoor: #5, 30(6%)
minecraft.dropped.dark_oak_boat: #5, 2(12%)
minecraft.mined.spruce_planks: #6, 915(7%)
minecraft.picked_up.polished_deepslate_wall: #6, 127(8%)
minecraft.used.oak_leaves: #5, 3645(3%)
minecraft.picked_up.short_dry_grass: #5, 97(7%)
minecraft.picked_up.iron_nugget: #6, 695(6%)
minecraft.crafted.gold_block: #5, 254(4%)
minecraft.mined.polished_tuff: #6, 788(7%)
minecraft.mined.birch_stairs: #5, 25(4%)
minecraft.crafted.conduit: #5, 2(10%)
minecraft.picked_up.jungle_button: #5, 17(7%)
minecraft.picked_up.stripped_jungle_wood: #5, 90(5%)
minecraft.picked_up.music_disc_strad: #5, 6(9%)
minecraft.used.minecart: #6, 221(7%)
minecraft.picked_up.verdant_froglight: #5, 1749(4%)
minecraft.dropped.rabbit: #5, 11(5%)
minecraft.used.light_blue_wool: #5, 324(4%)
minecraft.used.tall_dry_grass: #5, 19(7%)
minecraft.used.smooth_basalt: #5, 667(3%)
minecraft.dropped.golden_sword: #5, 64(4%)
minecraft.custom.damage_dealt: #6, 2745893(4%)
minecraft.used.orange_concrete: #5, 819(5%)
minecraft.picked_up.tnt_minecart: #5, 10(7%)
minecraft.custom.inspect_hopper: #6, 5255(7%)
minecraft.picked_up.red_banner: #5, 16(5%)
minecraft.crafted.black_banner: #5, 59(4%)
minecraft.dropped.dark_oak_trapdoor: #5, 32(5%)
minecraft.used.orange_concrete_powder: #5, 774(4%)
minecraft.crafted.emerald_block: #5, 934(3%)
minecraft.crafted.blackstone_slab: #5, 72(5%)
minecraft.used.purpur_slab: #5, 42(6%)
minecraft.used.acacia_planks: #5, 384(4%)
minecraft.picked_up.netherite_hoe: #5, 8(6%)
minecraft.mined.mangrove_wall_hanging_sign: #5, 1(8%)
minecraft.crafted.orange_carpet: #5, 228(5%)
minecraft.mined.acacia_planks: #6, 78(8%)
minecraft.crafted.quartz_bricks: #5, 32(6%)
minecraft.used.jungle_pressure_plate: #5, 4(6%)
minecraft.used.snow: #5, 2987(4%)
minecraft.used.waxed_copper_trapdoor: #5, 99(4%)
minecraft.mined.yellow_glazed_terracotta: #5, 17(7%)
minecraft.mined.red_stained_glass_pane: #5, 13(6%)
minecraft.crafted.cobbled_deepslate_wall: #5, 44(4%)
minecraft.dropped.pufferfish: #5, 15(3%)
minecraft.dropped.acacia_planks: #5, 29(4%)
minecraft.picked_up.diorite_slab: #5, 36(4%)
minecraft.picked_up.ward_armor_trim_smithing_template: #5, 2(8%)
minecraft.picked_up.red_stained_glass_pane: #5, 18(5%)
minecraft.mined.pale_oak_slab: #5, 21(5%)
minecraft.crafted.cherry_planks: #6, 2552(7%)
minecraft.used.verdant_froglight: #5, 1419(3%)
minecraft.picked_up.gray_banner: #5, 5(6%)
minecraft.mined.purpur_pillar: #5, 57(3%)
minecraft.mined.purple_terracotta: #5, 54(5%)
minecraft.used.dropper: #6, 492(6%)
minecraft.dropped.sugar_cane: #5, 739(3%)
minecraft.dropped.packed_ice: #5, 112(4%)
minecraft.killed_by.stray: #5, 29(5%)
minecraft.crafted.quartz_block: #5, 2530(3%)
minecraft.mined.oxidized_copper_bulb: #5, 14(4%)
minecraft.crafted.minecart: #6, 248(6%)
minecraft.mined.daylight_detector: #5, 8(4%)
minecraft.picked_up.birch_stairs: #5, 25(3%)
minecraft.mined.gray_terracotta: #5, 55(4%)
minecraft.used.purple_dye: #5, 6(6%)
minecraft.dropped.sugar: #5, 696(3%)
minecraft.dropped.acacia_sign: #5, 2(6%)
minecraft.mined.orange_concrete: #5, 539(4%)
minecraft.used.iron_hoe: #6, 445(7%)
minecraft.used.stick: #5, 1(9%)
minecraft.picked_up.sea_pickle: #6, 707(6%)
minecraft.used.stripped_jungle_wood: #5, 74(4%)
minecraft.crafted.waxed_copper_bulb: #5, 78(5%)
minecraft.dropped.calcite: #6, 129(8%)
minecraft.mined.warped_fence_gate: #5, 4(6%)
minecraft.mined.cave_vines_plant: #6, 25(7%)
minecraft.crafted.magenta_dye: #5, 390(2%)
minecraft.used.allium: #5, 18(4%)
minecraft.picked_up.beef: #6, 1885(6%)
minecraft.picked_up.yellow_glazed_terracotta: #5, 17(6%)
minecraft.mined.cracked_deepslate_bricks: #5, 12(6%)
minecraft.crafted.diamond_axe: #6, 8(6%)
minecraft.picked_up.soul_sand: #6, 1726(6%)
minecraft.mined.flower_pot: #6, 20(7%)
minecraft.dropped.jungle_button: #5, 4(7%)
minecraft.crafted.barrel: #6, 587(6%)
minecraft.picked_up.oak_slab: #6, 256(6%)
minecraft.used.iron_pickaxe: #6, 3127(6%)
minecraft.picked_up.cauldron: #6, 25(6%)
minecraft.crafted.cobbled_deepslate_slab: #6, 730(8%)
minecraft.picked_up.netherite_helmet: #6, 19(7%)
minecraft.mined.prismarine_bricks: #5, 481(3%)
minecraft.picked_up.smooth_quartz_slab: #6, 201(7%)
minecraft.picked_up.glass_pane: #6, 182(6%)
minecraft.picked_up.obsidian: #6, 1323(6%)
minecraft.dropped.polished_blackstone: #5, 3(6%)
minecraft.dropped.spruce_button: #5, 13(3%)
minecraft.picked_up.gray_carpet: #6, 353(6%)
minecraft.used.mangrove_fence_gate: #5, 17(4%)
minecraft.crafted.stone_pressure_plate: #6, 218(6%)
minecraft.used.pale_oak_pressure_plate: #5, 4(9%)
minecraft.picked_up.crimson_roots: #5, 493(2%)
minecraft.dropped.gold_ore: #5, 4(4%)
minecraft.used.gold_block: #6, 659(6%)
minecraft.used.bookshelf: #6, 214(6%)
minecraft.picked_up.clay: #6, 1706(6%)
minecraft.mined.white_stained_glass_pane: #6, 71(7%)
minecraft.dropped.spruce_trapdoor: #6, 167(7%)
minecraft.used.orange_carpet: #6, 150(8%)
minecraft.picked_up.jungle_slab: #6, 150(6%)
minecraft.mined.snow: #5, 11654(2%)
minecraft.picked_up.lime_stained_glass_pane: #5, 27(4%)
minecraft.used.stripped_mangrove_wood: #5, 34(4%)
minecraft.picked_up.pale_oak_trapdoor: #6, 50(7%)
minecraft.picked_up.crimson_hyphae: #5, 7(4%)
minecraft.dropped.crimson_roots: #5, 31(3%)
minecraft.dropped.yellow_wool: #5, 73(2%)
minecraft.mined.composter: #6, 133(6%)
minecraft.dropped.white_dye: #6, 124(6%)
minecraft.picked_up.beehive: #5, 136(2%)
minecraft.crafted.bamboo_slab: #6, 4074(7%)
minecraft.picked_up.emerald_block: #6, 679(6%)
minecraft.crafted.yellow_bed: #5, 3(3%)
minecraft.mined.potted_mangrove_propagule: #5, 1(8%)
minecraft.crafted.ender_pearl: #5, 24(5%)
minecraft.crafted.silence_armor_trim_smithing_template: #5, 8(5%)
minecraft.dropped.water_bucket: #6, 26(6%)
minecraft.picked_up.end_crystal: #5, 4(6%)
minecraft.picked_up.exposed_cut_copper: #5, 5(3%)
minecraft.crafted.pale_oak_planks: #6, 2663(6%)
minecraft.mined.brain_coral: #5, 17(2%)
minecraft.mined.pink_wool: #5, 20(3%)
minecraft.picked_up.pale_oak_door: #5, 3(4%)
minecraft.picked_up.netherite_shovel: #6, 22(7%)
minecraft.mined.pale_oak_trapdoor: #6, 47(7%)
minecraft.picked_up.brown_stained_glass_pane: #5, 6(4%)
minecraft.mined.oxidized_copper_grate: #5, 35(2%)
minecraft.crafted.red_nether_brick_stairs: #5, 4(5%)
minecraft.crafted.light_blue_banner: #5, 7(3%)
minecraft.mined.white_concrete: #6, 5153(5%)
minecraft.crafted.polished_tuff_stairs: #6, 49(6%)
minecraft.picked_up.activator_rail: #5, 46(2%)
minecraft.used.blue_stained_glass: #5, 104(3%)
minecraft.crafted.oak_slab: #6, 1932(5%)
minecraft.mined.verdant_froglight: #5, 160(2%)
minecraft.picked_up.spider_eye: #6, 2994(5%)
minecraft.dropped.clay: #6, 76(6%)
minecraft.picked_up.horn_coral: #5, 19(2%)
minecraft.picked_up.warped_fence_gate: #5, 5(4%)
minecraft.used.bread: #5, 158(1%)
minecraft.used.oxidized_copper_door: #6, 7(9%)
minecraft.mined.pale_oak_door: #5, 2(5%)
minecraft.used.beef: #5, 3(5%)
minecraft.killed.cow: #6, 586(5%)
minecraft.mined.cherry_hanging_sign: #5, 1(6%)
minecraft.mined.leaf_litter: #6, 109(6%)
minecraft.dropped.armor_stand: #6, 23(6%)
minecraft.mined.bamboo_mosaic_slab: #5, 6(5%)
minecraft.dropped.magenta_concrete_powder: #5, 1(5%)
minecraft.picked_up.light_blue_stained_glass_pane: #5, 14(2%)
minecraft.mined.exposed_cut_copper: #5, 4(2%)
minecraft.mined.fire_coral: #5, 15(2%)
minecraft.dropped.carved_pumpkin: #6, 57(5%)
minecraft.picked_up.netherite_axe: #6, 19(6%)
minecraft.mined.bamboo_slab: #6, 113(7%)
minecraft.crafted.warped_trapdoor: #6, 156(7%)
minecraft.crafted.oak_planks: #6, 16647(5%)
minecraft.used.acacia_stairs: #6, 181(7%)
minecraft.picked_up.stone_brick_slab: #6, 599(6%)
minecraft.mined.smooth_basalt: #6, 543(5%)
minecraft.used.iron_chestplate: #6, 3(9%)
minecraft.mined.blue_stained_glass_pane: #5, 1(5%)
minecraft.dropped.gold_ingot: #6, 532(5%)
minecraft.used.end_crystal: #5, 7(4%)
minecraft.mined.pink_stained_glass: #5, 8(3%)
minecraft.picked_up.birch_trapdoor: #6, 34(7%)
minecraft.mined.jungle_wall_hanging_sign: #5, 1(4%)
minecraft.crafted.lectern: #6, 121(6%)
minecraft.crafted.gray_banner: #5, 7(2%)
minecraft.used.pufferfish: #5, 1(3%)
minecraft.used.diamond_leggings: #6, 12(6%)
minecraft.picked_up.brewing_stand: #6, 50(5%)
minecraft.used.sugar: #5, 2(3%)
minecraft.picked_up.string: #6, 3826(4%)
minecraft.picked_up.leather: #6, 1855(5%)
minecraft.crafted.oak_wood: #6, 603(6%)
minecraft.crafted.birch_wood: #5, 57(1%)
minecraft.picked_up.smooth_basalt: #6, 590(5%)
minecraft.crafted.yellow_stained_glass_pane: #5, 144(2%)
minecraft.mined.exposed_chiseled_copper: #5, 2(2%)
minecraft.dropped.diorite_slab: #5, 10(3%)
minecraft.picked_up.gold_block: #6, 437(5%)
minecraft.dropped.diamond: #6, 525(5%)
minecraft.used.iron_bars: #6, 1131(5%)
minecraft.picked_up.cut_copper_stairs: #5, 9(2%)
minecraft.used.birch_wood: #5, 45(1%)
minecraft.picked_up.lime_carpet: #5, 42(1%)
minecraft.killed.bee: #6, 19(9%)
minecraft.crafted.magenta_stained_glass_pane: #5, 48(2%)
minecraft.crafted.netherite_scrap: #6, 55(8%)
minecraft.dropped.oak_leaves: #6, 387(5%)
minecraft.used.purple_stained_glass_pane: #5, 62(1%)
minecraft.used.polished_basalt: #6, 570(6%)
minecraft.used.chorus_flower: #5, 15(1%)
minecraft.used.waxed_oxidized_copper_door: #5, 1(3%)
minecraft.crafted.beacon: #5, 4(1%)
minecraft.dropped.green_terracotta: #5, 1(3%)
minecraft.picked_up.glow_berries: #6, 277(5%)
minecraft.crafted.polished_blackstone_slab: #5, 36(1%)
minecraft.dropped.stripped_acacia_log: #5, 1(3%)
minecraft.mined.dead_horn_coral_block: #5, 10(2%)
minecraft.mined.bee_nest: #6, 33(5%)
minecraft.mined.magma_block: #6, 1876(5%)
minecraft.picked_up.magma_block: #6, 1816(5%)
minecraft.picked_up.pale_oak_fence_gate: #5, 1(2%)
minecraft.used.yellow_glazed_terracotta: #5, 48(1%)
minecraft.picked_up.cyan_dye: #6, 57(4%)
minecraft.picked_up.quartz_bricks: #5, 7(1%)
minecraft.picked_up.dead_horn_coral_block: #5, 12(1%)
minecraft.used.purpur_stairs: #5, 17(1%)
minecraft.picked_up.bamboo_slab: #6, 368(6%)
minecraft.dropped.deepslate_gold_ore: #5, 9(1%)
minecraft.crafted.oak_button: #6, 35(5%)
minecraft.dropped.oak_wood: #5, 1(2%)
minecraft.dropped.oak_fence: #6, 24(6%)
minecraft.dropped.orange_concrete_powder: #5, 1(2%)
minecraft.picked_up.black_carpet: #5, 130(0%)
minecraft.dropped.target: #5, 3(1%)
minecraft.crafted.crimson_fence_gate: #5, 1(1%)
minecraft.dropped.cyan_terracotta: #6, 83(8%)
minecraft.mined.purple_stained_glass_pane: #5, 6(1%)
minecraft.picked_up.chainmail_chestplate: #6, 6(5%)
minecraft.picked_up.crying_obsidian: #6, 238(5%)
minecraft.crafted.crimson_trapdoor: #6, 122(7%)
minecraft.mined.player_wall_head: #6, 29(5%)
minecraft.crafted.composter: #6, 324(4%)
minecraft.picked_up.purple_concrete_powder: #5, 9(1%)
minecraft.killed.donkey: #5, 1(1%)
minecraft.dropped.purple_concrete_powder: #5, 1(1%)
minecraft.crafted.tnt: #6, 1844(5%)
minecraft.mined.wither_rose: #5, 6(1%)
minecraft.picked_up.calcite: #6, 1624(4%)
minecraft.crafted.glow_item_frame: #6, 191(6%)
minecraft.dropped.brown_concrete_powder: #5, 1(1%)
minecraft.crafted.bowl: #5, 4(1%)
minecraft.mined.infested_deepslate: #6, 13(7%)
minecraft.dropped.porkchop: #5, 39(0%)
minecraft.dropped.diamond_block: #6, 75(4%)
minecraft.picked_up.mangrove_sign: #6, 20(6%)
minecraft.mined.dirt: #6, 59281(4%)
minecraft.mined.calcite: #6, 1431(4%)
minecraft.dropped.iron_sword: #6, 15(5%)
minecraft.mined.lime_concrete: #6, 446(6%)
minecraft.picked_up.deepslate_tile_wall: #6, 95(5%)
minecraft.dropped.yellow_concrete: #5, 11(0%)
minecraft.crafted.prismarine_bricks: #5, 55(0%)
minecraft.dropped.pink_concrete: #5, 3(0%)
minecraft.killed.drowned: #5, 716(0%)
minecraft.mined.cut_red_sandstone_slab: #5, 1(0%)
minecraft.used.crimson_trapdoor: #6, 144(6%)
minecraft.dropped.diamond_ore: #6, 1(14%)
minecraft.picked_up.wooden_sword: #6, 21(6%)
minecraft.mined.raw_copper_block: #6, 11(5%)
minecraft.dropped.jungle_slab: #6, 39(7%)
minecraft.killed.iron_golem: #6, 22(5%)
minecraft.mined.diorite_slab: #6, 29(6%)
minecraft.used.bamboo_fence: #6, 242(5%)
minecraft.used.brown_dye: #6, 15(5%)
minecraft.mined.pale_oak_stairs: #6, 21(8%)
minecraft.used.bamboo_pressure_plate: #6, 10(10%)
minecraft.dropped.stone_bricks: #6, 203(4%)
minecraft.mined.deepslate_coal_ore: #6, 24(6%)
minecraft.dropped.spruce_pressure_plate: #6, 3(8%)
minecraft.crafted.purple_shulker_box: #6, 5(5%)
minecraft.crafted.spyglass: #6, 5(6%)
minecraft.used.cooked_chicken: #6, 249(3%)
minecraft.crafted.cyan_concrete_powder: #6, 664(5%)
minecraft.custom.damage_absorbed: #6, 1376(5%)
minecraft.used.yellow_concrete_powder: #6, 1097(4%)
minecraft.picked_up.gray_stained_glass: #6, 76(6%)
minecraft.crafted.birch_fence: #6, 123(5%)
minecraft.used.dark_oak_sign: #6, 46(4%)
minecraft.crafted.brick_slab: #6, 32(6%)
minecraft.dropped.snow_block: #6, 172(6%)
minecraft.mined.stripped_bamboo_block: #6, 105(5%)
minecraft.picked_up.green_terracotta: #6, 81(5%)
minecraft.picked_up.stripped_bamboo_block: #6, 105(5%)
minecraft.picked_up.coal_ore: #6, 2986(4%)
minecraft.dropped.wind_charge: #6, 257(5%)
minecraft.dropped.light_gray_stained_glass_pane: #6, 20(7%)
minecraft.crafted.polished_diorite_stairs: #6, 16(9%)
minecraft.mined.chiseled_copper: #6, 10(6%)
minecraft.mined.waxed_oxidized_copper_bulb: #6, 8(5%)
minecraft.crafted.field_masoned_banner_pattern: #6, 1(12%)
minecraft.mined.cherry_planks: #6, 41(6%)
minecraft.crafted.raw_copper: #6, 8244(4%)
minecraft.dropped.iron_boots: #6, 33(4%)
minecraft.used.firefly_bush: #6, 72(5%)
minecraft.dropped.bricks: #6, 65(6%)
minecraft.picked_up.enchanted_golden_apple: #6, 19(5%)
minecraft.mined.mossy_stone_brick_stairs: #6, 5(6%)
minecraft.picked_up.yellow_dye: #6, 110(3%)
minecraft.picked_up.golden_sword: #6, 68(4%)
minecraft.mined.seagrass: #7, 598(7%)
minecraft.used.deepslate_diamond_ore: #6, 711(3%)
minecraft.picked_up.spectral_arrow: #6, 630(4%)
minecraft.used.light_blue_concrete_powder: #6, 1073(4%)
minecraft.used.daylight_detector: #6, 117(4%)
minecraft.used.stone_brick_slab: #6, 780(3%)
minecraft.used.andesite_stairs: #6, 86(4%)
minecraft.crafted.pale_oak_hanging_sign: #6, 6(11%)
minecraft.picked_up.oak_sapling: #6, 1076(3%)
minecraft.used.terracotta: #6, 1410(3%)
minecraft.picked_up.pink_candle: #6, 14(8%)
minecraft.picked_up.chiseled_copper: #6, 16(5%)
minecraft.dropped.iron_door: #6, 5(6%)
minecraft.mined.copper_block: #6, 109(3%)
minecraft.used.smithing_table: #7, 291(7%)
minecraft.crafted.blackstone_wall: #6, 24(6%)
minecraft.used.cooked_cod: #6, 162(3%)
minecraft.mined.stripped_jungle_wood: #6, 77(4%)
minecraft.mined.hopper: #7, 701(7%)
minecraft.picked_up.acacia_stairs: #6, 27(4%)
minecraft.crafted.jungle_hanging_sign: #6, 12(7%)
minecraft.used.oxidized_copper_bulb: #6, 27(5%)
minecraft.crafted.orange_shulker_box: #6, 12(3%)
minecraft.mined.snow_block: #6, 784(3%)
minecraft.mined.jungle_planks: #6, 99(3%)
minecraft.dropped.scaffolding: #7, 694(7%)
minecraft.picked_up.red_stained_glass: #6, 107(5%)
minecraft.used.hanging_roots: #6, 18(5%)
minecraft.picked_up.purple_stained_glass: #6, 103(5%)
minecraft.used.pink_tulip: #6, 9(4%)
minecraft.killed.elder_guardian: #6, 6(6%)
minecraft.picked_up.daylight_detector: #6, 15(4%)
minecraft.dropped.leather_boots: #7, 32(6%)
minecraft.used.black_banner: #6, 40(4%)
minecraft.crafted.magenta_concrete_powder: #6, 592(4%)
minecraft.picked_up.enchanted_book: #7, 90(6%)
minecraft.picked_up.red_sandstone: #6, 50(3%)
minecraft.picked_up.jungle_wood: #6, 63(5%)
minecraft.crafted.mangrove_wood: #6, 231(3%)
minecraft.dropped.honey_bottle: #6, 19(3%)
minecraft.picked_up.small_dripleaf: #6, 15(5%)
minecraft.mined.dark_oak_wood: #6, 18(3%)
minecraft.mined.yellow_concrete: #6, 751(3%)
minecraft.picked_up.map: #6, 33(4%)
minecraft.picked_up.tuff_wall: #6, 37(4%)
minecraft.used.conduit: #6, 2(6%)
minecraft.crafted.warped_door: #6, 3(6%)
minecraft.crafted.smithing_table: #7, 300(6%)
minecraft.picked_up.sheaf_pottery_sherd: #6, 2(7%)
minecraft.crafted.yellow_carpet: #6, 221(4%)
minecraft.picked_up.dark_oak_sign: #6, 17(3%)
minecraft.crafted.charcoal: #6, 329(2%)
minecraft.picked_up.deepslate_coal_ore: #6, 21(4%)
minecraft.used.yellow_bed: #6, 28(3%)
minecraft.mined.soul_sand: #7, 1414(6%)
minecraft.crafted.granite_wall: #6, 42(4%)
minecraft.picked_up.cracked_stone_bricks: #6, 229(3%)
minecraft.picked_up.glow_ink_sac: #7, 283(6%)
minecraft.mined.cocoa: #7, 137(7%)
minecraft.dropped.cooked_beef: #7, 211(5%)
minecraft.crafted.red_stained_glass_pane: #6, 144(4%)
minecraft.picked_up.iron_helmet: #7, 11(6%)
minecraft.picked_up.honey_bottle: #7, 121(7%)
minecraft.dropped.leather: #6, 156(2%)
minecraft.mined.waxed_oxidized_copper_door: #6, 3(7%)
minecraft.crafted.bone_meal: #7, 87147(6%)
minecraft.picked_up.lever: #7, 552(6%)
minecraft.crafted.oak_pressure_plate: #6, 5(3%)
minecraft.mined.dark_oak_sapling: #6, 11(2%)
minecraft.killed.pig: #6, 24(2%)
minecraft.used.pink_banner: #6, 7(3%)
minecraft.mined.warped_sign: #6, 2(7%)
minecraft.used.jungle_hanging_sign: #6, 7(6%)
minecraft.mined.stone_pressure_plate: #6, 50(2%)
minecraft.picked_up.stripped_warped_hyphae: #6, 19(4%)
minecraft.dropped.kelp: #6, 347(2%)
minecraft.crafted.brown_banner: #6, 24(3%)
minecraft.used.brown_candle: #6, 22(4%)
minecraft.mined.mossy_stone_bricks: #6, 103(2%)
minecraft.used.horn_coral_block: #6, 30(3%)
minecraft.mined.yellow_carpet: #6, 23(3%)
minecraft.mined.stripped_warped_hyphae: #6, 19(4%)
minecraft.picked_up.crimson_fungus: #6, 84(2%)
minecraft.used.dirt: #7, 47854(5%)
minecraft.picked_up.hopper: #7, 696(6%)
minecraft.crafted.jungle_door: #6, 6(4%)
minecraft.mined.smooth_stone: #6, 494(2%)
minecraft.mined.smooth_quartz: #6, 206(2%)
minecraft.picked_up.pale_oak_slab: #6, 25(3%)
minecraft.mined.chorus_plant: #6, 28(2%)
minecraft.used.stripped_warped_hyphae: #6, 19(4%)
minecraft.picked_up.crimson_planks: #6, 33(2%)
minecraft.dropped.yellow_terracotta: #6, 15(4%)
minecraft.dropped.purple_dye: #6, 9(3%)
minecraft.dropped.cherry_sapling: #6, 20(3%)
minecraft.used.white_concrete: #7, 5964(6%)
minecraft.picked_up.lightning_rod: #7, 142(6%)
minecraft.picked_up.gray_bundle: #6, 1(6%)
minecraft.crafted.deepslate_brick_slab: #6, 132(2%)
minecraft.picked_up.oxidized_copper_grate: #6, 36(2%)
minecraft.picked_up.wet_sponge: #6, 300(2%)
minecraft.used.polished_granite_slab: #6, 110(4%)
minecraft.dropped.cobblestone_wall: #6, 13(3%)
minecraft.used.granite_slab: #6, 112(2%)
minecraft.crafted.iron_pickaxe: #7, 19(6%)
minecraft.dropped.rotten_flesh: #7, 5808(5%)
minecraft.crafted.soul_campfire: #6, 42(4%)
minecraft.dropped.stripped_mangrove_log: #6, 2(4%)
minecraft.used.spore_blossom: #6, 7(2%)
minecraft.dropped.mangrove_log: #6, 48(2%)
minecraft.used.lime_bed: #6, 20(2%)
minecraft.picked_up.chorus_fruit: #6, 352(1%)
minecraft.picked_up.diorite_stairs: #6, 10(3%)
minecraft.dropped.tropical_fish: #6, 6(2%)
minecraft.crafted.bamboo_raft: #6, 7(2%)
minecraft.picked_up.vine: #7, 370(6%)
minecraft.dropped.glow_item_frame: #6, 3(2%)
minecraft.used.beehive: #6, 182(2%)
minecraft.crafted.polished_blackstone_brick_slab: #6, 30(4%)
minecraft.picked_up.prismarine_bricks: #6, 459(2%)
minecraft.mined.pink_concrete_powder: #6, 7(4%)
minecraft.used.soul_soil: #7, 523(6%)
minecraft.used.hopper: #7, 2135(5%)
minecraft.dropped.birch_stairs: #6, 1(5%)
minecraft.dropped.chiseled_deepslate: #6, 2(4%)
minecraft.mined.horn_coral: #6, 19(2%)
minecraft.crafted.muddy_mangrove_roots: #6, 175(3%)
minecraft.dropped.mangrove_planks: #6, 13(2%)
minecraft.crafted.purple_stained_glass_pane: #6, 112(2%)
minecraft.picked_up.music_disc_13: #7, 22(6%)
minecraft.crafted.resin_bricks: #6, 81(4%)
minecraft.picked_up.acacia_button: #6, 3(3%)
minecraft.mined.acacia_button: #6, 3(4%)
minecraft.picked_up.bamboo_block: #6, 849(1%)
minecraft.dropped.deepslate_iron_ore: #6, 12(2%)
minecraft.crafted.light_blue_bed: #6, 2(3%)
minecraft.used.blue_orchid: #6, 11(3%)
minecraft.used.oak_fence: #7, 365(6%)
minecraft.used.warped_door: #6, 2(3%)
minecraft.dropped.raw_copper_block: #6, 27(4%)
minecraft.dropped.copper_ingot: #6, 95(2%)
minecraft.picked_up.golden_apple: #7, 48(5%)
minecraft.picked_up.oak_planks: #7, 747(5%)
minecraft.dropped.carrot: #7, 1878(5%)
minecraft.used.gray_banner: #6, 5(2%)
minecraft.used.pink_concrete: #6, 133(2%)
minecraft.picked_up.brown_concrete_powder: #6, 76(2%)
minecraft.crafted.waxed_copper_trapdoor: #6, 49(2%)
minecraft.used.red_wool: #7, 343(6%)
minecraft.used.pink_dye: #6, 4(2%)
minecraft.crafted.iron_door: #7, 21(6%)
minecraft.used.torch: #7, 9520(5%)
minecraft.dropped.spruce_log: #7, 265(6%)
minecraft.used.purple_terracotta: #6, 94(2%)
minecraft.crafted.gold_ingot: #7, 9563(5%)
minecraft.crafted.respawn_anchor: #6, 5(2%)
minecraft.crafted.oak_chest_boat: #6, 1(4%)
minecraft.picked_up.purple_stained_glass_pane: #6, 12(2%)
minecraft.picked_up.bamboo_mosaic_slab: #6, 6(3%)
minecraft.mined.peony: #7, 32(5%)
minecraft.mined.jungle_pressure_plate: #6, 1(4%)
minecraft.custom.damage_taken: #6, 1635219(1%)
minecraft.picked_up.crimson_fence_gate: #6, 1(3%)
minecraft.used.warped_fungus: #6, 95(1%)
minecraft.used.wither_skeleton_skull: #6, 15(1%)
minecraft.dropped.white_bed: #7, 8(5%)
minecraft.dropped.flow_pottery_sherd: #6, 1(2%)
minecraft.dropped.baked_potato: #7, 188(5%)
minecraft.picked_up.torch: #7, 5579(5%)
minecraft.used.nether_brick_wall: #6, 16(2%)
minecraft.picked_up.pale_oak_fence: #6, 16(2%)
minecraft.dropped.oak_slab: #7, 51(6%)
minecraft.mined.glass: #7, 1038(5%)
minecraft.dropped.crimson_nylium: #6, 2(3%)
minecraft.picked_up.mangrove_stairs: #7, 68(6%)
minecraft.dropped.redstone_ore: #6, 2(2%)
minecraft.mined.resin_clump: #6, 72(1%)
minecraft.crafted.polished_andesite: #7, 976(5%)
minecraft.picked_up.nether_star: #6, 4(1%)
minecraft.mined.polished_diorite: #7, 36(5%)
minecraft.crafted.deepslate_brick_stairs: #6, 46(1%)
minecraft.mined.prismarine: #6, 106(1%)
minecraft.picked_up.blue_orchid: #6, 101(1%)
minecraft.used.tube_coral: #6, 2(2%)
minecraft.mined.dead_brain_coral_fan: #6, 1(2%)
minecraft.picked_up.lily_pad: #7, 187(5%)
minecraft.mined.dark_oak_trapdoor: #7, 104(5%)
