stat, rank, value, (percentage) 
minecraft.used.crimson_button: #1, 70(57%)
minecraft.crafted.iron_chestplate: #2, 27(18%)
minecraft.crafted.iron_leggings: #2, 29(18%)
minecraft.used.gilded_blackstone: #1, 301(86%)
minecraft.used.heavy_core: #1, 16(57%)
minecraft.crafted.light_weighted_pressure_plate: #1, 58(29%)
minecraft.mined.birch_fence: #2, 241(23%)
minecraft.picked_up.heavy_core: #1, 21(23%)
minecraft.crafted.deepslate_tile_stairs: #1, 109(18%)
minecraft.dropped.sculk_vein: #2, 100(26%)
minecraft.used.glowstone: #1, 1209(16%)
minecraft.used.cactus_flower: #1, 34(31%)
minecraft.dropped.golden_axe: #1, 8(42%)
minecraft.used.blue_concrete_powder: #2, 1366(27%)
minecraft.mined.pale_oak_wood: #1, 73(37%)
minecraft.picked_up.warped_hanging_sign: #1, 29(37%)
minecraft.mined.tuff_bricks: #2, 5688(17%)
minecraft.dropped.deepslate_tiles: #2, 283(24%)
minecraft.used.water_bucket: #1, 7699(12%)
minecraft.used.gray_candle: #1, 52(48%)
minecraft.mined.red_stained_glass: #1, 164(22%)
minecraft.mined.grindstone: #1, 93(14%)
minecraft.mined.rail: #1, 4498(13%)
minecraft.killed.goat: #1, 263(83%)
minecraft.picked_up.dead_bush: #1, 987(17%)
minecraft.mined.polished_blackstone_button: #1, 32(25%)
minecraft.crafted.purple_stained_glass: #2, 8288(25%)
minecraft.used.lingering_potion: #1, 17(65%)
minecraft.used.orange_shulker_box: #2, 987(18%)
minecraft.picked_up.warped_slab: #2, 323(24%)
minecraft.crafted.red_bed: #2, 25(28%)
minecraft.crafted.warped_planks: #1, 4865(13%)
minecraft.used.open_eyeblossom: #1, 24(30%)
minecraft.mined.stone_button: #1, 190(14%)
minecraft.used.gray_concrete: #2, 10635(21%)
minecraft.picked_up.waxed_oxidized_chiseled_copper: #2, 97(39%)
minecraft.crafted.glass_pane: #2, 2586(18%)
minecraft.used.bundle: #2, 198(15%)
minecraft.picked_up.redstone_block: #2, 2137(17%)
minecraft.mined.stripped_oak_wood: #2, 529(22%)
minecraft.dropped.bowl: #1, 56(22%)
minecraft.mined.chiseled_tuff_bricks: #1, 658(13%)
minecraft.used.chipped_anvil: #1, 40(14%)
minecraft.used.book: #2, 448(19%)
minecraft.used.sugar_cane: #2, 2321(17%)
minecraft.picked_up.tripwire_hook: #2, 115(18%)
minecraft.used.milk_bucket: #1, 25(17%)
minecraft.picked_up.birch_fence: #2, 296(21%)
minecraft.used.blue_banner: #2, 28(38%)
minecraft.mined.smooth_quartz_stairs: #2, 372(20%)
minecraft.mined.gilded_blackstone: #1, 159(45%)
minecraft.crafted.netherite_sword: #1, 6(29%)
minecraft.mined.warped_wall_hanging_sign: #1, 17(45%)
minecraft.used.sculk_catalyst: #1, 498(52%)
minecraft.mined.cave_vines: #1, 109(14%)
minecraft.picked_up.stripped_oak_wood: #2, 527(22%)
minecraft.picked_up.written_book: #1, 72(12%)
minecraft.killed.bat: #1, 28(17%)
minecraft.dropped.oak_hanging_sign: #1, 18(62%)
minecraft.crafted.polished_blackstone_wall: #1, 180(34%)
minecraft.used.warped_roots: #2, 236(24%)
minecraft.mined.tripwire_hook: #1, 20(15%)
minecraft.picked_up.shroomlight: #1, 414(13%)
minecraft.dropped.soul_lantern: #1, 83(61%)
minecraft.crafted.polished_granite_slab: #1, 86(38%)
minecraft.used.copper_bulb: #2, 197(22%)
minecraft.picked_up.polished_deepslate_stairs: #2, 454(19%)
minecraft.picked_up.waxed_oxidized_cut_copper: #2, 884(20%)
minecraft.mined.chipped_anvil: #1, 42(12%)
minecraft.used.sculk_shrieker: #1, 21(60%)
minecraft.picked_up.pink_dye: #2, 110(16%)
minecraft.used.end_stone: #2, 1266(18%)
minecraft.used.sniffer_egg: #1, 21(42%)
minecraft.picked_up.warped_pressure_plate: #1, 11(73%)
minecraft.mined.sugar_cane: #2, 17721(16%)
minecraft.picked_up.wither_skeleton_skull: #2, 138(20%)
