stat, rank, value, (percentage) 
minecraft.mined.green_candle: #2, 3(16%)
minecraft.dropped.lectern: #3, 6(19%)
minecraft.mined.short_dry_grass: #3, 195(16%)
minecraft.mined.light_gray_concrete_powder: #4, 295(13%)
minecraft.dropped.orange_concrete_powder: #2, 10(18%)
minecraft.crafted.cut_red_sandstone_slab: #2, 22(15%)
minecraft.picked_up.mangrove_door: #3, 12(12%)
minecraft.dropped.white_carpet: #3, 66(12%)
minecraft.picked_up.dark_oak_boat: #3, 18(15%)
minecraft.crafted.light_blue_concrete_powder: #3, 2768(10%)
minecraft.mined.raw_gold_block: #2, 16(9%)
minecraft.mined.spruce_planks: #4, 1418(11%)
minecraft.picked_up.wheat_seeds: #4, 66844(10%)
minecraft.killed.cat: #3, 17(25%)
minecraft.crafted.white_carpet: #3, 681(7%)
minecraft.used.yellow_terracotta: #3, 723(8%)
minecraft.mined.wildflowers: #3, 79(12%)
minecraft.killed_by.shulker: #2, 1(25%)
minecraft.used.pumpkin: #3, 450(7%)
minecraft.picked_up.light_blue_carpet: #2, 173(6%)
minecraft.picked_up.purple_candle: #2, 8(9%)
minecraft.used.pale_oak_wood: #3, 406(12%)
minecraft.mined.mud_bricks: #4, 512(11%)
minecraft.mined.light_blue_terracotta: #3, 196(9%)
minecraft.crafted.wooden_pickaxe: #3, 3(7%)
minecraft.mined.light_blue_carpet: #2, 173(6%)
minecraft.crafted.terracotta: #2, 128(8%)
minecraft.picked_up.carrot_on_a_stick: #3, 6(15%)
minecraft.mined.oak_door: #3, 15(10%)
minecraft.used.written_book: #3, 352(7%)
minecraft.crafted.stripped_pale_oak_wood: #2, 18(17%)
minecraft.broken.wooden_hoe: #2, 1(33%)
minecraft.used.yellow_dye: #4, 111(13%)
minecraft.mined.diamond_block: #3, 219(8%)
minecraft.crafted.melon: #3, 4540(10%)
minecraft.picked_up.light_blue_concrete_powder: #3, 112(10%)
minecraft.picked_up.blue_stained_glass: #2, 84(7%)
minecraft.dropped.raw_iron_block: #2, 14(12%)
minecraft.dropped.salmon_bucket: #2, 5(19%)
minecraft.picked_up.light_blue_terracotta: #3, 195(8%)
minecraft.crafted.cyan_bed: #3, 17(10%)
minecraft.crafted.pale_oak_wood: #3, 441(11%)
minecraft.dropped.verdant_froglight: #2, 322(3%)
minecraft.crafted.wheat: #4, 10854(11%)
minecraft.dropped.stripped_acacia_wood: #2, 1(20%)
minecraft.used.glass_pane: #4, 370(10%)
minecraft.picked_up.short_dry_grass: #3, 170(13%)
minecraft.picked_up.green_candle: #2, 14(4%)
minecraft.crafted.weathered_cut_copper: #2, 20(9%)
minecraft.mined.stripped_mangrove_wood: #3, 65(8%)
minecraft.picked_up.stripped_mangrove_wood: #3, 65(8%)
minecraft.crafted.jungle_sign: #4, 114(12%)
minecraft.mined.lapis_block: #3, 118(9%)
minecraft.crafted.weathered_chiseled_copper: #2, 4(12%)
minecraft.picked_up.ward_armor_trim_smithing_template: #3, 4(15%)
minecraft.dropped.light_blue_candle: #2, 5(8%)
minecraft.picked_up.lava_bucket: #4, 71(10%)
minecraft.dropped.red_stained_glass: #2, 25(4%)
minecraft.mined.mossy_cobblestone_wall: #3, 6(13%)
minecraft.mined.blue_carpet: #3, 50(13%)
minecraft.picked_up.prismarine_slab: #3, 82(14%)
minecraft.crafted.raiser_armor_trim_smithing_template: #2, 2(7%)
minecraft.crafted.tuff_wall: #3, 120(7%)
minecraft.crafted.shaper_armor_trim_smithing_template: #2, 2(6%)
minecraft.picked_up.black_stained_glass: #3, 307(5%)
minecraft.used.yellow_carpet: #4, 476(12%)
minecraft.dropped.pink_concrete_powder: #2, 8(2%)
minecraft.used.emerald_block: #3, 421(5%)
minecraft.picked_up.black_concrete: #4, 1723(8%)
minecraft.picked_up.lectern: #4, 549(10%)
minecraft.crafted.carrot_on_a_stick: #3, 2(18%)
minecraft.dropped.medium_amethyst_bud: #2, 2(1%)
minecraft.mined.lectern: #4, 542(9%)
minecraft.mined.white_wool: #4, 296(9%)
minecraft.picked_up.heart_pottery_sherd: #3, 4(13%)
minecraft.used.golden_shovel: #2, 1(3%)
minecraft.picked_up.wildflowers: #3, 460(7%)
minecraft.crafted.lantern: #4, 647(8%)
minecraft.dropped.music_disc_5: #3, 1(33%)
minecraft.crafted.lime_bundle: #3, 1(33%)
minecraft.crafted.mojang_banner_pattern: #3, 1(25%)
minecraft.used.black_concrete_powder: #4, 5442(9%)
minecraft.picked_up.lodestone: #3, 40(14%)
minecraft.crafted.warped_hyphae: #3, 159(7%)
minecraft.used.blue_stained_glass: #3, 287(9%)
minecraft.mined.yellow_terracotta: #4, 1329(8%)
minecraft.picked_up.bush: #3, 151(9%)
minecraft.picked_up.deepslate_emerald_ore: #3, 2(12%)
minecraft.picked_up.yellow_terracotta: #4, 1341(8%)
minecraft.picked_up.magenta_candle: #3, 18(14%)
minecraft.picked_up.recovery_compass: #3, 5(28%)
minecraft.crafted.red_sandstone_stairs: #3, 28(10%)
minecraft.used.weathered_chiseled_copper: #3, 2(20%)
minecraft.used.lectern: #4, 564(8%)
minecraft.crafted.red_terracotta: #4, 1080(11%)
minecraft.mined.nether_wart_block: #4, 1915(9%)
