stat, rank, value, (percentage) 
minecraft.mined.ochre_froglight: #9, 137(4%)
minecraft.picked_up.birch_log: #9, 2153(4%)
minecraft.used.oak_fence: #9, 257(4%)
minecraft.picked_up.diamond_sword: #9, 45(3%)
minecraft.used.dark_oak_planks: #9, 857(4%)
minecraft.used.stone_stairs: #9, 268(4%)
minecraft.dropped.netherite_boots: #9, 3(5%)
minecraft.dropped.terracotta: #9, 69(4%)
minecraft.dropped.arrow: #9, 1189(3%)
minecraft.dropped.saddle: #9, 4(4%)
minecraft.picked_up.red_terracotta: #9, 1312(3%)
minecraft.used.jungle_boat: #9, 9(4%)
minecraft.dropped.stone_button: #9, 31(3%)
minecraft.mined.red_terracotta: #9, 1187(3%)
minecraft.picked_up.white_wool: #9, 1069(3%)
minecraft.broken.iron_hoe: #9, 1(8%)
minecraft.picked_up.mud_brick_wall: #9, 51(4%)
minecraft.dropped.jungle_planks: #9, 23(4%)
minecraft.crafted.writable_book: #9, 38(3%)
minecraft.used.mud: #9, 2655(3%)
minecraft.dropped.clay: #9, 38(3%)
minecraft.crafted.iron_boots: #9, 5(3%)
minecraft.crafted.dark_oak_sign: #9, 33(3%)
minecraft.picked_up.spruce_fence_gate: #9, 59(3%)
minecraft.crafted.packed_mud: #9, 2807(3%)
minecraft.mined.stripped_spruce_log: #9, 476(2%)
minecraft.picked_up.mangrove_slab: #9, 90(3%)
minecraft.used.orange_wool: #9, 109(3%)
minecraft.crafted.mud_bricks: #9, 752(3%)
minecraft.used.potion: #9, 933(2%)
minecraft.used.cyan_bed: #9, 36(3%)
minecraft.picked_up.stripped_spruce_log: #9, 489(2%)
minecraft.mined.spruce_leaves: #9, 1866(2%)
minecraft.used.jungle_planks: #9, 459(3%)
minecraft.crafted.smooth_stone: #9, 821(2%)
minecraft.custom.minecart_one_cm: #9, 3060081(2%)
minecraft.picked_up.orange_dye: #9, 19(2%)
minecraft.mined.warped_nylium: #9, 165(2%)
minecraft.dropped.bowl: #9, 9(3%)
minecraft.used.dark_oak_sign: #9, 26(2%)
minecraft.dropped.blue_dye: #9, 9(3%)
minecraft.used.stone_slab: #9, 1503(2%)
minecraft.mined.twisting_vines_plant: #9, 12(3%)
minecraft.mined.mud_brick_slab: #9, 22(3%)
minecraft.dropped.birch_sign: #9, 4(2%)
minecraft.killed.skeleton: #9, 1143(2%)
minecraft.broken.stone_pickaxe: #9, 2(4%)
minecraft.crafted.copper_grate: #9, 44(3%)
minecraft.mined.dark_oak_fence_gate: #9, 7(3%)
minecraft.crafted.andesite_slab: #9, 126(2%)
minecraft.mined.jungle_trapdoor: #9, 20(2%)
minecraft.used.terracotta: #9, 783(2%)
minecraft.used.tuff_wall: #9, 103(3%)
minecraft.mined.acacia_wood: #9, 18(2%)
minecraft.crafted.mud_brick_wall: #9, 66(2%)
minecraft.dropped.brown_dye: #9, 12(2%)
minecraft.picked_up.blue_concrete: #9, 64(2%)
minecraft.picked_up.pale_oak_sapling: #9, 153(2%)
minecraft.mined.heavy_weighted_pressure_plate: #9, 2(3%)
minecraft.mined.stripped_spruce_wood: #9, 59(2%)
minecraft.picked_up.cyan_dye: #9, 20(2%)
minecraft.killed.sheep: #9, 64(1%)
minecraft.mined.pale_oak_planks: #9, 18(2%)
minecraft.dropped.weeping_vines: #9, 3(3%)
minecraft.used.bowl: #9, 1(4%)
minecraft.dropped.bread: #9, 252(2%)
minecraft.crafted.emerald_block: #9, 467(2%)
minecraft.picked_up.amethyst_cluster: #9, 80(2%)
minecraft.custom.sneak_time: #11, 5126153(4%)
minecraft.used.spruce_stairs: #10, 886(5%)
minecraft.picked_up.diorite_wall: #9, 13(2%)
minecraft.used.cracked_stone_bricks: #9, 92(2%)
minecraft.picked_up.cobblestone_stairs: #9, 51(1%)
minecraft.used.bamboo_hanging_sign: #9, 3(2%)
minecraft.used.warped_slab: #9, 136(2%)
minecraft.mined.mangrove_wood: #9, 8(2%)
minecraft.picked_up.cyan_banner: #9, 2(2%)
minecraft.used.mangrove_wood: #9, 94(2%)
minecraft.mined.pale_oak_wall_sign: #9, 2(2%)
minecraft.crafted.cyan_banner: #9, 6(2%)
minecraft.dropped.cyan_shulker_box: #9, 1(3%)
minecraft.dropped.lily_of_the_valley: #9, 3(2%)
minecraft.used.lime_concrete: #9, 79(2%)
minecraft.used.cyan_dye: #9, 5(2%)
minecraft.used.redstone_ore: #9, 19(1%)
minecraft.crafted.brick: #9, 1271(1%)
minecraft.used.light_gray_stained_glass_pane: #9, 87(1%)
minecraft.picked_up.golden_carrot: #10, 2010(3%)
minecraft.used.purple_wool: #9, 22(1%)
minecraft.picked_up.red_banner: #9, 5(1%)
minecraft.picked_up.open_eyeblossom: #9, 6(2%)
minecraft.crafted.spruce_pressure_plate: #9, 5(1%)
minecraft.picked_up.music_disc_relic: #9, 1(2%)
minecraft.used.stripped_acacia_wood: #9, 11(2%)
minecraft.crafted.jungle_boat: #9, 3(1%)
minecraft.mined.black_bed: #9, 9(1%)
minecraft.dropped.rabbit: #9, 3(1%)
minecraft.mined.stripped_pale_oak_log: #9, 37(1%)
minecraft.used.orange_concrete_powder: #9, 222(1%)
minecraft.crafted.dark_oak_fence_gate: #9, 16(1%)
minecraft.picked_up.stripped_pale_oak_log: #9, 36(1%)
minecraft.crafted.raw_iron: #9, 126(1%)
minecraft.used.bubble_coral_fan: #9, 3(2%)
minecraft.crafted.red_shulker_box: #9, 6(1%)
minecraft.used.music_disc_otherside: #9, 2(2%)
minecraft.crafted.mangrove_door: #10, 9(7%)
minecraft.broken.stone_hoe: #9, 1(2%)
minecraft.used.dark_oak_sapling: #9, 185(1%)
minecraft.mined.amethyst_block: #10, 703(5%)
minecraft.used.cyan_banner: #9, 2(1%)
minecraft.dropped.brown_wool: #9, 3(1%)
minecraft.picked_up.sculk_catalyst: #9, 8(1%)
minecraft.picked_up.angler_pottery_sherd: #9, 1(2%)
minecraft.dropped.sea_pickle: #9, 16(1%)
minecraft.used.totem_of_undying: #9, 3(1%)
minecraft.dropped.iron_door: #9, 1(1%)
minecraft.dropped.nether_quartz_ore: #9, 3(1%)
minecraft.crafted.baked_potato: #9, 28(1%)
minecraft.mined.sculk_sensor: #9, 25(1%)
minecraft.picked_up.twisting_vines: #9, 26(1%)
minecraft.dropped.white_stained_glass: #9, 4(1%)
minecraft.mined.purple_wool: #9, 4(1%)
minecraft.picked_up.purple_terracotta: #9, 11(1%)
minecraft.picked_up.stripped_cherry_log: #9, 14(1%)
minecraft.mined.orange_wall_banner: #9, 1(1%)
minecraft.dropped.end_rod: #9, 6(1%)
minecraft.crafted.orange_concrete_powder: #9, 144(1%)
minecraft.picked_up.beehive: #9, 35(1%)
minecraft.mined.verdant_froglight: #9, 46(0%)
minecraft.picked_up.respawn_anchor: #9, 1(1%)
minecraft.dropped.light_gray_carpet: #9, 1(1%)
minecraft.picked_up.allium: #9, 27(0%)
minecraft.dropped.muddy_mangrove_roots: #9, 2(1%)
minecraft.mined.cracked_stone_bricks: #9, 14(0%)
minecraft.mined.pale_oak_fence: #9, 2(1%)
minecraft.dropped.warped_fungus: #9, 2(1%)
minecraft.crafted.pink_stained_glass: #9, 32(1%)
minecraft.used.stripped_birch_wood: #9, 23(0%)
minecraft.dropped.orange_wool: #9, 2(1%)
minecraft.dropped.white_concrete_powder: #9, 4(1%)
minecraft.used.stripped_acacia_log: #9, 25(0%)
minecraft.dropped.warped_stem: #9, 3(1%)
minecraft.dropped.brown_terracotta: #9, 1(1%)
minecraft.picked_up.grindstone: #10, 38(5%)
minecraft.used.iron_hoe: #10, 297(5%)
minecraft.picked_up.cherry_slab: #9, 2(0%)
minecraft.dropped.diamond_shovel: #10, 10(4%)
minecraft.dropped.cod: #9, 52(0%)
minecraft.crafted.smooth_sandstone_slab: #9, 6(0%)
minecraft.used.dark_oak_leaves: #9, 4(0%)
minecraft.used.cobblestone: #10, 3778(4%)
minecraft.picked_up.bone: #10, 4144(4%)
minecraft.mined.grindstone: #10, 27(4%)
minecraft.picked_up.diamond_shovel: #10, 38(3%)
minecraft.used.wooden_pickaxe: #10, 20(4%)
minecraft.crafted.dark_oak_fence: #10, 279(4%)
minecraft.crafted.polished_tuff_stairs: #10, 32(4%)
minecraft.crafted.diamond_sword: #10, 6(4%)
minecraft.picked_up.bundle: #10, 14(3%)
minecraft.dropped.leather_helmet: #10, 8(3%)
minecraft.mined.soul_sand: #10, 777(3%)
minecraft.used.polished_tuff_slab: #10, 606(3%)
minecraft.crafted.dark_oak_planks: #10, 5328(3%)
minecraft.picked_up.soul_sand: #10, 925(3%)
minecraft.picked_up.fishing_rod: #10, 36(3%)
minecraft.picked_up.snowball: #10, 4152(2%)
minecraft.mined.redstone_ore: #10, 86(3%)
minecraft.picked_up.stone_stairs: #10, 73(3%)
minecraft.used.chiseled_bookshelf: #10, 74(3%)
minecraft.crafted.glass_pane: #10, 416(3%)
minecraft.picked_up.redstone_torch: #10, 265(3%)
minecraft.picked_up.bowl: #10, 18(3%)
minecraft.used.deepslate_redstone_ore: #10, 402(3%)
minecraft.picked_up.dark_oak_fence: #10, 117(3%)
minecraft.used.leather_leggings: #10, 4(3%)
minecraft.mined.spruce_fence_gate: #10, 32(3%)
minecraft.crafted.spruce_hanging_sign: #10, 18(4%)
minecraft.picked_up.pale_oak_log: #10, 1265(3%)
minecraft.mined.deepslate: #10, 20113(3%)
minecraft.picked_up.stone_brick_stairs: #10, 132(3%)
minecraft.dropped.spyglass: #10, 3(3%)
minecraft.mined.redstone_wall_torch: #10, 36(3%)
minecraft.crafted.iron_shovel: #10, 14(3%)
minecraft.mined.chiseled_tuff_bricks: #10, 125(2%)
minecraft.mined.pale_oak_log: #10, 1215(3%)
minecraft.picked_up.chainmail_helmet: #10, 3(3%)
minecraft.mined.warped_wart_block: #10, 667(3%)
minecraft.crafted.tuff_brick_slab: #10, 66(3%)
minecraft.picked_up.birch_sapling: #10, 343(2%)
minecraft.used.brown_concrete_powder: #10, 200(3%)
minecraft.dropped.spruce_planks: #10, 86(2%)
minecraft.crafted.mangrove_trapdoor: #10, 104(2%)
minecraft.mined.birch_sapling: #10, 7(3%)
minecraft.killed_by.creeper: #10, 3(3%)
minecraft.picked_up.beef: #10, 631(2%)
minecraft.used.stripped_spruce_log: #10, 312(2%)
minecraft.crafted.chiseled_bookshelf: #10, 72(2%)
minecraft.used.tnt: #10, 315(2%)
minecraft.used.mangrove_slab: #10, 263(2%)
minecraft.picked_up.enchanted_golden_apple: #10, 11(3%)
minecraft.picked_up.heavy_weighted_pressure_plate: #10, 4(3%)
minecraft.used.green_banner: #10, 5(3%)
minecraft.crafted.jungle_trapdoor: #10, 130(2%)
minecraft.picked_up.orange_shulker_box: #10, 96(2%)
minecraft.mined.mushroom_stem: #10, 213(2%)
minecraft.crafted.lapis_block: #10, 214(2%)
minecraft.used.jungle_trapdoor: #10, 116(2%)
minecraft.mined.tuff_brick_wall: #10, 15(2%)
minecraft.dropped.iron_hoe: #10, 1(4%)
minecraft.dropped.deepslate_bricks: #10, 7(3%)
minecraft.mined.white_stained_glass_pane: #10, 20(2%)
minecraft.mined.weathered_copper: #10, 80(2%)
minecraft.mined.white_terracotta: #10, 387(2%)
minecraft.mined.jungle_fence: #10, 14(2%)
minecraft.crafted.ender_eye: #10, 51(2%)
minecraft.mined.orange_shulker_box: #10, 84(2%)
minecraft.mined.coarse_dirt: #10, 323(1%)
minecraft.used.orange_shulker_box: #10, 86(2%)
minecraft.dropped.netherite_upgrade_smithing_template: #10, 1(3%)
minecraft.crafted.light_gray_stained_glass_pane: #10, 192(2%)
minecraft.crafted.yellow_terracotta: #10, 264(2%)
minecraft.crafted.lime_dye: #10, 254(2%)
minecraft.dropped.compass: #10, 3(2%)
minecraft.crafted.mangrove_wood: #10, 135(2%)
minecraft.crafted.dripstone_block: #10, 64(3%)
minecraft.picked_up.jungle_trapdoor: #10, 20(2%)
minecraft.crafted.oak_wood: #10, 162(2%)
minecraft.picked_up.mud_brick_slab: #10, 25(2%)
minecraft.picked_up.mushroom_stem: #10, 198(2%)
minecraft.used.cherry_sign: #10, 3(2%)
minecraft.picked_up.music_disc_otherside: #10, 4(2%)
minecraft.killed_by.piglin: #10, 1(3%)
minecraft.picked_up.poisonous_potato: #10, 7(2%)
minecraft.used.acacia_wood: #10, 187(2%)
minecraft.picked_up.redstone_ore: #10, 31(1%)
minecraft.picked_up.orange_concrete: #10, 108(2%)
minecraft.used.green_concrete_powder: #10, 155(2%)
minecraft.mined.stone_brick_slab: #10, 84(1%)
minecraft.picked_up.tnt_minecart: #10, 4(3%)
minecraft.used.map: #10, 16(2%)
minecraft.picked_up.deepslate_tile_stairs: #10, 38(1%)
minecraft.mined.jungle_fence_gate: #10, 2(2%)
minecraft.picked_up.yellow_concrete: #10, 256(1%)
minecraft.picked_up.packed_ice: #10, 2038(1%)
minecraft.crafted.pale_oak_sign: #10, 21(2%)
minecraft.crafted.brown_concrete_powder: #10, 144(1%)
minecraft.mined.stone_brick_wall: #10, 12(1%)
minecraft.crafted.polished_deepslate_wall: #10, 12(1%)
minecraft.dropped.cobbled_deepslate_slab: #10, 18(2%)
minecraft.custom.talked_to_villager: #11, 2723(4%)
minecraft.used.oxidized_cut_copper_slab: #10, 79(1%)
minecraft.crafted.warped_stairs: #10, 32(1%)
minecraft.used.waxed_oxidized_copper_bulb: #10, 9(2%)
minecraft.broken.flint_and_steel: #10, 1(2%)
minecraft.picked_up.jungle_fence: #10, 14(1%)
minecraft.crafted.polished_granite: #10, 128(1%)
minecraft.mined.packed_ice: #10, 2046(1%)
minecraft.picked_up.mutton: #10, 116(1%)
minecraft.picked_up.packed_mud: #10, 436(1%)
minecraft.picked_up.stone_brick_slab: #10, 79(1%)
minecraft.crafted.popped_chorus_fruit: #10, 23(1%)
minecraft.mined.polished_blackstone_stairs: #10, 3(1%)
minecraft.dropped.mud_bricks: #10, 4(1%)
minecraft.mined.dried_kelp_block: #10, 1(2%)
minecraft.dropped.decorated_pot: #10, 4(1%)
minecraft.used.deepslate_copper_ore: #10, 24(1%)
minecraft.dropped.vine: #10, 3(1%)
minecraft.crafted.magenta_dye: #10, 99(1%)
minecraft.picked_up.flint_and_steel: #10, 9(1%)
minecraft.used.birch_sapling: #10, 121(1%)
minecraft.crafted.birch_boat: #10, 1(1%)
minecraft.used.light_blue_stained_glass: #10, 173(1%)
minecraft.used.netherite_leggings: #10, 3(1%)
minecraft.mined.quartz_slab: #10, 22(1%)
minecraft.crafted.red_stained_glass: #10, 136(1%)
minecraft.mined.orange_concrete: #10, 105(1%)
minecraft.crafted.cut_copper_slab: #10, 8(1%)
minecraft.crafted.gray_bed: #10, 1(1%)
minecraft.dropped.light_gray_stained_glass_pane: #10, 2(1%)
minecraft.picked_up.light_blue_stained_glass: #10, 30(0%)
minecraft.dropped.bamboo_trapdoor: #10, 4(1%)
minecraft.picked_up.blue_bed: #10, 3(0%)
minecraft.crafted.cherry_slab: #10, 12(0%)
minecraft.used.blue_bed: #10, 3(0%)
minecraft.used.warped_fungus: #10, 24(0%)
minecraft.crafted.blue_banner: #10, 1(0%)
minecraft.dropped.stripped_dark_oak_log: #10, 1(0%)
minecraft.used.light_gray_bed: #10, 5(0%)
minecraft.used.purple_stained_glass_pane: #10, 16(0%)
minecraft.used.dried_kelp_block: #10, 1(0%)
minecraft.picked_up.dried_kelp_block: #10, 47(0%)
minecraft.picked_up.spruce_fence: #11, 258(4%)
minecraft.used.sculk: #10, 212(0%)
minecraft.used.bone_meal: #11, 8895(4%)
minecraft.picked_up.spruce_log: #11, 9292(4%)
minecraft.picked_up.weathered_copper: #10, 80(0%)
minecraft.used.dead_brain_coral_block: #10, 2(0%)
minecraft.mined.pink_bed: #10, 1(0%)
minecraft.used.orange_concrete: #10, 30(0%)
minecraft.used.magenta_wool: #10, 2(0%)
minecraft.picked_up.pale_oak_fence: #10, 2(0%)
minecraft.crafted.diorite_wall: #10, 12(0%)
minecraft.mined.brown_stained_glass: #10, 1(0%)
minecraft.picked_up.bow: #11, 189(4%)
minecraft.crafted.filled_map: #10, 50(0%)
minecraft.picked_up.red_concrete_powder: #10, 6(0%)
minecraft.used.purple_carpet: #10, 3(0%)
minecraft.picked_up.purple_concrete_powder: #10, 1(0%)
minecraft.used.weathered_copper: #10, 13(0%)
minecraft.picked_up.polished_blackstone_slab: #10, 1(0%)
minecraft.used.brown_stained_glass: #10, 1(0%)
minecraft.mined.barrel: #11, 152(4%)
minecraft.crafted.ladder: #11, 486(4%)
minecraft.dropped.leather_boots: #11, 19(4%)
minecraft.picked_up.glow_ink_sac: #11, 174(3%)
minecraft.custom.interact_with_smithing_table: #11, 47(4%)
minecraft.picked_up.spruce_stairs: #11, 222(4%)
minecraft.mined.mangrove_trapdoor: #11, 34(4%)
minecraft.used.glow_ink_sac: #11, 174(3%)
minecraft.mined.spruce_trapdoor: #11, 364(3%)
minecraft.crafted.iron_axe: #11, 5(4%)
minecraft.mined.powered_rail: #11, 238(3%)
minecraft.crafted.mangrove_planks: #11, 1980(3%)
minecraft.crafted.lime_shulker_box: #11, 5(4%)
minecraft.mined.lever: #11, 86(3%)
minecraft.mined.polished_tuff_slab: #11, 83(3%)
minecraft.killed.cow: #11, 319(3%)
minecraft.mined.shroomlight: #11, 81(3%)
minecraft.dropped.mace: #11, 5(3%)
minecraft.crafted.stone: #11, 392(3%)
minecraft.crafted.spruce_boat: #11, 8(3%)
minecraft.picked_up.minecart: #11, 103(3%)
minecraft.picked_up.lime_shulker_box: #11, 103(3%)
minecraft.used.diamond_pickaxe: #11, 137035(2%)
minecraft.custom.crouch_one_cm: #12, 22524948(4%)
minecraft.used.lime_shulker_box: #11, 99(3%)
minecraft.mined.dark_oak_slab: #11, 83(3%)
minecraft.mined.lime_shulker_box: #11, 101(3%)
minecraft.used.green_terracotta: #11, 215(3%)
minecraft.custom.traded_with_villager: #11, 12383(2%)
minecraft.picked_up.enchanted_book: #11, 35(2%)
minecraft.dropped.oak_sign: #11, 13(3%)
minecraft.crafted.jungle_fence: #11, 126(3%)
minecraft.used.glow_berries: #11, 54(3%)
minecraft.used.birch_planks: #11, 323(2%)
minecraft.picked_up.spruce_door: #11, 6(3%)
minecraft.mined.orange_bed: #11, 6(3%)
minecraft.crafted.dark_oak_stairs: #11, 164(2%)
minecraft.dropped.paper: #11, 90(2%)
minecraft.crafted.oxidized_cut_copper_slab: #11, 56(4%)
minecraft.used.dark_oak_stairs: #11, 159(2%)
minecraft.used.pale_oak_sapling: #11, 101(3%)
minecraft.used.jungle_fence: #11, 102(3%)
minecraft.picked_up.mud: #11, 3823(2%)
minecraft.mined.pink_petals: #11, 152(2%)
minecraft.picked_up.deepslate_redstone_ore: #11, 459(2%)
minecraft.mined.red_wool: #11, 47(2%)
minecraft.mined.moss_block: #11, 1232(2%)
minecraft.dropped.brown_mushroom: #11, 16(3%)
minecraft.mined.gray_carpet: #11, 52(2%)
minecraft.mined.polished_blackstone: #11, 14(2%)
minecraft.mined.jungle_stairs: #11, 18(2%)
minecraft.used.mangrove_trapdoor: #11, 94(2%)
minecraft.mined.white_concrete: #11, 1603(2%)
minecraft.mined.twisting_vines: #11, 8(3%)
minecraft.custom.interact_with_cartography_table: #11, 12(2%)
minecraft.picked_up.glow_berries: #11, 99(2%)
minecraft.crafted.mangrove_slab: #11, 216(2%)
minecraft.dropped.lead: #11, 16(2%)
minecraft.dropped.red_dye: #11, 18(2%)
minecraft.picked_up.blue_dye: #11, 16(1%)
minecraft.mined.black_stained_glass_pane: #11, 8(2%)
minecraft.used.brown_mushroom: #11, 40(2%)
minecraft.mined.tuff_brick_slab: #11, 32(2%)
minecraft.used.light_gray_concrete_powder: #11, 388(2%)
minecraft.used.melon_slice: #11, 67(2%)
minecraft.crafted.blue_terracotta: #11, 184(2%)
minecraft.picked_up.orange_wool: #11, 111(1%)
minecraft.mined.stripped_dark_oak_log: #11, 142(1%)
minecraft.mined.stripped_oak_log: #11, 117(1%)
minecraft.crafted.spruce_fence_gate: #11, 88(1%)
minecraft.used.oak_stairs: #11, 51(1%)
minecraft.crafted.leather_helmet: #11, 4(2%)
minecraft.picked_up.stripped_dark_oak_log: #11, 138(1%)
minecraft.picked_up.gray_wool: #11, 392(1%)
minecraft.killed_by.ravager: #11, 59(1%)
minecraft.dropped.pufferfish: #11, 7(2%)
minecraft.used.deepslate_lapis_ore: #11, 28(2%)
minecraft.picked_up.deepslate_iron_ore: #11, 95(1%)
minecraft.used.dark_oak_fence_gate: #11, 19(2%)
minecraft.picked_up.goat_horn: #11, 10(1%)
minecraft.picked_up.deepslate_copper_ore: #11, 46(1%)
minecraft.picked_up.weeping_vines: #11, 70(1%)
minecraft.picked_up.poppy: #11, 487(1%)
minecraft.crafted.red_banner: #11, 8(1%)
minecraft.used.blast_furnace: #11, 27(1%)
minecraft.mined.cobblestone_wall: #11, 9(1%)
minecraft.mined.birch_fence: #11, 12(1%)
minecraft.picked_up.yellow_wool: #11, 289(1%)
minecraft.dropped.anvil: #11, 2(1%)
minecraft.picked_up.dark_oak_fence_gate: #11, 7(1%)
minecraft.dropped.potato: #11, 183(1%)
minecraft.used.pale_oak_sign: #11, 13(1%)
minecraft.picked_up.shelter_pottery_sherd: #11, 1(2%)
minecraft.picked_up.mangrove_wood: #11, 8(1%)
minecraft.dropped.deepslate_redstone_ore: #11, 9(1%)
minecraft.mined.yellow_concrete: #11, 256(1%)
minecraft.killed_by.player: #12, 84(3%)
minecraft.picked_up.leather_helmet: #12, 13(4%)
minecraft.mined.packed_mud: #11, 345(1%)
minecraft.used.cooked_porkchop: #11, 129(1%)
minecraft.used.stone_sword: #11, 94(1%)
minecraft.mined.lily_of_the_valley: #11, 9(1%)
minecraft.picked_up.stone_brick_wall: #11, 11(1%)
minecraft.used.deepslate_iron_ore: #11, 45(1%)
minecraft.mined.spore_blossom: #11, 6(1%)
minecraft.picked_up.dark_oak_leaves: #11, 75(1%)
minecraft.used.quartz_stairs: #11, 60(1%)
minecraft.killed_by.warden: #11, 1(1%)
minecraft.used.orange_banner: #11, 3(1%)
minecraft.used.deepslate_tiles: #11, 545(1%)
minecraft.used.crimson_stem: #11, 23(1%)
minecraft.dropped.dark_oak_fence: #11, 4(1%)
minecraft.mined.crying_obsidian: #11, 10(1%)
minecraft.used.quartz_block: #11, 193(1%)
minecraft.dropped.red_tulip: #11, 5(1%)
minecraft.crafted.mangrove_fence: #11, 30(1%)
minecraft.mined.mossy_stone_brick_slab: #11, 1(1%)
minecraft.used.warped_stairs: #11, 21(1%)
minecraft.crafted.light_gray_wool: #11, 74(1%)
minecraft.crafted.tuff_brick_wall: #11, 4(1%)
minecraft.picked_up.jungle_fence_gate: #11, 2(1%)
minecraft.used.quartz_slab: #11, 62(1%)
minecraft.dropped.light_gray_concrete_powder: #11, 13(1%)
minecraft.used.daylight_detector: #11, 14(1%)
minecraft.dropped.glow_ink_sac: #11, 6(1%)
minecraft.dropped.milk_bucket: #11, 1(1%)
minecraft.crafted.chiseled_copper: #11, 4(1%)
minecraft.used.red_stained_glass: #11, 88(1%)
minecraft.used.polished_blackstone_stairs: #11, 11(1%)
minecraft.used.weathered_copper_trapdoor: #11, 4(1%)
minecraft.mined.stripped_cherry_log: #11, 11(1%)
minecraft.crafted.gray_wool: #11, 32(1%)
minecraft.crafted.chiseled_deepslate: #11, 1(1%)
minecraft.dropped.purpur_stairs: #11, 1(1%)
minecraft.picked_up.ice: #11, 633(0%)
minecraft.dropped.slime_block: #11, 15(0%)
minecraft.dropped.totem_of_undying: #11, 3(0%)
minecraft.mined.red_stained_glass: #11, 3(0%)
minecraft.dropped.cherry_sapling: #11, 3(0%)
minecraft.mined.dark_oak_button: #11, 1(0%)
minecraft.picked_up.waxed_exposed_copper_trapdoor: #11, 2(0%)
minecraft.used.allium: #11, 2(0%)
minecraft.mined.waxed_exposed_copper_trapdoor: #11, 2(0%)
minecraft.picked_up.brown_candle: #11, 2(0%)
minecraft.mined.light_gray_bed: #11, 6(0%)
minecraft.dropped.cherry_log: #11, 3(0%)
minecraft.crafted.green_carpet: #11, 27(0%)
minecraft.dropped.tuff_brick_slab: #11, 2(0%)
minecraft.mined.prismarine_bricks: #11, 38(0%)
minecraft.picked_up.pink_bed: #11, 1(0%)
minecraft.dropped.blue_wool: #11, 1(0%)
minecraft.mined.dark_prismarine_slab: #11, 1(0%)
minecraft.used.cherry_planks: #11, 6(0%)
minecraft.picked_up.pale_oak_wood: #11, 1(0%)
minecraft.used.pale_oak_fence: #11, 9(0%)
minecraft.dropped.fire_charge: #11, 3(0%)
minecraft.used.cherry_slab: #11, 2(0%)
minecraft.custom.pig_one_cm: #11, 555315(0%)
minecraft.picked_up.leather_leggings: #12, 16(3%)
minecraft.used.iron_axe: #12, 963(4%)
minecraft.crafted.diamond_axe: #12, 5(4%)
minecraft.crafted.diamond_pickaxe: #12, 10(4%)
minecraft.picked_up.dark_oak_log: #12, 3392(4%)
minecraft.picked_up.rose_bush: #12, 328(3%)
minecraft.picked_up.golden_helmet: #12, 13(3%)
minecraft.crafted.lever: #12, 239(3%)
minecraft.used.spruce_log: #12, 1440(3%)
minecraft.killed.player: #12, 70(3%)
minecraft.picked_up.white_concrete: #12, 1659(3%)
minecraft.dropped.firework_rocket: #12, 905(2%)
minecraft.used.cooked_beef: #12, 496(2%)
minecraft.picked_up.hopper: #12, 368(3%)
minecraft.used.stone_brick_stairs: #12, 329(3%)
minecraft.custom.interact_with_grindstone: #12, 58(3%)
minecraft.picked_up.stone_slab: #12, 380(2%)
minecraft.picked_up.music_disc_cat: #12, 10(3%)
minecraft.used.campfire: #12, 104(3%)
minecraft.picked_up.dispenser: #12, 105(3%)
minecraft.mined.mud: #12, 6617(3%)
minecraft.used.tuff: #12, 1943(3%)
minecraft.custom.inspect_dropper: #12, 910(2%)
minecraft.crafted.iron_leggings: #12, 4(3%)
minecraft.picked_up.iron_ingot: #12, 2866(2%)
minecraft.picked_up.saddle: #12, 19(2%)
minecraft.picked_up.warped_wart_block: #12, 667(3%)
minecraft.used.oak_button: #12, 17(3%)
minecraft.crafted.iron_hoe: #12, 2(3%)
minecraft.crafted.campfire: #12, 96(2%)
minecraft.picked_up.orange_bed: #12, 6(3%)
minecraft.picked_up.tropical_fish: #12, 26(2%)
minecraft.crafted.chiseled_tuff: #12, 16(3%)
minecraft.mined.pink_shulker_box: #12, 72(2%)
minecraft.picked_up.pink_shulker_box: #12, 72(2%)
minecraft.picked_up.gray_shulker_box: #12, 124(2%)
minecraft.crafted.polished_diorite: #12, 160(2%)
minecraft.crafted.oak_fence_gate: #12, 24(2%)
minecraft.used.pink_shulker_box: #12, 73(2%)
minecraft.used.gray_shulker_box: #12, 117(2%)
minecraft.mined.gray_shulker_box: #12, 115(2%)
minecraft.picked_up.mossy_cobblestone: #12, 194(2%)
minecraft.used.glass_bottle: #12, 937(2%)
minecraft.mined.cobbled_deepslate: #12, 385(2%)
minecraft.used.gunpowder: #12, 11(2%)
minecraft.picked_up.potato: #12, 801(2%)
minecraft.picked_up.jungle_boat: #12, 7(2%)
minecraft.mined.white_wall_banner: #12, 7(2%)
minecraft.crafted.spruce_wood: #12, 192(2%)
minecraft.picked_up.cyan_bed: #12, 22(2%)
minecraft.used.black_stained_glass_pane: #12, 158(2%)
minecraft.custom.drop: #13, 11078(3%)
minecraft.used.mossy_stone_bricks: #12, 123(2%)
minecraft.used.sugar_cane: #12, 217(2%)
minecraft.crafted.grindstone: #12, 53(2%)
minecraft.picked_up.stone_pickaxe: #12, 2(2%)
minecraft.picked_up.lapis_lazuli: #12, 1775(2%)
minecraft.used.spruce_fence_gate: #12, 92(2%)
minecraft.used.white_concrete: #12, 1594(2%)
minecraft.dropped.filled_map: #12, 44(1%)
