stat, rank, value, (percentage) 
minecraft.dropped.mangrove_hanging_sign: #1, 4(57%)
minecraft.dropped.bamboo_hanging_sign: #1, 6(43%)
minecraft.mined.granite_stairs: #2, 20(18%)
minecraft.picked_up.shears: #2, 177(11%)
minecraft.picked_up.crimson_roots: #2, 3043(12%)
minecraft.used.mangrove_sign: #2, 159(15%)
minecraft.crafted.pink_tulip: #1, 30(56%)
minecraft.used.stone: #2, 85760(10%)
minecraft.picked_up.waxed_oxidized_copper_trapdoor: #2, 134(24%)
minecraft.mined.chiseled_copper: #2, 30(19%)
minecraft.dropped.jungle_boat: #2, 14(26%)
minecraft.mined.twisting_vines: #2, 50(19%)
minecraft.mined.mossy_stone_brick_slab: #2, 21(20%)
minecraft.mined.waxed_oxidized_copper_trapdoor: #2, 133(24%)
minecraft.picked_up.spruce_slab: #2, 1596(10%)
minecraft.used.packed_mud: #2, 13707(10%)
minecraft.crafted.cornflower: #1, 48(80%)
minecraft.mined.dark_oak_log: #2, 8570(10%)
minecraft.dropped.light_blue_dye: #3, 56(20%)
minecraft.dropped.daylight_detector: #1, 7(78%)
minecraft.crafted.magenta_bed: #1, 2(22%)
minecraft.dropped.water_bucket: #2, 48(11%)
minecraft.crafted.yellow_dye: #2, 3621(10%)
minecraft.dropped.brain_coral_block: #2, 33(42%)
minecraft.used.jungle_fence: #2, 509(13%)
minecraft.dropped.black_concrete_powder: #2, 134(36%)
minecraft.used.cyan_banner: #2, 31(19%)
minecraft.mined.dark_oak_sign: #1, 3(25%)
minecraft.crafted.tube_coral_block: #1, 24(75%)
minecraft.mined.potted_warped_fungus: #1, 2(50%)
minecraft.dropped.spruce_hanging_sign: #1, 10(50%)
minecraft.used.pumpkin_seeds: #2, 248(10%)
minecraft.used.diamond_leggings: #2, 24(12%)
minecraft.crafted.dark_oak_stairs: #2, 764(11%)
minecraft.crafted.polished_blackstone_brick_wall: #2, 90(41%)
minecraft.dropped.azalea_leaves: #2, 851(15%)
minecraft.crafted.horn_coral_block: #1, 16(48%)
minecraft.used.light_gray_concrete_powder: #3, 3596(14%)
minecraft.crafted.nether_brick_fence: #2, 264(20%)
minecraft.dropped.purple_stained_glass_pane: #1, 13(72%)
minecraft.used.jungle_sign: #2, 125(14%)
minecraft.used.oak_sign: #2, 234(9%)
minecraft.dropped.mossy_stone_bricks: #2, 275(15%)
minecraft.used.music_disc_strad: #1, 5(36%)
minecraft.crafted.red_tulip: #1, 10(71%)
minecraft.mined.spruce_fence: #2, 420(10%)
minecraft.picked_up.warped_hanging_sign: #2, 21(27%)
minecraft.used.weeping_vines: #2, 107(20%)
