stat, rank, value, (percentage) 
minecraft.picked_up.jungle_log: #5, 3834(8%)
minecraft.dropped.brown_terracotta: #4, 19(10%)
minecraft.picked_up.spruce_hanging_sign: #5, 31(10%)
minecraft.crafted.smooth_quartz_slab: #4, 138(5%)
minecraft.crafted.packed_mud: #5, 8360(7%)
minecraft.picked_up.weathered_chiseled_copper: #4, 3(14%)
minecraft.picked_up.chainmail_boots: #4, 7(4%)
minecraft.used.oxidized_copper_bulb: #4, 34(6%)
minecraft.used.birch_leaves: #4, 2854(4%)
minecraft.used.filled_map: #4, 10(12%)
minecraft.dropped.dark_oak_boat: #4, 2(12%)
minecraft.used.stone_slab: #5, 5378(7%)
minecraft.dropped.lightning_rod: #4, 19(6%)
minecraft.crafted.sandstone_stairs: #4, 44(11%)
minecraft.used.polished_basalt: #5, 878(10%)
minecraft.crafted.skull_banner_pattern: #4, 1(20%)
minecraft.dropped.scaffolding: #5, 752(8%)
minecraft.crafted.waxed_exposed_cut_copper_stairs: #4, 37(10%)
minecraft.mined.jungle_fence: #5, 64(10%)
minecraft.crafted.polished_blackstone_stairs: #4, 40(9%)
minecraft.used.mossy_cobblestone_slab: #5, 146(10%)
minecraft.crafted.waxed_exposed_cut_copper_slab: #4, 36(8%)
minecraft.used.diorite_stairs: #4, 41(6%)
minecraft.mined.spruce_trapdoor: #5, 747(7%)
minecraft.picked_up.music_disc_strad: #4, 6(9%)
minecraft.crafted.cherry_door: #4, 3(12%)
minecraft.dropped.mangrove_door: #4, 2(12%)
minecraft.crafted.spruce_pressure_plate: #4, 17(4%)
minecraft.used.spruce_sapling: #4, 1126(3%)
minecraft.picked_up.green_dye: #4, 273(3%)
minecraft.used.soul_soil: #5, 686(8%)
minecraft.used.stripped_jungle_wood: #4, 100(6%)
minecraft.dropped.yellow_shulker_box: #4, 2(8%)
minecraft.mined.dark_oak_sapling: #4, 16(4%)
minecraft.picked_up.lilac: #5, 553(7%)
minecraft.mined.bamboo_hanging_sign: #4, 4(12%)
minecraft.custom.open_shulker_box: #6, 66645(7%)
minecraft.used.crafting_table: #5, 494(6%)
minecraft.picked_up.cut_copper_stairs: #4, 32(9%)
minecraft.used.black_banner: #4, 44(4%)
minecraft.crafted.andesite_slab: #4, 192(3%)
minecraft.crafted.polished_blackstone: #5, 756(8%)
minecraft.custom.boat_one_cm: #5, 6908361(7%)
minecraft.dropped.stone_brick_slab: #4, 70(6%)
minecraft.picked_up.armadillo_scute: #4, 224(2%)
minecraft.used.leather_boots: #5, 14(6%)
minecraft.crafted.birch_pressure_plate: #4, 4(7%)
minecraft.dropped.armor_stand: #5, 29(8%)
minecraft.crafted.light_blue_stained_glass_pane: #4, 160(4%)
minecraft.picked_up.brown_dye: #5, 88(7%)
minecraft.crafted.cut_copper_stairs: #4, 28(8%)
minecraft.dropped.brown_shulker_box: #4, 2(6%)
minecraft.custom.pot_flower: #5, 123(6%)
minecraft.dropped.acacia_log: #5, 44(8%)
minecraft.crafted.tuff_bricks: #5, 1142(8%)
minecraft.crafted.stone_bricks: #5, 9624(6%)
minecraft.crafted.granite_wall: #4, 48(5%)
minecraft.picked_up.lily_pad: #5, 261(6%)
minecraft.crafted.polished_basalt: #5, 924(8%)
minecraft.dropped.pumpkin_seeds: #5, 952(7%)
minecraft.dropped.stone_brick_wall: #4, 13(7%)
minecraft.used.loom: #5, 81(7%)
minecraft.picked_up.torch: #5, 7304(6%)
minecraft.crafted.rail: #5, 2191(6%)
minecraft.used.diamond_pickaxe: #5, 318387(5%)
minecraft.dropped.iron_bars: #5, 241(8%)
minecraft.picked_up.cauldron: #5, 26(6%)
minecraft.mined.stripped_jungle_log: #5, 310(8%)
minecraft.dropped.coal_ore: #5, 231(7%)
minecraft.custom.clean_banner: #4, 44(13%)
minecraft.dropped.stripped_jungle_log: #4, 15(5%)
minecraft.dropped.bamboo_fence: #4, 6(6%)
minecraft.used.axolotl_bucket: #4, 9(6%)
minecraft.mined.oak_hanging_sign: #4, 3(6%)
minecraft.used.cracked_deepslate_tiles: #4, 107(5%)
minecraft.picked_up.orange_concrete_powder: #4, 392(4%)
minecraft.dropped.mutton: #5, 73(8%)
minecraft.crafted.light_blue_banner: #4, 9(4%)
minecraft.mined.cracked_deepslate_tiles: #4, 21(5%)
minecraft.crafted.oxidized_chiseled_copper: #5, 48(12%)
minecraft.mined.firefly_bush: #5, 192(9%)
minecraft.used.firefly_bush: #5, 125(9%)
minecraft.used.jungle_sapling: #4, 239(2%)
minecraft.used.diamond_boots: #5, 23(5%)
minecraft.mined.white_banner: #5, 9(8%)
minecraft.used.cherry_door: #4, 1(11%)
minecraft.picked_up.stripped_jungle_log: #5, 325(7%)
minecraft.picked_up.mangrove_sign: #5, 28(8%)
minecraft.mined.jungle_fence_gate: #5, 11(9%)
minecraft.crafted.red_nether_brick_wall: #4, 24(6%)
minecraft.dropped.honey_block: #5, 156(8%)
minecraft.crafted.birch_sign: #5, 84(6%)
minecraft.dropped.spruce_log: #5, 300(6%)
minecraft.picked_up.green_stained_glass: #4, 34(2%)
minecraft.crafted.cut_sandstone_slab: #4, 30(5%)
minecraft.mined.leaf_litter: #5, 118(7%)
minecraft.used.nether_sprouts: #4, 89(5%)
minecraft.picked_up.warped_wart_block: #5, 1673(6%)
minecraft.picked_up.red_sandstone_slab: #4, 38(4%)
minecraft.mined.ochre_froglight: #5, 201(6%)
minecraft.mined.dark_oak_wall_hanging_sign: #4, 3(7%)
minecraft.dropped.tuff_brick_wall: #4, 12(6%)
minecraft.used.green_dye: #5, 118(8%)
minecraft.mined.exposed_copper: #5, 182(7%)
minecraft.mined.dark_oak_pressure_plate: #5, 9(14%)
minecraft.used.cactus: #5, 243(6%)
minecraft.crafted.oxidized_copper_bulb: #4, 32(3%)
minecraft.used.warped_fungus: #4, 164(3%)
minecraft.picked_up.yellow_dye: #5, 178(5%)
minecraft.mined.waxed_exposed_cut_copper_slab: #4, 4(4%)
minecraft.picked_up.tropical_fish_bucket: #4, 3(6%)
minecraft.dropped.pointed_dripstone: #5, 146(6%)
minecraft.picked_up.granite_slab: #5, 53(10%)
minecraft.dropped.copper_trapdoor: #4, 4(5%)
minecraft.mined.pale_oak_door: #4, 2(5%)
minecraft.crafted.chiseled_nether_bricks: #4, 2(4%)
minecraft.crafted.polished_deepslate: #5, 2300(6%)
minecraft.mined.brown_carpet: #5, 56(6%)
minecraft.picked_up.seagrass: #5, 331(6%)
minecraft.picked_up.carved_pumpkin: #6, 698(6%)
minecraft.crafted.red_sandstone_wall: #4, 12(4%)
minecraft.crafted.spruce_sign: #5, 372(5%)
minecraft.used.dripstone_block: #5, 852(5%)
minecraft.used.iron_chestplate: #5, 3(9%)
minecraft.mined.blue_stained_glass_pane: #4, 1(5%)
minecraft.crafted.pale_oak_boat: #4, 1(7%)
minecraft.crafted.light_gray_shulker_box: #5, 24(6%)
minecraft.crafted.oak_wood: #5, 621(6%)
minecraft.dropped.bamboo_block: #4, 387(2%)
minecraft.used.magenta_glazed_terracotta: #4, 5(4%)
minecraft.picked_up.pale_oak_boat: #4, 2(6%)
minecraft.mined.cherry_sapling: #5, 15(8%)
minecraft.dropped.torchflower_seeds: #4, 38(2%)
minecraft.killed.frog: #4, 3(4%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #4, 4(2%)
minecraft.crafted.polished_blackstone_bricks: #5, 260(10%)
minecraft.dropped.diamond_block: #5, 90(5%)
minecraft.dropped.tuff: #5, 1112(5%)
minecraft.used.jungle_stairs: #5, 194(6%)
minecraft.mined.moss_block: #6, 5749(8%)
minecraft.crafted.jungle_stairs: #5, 184(6%)
minecraft.mined.oak_wall_hanging_sign: #4, 2(3%)
minecraft.mined.oxidized_cut_copper_slab: #4, 30(2%)
minecraft.used.jungle_fence_gate: #5, 65(7%)
minecraft.used.prismarine_wall: #4, 135(2%)
minecraft.picked_up.firefly_bush: #5, 207(8%)
minecraft.crafted.brown_bed: #4, 3(4%)
minecraft.dropped.chainmail_leggings: #5, 6(7%)
minecraft.crafted.cut_sandstone: #5, 320(10%)
minecraft.used.golden_carrot: #6, 4963(6%)
minecraft.dropped.deepslate_tile_stairs: #4, 4(3%)
minecraft.crafted.oxidized_copper_door: #5, 6(13%)
minecraft.picked_up.flowering_azalea: #5, 680(5%)
minecraft.mined.chain: #5, 206(5%)
minecraft.mined.deepslate_brick_stairs: #4, 48(1%)
minecraft.picked_up.granite_wall: #5, 34(9%)
minecraft.picked_up.chiseled_copper: #5, 26(8%)
minecraft.dropped.quartz_stairs: #4, 6(3%)
minecraft.dropped.barrel: #5, 30(7%)
minecraft.picked_up.light_blue_candle: #4, 4(3%)
minecraft.crafted.prismarine_slab: #4, 12(3%)
minecraft.mined.gray_candle: #4, 1(3%)
minecraft.mined.stone_bricks: #5, 1904(4%)
minecraft.mined.acacia_sign: #5, 3(10%)
minecraft.dropped.dried_kelp_block: #4, 43(1%)
minecraft.crafted.wolf_armor: #4, 3(3%)
minecraft.dropped.charcoal: #4, 4(2%)
minecraft.used.cut_red_sandstone: #4, 74(1%)
minecraft.dropped.prismarine_slab: #4, 10(3%)
minecraft.used.tadpole_bucket: #4, 3(3%)
minecraft.dropped.bone_block: #4, 362(1%)
minecraft.mined.stone_brick_wall: #5, 56(7%)
minecraft.mined.birch_leaves: #5, 5237(5%)
minecraft.picked_up.bamboo_hanging_sign: #5, 11(10%)
minecraft.dropped.nether_wart_block: #5, 75(8%)
minecraft.dropped.small_amethyst_bud: #4, 2(1%)
minecraft.picked_up.brick_wall: #5, 16(9%)
minecraft.picked_up.mangrove_roots: #5, 3850(4%)
minecraft.mined.lime_banner: #4, 1(1%)
minecraft.mined.deepslate_coal_ore: #5, 27(7%)
minecraft.dropped.bamboo_trapdoor: #5, 59(11%)
minecraft.mined.pink_glazed_terracotta: #4, 1(1%)
minecraft.picked_up.prismarine_wall: #4, 9(1%)
minecraft.picked_up.pink_glazed_terracotta: #4, 1(1%)
minecraft.dropped.iron_ore: #5, 106(5%)
minecraft.broken.brush: #4, 1(1%)
minecraft.crafted.light_gray_candle: #4, 7(1%)
minecraft.dropped.bubble_coral_block: #4, 1(1%)
minecraft.mined.light_gray_carpet: #6, 101(9%)
minecraft.picked_up.light_gray_carpet: #6, 132(9%)
minecraft.used.sandstone_stairs: #4, 16(0%)
minecraft.picked_up.light_gray_stained_glass: #5, 88(5%)
minecraft.used.medium_amethyst_bud: #4, 5(0%)
minecraft.mined.crimson_fungus: #5, 44(5%)
minecraft.dropped.cyan_wool: #4, 9(0%)
minecraft.dropped.poisonous_potato: #5, 7(7%)
minecraft.used.large_amethyst_bud: #4, 2(0%)
minecraft.used.cut_red_sandstone_slab: #4, 2(0%)
minecraft.mined.cut_red_sandstone_slab: #4, 1(0%)
minecraft.crafted.andesite: #4, 2(0%)
minecraft.mined.twisting_vines_plant: #5, 24(7%)
minecraft.picked_up.spruce_leaves: #5, 1955(4%)
minecraft.mined.red_concrete: #5, 523(5%)
minecraft.used.moss_block: #6, 14118(8%)
minecraft.picked_up.enchanting_table: #5, 4(7%)
minecraft.dropped.smooth_sandstone: #5, 54(10%)
minecraft.dropped.kelp: #5, 747(4%)
minecraft.used.small_dripleaf: #5, 21(9%)
minecraft.picked_up.brown_bed: #5, 4(8%)
minecraft.used.polished_blackstone_brick_slab: #5, 150(12%)
minecraft.mined.birch_slab: #5, 53(5%)
minecraft.crafted.granite_stairs: #5, 28(7%)
minecraft.killed.glow_squid: #6, 51(8%)
minecraft.mined.brick_slab: #5, 10(7%)
minecraft.picked_up.stripped_spruce_wood: #5, 141(4%)
minecraft.crafted.purple_wool: #5, 28(8%)
minecraft.picked_up.stone_slab: #6, 1070(7%)
minecraft.used.air: #5, 1757(4%)
minecraft.crafted.daylight_detector: #5, 178(5%)
minecraft.crafted.pale_oak_sign: #5, 75(6%)
minecraft.used.creaking_heart: #5, 81(8%)
minecraft.picked_up.lime_concrete_powder: #5, 431(9%)
minecraft.mined.oak_leaves: #5, 6642(3%)
minecraft.mined.birch_wall_hanging_sign: #5, 1(17%)
minecraft.picked_up.birch_leaves: #5, 4340(3%)
minecraft.crafted.deepslate_brick_wall: #5, 25(8%)
minecraft.used.hanging_roots: #5, 23(7%)
minecraft.picked_up.brick_slab: #5, 11(6%)
minecraft.dropped.orange_dye: #5, 18(5%)
minecraft.mined.dried_kelp_block: #5, 5(8%)
minecraft.picked_up.amethyst_cluster: #5, 186(4%)
minecraft.dropped.fern: #5, 26(10%)
minecraft.crafted.smooth_sandstone: #5, 406(5%)
minecraft.used.chiseled_sandstone: #5, 20(7%)
minecraft.crafted.mangrove_wood: #5, 306(4%)
minecraft.dropped.cocoa_beans: #5, 39(4%)
minecraft.mined.cyan_carpet: #5, 31(5%)
minecraft.crafted.polished_tuff: #6, 2951(7%)
minecraft.used.bone_meal: #6, 14903(6%)
minecraft.picked_up.pink_wool: #5, 335(4%)
minecraft.mined.stripped_jungle_wood: #5, 82(5%)
minecraft.used.diamond_hoe: #6, 48006(7%)
minecraft.picked_up.phantom_membrane: #5, 54(3%)
minecraft.picked_up.black_concrete: #6, 1394(7%)
minecraft.dropped.brown_carpet: #5, 16(9%)
minecraft.picked_up.pale_hanging_moss: #5, 70(4%)
minecraft.crafted.yellow_glazed_terracotta: #5, 62(10%)
minecraft.used.mangrove_wood: #5, 235(4%)
minecraft.used.cut_sandstone: #5, 192(3%)
minecraft.broken.stone_pickaxe: #5, 3(5%)
minecraft.crafted.waxed_weathered_cut_copper_slab: #5, 80(8%)
minecraft.dropped.andesite: #6, 1746(7%)
minecraft.picked_up.jungle_sapling: #5, 322(3%)
minecraft.used.light_blue_stained_glass_pane: #5, 132(4%)
minecraft.dropped.chiseled_bookshelf: #5, 5(8%)
minecraft.mined.spruce_wall_sign: #6, 36(6%)
minecraft.used.acacia_wood: #5, 410(4%)
minecraft.dropped.oak_stairs: #5, 25(7%)
minecraft.used.light_blue_terracotta: #5, 447(3%)
minecraft.mined.red_sand: #6, 11929(8%)
minecraft.picked_up.lime_shulker_box: #6, 251(7%)
minecraft.picked_up.red_sand: #6, 12195(8%)
minecraft.used.lime_shulker_box: #6, 249(7%)
minecraft.picked_up.music_disc_relic: #5, 3(7%)
minecraft.crafted.jungle_door: #5, 9(6%)
minecraft.used.light_gray_carpet: #5, 338(3%)
minecraft.dropped.nether_brick: #5, 169(5%)
minecraft.crafted.clay: #5, 152(4%)
minecraft.used.brown_bed: #5, 7(7%)
minecraft.mined.loom: #6, 15(8%)
minecraft.crafted.warped_hyphae: #5, 99(4%)
minecraft.dropped.fire_coral_block: #5, 1(10%)
minecraft.dropped.powered_rail: #5, 17(4%)
minecraft.mined.lime_shulker_box: #6, 248(7%)
minecraft.crafted.sandstone_wall: #5, 24(7%)
minecraft.dropped.deepslate_tiles: #5, 38(3%)
minecraft.used.stone_brick_stairs: #6, 711(7%)
minecraft.mined.black_stained_glass: #5, 152(3%)
minecraft.used.waxed_exposed_cut_copper_stairs: #5, 44(6%)
minecraft.dropped.mangrove_planks: #5, 24(4%)
minecraft.picked_up.light_gray_wool: #6, 412(7%)
minecraft.picked_up.map: #5, 33(4%)
minecraft.used.granite: #6, 1742(6%)
minecraft.mined.mangrove_hanging_sign: #5, 2(6%)
minecraft.picked_up.yellow_banner: #5, 4(5%)
minecraft.used.cobweb: #5, 141(3%)
minecraft.dropped.tuff_bricks: #6, 308(7%)
minecraft.used.mangrove_trapdoor: #6, 338(7%)
minecraft.picked_up.magenta_wool: #5, 136(3%)
minecraft.mined.mossy_stone_bricks: #5, 123(2%)
minecraft.mined.lilac: #6, 63(7%)
minecraft.dropped.repeater: #5, 41(3%)
minecraft.mined.farmland: #6, 274(6%)
minecraft.dropped.birch_planks: #5, 89(2%)
minecraft.used.orange_terracotta: #6, 1324(7%)
minecraft.picked_up.resin_clump: #5, 1001(3%)
minecraft.used.glow_item_frame: #6, 251(7%)
minecraft.mined.waxed_weathered_copper_trapdoor: #5, 9(4%)
minecraft.crafted.leather_leggings: #6, 109(7%)
minecraft.mined.tube_coral_block: #5, 128(3%)
minecraft.crafted.light_gray_carpet: #5, 315(2%)
minecraft.crafted.smooth_sandstone_slab: #5, 108(5%)
minecraft.used.torch: #6, 11167(6%)
minecraft.used.magenta_shulker_box: #6, 139(8%)
minecraft.crafted.leather_chestplate: #6, 128(7%)
minecraft.picked_up.magenta_shulker_box: #6, 138(8%)
minecraft.crafted.leather_boots: #6, 94(7%)
minecraft.picked_up.stripped_mangrove_log: #5, 234(2%)
minecraft.used.end_stone_brick_stairs: #5, 7(6%)
minecraft.mined.jungle_log: #6, 2500(6%)
minecraft.mined.magenta_shulker_box: #6, 136(8%)
minecraft.crafted.stone_brick_slab: #5, 354(2%)
minecraft.used.stripped_dark_oak_log: #6, 500(6%)
minecraft.used.jungle_slab: #6, 475(7%)
minecraft.mined.birch_hanging_sign: #5, 2(8%)
minecraft.killed_by.pillager: #5, 1(8%)
minecraft.picked_up.andesite: #6, 14696(5%)
minecraft.used.birch_boat: #5, 7(3%)
minecraft.mined.mangrove_trapdoor: #6, 53(6%)
minecraft.dropped.orange_wool: #5, 12(4%)
minecraft.picked_up.waxed_weathered_copper_trapdoor: #5, 9(3%)
minecraft.used.bamboo_block: #6, 659(6%)
minecraft.dropped.blue_wool: #5, 12(4%)
minecraft.picked_up.light_gray_terracotta: #6, 1542(6%)
minecraft.picked_up.polished_basalt: #6, 138(7%)
minecraft.dropped.bookshelf: #5, 5(4%)
minecraft.crafted.birch_boat: #5, 3(3%)
minecraft.picked_up.black_terracotta: #5, 161(2%)
minecraft.crafted.respawn_anchor: #5, 8(3%)
minecraft.dropped.stripped_oak_wood: #5, 1(5%)
minecraft.mined.light_gray_terracotta: #6, 1525(6%)
minecraft.mined.soul_soil: #6, 1480(6%)
minecraft.used.spore_blossom: #5, 7(2%)
minecraft.crafted.smoker: #6, 37(6%)
minecraft.mined.water_cauldron: #6, 8(8%)
minecraft.crafted.blue_shulker_box: #6, 7(7%)
minecraft.dropped.mangrove_stairs: #5, 9(6%)
minecraft.dropped.beetroot_soup: #5, 4(6%)
minecraft.picked_up.mangrove_leaves: #6, 6247(6%)
minecraft.picked_up.music_disc_far: #5, 1(7%)
minecraft.dropped.enchanted_book: #6, 42(6%)
minecraft.mined.small_amethyst_bud: #5, 60(3%)
minecraft.dropped.ghast_tear: #5, 13(2%)
minecraft.mined.cauldron: #6, 16(6%)
minecraft.used.pink_terracotta: #5, 200(3%)
minecraft.mined.potted_warped_roots: #5, 1(6%)
minecraft.mined.dead_tube_coral_block: #5, 20(3%)
minecraft.dropped.gray_wool: #5, 43(2%)
minecraft.used.wither_rose: #5, 74(3%)
minecraft.dropped.vine: #5, 6(2%)
minecraft.crafted.stripped_birch_wood: #5, 33(3%)
minecraft.picked_up.mangrove_planks: #6, 245(6%)
minecraft.used.pink_carpet: #5, 21(2%)
minecraft.crafted.waxed_weathered_copper_trapdoor: #5, 32(3%)
minecraft.dropped.pale_oak_trapdoor: #5, 3(4%)
minecraft.mined.brown_mushroom: #6, 112(5%)
minecraft.used.stripped_mangrove_log: #5, 151(2%)
minecraft.picked_up.small_amethyst_bud: #5, 56(2%)
minecraft.picked_up.purple_stained_glass_pane: #5, 13(2%)
minecraft.mined.mangrove_slab: #6, 91(5%)
minecraft.mined.warped_button: #5, 1(5%)
minecraft.dropped.baked_potato: #6, 195(5%)
minecraft.picked_up.waxed_weathered_cut_copper: #5, 14(2%)
minecraft.mined.birch_sign: #6, 8(6%)
minecraft.picked_up.magenta_bed: #5, 2(3%)
minecraft.used.magenta_stained_glass: #5, 63(2%)
minecraft.picked_up.oxidized_cut_copper_slab: #5, 30(1%)
minecraft.crafted.oak_chest_boat: #5, 1(4%)
minecraft.mined.magenta_bed: #5, 2(3%)
minecraft.mined.mangrove_roots: #6, 3667(5%)
minecraft.mined.warped_roots: #6, 396(5%)
minecraft.crafted.blue_stained_glass: #5, 80(1%)
minecraft.mined.waxed_weathered_cut_copper: #5, 11(2%)
minecraft.used.pink_stained_glass_pane: #5, 50(2%)
minecraft.dropped.written_book: #6, 14(5%)
minecraft.used.campfire: #6, 188(5%)
minecraft.crafted.cherry_fence_gate: #5, 4(2%)
minecraft.mined.black_concrete_powder: #5, 61(1%)
minecraft.dropped.stone_stairs: #6, 27(8%)
minecraft.crafted.mossy_stone_brick_stairs: #5, 24(2%)
minecraft.used.sandstone_slab: #5, 71(2%)
minecraft.used.potion: #6, 1819(3%)
minecraft.used.red_nether_bricks: #5, 16(2%)
minecraft.used.deepslate_coal_ore: #5, 1(3%)
minecraft.picked_up.jungle_stairs: #6, 61(5%)
minecraft.picked_up.blackstone_wall: #5, 5(2%)
minecraft.mined.sandstone_stairs: #5, 14(2%)
minecraft.dropped.tube_coral_block: #5, 1(3%)
minecraft.mined.dead_brain_coral_fan: #5, 1(2%)
minecraft.picked_up.azalea: #6, 1161(4%)
minecraft.mined.red_nether_bricks: #5, 1(3%)
minecraft.used.golden_boots: #5, 1(3%)
minecraft.used.cut_sandstone_slab: #5, 24(2%)
minecraft.dropped.soul_sand: #6, 259(5%)
minecraft.custom.interact_with_smithing_table: #6, 57(4%)
minecraft.picked_up.poppy: #6, 2175(4%)
minecraft.picked_up.turtle_scute: #5, 6(2%)
minecraft.killed.allay: #5, 1(2%)
minecraft.used.nether_wart: #6, 582(5%)
minecraft.mined.tuff_brick_wall: #6, 40(6%)
minecraft.mined.quartz_bricks: #5, 4(1%)
minecraft.used.bamboo_hanging_sign: #6, 11(7%)
minecraft.crafted.jungle_fence_gate: #6, 77(6%)
minecraft.mined.flowering_azalea: #6, 77(5%)
minecraft.used.peony: #6, 14(6%)
minecraft.mined.red_carpet: #5, 26(0%)
minecraft.used.spruce_fence_gate: #6, 266(5%)
minecraft.dropped.armadillo_scute: #5, 36(0%)
minecraft.crafted.diamond_block: #6, 599(4%)
minecraft.crafted.deepslate_bricks: #6, 1704(6%)
minecraft.dropped.prismarine_bricks: #5, 62(1%)
minecraft.used.decorated_pot: #6, 168(4%)
minecraft.dropped.quartz_pillar: #5, 1(1%)
minecraft.picked_up.chiseled_quartz_block: #5, 10(1%)
minecraft.dropped.polished_granite: #5, 4(1%)
minecraft.crafted.experience_bottle: #5, 120(1%)
minecraft.dropped.dark_oak_pressure_plate: #5, 1(1%)
minecraft.used.pink_glazed_terracotta: #5, 5(1%)
minecraft.picked_up.exposed_copper: #5, 182(0%)
minecraft.mined.warped_fungus: #6, 63(5%)
minecraft.dropped.gray_concrete_powder: #5, 7(1%)
minecraft.used.white_tulip: #6, 11(8%)
minecraft.crafted.brown_wool: #6, 158(6%)
minecraft.crafted.white_candle: #5, 11(0%)
minecraft.used.moss_carpet: #6, 1531(4%)
minecraft.crafted.armor_stand: #6, 352(4%)
minecraft.picked_up.chainmail_helmet: #6, 5(5%)
minecraft.crafted.waxed_exposed_copper_bulb: #5, 1(0%)
minecraft.picked_up.stone: #6, 158326(3%)
minecraft.used.light_blue_candle: #5, 2(0%)
minecraft.dropped.red_sandstone: #5, 1(0%)
minecraft.picked_up.cut_red_sandstone_slab: #5, 1(0%)
minecraft.picked_up.purple_harness: #6, 1(17%)
minecraft.used.warped_roots: #6, 56(6%)
minecraft.picked_up.purple_bed: #6, 22(6%)
minecraft.crafted.spruce_fence_gate: #6, 253(4%)
minecraft.used.glass_bottle: #6, 1860(3%)
minecraft.picked_up.sandstone: #6, 6133(4%)
minecraft.used.sandstone: #6, 872(4%)
minecraft.mined.sandstone: #6, 5564(4%)
minecraft.picked_up.cyan_carpet: #6, 49(5%)
minecraft.crafted.stone_pickaxe: #6, 6(4%)
minecraft.crafted.birch_button: #6, 25(5%)
minecraft.mined.nether_sprouts: #6, 259(5%)
minecraft.used.birch_slab: #6, 401(5%)
minecraft.mined.nether_wart_block: #6, 988(4%)
minecraft.dropped.birch_sign: #6, 8(5%)
minecraft.mined.polished_blackstone: #6, 27(5%)
minecraft.used.candle: #6, 26(6%)
minecraft.crafted.brick_stairs: #6, 12(6%)
minecraft.mined.purple_bed: #6, 19(5%)
minecraft.mined.jungle_sapling: #6, 9(6%)
minecraft.picked_up.tall_dry_grass: #6, 39(6%)
minecraft.mined.spruce_leaves: #6, 2681(3%)
minecraft.used.damaged_anvil: #6, 7(4%)
minecraft.dropped.tuff_brick_slab: #6, 41(7%)
minecraft.picked_up.orange_dye: #6, 28(3%)
minecraft.used.granite_stairs: #6, 32(5%)
minecraft.mined.tripwire: #6, 56(3%)
minecraft.used.light_blue_concrete: #6, 904(5%)
minecraft.crafted.acacia_fence: #6, 171(4%)
minecraft.used.mangrove_button: #6, 8(5%)
minecraft.mined.basalt: #6, 2972(3%)
minecraft.mined.small_dripleaf: #6, 15(5%)
minecraft.used.waxed_oxidized_cut_copper_slab: #6, 163(6%)
minecraft.picked_up.iron_nugget: #7, 686(6%)
minecraft.picked_up.pink_dye: #6, 21(3%)
minecraft.picked_up.cooked_cod: #6, 175(3%)
minecraft.used.heavy_weighted_pressure_plate: #6, 15(4%)
minecraft.picked_up.orange_banner: #6, 7(5%)
minecraft.crafted.oxidized_cut_copper_stairs: #6, 41(6%)
minecraft.picked_up.black_stained_glass: #6, 202(3%)
minecraft.picked_up.pale_oak_sign: #6, 10(4%)
minecraft.picked_up.brown_banner: #6, 19(6%)
minecraft.mined.cobblestone_slab: #6, 124(3%)
minecraft.used.green_stained_glass_pane: #6, 107(5%)
minecraft.picked_up.water_bucket: #7, 64(6%)
minecraft.used.brown_concrete: #6, 63(6%)
minecraft.crafted.spruce_stairs: #7, 972(7%)
minecraft.crafted.acacia_slab: #6, 252(4%)
minecraft.dropped.end_rod: #6, 39(6%)
minecraft.killed.cod: #6, 9(4%)
minecraft.mined.dark_oak_wall_sign: #6, 7(5%)
minecraft.picked_up.light_blue_concrete: #6, 680(4%)
minecraft.picked_up.orange_carpet: #6, 36(4%)
minecraft.mined.sea_pickle: #6, 77(3%)
minecraft.used.rooted_dirt: #6, 475(4%)
minecraft.picked_up.spruce_stairs: #7, 401(6%)
minecraft.picked_up.pink_banner: #6, 4(4%)
minecraft.picked_up.dark_oak_pressure_plate: #6, 10(6%)
minecraft.mined.weeping_vines: #6, 29(4%)
minecraft.picked_up.sunflower: #7, 1065(6%)
minecraft.crafted.blackstone_slab: #6, 66(4%)
minecraft.used.purple_bed: #6, 20(4%)
minecraft.dropped.birch_trapdoor: #6, 7(6%)
minecraft.crafted.acacia_wood: #6, 432(4%)
minecraft.picked_up.stripped_jungle_wood: #6, 73(4%)
minecraft.mined.smooth_sandstone_slab: #6, 27(4%)
minecraft.mined.stone_slab: #7, 512(6%)
minecraft.dropped.light_gray_wool: #6, 73(3%)
minecraft.used.white_dye: #6, 32(3%)
minecraft.crafted.red_wool: #6, 204(3%)
minecraft.crafted.mangrove_trapdoor: #7, 316(7%)
minecraft.mined.pale_oak_slab: #6, 20(4%)
minecraft.used.gray_stained_glass: #6, 440(4%)
minecraft.used.orange_banner: #6, 11(4%)
minecraft.dropped.crying_obsidian: #6, 64(4%)
minecraft.crafted.quartz_slab: #6, 126(4%)
minecraft.mined.diorite_stairs: #6, 9(5%)
minecraft.picked_up.oak_leaves: #6, 3841(2%)
minecraft.picked_up.mossy_stone_brick_stairs: #6, 9(4%)
minecraft.used.diamond_axe: #7, 60158(5%)
minecraft.dropped.stone_brick_stairs: #6, 20(4%)
minecraft.mined.short_dry_grass: #6, 53(4%)
minecraft.mined.pale_hanging_moss: #6, 71(3%)
minecraft.dropped.cyan_shulker_box: #6, 2(5%)
minecraft.custom.fill_cauldron: #7, 57(6%)
minecraft.crafted.polished_blackstone_button: #6, 45(2%)
minecraft.dropped.map: #6, 10(6%)
minecraft.mined.amethyst_block: #7, 903(6%)
minecraft.dropped.spruce_fence_gate: #6, 6(5%)
