stat, rank, value, (percentage) 
minecraft.dropped.blackstone: #5, 333(4%)
minecraft.picked_up.yellow_carpet: #5, 58(5%)
minecraft.used.acacia_sign: #6, 70(8%)
minecraft.picked_up.scaffolding: #6, 12833(7%)
minecraft.dropped.slime_block: #5, 142(4%)
minecraft.mined.bamboo_fence: #6, 112(9%)
minecraft.mined.iron_trapdoor: #6, 93(7%)
minecraft.used.bamboo_mosaic: #5, 98(7%)
minecraft.dropped.wither_skeleton_skull: #5, 4(8%)
minecraft.used.deepslate_tile_slab: #5, 1252(3%)
minecraft.crafted.light_blue_dye: #6, 1854(7%)
minecraft.dropped.leather_chestplate: #6, 25(6%)
minecraft.picked_up.warped_stairs: #5, 28(5%)
minecraft.used.glowstone: #6, 588(8%)
minecraft.mined.bamboo_mosaic: #5, 17(5%)
minecraft.picked_up.oxidized_copper_bulb: #5, 17(4%)
minecraft.mined.purple_shulker_box: #6, 229(7%)
minecraft.dropped.mangrove_boat: #5, 1(12%)
minecraft.dropped.diamond_pickaxe: #6, 29(6%)
minecraft.used.bamboo_stairs: #5, 98(3%)
minecraft.crafted.bamboo_stairs: #5, 100(3%)
minecraft.used.cut_copper: #5, 81(5%)
minecraft.mined.green_carpet: #6, 62(8%)
minecraft.picked_up.purple_shulker_box: #6, 229(6%)
minecraft.picked_up.waxed_oxidized_cut_copper_stairs: #5, 44(3%)
minecraft.used.polished_tuff: #6, 2975(6%)
minecraft.picked_up.skeleton_skull: #5, 5(7%)
minecraft.picked_up.fire_charge: #5, 87(3%)
minecraft.picked_up.music_disc_ward: #5, 5(8%)
minecraft.dropped.green_wool: #5, 66(4%)
minecraft.dropped.diamond_hoe: #6, 4(8%)
minecraft.mined.lever: #6, 178(6%)
minecraft.picked_up.cooked_salmon: #6, 131(7%)
minecraft.picked_up.lingering_potion: #5, 5(10%)
minecraft.used.ice: #5, 659(3%)
minecraft.used.chain: #6, 1015(6%)
minecraft.killed.bat: #6, 14(9%)
minecraft.used.polished_deepslate: #6, 1783(7%)
minecraft.crafted.iron_trapdoor: #6, 661(6%)
minecraft.used.polished_diorite_stairs: #5, 107(4%)
minecraft.crafted.tuff_stairs: #5, 27(4%)
minecraft.dropped.chiseled_stone_bricks: #5, 115(4%)
minecraft.used.pumpkin_seeds: #6, 151(6%)
minecraft.dropped.redstone_ore: #5, 6(6%)
minecraft.picked_up.polished_blackstone_wall: #5, 14(5%)
minecraft.dropped.waxed_oxidized_copper_door: #5, 1(10%)
minecraft.crafted.waxed_chiseled_copper: #5, 29(6%)
minecraft.crafted.yellow_stained_glass: #5, 896(4%)
minecraft.used.gravel: #5, 2361(2%)
minecraft.picked_up.deepslate_tile_slab: #6, 369(6%)
minecraft.mined.exposed_copper_bulb: #5, 2(5%)
minecraft.used.wooden_axe: #5, 20(4%)
minecraft.dropped.white_tulip: #5, 15(3%)
minecraft.crafted.smooth_red_sandstone_stairs: #5, 16(7%)
minecraft.picked_up.diamond_sword: #6, 74(5%)
minecraft.dropped.acacia_log: #6, 40(8%)
minecraft.used.ladder: #6, 719(6%)
minecraft.crafted.pale_oak_pressure_plate: #5, 4(8%)
minecraft.dropped.firework_rocket: #6, 1701(5%)
minecraft.used.waxed_copper_grate: #5, 130(3%)
minecraft.crafted.iron_pickaxe: #6, 20(6%)
minecraft.crafted.piston: #6, 998(6%)
minecraft.picked_up.blue_terracotta: #5, 100(3%)
minecraft.custom.tune_noteblock: #5, 5410(1%)
minecraft.crafted.black_stained_glass_pane: #6, 752(7%)
minecraft.picked_up.cut_copper: #5, 18(3%)
minecraft.used.piston: #6, 853(6%)
minecraft.used.brick_slab: #5, 77(2%)
minecraft.picked_up.sculk_catalyst: #5, 21(2%)
minecraft.mined.dropper: #6, 104(6%)
minecraft.dropped.diamond_sword: #6, 14(6%)
minecraft.mined.smooth_red_sandstone_slab: #5, 14(4%)
minecraft.crafted.hopper_minecart: #6, 59(6%)
minecraft.picked_up.polished_deepslate: #6, 349(6%)
minecraft.picked_up.spruce_trapdoor: #6, 889(5%)
minecraft.used.black_glazed_terracotta: #5, 66(5%)
minecraft.picked_up.short_grass: #6, 3462(5%)
minecraft.crafted.chiseled_deepslate: #5, 4(3%)
minecraft.picked_up.smooth_red_sandstone_slab: #5, 16(3%)
minecraft.used.rail: #6, 3175(5%)
minecraft.crafted.crafter: #6, 163(6%)
minecraft.dropped.purple_wool: #5, 7(3%)
minecraft.mined.resin_clump: #5, 142(2%)
minecraft.crafted.acacia_sign: #6, 57(7%)
minecraft.dropped.light_gray_concrete: #5, 12(3%)
minecraft.picked_up.black_glazed_terracotta: #5, 20(3%)
minecraft.picked_up.bamboo_fence: #6, 120(7%)
minecraft.mined.player_head: #6, 160(5%)
minecraft.used.warped_trapdoor: #6, 202(7%)
minecraft.picked_up.acacia_sign: #6, 21(7%)
minecraft.mined.bamboo_sign: #6, 16(6%)
minecraft.mined.oak_fence: #6, 226(5%)
minecraft.mined.warped_wart_block: #6, 1443(6%)
minecraft.used.andesite_slab: #6, 548(6%)
minecraft.used.red_wool: #6, 346(6%)
minecraft.used.lime_carpet: #5, 147(2%)
minecraft.used.bamboo_chest_raft: #5, 2(5%)
minecraft.crafted.green_dye: #6, 687(5%)
minecraft.crafted.oak_hanging_sign: #5, 12(2%)
minecraft.crafted.netherite_pickaxe: #6, 3(8%)
minecraft.mined.yellow_wool: #5, 221(1%)
minecraft.crafted.oak_boat: #5, 20(1%)
minecraft.picked_up.mangrove_door: #6, 8(8%)
minecraft.used.smooth_stone_slab: #6, 3023(5%)
minecraft.crafted.crimson_planks: #6, 1180(6%)
minecraft.used.magenta_carpet: #5, 4(4%)
minecraft.used.string: #5, 262(1%)
minecraft.used.ominous_bottle: #6, 19(8%)
minecraft.mined.lime_carpet: #5, 12(2%)
minecraft.picked_up.magenta_terracotta: #5, 15(1%)
minecraft.crafted.rail: #6, 1712(5%)
minecraft.picked_up.chainmail_leggings: #6, 7(6%)
minecraft.used.cactus: #6, 217(5%)
minecraft.picked_up.nether_wart_block: #6, 1312(6%)
minecraft.mined.blue_terracotta: #5, 43(1%)
minecraft.crafted.mangrove_slab: #6, 630(5%)
minecraft.mined.prismarine_brick_slab: #5, 12(3%)
minecraft.crafted.lime_carpet: #5, 138(2%)
minecraft.used.diamond_pickaxe: #6, 245135(4%)
minecraft.mined.deepslate: #6, 37860(5%)
minecraft.picked_up.prismarine_crystals: #5, 42(1%)
minecraft.used.golden_carrot: #7, 4914(6%)
minecraft.crafted.waxed_cut_copper: #5, 14(4%)
minecraft.crafted.wooden_sword: #5, 9(1%)
minecraft.picked_up.seagrass: #6, 298(6%)
minecraft.used.powered_rail: #6, 1166(5%)
minecraft.dropped.candle: #5, 7(1%)
minecraft.mined.blackstone: #6, 2216(5%)
minecraft.picked_up.pale_oak_planks: #6, 99(6%)
minecraft.picked_up.chiseled_tuff: #6, 101(5%)
minecraft.picked_up.mycelium: #5, 104(1%)
minecraft.used.white_glazed_terracotta: #5, 5(3%)
minecraft.used.stripped_acacia_log: #5, 69(1%)
minecraft.mined.black_wool: #5, 69(1%)
minecraft.crafted.dispenser: #6, 79(5%)
minecraft.crafted.pale_oak_button: #5, 17(1%)
minecraft.dropped.quartz_block: #5, 128(1%)
minecraft.used.deepslate_tile_stairs: #6, 534(5%)
minecraft.mined.sculk_catalyst: #5, 9(1%)
minecraft.dropped.polished_blackstone_brick_stairs: #5, 3(2%)
minecraft.crafted.acacia_planks: #6, 2852(4%)
minecraft.used.mangrove_sign: #6, 66(6%)
minecraft.used.pale_oak_fence_gate: #5, 8(1%)
minecraft.picked_up.waxed_exposed_copper_grate: #5, 5(1%)
minecraft.dropped.cobblestone_slab: #6, 103(6%)
minecraft.mined.warped_trapdoor: #6, 35(6%)
minecraft.mined.light_gray_concrete_powder: #6, 110(5%)
minecraft.picked_up.trial_key: #6, 67(5%)
minecraft.used.pumpkin: #6, 274(4%)
minecraft.crafted.cooked_beef: #6, 562(4%)
minecraft.used.redstone_block: #6, 594(4%)
minecraft.used.light_gray_glazed_terracotta: #5, 7(1%)
minecraft.dropped.cracked_deepslate_bricks: #5, 1(1%)
minecraft.crafted.green_shulker_box: #6, 16(6%)
minecraft.mined.chiseled_quartz_block: #5, 6(0%)
minecraft.crafted.waxed_cut_copper_stairs: #5, 2(1%)
minecraft.used.yellow_terracotta: #6, 423(5%)
minecraft.crafted.bow: #6, 91(4%)
minecraft.crafted.end_crystal: #5, 1(0%)
minecraft.mined.powder_snow: #6, 50(6%)
minecraft.crafted.prismarine: #5, 15(0%)
minecraft.mined.cobbled_deepslate: #6, 809(4%)
minecraft.crafted.sea_lantern: #5, 3(0%)
minecraft.used.sculk_vein: #5, 9(0%)
minecraft.picked_up.big_dripleaf: #6, 194(5%)
minecraft.mined.redstone_wall_torch: #6, 57(4%)
minecraft.mined.chiseled_tuff: #6, 69(4%)
minecraft.used.iron_door: #6, 35(4%)
minecraft.used.lightning_rod: #6, 288(4%)
minecraft.mined.ancient_debris: #6, 67(5%)
minecraft.used.pale_oak_slab: #6, 134(6%)
minecraft.mined.tnt: #6, 108(4%)
minecraft.used.calcite: #6, 661(4%)
minecraft.picked_up.lime_terracotta: #6, 162(6%)
minecraft.mined.crimson_roots: #6, 209(4%)
minecraft.used.magenta_terracotta: #6, 141(6%)
minecraft.crafted.purple_stained_glass: #6, 1712(5%)
minecraft.used.emerald_block: #6, 334(4%)
minecraft.picked_up.mushroom_stem: #6, 514(4%)
minecraft.used.crimson_sign: #6, 25(6%)
minecraft.picked_up.redstone_torch: #6, 328(3%)
minecraft.crafted.cobblestone_slab: #6, 558(4%)
minecraft.picked_up.white_tulip: #6, 205(3%)
minecraft.used.lime_dye: #6, 7(5%)
minecraft.used.acacia_fence_gate: #6, 28(5%)
minecraft.used.smooth_quartz: #6, 1690(3%)
minecraft.mined.cobbled_deepslate_stairs: #6, 38(4%)
minecraft.crafted.light_blue_concrete_powder: #6, 1184(4%)
minecraft.crafted.netherite_boots: #6, 3(5%)
minecraft.picked_up.golden_axe: #6, 2(10%)
minecraft.crafted.conduit: #6, 2(10%)
minecraft.mined.deepslate_brick_slab: #6, 130(4%)
minecraft.mined.birch_button: #6, 3(7%)
minecraft.dropped.conduit: #6, 1(12%)
minecraft.dropped.mangrove_propagule: #6, 21(5%)
minecraft.used.cobblestone_wall: #6, 131(4%)
minecraft.used.cooked_porkchop: #6, 529(3%)
minecraft.mined.polished_granite: #6, 62(4%)
minecraft.mined.mossy_cobblestone_stairs: #6, 8(6%)
minecraft.picked_up.elytra: #7, 87(5%)
minecraft.used.acacia_fence: #6, 148(4%)
minecraft.used.orange_dye: #6, 13(4%)
minecraft.crafted.green_concrete_powder: #6, 544(4%)
minecraft.picked_up.firework_rocket: #7, 7470(5%)
minecraft.mined.acacia_fence_gate: #6, 5(6%)
minecraft.used.polished_granite: #6, 290(3%)
minecraft.crafted.red_stained_glass: #6, 832(4%)
minecraft.picked_up.netherite_pickaxe: #7, 42(6%)
minecraft.used.totem_of_undying: #6, 14(4%)
minecraft.dropped.music_disc_pigstep: #6, 1(11%)
minecraft.crafted.polished_granite: #6, 420(3%)
minecraft.dropped.raw_gold: #6, 21(5%)
minecraft.used.lever: #7, 619(6%)
minecraft.used.crimson_stem: #6, 99(4%)
minecraft.picked_up.waxed_oxidized_copper_door: #6, 3(7%)
minecraft.picked_up.verdant_froglight: #6, 1498(3%)
minecraft.dropped.stone_pressure_plate: #6, 12(4%)
minecraft.dropped.waxed_oxidized_copper_grate: #6, 6(4%)
minecraft.used.deepslate_brick_slab: #6, 525(3%)
minecraft.crafted.waxed_weathered_cut_copper_slab: #6, 72(7%)
minecraft.mined.loom: #7, 15(8%)
minecraft.mined.waxed_copper_door: #6, 1(10%)
minecraft.picked_up.waxed_copper_door: #6, 1(10%)
minecraft.mined.magenta_stained_glass: #6, 12(4%)
minecraft.crafted.orange_stained_glass: #6, 864(3%)
minecraft.used.cyan_glazed_terracotta: #6, 12(7%)
minecraft.dropped.smooth_quartz: #6, 37(5%)
minecraft.mined.waxed_exposed_copper: #6, 27(4%)
minecraft.crafted.gray_shulker_box: #6, 11(3%)
minecraft.killed.warden: #6, 6(8%)
minecraft.dropped.smooth_stone_slab: #6, 115(3%)
minecraft.picked_up.minecart: #7, 236(6%)
minecraft.mined.mangrove_fence: #6, 33(3%)
minecraft.dropped.iron_trapdoor: #6, 9(5%)
minecraft.crafted.carrot_on_a_stick: #6, 1(9%)
minecraft.dropped.bamboo_planks: #6, 208(2%)
minecraft.used.purple_shulker_box: #7, 228(6%)
minecraft.crafted.chain: #7, 1204(6%)
minecraft.mined.birch_fence: #6, 29(3%)
minecraft.dropped.white_stained_glass: #6, 18(4%)
minecraft.mined.short_grass: #7, 6938(5%)
minecraft.crafted.magenta_dye: #6, 388(2%)
minecraft.crafted.bamboo_mosaic: #6, 127(4%)
minecraft.used.oak_leaves: #6, 2374(2%)
minecraft.used.scaffolding: #7, 11798(6%)
minecraft.dropped.cooked_salmon: #6, 21(3%)
minecraft.mined.purple_concrete: #6, 131(4%)
minecraft.crafted.resin_block: #6, 137(3%)
minecraft.mined.crimson_fence_gate: #6, 1(8%)
minecraft.used.black_stained_glass_pane: #7, 587(7%)
minecraft.picked_up.music_disc_pigstep: #6, 3(5%)
minecraft.picked_up.diamond_pickaxe: #7, 90(5%)
minecraft.dropped.minecart: #6, 17(2%)
minecraft.picked_up.chiseled_polished_blackstone: #6, 6(4%)
minecraft.mined.purple_stained_glass: #6, 63(4%)
minecraft.used.chest_minecart: #6, 12(4%)
minecraft.mined.purpur_stairs: #6, 48(3%)
minecraft.picked_up.bamboo_planks: #6, 651(2%)
minecraft.picked_up.purple_bundle: #6, 1(8%)
minecraft.picked_up.lead: #7, 437(5%)
minecraft.dropped.diamond_shovel: #7, 14(6%)
minecraft.dropped.polished_tuff_stairs: #6, 8(5%)
minecraft.crafted.chest_minecart: #6, 10(4%)
minecraft.dropped.iron_leggings: #7, 10(6%)
minecraft.dropped.flow_banner_pattern: #6, 1(7%)
minecraft.broken.flint_and_steel: #6, 2(4%)
minecraft.used.bucket: #7, 4348(5%)
minecraft.mined.white_stained_glass_pane: #7, 71(7%)
minecraft.mined.deepslate_tile_wall: #6, 22(2%)
minecraft.used.purple_concrete: #6, 124(4%)
minecraft.mined.purpur_block: #6, 231(2%)
minecraft.mined.powered_rail: #7, 396(6%)
minecraft.dropped.bone: #7, 1003(6%)
minecraft.mined.quartz_stairs: #6, 44(2%)
minecraft.dropped.dropper: #6, 13(3%)
minecraft.used.crimson_fungus: #6, 24(3%)
minecraft.dropped.light_gray_carpet: #6, 4(4%)
minecraft.picked_up.netherite_sword: #7, 22(6%)
minecraft.mined.smooth_quartz_slab: #7, 156(6%)
minecraft.mined.polished_tuff_slab: #7, 151(5%)
minecraft.dropped.ink_sac: #7, 51(6%)
minecraft.picked_up.purple_concrete: #6, 107(2%)
minecraft.picked_up.quartz_stairs: #6, 44(2%)
minecraft.mined.yellow_candle: #6, 1(5%)
minecraft.picked_up.iron_trapdoor: #7, 129(5%)
minecraft.crafted.smoker: #7, 36(6%)
minecraft.mined.comparator: #7, 136(5%)
minecraft.picked_up.diorite: #7, 13727(5%)
minecraft.picked_up.netherite_shovel: #7, 21(7%)
minecraft.mined.white_wool: #7, 185(5%)
minecraft.mined.polished_diorite_slab: #6, 3(3%)
minecraft.mined.smoker: #7, 8(7%)
minecraft.custom.inspect_dropper: #7, 1883(3%)
minecraft.mined.nether_brick_wall: #6, 2(4%)
minecraft.crafted.waxed_copper_grate: #6, 48(4%)
minecraft.used.iron_trapdoor: #7, 498(5%)
minecraft.dropped.spectral_arrow: #6, 323(2%)
minecraft.mined.lime_stained_glass_pane: #6, 9(2%)
minecraft.crafted.repeater: #7, 567(5%)
minecraft.picked_up.observer: #7, 561(5%)
minecraft.picked_up.magenta_bed: #6, 2(3%)
minecraft.crafted.waxed_exposed_cut_copper: #6, 14(3%)
minecraft.used.yellow_stained_glass: #6, 271(2%)
minecraft.killed.slime: #7, 621(5%)
minecraft.mined.stone_brick_stairs: #7, 150(5%)
minecraft.used.yellow_candle: #6, 10(2%)
minecraft.dropped.stone_button: #7, 53(5%)
minecraft.dropped.golden_horse_armor: #6, 1(3%)
minecraft.mined.magenta_bed: #6, 2(3%)
minecraft.used.magenta_stained_glass: #6, 57(1%)
minecraft.picked_up.nether_brick_wall: #6, 2(3%)
minecraft.picked_up.golden_helmet: #7, 19(5%)
minecraft.picked_up.netherite_ingot: #6, 1(3%)
minecraft.used.painting: #7, 271(5%)
minecraft.crafted.prismarine_brick_slab: #6, 10(2%)
minecraft.used.blue_carpet: #6, 54(2%)
minecraft.dropped.sculk_catalyst: #6, 1(3%)
minecraft.mined.deepslate_brick_stairs: #6, 41(1%)
minecraft.mined.redstone_wire: #7, 803(5%)
minecraft.picked_up.waxed_exposed_copper: #6, 27(1%)
minecraft.crafted.fletching_table: #6, 2(2%)
minecraft.dropped.stripped_acacia_log: #6, 1(3%)
minecraft.picked_up.loom: #7, 17(6%)
minecraft.picked_up.prismarine_brick_slab: #6, 12(3%)
minecraft.picked_up.light_gray_glazed_terracotta: #6, 7(2%)
minecraft.used.amethyst_block: #6, 61(1%)
minecraft.crafted.powered_rail: #7, 948(5%)
minecraft.crafted.iron_chestplate: #7, 7(5%)
minecraft.used.lectern: #7, 362(5%)
minecraft.picked_up.bamboo_chest_raft: #6, 1(2%)
minecraft.used.waxed_exposed_copper_grate: #6, 28(1%)
minecraft.mined.light_gray_glazed_terracotta: #6, 7(2%)
minecraft.mined.stripped_birch_wood: #6, 35(1%)
minecraft.dropped.waxed_copper_grate: #7, 25(7%)
minecraft.picked_up.warped_wart_block: #7, 1346(5%)
minecraft.crafted.ladder: #7, 565(4%)
minecraft.dropped.deepslate_tile_slab: #6, 5(1%)
minecraft.dropped.melon: #6, 64(1%)
minecraft.dropped.polished_tuff: #7, 57(5%)
minecraft.crafted.pale_oak_fence_gate: #6, 8(1%)
minecraft.mined.quartz_bricks: #6, 4(1%)
minecraft.crafted.purple_bed: #6, 2(1%)
minecraft.mined.black_wall_banner: #6, 6(1%)
minecraft.mined.waxed_cut_copper_slab: #7, 27(7%)
minecraft.dropped.pink_wool: #6, 34(1%)
minecraft.used.quartz_bricks: #6, 19(1%)
minecraft.picked_up.diamond_shovel: #7, 45(4%)
minecraft.mined.redstone_torch: #7, 88(4%)
minecraft.crafted.lime_bed: #6, 5(1%)
minecraft.crafted.magenta_wool: #6, 7(1%)
minecraft.dropped.cracked_deepslate_tiles: #6, 2(1%)
minecraft.mined.cherry_log: #7, 1144(5%)
minecraft.crafted.sponge: #6, 8(1%)
minecraft.crafted.bowl: #6, 4(1%)
minecraft.dropped.polished_deepslate_stairs: #6, 2(1%)
minecraft.picked_up.cobblestone_slab: #7, 284(4%)
minecraft.crafted.purple_carpet: #6, 30(0%)
minecraft.used.end_crystal: #6, 1(1%)
minecraft.picked_up.chiseled_quartz_block: #6, 6(0%)
minecraft.custom.swim_one_cm: #8, 9117497(5%)
minecraft.crafted.stone_shovel: #7, 20(4%)
minecraft.crafted.firework_star: #6, 64(0%)
minecraft.picked_up.popped_chorus_fruit: #6, 1(0%)
minecraft.mined.stone_stairs: #7, 72(4%)
minecraft.mined.fire: #7, 661(4%)
minecraft.used.carved_pumpkin: #7, 24(4%)
minecraft.used.cobbled_deepslate: #7, 3799(4%)
minecraft.used.stone_pickaxe: #7, 405(4%)
minecraft.picked_up.cherry_sapling: #7, 418(4%)
minecraft.crafted.green_wool: #7, 193(6%)
minecraft.used.fishing_rod: #7, 1623(3%)
minecraft.used.oak_button: #7, 29(4%)
minecraft.used.decorated_pot: #7, 148(4%)
minecraft.used.redstone_torch: #7, 533(4%)
minecraft.crafted.netherite_upgrade_smithing_template: #7, 30(5%)
minecraft.mined.gray_carpet: #7, 101(4%)
minecraft.picked_up.grass_block: #7, 44399(4%)
minecraft.dropped.white_wool: #7, 230(4%)
minecraft.crafted.painting: #7, 96(4%)
minecraft.used.tnt: #7, 572(4%)
minecraft.used.redstone: #7, 2952(4%)
minecraft.picked_up.copper_ore: #7, 2152(3%)
minecraft.picked_up.green_terracotta: #7, 79(5%)
minecraft.crafted.lightning_rod: #7, 274(4%)
minecraft.crafted.bamboo_hanging_sign: #7, 12(7%)
minecraft.picked_up.music_disc_creator: #7, 9(6%)
minecraft.picked_up.white_stained_glass: #7, 198(4%)
minecraft.used.comparator: #7, 368(3%)
minecraft.picked_up.cobbled_deepslate: #7, 27190(3%)
minecraft.picked_up.deepslate_brick_slab: #7, 189(4%)
minecraft.picked_up.ancient_debris: #7, 67(4%)
minecraft.used.iron_shovel: #7, 2749(4%)
minecraft.picked_up.dropper: #7, 118(4%)
minecraft.mined.dragon_wall_head: #7, 7(4%)
minecraft.crafted.redstone_torch: #7, 2116(3%)
minecraft.mined.crimson_stem: #7, 389(4%)
minecraft.crafted.jukebox: #7, 10(4%)
minecraft.picked_up.oxidized_copper_trapdoor: #7, 231(4%)
minecraft.mined.crimson_fungus: #7, 34(4%)
minecraft.dropped.oak_trapdoor: #7, 12(4%)
minecraft.killed.piglin_brute: #7, 13(6%)
minecraft.used.egg: #7, 1138(3%)
minecraft.used.blue_wool: #7, 175(5%)
minecraft.mined.acacia_wall_sign: #7, 7(5%)
minecraft.used.light_blue_concrete_powder: #7, 1002(4%)
minecraft.crafted.netherite_leggings: #7, 3(5%)
minecraft.used.light_gray_terracotta: #7, 244(4%)
minecraft.dropped.stone_slab: #8, 404(8%)
minecraft.picked_up.iron_door: #7, 24(3%)
minecraft.used.trial_key: #7, 31(3%)
minecraft.dropped.acacia_trapdoor: #7, 20(5%)
minecraft.used.green_concrete_powder: #7, 381(4%)
minecraft.used.purple_wool: #7, 68(4%)
minecraft.picked_up.crimson_sign: #7, 7(5%)
minecraft.broken.stone_pickaxe: #7, 3(5%)
minecraft.mined.deepslate_brick_wall: #7, 18(5%)
minecraft.used.lead: #7, 3(4%)
minecraft.used.mossy_stone_brick_wall: #7, 6(5%)
minecraft.picked_up.yellow_wool: #7, 841(3%)
minecraft.dropped.music_disc_otherside: #7, 1(9%)
minecraft.mined.snow_block: #7, 752(3%)
minecraft.picked_up.light_gray_stained_glass_pane: #7, 38(3%)
minecraft.used.loom: #7, 32(3%)
minecraft.mined.candle: #7, 5(4%)
minecraft.picked_up.pink_tulip: #7, 95(3%)
minecraft.picked_up.polished_granite: #7, 55(3%)
minecraft.picked_up.blue_dye: #7, 23(2%)
minecraft.used.podzol: #7, 162(3%)
minecraft.mined.sculk_shrieker: #7, 22(3%)
minecraft.mined.tuff_brick_stairs: #7, 43(3%)
minecraft.picked_up.stripped_mangrove_wood: #7, 28(4%)
minecraft.used.bamboo_fence: #7, 137(3%)
minecraft.used.dripstone_block: #7, 364(2%)
minecraft.dropped.book: #7, 19(3%)
minecraft.crafted.yellow_terracotta: #7, 407(3%)
minecraft.used.brown_mushroom: #7, 57(3%)
minecraft.dropped.peony: #7, 10(3%)
minecraft.crafted.acacia_fence_gate: #7, 27(3%)
minecraft.crafted.dripstone_block: #7, 96(5%)
minecraft.picked_up.smooth_stone: #7, 1237(2%)
minecraft.dropped.light_gray_concrete_powder: #7, 64(3%)
minecraft.picked_up.netherite_hoe: #7, 6(4%)
minecraft.mined.bamboo_pressure_plate: #7, 2(6%)
minecraft.picked_up.bamboo_hanging_sign: #7, 5(5%)
minecraft.dropped.packed_ice: #7, 90(3%)
minecraft.picked_up.exposed_copper_bulb: #7, 2(5%)
minecraft.custom.talked_to_villager: #8, 3278(5%)
minecraft.dropped.andesite_slab: #7, 18(3%)
minecraft.picked_up.rose_bush: #8, 545(5%)
minecraft.used.stone_brick_slab: #7, 440(2%)
minecraft.picked_up.emerald_ore: #7, 13(2%)
minecraft.picked_up.oak_leaves: #7, 3028(2%)
minecraft.mined.lime_terracotta: #7, 56(3%)
minecraft.dropped.emerald_block: #7, 73(3%)
minecraft.picked_up.packed_ice: #7, 3490(2%)
minecraft.crafted.purple_terracotta: #7, 215(3%)
minecraft.crafted.deepslate_tiles: #7, 148(3%)
minecraft.mined.pale_hanging_moss: #7, 58(2%)
minecraft.dropped.cooked_porkchop: #7, 188(2%)
minecraft.picked_up.acacia_fence_gate: #7, 5(3%)
minecraft.dropped.kelp: #7, 318(2%)
minecraft.picked_up.brown_mushroom_block: #7, 983(2%)
minecraft.used.player_head: #8, 267(5%)
minecraft.used.stonecutter: #8, 92(5%)
minecraft.used.red_stained_glass: #7, 374(3%)
minecraft.picked_up.purpur_stairs: #7, 42(2%)
minecraft.mined.sand: #8, 73713(6%)
minecraft.used.weathered_copper_trapdoor: #7, 17(3%)
minecraft.picked_up.purple_wool: #7, 155(2%)
minecraft.custom.interact_with_stonecutter: #8, 598(5%)
minecraft.mined.pale_oak_slab: #7, 13(3%)
minecraft.crafted.dried_kelp: #7, 66(3%)
minecraft.mined.sculk_sensor: #7, 77(2%)
minecraft.used.quartz_slab: #7, 224(2%)
minecraft.used.quartz_pillar: #7, 56(2%)
minecraft.used.powder_snow_bucket: #7, 61(2%)
minecraft.mined.packed_ice: #7, 3615(1%)
minecraft.mined.fletching_table: #7, 3(4%)
minecraft.used.mossy_cobblestone_wall: #7, 17(2%)
minecraft.custom.play_record: #8, 59(6%)
minecraft.used.dark_oak_boat: #7, 3(3%)
minecraft.picked_up.cobblestone_stairs: #7, 55(1%)
minecraft.crafted.pink_wool: #7, 33(2%)
minecraft.used.water_bucket: #8, 3028(5%)
minecraft.picked_up.fletching_table: #7, 3(3%)
minecraft.picked_up.prismarine: #7, 242(2%)
minecraft.mined.hopper: #8, 546(5%)
minecraft.picked_up.mossy_cobblestone_stairs: #7, 5(2%)
minecraft.crafted.stick: #8, 22074(5%)
minecraft.dropped.polished_blackstone: #7, 2(4%)
minecraft.dropped.light_gray_shulker_box: #7, 1(4%)
minecraft.mined.lectern: #8, 339(6%)
minecraft.crafted.blue_ice: #7, 92(2%)
minecraft.picked_up.lectern: #8, 339(6%)
minecraft.dropped.milk_bucket: #7, 3(2%)
minecraft.picked_up.furnace_minecart: #7, 5(3%)
minecraft.picked_up.music_disc_mall: #7, 2(4%)
minecraft.picked_up.oxidized_cut_copper: #7, 60(2%)
minecraft.used.stone_sword: #7, 141(1%)
minecraft.mined.ochre_froglight: #8, 182(5%)
minecraft.picked_up.bamboo_mosaic: #7, 16(2%)
minecraft.picked_up.polished_blackstone_brick_stairs: #7, 9(2%)
minecraft.dropped.brown_wool: #7, 5(2%)
minecraft.crafted.light_blue_glazed_terracotta: #7, 7(3%)
minecraft.dropped.painting: #7, 4(3%)
minecraft.used.waxed_weathered_cut_copper: #7, 62(2%)
minecraft.mined.chest: #8, 839(5%)
minecraft.dropped.white_shulker_box: #7, 4(2%)
minecraft.dropped.diamond_axe: #8, 14(5%)
minecraft.used.purple_terracotta: #7, 94(2%)
minecraft.used.purple_stained_glass: #7, 408(1%)
minecraft.used.kelp: #8, 867(5%)
minecraft.used.stone_hoe: #7, 151(1%)
minecraft.mined.polished_blackstone_pressure_plate: #7, 2(3%)
minecraft.picked_up.netherrack: #8, 14747(5%)
minecraft.picked_up.stone_brick_stairs: #8, 256(5%)
minecraft.used.fletching_table: #7, 3(3%)
minecraft.crafted.mangrove_fence_gate: #7, 8(1%)
minecraft.dropped.deepslate_lapis_ore: #7, 3(2%)
minecraft.picked_up.sculk_sensor: #7, 49(1%)
minecraft.used.mangrove_fence_gate: #7, 8(2%)
minecraft.mined.sculk: #7, 1476(1%)
minecraft.picked_up.crimson_fence_gate: #7, 1(3%)
minecraft.picked_up.snow_block: #7, 1043(1%)
minecraft.crafted.cyan_glazed_terracotta: #7, 7(2%)
minecraft.used.dispenser: #8, 245(5%)
