stat, rank, value, (percentage) 
minecraft.mined.polished_blackstone: #2, 137(24%)
minecraft.dropped.terracotta: #1, 311(16%)
minecraft.crafted.blue_wool: #2, 263(31%)
minecraft.used.polished_deepslate_stairs: #1, 1277(17%)
minecraft.used.iron_hoe: #1, 1021(17%)
minecraft.picked_up.basalt: #1, 4253(14%)
minecraft.dropped.tnt_minecart: #1, 28(50%)
minecraft.picked_up.music_disc_13: #1, 59(15%)
minecraft.mined.cyan_terracotta: #2, 1589(20%)
minecraft.crafted.cyan_dye: #2, 4764(18%)
minecraft.mined.light_gray_stained_glass_pane: #1, 65(20%)
minecraft.crafted.polished_andesite: #2, 3679(20%)
minecraft.crafted.cyan_stained_glass_pane: #1, 888(24%)
minecraft.used.cyan_stained_glass: #2, 1807(27%)
minecraft.picked_up.crying_obsidian: #2, 972(20%)
minecraft.killed.elder_guardian: #1, 32(34%)
minecraft.crafted.purpur_stairs: #1, 96(84%)
minecraft.picked_up.warped_sign: #1, 60(28%)
minecraft.dropped.waxed_oxidized_cut_copper_slab: #1, 37(67%)
minecraft.used.mossy_cobblestone_stairs: #1, 111(21%)
minecraft.killed_by.piglin: #1, 11(33%)
minecraft.dropped.wet_sponge: #1, 77(48%)
minecraft.picked_up.lava_bucket: #2, 139(20%)
minecraft.mined.purple_glazed_terracotta: #1, 50(55%)
minecraft.used.iron_bars: #1, 3102(14%)
minecraft.used.cauldron: #1, 140(13%)
minecraft.mined.yellow_wall_banner: #1, 18(45%)
minecraft.picked_up.chiseled_tuff_bricks: #1, 732(13%)
minecraft.crafted.copper_bulb: #1, 220(18%)
minecraft.dropped.iron_block: #2, 1435(17%)
minecraft.picked_up.bricks: #2, 1089(16%)
minecraft.mined.brick_stairs: #1, 50(22%)
minecraft.dropped.andesite_stairs: #1, 121(61%)
minecraft.custom.mob_kills: #2, 1226158(14%)
minecraft.picked_up.waxed_weathered_chiseled_copper: #1, 41(38%)
minecraft.dropped.polished_deepslate_wall: #1, 134(43%)
