stat, rank, value, (percentage) 
minecraft.used.oak_fence_gate: #1, 231(24%)
minecraft.picked_up.exposed_copper_bulb: #1, 23(55%)
minecraft.dropped.flowering_azalea: #2, 1565(31%)
minecraft.used.polished_blackstone_stairs: #1, 648(36%)
minecraft.mined.exposed_copper_bulb: #1, 23(61%)
minecraft.killed_by.zombie: #1, 79(20%)
minecraft.used.polished_granite_slab: #1, 1582(60%)
minecraft.crafted.acacia_planks: #1, 13784(22%)
minecraft.mined.acacia_log: #1, 9425(21%)
minecraft.picked_up.dead_fire_coral_block: #1, 573(54%)
minecraft.mined.nether_brick_fence: #1, 114(28%)
minecraft.mined.deepslate_iron_ore: #1, 4448(21%)
minecraft.picked_up.dead_horn_coral_block: #1, 594(53%)
minecraft.used.magenta_wool: #1, 453(44%)
minecraft.mined.dead_bubble_coral_block: #1, 352(88%)
minecraft.crafted.polished_andesite: #1, 4420(24%)
minecraft.used.nether_brick_wall: #1, 450(66%)
minecraft.crafted.moss_carpet: #2, 8214(30%)
minecraft.mined.fern: #1, 1218(21%)
minecraft.mined.mud: #1, 53521(21%)
minecraft.picked_up.oxidized_copper_bulb: #1, 140(33%)
minecraft.used.stripped_dark_oak_wood: #1, 751(27%)
minecraft.killed.enderman: #2, 239925(25%)
minecraft.crafted.cartography_table: #1, 79(27%)
minecraft.crafted.warped_slab: #1, 2226(29%)
minecraft.mined.lapis_ore: #1, 1063(21%)
minecraft.used.black_candle: #1, 445(86%)
minecraft.dropped.wheat_seeds: #2, 43497(23%)
minecraft.killed.squid: #1, 1389(20%)
minecraft.used.pufferfish_bucket: #1, 60(37%)
minecraft.used.tall_dry_grass: #1, 134(47%)
minecraft.mined.melon_stem: #1, 79(26%)
minecraft.custom.aviate_one_cm: #1, 2147483647(13%)
minecraft.mined.raw_copper_block: #1, 56(25%)
minecraft.crafted.dark_oak_fence_gate: #1, 412(28%)
minecraft.crafted.dark_oak_pressure_plate: #1, 100(42%)
minecraft.picked_up.acacia_log: #1, 9331(20%)
minecraft.picked_up.mangrove_sign: #1, 97(28%)
minecraft.crafted.smooth_sandstone_slab: #1, 1122(50%)
minecraft.crafted.sandstone_slab: #1, 618(55%)
minecraft.mined.bamboo_slab: #1, 432(26%)
minecraft.mined.deepslate_lapis_ore: #2, 2110(24%)
minecraft.used.purple_wool: #1, 480(31%)
minecraft.picked_up.birch_boat: #1, 89(35%)
minecraft.used.kelp: #1, 3416(20%)
minecraft.used.moss_carpet: #2, 8890(23%)
minecraft.used.mud: #2, 23193(23%)
minecraft.picked_up.pale_hanging_moss: #1, 488(28%)
minecraft.mined.tall_dry_grass: #1, 210(32%)
minecraft.used.tube_coral_block: #1, 423(37%)
minecraft.picked_up.red_stained_glass_pane: #1, 140(40%)
minecraft.mined.bamboo_fence: #1, 315(25%)
minecraft.picked_up.light_gray_concrete: #1, 2226(21%)
minecraft.picked_up.powered_rail: #1, 2402(19%)
minecraft.mined.sugar_cane: #1, 21202(19%)
minecraft.picked_up.yellow_concrete: #2, 5670(26%)
minecraft.crafted.spyglass: #1, 25(31%)
minecraft.used.brain_coral_block: #1, 427(36%)
minecraft.mined.deepslate_gold_ore: #2, 5769(23%)
minecraft.used.orange_bed: #1, 56(27%)
minecraft.used.totem_of_undying: #2, 117(33%)
minecraft.picked_up.soul_soil: #1, 5137(19%)
minecraft.used.birch_boat: #1, 78(36%)
minecraft.used.pink_petals: #1, 3003(21%)
minecraft.crafted.raw_iron_block: #1, 1168(23%)
minecraft.crafted.gray_terracotta: #1, 2312(27%)
minecraft.dropped.mangrove_sign: #1, 58(57%)
minecraft.used.brown_terracotta: #1, 892(25%)
minecraft.dropped.acacia_slab: #1, 61(65%)
minecraft.crafted.acacia_stairs: #1, 640(23%)
minecraft.used.pink_wool: #1, 508(25%)
minecraft.crafted.mangrove_sign: #1, 309(27%)
minecraft.crafted.firework_rocket: #2, 91896(25%)
minecraft.picked_up.spruce_boat: #1, 120(20%)
minecraft.picked_up.lapis_ore: #1, 540(19%)
minecraft.mined.soul_soil: #1, 4900(19%)
minecraft.dropped.carved_pumpkin: #1, 196(16%)
minecraft.used.fire_coral: #1, 115(50%)
minecraft.used.exposed_copper_bulb: #1, 23(74%)
minecraft.picked_up.red_wool: #2, 1521(23%)
minecraft.picked_up.shield: #1, 75(19%)
minecraft.custom.fly_one_cm: #2, 247048244(10%)
minecraft.picked_up.grass_block: #2, 265202(22%)
minecraft.used.azalea: #1, 725(20%)
minecraft.mined.terracotta: #2, 37655(22%)
minecraft.mined.light_gray_concrete: #1, 2193(19%)
minecraft.mined.iron_ore: #1, 6757(18%)
minecraft.used.polished_granite: #2, 2300(25%)
minecraft.picked_up.dead_tube_coral_block: #1, 482(36%)
minecraft.crafted.birch_hanging_sign: #1, 72(36%)
minecraft.used.stripped_jungle_log: #1, 682(26%)
minecraft.picked_up.terracotta: #2, 38274(21%)
minecraft.dropped.kelp: #2, 4074(21%)
minecraft.mined.acacia_stairs: #1, 137(33%)
minecraft.used.mangrove_sign: #1, 256(24%)
minecraft.used.blackstone_wall: #1, 136(39%)
minecraft.mined.soul_sand: #1, 3973(17%)
minecraft.mined.oak_log: #1, 17115(17%)
minecraft.picked_up.flowering_azalea: #2, 3005(21%)
minecraft.dropped.cherry_planks: #1, 97(33%)
minecraft.custom.damage_absorbed: #1, 6319(25%)
minecraft.picked_up.waxed_copper_block: #1, 2445(22%)
minecraft.mined.magenta_wool: #1, 298(47%)
minecraft.mined.orange_bed: #1, 46(25%)
minecraft.mined.leaf_litter: #1, 351(20%)
minecraft.crafted.blackstone_stairs: #1, 75(30%)
minecraft.mined.copper_ore: #1, 20549(16%)
minecraft.used.pale_oak_slab: #1, 597(26%)
minecraft.mined.cactus: #2, 488(22%)
minecraft.crafted.cut_sandstone: #1, 1096(35%)
minecraft.crafted.leather_boots: #1, 266(20%)
minecraft.mined.waxed_copper_block: #1, 2468(22%)
minecraft.picked_up.leaf_litter: #1, 897(20%)
minecraft.used.lime_stained_glass: #1, 2132(24%)
minecraft.picked_up.tall_dry_grass: #1, 189(31%)
minecraft.used.stripped_birch_log: #1, 874(20%)
minecraft.picked_up.raw_iron: #1, 11250(16%)
minecraft.dropped.oxeye_daisy: #2, 207(23%)
minecraft.killed_by.skeleton: #2, 62(23%)
minecraft.dropped.diamond_pickaxe: #1, 72(15%)
minecraft.picked_up.bush: #1, 675(40%)
minecraft.broken.diamond_pickaxe: #1, 8(31%)
minecraft.used.firefly_bush: #1, 342(25%)
minecraft.used.stripped_oak_wood: #1, 715(28%)
minecraft.mined.brick_slab: #1, 43(28%)
minecraft.used.bush: #1, 415(40%)
minecraft.picked_up.magenta_candle: #1, 85(66%)
minecraft.picked_up.white_tulip: #2, 1235(21%)
minecraft.crafted.lapis_block: #2, 2402(21%)
minecraft.dropped.acacia_sign: #1, 14(44%)
minecraft.mined.orange_terracotta: #2, 9400(20%)
minecraft.crafted.jukebox: #1, 48(18%)
minecraft.dropped.mossy_cobblestone_slab: #1, 61(56%)
minecraft.crafted.warped_fence: #1, 846(33%)
minecraft.dropped.red_concrete: #1, 101(78%)
minecraft.killed.player: #2, 425(16%)
minecraft.used.red_sandstone_wall: #1, 4181(39%)
minecraft.mined.dragon_wall_head: #2, 41(26%)
minecraft.mined.spruce_sign: #1, 25(18%)
minecraft.used.acacia_stairs: #1, 542(21%)
minecraft.crafted.paper: #1, 32547(15%)
minecraft.used.birch_log: #1, 2096(16%)
minecraft.used.music_disc_cat: #1, 23(26%)
minecraft.used.diamond_pickaxe: #2, 989535(15%)
minecraft.dropped.stone_slab: #1, 884(17%)
minecraft.crafted.brick: #2, 26233(20%)
minecraft.picked_up.lapis_lazuli: #2, 22428(19%)
minecraft.used.brain_coral: #1, 45(38%)
minecraft.picked_up.bamboo_raft: #1, 64(25%)
