stat, rank, value, (percentage) 
minecraft.used.crafter: #23, 3(0%)
minecraft.used.ochre_froglight: #23, 25(0%)
minecraft.picked_up.cooked_salmon: #23, 2(0%)
minecraft.picked_up.pitcher_plant: #23, 2(0%)
minecraft.mined.glass_pane: #23, 1(0%)
minecraft.used.honeycomb: #23, 12(0%)
minecraft.picked_up.dropper: #23, 2(0%)
minecraft.used.mossy_cobblestone: #23, 6(0%)
minecraft.dropped.soul_sand: #23, 3(0%)
minecraft.mined.stripped_spruce_log: #23, 10(0%)
minecraft.used.polished_andesite: #23, 10(0%)
minecraft.picked_up.glass: #23, 33(0%)
minecraft.picked_up.stripped_spruce_log: #23, 10(0%)
minecraft.crafted.glass_bottle: #23, 15(0%)
minecraft.crafted.flint_and_steel: #23, 1(0%)
minecraft.crafted.gold_ingot: #23, 64(0%)
minecraft.crafted.crafter: #23, 1(0%)
minecraft.crafted.cherry_planks: #23, 12(0%)
minecraft.mined.jungle_planks: #23, 1(0%)
minecraft.dropped.tuff: #23, 5(0%)
minecraft.picked_up.cherry_log: #23, 7(0%)
minecraft.used.smooth_stone_slab: #23, 11(0%)
minecraft.mined.cherry_log: #23, 4(0%)
minecraft.picked_up.acacia_sapling: #23, 3(0%)
minecraft.used.stripped_spruce_log: #23, 2(0%)
minecraft.crafted.coarse_dirt: #23, 12(0%)
minecraft.picked_up.purpur_block: #23, 2(0%)
minecraft.used.short_grass: #23, 4(0%)
minecraft.used.soul_soil: #23, 1(0%)
minecraft.used.packed_mud: #23, 13(0%)
minecraft.crafted.jungle_planks: #23, 8(0%)
minecraft.crafted.orange_dye: #23, 2(0%)
minecraft.mined.purpur_block: #23, 1(0%)
minecraft.picked_up.nether_quartz_ore: #23, 1(0%)
minecraft.picked_up.short_grass: #23, 4(0%)
minecraft.picked_up.yellow_terracotta: #23, 1(0%)
minecraft.used.jungle_planks: #23, 1(0%)
minecraft.dropped.spider_eye: #23, 5(0%)
minecraft.used.black_stained_glass: #23, 2(0%)
minecraft.picked_up.orange_terracotta: #23, 1(0%)
minecraft.mined.crafting_table: #24, 75(1%)
minecraft.custom.sleep_in_bed: #24, 325(1%)
minecraft.crafted.diamond_leggings: #24, 1(1%)
minecraft.used.torch: #24, 1642(1%)
minecraft.mined.beacon: #24, 4(1%)
minecraft.custom.open_barrel: #24, 1330(0%)
minecraft.picked_up.diamond_leggings: #24, 5(1%)
minecraft.used.oak_boat: #24, 9(1%)
minecraft.crafted.stone_axe: #24, 1(1%)
minecraft.used.firework_rocket: #24, 2570(0%)
minecraft.picked_up.iron_block: #24, 354(1%)
minecraft.used.barrel: #24, 58(1%)
minecraft.mined.cobblestone: #24, 294(1%)
minecraft.mined.torch: #24, 221(1%)
minecraft.picked_up.diamond_pickaxe: #24, 8(0%)
minecraft.picked_up.torch: #24, 597(0%)
minecraft.crafted.bow: #24, 11(0%)
minecraft.custom.interact_with_beacon: #24, 7(0%)
minecraft.picked_up.cauldron: #24, 2(0%)
minecraft.mined.gravel: #24, 2398(0%)
minecraft.picked_up.gravel: #24, 2329(0%)
minecraft.mined.sand: #24, 5898(0%)
minecraft.picked_up.stone: #24, 16891(0%)
minecraft.crafted.diamond_shovel: #24, 1(0%)
minecraft.picked_up.raw_copper: #24, 2266(0%)
minecraft.mined.stone: #24, 28502(0%)
minecraft.crafted.oak_planks: #24, 1208(0%)
minecraft.killed.zombie_villager: #24, 1(0%)
minecraft.picked_up.diorite: #24, 957(0%)
minecraft.crafted.iron_ingot: #24, 3061(0%)
minecraft.used.redstone: #24, 303(0%)
minecraft.used.diamond_shovel: #24, 14363(0%)
minecraft.picked_up.sand: #24, 5997(0%)
minecraft.used.andesite: #24, 313(0%)
minecraft.picked_up.apple: #24, 18(0%)
minecraft.picked_up.lead: #24, 22(0%)
minecraft.picked_up.stone_bricks: #24, 122(0%)
minecraft.mined.moss_carpet: #24, 22(0%)
minecraft.dropped.andesite: #24, 64(0%)
minecraft.picked_up.oak_sapling: #24, 85(0%)
minecraft.picked_up.shield: #24, 1(0%)
minecraft.mined.dark_oak_trapdoor: #24, 5(0%)
minecraft.picked_up.enchanted_book: #24, 3(0%)
minecraft.dropped.writable_book: #24, 1(0%)
minecraft.used.granite: #24, 57(0%)
minecraft.custom.play_record: #24, 2(0%)
minecraft.crafted.stonecutter: #24, 2(0%)
minecraft.mined.comparator: #24, 4(0%)
minecraft.used.composter: #24, 12(0%)
minecraft.picked_up.emerald: #24, 66(0%)
minecraft.crafted.white_bed: #24, 1(0%)
minecraft.mined.polished_andesite: #24, 7(0%)
minecraft.picked_up.deepslate_lapis_ore: #24, 5(0%)
minecraft.picked_up.redstone_torch: #24, 13(0%)
minecraft.mined.redstone_ore: #24, 4(0%)
minecraft.crafted.copper_ingot: #24, 200(0%)
minecraft.mined.jungle_leaves: #24, 48(0%)
minecraft.used.repeater: #24, 27(0%)
minecraft.picked_up.dark_oak_sapling: #24, 35(0%)
minecraft.used.lava_bucket: #24, 6(0%)
minecraft.mined.cyan_shulker_box: #24, 5(0%)
minecraft.used.end_rod: #24, 16(0%)
minecraft.used.oak_leaves: #24, 131(0%)
minecraft.used.cyan_shulker_box: #24, 5(0%)
minecraft.picked_up.polished_andesite: #24, 7(0%)
minecraft.mined.redstone_torch: #24, 2(0%)
minecraft.used.dark_oak_log: #24, 26(0%)
minecraft.picked_up.shroomlight: #24, 3(0%)
minecraft.picked_up.birch_planks: #24, 6(0%)
minecraft.custom.mob_kills: #24, 6426(0%)
minecraft.picked_up.jungle_log: #24, 42(0%)
minecraft.custom.interact_with_brewingstand: #24, 12(0%)
minecraft.picked_up.deepslate_gold_ore: #24, 8(0%)
minecraft.used.pumpkin: #24, 5(0%)
minecraft.picked_up.crossbow: #24, 1(0%)
minecraft.crafted.writable_book: #24, 1(0%)
minecraft.picked_up.beetroot_seeds: #24, 19(0%)
minecraft.picked_up.smooth_stone_slab: #24, 11(0%)
minecraft.picked_up.deepslate_diamond_ore: #24, 21(0%)
minecraft.dropped.stone: #24, 166(0%)
minecraft.picked_up.soul_soil: #24, 17(0%)
minecraft.crafted.dispenser: #24, 1(0%)
minecraft.mined.flowering_azalea: #24, 1(0%)
minecraft.crafted.copper_block: #24, 21(0%)
minecraft.mined.scaffolding: #24, 40(0%)
minecraft.mined.jungle_log: #24, 21(0%)
minecraft.crafted.bone_meal: #24, 666(0%)
minecraft.picked_up.poppy: #24, 22(0%)
minecraft.picked_up.sweet_berries: #24, 11(0%)
minecraft.used.cooked_salmon: #24, 2(0%)
minecraft.dropped.sunflower: #24, 1(0%)
minecraft.picked_up.jungle_sapling: #24, 5(0%)
minecraft.dropped.carrot: #24, 14(0%)
minecraft.used.blast_furnace: #24, 1(0%)
minecraft.killed.salmon: #24, 1(0%)
minecraft.picked_up.cocoa_beans: #24, 13(0%)
minecraft.mined.carved_pumpkin: #24, 2(0%)
minecraft.picked_up.smooth_stone: #24, 18(0%)
minecraft.dropped.gravel: #24, 15(0%)
minecraft.mined.ochre_froglight: #24, 1(0%)
minecraft.picked_up.birch_sapling: #24, 4(0%)
minecraft.mined.green_shulker_box: #24, 1(0%)
minecraft.picked_up.green_shulker_box: #24, 1(0%)
minecraft.used.green_shulker_box: #24, 1(0%)
minecraft.used.copper_ore: #24, 9(0%)
minecraft.mined.podzol: #24, 4(0%)
minecraft.crafted.blaze_powder: #24, 4(0%)
minecraft.used.blackstone: #24, 6(0%)
minecraft.picked_up.brick: #24, 4(0%)
minecraft.used.dripstone_block: #24, 3(0%)
minecraft.crafted.repeater: #24, 2(0%)
minecraft.picked_up.sea_pickle: #24, 2(0%)
minecraft.picked_up.jungle_planks: #24, 1(0%)
minecraft.crafted.comparator: #24, 1(0%)
minecraft.picked_up.clay: #24, 4(0%)
minecraft.dropped.moss_carpet: #24, 3(0%)
minecraft.crafted.piston: #24, 2(0%)
minecraft.used.acacia_log: #24, 2(0%)
minecraft.used.glass: #24, 10(0%)
minecraft.used.sandstone: #24, 1(0%)
minecraft.crafted.bamboo_planks: #24, 8(0%)
minecraft.picked_up.ochre_froglight: #24, 1(0%)
minecraft.used.packed_ice: #24, 1(0%)
minecraft.mined.orange_terracotta: #24, 1(0%)
minecraft.custom.sprint_one_cm: #25, 35150874(1%)
minecraft.custom.walk_on_water_one_cm: #25, 1005325(1%)
minecraft.custom.walk_one_cm: #25, 26698503(1%)
minecraft.custom.jump: #25, 83582(1%)
minecraft.custom.interact_with_furnace: #25, 577(1%)
minecraft.used.crafting_table: #25, 83(1%)
minecraft.picked_up.crafting_table: #25, 78(1%)
minecraft.custom.open_chest: #25, 5684(1%)
minecraft.custom.fall_one_cm: #25, 2054219(1%)
minecraft.custom.aviate_one_cm: #25, 81499985(0%)
minecraft.picked_up.beacon: #25, 4(1%)
minecraft.custom.interact_with_crafting_table: #25, 556(1%)
minecraft.used.furnace: #25, 38(1%)
minecraft.crafted.diamond_pickaxe: #25, 2(1%)
minecraft.custom.interact_with_anvil: #25, 79(1%)
minecraft.crafted.oak_sign: #25, 15(1%)
minecraft.custom.sneak_time: #25, 358184(0%)
minecraft.used.stone: #25, 4870(1%)
minecraft.crafted.stick: #25, 2408(1%)
minecraft.mined.dark_oak_log: #25, 468(1%)
minecraft.custom.time_since_death: #25, 296149(0%)
minecraft.crafted.diamond_boots: #25, 1(1%)
minecraft.custom.open_shulker_box: #25, 3269(0%)
minecraft.mined.iron_ore: #25, 193(1%)
minecraft.mined.oak_log: #25, 495(0%)
minecraft.used.cobblestone: #25, 470(0%)
minecraft.mined.coal_ore: #25, 927(0%)
minecraft.picked_up.dark_oak_log: #25, 467(0%)
minecraft.picked_up.oak_log: #25, 572(0%)
minecraft.mined.lapis_ore: #25, 23(0%)
minecraft.picked_up.arrow: #25, 410(0%)
minecraft.custom.drop: #25, 836(0%)
minecraft.picked_up.bow: #25, 19(0%)
minecraft.custom.crouch_one_cm: #25, 1345789(0%)
minecraft.custom.damage_dealt: #25, 152966(0%)
minecraft.crafted.barrel: #25, 37(0%)
minecraft.mined.diorite: #25, 895(0%)
minecraft.picked_up.written_book: #25, 2(0%)
minecraft.used.water_bucket: #25, 197(0%)
minecraft.picked_up.stick: #25, 415(0%)
minecraft.picked_up.kelp: #25, 286(0%)
minecraft.crafted.crafting_table: #25, 16(0%)
minecraft.mined.copper_ore: #25, 352(0%)
minecraft.picked_up.oak_planks: #25, 42(0%)
minecraft.used.bucket: #25, 215(0%)
minecraft.used.bone_meal: #25, 596(0%)
minecraft.used.written_book: #25, 14(0%)
minecraft.used.diamond_sword: #25, 2372(0%)
minecraft.used.anvil: #25, 11(0%)
minecraft.used.hopper: #25, 99(0%)
minecraft.used.ladder: #25, 30(0%)
minecraft.used.armor_stand: #25, 14(0%)
minecraft.crafted.hopper: #25, 68(0%)
minecraft.custom.climb_one_cm: #25, 123444(0%)
minecraft.picked_up.paper: #25, 19(0%)
minecraft.mined.grass_block: #25, 3276(0%)
minecraft.picked_up.campfire: #25, 3(0%)
minecraft.crafted.ladder: #25, 24(0%)
minecraft.mined.dirt: #25, 2537(0%)
minecraft.used.potion: #25, 67(0%)
minecraft.dropped.paper: #25, 7(0%)
minecraft.picked_up.flint: #25, 31(0%)
minecraft.used.glass_bottle: #25, 79(0%)
minecraft.mined.redstone_wire: #25, 27(0%)
minecraft.used.deepslate: #25, 125(0%)
minecraft.mined.carrots: #25, 16(0%)
minecraft.picked_up.glow_ink_sac: #25, 7(0%)
minecraft.picked_up.dark_oak_trapdoor: #25, 5(0%)
minecraft.picked_up.player_head: #25, 43(0%)
minecraft.crafted.bucket: #25, 10(0%)
minecraft.used.dirt: #25, 1151(0%)
minecraft.custom.inspect_dispenser: #25, 35(0%)
minecraft.picked_up.dirt: #25, 2584(0%)
minecraft.crafted.minecart: #25, 5(0%)
minecraft.picked_up.potion: #25, 5(0%)
minecraft.mined.observer: #25, 11(0%)
minecraft.picked_up.cyan_shulker_box: #25, 5(0%)
minecraft.picked_up.repeater: #25, 11(0%)
minecraft.dropped.bow: #25, 3(0%)
minecraft.picked_up.iron_ingot: #25, 134(0%)
minecraft.used.carrot: #25, 17(0%)
minecraft.picked_up.copper_ore: #25, 66(0%)
minecraft.picked_up.deepslate: #25, 299(0%)
minecraft.mined.dispenser: #25, 2(0%)
minecraft.picked_up.observer: #25, 12(0%)
minecraft.custom.inspect_hopper: #25, 80(0%)
minecraft.killed.chicken: #25, 6(0%)
minecraft.picked_up.bamboo: #25, 427(0%)
minecraft.picked_up.ladder: #25, 8(0%)
minecraft.custom.interact_with_blast_furnace: #25, 4(0%)
minecraft.picked_up.carrot: #25, 63(0%)
minecraft.mined.piston: #25, 4(0%)
minecraft.used.writable_book: #25, 6(0%)
minecraft.used.shears: #25, 202(0%)
minecraft.picked_up.string: #25, 66(0%)
minecraft.picked_up.bone_meal: #25, 107(0%)
minecraft.mined.composter: #25, 2(0%)
minecraft.picked_up.hopper_minecart: #25, 1(0%)
minecraft.mined.repeater: #25, 4(0%)
minecraft.picked_up.brown_mushroom: #25, 8(0%)
minecraft.picked_up.composter: #25, 2(0%)
minecraft.mined.bamboo: #25, 32(0%)
minecraft.picked_up.birch_log: #25, 38(0%)
minecraft.used.dispenser: #25, 3(0%)
minecraft.used.cooked_porkchop: #25, 10(0%)
minecraft.picked_up.piston: #25, 4(0%)
minecraft.mined.birch_log: #25, 26(0%)
minecraft.picked_up.feather: #25, 7(0%)
minecraft.dropped.bone: #25, 9(0%)
minecraft.picked_up.dispenser: #25, 2(0%)
minecraft.used.bow: #25, 39(0%)
minecraft.used.string: #25, 13(0%)
minecraft.crafted.campfire: #25, 2(0%)
minecraft.dropped.torch: #25, 4(0%)
minecraft.crafted.yellow_dye: #25, 15(0%)
minecraft.picked_up.acacia_log: #25, 19(0%)
minecraft.used.deepslate_redstone_ore: #25, 6(0%)
minecraft.mined.azalea: #25, 1(0%)
minecraft.crafted.glass: #25, 63(0%)
minecraft.crafted.white_dye: #25, 33(0%)
minecraft.crafted.blast_furnace: #25, 1(0%)
minecraft.picked_up.white_wool: #25, 13(0%)
minecraft.dropped.cobblestone: #25, 74(0%)
minecraft.dropped.player_head: #25, 5(0%)
minecraft.mined.sticky_piston: #25, 1(0%)
minecraft.picked_up.powered_rail: #25, 4(0%)
minecraft.crafted.acacia_planks: #25, 20(0%)
minecraft.used.coal_ore: #25, 16(0%)
minecraft.picked_up.scaffolding: #25, 55(0%)
minecraft.picked_up.deepslate_redstone_ore: #25, 6(0%)
minecraft.dropped.spruce_planks: #25, 1(0%)
minecraft.dropped.stick: #25, 18(0%)
minecraft.used.scaffolding: #25, 46(0%)
minecraft.picked_up.sticky_piston: #25, 1(0%)
minecraft.mined.acacia_log: #25, 10(0%)
minecraft.picked_up.ink_sac: #25, 6(0%)
minecraft.crafted.shears: #25, 3(0%)
minecraft.mined.farmland: #25, 1(0%)
minecraft.crafted.diamond_block: #25, 3(0%)
minecraft.used.sticky_piston: #25, 2(0%)
minecraft.picked_up.coal_ore: #25, 16(0%)
minecraft.used.iron_ore: #25, 2(0%)
minecraft.crafted.stone_slab: #25, 6(0%)
minecraft.used.gravel: #25, 20(0%)
minecraft.dropped.egg: #25, 1(0%)
minecraft.killed.squid: #25, 1(0%)
minecraft.mined.powered_rail: #25, 1(0%)
minecraft.used.diorite: #25, 6(0%)
minecraft.crafted.diamond: #25, 9(0%)
minecraft.dropped.kelp: #25, 2(0%)
minecraft.picked_up.rail: #25, 5(0%)
minecraft.crafted.chain: #25, 2(0%)
minecraft.used.iron_trapdoor: #25, 1(0%)
minecraft.crafted.iron_trapdoor: #25, 1(0%)
minecraft.mined.rail: #25, 2(0%)
minecraft.used.moss_block: #25, 10(0%)
minecraft.dropped.granite: #25, 1(0%)
minecraft.mined.glass: #25, 1(0%)
minecraft.mined.clay: #25, 2(0%)
minecraft.used.mud: #25, 3(0%)
minecraft.used.sand: #25, 10(0%)
minecraft.mined.sandstone: #25, 1(0%)
minecraft.picked_up.sandstone: #25, 1(0%)
minecraft.killed.drowned: #25, 1(0%)
minecraft.custom.leave_game: #26, 188(1%)
minecraft.picked_up.bundle: #26, 2(0%)
minecraft.dropped.leather_leggings: #26, 1(0%)
minecraft.picked_up.diamond_shovel: #26, 3(0%)
minecraft.custom.damage_resisted: #26, 745(0%)
minecraft.dropped.diamond_pickaxe: #26, 1(0%)
minecraft.picked_up.diamond_axe: #26, 2(0%)
minecraft.picked_up.water_bucket: #26, 1(0%)
minecraft.picked_up.iron_ore: #26, 17(0%)
minecraft.picked_up.mutton: #26, 12(0%)
minecraft.picked_up.bucket: #26, 2(0%)
minecraft.dropped.rotten_flesh: #26, 47(0%)
minecraft.dropped.shulker_box: #26, 1(0%)
minecraft.crafted.birch_planks: #26, 28(0%)
minecraft.picked_up.yellow_dye: #26, 1(0%)
minecraft.dropped.arrow: #26, 11(0%)
minecraft.crafted.lever: #26, 1(0%)
minecraft.used.lever: #26, 1(0%)
minecraft.dropped.wheat: #26, 1(0%)
minecraft.dropped.dirt: #26, 2(0%)
minecraft.custom.fly_one_cm: #27, 22673957(1%)
minecraft.picked_up.leather_helmet: #27, 2(1%)
minecraft.picked_up.elytra: #27, 5(0%)
minecraft.picked_up.diamond_sword: #27, 3(0%)
minecraft.used.spruce_sign: #27, 11(0%)
minecraft.picked_up.carved_pumpkin: #27, 7(0%)
minecraft.picked_up.armor_stand: #27, 2(0%)
minecraft.custom.interact_with_lectern: #28, 19(0%)
minecraft.used.player_head: #28, 1(0%)
minecraft.dropped.glass_bottle: #28, 1(0%)
minecraft.custom.total_world_time: #29, 10591670(0%)
minecraft.custom.play_time: #29, 10591670(0%)
minecraft.dropped.elytra: #29, 2(1%)
minecraft.picked_up.diamond_boots: #29, 4(0%)
minecraft.picked_up.spruce_sign: #29, 6(0%)
minecraft.custom.inspect_dropper: #29, 19(0%)
minecraft.picked_up.armadillo_scute: #29, 3(0%)
minecraft.picked_up.cooked_beef: #30, 54(0%)
minecraft.picked_up.firework_rocket: #31, 190(0%)
minecraft.dropped.golden_carrot: #31, 1(0%)
minecraft.dropped.firework_rocket: #31, 2(0%)
minecraft.custom.damage_taken: #32, 25448(0%)
minecraft.custom.tune_noteblock: #33, 2(0%)
minecraft.picked_up.golden_carrot: #35, 45(0%)
minecraft.killed_by.player: #36, 2(0%)
minecraft.custom.deaths: #38, 3(0%)
