stat, rank, value, (percentage) 
minecraft.used.pumpkin_seeds: #10, 133(6%)
minecraft.picked_up.polished_tuff: #10, 648(5%)
minecraft.picked_up.stripped_mangrove_log: #9, 134(1%)
minecraft.used.deepslate_brick_slab: #9, 225(1%)
minecraft.mined.stripped_mangrove_log: #9, 134(1%)
minecraft.used.stone_sword: #9, 119(1%)
minecraft.picked_up.exposed_cut_copper_slab: #9, 2(2%)
minecraft.used.light_blue_bed: #9, 5(1%)
minecraft.mined.yellow_carpet: #9, 8(1%)
minecraft.mined.magenta_terracotta: #9, 7(1%)
minecraft.picked_up.tuff: #10, 14084(4%)
minecraft.crafted.cut_copper_slab: #9, 8(1%)
minecraft.mined.nether_brick_slab: #9, 1(0%)
minecraft.crafted.stripped_dark_oak_wood: #9, 3(0%)
minecraft.dropped.cyan_wool: #9, 1(0%)
minecraft.used.nether_wart: #10, 486(4%)
minecraft.used.tuff_brick_wall: #10, 94(4%)
minecraft.crafted.bricks: #10, 1094(4%)
minecraft.used.peony: #10, 11(5%)
minecraft.picked_up.dark_oak_door: #10, 7(5%)
minecraft.picked_up.mangrove_stairs: #10, 43(4%)
minecraft.used.stone_pickaxe: #10, 261(2%)
minecraft.used.jungle_boat: #10, 7(3%)
minecraft.picked_up.red_dye: #10, 36(2%)
minecraft.used.polished_deepslate: #10, 625(2%)
minecraft.mined.polished_deepslate_stairs: #10, 40(3%)
minecraft.mined.attached_pumpkin_stem: #10, 7(2%)
minecraft.picked_up.deepslate_bricks: #10, 206(2%)
minecraft.used.cobbled_deepslate_stairs: #10, 121(2%)
minecraft.crafted.stone_shovel: #10, 6(1%)
minecraft.used.rose_bush: #10, 16(1%)
minecraft.crafted.brick_stairs: #10, 4(2%)
minecraft.picked_up.brick_slab: #10, 4(2%)
minecraft.mined.brick_slab: #10, 3(2%)
minecraft.mined.deepslate_brick_slab: #10, 41(1%)
minecraft.used.stone_hoe: #10, 135(1%)
minecraft.used.egg: #10, 311(1%)
minecraft.mined.red_wall_banner: #10, 2(2%)
minecraft.picked_up.acacia_hanging_sign: #10, 1(2%)
minecraft.crafted.light_blue_wool: #10, 64(1%)
minecraft.crafted.mangrove_fence: #10, 33(1%)
minecraft.used.yellow_carpet: #10, 24(1%)
minecraft.crafted.raw_gold_block: #10, 21(1%)
minecraft.killed.wither: #10, 2(1%)
minecraft.crafted.cyan_banner: #10, 2(1%)
minecraft.used.oak_hanging_sign: #10, 4(1%)
minecraft.picked_up.nether_brick_slab: #10, 1(0%)
minecraft.used.cut_copper_slab: #10, 1(0%)
minecraft.mined.pointed_dripstone: #11, 203(3%)
minecraft.mined.bricks: #11, 135(3%)
minecraft.crafted.netherite_upgrade_smithing_template: #11, 20(3%)
minecraft.mined.rose_bush: #11, 34(3%)
minecraft.picked_up.polished_deepslate: #11, 146(2%)
minecraft.used.polished_deepslate_slab: #11, 439(3%)
minecraft.broken.iron_pickaxe: #11, 4(3%)
minecraft.used.oak_trapdoor: #11, 141(2%)
minecraft.picked_up.egg: #11, 438(2%)
minecraft.picked_up.bricks: #11, 135(2%)
minecraft.mined.mangrove_door: #11, 2(3%)
minecraft.picked_up.jungle_boat: #11, 7(2%)
minecraft.picked_up.lily_pad: #11, 71(2%)
minecraft.mined.deepslate_bricks: #11, 162(2%)
minecraft.crafted.packed_mud: #11, 1847(2%)
minecraft.picked_up.polished_basalt: #11, 39(2%)
