stat, rank, value, (percentage) 
minecraft.crafted.light_weighted_pressure_plate: #4, 27(13%)
minecraft.used.light_weighted_pressure_plate: #3, 13(9%)
minecraft.crafted.sponge: #3, 69(8%)
minecraft.crafted.dried_kelp: #4, 265(12%)
minecraft.mined.jungle_stairs: #4, 57(7%)
minecraft.mined.pink_bed: #4, 52(13%)
minecraft.dropped.crimson_fence: #3, 1(9%)
minecraft.picked_up.mossy_cobblestone_wall: #3, 16(4%)
minecraft.used.waxed_oxidized_chiseled_copper: #3, 43(4%)
minecraft.used.copper_door: #4, 25(9%)
minecraft.used.bamboo_stairs: #4, 214(7%)
minecraft.picked_up.dark_oak_boat: #4, 13(11%)
minecraft.used.dark_oak_boat: #4, 12(12%)
minecraft.dropped.pink_shulker_box: #3, 1(3%)
minecraft.crafted.filled_map: #3, 754(2%)
minecraft.crafted.pumpkin_pie: #4, 512(10%)
minecraft.crafted.mud_brick_slab: #4, 232(6%)
minecraft.used.crimson_nylium: #4, 186(7%)
minecraft.used.cyan_concrete: #4, 235(7%)
minecraft.used.end_stone: #5, 692(10%)
minecraft.used.oak_trapdoor: #5, 576(9%)
minecraft.mined.end_stone_brick_slab: #3, 2(3%)
minecraft.mined.polished_blackstone_button: #4, 11(9%)
minecraft.dropped.salmon_bucket: #3, 1(4%)
minecraft.crafted.waxed_oxidized_copper_bulb: #3, 16(2%)
minecraft.mined.lime_banner: #3, 1(1%)
minecraft.broken.brush: #3, 1(1%)
minecraft.mined.end_stone_brick_wall: #3, 1(1%)
minecraft.crafted.dark_prismarine_stairs: #4, 32(13%)
minecraft.mined.oak_sapling: #4, 23(5%)
minecraft.mined.cut_red_sandstone_slab: #3, 1(0%)
minecraft.picked_up.stone_brick_stairs: #5, 414(9%)
minecraft.picked_up.wooden_hoe: #4, 5(10%)
minecraft.crafted.gray_shulker_box: #4, 19(4%)
minecraft.broken.shield: #4, 4(7%)
minecraft.picked_up.basalt: #5, 2335(8%)
minecraft.used.warped_button: #4, 14(6%)
minecraft.picked_up.heart_of_the_sea: #4, 4(11%)
minecraft.picked_up.warped_button: #4, 10(10%)
minecraft.mined.mud_brick_wall: #5, 92(10%)
minecraft.mined.polished_tuff: #5, 809(7%)
minecraft.picked_up.cyan_concrete: #5, 288(9%)
minecraft.picked_up.acacia_button: #4, 8(8%)
minecraft.used.pink_wool: #5, 201(10%)
minecraft.picked_up.dark_prismarine_slab: #4, 38(7%)
minecraft.crafted.warped_hanging_sign: #4, 18(8%)
minecraft.crafted.netherite_axe: #4, 1(7%)
minecraft.picked_up.pink_terracotta: #4, 126(7%)
minecraft.picked_up.oak_trapdoor: #5, 189(7%)
minecraft.mined.copper_door: #4, 5(7%)
minecraft.crafted.netherite_hoe: #4, 1(8%)
minecraft.used.carrot: #5, 1064(6%)
minecraft.picked_up.acacia_boat: #4, 5(11%)
minecraft.used.snow: #4, 3461(4%)
minecraft.used.warped_hanging_sign: #4, 13(7%)
minecraft.dropped.gray_bed: #4, 1(7%)
minecraft.used.polished_tuff: #5, 3210(7%)
minecraft.mined.acacia_button: #4, 7(9%)
minecraft.mined.stone_brick_stairs: #5, 207(7%)
minecraft.used.acacia_boat: #4, 6(11%)
minecraft.mined.dark_prismarine_slab: #4, 26(6%)
minecraft.picked_up.copper_ingot: #5, 1381(8%)
minecraft.picked_up.music_disc_relic: #4, 3(7%)
minecraft.dropped.purple_bed: #4, 1(9%)
minecraft.crafted.pumpkin_seeds: #5, 152(10%)
minecraft.used.pumpkin_seeds: #5, 157(7%)
minecraft.picked_up.vine: #5, 437(7%)
minecraft.dropped.dead_bush: #4, 49(4%)
minecraft.picked_up.copper_door: #4, 7(5%)
minecraft.crafted.acacia_button: #4, 21(3%)
minecraft.used.mud_brick_slab: #5, 391(8%)
minecraft.mined.jungle_door: #4, 2(6%)
minecraft.picked_up.spruce_fence_gate: #5, 142(7%)
minecraft.picked_up.acacia_door: #4, 2(7%)
minecraft.picked_up.dark_oak_trapdoor: #5, 202(6%)
minecraft.mined.jungle_sapling: #5, 15(10%)
minecraft.mined.potted_flowering_azalea_bush: #4, 1(7%)
minecraft.used.tripwire_hook: #5, 41(6%)
minecraft.picked_up.raiser_armor_trim_smithing_template: #4, 1(7%)
minecraft.dropped.purple_candle: #4, 1(10%)
minecraft.picked_up.dandelion: #4, 991(2%)
minecraft.mined.nether_gold_ore: #5, 251(7%)
